Phrases,Translation
彼だったらできるよ。,He could do it.
私だったら買うよ。,I'd buy one.
私だったら歩くよ。,I'd walk if I were you.
僕だったら断るな。,I'd say no.
俺だったら黙ってるな。,I'd keep my mouth shut.
すぐに学校に馴染んだ。,I fit right in at school.
初めは新居に馴染めなかった。,I didn't adjust to my new house at first.
砂糖を少し足してください。,"Add a little sugar, please."
6と4を足すと10になる。,Six and four add up to ten.
牛乳を少し加えなさい。,Add some milk.
スープに塩を加えよう。,Add some salt to the soup
必要な変更を加える。,Make any necessary changes
軽率に答えろな。,Don't answer rashly.
質問に答えなさい。,Answer the question.
英語で答えなさい。,Answer in English.
さあ早く答えないか。,"Come on, answer quickly."
間違って答えた。,I answered wrong.
駅に着いたよ。,I'm at the station.
やっと着いた。,Finally.
２時半に着いた。,I arrived at 2:30.
事故は避けられない。,An accident is inevitable.
その質問を避けた。,You avoided the question.
卵を焼いてくれ。,Would you like to fry some eggs?
パンを焼きますか。,Would you like to bake some bread?
陶器は火で焼かれた。,The pottery was burned in the fire.
冬の日は速く暮れる。,The winter sun sets fast.
予想通りの展開になりましたね。,That's what I expected.
彼は頭が良いがやはり嫌いだ。,"He's smart, but I still hate him."
空はますます暗くなった。,The sky is getting darker.
海はますます荒れてきた。,The sea is getting rougher.
ますます難しくなっている。,It's getting harder and harder.
むしるここにいたい。,"Mushy, I want to stay here."
バスよりむしる歩きたい。,I'd rather walk than take the bus.
むしるビールを注文したい。,I want to order a beer.
とうとう雨が降り出した。,At last it began to rain.
とうとう彼は目的を達成した。,At last he has achieved his goal.
やっと金曜日だ。,It's Friday at last
やっと順番が来た。,It's finally his turn.
ようやくすっかり終わった。,"Finally, he was all done."
汽車にようやく間に合った。,"Finally, he was on time for the train."
ようやく納得した。,I'm finally satisfied.
一応聞きますが何をするつもりですか?,"Just out of curiosity, what are you going to do?"
先方から一応返事はありました。,I got an answer from the other side.
なるべく安いほうがいいです。,I'd like to do it as cheaply as possible.
なるべくいろんなものを見に行こう。,Let's go see as many things as possible.
なるべくゆっくり話してもらえますか?,Can you talk as slowly as possible?
問題はこうです。,The problem is this.
いつもこうなの？,Is it always like this?
なぜこうなったのかしら。,Why is it always like this?
そう書くんじゃない。こう書け。,Don't write like that. Write it like this.
ついに金曜日だ。,It's Friday at last.
ついに現れた。,He finally showed up.
ついに降参した。,At last he surrendered.
ついに彼は屈服した。,At last he gave in.
夢がついに叶った。,At last his dream came true.
ついに彼女はやっと来た。,At last she came at last
ついに夏がやってきた。,At last summer is here
やっぱりお前が頼りだよ。,I knew I could count on you.
冬はやっぱり雪がないとね。,"In winter, we need snow."
和菓子にはやっぱり日本茶が合う。,Japanese sweets go well with Japanese tea.
やっぱり風呂上がりはビールに限るな。,Beer is the best drink after a bath.
殆ど泳げない。,I can barely swim.
ほとんど全部分かった。,I figured out almost everything.
確かに難問だね。,"You're right, it's a difficult question."
確かに彼は利口な少年だ。,"He's a clever boy, that's for sure."
確かに彼は信頼できます。,Surely he can be trusted.
彼の英語はまあまあだ。,His English is okay.
カレーはまあまあでした。,The curry was okay.
なかなか立派だ。,Quite impressive.
なかなか良かったよ。,It was pretty good.
車はなかなか動かない。,The car didn't start very well.
かなり寒い。,Quite cold.
かなり遠いから。,It's pretty far away.
かなり痛いのですか?,Does it hurt a lot?
これはかなり怖いね。,That's pretty scary.
ずいぶんと静かだな。,You're awfully quiet.
ずいぶん若く見えるよ。,You look a lot younger.
ずいぶんと珍しいですね。,That's very unusual.
たまに外食しようよ。,Let's eat out sometime.
たまには気楽にしていいよ。,You can take it easy once in a while.
たまには外出て運動しなよ。,You should go out and exercise once in a while.
彼はまるで専門家であるかのように話す。,He speaks as if he is an expert.
日本語をまるで日本人かのように話す。,He speaks Japanese as if he were Japanese.
何でも知っているかのように話す。,He talks as if he knows everything.
普通でいいですか?,Is that normal?
普通九時に寝る。,I usually go to bed at nine.
普通の食事よ。,It's a normal meal.
これは完全に普通だ。,This is perfectly normal.
それって普通のこと？,Does that sound normal to you?
普通らしいの女性です。,She's a normal woman.
彼を誉めずにはいられない。,I can't help but admire him.
そう思わずにはいられない。,I can't help but think that.
彼女を愛さずにはいられない。,I can't help but love her.
将来の事を考えずにはいられない。,I can't help but think about the future.
意見を述べずにはいられない。,Can't help but have an opinion
あまり見えない。,I can't see much.
あまり人に頼るな。,Don't rely on others too much
あまり食べすぎるな。,Don't eat too much.
最近あまり会わない。,I haven't seen you much lately.
あまり無理するなよ。,Don't push yourself too hard
あまり楽しくなかったな。,That wasn't much fun.
あなたが戻って来てくれて嬉しいです。,I'm glad you're back.
あなたが夢を見させてくれるのね。,You're the one who makes me dream.
腕を離してくれ。,Let go of my arm.
話しを聞かせてくれ。,Let me talk to you.
僕と踊ってくれませんか。,I want you to dance with me.
生きる意味を考えてくれる。,You make me think about the meaning of life.
説明してくれてありがとう。,Thank you for explaining.
踊ってもらえますか。,Will you dance with me?
予約してもらえませんか。,Will you make a reservation?
友達にたすけてもらいなさい。,Ask your friends to help you
毎朝起こしてもらえますか。,Can you wake me up every morning?
僕は妹に写真を取ってもらった。,I asked my sister to take my picture.
目の前で料理してもらうのは素敵だ。,It's nice to have someone cook in front of you.
子供の頃しょっちゅう勉強しると言われた。,"When I was a child, I was often told I needed to study."
紅茶とコーヒーどちらでもどうぞと言われた。,I was told I could have tea or coffee.
僕は医者に見てもらったほうがいいと言われた。,He said I should see a doctor.
結婚してくれと言われたとき私は言葉に窮した。,"When he asked me to marry him, I was at a loss for words."
彼は助けてくれと叫んだ。,He screamed for help.
彼にそうしてくれと頼んだ。,I begged him to do so.
彼は私に許してくれと言った。,He asked me to forgive him.
彼はお金を貸してくれと頼んだ。,He asked me to lend him some money
誰かが助けてくれ叫んでいる。,Someone is screaming for help
彼は給料を上げてくれと要求した。,He demanded a raise in his salary.
彼女は彼に家まで送ってくれと訴えた。,She pleaded with him to give her a ride home.
凍るように冷たい。,Freezing cold
焼けるように熱い。,Searing hot
うだるように暑い。,Sweltering hot
働き過ぎないように。,Don't work too hard
汽車に間に合うように急げ。,Hurry up so you can catch the train
またいつか風のように走るんだ。,You'll be running like the wind again someday
必ず弱火で煮立たないように煮ること。,Be sure to boil it over low heat so it doesn't boil over
ここは差し込むように痛みます。,It hurts like a plunger here
袖を捲ってください。,Please roll up your sleeves
今日は寒くてしょうがない。,It's so cold today
心配したってしょうがないよ。,I don't care if you're worried
冷たいものを飲みたくてしょうがない。,I can't help but want something cold to drink
対策に関する討議が行われた。,Discussions were held on countermeasures.
それは細菌感染に有効だ。,It's effective against bacterial infections.
その新型車が市場に出ている。,That new car is on the market.
何がそう言ったにせよそれはうそだよ。,"Whatever told you that, it's a lie."
捕まらないようにしろよ。,Try not to get caught.
彼は我々の求めに応じて歌って。,He sang at our request.
電車は駅に向かっていた。,The train was heading for the station.
彼の努力にも関わらず事故は起こった。,"Despite his best efforts, the accident happened."
彼女は事実に基づいて議論を展開する。,She bases her arguments on facts.
自分お主義に基づいて行動した。,She acted on her own principles.
塩と重曹を水に加えてください。,Add salt and baking soda to the water.
雨に加えて激しい風にもあった。,We had heavy winds as well as rain.
警戒するに越したっことはない。,It's always better to be safe than sorry.
何か別の方法があるに決まっている。,There's got to be another way.
そんな計画は失敗するに決まっている。,A plan like that is bound to fail.
お金持ちに関わらず彼女は幸せでない。,"Regardless of how rich she is, she's not happy."
彼らとは関わるな。,Don't get involved with them.
地球の資源は限られている。,Earth's resources are limited.
学生に限り入場可。,Only students are admitted.
急いでいる時に限ってバスが遅れる。,The bus is always late when I'm in a hurry.
夏はビールに限るね。,Beer is the best drink in summer.
ただしかっこいい男に限る。,But only if you're good-looking.
誕生日に限らずプレゼントをもらうのは嬉しいものだ。,"It's always nice to receive gifts, not just on your birthday."
服装や髪型はその人の内面の表れにほかならない。,Clothing and hairstyle are nothing but an expression of a person's inner self.
予想に反して楽に勝てましたね。,"Contrary to my expectations, you won easily."
海外旅行をするにあたりインターネットで気候を調べました。,I researched the climate on the Internet for my trip abroad.
行かなければならない。,I have to go.
将来に備えねばならない。,We have to prepare for the future.
冬が近づきつつある。,Winter is approaching
物価が上がりつつある。,Prices are rising.
人口は増加しつつある。,The population is growing.
自分としては満足している。,I am satisfied with my life.
旅行方法としてはどれが一番良いですか。,Which is the best way to travel?
夜を徹するか否か。,Whether to stay up all night or not.
全力を尽くすか否かだ。,Whether or not to give it your all.
私にはそれが真実か否かが分からない。,I can't tell if that's true or not.
以前より悪くなってる？,Is he worse off than before?
彼は以前ほど太ってない。,He's not as fat as he used to be.
彼は以前早起きだった。,He used to be an early riser.
彼は以前とは違う。,He's not like he used to be.
彼は以前よりは健康ではない。,He's not as healthy as he used to be.
彼は以前は酒を飲まなかった。,He used to not drink.
許可なしにしゃべらないで下さい。,Please don't speak without permission.
許可なしにしゃべらないで下さい。,Do not speak without permission.
成功は努力いかんによる。,Success depends on hard work.
雨にあってすっかりびしょ濡れになった。,It was raining and I was completely soaked.
このお店、近くにあって良かったね。,It's a good thing this store is close by.
急がなくてもいいよ。,You don't have to hurry.
彼は今日は学校へ行かなくてもいい。,He doesn't have to go to school today.
踊りましょうか。,Shall we dance?
歩きましょうか。,Shall we walk?
始めましょうか。,Shall we begin?
説明しましょうか。,Shall we explain?
休憩しましょうか。,Shall we take a break?
窓を開けましょうか。,Shall we open a window?
何か手伝いましょうか。,Do you need help?
どこで会いましょうか。,Where shall we meet?
昼食は何にしましょうか。,What do you want for lunch?
結構です。それにしましょう。,"No, thank you. Let's do that."
何か飲み物をいれましょうか。,Can I get you something to drink?
お取り寄せいたしましょうか。,Would you like me to order something for you?
取り寄せていただけますか。,Can you order it for me?
そうですか、じゃ、取り寄せてもらえますか。,"I see. Well, can you order it for me?"
前にもあったよ。,It's happened before.
話す前に考えなさい。,Think before you speak.
６時前には来ないで。,Don't come before 6:00.
歩きながら話しましょう。,Let's talk while we walk.
お茶を飲みながら話しましょう。,Let's talk over a cup of tea.
台所に入ってこないで。,Don't come into the kitchen.
話しかけてこないでよ！,Don't talk to me!
もう電話してこないで。,Don't call me again.
どうやって我慢するの？,How do you put up with that?
どうやって出会ったの？,How did you meet?
どうやってやるの？,How do you do it?
どうやって知り合ったの？,How did you get to know each other?
どうやって作ったのですか。,How did you make it?
学校へはどうやって行ってるの？,How do you go to school?
後で取りに来ます。,I'll come back for it later.
後で電話するね。,I'll call you later.
後でまた言ってね。,Tell me later.
後で追いつきますから。,I'll catch up with you later.
後で結果を教えてね。,I'll let you know how it goes.
後でそれしてもいい？,Can I do that later?
私は後で君たちに合流する。,I'll join you guys later.
週末はどんな予定？,What are your plans for the weekend?
どんな曲を弾くの？,What songs did you play?
どんな食事をしたの。,What did you eat?
どんな本を買ったの？,What books did you buy?
どんな靴が好きですか。,What kind of shoes do you like?
どんな症状がありますか。,What symptoms do you have?
木は燃えやすい。,Wood is flammable.
紙は燃えやすい。,Paper is flammable.
英語は学びやすい。,English is easy to learn.
ガラスは壊れやすい。,Glass is fragile.
卵は夏には腐りやすい。,Eggs rot easily in summer.
私は風邪を引きやすい。,I catch colds easily.
この車は運転しやすいな。,This car is easy to drive.
旅先では迷子になりやすい。,It's easy to get lost on the road.
彼女は不幸らしい。,She seems to be unhappy.
彼女は幸せらしい。,She seems to be happy.
彼は学生らしい。,I heard he was a student.
彼はいい奴らしい。,He's a good guy.
秘密が漏れたらしい。,He's got a secret.
彼は大変眠いらしい。,He's very sleepy.
私は彼を知るようになった。,I've come to know him.
彼は泳げるようになった。,He can swim.
私は英語を話せるようになりたい。,I want to learn to speak English.
彼はとうとうそれを理解するようになった。,He has finally come to understand it.
雨に濡れないようにしなさい。,Try not to get wet in the rain.
痛くないようにしてください。,Try not to get sore.
犬か猫か鶏を飼うようにしなさい。,Try to keep a dog or a cat or a chicken.
火が消えないようにしてください。,Try not to let the fire go out.
誰にも迷惑をかけないようにします。,Try not to bother anyone.
すごく疲れてるみたいだね。,You look really tired.
本当に緊張してるみたいだね。,You look really nervous.
かなり忙しかったみたいだね。,You've been pretty busy.
これ、お茶みたいな味がする。,This tastes like tea.
夢見てるみたいな気分だよ。,I feel like I'm dreaming.
これ、サーモンみたいな味がする。,This tastes like salmon.
胃の調子が悪いみたいなんだよ。,I think my stomach is upset.
犬は病気みたい。,The dog looks sick.
夢みたいだ。,It's like a dream.
実際感じたままを話してよい。,You can tell it like you feel it.
天気はずっと悪いままだった。,The weather stayed bad for a long time.
動物は本能のままに振る舞う。,Animals behave according to their instincts.
待ってた方がいい?,Should we wait for them?
急いだほうがいいよ。,We'd better hurry.
家にいる方がいいな。,I'd rather stay home.
でも慣れた方がいい。,But you'd better get used to it.
すぐに出た方が良い。,We'd better leave now.
早く寝た方がいいよ。,You should get some sleep.
言わない方がいいよ。,You don't want to tell me.
風邪を治した方がいい。,You should get over your cold.
消した方がいいのかな？,Do you think I should turn it off?
少し休んだ方がいいよ。,You should get some rest.
医者に相談した方がいいよ。,You'd better consult a doctor.
彼女の意見に従うほうがいい。,You should follow her advice.
彼女に謝ったほうがいいですよ。,You'd better apologize to her.
全てうまくいくはずだよ。,Everything should be fine.
これで痛みは和らぐはずだ。,This should help with the pain.
まだ始めないで。,Don't start yet.
最初から始めよう。,Let's start from the beginning.
いつから付き合い始めたの？,When did you start dating?
列車は雪のために遅れた。,The train was delayed because of the snow.
台風のために休校になった。,The school was closed because of the typhoon.
食物は生きるために必要だ。,Food is necessary for survival.
彼女は彼にそれをさせた。,She made him do it.
母は私に風呂場の掃除をさせた。,My mother made me clean the bathroom.
無理やり彼女に宿題をさせた。,She forced me to do my homework.
次の試合を私にさせて下さい。,Please let me have the next game.
彼にそれをさせられなかった。,I couldn't let him do it.
子供を好きかってにさせておくな。,Don't let a child do as he pleases.
私にそれをもう一度させてください。,Let me do it again.
どうか埋め合わせをさせてください。,Please let me make it up to you.
驚いたふりをしないで。,Don't pretend to be surprised.
彼は医者のふりをした。,He pretended to be a doctor.
彼は寝たふりをした。,He pretended to be asleep.
聞こえないふりをした。,He pretended not to hear.
彼女は学生のふりをした。,She pretended to be a student.
解っていないふりをするのは止めなさい。,Stop pretending you don't know what you're doing.
１０日ぶりに雨が降った。,It rained for the first time in ten days.
彼の話ぶりに腹が立った。,I was angry at the way he talked.
彼の進歩ぶりに満足しています。,I am pleased with his progress.
彼の上達ぶりに満足しています。,I'm pleased with the way he's progressing.
もちろん、一緒に行くよ。,Of course I'll go with you.
もちろん彼は絶対に正しい。,Of course he's absolutely right.
もちろん、帰ってくるさ。,Of course I'll come back.
もちろん、戻ってくるよ。,Of course I'll come back.
もちろん、そうするわ。,Of course I will.
もちろん、いいですよ。,Of course I will.
もちろん彼を訪ねます。,Of course I'll visit him.
もちろん、冗談だよ。,"Of course, I'm kidding."
もちろん、喜んで。,"Of course, with pleasure."
もちろんいいとも。,Of course I'm willing.
火事の場合はベルを鳴らせ。,"If there's a fire, ring the bell."
君の場合は例外としよう。,I'll make an exception in your case.
その場合は君が正しい。,"In that case, you're right."
雨の場合私は行かない。,"If it's raining, I'm not going."
それは極端な場合だ。,That's an extreme case.
彼は科学者として有名だ。,He is famous as a scientist.
彼は芸人として成功した。,He is a successful comedian.
神戸は港市として有名だ。,Kobe is famous as a port city.
彼女は女優として有名です。,She is famous as an actress.
彼女は通訳として雇われた。,She was hired as an interpreter.
彼は教師としての経験が浅い。,He is inexperienced as a teacher.
彼女を秘書として使ってみよう。,Let's use her as a secretary.
彼は翻訳家として働いている。,He is working as a translator.
ガソリンは燃料として使われる。,Gasoline is used as fuel.
冬の到来と共に日が短くなりつつある。,"With the arrival of winter, the days are getting shorter."
彼らの親密さは年月とともに深まった。,Their intimacy has deepened over the years.
精神は肉体とともに発達させるべきである。,The mind should be developed along with the body.
春の訪れとともに暖かくなり、美しい花が咲く。,"With the arrival of spring, the weather is getting warmer and beautiful flowers are blooming."
年齢を重ねるとともに知恵がついてくるのです。,"As we age, we gain wisdom."
彼を見たとたん私は吹き出した。,As soon as I saw him I was blown away.
家を出たとたん、偶然彼女に会った。,"As soon as I left home, I ran into her."
家に着いたとたん嵐になった。,"As soon as I arrived home, there was a storm."
彼女に会った途端、僕は恋に落ちた。,"As soon as I saw her, I fell in love."
私は彼女に会ったとたん誰だか分かった。,"As soon as I saw her, I knew who she was."
全てが好きとは限らない。,Not everything is love.
その陳述は全くの真実とは限らない。,The statement may not be entirely true.
金持ちが必ずしも幸せとは限らない。,Rich doesn't always mean happy.
いつもうまくいくとは限りませんよ。,It doesn't always work out.
日曜日はいつも家にいるとは限らない。,You don't always stay home on Sunday.
必ずしも苦い薬が行く効くとは限らない。,It's not always the bitter medicine that goes that works.
理論と実践は常に両立するとは限らない。,Theory and practice don't always go hand in hand.
善人が必ずしも成功するとは限らない。,Good people don't always succeed.
どんなに速く走っても、君は勝てない。,"No matter how fast you run, you can't win."
どんなに高くても、あの古い時計を買います。,"No matter how expensive it is, I will buy that old watch."
人はどんなに年をとっても学ぶことができる。,"No matter how old you are, you can always learn."
どんなに忙しくても新聞ぐらいは読むべきです。,"No matter how busy you are, you should at least read the newspaper."
どんなに遅くなっても必ず起こしてくださいよ。,"No matter how late it gets, you should always wake me up."
どんなに探しても無くした時計は見つからなかった。,"No matter how hard I looked, I couldn't find the watch I lost."
どんなにたくさん食べても、私は決して太らない。,"No matter how much I eat, I will never get fat."
どんなに速く歩いてもあなたは彼に追いつけない。,"No matter how fast I walk, you will never catch up with him."
事態は悪くなる一方です。,Things are only going to get worse.
謎は深まる一方だわ。,The mystery just keeps getting worse.
その上に座るな。,Don't sit on it.
学校は丘の上だ。,The school is on a hill.
私は草の上に寝た。,I lay down on the grass.
辞書が机の上にある。,The dictionary is on the desk.
彼は努力のおかげで成功した。,He succeeded because of his efforts.
そのおかげで誤解が解ける。,"Thanks to him, the misunderstanding is cleared up."
君のおかげで成功できた。,"Thanks to you, I succeeded."
奨学金のおかげで彼女は留学した。,"Thanks to the scholarship, she went to study abroad."
錠剤のおかげで痛みがなくなった。,"Thanks to the pills, the pain is gone."
彼は能力と勤勉のおかげで成功した。,He succeeded because of his ability and hard work.
一行おきに書け。,Write every other line.
３０分おきに出ます。,I leave every half hour.
私は１日おきに入浴する。,I take a bath every other day.
六時間おきに体温を測った。,I took his temperature every six hours.
彼は数日おきにここに来る。,He comes here every few days.
汽車は２時間おきに出発する。,The train leaves every two hours.
会議は一週間おきに行われる。,Meetings are held every other week.
ここではバスは十分おきに通る。,The bus goes by here every ten minutes.
４時間おきにこの薬をのみなさい。,Take this medicine every four hours.
その番組は１週間おきに放送される。,The program will be broadcasted every other week.
恐れるな。,Don't be afraid.
動物は火を恐れる。,Animals are afraid of fire.
彼は危険を恐れない。,He is not afraid of danger.
人々は変化を恐れる。,People are afraid of change.
彼はヘビを恐れている。,He is afraid of snakes.
おそれることは何もない。,There is nothing to be afraid of.
ミスをすることを恐れるな。,Don't be afraid to make a mistake.
間違えることを恐れないで。,Don't be afraid of making mistakes.
人は洪水や火災などの災害を恐れる。,People are afraid of disasters such as floods and fires.
私の願いがかなわないと恐れている。,I am afraid that my wish will not be fulfilled.
あなたを怒らせることを恐れています。,Fear that I will offend you.
質問をする事を恐れてはいけない。,Don't be afraid to ask questions.
新しい物事に手を出すのを恐れるな。,Don't be afraid to try new things.
ここへ来たきっかけは何ですか？,What brought you here?
ここへ来たきっかけは何ですか？,What brought you here?
横にお掛けなさい。,Please sit down beside me.
川が枯れかけている。,The river is dying.
迷惑かけてごめんね。,I'm sorry to bother you.
彼は麻酔をかけられた。,He was put under anesthesia.
彼は上着を鉤にかけた。,He put his jacket on the hook.
二かける七は十四です。,Two times seven is fourteen.
彼女はカーテンを掛けた。,She hung the curtains.
戸にロックをかけなさい。,Put a lock on the door.
彼は感情を表わしがちだ。,He tends to show his emotions.
彼は約束を忘れがちである。,He tends to forget his promises.
彼は電車に傘を忘れがちだ。,He tends to forget his umbrella on the train.
私たちは間違いをしがちです。,We are apt to make mistakes.
彼は学識を自慢しがちであった。,He was apt to boast of his learning.
事故はとかく起こりがちなもの。,Accidents are apt to happen.
私達は他人の悪口を言いがちだ。,We tend to speak ill of others.
学生は時間を浪費しがちである。,Students tend to waste their time.
老人は過去を振り返りがちである。,Old people tend to look back on the past.
果物はすぐにくさりがちである。,Fruit tends to go bad quickly.
風邪かな？,Is it a cold?
恋かな？,Is it love?
遅れたかな？,Am I late?
今晩暇かな？,Are you free tonight?
そうなのかな？,Is it?
可能性あるかな？,Do you think it's possible?
晴れるのかなあ？,Is it going to be sunny?
道間違えたかな？,Did I take a wrong turn?
彼に話すのかな。,I wonder if I should tell him.
それって変かな？,Would that be weird?
あれで十分かな？,Would that be enough?
誰を呼ぼうかな。,I wonder who I should call.
誰にしようかな？,Who should I call?
同席してもいいかな。,Is it okay if I sit in?
彼女の話は本当かな？,Do you think she's telling the truth?
夕食に何作ろうかな。,What should I make for dinner?
あれは関係あるかな？,Is that relevant?
次はいつ会えるかな？,When can I see her again?
私は週末にかけて伊豆へ行くつもりだ。,I'm going to Izu over the weekend.
雨がよく降るのは、５月から８月にかけてです。,It rains a lot from May to August.
わたしはソファーにかけている。,I'm hanging on the couch.
やるからには最善を尽くしなさい。,"If you're going to do it, do it the best you can."
注射器を見たからには落ち着いてきた。,"Now that I've seen the syringe, I've calmed down."
バスの代わりに電車で行こうよ。,Let's take the train instead of the bus.
彼は上司のかわりに会議に出席した。,He attended the meeting instead of his boss.
私は勉強するかわりにテレビを見た。,I watched TV instead of studying.
英語の代わりにフランス語を習いました。,I learned French instead of English.
5時ぐらいだよ。,It's about five o'clock.
何時ぐらい？,What time is it?
何日ぐらいで着きますか。,How long will it take you to get there?
３週間ごとに会ってます。,We meet every three weeks.
バスは１５分ごとにでます。,The bus leaves every 15 minutes.
２時間毎に局部を湿布しなさい。,Do a local compress every two hours.
電車は３０分ごとに走っている。,The train runs every 30 minutes.
食前ごとにこの薬を飲みなさい。,Take this medicine before every meal.
この薬は３時間毎に飲んでください。,You should take this medicine every three hours.
先生のこと好き？,Do you like the doctor?
変なこと言うなよ。,Don't say anything funny.
危ない事はするな。,Don't do anything dangerous.
そのことで悩むな。,Don't let it bother you.
それって凄いこと？,Is that a big deal?
食べたことあるの？,Have you ever eaten?
やったことあるの？,Have you ever done that?
これ見たことある？,Have you seen this?
簡単な事じゃない。,It's not easy.
これは普通のこと？,Is this normal?
何も言うことはないの？,Don't you have anything to say?
もちろんそんなことはない！,"No, of course not!"
お前なんかに話すことはない。,I have nothing to say to you.
もう二度と起こることはないよ。,It won't happen again.
今晩は列車がとても込んでいる。,The train is very crowded this evening.
この価格は昼食代込みですか？,Does this price include lunch?
食事代はサービス料も込みになっています。,The price of the meal includes the service charge.
彼は手紙を火の中に投げ込んだ。,He threw the letter into the fire.
終わり際になってその実験は失敗であると気づいた。,"Toward the end, he realized that the experiment was a failure."
危機の際には赤ランプが点灯する。,"In times of crisis, the red light comes on."
お困りの際には、お電話ください。,"If you need help, please call us."
言語を学ぶ際に間違うことを恐れてはいけないのです。,Don't be afraid to make mistakes when learning a language.
実際に何が起こったのか。,What actually happened?
学校の場所さえ分かるか？,Do you even know where the school is?
彼は私に謝りさえしなかった。,He didn't even apologize to me.
綺麗じゃない？,Isn't it beautiful?
嘘じゃないよ。,I'm not lying.
これじゃないよ。,It's not this.
もう好きじゃない。,I don't like him anymore.
遊びじゃないんだ。,It's not a game.
現実じゃなかった。,It wasn't real.
笑い事じゃないよ！,It's not funny!
そこに行くたびに彼女に会う。,I see her every time I go there.
この映画を見るたびに泣く。,I cry every time I watch this movie.
この本は読むたびに発見がある。,I discover this book every time I read it.
彼は上京するたびに私の家に泊まる。,"Every time he comes to Tokyo, he stays at my house."
彼はいつでも英語を話す度に間違いをする。,He always makes a mistake every time he speaks English.
壁は落書きだらけです。,The walls are covered with graffiti.
彼の手は泥だらけだった。,His hands were covered with mud.
この本は間違いだらけだ。,This book is full of mistakes.
この制度は欠陥だらけだ。,This system is full of flaws.
うわぁ、観光客だらけ。,"Wow, it's full of tourists."
それは矛盾だらけだ。,It's full of contradictions.
部屋はゴミだらけだ。,The room is full of garbage.
買い物ついでにでもお寄りください。,Please stop by while you shop.
