Health.Sentences,Health.Translation,Sight.Sentences,Sight.Translation,Travel.Sentences,Travel.Translation,Dining.Sentences,Dining.Translation
バクテリアに感染しています。,You’ve got a bacterial infection,何枚ですか。,How many seats would you like?,,,,
ビールスに感染しています。,You’ve got a virus infection,切符を見せて下さい。,Please show your ticket.,,,,
肺炎です。,You’ve got pneumonia.,こちらの席です。,This is your seat.,,,,
潰瘍があります。,You’ve got an ulcer.,,,,,,
筋をひきちがえました。,You’ve pulled a muscle.,,,,,,
腟の感染症です。,You’ve got a vaginal infection.,,,,,,
食中毒です。,You’ve got food poisoning.,,,,,,
日射病です。,You’ve got sunstroke.,,,,,,
熱中症です。,You’ve got heatstroke.,,,,,,
熱射病です。,You’ve got heatstroke.,,,,,,
毛皮に対してアレルギーがあります。,You are allergic to fur.,,,,,,
妊娠です。,You’re pregnant.,,,,,,
あなたの血液と小便と糞便を検査したいんです。,"I would like to test your blood, urine and feces.",,,,,,
傷口を縫い合わせなければなりません。,The wound must be stitched.,,,,,,
専門医に紹介します。,I'll refer you to a specialist.,,,,,,
病院に紹介します。,I'll refer you to a hospital.,,,,,,
X線写真を撮らなければな りません。,You’ll need to have some X-rays taken.,,,,,,
ちょっと待合室で待っていて 下さい。,Please wait in the waiting room.,,,,,,
手術が必要です。,Surgery is required.,,,,,,
伝染性ですか。,Is it contagious?,,,,,,
どのぐらい長く病院にいなければなりま せんか。,How long do I have to stay in the hospital?,,,,,,
食事制限をしなければなりませんか。,Do I have to restrict my diet?,,,,,,
旅行してもいいですか。,Am I allowed to travel?,,,,,,
いつ伺わなければなりませんか。,When do I have to come back?,,,,,,
また明日伺います。,I will visit again tomorrow.,,,,,,
六日後にここにきて下さい。,Come here in six days.,,,,,,
この薬はどう飲みますか。,How do you take this medicine?,,,,,,
一回どのくらいずつですか。,How many each time?,,,,,,
一日何回ずつですか。,How many times a day?,,,,,,
処方箋を出して下さいませんか。,Can you please give me a prescription?,,,,,,
抗生物質を書きます。,I’m prescribing antibiotics.,,,,,,
飲み薬を書きます。,I’m prescribing oral medications.,,,,,,
トランキライザーを書きます。,I’m prescribing tranquilizer.,,,,,,
鎮痛剤の処方を書きます。,I’m prescribing painkillers.,,,,,,
休まなければなりません。,You must rest.,,,,,,
外へ出かけてはいけません。,Do not go outside.,,,,,,
寝ていなければなりません。,Stay in bed.,,,,,,
食事前に飲みます。,Drink before meals.,,,,,,
食後に２カプセル飲みなさい。,Take two capsules after meals.,,,,,,
全部飲んで下さい。,Drink it all.,,,,,,
これらの錠剤を飲めば腹痛は治るでしょう。,These tablets will cure the abdominal pain.,,,,,,
外用のみに使用し、内服しないで下さい。,It is for external use only and should not be taken internally.,,,,,,
完全に治療を終わらせる。,Completely finish treatment.,,,,,,
包帯を72時間おきに変えて下さい。,Change bandages every 72 hours.,,,,,,
この薬は自動車の運転に影響をきたします。,This drug affects the ability to drive a car.,,,,,,
患部に軟膏の薄膜を塗ります。,Apply a thin film of ointment to the affected area.,,,,,,
この注射は通常医師によって行われます。,This injection is usually performed by a physician.,,,,,,
せき止めのドロップはありますか。,Is there a cough drop available?,,,,,,
錠剤のおかげで痛みがなくなった。,The pills have made the pain go away.,,,,,,
すごく歯が痛いんです。, I have terrible toothache.,,,,,,
鎮痛剤の処方を書いて下さい。,Please write a prescription for painkillers.,,,,,,
鎮痛剤をください。,Please give me a painkiller.,,,,,,
歯がおれました。,My tooth broke.,,,,,,
歯冠がこわれました。,The crown of the tooth was broken off.,,,,,,
歯につめたのがとれました。,My tooth’s filling’s come out.,,,,,,
局所麻酔をかけてください。,I’d like a local anaesthetic.,,,,,,
局所麻酔をかけないでください。,Do not apply local anesthesia.,,,,,,
応急治療をしてください。,Provide first-aid treatment.,,,,,,
この歯は抜かないでください。,Do not extract this tooth.,,,,,,
入れ歯がこわれましたが、修理できますか。,My dentures are broken. Can you repair them?,,,,,,
どの歯が痛いんですか。,Which tooth hurts?,,,,,,
はれています。,You’ve got an abscess.,,,,,,
歯茎の治療が必要です。,I’ll have to do a root canal.,,,,,,
この歯をつめなければなりません。,I’ll have to fill this tooth.,,,,,,
この歯を抜かなければなりません。,I’ll have to pull this tooth.,,,,,,
この歯をけずらなければなりません。,This tooth has to be scraped off.,,,,,,
穴を開けなければなりません。,I’ll have to drill.,,,,,,
口を大きく開けて下さい。,Open your mouth wide.,,,,,,
口を閉めて下さい。,Please close your mouth.,,,,,,
口をゆすいで下さい。,Rinse please.,,,,,,
まだ痛いですか。,Does it still hurt?,,,,,,
