Word,Reading,Meaning,Expression,Translation
若し,もし,"if, in case, supposing",,
特に,とくに,"particularly, especially, in particular",,
勿論,もちろん,"of course, certainly, naturally",,
既に,すでに,"already, too late​",,
一番,いちばん,"best, most​",,
初めて,はじめて,for the first time​,,
可成,かなり,"considerably, fairly",,
色々,いろいろ,"various, all sorts of",,
最も,もっとも,"most, extremely​",,
迚も,とても,"very, awfully, exceedingly​",,
もっと,もっと,"some more, even more, further​",,
必ず,かならず,"always, without exception, certainly, without fail",,
沢山,たくさん,"a lot, lots, plenty",,
当然,とうぜん,"naturally, as a matter of course, rightly",,
猶,なお,"still, yet​, more, still more",,
幾ら,いくら,how much​,,
はっきり,はっきり,"clearly, plainly, distinctly​",,
ずっと,ずっと,"throughout, all along",,
直接,ちょくせつ,"direct, firsthand",,
暫く,しばらく,"for a while, for some time​",,
まあ,まあ,"well, just, tolerably, moderately, fairly",,
中々,なかなか,"very, considerably, easily, readily, fairly",,
決して,けっして,"(not) ever, (not) by any means, never",,
軈て,やがて,"eventually, before long, soon; shortly",,
如何に,いかに,"how, in what way​, how, to what extent",,
寧ろ,むしろ,"rather, better, instead, if anything​",,
丸で,まるで,"quite, entirely, completely, at all​",,
一杯,いっぱい,"fully, to capacity, a lot, much ",,
恐らく,おそらく,"perhaps, likely, probably",,
結構,けっこう,"quite, reasonably, fairly",,
嘗て,かつて,"once, before, formerly, ever",,
再び,ふたたび,"again, once more",,
多分,たぶん,"perhaps, probably​",,
僅か,わずか,"only, just, merely​",,
正に,まさに,"exactly, surely, certainly, right then, just then",,
兎に角,とにかく,"anyhow, at any rate, anyway",,
確り,しっかり,"tightly, firmly, strongly, properly, reliably",,
極めて,きわめて,"exceedingly, extremely, decisively​",,
急度,きっと,"surely, undoubtedly, almost certainly",,
ゆっくり,ゆっくり,"slowly, without haste, leisurely, easily",,
元々,もともと,originally,,
突然,とつぜん,"abruptly, suddenly, unexpectedly",,
ちゃんと,ちゃんと,"diligently, seriously, perfectly, properly",,
宜しく,よろしく,"well, properly, suitably​",,
丁度,ちょうど,"exactly, precisely, as if, as though, quite",,
漸く,ようやく,finally,,
きちんと,きちんと,properly,,
遂に,ついに,finally,,
仮令,たとえ,even if,,
漸と,やっと,gradually,,
是非,ぜひ,propriety,,
全然,ぜんぜん,"totally, (not) at all",,
随分,ずいぶん,extremely,,
飽くまで,あくまで,to the end,,
すっかり,すっかり,completely,,
どんどん,どんどん,"more and more, steadily",,
改めて,あらためて,once again,,
じっと,じっと,"fixedly (e.g. gaze, stare)",,
極く,ごく,very,,
単に,たんに,"simply, merely",,
行成,いきなり,suddenly,,
やや,やや,"somewhat, little",,
言わば,いわば,so to speak,,
益々,ますます,increasingly,,
取り敢えず,とりあえず,for the time being,,
次々,つぎつぎ,one by one,,
最早,もはや,"the soonest, no longer",,
兎も角,ともかく,"in any case, anyhow, anyway",,
屡,しばしば,often,,
一層,いっそう,"all the more, still more",,
ふと,ふと,suddenly,,
一旦,いったん,"once, for a moment",,
大抵,たいてい,"mostly, usually",,
成る程,なるほど,"quite willingly, indeed, that’s right, i see",,
どうぞ,どうぞ,"by all means, go ahead",,
同じく,おなじく,same,,
愈,いよいよ,"worst possible time, more and more",,
偶に,たまに,occasionally,,
段々,だんだん,gradually,,
却って,かえって,rather,,
まさか,まさか,"by no means, never",,
折角,せっかく,"at great pains, long-awaited",,
態々,わざわざ,specially,,
無論,むろん,"of course, naturally",,
大いに,おおいに,"greatly, very, much",,
余程,よほど,"very, greatly, much, quite",,
幸い,さいわい,fortunately,,
偶々,たまたま,"by chance, casually, unexpectedly",,
忽ち,たちまち,"all at once, in a moment, quickly",,
取り分け,とりわけ,"especially, above all",,
そっと,そっと,"gently, softly",,
敢えて,あえて,"daringly doing something, purposely",,
直ちに,ただちに,"immediately, at once, directly",,
そろそろ,そろそろ,"soon, gradually, any time now",,
未だ未だ,まだまだ,"not yet, much more, still more to come",,
主に,おもに,"mainly, primarily",,
早速,さっそく,"immediately, at once, without delay",,
凡そ,およそ,"about, roughly",,
予め,あらかじめ,"beforehand, in advance, previously",,
果たして,はたして,"as a result, as was expected, sure enough",,
成る可く,なるべく,as much as possible,,
たっぷり,たっぷり,"plenty, full, ample",,
況して,まして,"moreover, still more, not to mention",,
一見,いっけん,"at first glance, apparently, seemingly",,
何しろ,なにしろ," at any rate, anyway, anyhow, in any case",,
ほっと,ほっと,"sigh of relief,  feeling relieved",,
斯く,かく,"as such, thus,  in this way",,
ぼんやり,ぼんやり,"absentmindedly, carelessly, vaguely",,
今更,いまさら,"at this late hour, at this point of time",,
只管,ひたすら,"intently, single-mindedly, solely, earnestly",,
些か,いささか,"a little, a bit, somewhat",,
そっくり,そっくり,"just like, exactly like, all, entirely",,
どうせ,どうせ,"anyhow, in any case",,
せめて,せめて,at least,,
到頭,とうとう,at last,,
態と,わざと,"on purpose, deliberately",,
大分,だいぶ,considerably,,
さっぱり,さっぱり,"feel refreshed, entirely, not at all",,
ぴったり,ぴったり,exactly,,
専ら,もっぱら,exclusively,,
一向,いっこう,"completely, (not) at all",,
精々,せいぜい,at best,,
大して,たいして,"much, greatly",,
頻りに,しきりに,"frequently, constantly",,
ひょっと,ひょっと,"perchance, possibly",,
元より,もとより,"originally, more than ever",,
依然,いぜん,"still, as yet",,
仲良く,なかよく,on good terms,,
恰も,あたかも,as it were,,
時折,ときおり,"sometimes, on occasion",,
到底,とうてい,"(not) by any means, (not) possibly",,
あっさり,あっさり,"easily, readily, lightly",,
すっきり,すっきり,"neatly, cleanly, clearly",,
さっと,さっと,quickly and easily,,
然程,さほど,not so much,,
現に,げんに,actually,,
度々,たびたび,often,,
正しく,まさしく,"surely, correctly",,
のんびり,のんびり,leisurely,,
じっくり,じっくり,"slowly, carefully",,
ぎりぎり,ぎりぎり,"just in time, just barely",,
矢鱈,やたら,"blindly, indiscriminately",,
はっと,はっと,"in a flash, suddenly",,
さっさと,さっさと,"quickly, promptly",,
生き生き,いきいき,"lively, vividly",,
次いで,ついで,"next, secondly, subsequently",,
無理やり,むりやり,forcibly,,
ゆったり,ゆったり,"comfortable, easy, loose, spacious",,
案外,あんがい,unexpectedly,,
即,そく,"immediately, instantly",,
悉く,ことごとく,altogether,,
ともあれ,ともあれ,"in any case, anyhow",,
散々,さんざん,"thoroughly, severely",,
早々,そうそう,"quickly, hurriedly, promptly",,
ぱっと,パッと,in a flash,,
こっそり,こっそり,secretly,,
所詮,しょせん,after all,,
にっこり,にっこり,"sweetly smiling, grin",,
ちらっと,ちらっと,by accident,,
辛うじて,かろうじて,barely,,
ぐっと,ぐっと,"suddenly, in one go",,
がっかり,がっかり,"disappointed, feel drained",,
今一,いまいち,"not quite, somewhat lacking",,
尚更,なおさら,even more,,
どきどき,どきどき,"pounding, throbbing",,
にこにこ,にこにこ,smilingly,,
程,ほど,"extent, degree, measure",,
普通,ふつう,"normally, ordinarily",,
特別,とくべつ,"extraordinary, special",,
正直,しょうじき,"honestly, frankly",,
一番,いちばん,"best, most",,
事実,じじつ,"fact, truth, reality",,
偶然,ぐうぜん,"by chance, unexpectedly",,
現在,げんざい,"the present, present time, now",,
自然,しぜん,"naturally, spontaneously",,
屡々,しばしば,"often, again and again",,
余り,あまり,"too much, excessively, (not) very",,
大勢,おおぜい,in great numbers​,,
迚も,とても,"very, awfully, exceedingly​",,
いつも,いつも,always,,
一寸,ちょっと,"a little, a bit, slightly​, somewhat",,
どうして,どうして,"how, in what way, by what means",,
近く,ちかく,"nearly, shortly",,
丁度,ちょうど,"exactly, precisely",,
初めて,はじめて,for the first time,,
色々,いろいろ,"various, all sorts of",,
段々,だんだん,gradually,,
真っ直ぐ,まっすぐ,straight ahead,,
以上,いじょう," and above, and over",,
決して,けっして,"(not) ever, never",,
十分,じゅうぶん,sufficiently,,
一生懸命,いっしょうけんめい,"very hard, with utmost effort",,
必ず,かならず,"always, without exception",,
最近,さいきん,recently,,
最初,さいしょ,beginning,,
昔,むかし,"olden days, former",,
今度,こんど,"this time, now, next time",,
途中,とちゅう,"on the way, midway",,
一度,いちど,once,,
場合,ばあい,"case, situation",,
大抵,たいてい,"mostly, ordinarily, probably",,
特に,とくに,particularly,,
例えば,たとえば,for example,,
大体,だいたい,generally,,
ほとんど,ほとんど,"almost, mostly",,
きっと,きっと,surely,,
しばらく,しばらく,for a moment,,
確り,しっかり,"tightly, firmly",,
到頭,とうとう,finally,,
これから,これから,"from now on, after this, from here",,
それ程,それほど,to that degree,,
偶に,たまに,occasionally,,
なるほど,なるほど,"that's right, indeed​",,
ちっとも,ちっとも,"(not) at all, (not) a bit",,
成るべく,なるべく,as (much) as possible,,
当時,とうじ,at that time,,
通り,とおり,the same status or way,,
なにか,なにか,something,,
なにも,なにも,(not) anything,,
最も,もっとも,"most, extremely",,
突然,とつぜん,"abrupt, sudden",,
只,ただ,"only, merely, just",,
結局,けっきょく,"after all, in the end",,
大いに,おおいに,"very, much, greatly",,
全然,ぜんぜん,(not) at all,,
更に,さらに,furthermore,,
既に,すでに,"already, too late",,
常に,つねに,"always, constantly",,
いっそう,いっそう,"much more, still more",,
是非,ぜひ,"certainly, without fail",,
無事,ぶじ,safely,,
全体,ぜんたい,entirety,,
終日,しゅうじつ,"all day, for a whole day",,
いっそ,いっそ,more than once,,
しょっちゅう,しょっちゅう,often,,
些とも,ちっとも,not at all,,
甚だ,はなはだ,very much,,
当面,とうめん,for the time being,,
元来,がんらい,originally,,
そこそこ,そこそこ,a certain extent,,
きっぱり,きっぱり,firmly,,
割と,わりと,comparatively,,
逸早く,いちはやく,quickly,,
きっちり,きっちり,punctually,,
熟,つくづく,thoroughly,,
ぐるぐる,ぐるぐる,in a roundabout way,,
予て,かねて,lately,,
直様,すぐさま,immediately,,
うんざり,うんざり,tedious,,
ひっそり,ひっそり,quietly,,
大層,たいそう,very much,,
ちらり,ちらり,fleeting (glimpse),,
ぴんと,ぴんと,instinctively,,
ふっと,ふっと,suddenly,,
すっと,すっと,quickly,,
きらきら,きらきら,twinkling,,
一歩,いっぽ,one step,,
殊更,ことさら,especially,,
何せ,なにせ,anyhow,,
突如,とつじょ,suddenly,,
ずばり,ずばり,abruptly,,
ごろごろ,ごろごろ,thunderous,,
見る見る,みるみる,before one's eyes,,
にやり,にやり,broadly grinning,,
うやむやに,うやむやに,"vaguely, undecidedly",,
殊に,ことに,"especially, particularly",,
宛ら,さながら,just like​,,
当分,とうぶん,for the time being,,
自ずと,おのずと,naturally,,
