Words,Reading,Meaning
厚い,あつい,"thick, deep"
痛い,いたい,painful
少し,すこし,small quantity
開ける,あける,to open
少ない,すくない,few
皆さん,みなさん,all
しかし,しかし,however
多い,おおい,many
住む,すむ,to live
絵,え,picture
行く,いく,to go
困る,こまる,to be troubled
先生,せんせい,teacher
みんな,みんな,all
どっち,どっち,which way
どう,どう,"how, in what way"
とても,とても,very
つまらない,つまらない,"dull, uninteresting"
いくつ,いくつ,how many
そっち,そっち,that way
そちら,そちら,that way
お金,おかね,money
お父さん,おとうさん,father
お母さん,おかあさん,mother
こんな,こんな,such
そう,そう,"so, really, seeming"
そんな,そんな,such
どうも,どうも,thanks
もう,もう,"already, anymore"
もっと,もっと,some more
ゆっくり,ゆっくり,slowly
アパート,アパート,apartment building
エレベーター,エレベーター,elevator
カップ,カップ,cup
カメラ,カメラ,camera
カレー,カレー,curry
カレンダー,カレンダー,calendar
キロ,キロ,kilo
ギター,ギター,guitar
クラス,クラス,class
グラム,グラム,gram
コート,コート,coat
コップ,コップ,cup
シャツ,シャツ,shirt
シャワー,シャワー,shower
スカート,スカート,skirt
ストーブ,ストーブ,stove
スプーン,スプーン,spoon
スポーツ,スポーツ,sports
ズボン,ズボン,trousers
セーター,セーター,sweater
ゼロ,ゼロ,zero
タクシー,タクシー,taxi
テーブル,テーブル,table
テープ,テープ,tape
テスト,テスト,test
テレビ,テレビ,television
デパート,デパート,department store
トイレ,トイレ,toilet
ドア,ドア,door
ナイフ,ナイフ,knife
ニュース,ニュース,news
ネクタイ,ネクタイ,necktie
ノート,ノート,note
ハンカチ,ハンカチ,handkerchief
バス,バス,bus
バター,バター,butter
パーティー,パーティー,party
パン,パン,pan
フィルム,フィルム,film
フォーク,フォーク,fork
父,ちち,father
母,はは,mother
弟,おとうと,younger brother
兄,あに,older brother
妹,いもうと,younger sister​
姉,あね,older sister
女,おんな,"female, woman"
女の子,おんなのこ,girl
男,おとこ,"male, man"
男の子,おとこのこ,boy
男子,だんし,boy
男の人,おとこのひと,man
男女,だんじょ,men and women
子供,こども,child
自分,じぶん,myself
外国人,がいこくじん,foreigner
留学生,りゅうがくせい,exchange student​
大人,おとな,adult
友達,ともだち,friend
親,おや,parents
果物,くだもの,fruit
飲み物,のみもの,beverage
食べ物,たべもの,food
豚肉,ぶたにく,pork
牛肉,ぎゅうにく,beef
朝ご飯,あさごはん,breakfast
夜ご飯,よるごはん,dinner
晩御飯,ばんごはん,dinner
昼ご飯,ひるはん,lunch
酒,さけ,alcohol
服,ふく,clothes
靴,くつ,shoes
靴下,くつした,socks
洋服,ようふく,western-style clothes
和服,わふく,japanese-style clothes
コート,コート,coat
シャツ,シャツ,shirt
スカート,スカート,skirt
ズボン,ズボン,pants
部屋,へや,room
台所,だいどころ,kitchen
洗濯,せんたく,"washing, laundry"
掃除,そうじ,cleaning
家,いえ,house
庭,にわ,garden
本棚,ほんだな,bookshelves
花瓶,かびん,flower vase
家庭,かてい,"home, family"
ぼうし,ぼうし,hat
電気,でんき,electricity
図書館,としょかん,library
映画館,えいがかん,movie theatre
教室,きょうしつ,classroom
新聞,しんぶん,newspaper
公園,こうえん,park
白い,しろい,white
鳥,とり,bird
東京,とうきょう,Tokyo
病院,びょういん,hospital
仕事,しごと,work
終わる,おわる,come to end
帰る,かえる,"return, come home"
変える,かえる,change
換える,かえる,replace
返る,かえる,"return, come back"
食べる,たべる,eat
飲む,のむ,drink
眠る,ねむる,sleep
寝る,ねる,"sleep, go to bed"
歩く,あるく,walk
散歩,さんぽ,"walk, stroll"
歩行,ほこう,walk
走る,はしる,run
飛ぶ,とぶ,"fly, jump"
曲がる,まがる,"turn, bend"
回る,まわる,"turn, rotate, revolve"
成る,なる,become
回す,まわ,"turn, rotate, twist"
教える,おしえる,teach
育てる,そだてる,"raise, bring up"
伝える,つたえる,"report, convey"
勉強する,べんきょうする,study
学ぶ,まなぶ,"study, learn"
習う,ならう,learn
調べる,しらべる,"examine, look up"
言う,いう,say
見る,みる,"look, see"
立つ,たつ,stand up
座る,すわる,sit
笑う,わらう,laugh
見える,みえる,"be seen, be visible"
見つける,みつける,"discover, find"
知る,しる,know
上げる,あげる,"raise, elevate, give"
受ける,うける,"receive, get"
出る,でる,"go out, leave"
出す,だす,"take out, put out"
入る,はいる,enter
入れる,いれる,"insert, put in"
渡る,わたる,"cross over, extend, span"
