Rank,Words,Note,Sentences,Translation,Remarks
77,中,"naka [n] inside, in, into",早く家の中に入りなさい。,Come inside the house quickly!,"77- 中/naka [n] inside, in, into"
78,いる,"iru [v] be, exist, stay",ドアの向こうにいるのは誰。,Who is behind the door?,"78- いる/iru [v] be, exist, stay"
79,出来る,"dekiru [v] be able to, be ready",テニスが出来るようになるためには練習が必要だ。,Practice is necessary to be able to play tennis.,"79- 出来る/dekiru [v] be able to, be ready"
80,など,"nado [p] et cetera, or something, and so on",そのお店には食 器や家具などがあります。,"That store has tableware, furniture, and so on.","80- など/nado [p] et cetera, or something, and so on"
81,として,"toshite [cp] as, for",私は親として責任があります。,I am responsible as a parent.,"81- として/toshite [cp] as, for"
82,後,"ato [n] behind, after, later",この後、日本語のレッスンに行きます。,"After this, I will go to a Japanese lesson.","82- 後/ato [n] behind, after, later"
83,また,"mata [adv] again, and, also, still",また会いましょう。,See you again.,"83- また/mata [adv] again, and, also, still"
84,ちょっと,"chotto [adv] just a little, a bit",ちょっと話しましょう。,Let’s have a little talk.,"84- ちょっと/chotto [adv] just a little, a bit"
85,てくる,te kuru [cp] do and come back,買い物に行ってくる。,I’m going shopping.,85- てくる/te kuru [cp] do and come back
86,だけ,"dake [p] only, alone, merely, just",自分の荷物だけ持ってください。,Please hold only your own luggage.,"86- だけ/dake [p] only, alone, merely, just"
87,くらい,"kurai [p] about, around, approximately, at least, to the extent",おこずかいは五千円くらいほしい。,I want about five thousand yen for pocket money.,"87- くらい/kurai [p] about, around, approximately, at least, to the extent"
88,ぐらい,"gurai [p] about, around, approximately, at least, to the extent",自分の弁当ぐらいは自分で作らないといけない。,You should at least prepare your own lunch.,"88- ぐらい/gurai [p] about, around, approximately, at least, to the extent"
89,ではない,de wa nai [cp] is,私は店員ではない。,I am not a staff member.,"89- ではない/de wa nai [cp] is/am/are not, it is not the case that ..."
90,えーと,"eto [interj] let me see, well, errr",えーと、今度の母の日のプレゼントは何にしようかな。,"Well, what present should I get for Mother's Day?","90- えーと/eto [interj] let me see, well, errr"
91,方,"hoo [n] direction, way, side, method",こっちの方にきてください。,Please come this way.,"91- 方/hoo [n] direction, way, side, method"
92,ていく,te iku [cp] indicates direction toward a location,歩いていくならスニーカーを履きましょう。,"If we’re going to walk there, let’s wear sneakers.",92- ていく/te iku [cp] indicates direction toward a location
93,てく,te ku [cp] indicates direction toward a location,明日はどのバッグを持ってくの。,Which bag are you going to take there tomorrow?,93- てく/te ku [cp] indicates direction toward a location
94,訳,"wake [n] reason, cause",けんかになった訳は何なの。,What was the reason for the fight?,"94- 訳/wake [n] reason, cause"
95,へ,"e [p. case] destination; to, towards",先生へ手紙を書こう。,Write a letter to the teacher.,"95- へ/e [p. case] destination; to, towards"
96,どう,"doo [adv] how, in what way",このお店はどうですか。,How about this store?,"96- どう/doo [adv] how, in what way"
97,し,shi [p. conj] indicates more than one reason,わたしは宿 題もやったし、庭の掃除もした。,I did my homework and cleaned the garden.,97- し/shi [p. conj] indicates more than one reason
98,本当,"hontoo [n] truth, real, right",その話は本当ですか。,Is the story true?,"98- 本当/hontoo [n] truth, real, right"
99,持つ,"motsu [v] have, hold, carry, possess",私 はいつも右手でペンを持つ。,I always hold my pen in my right hand.,"99- 持つ/motsu [v] have, hold, carry, possess"
100,出る,"deru [v] go out, come out, leave, exit, attend",午 前 中にホテルを出る。,I will leave the hotel in the morning.,"100- 出る/deru [v] go out, come out, leave, exit, attend"
101,為,"tame [n] for, benefit, sake",私は健康の為に野菜を食べます。,I eat vegetables for my health.,"101- 為/tame [n] for, benefit, sake"
102,すごい,"sugoi [i-adj] fantastic, wonderful, amazing",サーカスのアクロバットはすごい!,The circus acrobatics are amazing!,"102- すごい/sugoi [i-adj] fantastic, wonderful, amazing"
103,考える,"kangaeru [v] think about, take into consideration",自分の未来について考える。,I think about my future.,"103- 考える/kangaeru [v] think about, take into consideration"
104,そこ,"soko [n] there, then",そこの看 板には何と書いてありますか。,What is written on the signboard there?,"104- そこ/soko [n] there, then"
105,う,u [aux] solicitation,映画を観に行こう。,Let’s go see a movie.,105- う/u [aux] solicitation
106,分かる,"wakaru [v] understand, see, become clear",あなたの気持ちは分かる。,I understand your feelings.,"106- 分かる/wakaru [v] understand, see, become clear"
107,ておる,"te oru* [cp] continuation polite; be ...ing, have been ...ing",私は子供に柔道を教えております。,I am teaching judo to children.,"107- ておる/te oru* [cp] continuation polite; be ...ing, have been ...ing"
108,について,"ni tsuite [cp] about, concerning, with regard to",日本の歴史について知りたいです。,I want to learn about Japanese history.,"108- について/ni tsuite [cp] about, concerning, with regard to"
109,それで,"sore de [conj] and then, so, because of that, upon",この町は子供が多い。それで児童館が作られました,"This town has many children. Because of that, they opened a children’s center.","109- それで/sore de [conj] and then, so, because of that, upon"
110,入る,"hairu [v] enter, come in, go into",東の入り口からビルに入る。,Enter the building from the east entrance.,"110- 入る/hairu [v] enter, come in, go into"
111,作る,"tsukuru [v] make, create, produce, build",学校で宇宙基地の模型を作る。,We make a model of a space base at school.,"111- 作る/tsukuru [v] make, create, produce, build"
112,てみる,te miru [cp] try to do something,新しいレシピでカレーを作ってみる。,I am going to try making curry with a new recipe.,112- てみる/te miru [cp] try to do something
113,聴く,"kiku [v] hear, listen to",車でラジオを聴く。,I listen to the radio in the car.,"113- 聴く/kiku [v] hear, listen to"
114,聞く,"kiku [v] hear, ask",駅で行き先を聞く。,I will ask for directions at the station.,"114- 聞く/kiku [v] hear, ask"
115,そして,"soshite [conj] and, so, and then",私は留 学をしました。そして外交官になりました。,"I studied abroad, and then became a diplomat.","115- そして/soshite [conj] and, so, and then"
116,くれる,"kureru [v] to let one have, to be given",このストーリータイムはぬり絵え をくれる,You will be given a coloring sheet at this story time.,"116- くれる/kureru [v] to let one have, to be given"
117,場合,"baai [n] case, situation",咳がでる場合はマスクをしてください。,"In case you have a cough, please wear a mask.","117- 場合/baai [n] case, situation"
118,話,"hanashi [n] talk, story",彼からおもしろい話を聞いた。,I heard an interesting story from him.,"118- 話/hanashi [n] talk, story"
119,ながら,"nagara [p. conj] with, over, while, during",車を運 転しながら携帯を見てはいけない。,You mustn’t use a cell phone while driving.,"119- ながら/nagara [p. conj] with, over, while, during"
120,そんな,"sonna [adj] such, that",私 はそんなケースを聞いたことがない。,I have never heard of such a case.,"120- そんな/sonna [adj] such, that"
121,使う,"tsukau [v] use, handle",今日は新しいカードを使う。,I am using a new card today.,"121- 使う/tsukau [v] use, handle"
122,日本,"nihon, nippon [n] Japan",日本は島 国です。,Japan is an island nation.,"122- 日本/nihon, nippon [n] Japan"
123,風,"uu [na-adj] style, way, manner",これは関東風のうどんです。,This is Kanto style udon.,"123- 風/fuu [na-adj] style, way, manner"
124,おー,"oo [interj] Oh!, Wow!",おー、一 番だ!,"Wow, I came first!","124- おー/oo [interj] Oh!, Wow!"
125,前,"mae [n] front, ago, before",家の前に車をとめる。,Park your car in front of the house.,"125- 前/mae [n] front, ago, before"
126,多い,"ooi [i-adj] many, much",このタワーマンションは独身の人が多い,This apartment tower has many single people.,"126- 多い/ooi [i-adj] many, much"
127,よく,"yoku [adv] nicely, well, frequently",このレポートはとてもよく書かれている。,This report is well written.,"127- よく/yoku [adv] nicely, well, frequently"
128,一つ、ひとつ,"hito-tsu [num] one (piece, thing)",そのケーキを一つください。,Please give me one piece of cake.,"128- 一つ、ひとつ/hito-tsu [num] one (piece, thing)"
129,子供,kodomo [n] child(ren),子供部屋のある家を探しています。,We are looking for a house with a children's room.,129- 子供/kodomo [n] child(ren)
130,非常,"hijoo [na-adj] emergency, extremely, extraordinary",非 常の時は119番してください。,Please call 119 in the event of an emergency.,"130- 非常/hijoo [na-adj] emergency, extremely, extraordinary"
131,気,"ki [n] spirit, mind, heart, intention, feeling",やる気になれば何でもできる。,You can do anything if you set your mind to it.,"131- 気/ki [n] spirit, mind, heart, intention, feeling"
132,ても,"te mo [p. conj] even if, even though, no matter how ...",いくら注 意しても、彼は同じ間違いをする。,He makes the same mistakes no matter how careful he tries to be.,"132- ても/te mo [p. conj] even if, even though, no matter how ..."
133,取る,"toru [v] take, get",テストで満点を取る。,Get a perfect score on the test.,"133- 取る/toru [v] take, get"
134,うち,uchi [n] inside,箱のうちがわに説明があります。,There is an explanation on the inside the box.,134- うち/uchi [n] inside
135,知る,"shiru [v] know, be aware of",インターネットで地震についてのニュースを知った。,I became aware of news about an earthquake from the Internet.,"135- 知る/shiru [v] know, be aware of"
136,より,"yori [p. case] than, from",私は猫より犬が好きだ。,I like dogs more than cats.,"136- より/yori [p. case] than, from"
137,それから,sore kara [conj] and then,夕食を食べて、それから風呂に入りました。,"I had dinner, and then took a bath.",137- それから/sore kara [conj] and then
138,うー,"uu [interj] Woo!, Aww! Ugh!",うー、困ったな!,"Aww, I’m in trouble.","138- うー/uu [interj] Woo!, Aww! Ugh!"
139,感じ,"kanji [n] feeling, impression, atmosphere",あまり感じのいい店員ではなかった。,The store clerk did not leave a very good impression.,"139- 感じ/kanji [n] feeling, impression, atmosphere"
140,みたい,"mitai [na-adj] like, sort of, similar to",ビーチで子供みたいに遊ぶ。,Play like a kid when you’re at the beach.,"140- みたい/mitai [na-adj] like, sort of, similar to"
141,でも,"demo [conj] but, though",私たちのチームはよく 戦いました。でも、ゲームに勝つことはできませんでした。,"Our team fought so hard, but we could not win the game.","141- でも/demo [conj] but, though"
142,ここ,koko [pron] here,ここにあった本がどこにあるか知りませんか。,Do you know what happened to the book that was here?,142- ここ/koko [pron] here
143,とっても,"tottemo [adv] very, awfully, extremely",私はこのくまのキャラクターがとっても好きです。,I like this bear character very much.,"143- とっても/tottemo [adv] very, awfully, extremely"
144,とても,"totemo [adv] very, awfully, extremely",今日はとても大きな犬を連れている人に会った。,I met a man with an extremely big dog today.,"144- とても/totemo [adv] very, awfully, extremely"
145,いろいろ,iroiro [na-adj] various,この本屋はいろいろなジャンルの本を売っている。,This bookstore sells various genres of books.,145- いろいろ/iroiro [na-adj] various
146,一,ichi [num] one,一から順に数える。,Count in order from one.,146- 一/ichi [num] one
147,一番,"ichiban [n] [adv] number one, first, most",一番高い携帯電話はどれですか。,Which is the most expensive cell phone?,"147- 一番/ichiban [n] [adv] number one, first, most"
148,二,ni [num] two,ねこを二匹飼っています。,I have two cats.,148- 二/ni [num] two
149,同じ,onaji [adn] same,この前と同じ場所で会いましょう。,See you at the same place as the last time.,149- 同じ/onaji [adn] same
150,まず,"mazu [adv] first of all, to start with, first",まず、あなたの親 切さに感謝したいと思います。,"First, I would like to thank you for your kindness.","150- まず/mazu [adv] first of all, to start with, first"
151,必要,"hitsuyoo [na-adj] [n] necessary, necessity",パスポートの更新に必要な書類を用意する。,Prepare the necessary documents for renewing your passport.,"151- 必要/hitsuyoo [na-adj] [n] necessary, necessity"
152,仕事,"shigoto [n] work, job, occupation, task",今日は仕事があります。,I have work to do today.,"152- 仕事/shigoto [n] work, job, occupation, task"
153,余り、あまり,"amari [adv] [n] not very, remainder",反応はあまり良くありませんでした。,The response was not very favorable.,"153- 余り、あまり/amari [adv] [n] not very, remainder"
154,によって,"ni yotte [cp] by, according to, due to, because of, depending on",台 風によって、イベントは中止になりました。,The event was canceled due to the typhoon.,"154- によって/ni yotte [cp] by, according to, due to, because of, depending on"
155,かもしれない,"ka mo shire nai [cp] may, perhaps, possibly",住 所を間違ったかもしれない。,You may have gotten the address wrong.,"155- かもしれない/ka mo shire nai [cp] may, perhaps, possibly"
156,僕,"boku [pron] I, me (male",僕のサッカーのシューズはどこ。,Where are my soccer shoes?,"156- 僕/boku [pron] I, me (male/boy term)"
157,"皆, みんな","minna [n] all, everyone, everybody, everything",みんなの意見を聞いてプランを決めよう。,Listen to everyone's opinions and decide on a plan.,"157- 皆, みんな/minna [n] all, everyone, everybody, everything"
158,彼,"kare [pron] he him, boyfriend",彼は私の中学校の同級生だ。,He is my junior high school classmate.,"158- 彼/kare [pron] he him, boyfriend"
159,食べる,taberu [v] eat,午前7時に朝食を食べる。,I eat breakfast at 7:00 AM.,159- 食べる/taberu [v] eat
160,ほど,hodo [p] indicates approx. amount or maximum limit,私の親ほど心配性のある人はいない。,No one worries as much as my parents do.,160- ほど/hodo [p] indicates approx. amount or maximum limit
161,しかし,"shikashi [conj] however, but",けんかは終わりました。しかし、仲良しになったとはいえない。,"The fight is over. However, you couldn’t say that they have become friends.","161-しかし/shikashi [conj] however, but"
162,書く,"kaku [v] write, compose",私は毎日日記を書く。,I write a diary every day.,"162- 書く/kaku [v] write, compose"
163,入れる,"ireru [v] put in, insert",食料品をかごに入れる。,Put your groceries in the basket.,"163- 入れる/ireru [v] put in, insert"
164,次,tsugi [n] next,次は東京駅です。,The next stop is Tokyo Station.,164- 次/tsugi [n] next
165,結構,"kekkoo [na-adj] nice, fine, quite",料理がとても結構なお味だった。,The food was quite delicious.,"165- 結構/kekkoo [na-adj] nice, fine, quite"
166,問題,"mondai [n] problem, question",算数の問題が難しい。,The math question is difficult.,"166- 問題/mondai [n] problem, question"
167,例えば,"tatoeba [adv] for example, such as",例えば生まれかわるなら何になりたいですか。,"For example, what would you like to be reborn as?","167- 例えば/tatoeba [adv] for example, such as"
168,目,"me [n] eye, eyeball",赤ちゃんの目はかわいい。,Babies’ eyes are adorable.,"168- 目/me [n] eye, eyeball"
169,眼,"me [n] eye, eyeball",眼が悪くなったのでめがねがいる。,"My eyes are getting worse, so I will need glasses.","169- 眼/me [n] eye, eyeball"
170,頃,"goro [n] time, around, about",四月頃にはさくらが咲くだろう。,The cherry blossoms will bloom around April.,"170- 頃/goro [n] time, around, about"
171,上,"ue [n] above, up, over, top",これは上からの指示だ。,These instructions are from the top.,"171- 上/ue [n] above, up, over, top"
172,くださる,"kudasaru [v] to give, to bestow, to kindly do for one",お隣の方はよくお菓子をくださる。,The neighbors often give me treats.,"172- くださる/kudasaru [v] to give, to bestow, to kindly do for one"
173,他,"hoka [n] other, the rest, outside, beyond",これの他にほしいものはない。,There is nothing that I want other than this.,"173- 他/hoka [n] other, the rest, outside, beyond"
174,いつ,"itsu [adv] when, how soon",お父さんはいつ帰ってくるの,When will my dad come home?,"174- いつ/itsu [adv] when, how soon"
175,家,"ie [n] house, family, household, home",家の電話に連絡をください。,Please contact me at my home phone number.,"175- 家/ie [n] house, family, household, home"
176,日,"hi [n] day, days",今日はパーティに行く日だ。,Today is the day to go to the party.,"176- 日/hi [n] day, days"
177,付く,"tsuku [v] to be attached, to stick, to accompany",お子様セットにはおもちゃが付く。,The kid’s meal comes with a toy.,"177- 付く/tsuku [v] to be attached, to stick, to accompany"
178,出す,"dasu [v] to take out, to put out",火曜日はリサイクルのゴミを出す日だ。,Tuesday is the day to put out recycling garbage.,"178- 出す/dasu [v] to take out, to put out"
179,一人,"hitori [n] one person, along, solitary",子供は一人しかいません。,There is only one child.,"179- 一人/hitori [n] one person, along, solitary"
180,人間,"ningen [n] human being, person, man, character",猿と人 間の違いはなんだろう。,What is the difference between monkeys and humans?,"180- 人間/ningen [n] human being, person, man, character"
181,どこ,"doko [pron] where, what place",この迷子の親はどこだろう。,Where are this lost child's parents?,"181- どこ/doko [pron] where, what place"
182,時間,"jikan [n] time, hours",時間を忘れて暗くなるまで遊んでしまった。,I forgot about the time and played until it was dark.,"182- 時間/jikan [n] time, hours"
183,ただ,"tada [adj] ordinary, common",これはただのおもちゃの汽車です。,This is an ordinary toy train.,"183- ただ/tada [adj] ordinary, common"
184,だから,"dakara [conj] so, therefore",今日はデートがある。だから、早く帰りたいんだ。,"I have a date today. So, I want to go home early.","184- だから/dakara [conj] so, therefore"
185,違う,"chigau [v] to differ, to vary",僕らの意見はいつも違う。,Our opinions are always different.,"185- 違う/chigau [v] to differ, to vary"
186,受ける,"ukeru [v] receive, get, catch",サッカーのゴールキーパーがシュートを受ける。,"In soccer, the goalkeeper tries to catch the shot.","186- 受ける/ukeru [v] receive, get, catch"
187,言葉,"kotoba [n] language, dialect, words, phrase, remark",大事なことを伝えるには、言葉は選んだ方がいい。,You should choose your words carefully when you talk about matters of importance.,"187- 言葉/kotoba [n] language, dialect, words, phrase, remark"
188,なんか,"nanka [p] things like, or something like that",彼女の誕生日プレゼントにこのネックレスなんかどうですか。,How about something like this necklace for her birthday present?,"188- なんか/nanka [p] things like, or something like that"
189,少し,"sukoshi [adv] small, a little",少し寒くなってきたようだ。,It seems to be getting a little cold.,"189- 少し/sukoshi [adv] small, a little"
190,まま,mama [p] as it is,そのままにしておいてください。,Please leave it as it is.,190- まま/mama [p] as it is
191,買う,"kau [v] buy, purchase",コンビニでお弁 当を買う。,I buy lunch at a convenience store.,"191- 買う/kau [v] buy, purchase"
192,まだ,"mada [adv] as yet, still",まだ夏休みの宿題がいっぱい残っている。,I still have a lot of summer homework.,"192- まだ/mada [adv] as yet, still"
193,手,"te [n] hand, arm",手遊びのグーチョキパー知っている?,"Do you know about the hand game, Rock Paper Scissors?","193- 手/te [n] hand, arm"
194,話す,"hanasu [v] talk, speak",赤ちゃんは何ヶ月から話すようになるのだろう。,I wonder at how many months the baby will start speaking.,"194- 話す/hanasu [v] talk, speak"
195,好き,"suki [v] like, love",私は古い映画が好きです。,I like old movies.,"195- 好き/suki [v] like, love"
