Expression,Translation
乾杯,cheers
ありがとう,thank you
こいつ,"this guy, this fellow, this person, hey you!"
無理,"no way, not a chance, unreasonable, unnatural, impossible"
うるさい,"shut up!, be quiet!, noisy, loud"
助けて,help!
おめでとう,congratulations
ごらん,"please take a look, please try to"
最悪,"horrible, horrid, awful, terrible, worst"
すみません,excuse me
しばらく,"for now, for a moment"
ただいま,I’m home!
了解,"ok, understood"
わかる,"I know!, I think so too!"
よし,"alright, all right, right on, looking good"
ようこそ,"welcome!, nice to see you!"
もしもし,hello (e.g. on phone)
しっけい,"my apologies, I must be going now, so long"
お先にどうぞ,After you.
体をお大事に,Please take good care of yourself.
どうぞお大事に,Please take care of yourself.
お邪魔します,Excuse me for disturbing.
先ほどから,For sometime.
あかん,"useless, no good, hopeless"
あっという間に逃げてしまった,He disappeared in an instant.
お世話になっております,It has always been a pleasure to work with you.
お疲れ様,"Thanks, much appreciated, that’s all for the day"
お風呂に入る,To take a shower/bath.
かしこまりました,Certainly.
このような場合に,In this kind of situation.
この結果,As a result.
これと同じ,The same as this.
彼は天才なんてとんでもない,He is far from a genius.
恥ずかしい,Embarrassing.
おいしい,Delicious.
なるほど,Indeed.
ぼろぼろ,"battered, beat-up, shabby"
まあまあ,"so-so, good enough, decent, fairly, pretty"
ぽとぽと,trickle down in thick drops
次々,one after another
くたくた,"exhausted, worn out"
なかなか,"quite, rather, easily, very, by no means, fairly"
ガチャガチャ,"clatter, clank, rattling​ sound"
ドキドキ,"to beat fast (of one's heart), to throb, to pound"
限り限り,"just barely, only just, at the very limit, at the last"
突然で悪いんだけど..,"Sorry to barge in on you like this, but..."
忙しいところを悪いんだけど..,"I'm sorry to bother you, but..."
突然で申し訳ないが..,I'm sorry for the sudden..
ご苦労だね,It’s tough (but good work)
ちょっと気になったんだが..,"There’s one little thing that bothers me, though."
欲を言えば..,What I really wanted to say is..
よし、あとは俺がやる,"Okay, I'll take over from here."
ちゃんとチェックしてといて,Make sure you check it out.
アポを取っといて,Make an appointment.
反応を見といてくれ,Keep an eye out for my reaction.
考えといて,Think about it.
おフレコにしといて,Keep it off the record.
一言ご挨拶申しあげます,I’d like to offer a few words if I may.
おはようございます,Good morning.
お水をお願いします,"Can I have some water, please?"
痛い,Ouch.
おはようございます,Good morning.
はじめまして。スミスと申します,Nice to meet you. My name is Smith.
ありがとうございます,Thank you very much.
ちよっとお願いしたいことがあるんですが,I have a small favor to ask you.
よかったら、今度、食事に行きませんか,Would you like to have dinner with me sometime?
いいですね,That sounds great.
一つ聞いてもいいですか,Let me ask you something.
早めにチェックインして、街を散歩しませんか,Why don't we check in early and go for a walk around town?
少し暑いですね。窓を開けましょうか,It's a little hot. Shall I open the window?
どうしたんですか,What's the matter?
がんばってください,Good luck.
すごくよかったです,It was great.
これはひどいです,This is terrible.
航空券の予約をしたいんですが,I'd like to book an airline ticket.
もっと安いのはないですか,Is there anything cheaper?
私は納豆が好き・嫌いです,I like and dislike natto.
今日は暑いですね,It's hot today.
京都には、和風の旅館がたさんあります,There are a lot of Japanese style inns in Kyoto
水が飲みたいです,I want to drink some water
これは去年ハワイで買ったシャツです,This is a shirt I bought in Hawaii last year.
先に行ってください,Please go ahead.
今度、一緒に秋葉原に行きませんか,Would you like to go to Akihabara with me sometime?
寒いからセーターを着ます,"It's cold, so I put on a sweater."
暑いからセーターを脱ぎ ました,"It's too hot, so I'm taking off my sweater."
まだ雨が降っています,It's still raining.
ATMに寄ってから行きます,I'll stop by an ATM before I go.
あれっ、もう全部飲んじゃったの?,It's still raining.
スリッパをはいたままタタミの部屋に入ってはいけません,Don't go into the tatami room with your slippers on.
いつも音楽を聴きながら勉強します,I always study while listening to music.
中に入ってもいいですか。いえ、 ここに入ってはいけません,"Can I come in? No, you can't come in here"
京都は行ったことがありますが、奈良はまだありません,"I've been to Kyoto, but not Nara yet"
これは生で食べられますか,Can I eat this raw?
どこに旅行に行きましょうか,Where should we travel to?
パーティーの準備をしておいてください,Please get ready for the party
よし、次はがんばろう,"Okay, let's do our best next time."
あの角を曲がると、ピザ屋があります,There's a pizza place around the corner.
ネットにつながらなくて、困っています,"I can't get online, I'm having trouble"
田中さんにオーストラリアのお土産をあげました,I gave Mr. Tanaka a souvenir from Australia.
忙しいのに、大丈夫ですか,"You're a busy man, aren't you?"
もうすぐ台風が来るらしいですね,I heard that a typhoon is coming soon.
今の時期、京都は暑いそうですね,I hear it's hot in Kyoto this time of year.
うまくいきそうですか,Are things going well?
最近、急に寒くなりましたね,It has suddenly become cold recently.
この建物は、約千年前に建てられたそうです,This building is said to be about a thousand years old.
何時にお戻りですか,What time will you be back?
すみません、渋谷にはどう行けばいいですか,"Excuse me, how do I get to Shibuya?"
バス停はどこですか,Where's the bus stop?
すみません、駅はどっちですか,"Excuse me, which way is the station?"
予約しているブラウンです。チェックイン,This is Brown with a reservation. Checking in
メニューを見せてもらえますか,Can I see your menu?
私はこれにします。さくらさんは何にしますか,"I'll have this. What would you like, Sakura-san?"
これはいくらですか,How much is this?
申し訳ありません。こちらに出ているだけとなっております,I'm sorry. It's just out here.
すみません、オリーブオイルはどこですか,"Excuse me, where is the olive oil?"
これとこれは、どこが違うんですか,What's the difference between this and this?
この薬はいつ飲みますか,When do I take this medicine?
今日は診察はしていますか。何時までですか,What time do you see your doctor today? Until what time?
この荷物を航空便でシドニーまで送りたいんですが,I'd like to send this package to Sydney by airmail.
今、１ドルいくらですか,How much is a dollar now?
この授業は誰でも受けられますか,Is this class open to everyone?
これから授業に出るんですか,Are you going to class now?
お疲れさまです,Thank you for your time.
ブラウンさんも会議に出るんですか,"Are you going to the meeting too, Mr. Brown?"
おじゃまします,Sorry to bother.
これからお世話になりますジョーンズです。よろしくお願いします,I'm Jones. I'll be taking care of you from now on. It's nice to meet you.
この辺で、一人暮らしの部屋を探しているんですが,I'm looking for a place to live around here.
201号室に引つ越してきました、リベラと申します。よろしくお願いします,"My name is Rivera, and I've just moved into room 201. It's nice to meet you."
田中さんをお願いします。少々お待ちください,"I'm looking for Mr. Tanaka. One moment, please."
田中はただ今外出しておりまして、3 時に戻る予定です,Mr. Tanaka is out right now and will be back at 3:00.
注文をお願いします,"I'd like to place an order, please."
チケットの予約をしたいのですが,I'd like to make a reservation for tickets.
今度ABCのライブがあるんですが、よかつたら一緒に行きませんか,"There's an ABC concert coming up, would you like to go with me?"
さっき、駅で財布をすられました!,I just got my wallet snatched at the station!
今度 、みんなでに行きませんか,Why don't we all go together next time?
このツアーについて詳しく聞きたいんですが,I'd like to know more about this tour.
5時に予約していたミラーです,"My name is Miller, and I have a reservation for 5:00."
インターネットの募集広告を見て、お電話しました,I saw your ad on the Internet and called you.
どちらのチームが勝っていますか,Which team is winning?
好きな映画はなんですか,What's your favorite movie?
私たちは双子です,We're twins.
私はシーフードアレルギーがあります,I have a seafood allergy.
趣味は何ですか,What are your hobbies?
週末はどうでしたか,How was your weekend?
今日は晴れです,It's sunny today.
あなたの好きな和食は何ですか,What is your favorite Japanese food?
どんな本を読みますか,What kind of books do you read?
夏休み、一緒に旅行しましょうか,Shall we travel together during the summer vacation?
こんにちは,Hello.
これをお願いします,"This one, please."
けがをしました,I was injured.
お久しぶりです。ご無沙汰しております,It's been a while. It's been a while.
オーストラリア出身です,I'm from Australia.
ありがとう!,Thank you!
ちよっと手伝っていただけませんか,I was wondering if you could help me out a bit.
今度行ってみませんか,Would you like to visit next time?
はい、喜んで,"Yes, I'd be happy to."
ちよっと聞いてもいい?,Can I ask you a few questions?
まずお昼を食べてからにしませんか,Why don't we have lunch first?
何か冷たい飲み物を持ってきましょうか,I'll bring you something cold to drink.
何かあったんですか,What's going on?
きっとうまくいきますよ,You'll be fine.
とても面白かったです,That was very funny.
嫌になります,I hate it.
12月1日の羽田発、シンガポール行きでお願いします,"I'd like a flight from Haneda to Singapore on December 1st, please."
もう少しわかりやすく説明してもらえませんか。,Could you explain it a little more clearly?
私は数学が大好き・大嫌いです,I love and hate math.
今日はすごく寒いですね,It's very cold today.
たたみの部屋がありますか,Do you have a folding room?
早くお昼を食べたいです,I can't wait to have lunch.
昨日買ったばかりのかさを失くしてしまいました,I've lost the bulk I just bought yesterday.
ここにメールアドレスを養いていただけませんか,Can you give me an email address here?
荷物、重そうですね。持ちましょうか,Your luggage looks heavy. Can I carry it for you?
寒い日は、ストッキングをはいた上にスカートをはきます,"On cold days, I wear a skirt over stockings."
今、さくらデパートでセールをしています,There's a sale going on at Sakura Department Store right now.
シャワーを浴びてから出かけます,I'm going out after taking a shower.
残すともったいないから、全部食べてしまいましよう,"It would be a shame to leave them behind, so let's eat them all!"
使ったままにしないで、片づけてください,"Don't leave things unused, please put them away."
寝ながら本を読むと、すぐ眠くなります,Reading a book in bed will make you sleepy.
ここでお昼を食べてもいいですか。いいですよ,Can I have lunch here? Sure.
富士山に登ったことがありますか,Have you ever climbed Mount Fuji?
チケットはどこで買えますか,Where can I buy a ticket?
福岡は、どんな街ですか,What kind of city is Fukuoka?
店はもう予約してあります,I've already booked the restaurant.
学ぼうという気持ちが大切です,It's important to be willing to learn.
3人なら入れるでしょう,We can fit three people.
昨日は疲れて、すぐ寝てしまいました,I was so tired last night that I fell asleep right away.
彼はなかなか連絡をくれません,He doesn't contact me very often.
そこは安いのにおいしいんです,It's cheap but delicious.
えっ、今の人、社長(さん)だったの? 全然社長らしくない人だね,"What, you're the boss now? He doesn't seem like a boss at all."
ミスさんは、明日休むって言ってました,Miss said she's taking tomorrow off.
蹇くて遼えそうでした,I was so lame I could hardly stand it.
荷物が軽くなった!,My luggage is lighter now!
さっき電車の中で足を踏まれました,I was stepped on earlier on the train.
ご:i 意はどうなさいますか,What are you going to do?
銀座線の渋谷行きに乗ってください,Please take the Ginza Line to Shibuya.
ふじ大学行きのバスは何番乗り場ですか,What is the number of the bus stop for Fuji University?
この近くにコンビニはありませんか,Is there a convenience store nearby?
夕食は何時からですか,What time does dinner start?
すみません、注文をお願いします,"I'm sorry, can you please order for me?"
おすすめはですか,Do you have any recommendations?
もうちよっと安いのはありませんか,Is there anything cheaper?
お取—り寄せになりますが、いかがなさいますか。じゃ、お願いします,Would you like to order in? I'll take it.
これはいつまで食べられますか,How long can I eat this?
少し古くてもいいので、安いほうがいいです,"I don't mind if it's a little old, but the cheaper the better."
この薬はいつ飲めばいいですか,When should I take this medicine?
今、保険証を持っていないんですが、受診できますか,"I don't have an insurance card right now, can I still see a doctor?"
これをEMSでシンガポールまで送りたいんですが,Can I send this to Singapore by EMS?
今、１ドル何円ですか,What is the exchange rate of the dollar now?
この講座を受けたいんですが,I'd like to take this course.
明日の2限は授業入って(い)ますか,Are there any classes in the second period tomorrow?
午後から外出します,I'm going out in the afternoon.
ミーティングは10時からでしたか,Is the meeting at 10:00?
田中さんには、いつもお世話になっています,I'm going out this afternoon.
皆さんはいつも何時に起きますか,What time do you usually wake up?
どんな部屋をお探しですか,What kind of room are you looking for?
燃えるごみは何曜日に出すんですか,What day do you put out the burnable garbage?
もしもし、リベラさん?田中ですが,"Hello, Ms. Rivera? Hi, this is Tanaka."
営業部の田中さんにお取り次ぎいただけますでしょうか,"Can I speak to Mr. Tanaka in the sales department, please?"
何時ごろにお戻りでしょっか,What time will you be back?
これでは、お客様お名前とご住所をお願いします,"I'll need your name and address, please."
ABCのライブですが、12貝仪目のチケットはまだ取れますか,Can I still get a ticket for the ABC concert?
OKの返事を受けてよかった,I'm glad I got an OK reply.
すみません、スマホを落としたみたいなんです,"I'm sorry, I think I dropped my phone."
近くでいいから海外にしませんか,Would you like to go abroad?
ご出発日はいつでしょうか,When is your departure date?
カットをお願いします,Can I have a cut?
まだ募集をされていますか,Are you still accepting applications?
6対1でタイガースがドラゴンズに勝ちました,"The Tigers beat the Dragons, 6-1."
土曜日に映画を見に行きますか,Do you want to go to the movies on Saturday?
あなたの家族はクリスマスを祝いますか,Does your family celebrate Christmas?
私は血圧が低いです,My blood pressure is low.
暇な時に(いつも)倒をしますか,Do you (always) do things in your spare time?
週末に何かおもしろいことをしましたか,Did you do something interesting over the weekend?
いいお天気ですね,It's a beautiful day.
銭湯か温泉に行ったことはありますか,Have you ever been to a public bath or hot spring?
私はSFを読むのが好きです,I like to read science fiction.
喜んで。どこへ行きますか,With pleasure. Where do you go?
こんばんは,Good evening.
店員を呼ぶお願いします!,"Call the waiter, Please!"
誰か来てください!,Someone please come!
お変わりありませんか。はい、おかげさまで,"Is there any change? Yes, thanks to you."
今年、20歳になります,I'm turning 20 this year.
いろいろとお世話になり、ありがとうございました,Thank you for everything you've done for me.
これを一緒に運んでほしいんですが,I'd like you to carry this with me.
今から食事に行くけど、一緒にどうですか,"I'm going out to eat now, would you like to join me?"
ぜひ、ご一緒させてください,Please let me join you.
なぜそう思ったのですか。どうしてそう思ったの?,What made you think that? What made you think that?
天ぷらはどうですか,How about some tempura?
私が先生にメールしておきましょうか,Shall I email the doctor for you?
大丈夫ですか,Are you okay?
自信を持ってください,You should be confident.
なかなかよかったですよ,It was pretty good.
うんざりです,I'm fed up.
何時何分の便がありますか,What time's your flight?
パスタが食べたいです,I'd like some pasta.
スミスさんは私の友達です,Mr. Smith is a friend of mine.
スポーツは得意ですが、勉強は苦手です,"I'm good at sports, but I'm not good at studying."
昨日は、月がとてもきれいでした,The moon was very beautiful yesterday.
この近くに、郵便局はありますか,Is there a post office near here?
何が食べたいですか,What do you want to eat?
昨日泊まったホテルはまあまあよかったです,The hotel I stayed at last night was okay.
次の交差点を右に曲がってください,Please turn right at the next intersection.
そろそろ帰りましょうか。ええ、そうしましょう,"Shall we go home soon? Yes, let's do that."
今日は日差しが強いから、帽子をかぶったほうかいいですよ,"It's very sunny today, so you'd better wear a hat."
お風呂がわいているから、入ったら?,Why don't you take a bath in the hot tub?
受付をしてからお入りください,Please go to the reception desk first.
じゃ、予約しちゃっていいですか,"So, can I make a reservation?"
よくわからないまま、参加しました,"I didn't know what to expect, but I joined."
右に回しながら、引いてください,"Turn to the right and pull, please."
遅れて行ってもいいですか。家、遅れたら、入れませんよ,"Is it okay if I'm late? If you're late, you can't get in."
はい、一度あります,"Yes, there is once."
動物園まで歩いて行けますか,Can I walk to the zoo?
お祭りは何日から何日までですか,What are the dates of the festival?
じゃ、彼女にも聞いておきますね,I'll ask my girlfriend about it.
来月、京都へ行こうと思っています,I'm thinking of going to Kyoto next month.
混んでいたら、別の店にしますか,"If it's crowded, should we go to another restaurant?"
混んで(い)て、中に入れませんでした,It was so crowded that I couldn't get in.
田中さんはよく、私にお菓子をくれます,Mr. Tanaka often gives me sweets.
今日は平日なのに込んでいますね,"Even though it's a weekday, it's really crowded today."
風邪を引いたみたいです。のどが痛いです,I think I caught a cold. My throat hurts.
スミスさん、明日休むんだって,Mr. Smith said he's taking a day off tomorrow.
今日は混んでそうですね,It's going to be crowded today.
髪がだいぶ長くなりました,My hair has gotten a lot longer.
ここを通らないように言われました,I was told not to go through here.
ご案内します。どうぞ、こちらへ,"I'll show you the way. Please, come this way."
この電車は秋葉原に止まりますか,Does this train stop at Akihabara?
市役所に行くには、どこで降りればいいですか,Where do I get off to go to City Hall?
本町2丁目3番はどの辺ですか,Where is Honcho 2-chome 3?
インターネットは使えますか,Can I use the Internet?
コーヒーをお願いします,"Can I have a cup of coffee, please?"
これは豚肉が入っていますか,Does this have pork in it?
ほかの色はありますか,Do you have any other colors?
このズボンはきっすぎます,Are these pants too tight?
開けてからどの/どれくらいもちますか,How long do they last after opening?
 もう少し安くなりませんか, Can I get a lower price?
朝・昼・晩、一日3回、食後に飲んでください,"Take it three times a day, morning, noon and night, after meals."
どうされましたか,What did you do?
航空便だと何日くらいかかりますか,How long does it take by airmail?
ATMの使い方を教えてください,How do I use the ATM?
履修登録の受付はいつまでですか,How long does it take to register for classes?
この孵はまだ幾できるみたいですよ,It looks like this hatch is still open.
何時に戻る予定ですか,What time do you plan to return?
部長が打ち合わせを3時に変更してほしいそうです,The director wants to reschedule the meeting for 3:00.
コーヒーか紅茶はいかがですか,Would you like some coffee or tea?
晩ご飯はいつも何時頃ですか,What time do you usually have dinner?
どんな部屋をご希望ですか,What kind of room would you like?
燃えないごみは何曜日に出すんですか,What day do you put out the non-burnable garbage?
失礼ですが、どちらの田中さんですか,"Excuse me, which Mr. Tanaka are you?"
おつなぎしますので、このままでお待ちください,Please wait here while I connect you.
お戻りになったらお電話をいただきたいのですが,I'd like you to call me when you get back.
では、ご注文を承ります,I'll take your order.
s席はまだ残っていますか,Are there any seats left?
7月20日から22日の3日間のうち、どの日がいいですか,Which of the three days between July 20th and 22nd would you prefer?
どこで落としたかわかりませんが、電車に乗る時はありました,"I don't know where I dropped it off, but it was there when I got on the train"
いいですね。そうしましょう,That's good. Let's do that.
9具の占馬を祈しています,I'm praying for a divining horse with nine tools.
全体的に2センチくらい切ってもらえますか,Can you cut about two inches off the whole thing?
では、明日3時にお伺いします。よろしくお願いいたします,"Okay, I'll see you tomorrow at 3:00. Best regards, sir."
ほぼ毎日ジムに行きます,I go to the gym almost every day.
映画は3Dで見るのが好きです,I like to watch movies in 3D.
お兄さんの仕事は何ですか,What is your brother's job?
インフルエンザの予防接種はいっすればいいですか,How do I get a flu shot?
ミステリーを読むのが大好きです,I love to read mysteries.
天気が良かったので山にハイキングに行きました,"It was a beautiful day, so I went hiking in the mountains."
暑いですね,It's hot!
相撲を見に行きませんか,Would you like to go see a sumo match?
あなたの好きな著者はだれですか,Who is your favorite author?
和室と洋室、どっちに泊まりたいですか,Would you like to stay in a Japanese-style room or a Western-style room?
少々お待ちください,"One moment, please."
こちらの番号札をお持ちください,Please take this number tag.
こちらにおかけください,Please dial this number.
この中から一つお選びください,Please choose one of these
ぜひ、この機会をご利用ください,Please take advantage of this opportunity!
間違いがないか、ご確認ください,Please make sure you have the correct number.
在庫がなくなり次第、販売終了となります。ご了承ください,Sales will end while supplies last. Please understand.
変更やキャンセルの場合は、早めにご連絡ください,"If you need to change or cancel your order, please contact us as soon as possible."
お待ちになりますか,Would you like to wait?
おやめになりますか,Would you like to stop?
現金でお支払いになりますか,Would you like to pay in cash?
別のサイズをお試しになりますか,Would you like to try a different size?
レジ袋はお使いになりますか,Would you like to use a plastic bag?
お間違えになりましたか,Did you make a mistake?
お箸はご利用になりますか,Would you like to use chopsticks?
メニューをご覧になりますか,Would you like to see the menu?
おやすみなさい,Good night.
助けてください!,Please help me!
最近、調子はどうですか。まあまあです,How are you feeling lately? So-so.
大学では心理学を専攻しています,I'm majoring in psychology in college.
遅くなってすみませんでした,I'm sorry I'm late.
それのやり方を教えてくれませんか,Can you teach me how to do that?
田中さんもご一緒にいかがですか。,"Would you like to join us, Mr. Tanaka?"
ご招待いただき、ありがとうございます,Thank you for the invitation.
レポートのテーマはなんですか,What is the theme of your report?
天ぷらとかどうですか,How about tempura?
よかったら、お手伝いしますよ,I can help you with that if you like.
顔色が良くないですね。,You don't look so good.
大丈夫ですよ,I'm fine.
まあまあでした,It was okay.
困りますね,You're in trouble.
その次は何時何分ですか,What time is the next one?
なるべく近いお店がいいです,I'd like to be as close to the restaurant as possible.
私は教師です,I'm a teacher.
人前で話すのは苦手です,I'm not good at public speaking.
私の国より東京のほうが人口が多いです,Tokyo has a larger population than my country.
はい、あのコンビニのとなりにあります,"Yes, it's right next to that convenience store."
3年後に自分の会社を作りたいです,I want to start my own company in three years.
今日行った店よりこの前行った店のほうがずっとよかったです,The restaurant I went to last time was much better than the one I went to today.
ここでちよつと待っていてください,Please wait here for a moment.
そろそろ帰りませんか。うーん、そうですねえ,"Why don't we go home soon? Hmm, I guess so."
中に入る時、靴を脱ぎますか。いえ、はいたままで結構です,"Do I take off my shoes when I go inside? No, you can leave them on."
友達に聞いて、知っています,"I know, I asked a friend."
よく考えてから申し込んだほうがいいですよ,You might want to think twice before applying.
そんな仕事、やめてしまえば?,Why don't you just quit that job?
彼は何も言わないまま、帰ってしまいました,He left without saying a word.
スマホを見ながら歩くと危ないですよ,It's dangerous to walk while looking at your phone.
辞書、借りてもいい?　ちょっと待って。今使ってるから,Can I borrow your dictionary?　Wait a minute. I'm using it right now.
いえ、まだ一度もありません。いつか登ってみたいと思います,"No, I've never done that before. I'd like to climb it someday."
英語が話せますか,Do you speak English?
何が面白いですか,What do you find interesting?
ビールは買ってありますか,Do you buy beer?
夏に3週間ほど帰国しようと思っています,I'm thinking of coming back to Japan for three weeks in the summer.
少し待てば、空きますよ,"If you wait a little, you'll be free."
おなかが空いて、死にそうです,I'm dying of hunger.
今日中に返事をもらいたいんですが,I'd like to hear from you by the end of the day.
彼女、知っているのに、教えてくれないんです,"She knows, but she won't tell me."
彼女、怒っているみたいでしたよ,She seemed angry with me.
彼、明日来ないんだって,He's not coming tomorrow.
忘れそうだから、書いておきます,"I'll write it down, in case I forget."
ちよっとわからなくなりました,I'm a little confused.
彼女に嫌われていないか、心配です,I'm worried that she might not like me.
メール拝見しました,I've read your e-mail.
この電車は東京に行きますか,Does this train go to Tokyo?
お金はいつ払いますか。乗るときですか、降りるときですか,When do I pay for it? When do I get on or off the train?
タクシー乗り場はどこですか,Where is the cab stand?
お湯が出ないんですが。,I can't get hot water.
ホットとアイス、どちらになさいますか。,Would you like it hot or cold?
生の魚は苦手なんです,I don't like raw fish.
もう少し明るい色はありませんか,Do you have any brighter colors?
わかりました。じゃ、これにします,"Okay, okay. I'll take this one then."
冷蔵庫で1週間は大丈夫です,It'll keep for a week in the refrigerator.
7万円だったら買うんですが,"If it's 70,000 yen, I'll buy it."
白いお薬が2錠、青いカプセルが1錠です,Two white pills and one blue capsule.
昨日から寒気がするんです,I've had the chills since yesterday.
90円切手を5枚ください,Please give me five 90 yen stamps.
ATMで振り込みができますか,Can I make a money transfer at an ATM?
レポートの提出期限はいつですか,When is the deadline for submitting reports?
金日の「国際コミュニケーション」は休講です,The International Communication class is cancelled on Friday and Sunday.
これを5部ずつコピーしてもらえますか。わかりました,"Can you please make five copies of each of these? Yes, sir."
田中さんは社内にいますか,Is Mr. Tanaka in the office?
じゃ、コーヒーをお願いします,"I'd like a cup of coffee, please."
何か家のルールがあったら教えてください,Please let me know if there are any house rules.
明るくて、広い部屋がいいです,"I like a bright, spacious room."
びんや熊はどこに出したらいいですか,Where do I put the bottles and bears?
失礼ですが、番号をお間違えではないでしょうか,"I'm sorry, but I think you have the wrong number."
申し訳ありません。田中はただ今ほかの電話に出ておりまが,"I'm sorry. I'm sorry, but Tanaka is on the other line right now."
すみません、お電話をいただいたそうで,"I'm sorry, I heard you called."
マルゲリータのмサイズ1つとポテト、それと、サラダをお願いします,"I'd like a medium-sized margherita, fries, and a salad, please."
じゃ、A席を2枚お願いします,"I'd like two A seats, please."
待ち合わせはどこにしますか,Where would you like to meet?
財布には、現金3万円とクレジットカード、銀行のカードが入っていました,"In his wallet, he had 30,000 yen in cash, credit cards, and a bank card."
例えば、どこですか,"For example, where would you like to go?"
座席指定はできますか,Can I choose my seat?
こんな感じにしてもらえますか,Can you make it like this?
本日з時に面接のお約束をいただいておりますスミスと申します,"My name is Smith, and I have an appointment for an interview at з today."
テレビで相撲を見ますか,Do you watch sumo on TV?
硫黄島からの手紙を見たことがありますか,Have you ever seen Letters from Iwo Jima?
妹は大学を卒業したばかりです,My sister has just graduated from college.
この辺にいい医者はいますか。薬がなくなりそうです,Is there a good doctor around here? I'm running out of medicine.
旅行がとても好きです,I like traveling a lot.
紅葉がとてもきれいでした,The autumn leaves were so beautiful.
寒いですね,It's cold here.
近所の人とよく話しますか,Do you talk to your neighbors a lot?
スティーヴン・キングの新しい小説は読みましたか,Have you read Stephen King's new novel?
料金には食事代も入っていますか,Does the price include meals?
何時ごろなら、ご自宅にいらっしゃいますか,What time would you like to come to your house?
こちらにいらっしゃったのは初めてですか,Is this the first time you have been here?
デザートはお召し上がりになりますか,Would you like to have dessert?
すみません、何とおっしゃいましたか,"I'm sorry, what did you say?"
お母様はいつもどんな服をお召しになっていますか,What kind of clothes does your mother usually wear?
お時間があれば、ぜひご覧ください,"If you have time, please have a look."
こういうサービスがあるのはご存じでしょうか,Did you know that we offer this service?
遠くからお越しいただき、ありがとうございます,Thank you for coming from so far away!
量が多いので、皆さん、驚かれます,You'll be surprised at how much we have!
こちらの美術館にはもう行かれましたか,Have you been to this museum yet?
初めて来られたという方が多いです,Many of you are here for the first time.
ほかの方々は先ほど帰られたようです,It seems that others have just left.
いかがなさいますか,How are you doing?
お飲み物は何になさいますか,What would you like to drink?
登録はもうされましたか,Have you registered yet?
キャンセルされますか,Would you like to cancel?
ご案内します,I'll show you around.
ご予約をいただき、ありがとうございます,Thank you for your reservation.
番号を申し上げます,May I have your number?
お名前を伺いしてもよろしいでしょうか,"May I have your name, please?"
本日、割引券を差し上げております,I have a discount coupon for you today.
カードを拝見します,May I see your card?
ただ今参りますので、少々お待ちください,I'll be with you in just a moment.
トイレは、この奥にございます,The restroom is in the back.
税込で3500円でございます,"The price is 3,500 yen including tax."
本日は誠にありがとうございます,Thank you very much for your time today.
こちらがMサイズでございます,This is the M size.
こちら、お飲み物のメニューでございます,Here is the beverage menu.
お二方とも、コーヒーでよろしいでしょうか,Would coffee be okay for both of you?
ご注文の品はお揃いでしょうか,Would you like to order the same thing?
わたくしではわかりかねます,I'm afraid I don't know.
いらっしゃいませ,"Welcome, sir."
ごゆっくりどうぞ,Please take your time.
何かありましたら、お申し付けください,Please let us know if there is anything we can do for you.
お忘れ物はございませんか,Is there anything you forgot?
ご来店ありがとうございました,Thank you for coming.
