W1,W2,W3,W4
"<b>安全</b>
<br>あんせん <br>safe・secure <br>安全な投資","<b>確か</b> <br>たしか <br>sure・certain・positive・definite​ <br>確かな特徴","<b>明らか</b> <br>あきらか <br>clear・obvious・evident・bright <br>明らかな有利","<b>大丈夫</b> <br>だいじょうぶ <br>safe・secure・sound <br>大丈夫な可能性"
"<b>一般</b> <br>いっぱん <br>general・universal <br>一般な誤解","<b>重要</b> <br>じゅうよう <br>important・essential <br>重要な瞬間","<b>非常</b> <br>ひじょう <br>​extraordinary・unusual <br>非常な影響","<b>奇麗</b> <br>きれい <br>pretty・beautiful・clean・neat <br>奇麗な景色"
"<b>具体的</b> <br>ぐたいてき <br>concrete・definite・specific <br>具体的な要件","<b>十分</b> <br>じゅうぶん <br>enough・sufficient・adequate <br>十分な基礎学力","<b>大切</b> <br>たいせつ <br>important・necessary​ <br>大切な資産","<b>特別</b> <br>とくべつ <br>special・unique・extraordinary <br>特別な訓練"
"<b>自然</b> <br>しぜん <br>natural・spontaneous <br>自然な平均寿命","<b>嫌</b> <br>いや <br>disagreeable・unpleasant <br>嫌な雰囲気","<b>同様</b> <br>どうよう <br>same・similar・equal​ <br>同様な配列","<b>大事</b> <br>だいじ <br>important・serious​・valuable <br>大事な要素"
"<b>好き</b> <br>すき <br>liked・well-liked・favourite <br>好きな歌手","<b>簡単</b> <br>かんたん <br>simple・easy・uncomplicated​ <br>簡単な解決策","<b>完全</b> <br>かんぜん <br>perfect・complete​ <br>完全な実装","<b>有名</b> <br>ゆうめい <br>famous <br>有名な作品"
"<b>新た</b> <br>あらた <br>new・fresh・novel​ <br>新たな洞察","<b>有効</b> <br>ゆうこう <br>valid・effective​ <br>有効な用量","<b>巨大</b> <br>きょだい <br>huge・gigantic・enormous​ <br>巨大な地下空間","<b>多様</b> <br>たよう <br>diverse・varied​ <br>多様な価値観"
"<b>相当</b> <br>そうとう <br>appropriate・suitable・befitting <br>相当な距離","<b>遥か</b> <br>はるか <br>far away・far off・distant <br>遥かな目的地","<b>意外</b> <br>いがい <br>unexpected・surprising​ <br>意外な視点","<b>高度</b> <br>こうど <br>high-degree・high-grade <br>高度な調査分析"
"<b>静か</b> <br>しずか <br>quiet・silent・calm <br>静かな位置","<b>単純</b> <br>たんじゅん <br>simple・plain・uncomplicated <br>単純な定義","<b>立派</b> <br>りっぱ <br>splendid・fine・elegant <br>立派な思考機構","<b>当たり前</b> <br>あたりまえ <br>natural・reasonable​・usual <br>当たり前な試験室環境"
"<b>豊か</b> <br>ゆたか <br>abundant・wealthy・plentiful <br>豊かな資源","<b>確実</b> <br>かくじつ <br>certain・sure・definite <br>確実な保存","<b>特殊</b> <br>とくしゅ <br>special・peculiar・unique <br>特殊な設定","<b>容易</b> <br>ようい <br>easy・simple・plain​ <br>容易な導入"
"<b>明確</b> <br>めいかく <br>clear・precise・definite​ <br>明確な理解","<b>残念</b> <br>ざんねん <br>regrettable・disappointing <br>残念な報告","<b>見事</b> <br>みごと <br>splendid・magnificent <br>見事な自然","<b>懸命</b> <br>けんめい <br>eager・earnest・strenuous <br>懸命な捜索"
