Words,Reading,Meaning,Type,Sentence,Translation
止す,よす,"to cease, abolish, resign, give up ",trans.,爪を噛むのはよしなさい。,Stop biting your nails.
打つ,うつ,to hit,trans.,彼女はボールを強く打った。,She hit the ball hard.
撃つ,うつ,"to attack, defeat, destroy ",trans.,今までに銃を撃ったことある？,Have you ever fired a gun before?
討つ,うつ,"to attack, avenge",trans.,いつかは敵を討つぞ。,Someday we will avenge our enemies.
勝つ,かつ,to win,intrans.,選挙に勝つ。,Win an election.
立つ,たつ,"to stand, rise, stand up",intrans.,寺は山の中腹に立っている。,The temple stands halfway up the mountain.
経つ,たつ,"to pass, lapse, elapse",intrans.,彼がここに移り住んでから３年経った。,It's been three years since he moved here.
建つ,たつ,"to erect, be erected, be built ",intrans.,昔は田んぼだった所に巨大な工場が建っている。,Huge factories are being built on what used to be rice paddies.
発つ,たつ,"to depart (on a plane, train, etc.) ",intrans.,私たちはここを発つところです。,We are about to leave here.
絶つ,たつ,"to sever, cut off, suppress, abstain (from) ",trans.,登山隊が消息を絶った。,We lost contact with the climbers.
打つ,ぶつ,"to hit, strike",trans.,平手で頬を打たれた。,He slapped me on the cheek.
待つ,まつ,to wait,trans.intrans.,ちょっとお待ちください。,"Wait a moment, please."
持つ,もつ,"to possess, hold, have",trans.,かばんを持ちましょう。,Let's take the bag.
死ぬ,しぬ,to die,intrans.,彼が死んでから５年になる。,It's been five years since he died.
飛ぶ,とぶ,"to fly, hop",intrans.,ちょうがひらひら飛んでいる。,A bird is fluttering in the air
跳ぶ,とぶ,"to jump, fly, leap",intrans.,急にばったが葉から跳んだ。,Suddenly a grasshopper jumped from the leaf.
呼ぶ,よぶ,"to call out, invite",trans.,ただちに医者が呼ばれた。,A doctor was called immediately.
編む,あむ,"to knit, compile , edit",trans.,毛糸でセーターを編む。,Knitting a sweater with wool yarn
産む,うむ,"to give birth, deliver, produce, yield",trans.,彼女はいつ赤ちゃんを産むのだろうか。,When will she have a baby?
噛む,かむ,"to bite, chew",trans.,あなたの犬は噛む？,Does your dog bite?
組む,くむ,to put together,godan,彼は腕を組んで戸口に立っていた。,"He stood in the doorway, arms crossed."
汲む,くむ,"to draw (water), dip, scoop, pump",trans.,バケツに水を汲んでくるよ。,I'll go get a bucket of water.
酌む,くむ,to serve sake,trans.,私たちは雪を見ながら酒を酌んだ。,We watched the snow and drank.
込む,こむ,"to be crowded, be packed, be complex, intricate, go into",intrans.,今日の料理は随分と手が込んでいるね。,Today's dish is very elaborate.
混む,こむ,"to be crowded, be packed, be congested",intrans.,夕方からは混むことが多いのでご注意下さい。,Please note that it is often crowded in the evening.
住む,すむ,to live in,intrans.,彼はここに住んでいるのですか。,Does he live here?
済む,すむ,to finish,intrans.,この本はもうお済みですか。,Have you already read this book?
澄む,すむ,"to clear (e.g. weather), become transparent",intrans.,川の水はとても澄んでいた。,The river water was very clear.
積む,つむ,"to pile up, stack",trans.,トラックに材木が山と積んであった。,The truck was loaded with a pile of lumber.
富む,とむ,"to be rich, become rich",intrans.,日本は美しい景色に富んでいる。,Japan is rich in beautiful scenery.
飲む,のむ,to drink,trans.,お茶を飲みながら話し合った。,They talked over a cup of tea.
踏む,ふむ,to step on,trans.,,
揉む,もむ,"to rub, crumple (up), wrinkle ",trans.,,
止む,やむ,to stop,intrans.,,
病む,やむ,"to fall ill, be ill",intrans.,,
読む,よむ,to read,trans.,,
有る,ある,"to be, have(used for inanimate objects)",intrans.,,
在る,ある,"to live, to be",intrans.,,
居る,いる,"to be, have (used for people and animals)",intrans.,,
要る,いる,to need,intrans.,,
煎る,いる,"to roast, parch, fry, toast",trans.,,
炒る,いる,"to roast, to parch, to toast, to boil down​",trans.,,
入る,いる,"to get in, to go in, to come in, to flow into, to set, to set in ",intrans.,,
売る,うる,to sell,trans.,,
得る,うる,"to get, to gain, to win",trans.,,
得る,える,"to get, to gain, to win",trans.,,
折る,おる,to break or to fold,trans.,,
居る,おる,"to be (animate), to be, to exist ",intrans.,,
織る,おる,to weave,trans.,,
刈る,かる,"to cut (hair), to mow (grass), to harvest",trans.,,
切る,きる,to cut,trans.,,
着る,きる,"to wear, to put on",trans.,,
来る,くる,to come,intrans.,,
蹴る,ける,to kick,trans.,,
去る,さる,"to leave, to go away",intrans.,,
知る,しる,"to know, to be aware of, to cognise, to notice, to comprehend",trans.,,
為る,する,to do,suru,,
為す,なす,"to build up, to establish, to form, to do, to perform, to attempt, to print",trans.,,
剃る,する,to shave,trans.,,
散る,ちる,"to fall, to scatter (e.g.blossoms), to be dispersed, spread",intrans.,桜の花が散ってしまった。,Cherry blossoms have fallen.
釣る,つる,"to fish, to lure, to temp",trans.,川で魚が釣れましたか。,Did you catch any fish in the river?
吊る,つる,"to hang, to suspend",trans.,部屋の天井には電灯が吊られていない。,There are no electric lights hanging from the ceiling of the room.
照る,てる,to shine,intrans.,太陽がさんさんと照っている。,The sun is shining brightly.
出る,でる,"to leave, to exit, to go out, to come out, to get out",intrans.,いま自宅を出るところです。,I'm just leaving home now.
取る,とる,"to take something, to pick up, to pass, to remove",trans.,お手に取ってご覧ください。,Please pick up a copy and take a look!
撮る,とる,to take a photo or record a film ,trans.,写真を撮ってもらった。,I had my picture taken.
採る,とる,"to adopt (measure, proposal), to pick (fruit)",trans.,この方法を採ろう。,Let's adopt this method.
捕る,とる,"to take, to catch (fish), to capture ",trans.,あなたが捕った魚の写真見たわよ。,I saw the pictures of the fish you caught.
摂る,とる,"to have (lunch), to take (vitamins)",trans.,イタリア人は日に2回しっかりと食事を摂る。,Italians eat two solid meals a day.
鳴る,なる,to sound,intrans.,呼び鈴が鳴っていますよ。,The doorbell is ringing.
為る,なる,"to change, to be of use, to reach to ",intrans.,５人の電車賃はいくらになりますか。,How much is the train fare for 5 people?
成る,なる,to become,intrans.,雨は夜半から雪になった。,Rain turned to snow at midnight.
生る,なる,to bear fruit,intrans.,この木は実がなりますか。,Does this tree bear fruit?
似る,にる,to be similar,intrans.,あの娘は母親によく似ている。,That girl looks a lot like her mother.
煮る,にる,"to boil, to cook, to simmer, to stew",trans.,野菜をとろ火で煮る。,Simmer vegetables over low heat.
塗る,ぬる,"to paint, to colour, to plaster ",trans.,テーブルにニスを２度塗る。,Two coats of varnish on the table
寝る,ねる,"to go to bed, to sleep",intrans.,疲れたから少し寝たい。,I'm tired and need some sleep.
練る,ねる,"to knead, to work over, to polish up, to train, to refine",trans.,これはかなり良く練られた計画だったね。,This was a pretty well thought out plan.
乗る,のる,"to get on, to ride",intrans.,広島で新幹線に乗った。,I took the Shinkansen in Hiroshima.
載る,のる,"to appear (in print), to be recorded ",intrans.,君の名が顧客リストに載っている。,Your name is on the client list.
貼る,はる,to stick,trans.,ポスターを壁にはった。,We put up posters on the walls.
張る,はる,"to stick, to paste, to affix",trans.,会場の周りに幕を張った。,They put up curtains around the hall.
降る,ふる,"to fall, e.g. rain or snow",intrans.,雨がひどく降っている。,It is raining terribly.
振る,ふる,"to wave, shake, swing, sprinkle, cast (actor), allocate (work)",trans.,よく振ってからお飲みください。,Shake well before drinking.
減る,へる,"to decrease (in size or number), diminish, abate ",intrans.,会員数が減った。,Membership has declined.
経る,へる,"to pass, elapse, experience ",intrans.,各種の職業を経る。,Go through a variety of occupations.
掘る,ほる,"to dig, excavate",trans.,地面に深い穴を掘った。,I dug a deep hole in the ground.
彫る,ほる,"to carve, engrave, sculpture, chisel, to tattoo",trans.,表札に自分の名前を彫った。,I carved my name on the nameplate.
観る,みる,"to see, watch",trans.,私は映画を観るのが好きです。,I like to watch movies.
見る,みる,"to see, watch",trans.,誰だか行って見て来よう。,I'll go and see who it is.
診る,みる,to examine (medical),trans.,医者に診てもらいなさい。,You'd better consult your doctor.
盛る,もる,"to serve (food, etc.), fill up, prescribe ",trans.,盆にオレンジを盛る。,Serve oranges on a tray.
漏る,もる,"to leak, run out",intrans.,雨が降ると必ず屋根から雨水が漏る。,The roof leaks every time it rains.
寄る,よる,"to approach, draw near, come near,  gather, stop by, visit",intrans.,彼はそばへ寄って来た。,He came up to me.
因る,よる,"to be based on, come from, be due to, be caused by, depend on",intrans.,重さによって値段が違う。,The price depends on the weight.
遣る,やる,"to do, have sexual intercourse, kill, give, dispatch",trans.,時計は直しにやってあります。,Clock has been done to fix it.
割る,わる,"to divide, cut, break, to halve ",trans.,ボールをぶつけて窓ガラスを割ってしまった。,I hit the ball and broke the window.
覆う,おおう,"to cover, hide, conceal, wrap, disguise ",trans.,雪が地面を覆った。,Snow covered the ground.
匂う,におう,"to be fragrant, to smell, to stink ",,,
誓う,ちかう,"to swear, to vow, to take an oath, to pledge ",,,
使う,つかう,to use,,,
違う,ちがう,to differ,,,
願う,ねがう,"to desire, to wish, to request ",,,
救う,すくう,"to rescue from, to help out of ",,,
掬う,すくう,"to scoop, to ladle out",,,
襲う,おそう,to attack,,,
誘う,さそう,"to invite, to ask, to tempt, to lure, to induce",,,
歌う,うたう,to sing,,,
慕う,したう,"to yearn for, to miss, to adore, to love dearly ",,,
雇う,やとう,"to employ, to hire",,,
叶う,かなう,to come true (wish),,,
担う,になう,"to carry on shoulder, to bear (burden), to shoulder (gun) ",,,
奪う,うばう,to snatch away,,,
構う,かまう,"to mind, to care about, to be concerned about ",,,
給う,たまう,"to receive, to grant",,,
思う,おもう,"to think, to feel",,,
通う,かよう,to commute,,,
洗う,あらう,to wash,,,
嫌う,きらう,"to hate, to dislike, to loathe ",,,
拐う,さらう,"to carry off, to run away with, to kidnap, to abduct",,,
習う,ならう,to learn,trans.,子供のころスキーを習った。,I learned to ski as a kid.
倣う,ならう,"to imitate, to follow, to emulate",,,
狙う,ねらう,to aim at,,,
払う,はらう,to pay,,,
貰う,もらう,to receive,,,
笑う,わらう,"to laugh, to smile",,,
狂う,くるう,"to go mad, to get out of order ",,,
揃う,そろう,"to become complete, to be equal, to be all present, to gather",,,
拾う,ひろう,"o pick up, to gather",,,
祝う,いわう,"to congratulate, to celebrate ",,,
扇ぐ,あおぐ,"to fan, to flap",,,
仰ぐ,あおぐ,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take ",,,
描く,えがく,"to draw, to paint, to sketch, to depict, to describe ",,,
磨く,みがく,"to brush teeth, to polish",,,
嘆く,なげく,"to sigh, to lament, to grieve ",,,
動く,うごく,to move,,,
塞ぐ,ふさぐ,"to stop up, to close up, to block (up)",,,
築く,きずく,"to build, to pile up, to amass ",,,
濯ぐ,すすぐ,"to rinse, to wash out",,,
弾く,はじく,"to flip, to snap",,,
稼ぐ,かせぐ,"to earn income, to labor ",,,
防ぐ,ふせぐ,"to defend (against), to protect, to prevent",,,
急ぐ,いそぐ,to hurry,,,
注ぐ,そそぐ,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) ",,,
除く,のぞく,"to remove, to exclude, to except ",,,
覗く,のぞく,"to peep in, to look in, to peek in, to stick out",,,
叩く,たたく,"to strike, to clap, to dust, to beat ",,,
砕く,くだく,"to break, to smash",,,
跨ぐ,またぐ,to straddle,,,
突く,つつく,"to thrust, to strike, to attack to poke, to nudge, to pick at",,,
懐く,なつく,to become emotionally attached ,,,
続く,つづく,to be continued,,,
担ぐ,かつぐ,"to shoulder, to carry on shoulder ",,,
届く,とどく,to reach,,,
解く,ほどく,to unfasten,,,
繋ぐ,つなぐ,"to tie, to fasten, to connect, to transfer (phone call) ",,,
招く,まねく,to invite,,,
凌ぐ,しのぐ,"to outdo, to surpass, to endure, to keep out (rain), to tide over, to pull through, to defy",,,
裁く,さばく,to judge,,,
響く,ひびく,to resound,,,
省く,はぶく,"to omit, to eliminate, to curtail, to economize ",,,
背く,そむく,"to run counter to, to go against, to disobey, to infringe ",,,
泳ぐ,およぐ,to swim,,,
乾く,かわく,to get dry,,,
渇く,かわく,to be thirsty,,,
騒ぐ,さわぐ,"to make noise, to be excited ",,,
開く,ひらく,to open an event,,,
歩く,あるく,to walk,,,
返す,かえす,to return something,,,
帰す,かえす,to send back,,,
倒す,たおす,"to throw down, to beat, to bring down, to blow down ",,,
通す,とおす,"to let pass, to overlook, to continue ",,,
直す,なおす,"to fix, to repair",,,
治す,なおす,"to cure, to heal, to fix, to correct, to repair ",,,
犯す,おかす,"to commit, to perpetrate, to violate, to rape ",,,
侵す,おかす,"to invade, to raid, to trespass, to violate, to intrude on ",,,
任す,まかす,"to entrust, to leave to a person ",,,
汚す,けがす,"to disgrace, to dishonour ",,,
探す,さがす,to look for,,,
捜す,さがす,"to search, to seek, to look for ",,,
流す,ながす,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)",,,
逃す,のがす,"to let loose, to set free, to let escape ",,,
隠す,かくす,"to hide, to conceal",,,
訳す,やくす,to translate,,,
略す,りゃくす,to abbreviate,,,
起す,おこす,to wake,,,
残す,のこす,"to leave (behind, over), to bequeath, to save, to reserve ",,,
汚す,よごす,"to disgrace, to dishonour, to pollute, to contaminate, to soil, to make dirty",,,
崩す,くずす,"to destroy, to pull down, to make change (money)",,,
外す,はずす,"to unfasten, to remove",,,
浸す,ひたす,"to soak, to dip, to drench",,,
渡す,わたす,to hand over,,,
乱す,みだす,"to throw out of order, to disarrange, to disturb",,,
写す,うつす,to copy or photograph,,,
移す,うつす,"to remove, to transfer, to infect",,,
映す,うつす,"to project, to reflect, to cast (shadow)",,,
落す,おとす,to drop,,,
脅す,おどす,"to threaten, to menace",,,
戻す,もどす,"to restore, to put back, to return",,,
貶す,けなす,to speak ill of,,,
話す,はなす,to speak,,,
離す,はなす,"to part, divide, separate",,,
放す,はなす,"to separate, to set free",,,
潰す,つぶす,"to smash, to waste",,,
零す,こぼす,to spill,,,
騙す,だます,"to trick, to cheat, to deceive",,,
示す,しめす,"to denote, to show, to point out, to indicate",,,
試す,ためす,"to attempt, to test",,,
記す,しるす,"to note, to write down",,,
吊す,つるす,to hang,,,
許す,ゆるす,"to permit, to allow, to approve, to forgive",,,
下す,おろす,"to lower, to let go down",,,
卸す,おろす,"to sell wholesale, grated (vegetables)",,,
殺す,ころす,to kill,,,
壊す,こわす,to break,,,
回す,まわす,"to turn, to revolve",,,
育つ,そだつ,"to raise (child), to be brought up, to grow (up)",,,
保つ,たもつ,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure",,,
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",,,
叫ぶ,さけぶ,"to shout, to cry",,,
運ぶ,はこぶ,to transport,,,
結ぶ,むすぶ,"to tie, to bind, to link",,,
遊ぶ,あそぶ,"to play, to make a visit",,,
学ぶ,まなぶ,"to study (in depth), to learn, to take lessons in",,,
及ぶ,およぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal",,,
選ぶ,えらぶ,to choose,,,
並ぶ,ならぶ,"to line up, to stand in a line",,,
転ぶ,ころぶ,"to fall down, to fall over",,,
掴む,つかむ,"to seize, to catch, to grasp",,,
歪む,いがむ,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant",,,
拝む,おがむ,"to worship, to beg, to make a supplication",,,
含む,ふくむ,"to hold in the mouth, to bear in mind",,,
恵む,めぐむ,"to bless, to show mercy to",,,
励む,はげむ,"to be zealous, to brace oneself, to endeavour, to strive, to make an effort ",,,
囲む,かこむ,"to surround, to encircle",,,
凹む,へこむ,"to be dented, to be indented, to yield to, to give, to sink, to collapse,, to cave in, to be snubbed",,,
嵩む,かさむ,"to pile up, to increase",,,
憎む,にくむ,"to hate, to detest",,,
挟む,はさむ,"to interpose, to hold between, to insert",,,
刻む,きざむ,"to mince, to carve, to engrave",,,
惜しむ,おしむ,"to be frugal, to value, to regret",,,
軋む,きしむ,"to jar, to creak, to grate",,,
滲む,にじむ,"to run, to blur, to spread, to blot, to ooze",,,
霞む,かすむ,"to grow hazy, to be misty",,,
進む,すすむ,to make progress,,,
盗む,ぬすむ,to steal,,,
休む,やすむ,to rest,,,
沈む,しずむ,"to sink, to feel depressed",,,
涼む,すずむ,"to cool oneself, to cool off, to enjoy evening cool",,,
弾む,はずむ,"to spring, to bound, to bounce, to be stimulated, to be encourage, to get lively, to treat oneself to",,,
望む,のぞむ,"to desire, to wish for, to see, to command (a view of)",,,
臨む,のぞむ,"to look out on, to face, to deal with, to attend (function)",,,
痛む,いたむ,"to hurt, to feel a pain, to be injured",,,
畳む,たたむ,to fold (clothes),,,
妬む,ねたむ,"to be jealous, to be envious",,,
縮む,ちぢむ,"to shrink, to be contracted",,,
包む,つつむ,to wrap,,,
挑む,いどむ,"to challenge, to contend for, to make love to",,,
好む,このむ,"to like, to prefer",,,
頼む,たのむ,to ask (a favour),,,
阻む,はばむ,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart ",,,
萎む,しぼむ,"to wither, to fade (away), to shrivel, to wilt",,,
摘む,つまむ,"to pinch, to hold, to pick up",,,
悩む,なやむ,"to be worried, to be troubled",,,
歩む,あゆむ,"to walk, to go on foot",,,
恨む,うらむ,"to curse, to feel bitter",,,
絡む,からむ,"to entangle, to entwine",,,
睨む,にらむ,"to glare at, to scowl at, to keep an eye on",,,
弛む,たるむ,"to slacken, to loosen, to relax",,,
緩む,ゆるむ,"to become loose, to slacken ",,,
入る,はいる,"to enter, to contain",,,
放る,ほうる,to let go,,,
帰る,かえる,to go back,,,
反る,かえる,"to warp, to be warped, to curve",,,
返る,かえる,"to return, to come back, to go back",,,
凍る,こおる,"to freeze, to be frozen over, to congeal",,,
通る,とおる,to go through,,,
直る,なおる,"to be fixed, to be repaired",,,
治る,なおる,"to be cured, to heal",,,
怒る,いかる,"to get angry, to be angry",,,
罹る,かかる,to suffer from,,,
盛る,さかる,"to prosper, to flourish, to copulate (animals)",,,
叱る,しかる,to scold,,,
計る,はかる,"to measure, to weigh, to survey",,,
量る,はかる,"to measure, to weigh, to survey",,,
測る,はかる,"to measure, to weigh, to survey",,,
諮る,はかる,"to consult with, to confer",,,
図る,はかる,"to plot, to attempt, to plan, to take in, to deceive, to devise, to design",,,
光る,ひかる,"to shine, to glitter",,,
上る,あがる,to rise,,,
尖る,とがる,"to taper to a point, to become sharp, to be sour, to look displeased",,,
限る,かぎる,"to restrict, to limit, to confine",,,
契る,ちぎる,"to pledge, to promise, to swear ",,,
握る,にぎる,"to grasp, to hold a (thing) in one’s hand, grip",,,
送る,おくる,to send,,,
贈る,おくる,"to send, to give to, to award to, to confer on",,,
作る,つくる,to make,,,
造る,つくる,"to make, to create, to manufacture, to draw up, to write, to compose",,,
