Words,Expression,Translation
違いない,それは本当に違いない,It really makes no difference
上手い,上手いプレイヤー,A good player
薄暗い,薄暗い部屋,Dimly lit room
酸っぱい,酸っぱいスープ,Sour soup
騒がしい,騒がしい子供たち,Noisy children
喧しい,喧しい隣人,Bustling neighbors
醜い,醜い怪物,Ugly monsters
思いがけない,素材の思いがけない個性を引き出し,Bringing out the unexpected character of the ingredients
鈍い,鈍い先端,Dull tips
厚かましい,厚かましい要求,The thick-skinned demand
恋しい,恋しい人,The person you miss
済まない,済まない局面,The sorry phase
図々しい,図々しい奴,The brazen one
蒸し暑い,蒸し暑い月曜日の朝,Hot and humid Monday morning
険しい,険しい山,Steep mountains
下らない,下らない回答,A lame answer
痒い,痒いところを掻く,Scratching an itch
勿体ない,本当にもったいない,A real waste of time
塩辛い,塩辛い料理,Salty food
眩しい,眩しい季節になりました,It's a dazzling season
面倒くさい,面倒くさい作業,Tedious work
諄い,諄い説明,Wordy explanations
清い,清い空気,Clean air
勇ましい,勇ましい努力の結果,The result of heroic effort
憎らしい,憎らしいシステム,A hateful system
頼もしい,頼もしい担い手,A reliable bearer
心地良い,心地良い香りを持っています,Has a pleasant aroma
好ましい,好ましい担体,A favorable carrier
快い,快い芳香,Pleasant aroma
逞しい,逞しい企業家精神,A robust entrepreneurial spirit
やばい,これの歌詞がやばい,The lyrics of this are so bad
惜しい,食べるのが惜しいほど,It's too good to eat
限り無い,限りない可能性,Endless possibilities
細長い,細長い遊歩道,"A long, narrow promenade"
慌ただしい,慌ただしい生活のペース,The hectic pace of life
緩い,緩い関係,A loose relationship
可愛らしい,可愛らしい仕草,Cute gestures
尊い,尊い命を守るため,To protect precious life
切ない,切ない言葉を聞いて,Hearing sad words
青白い,青白い顔をしている,A pale face
夥しい,夥しい種類の楽器,A great variety of instruments
分厚い,分厚い手袋,Thick gloves
しんどい,しんどい状況,A tough situation
甚だしい,甚だしい無関心の場合,A case of extreme indifference
息苦しい,息苦しい痛みを伴います,With suffocating pain
狡い,狡い企み,Cunning schemes
心細い,心細い気持ちで,With a feeling of anxiousness
奥深い,奥深い甘みと香り,Deep sweetness and fragrance
ややこしい,ややこしい質問と迷路,Complicated questions and mazes
頼り無い,頼りない印象,Unreliable impressions
儚い,儚い記憶,Fleeting memories
素っ気ない,素っ気ない態度,A curt attitude
根強い,根強い需要,Persistent demand
うざい,うざい翻訳,Annoying translation
脆い,脆い生態系,Fragile ecosystem
嫌らしい,嫌らしい言い方,Disgusting language
気まずい,気まずい会話,Awkward conversations
程遠い,程遠いところにある,Far from it
容易い,容易いことではありません,Not an easy task
四角い,四角い化粧箱,Square cosmetic boxes
渋い,渋いお茶,Astringent tea
愛しい,愛しい家族,A loving family
腹立たしい,腹立たしいインタラクション,Angry interactions
弱々しい,弱々しい声,Weak voice
鬱陶しい,鬱陶しい職業,Depressing Occupation
潔い,潔い形態の操作,Graceful form of manipulation
目覚ましい,目覚ましい進展,Remarkable progress
荒々しい,荒々しいサッカーの試合,Rough soccer game
誇らしい,誇らしい考えである,It is a proud thought
みっともない,みっともない格好,Unbecoming attire
甲高い,甲高い音聞こえないか,Can't you hear the high-pitched noise?
煩わしい,煩わしいシステム構成となる,It's an annoying system configuration
卑しい,卑しい素性であり,It's a lowly background
だらし無い,だらしないイメージ,A sloppy image
怠い,再びだるい感じがするなら,If you're feeling sluggish again
手早い,手早い作業が行えます,We can make quick work of it
ぎこちない,ぎこちない表現でした,It was awkwardly expressed
訝しい,訝しい点がある,There's a quizzical point
重苦しい,重苦しい雰囲気,Has a heavy atmosphere
重たい,重たい様式である,It is a heavy style
憎い,憎い美徳,Hateful virtues
若々しい,若々しい才能,A youthful talent
覚束無い,おぼつかない足取りながら,With faltering steps
呆気ない,呆気ない崩壊について,On a quick collapse
名高い,名高いブランドを保有する,Holding a prestigious brand
もどかしい,もどかしい関係,A frustrating relationship
清々しい,清々しい香り,A fresh aroma
変わらない,変わらない味,Taste that never changes
余儀ない,余儀ない事情,Unavoidable Circumstances
粘り強い,粘り強い取り組み,Tenacious efforts
役に立たない,役に立たない政府高官,Useless government officials
芳しい,芳しい花の香り,Aromatic scent of flowers
小高い,小高い岩山,Tall rocky mountains
目まぐるしい,目まぐるしい報道番組,Dizzying news programs
物足りない,物足りない感じ,Feeling inadequate
数え切れない,数え切れない修正を経て,Through countless revisions
荒っぽい,荒っぽい運転では,In rough driving
興味深い,興味深いダイナミクス,Interesting dynamics
涙ぐましい,涙ぐましい努力,Tearful efforts
数少ない,世界で数少ない鉄道システム,One of the few railroad systems in the world
あり得ない,あり得ない幸運,Unbelievable luck
計り知れない,計り知れない意義,Immeasurable significance
肌寒い,肌寒い朝でした,It was a chilly morning
果てしない,果てしない熱意,Endless enthusiasm
生ぬるい,生ぬるい共感,Lukewarm sympathy
辛抱強い,辛抱強い看病のおかげで,Thanks to patient nursing
悩ましい,悩ましい問題,Troubling problems
気安い,気安い関係,An easy relationship
縁遠い,縁遠い都市でしたが,I was a city with no ties to the city
用心深い,用心深い分析者,Cautious analyst
香ばしい,香ばしい醤油の味,The savory taste of soy sauce
虚しい,虚しい理想,Vain ideals
モテない,女の子にモテない,Unattractive to girls
つまんない,つまんない男,Boring guy
暇がない,読書の暇がない,No time for reading
注意深い,注意深い作戦,Careful maneuvering
ほろ苦い,ほろ苦い思い出,Bittersweet memories
甘酸っぱい,甘酸っぱいタレ,Sweet and sour sauce
頼もしい,大変頼もしいキットである,Is a very reliable kit
忍耐強い,忍耐強いタイプ,Patient type
他愛ない,他愛ない会話,Silly conversation
