Kanji,NR,KR,Meaning,W1,R1,M1
枚,MAI,.,"sheet of, counter for flat thin objects",一枚,いちまい,"one thin flat object, one sheet"
枚,MAI,.,"sheet of, counter for flat thin objects",二枚目,にまいめ,handsome man​
枚,MAI,.,"sheet of, counter for flat thin objects",三枚目,さんまいめ,comedian
枚,MAI,.,"sheet of, counter for flat thin objects",二枚舌,にまいじた,"double-dealing, duplicity"
枚,MAI,.,"sheet of, counter for flat thin objects",一枚看板,いちまいかんばん,"leading player, prima donna"
枚,MAI,.,"sheet of, counter for flat thin objects",枚数,まいすう,the number of flat things
枚,MAI,.,"sheet of, counter for flat thin objects",一枚岩,いちまいいわ,"monolith, large slab of rock"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚い,あつい,"thick, deep, heavy​, kind, cordial"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚かましい,あつかましい,"impudent, shameless, brazen"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",濃厚,のうこう,"rich, strong, heavy, thick"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",温厚,おんこう,"gentle, mild-mannered"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚着,あつぎ,"wearing thick clothes, dressing warmly​"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",分厚い,ぶあつい,"bulky, massive, thick, heavy"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",手厚い,てあつい,"warm, kind, cordial, hospitable"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚化粧,あつげしょう,"thick makeup, heavy makeup"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚紙,あつがみ,"cardboard, thick paper"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚生,こうせい,"welfare, public welfare, social welfare"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚意,こうい,"kindness, favor, favour"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚相,こうしょう,welfare minister
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",福利厚生,ふくりこうせい,"employee welfare, employee benefits"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚み,あつみ,"thickness, depth"
厚,KOU,atsu,"thick, heavy, rich, kind, cordial",厚さ,あつさ,thickness
