Sentence,Translation
議長は時間に関して厳しいので、絶対遅刻はできない。,"The chairman is very strict about time, so you can never be late."
その件に関しましては、後ほどご説明いたします。,We will explain this matter later.
バーゲンセールのたびに、つい要らないものまで買ってしまう。,"Every time there is a bargain sale, I end up buying things I don't need."
父は旅行のたびに、その土地の名産品をおみやげに買ってきてくれる。,"Whenever my father travels, he buys local specialties as souvenirs."
辞書を引くたびに新しい発見がある。,"Every time I pull out the dictionary, I discover something new."
友人たちの活躍を聞くたびに、うれしく思う。,"Every time I hear about the success of my friends, I am happy."
今週はいつものテストに加えてレポート提出もあり、とても忙しい。,This week has been very busy with reports due in addition to the usual tests.
日本経済は原油の値上がりに加え、急激な円高で低迷している。,The Japanese economy has been stagnant due to the sharp appreciation of the yen in addition to the rising price of crude oil.
3月に電車賃が値上がりしたが、それに加え、4 月からはバス代が値上がりす るそうだ。,"In addition to the train fare increase in March, bus fares will also increase from April."
昼間に比べて深夜は電気料金が安い。,Electricity rates are lower late at night than during the day.
今年は例年に比べ、寒さが厳しいそうだ。,This year is said to be colder than usual.
女性のほうが男性に比べ平均寿命の長い国が多い。,"In many countries, women have a longer life expectancy than men."
私は話すのに比べて書く力が弱いんです。,I am not as good at writing as I am at speaking.
私は大学で日本の歴史について勉強したい。,I would like to study Japanese history at university.
両親と卒業後の進路について話し合った。,He discussed his post-graduation plans with his parents.
この記事についてのご意見をお聞かせください。,Please let us know what you think about this article.
新しい事業計画につき、これからご説明いたします。,I will now explain our new business plan.
出入り口につき、駐車禁止。,No parking is allowed at entrance and exit.
本日は定休日につき、休ませていただきます。,We will be closed today for the regular holiday.
残高不足につき、引き落としできません。,The amount cannot be debited due to insufficient balance.
手数料は書類 1 通につき 100 円です。,The fee is 100 yen per document.
駅前を中心に再開発が進められ、新しいビルが次々と建てられている。,"Redevelopment is underway mainly in front of the station, and new buildings are being constructed one after another."
若い世代を中心に人気を集めそうだ。,"It is likely to be popular, especially among the younger generation."
コミックイラストを中心に活動しております。,I am active mainly in comic illustration.
通常これらは単一の産業を中心にする。,Usually these focus on a single industry.
比較的小地域を中心に結合している。,They are combined around relatively small areas.
目上の人に対しては敬語を使わなければならない。,Honorifics must be used with superiors.
先生は学生のどんな質問に対たいしても、ていねいに答えてくれる。,The teachers are always ready to answer any questions students may have.
私は厳格な父に対して、いつも反抗的な態度をとった。,I was always defiant to my strict father.
長引く不況で、国民の政府に対する不満が高まっている。,The prolonged recession has increased public dissatisfaction with the government.
彼女は自分に対して非常に厳しい人だ。,She is very strict with herself.
最近の携帯電話にはカメラをはじめとして、いろいろな機能がついている。,"Modern cell phones have a variety of features, including cameras."
新宿には都庁をはじめ、多くの高層ビルが立ち並んでいる。,"Shinjuku is lined with many skyscrapers, including the Tokyo Metropolitan Government Building."
サミットにはアメリカをはじめとする各国の首脳が集まる。,The summit will bring together the leaders of the United States and other countries.
校長先生をはじめ、先生方には大変お世話になりました。,I would like to thank the principal and all the teachers for all their help.
たとえ少々高くても、質しつのいいものが買いたい。,"Even if it costs a little more, I want to buy something of good quality."
たとえ両親に反対されても、家を出て一人暮らしがしたい。,"I want to leave home and live alone, even if my parents are against it."
手紙は、たとえ字が下へ手たでも手て書がきのほうが暖あたたかみがある。,"A handwritten letter has more warmth and warmth, even if it is written in a cursive style."
たとえ小さな子どもでも、ゆっくり話してやればわかるはずだ。,Even a small child should be able to understand if you talk to him slowly.
