Word,Reading,Meaning,S1,T1
すらっと ,すらっと ,"slim, slender",自分のすらっとした姿を得意に思っています。,I consider my slender figure to be my strong point.
ぽっちゃり,ぽっちゃり,"chubby, plump",肩が少しぽっちゃりして見えたわ。,Your shoulders looked a bit chubby.
がっちり,がっちり,"well-built, muscular, tight",はるか昔にはがっちりした積極的な男性。,"A stocky, aggressive man in the far-off past."
さらさら,さらさら,"smooth, dry, clean",タマネギは血液をさらさらにする。,Onions make the blood more fluid.
てきぱき,てきぱき,"briskly, quickly, promptly​",てきぱき仕事ができる人になりたいな,I want to be a person who can work quickly.
ブツブツ,ブツブツ,"grumble, mutter, complain",ブツブツ文句を言っても、しょうがない。,You can't just mumble and complain.
ワクワク,ワクワク,"excited, thrilled, nervous",明日から日本だ。ワクワクするなあ。 ,I'm going to Japan tomorrow. I'm so excited.
ぼさぼさ,ぼさぼさ,"uncombed, tangled",髪の毛もぼさぼさでした。,My hair was also a mess.
さばさば,さばさば,"refreshing, unfussy",ごたごたが片付いてさばさばした。,The mess was cleared up and I felt refreshed.
てきぱき,てきぱき,"alert, well-organized, crisp",てきぱき働いていました。,They worked quickly and efficiently.
ほのぼの,ほのぼの,"relaxed, heartwarming",純粋なやさしい音色にほのぼのと愛しい想いがわいてきます。,The pure and gentle tone of the music will bring you heartwarming and lovely feelings.
せかせか,せかせか,"busy, restlessly, fidgety",せかせか歩くんだな。,You walk in a hurry.
ぐずぐず,ぐずぐず,"wasting time, dillydallying",ぐずぐずせずに早くしろ。,"Don't dawdle, just get on with it."
おっとり,おっとり,"easygoing, gently, calmly",性格はおっとりしていて優しい。,Her personality is calm and gentle.
ぞくぞく,ぞくぞく,"shiver, thrill, feel chilly",外に出ると寒さでぞくぞくした。,"When I went outside, the cold made me shiver."
のほほん,のほほん,"carefree, easygoing",,
ちゃきちゃき,ちゃきちゃき,"straightforward, frank",,
ちゃらちゃら,ちゃらちゃら,"shallow, vain, playing around",,
クシュン,クシュン,sneeze sound,,
こんこん,こんこん,cough sound,,
ごほごほ,ごほごほ,strong cough,,
むきむき,むきむき,"muscular, brawny",,
