W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
沈没,sinking,大胆,boldness,竹串,bamboo skewer,耳鼻科,otolaryngology,夏の間,during the summer,珊瑚礁,a coral reef
義務,obligation,笑う,smile,ニッチ,a niche,乾電池,dry cell,戦争記念碑,a war memorial,地図,a map
考慮,consider,取る,take,弾丸,bullet,請求する,to invoice,胆石,gallstones,自然災害,a natural disaster
今,now,傾ける,tilt,参照,reference,苦しむ,suffering,下水道,the sewers,滝,a waterfall
日陰,shade,火遊び,playing with fire,貿易台帳,the trade register,休日,holiday,オフィスブロック,an office block,丘,a hill
保存,storage,短縮,shorten,創意,original idea,入手する,to obtain,了承済み,acknowledged,小川,a creek
晴れ,clear,反する,oppose,両院,both house,三日,three days,変わる,change,洪水,a flood
買う,buy,科目,(school) subject,知事,governor,接点,point of contact,規則なので,since it’s a rule,ダム,a dam
聞く,hear,警告ホーン,a warning horn,近く,close,道,road,堤防,an embankment,砂丘,a dune
降水量,a precipitation,暮らす,live,参考,Reference,進化,broadcasting,目立つ,noticeable,火山噴火,a volcanic eruption
質,quality,政府にとって,for the government,名付ける,name,油絵,oil painting,入門,introductory,崖,a cliff
近視,myopia,月収,monthly income,見た後で,after seeing,違う,different,銅器,copperware,ひび,a crack
日焼け,a sunburn,致す,to do,天丼,tempura donburi,易しい,easy,皮,skin,森,a forest
付き添う,to attend on,制服,uniform,直る,get well,時々,sometimes,通知,notification,浮沈,rise and fall
ある日,one day,偏見,prejudice,事業契約,a business contract,沈める,sink,鉄,iron,沈滞,stagnation
無能,incompetence,ステーキとしては,as for the steak,抜ける,exits,喪失,a loss,市長,mayor,沈静,"stillness, tranquility"
依頼,request,津波,a tidal wave,リスク,the risk,測定する,to measure,了見,"idea, thought",消沈,depression
言葉,words,払う,sweep,大家,landlord,姓名,family name,宮殿,a palace,沈痛,sorrowful
少ない,less,寝る,sleep,並ぶ,to stand in a line,日曜日に限らず,not limited to Sundays,開発,development,沈降,sedimentation
生年月日,date of birth,科目,subjects,意味不明,ambiguous,旧市街,an old town,歯科医,dentists,沈没船,sunken ship
許可,allow,科学,science,城,castle,間接,indirection,略,strategy,没収,forfeiture
全日本,all japan,噴火,eruption,売上高,a turnover,九つ,nine,公園,(public) park,沈没,sinking
単調,monotony,配達,delivery,無意識,unconsciousness,甲乙,first and second,乾き,"drying, dryness",没落,"ruin, fall"
交互,alternation,兄,brother,外貨,foreign currency,主婦,housewife,石碑,stone monument,日没,sunset
今日,today,結婚,marriage,服,clothes,破産,a bankruptcy,戦前,before the war,没頭,immersing oneself
引き受ける,to undertake,火器,firearms,墓地,cemetery,特別オファー,a special offer,店舗,the store,水没,submerge
引っ付く,to stick to,開催,holding a meeting,間接費,overhead expenses,唾,spit,油井,oil well,埋没,being buried
霧,"foggy, misty, hazy",激しい,torrential,参院,attendance,結果,a result,建物,a building,出没,appearing often
日記,diary,一月,january,一両,one vehicle,占める,occupy,信号機,traffic lights,没する,"to sink, to go down"
需要,demand,異常,abnormal,暑いということだ,It means it's hot,片道チケット,one way ticket,製鉄,iron manufacture,日没後,after sunset
気象学,meteorology,説,theory,久しぶり,a long time,接ぎ木,grafting,宿泊施設,an accomodation,日没前,before sunset
午前,morning,常識,common sense,運びたくなる,want to carry,予防接種,vaccination,国々,countries,没後,after death
手当て,provide medical attention,正月,new year,路面,road surface,建設会社,construction company,初日,first day,陥没,cave-in
日当たり,exposure to the sun,月並み,monthly,私にとって,for me,商標,a trademark,敷石,paving stones,戦没,killed in action
季節,the season,製品に限って,only for products,流通経路,a channel of distribution,万,all,石垣,stone wall,没交渉,ack of relation
植民地,colonies,不意,"sudden, abrupt",出場,appearance,指差す,pointing at something,重役,(company) director,波,wave
人情,humanity,破局,a catastrophe,参観者,visitor,推定する,to estimate,乾咳,dry cough,津波,tsunami
誰,who,訴え,appeal,サンプル,a sample,乳幼児,infants,純銀,pure silver,電波,"radio wave, signal"
差別,discrimination,開ける,open,丸ごと,in its entirety,家出,running away from home,争う,to compete,脳波,brain waves
付いて来る,to follow,女の子,girl,両面,both sides,研究所,research institute,開く,open,波長,wavelength
働く,work,食糧不足,a scarcity of food,待遇,treatment,先,ahead,花束,bouquet,泡,"bubble, foam"
無邪気,innocence,避難する,to take refuge,月曜日,monday,削り節,flaked bonito,筒井,round well,泡立つ,to bubble
凍結,freezing,引く,draw,携帯電話,cell phone,開設,opening,絵のような,picturesque,泡立てる,"to beat, to whip"
緩やか,slow,協和,consensus,対外貿易,the foreign trade,本当に,really,バス待合所,a bus shelter,泡立ち,foaming
日光,the sunlight,焚き火,bonfires,委託メモ,a consignment note,増加します,an increase,銀行員,bank employee,発泡,foaming
伺う,ask,忘れる,forget,目標に向かって,on target,金利,an interest rate,商店,a store,気泡,(air) bubble
長い上に,on top of being long,回復,a recovery,語る,talk,直前,just before,銅合金,copper alloy,水泡,"foam, bubble"
和らげる,soften,月食,lunar eclipse,眺めつつ,while looking at,憧れ,longing,賃金,"wages, pay",浅い,"shallow, superficial"
熱,the heat,強火,strong fire,丸い,"round, circular",利益率,profit margin,嬉しいことに,to one's joy,浅はか,"shallow, superficial"
表す,represents,脱線する,to derail,列,column,直接投資,direct investment,欠ける,lack,遠浅,wide shallow beach
終える,finish,合成,synthesis,暮らし,life,研ぐ,to sharpen,実業家,industrialist,浅学,shallow knowledge
公式,official,中立,neutral,火曜日,tuesday,弱める,weaken,役職,"post, official position",生活,"life, living"
サイクロン,a cyclone,歌う,sing,題,title,お節介,meddling,レセプション,the reception,活用,practical use
受け売り,retailing,秘書,secretary,卒業したものの,although I graduated,展示会,an exhibition,コーナー,the corner,活動,"activity, action"
土砂降り,a downpour,予言,prediction,国会,parliament,及第点,passing mark,親しみ,familiarity,活気,"energy, vigour"
直ぐ,immediately,少し,little,市街,city,派遣する,to dispatch,慣れ親しむ,to become familiar with,活躍,activity
三日月,crescent moon,結ぶ,tie,原理,principle,膨れる,swell,傍観者,a bystander,活力,vitality
斑状の霧,patchy fog,着る,wear,悪いにつけ,more badly,以外,except,端役,minor role,復活,revival
日夜,day and night,調子,tone,真ん丸,perfect circle,工場,a factory,観測,observation,阪神,osaka-kobe
雨で注ぐ,to pour with rain,登校,school attendance,出席のため,to attend,研究開発,research and development,裁判所,court,大阪,osaka
月日,day of month,眼科医,ophthalmologist,助けようとしている,trying to help,保証,a guarantee,地位には関わりなく,regardless of position,京阪,kyoto-osaka
日和,climatic conditions,生食,eating something raw,天気予報と逆に,contrary to weather forecast,悪い,bad,互角,equal (in ability),大阪府,osaka prefecture
本,book,合意,(coming to an) agreement,渇いてたまらない,so thirsty,流行,fashion,駆け足,rushing,阻止,obstruction
日数,number of days,理想,ideal,ご飯,rice,反乱,"mutiny, rebellion",村,a village,阻む,"to prevent, to hinder"
低,low,品,goods,債務者,a debtor,雨具,rain gear,大理石,marble,阻害,"obstruction, inhibition"
帰る,return,本能,instinct,直後,immediately after,乱入,intrusion,銀杯,silver cup,無限,infinity
連日,everydays,不協和音,dissonance,オーダー,an order,設け,preparation,青銅,bronze,権限,power
駐日,resident in japan,首,neck,土曜日,saturday,季節的,seasonal,保護者,guardians,限る,"to restrict, to limit"
丸一日,a whole day,今更,now,施設,facilities,売り手,a seller,文章,writing,制限,restriction
八日,"8 days, 8th day",速い,fast,立ち並ぶ,to stand in a row,漏る,leak,疲れてしょうがない,so tired,限界,"limit, bound"
見受ける,to catch sight of,津波,a tsunami,腸,intestines,給与,a salary,末,end,期限,"term, period"
印鑑,seal,今月末,end of this month,耐久性,durability,削減する,to reduce,門,gate,限度,"limit, bounds"
終日,all day,外科医,surgeon,救い,salvation,提供する,to provide,繰り返す,repeat,限定,"limit, restriction"
所,place,利益率,profit margin,店主,the shopkeeper,管理する,to manage,歩行者,a pedestrian,賞味期限,best-before date
崖,cliff,供給不足,to be ill-fed,有益,beneficial,政権,government,拡張,expansion,個性的,unique
暇な間に,In my spare time,落ちる,fall,持久,"endurance, persistence",限定,"limit, restriction",中央銀行,central bank,単位,unit
乱れる,be disorderly,月曜,monday,丸っきり,completely,良いものの,though it’s good,総理,prime minister,宇宙,universe
新しい,new,悲鳴,scream,模様,pattern,心掛ける,attentive,不十分,insufficient,大学,university
身の回り,around you,好意,"kindness, favor",費用,the expenses,概説,general statement,目下,at present,わからない,unknown
受かる,to pass (examination),エピデミック,an epidemic,バイヤー,a buyer,右手ばかりでなく,not only right hand,好む,like,ようではない,unlike
貴い,precious,火勢,fire strength,長距離バス,long-haul bus,季節,season,花火,fireworks,ありそうもない,unlikely
次男,second son,飢饉に苦しむ,to suffer from famine,ビジネスプラン,a business plan,二十日,20th,府,government,それまで,until
先端,a tip,年月,year month,社説,editorial,街,a city,近所,a neighborhood,普通でない,unusual
供給,supply,規制緩和,deregulation,予防,prevention,数量割引,a quantity discount,フラット,a flat,上,up
使い道,errand,炬燵,torch,価格,the price,和やか,harmonious,問題,problems,その上,upon
考えすぎたあまり,too much thinking,安月給,low monthly salary,ファイル,a file,設備投資,capital investment,社会,society,アッパー,upper
日本料理,japanese food,柔道,judo,予備契約,a preliminary contract,搾乳,milking (a cow),友,friend,都市,urban
若い,young,物理,physics,過ち,mistake,乱視,astigmatism,切手,stamps,衝動,urge
ハリケーン,a hurricane,来店の方に限り,only for store visitors,問題意識,awareness of the issues,飛行場,airfield,知らずに,without knowing,我ら,us
日報,daily report,救済,a relief,両腕,Both arms,出資する,to fund,病院,a hospital,使用する,use
スモッグ,the smog,中断,interruption,閉じる,close,治まる,be at peace,結合,coupling,中古,used
気候,the climate,故意,intent,打ち込む,put into,音節,syllable,交通渋滞,a traffic jam,使える,useful
受信人,addressee,妥協案,compromise,入浴,bathing,組立ライン,an assembly line,景色,the view,ユーザー,user
日経,nikkei,二月,february,日の丸,the sun,設定可能,configurable,自転車道,the bicycle path,いつもの,usual
強風警報,a gale warning,明白,clarity,巨人,giant,交渉,negotiations,亜硝酸,nitrous acid,いつもの,usually
熱い,hot,真相,truth,説明,explanation,借金,a debt,花見,cherry blossom viewing,効用,utility
待つ,wait,管理職,the management,起きる,get up,都市部,an urban area,地上,ground,休暇,vacation
出る,go out,小児科,pediatrics,丼飯,bowl of rice,債権回収,debt collection,後者,latter,谷,valley
遣っ付ける,to beat,家計,household,参考書,reference,発生,occurrence,混雑した,congested,貴重,valuable
日本経済,japanese economy,対談,dialogue,丸焼け,completely burned,を増やす,to increase,城,the castle,価値,value
外交,diplomacy,近代科学,modern science,議論のあげく,after much discussion,止まる,to stop,感心,admiration,変数,variable
氷の風,an icy wind,地震,an earthquake,足並み,pace,大雪のため,due to heavy snow,観光案内所,the tourist office,変化,variation
取り締まり,policing,熱意,"zeal, enthusiasm",営業時間,business hours,創設,founding,競争力,competitiveness,バラエティ,variety
年寄り,old,祈り,prayer,着陸,landing,立て替える,reimburse,生まれる,born,様々,various
日曜,sunday,望月,full moon,両眼,both eyes,柱,pillar,原子力,nuclear power,変化,vary
文学,literature,破産,insolvent,結晶,crystal,設定,"establishment, setting up",育成すべき,should be cultivated,広大,vast
一時,temporary,手すり,handrail,平年並み,average year,改善する,to improve,花,flower,野菜,vegetable
見る,watch.,利息,interest,叫び,shouting,文明,civilization,格好,pose,車両,vehicle
大好き,love,幅,breadth,串刺し,skewer,上手,good,花粉,pollen,ベンチャー,venture
無茶,reckless,特有,special,天気,weather,使用人,servant,岐路,a crossroads,動詞,verb
長い,long,劇場,theater,謝意,gratitude,見える,i see,葉っぱ,leaf,バージョン,version
涼しい,cool,父の話によると,according to my father,並立,standing abreast,例え,metaphor,庁,agency,対,versus
日雇い,day laborer,歯科医師,dentist,並み居る,to sit in a row,節,"occasion, time",野原,field,とても,very
食品,food,地球の微動,an earth tremor,時代とともに,with the times,人により,depending on the person,透明,transparency,容器,vessel
先日,the other day,山火事,forest fire,早期支払い,an early payment,人事,personnel,郵便局,post office,ベテラン,veteran
アパートとしては,as for the apartment,嵐,a storm,滞在,stay,慣らす,accustom,過密,overcrowded,経由,via
保証付き,guaranteed,銃火,gunfire,覚え,memory,設営,setting up,薄い,thin,被害者,victim
無意味,meaningless,月例,monthly,台風による,due to typhoon,延長,extension,群衆,the crowd,勝利,victory
日用品,daily goods,主張,assertion,定款,articles of association,鰹節,katsuobushi,学科,academics,ビデオ,video
霧のパッチ,a patch of fog,載る,be carried,船で,by boat,冷たい,cold,鉄道,railway,見る,view
地球温暖化,global warming,興奮のあまり,so excited,入る,go in,窮乏,poverty,不便なため,due to inconvenience,ビューア,viewer
テント,a tent,話す,talk,力説,emphasizing,妹,sister,道標,a signpost,村,village
製造,manufacturing,高い死傷者数,a high casualty count,張る,stretch,乳児,infant,横断歩道,a pedestrian crossing,違反する,violate
みぞれ,sleet,割り,division,永久,eternity,議長,chairman,以後,after,違反,violation
後回し,postponing,火加減,fire condition,巨星,giant star,牛乳屋,"dairy, milkman",看板,sign,暴力,violence
夕暮れ,dusk,毎月,monthly,顧客,a customer,哺乳瓶,baby bottle,焼け石,hot stone,暴力的,violent
場合に限り,only in the case of,化学,chemical,見渡す,look around,架設,construction,住民,an inhabitant,事実上,virtually
助詞,particle,娘,daughter,風邪,cold,核施設,nuclear facility,鉄鉱,iron ore,美徳,virtue
弱い雨,a soft rain,導火線,fuse,一同,all,区別,distinction,磁石,magnet,ウイルス,virus
土曜日,saturday,上げる,raise,参加国,participating countries,天災,natural disaster,家具,furniture,見える,visible
西暦,western calendar,石油,oil,両国,Both countries,継ぎ接ぎ,patching,期限,due date,ヴィジョン,vision
訓練,training,火事,fire,通す,pass,体系,system,石鹸,soap,訪問,visit
無事,safe,飛び火,sparks,不利な点,a disadvantage,性質,nature,側溝,a gutter,ビジター,visitor
雰囲気,the atmosphere,十二月,december,巨匠,master,線,line,起こす,cause,ビジュアル,visual
気がつく,to notice,図書館,library,牛串,skewered beef,採用します,to employ,交互,alternate,重要,vital
頑固,obstinacy,迷ったあげく,after much thought,仕上げ,finish,接触,"touch, contact",数多く,in great numbers,ボイス,voice
吹く,to blow,妨害,obstruct,ビジネス接続,business connections,お願い,please,意味,meaning,音量,volume
受諾,acceptance,十一月,november,対等,equality,不正,injustice,治る,cure,ボランティア,volunteer
日本式,japanese style,驚いたことに,to my surprise,直販,direct marketing,冷やかす,cool,石造り,stone-built,投票,vote
祝日,holiday,週,week,六日,six days,生産する,to produce,了解,comprehension,有権者,voter
近代,modern,務める,work,暦,calendar,使節団,delegation,区役所,ward office,母音,vowel
期日,due date,中間,intermediate,搭乗,boarding,隣接,adjacency,石段,stone steps,脆弱,vulnerable
議会,parliament,科学者,scientist,議題,an agenda,お節,new years food,広場,square,賃金,wage
びしょぬれになる,to be drenched,意欲,"will, desire",一瞬,one moment,接収,seizure,鉄分,iron (content),待つ,wait
年長,elderly,恋,love,開く,open,武器,weapon,終了,"end, close",ウェイク,wake
整列,alignment,皮膚科,dermatology,うれしいかぎり,extremely happy,待ち望む,look forward to,にぎやか,lively,歩く,walk
放射能,radiation,負傷,injury,連載,serialization,美味しい,delicious,銀世界,snowscape,壁,wall
終わる,finish,統一,unification,お父さん,dad,拡張します,to extend,家族,family,さまよう,wander
受けやすい,susceptible,反射,reflection,意訳,free translation,銀行,a bank,脇役,supporting role,欲しいです,want
絶望のあまり,out of desperation,日進月歩,daily progress,肺,lungs,整理する,to organize,可愛い,pretty,戦争,war
同じ気持ち,same feeling,物価,price,家並み,row of houses,購入,a purchase,文書,document,暖かい,warm
流す,broadcast,海月,sea month,切る,cut,浜辺,beach,制御,control,暖かい,warn
雨滴,a raindrop,主観,subjective,香り,scent,及び,"and, as well as",言葉遣い,speech,警告,warning
売る,sell,マージン,the margin,太い,thick,配達,a delivery,些少,little,だった,was
記念日,anniversary,救助する,to rescue,両輪,Both wheels,乳歯,baby tooth,早朝,early morning,洗う,wash
三日,"3 days, 1st day",放火,arson,一泊,an overnight stay,節水,saving water,市議会,the city council,廃棄物,waste
左折禁止,no left turn,追い出す,expel,甘える,spoil,目,eyes,暗い,dark,見る,watch
日向,sunny place,妥協,compromise,駆ける,run,会社,a company,今回,this time,水,water
もや,a haze,分担,sharing,両家,both families,増す,increase,バス停留所,a bus stop,波,wave
日の入り,the sunset,一掃する,to sweep away,投資,investment,乙,second party,互い違い,alternate,仕方,way
昨日,yesterday,高価,expensive,主計,an accountant,時節,season,最適,optimal,巻き込む,"to enfold, to envolve"
大気汚染,air pollution,戦火,war fire,承認,approval,実現,realization,手伝う一方,while helping,取り除く,"to remove, to deinstall"
日光,sunlight,雪崩,an avalanche,貿易,a trade,上昇,a rise,多く,much,心臓,heart
朝日,morning sun,聖火,holy fire,対立,confrontation,及第,passing (an examination),予定,schedule,育て上げる,raise
白日,white day,班,group,平仮名,hiragana,授乳,breastfeeding,真心,sincerity,溶け込む,blend in
水曜日,wednesday,ワクチン,a vaccine,有意義,significant,十日,ten days,隕石,meteorite,切れ込む,cut into
明日,tomorrow,一月,january,筋,line,研究室,laboratory,小型,small,押し出す,"push out, expel"
願書,application,送る上で,in sending it,誠意,sincerity,始発,first day of school,電話,phone,弾き込む,play
十日,"10 days, 10th day",法則,law,久々,(in a) long time,接合,union,見直す,review,躍り上がる,leap to one's feet
同日,same day,歯科,dentistry,レポート,a report,順,order,花屋,"florist, flower shop",投げ込む,throw in
温度,the temperature,今月,this month,敵意,"hostility, animosity",妻,wife,会社,company,射し込む,shoot into
立つ,stand,起源,origins,期日,due date,休校,school holiday,役員,"director, executive",繰り上げる,advance
分かる,understand,月夜,moonlit night,快い,pleasant,女,woman,辞任,resignation,見上げる,look up to
今年,this year,候補,candidate,解ける,solution,直接,"direct, immediate",市長,a mayor,焼き上がる,be baked (food)
多少,more or less,遂げる,achieve,自説,personal opinion,成功するために,to succeed,花びら,(flower) petal,立ち上がる,stand up
