V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4
置く,おく,put,起こす,おこす,cause to happen,減る,へる,decrease,論ずる,ろんずる,discuss
使う,つかう,use,通ずる,つうずる,pass,下げる,さげる,lower,押さえる,おさえる,seize
対する,たいする,against,決まる,きまる,decide,占める,しめる,occupy,注ぐ,そそぐ,pour
於く,おく,be in,寝る,ねる,sleep,優れる,すぐれる,be gentle,引っ張る,ひっぱる,pull
出す,だす,put out,比べる,くらべる,compare,包む,つつむ,wrap,切れる,きれる,cut
作る,つくる,make,限る,かぎる,limit,吐く,はく,exhale,陥る,おちいる,fall
行う,おこなう,do,振る,ふる,shake,消す,けす,erase,数える,かぞえる,count
知れる,しれる,know,表わす,あらわす,show,覗く,のぞく,peek,隠れる,かくれる,hide
書く,かく,write,通す,とおす,pass,勝つ,かつ,win,咲く,さく,bloom
付ける,つける,give,致す,いたす,be in accordance with,浮かぶ,うかぶ,float,高まる,たかまる,rise
貰う,もらう,get,基づく,もとづく,be based on,去る,さる,leave,備える,そなえる,prepare
教える,おしえる,teach,消える,きえる,disappear,回す,まわす,turn,作り出す,つくりだす,create
掛ける,かける,"hang, put on, spend",尋ねる,たずねる,ask,除く,のぞく,remove,見出だす,みいだす,find
得る,える,"get, earn",見付ける,みつける,find,育つ,そだつ,grow,浮かべる,うかべる,imagine
見える,みえる,see,触れる,ふれる,touch,終える,おえる,finish,申し上げる,もうしあげる,suggest
入れる,いれる,get in,払う,はらう,pay,外す,はずす,remove,寄る,よる,come close to
受ける,うける,receive,遊ぶ,あそぶ,play,呟く,つぶやく,mutter,味わう,あじわう,taste
付く,つく,be attached,頼む,たのむ,ask,向く,むく,turn towards,叱る,しかる,scold
違う,ちがう,different,頑張る,がんばる,hold on to,負ける,まける,lose,辞める,やめる,quit
始める,はじめる,begin,抱く,いだく,hold,要る,いる,need,整える,ととのえる,prepare
呼ぶ,よぶ,call,楽しむ,たのしむ,enjoy,恐れる,おそれる,fear,増す,ます,increase
上げる,あげる,raise,流れる,ながれる,flow,直す,なおす,fix,震える,ふるえる,shake
過ぎる,すぎる,pass,捨てる,すてる,throw away,設ける,もうける,set up,代わる,かわる,replace
感ずる,かんずる,feel,着る,きる,wear,支払う,しはらう,pay,辿る,たどる,trace
続ける,つづける,continue,迎える,むかえる,receive,迫る,せまる,press,試す,ためす,try
食べる,たべる,eat,取れる,とれる,"come off, able to get",経る,へる,go through,吹く,ふく,blow
掛かる,かかる,take,押す,おす,push,振り返る,ふりかえる,look back,好む,このむ,like
変わる,かわる,change,超える,こえる,exceed,断る,ことわる,refuse,踊る,おどる,dance
読む,よむ,read,並ぶ,ならぶ,line up,誘う,さそう,invite someone to join you,巻く,まく,wind
買う,かう,buy,定める,さだめる,"define, determine",越える,こえる,go beyond,積む,つむ,pile
生きる,いきる,live,学ぶ,まなぶ,learn,取り出す,とりだす,take out,増やす,ふやす,increase
切る,きる,cut,頷く,うなずく,nod,急ぐ,いそぐ,hurry,痩せる,やせる,lose weight
立つ,たつ,stand,通る,とおる,go through,慌てる,あわてる,hurry,飾る,かざる,decorate
帰る,かえる,go home,運ぶ,はこぶ,carry,訴える,うったえる,appeal,飼う,かう,keep
話す,はなす,talk,伴う,ともなう,accompany,命ずる,めいずる,command,揃う,そろう,have all of them
飲む,のむ,drink,広がる,ひろがる,spread,有する,ゆうする,have,噛む,かむ,chew
示す,しめす,show,付き合う,つきあう,accompany,別れる,わかれる,part,堪る,たまる,endure
関する,かんする,concerns,泣く,なく,cry,伝わる,つたわる,be transmitted,測る,はかる,measure
与える,あたえる,give,進める,すすめる,advance,参る,まいる,go to,頼る,たよる,rely on
頂く,いただく,receive,繋がる,つながる,connect,尽くす,つくす,devote oneself to,嫌う,きらう,dislike
戻る,もどる,return,挙げる,あげる,raise,移る,うつる,move,治る,なおる,heal
開く,ひらく,open,捉える,とらえる,catch,告げる,つげる,tell,探る,さぐる,explore
死ぬ,しぬ,die,見詰める,みつめる,stare at,仰る,おっしゃる,tell,満ちる,みちる,fill
従う,したがう,obey,喜ぶ,よろこぶ,rejoice,詰まる,つまる,be at one's wits' end,映る,うつる,reflect
止める,やめる,stop,避ける,さける,avoid,下ろす,おろす,bring down,踏む,ふむ,tread
願う,ねがう,wish,応ずる,おうずる,respond,広げる,ひろげる,spread,突く,つく,poke
歩く,あるく,walk,届く,とどく,reach,任せる,まかせる,leave to,触る,さわる,touch
待つ,まつ,wait,近付く,ちかづく,approach,掻く,かく,scratch,遭う,あう,encounter
求める,もとめる,ask,集まる,あつまる,gather,戻す,もどす,bring back,溜まる,たまる,accumulate
認める,みとめる,admit,いらっしゃる,いらっしゃる,come,休む,やすむ,rest,泊まる,とまる,stay
会う,あう,meet,出掛ける,でかける,go out,遅れる,おくれる,delay,交ぜる,まぜる,mix
続く,つづく,continue,眺める,ながめる,view,重ねる,かさねる,repeat,飛び出す,とびだす,pop out
向かう,むかう,go to,張る,はる,put up,足りる,たりる,be enough,埋める,うめる,fill
生まれる,うまれる,be born,含める,ふくめる,include,見なす,みなす,overlook,褒める,ほめる,praise
見せる,みせる,show,目指す,めざす,aim,間違う,まちがう,make a mistake,収める,おさめる,accommodate
当たる,あたる,hit,愛する,あいする,love,閉じる,とじる,close,見上げる,みあげる,look up
終わる,おわる,end,隠す,かくす,hide,保つ,たもつ,keep,晒す,さらす,expose
乗る,のる,ride,集める,あつめる,collect,吸う,すう,suck,放つ,はなつ,release
残る,のこる,remain,食う,くう,eat,諦める,あきらめる,give up,勤める,つとめる,work
述べる,のべる,state,飛ぶ,とぶ,fly,耐える,たえる,endure,解く,とく,release
御座る,ござる,be,齎す,もたらす,bring,訪ねる,たずねる,visit,浴びる,あびる,bathe in
立てる,たてる,"stand, set",叫ぶ,さけぶ,shout,生かす,いかす,keep alive,成り立つ,なりたつ,consist of
答える,こたえる,answer,逃げる,にげる,escape,下がる,さがる,step back,拭く,ふく,wipe
働く,はたらく,work,抜く,ぬく,pull out,確かめる,たしかめる,make sure,漂う,ただよう,drift
送る,おくる,send,落とす,おとす,drop,鳴る,なる,sound,苦しむ,くるしむ,suffer
始まる,はじまる,begin,暮らす,くらす,live,目立つ,めだつ,stand out,犯す,おかす,commit
含む,ふくむ,include,降りる,おりる,get off,掲げる,かかげる,hold up,築く,きずく,build
起こる,おこる,happen,果たす,はたす,fulfill,移す,うつす,move,結び付く,むすびつく,join
関わる,かかわる,involve,記す,しるす,note,並べる,ならべる,arrange,交わす,かわす,intersect
忘れる,わすれる,forget,生む,うむ,give birth,高める,たかめる,raise,反する,はんする,contradict
済む,すむ,finish,問う,とう,ask questions,奪う,うばう,take away,話し合う,はなしあう,discuss
笑う,わらう,laugh,止まる,とまる,stop,被る,こうむる,suffer,担う,になう,bear
為さる,なさる,do,掴む,つかむ,seize,疑う,うたがう,doubt,導く,みちびく,lead
変える,かえる,change,返す,かえす,return,履く,はく,put on,無くす,なくす,lose
引く,ひく,subtract,過ごす,すごす,spend,生み出す,うみだす,produce,引き受ける,ひきうける,take over
売る,うる,sell,追う,おう,chase,迷う,まよう,go astray,次ぐ,つぐ,take over
進む,すすむ,advance,扱う,あつかう,handle,襲う,おそう,attack,壊れる,こわれる,break
渡る,わたる,go across,眠る,ねむる,sleep,発する,はっする,emit,放る,ほうる,release
選ぶ,えらぶ,choose,及ぶ,およぶ,reach,挟む,はさむ,pinch,敷く,しく,lay out
走る,はしる,run,怒る,おこる,be angry,登る,のぼる,climb,差し出す,さしだす,hold out
現われる,あらわれる,show up,要する,ようする,take,属する,ぞくする,belong,受け止める,うけとめる,catch
住む,すむ,live,結ぶ,むすぶ,connect,繋ぐ,つなぐ,connect,下す,くだす,put down
伝える,つたえる,communicate,図る,はかる,plan,降る,ふる,descend,試みる,こころみる,try
動く,うごく,move,歌う,うたう,sing,組む,くむ,assemble,載せる,のせる,put on
決める,きめる,decide,乗せる,のせる,get on board,取り組む,とりくむ,tackle,太る,ふとる,gain weight
勧める,すすめる,recommend,申す,もうす,say,負う,おう,bear,効く,きく,be effective
気付く,きづく,notice,支える,ささえる,support,載る,のる,be on top of,唱える,となえる,chant
描く,えがく,draw,黙る,だまる,be silent,倒れる,たおれる,fall,造る,つくる,build
覚える,おぼえる,remember,受け取る,うけとる,receive,撮る,とる,take,伺う,うかがう,ask
打つ,うつ,beat,抱える,かかえる,hold,響く,ひびく,echo,揺れる,ゆれる,shake
成す,なす,"build, accomplish",叩く,たたく,tap,応える,こたえる,respond,預ける,あずける,deposit
開ける,あける,open,渡す,わたす,give,留まる,とまる,stay,捲る,めくる,roll
向ける,むける,turn,育てる,そだてる,bring up,指す,さす,point,取り戻す,とりもどす,take back
殺す,ころす,kill,借りる,かりる,borrow,接する,せっする,come in contact with,引き上げる,ひきあげる,pull up
語る,かたる,tell,受け入れる,うけいれる,accept,狙う,ねらう,aim,役立つ,やくだつ,help
信ずる,しんずる,believe,動かす,うごかす,move,救う,すくう,save,話し掛ける,はなしかける,talk to someone
合わせる,あわせる,match,分ける,わける,share,満たす,みたす,fill,出でる,いでる,come out
用いる,もちいる,use,立ち上がる,たちあがる,stand up,伸びる,のびる,extend,燃える,もえる,burn
連れる,つれる,bring along,訪れる,おとずれる,visit,説く,とく,preach,出来上がる,できあがる,be finished
異なる,ことなる,differ,当てる,あてる,hit,貸す,かす,lend,飛び込む,とびこむ,dive
離れる,はなれる,leave,巡る,めぐる,go around,加わる,くわわる,join,絞る,しぼる,squeeze
脱ぐ,ぬぐ,take off,振り向く,ふりむく,turn around,組み合わせる,くみあわせる,combine,付する,ふする,attach
離す,はなす,separate,係る,かかる,pertain to,盛る,もる,heap,切り離す,きりはなす,detach
生える,はえる,grow,果てる,はてる,finish,撒く,まく,scatter,追い詰める,おいつめる,hunt down
濡れる,ぬれる,get wet,炊く,たく,cook,鍛える,きたえる,forge,帰す,きする,bring back
返る,かえる,return,覗き込む,のぞきこむ,look into,富む,とむ,enrich,持ち帰る,もちかえる,bring back
持ち込む,もちこむ,bring in,染みる,しみる,look into,伏せる,ふせる,lie down,写す,うつす,copy
取り入れる,とりいれる,take in,欠かす,かかす,miss,見当たる,みあたる,find,秘める,ひめる,hide
込む,こむ,be crowded or go into,謳う,うたう,celebrate,退ける,のける,retreat,湿る,しめる,wet
曲がる,まがる,bend,貫く,つらぬく,go through,馴染む,なじむ,get used to,例える,たとえる,compare
祈る,いのる,pray,飽きる,あきる,get tired of,攻める,せめる,attack,替える,かえる,change
投げる,なげる,throw,酔う,よう,get drunk,見逃す,みのがす,overlook,引き付ける,ひきつける,attract
稼ぐ,かせぐ,earn,さす,さす,make (a person),受け継ぐ,うけつぐ,inherit,纏う,まとう,clothe
押し付ける,おしつける,press,読み取る,よみとる,read,冷やす,ひやす,cool down,昇る,のぼる,ascend
剥く,むく,peel,取り込む,とりこむ,take in,振り込む,ふりこむ,shake in,操る,あやつる,manipulate
吊る,つる,hang,閉める,しめる,close,晴れる,はれる,clear,竦める,すくめる,cower
崩れる,くずれる,collapse,蹴る,ける,kick,訳す,やくす,translate,揉む,もむ,squeeze
湧く,わく,spring out,悟る,さとる,realize,生き残る,いきのこる,survive,逆らう,さからう,defy
外れる,はずれる,come off,贈る,おくる,give,尖る,とがる,be sharp,裂く,さく,tear
こだわる,こだわる,stick to,雇う,やとう,hire,叶う,かなう,fulfill,張り付ける,はりつける,stick
構える,かまえる,set up,銜える,くわえる,hold in one's mouth,退く,しりぞく,retreat,収まる,おさまる,settle
重なる,かさなる,pile up,乗り出す,のりだす,embark,臨む,のぞむ,face,ごまかす,ごまかす,cheat
汚れる,よごれる,get dirty,呼び掛ける,よびかける,call out,浮かび上がる,うかびあがる,emerge,敵う,かなう,oppose
習う,ならう,learn,営む,いとなむ,run a business,憎む,にくむ,hate,通り過ぎる,とおりすぎる,pass by
預かる,あずかる,take care of,傷付く,きずつく,scratch,強める,つよめる,strengthen,差し上げる,さしあげる,offer
引き起こす,ひきおこす,cause,溶ける,とける,melt,甘える,あまえる,spoil,染まる,そまる,be dyed
控える,ひかえる,refrain from,駆け付ける,かけつける,rush to,強いる,しいる,force,励む,はげむ,encourage
追い掛ける,おいかける,chase,片付ける,かたづける,clean up,散る,ちる,scatter,申し込む,もうしこむ,apply for
嘗める,なめる,lick,治まる,おさまる,subside,曲げる,まげる,bend,近寄る,ちかよる,approach
破る,やぶる,break,察する,さっする,sense,浸かる,つかる,soak,損なう,そこなう,damage
殴る,なぐる,strike,誤る,あやまる,make a mistake,仕掛ける,しかける,set up,憧れる,あこがれる,admire
弾く,はじく,play,睨む,にらむ,stare at,引き返す,ひきかえす,turn back,隔てる,へだてる,separate
手伝う,てつだう,help,整う,ととのう,arrange,横たわる,よこたわる,lie down,親しむ,したしむ,befriend
及ぼす,およぼす,influence,歩む,あゆむ,walk,見渡す,みわたす,look out over,儲かる,もうかる,profit
拾う,ひろう,pick up,植える,うえる,plant,物語る,ものがたる,tell a story,舞う,まう,dance
騙す,だます,cheat,這う,はう,crawl,腐る,くさる,rot,吠える,ほえる,howl
思い切る,おもいきる,make the most of,争う,あらそう,fight,堪える,こらえる,endure,顰める,しかめる,frown
引き出す,ひきだす,draw out,言い替える,いいかえる,rephrase,携わる,たずさわる,engage in,候う,そうろう,be pleased
差す,さす,imply,欠く,かく,lack,供える,そなえる,offer,妨げる,さまたげる,hinder
演ずる,えんずる,play,焦る,あせる,hurry,尽きる,つきる,run out,立ち寄る,たちよる,stop by
逃れる,のがれる,escape,削る,けずる,cut down,向き合う,むきあう,face,来たる,きたる,come
煮る,にる,boil,茹でる,ゆでる,boil,養う,やしなう,nourish,倣う,ならう,follow
揃える,そろえる,prepare,据える,すえる,set,嘆く,なげく,lament,破れる,やぶれる,break
熟す,こなす,ripen,縛る,しばる,bind,拒む,こばむ,refuse,切り出す,きりだす,cut out
突き込む,つきこむ,thrust into,結び付ける,むすびつける,tie,納める,おさめる,subdue,恨む,うらむ,resent
微笑む,ほほえむ,smile,誇る,ほこる,boast of,思い掛ける,おもいがける,contemplate,唸る,うなる,roar
欠ける,かける,chip,捧げる,ささげる,dedicate,断つ,たつ,refuse,煽る,あおる,agitate
刺す,さす,pierce,掘る,ほる,dig,抱き締める,だきしめる,embrace,抜け出す,ぬけだす,break out
思い込む,おもいこむ,think,祭る,まつる,celebrate,吸い込む,すいこむ,inhale,押し込む,おしこむ,push in
届ける,とどける,deliver,締める,しめる,fasten,炒める,いためる,fry,装う,よそおう,pretend
際する,さいする,take the time to,裏切る,うらぎる,betray,潰れる,つぶれる,crush,腰掛ける,こしかける,sit down
減らす,へらす,reduce,取り付ける,とりつける,attach,追い付く,おいつく,catch up,浸る,ひたる,immerse
背負う,せおう,carry on one's back,立ち止まる,たちどまる,stop,差し込む,さしこむ,insert,引き寄せる,ひきよせる,draw in
下りる,おりる,descend,遂げる,とげる,accomplish,躊躇う,ためらう,hesitate,問い合わせる,といあわせる,inquire
擦る,する,scrape,逃げ出す,にげだす,escape,吐き出す,はきだす,spit out,振り回す,ふりまわす,wield
潜る,もぐる,go under,温める,あたためる,warm,近付ける,ちかづける,approach,覚ます,さます,awaken
譲る,ゆずる,give up,聞かす,きかす,listen to,孵る,かえる,hatch,澄む,すむ,clear
漏らす,もらす,give up,見下ろす,みおろす,look down on,当て嵌まる,あてはまる,apply,着替える,きかえる,change one's clothes
泳ぐ,およぐ,swim,間に合う,まにあう,get there in time,直る,なおる,fix,制する,せいする,control
間違える,まちがえる,make a mistake,飛ばす,とばす,fly,傾く,かたむく,tilt,見知る,みしる,recognize
ぶつかる,ぶつかる,bump into,乗り越える,のりこえる,get over,遮る,さえぎる,block,介する,かいする,mediate
浮く,うく,float,書き込む,かきこむ,write,明く,あく,clear,置き換える,おきかえる,replace
謝る,あやまる,apologize,怯える,おびえる,be frightened,儲ける,もうける,make profit,食らう,くらう,eat
思い付く,おもいつく,come up with,苛める,いじめる,torment,化する,かする,transform,閉じ込める,とじこめる,confine
沈む,しずむ,sink,見送る,みおくる,see off,割れる,われる,break,掴まえる,つかまえる,seize
漏れる,もれる,leak,似合う,にあう,suit,ぶつける,ぶつける,hit,報ずる,ほうずる,report
滑る,すべる,slip,呆れる,あきれる,be amazed,乱れる,みだれる,disturb,足す,たす,add to
割る,わる,break,焼ける,やける,burn,捻る,ひねる,twist,起き上がる,おきあがる,get up
入り込む,はいりこむ,get in,引っ掛かる,ひっかかる,catch,赴く,おもむく,go to,惜しむ,おしむ,spare
配る,くばる,distribute,治す,なおす,heal,託する,たくする,entrust,取り掛かる,とりかかる,set about
鳴く,なく,sound,建つ,たつ,erect,振る舞う,ふるまう,act,暮れる,くれる,end
駆る,かる,drive,冷める,さめる,cool down,見抜く,みぬく,see through,交える,まじえる,mingle
継ぐ,つぐ,join together,流行る,はやる,go viral,混じる,まじる,mix,駆ける,かける,run
籠もる,こもる,shut oneself up,落ち込む,おちこむ,fall,閉ざす,とざす,close,怠る,おこたる,neglect
騒ぐ,さわぐ,make noise,劣る,おとる,be inferior,講ずる,こうずる,lecture,嗅ぐ,かぐ,sniff
刻む,きざむ,carve,取り除く,とりのぞく,remove,踏み込む,ふみこむ,step into,取り囲む,とりかこむ,surround
留める,とどめる,stop,撫でる,なでる,caress,拭う,ぬぐう,wipe,衰える,おとろえる,diminish
盗む,ぬすむ,steal,免れる,まぬがれる,be spared,題する,だいする,subject,仕上げる,しあげる,finish
詰める,つめる,pack,嵌まる,はまる,fit,追い込む,おいこむ,drive in,滅ぼす,ほろぼす,destroy
膨らむ,ふくらむ,swell,心掛ける,こころがける,set one's mind on,取り巻く,とりまく,surround,出向く,でむく,go out
辿り着く,たどりつく,arrive at,課する,かする,impose,突き出す,つきだす,thrust out,寄越す,よこす,send
施す,ほどこす,apply,崩す,くずす,break,脅す,おどす,threaten,積み上げる,つみあげる,build up
飲み込む,のみこむ,swallow,ばれる,ばれる,be found out,着せる,きせる,dress someone up,敗れる,やぶれる,be defeated
帯びる,おびる,take in,明ける,あける,open,くっ付く,くっつく,cling to,滅びる,ほろびる,perish
作り上げる,つくりあげる,build up,捕らえる,とらえる,catch,仰ぐ,あおぐ,look up to,蓄える,たくわえる,store
照らす,てらす,illuminate,見直す,みなおす,review,誓う,ちかう,swear,縫う,ぬう,sew
名乗る,なのる,name,面する,めんする,face,脅かす,おびやかす,threaten,嵌める,はめる,fit
名付ける,なづける,name,呼び出す,よびだす,call,正す,ただす,correct,考え込む,かんがえこむ,consider
磨く,みがく,polish,目覚める,めざめる,wake up,癒す,いやす,heal,緩める,ゆるめる,loosen
解する,かいする,interpret,取り扱う,とりあつかう,handle,言い聞かせる,いいきかせる,remind,追い出す,おいだす,expel
添える,そえる,accompany,上回る,うわまわる,surpass,汲む,くむ,fetch,止す,よす,stop
見守る,みまもる,watch over,写る,うつる,picture,打ち出す,うちだす,hammer out,見分ける,みわける,discern
努める,つとめる,try to,干す,ほす,dry,組み込む,くみこむ,incorporate,踏み出す,ふみだす,take a step forward
助かる,たすかる,be saved,切り替える,きりかえる,switch,感じ取る,かんじとる,sense,問い掛ける,といかける,ask a question
恵まれる,めぐまれる,be blessed,捕らわれる,とらわれる,be caught,逸らす,そらす,divert,送り出す,おくりだす,send out
見回す,みまわす,look around,適する,てきする,fit,余る,あまる,have more than enough,先立つ,さきだつ,precede
引き摺る,ひきずる,drag,越す,こす,go over,俟つ,ます,anticipate,立ち去る,たちさる,leave
率いる,ひきいる,lead,纏まる,まとまる,get together,慰める,なぐさめる,comfort,奉る,たてまつる,dedicate
改める,あらためる,change,禁ずる,きんずる,forbid,引っ越す,ひっこす,move,吹き出す,ふきだす,blow out
怒鳴る,どなる,shout,委ねる,ゆだねる,entrust,枯れる,かれる,wither,汚す,よごす,defile
鳴らす,ならす,make a sound,採る,とる,take,極める,きわめる,finalize,解ける,とける,dissolve
壊す,こわす,break,染める,そめる,dye,歪む,ゆがむ,warp,取り消す,とりけす,cancel
傷付ける,きずつける,hurt,引き継ぐ,ひきつぐ,take over,冷える,ひえる,cool down,引き続く,ひきつづく,continue
巻き込む,まきこむ,involve,深める,ふかめる,deepen,燃やす,もやす,burn,申し出る,もうしでる,offer
乗り込む,のりこむ,get into,覚める,さめる,awaken,からかう,からかう,tease,見極める,みきわめる,find out
潰す,つぶす,crush,延びる,のびる,extend,広まる,ひろまる,spread,見合わせる,みあわせる,inform
振るう,ふるう,shake,転がる,ころがる,roll,塞ぐ,ふさぐ,block,知らす,しらす,inform
囁く,ささやく,whisper,補う,おぎなう,compensate,言い切る,いいきる,assert,啜る,すする,sip
然り,しかり,so on and so forth,潜める,ひそめる,hide,担ぐ,かつぐ,carry,睨み付ける,にらみつける,stare at
傾ける,かたむける,tilt,給う,たまう,supply,凝らす,こらす,elaborate,費やす,ついやす,spend
付け加える,つけくわえる,add,責める,せめる,chastise,心得る,こころえる,understand,向かい合う,むかいあう,face each other
蘇る,よみがえる,revive,折れる,おれる,break,賭ける,かける,bet,強まる,つよまる,intensify
見張る,みはる,watch,称える,たたえる,praise,ずれる,ずれる,shift,歪める,ゆがめる,distort
指差す,ゆびさす,point to,折る,おる,break,戸惑う,とまどう,be perplexed,呈する,ていする,show
遡る,さかのぼる,go back,知り合う,しりあう,get to know each other,弾む,はずむ,bounce,挑む,いどむ,challenge
乾く,かわく,dry,打ち込む,うちこむ,hammer in,募る,つのる,solicit,転ぶ,ころぶ,fall
足る,たる,be enough,持ち上げる,もちあげる,lift up,握り締める,にぎりしめる,grasp,教わる,おそわる,be taught
倒す,たおす,bring down,励ます,はげます,encourage,着ける,つける,put on,しがみ付く,しがみつく,cling to
持ち出す,もちだす,take out,潜む,ひそむ,hide,揚げる,あげる,lift,投げ出す,なげだす,throw out
引き取る,ひきとる,take back,摘む,つまむ,pluck,垂れる,たれる,droop,召す,めす,call
狂う,くるう,go mad,固まる,かたまる,solidify,荒れる,あれる,rough,捩る,もじる,twist
仕える,つかえる,serve,思い浮かべる,おもいうかべる,contemplate,埋まる,うまる,bury,取り付く,とりつく,cling to
絡む,からむ,entangle,傾げる,かしげる,incline,聞き取る,ききとる,listen,遠ざかる,とおざかる,move away from
固める,かためる,harden,盛り上がる,もりあがる,rise,滲む,にじむ,soak,突き付ける,つきつける,thrust
痛む,いたむ,hurt,転ずる,てんずる,turn,催す,もよおす,prompt,跨がる,またがる,straddle
踏まえる,ふまえる,catch yourself,打ち明ける,うちあける,confide in,瞑る,つぶる,meditate,連なる,つらなる,stretch out
俯く,うつむく,lie face down,繰り広げる,くりひろげる,unfold,抱え込む,かかえこむ,hold in one's arms,決する,けっする,settle
凍る,こおる,freeze,宿る,やどる,dwell,齧る,かじる,gnaw,引き渡す,ひきわたす,hand over
手渡す,てわたす,hand over,詰め込む,つめこむ,pack,閃く,ひらめく,flash,聳える,そびえる,rise
悲しむ,かなしむ,grieve,憚る,はばかる,hesitate,飢える,うえる,starve,耕す,たがやす,cultivate
緩む,ゆるむ,loose,慕う,したう,adore,生まれ変わる,うまれかわる,be reborn,召し上がる,めしあがる,call up
降ろす,おろす,unload,映し出す,うつしだす,project,拝む,おがむ,worship,旅立つ,たびだつ,depart
組み立てる,くみたてる,assemble,放り出す,ほうりだす,throw out,捕る,とる,catch,治める,おさめる,govern
好く,よい,like,語り合う,かたりあう,talk to each other,略す,りゃくす,abbreviate,押し掛ける,おしかける,push in
丸める,まるめる,roll up,飛び上がる,とびあがる,jump up,揺さぶる,ゆさぶる,shake,吹き飛ばす,ふきとばす,blow away
立ち上る,たちのぼる,rise,働き掛ける,はたらきかける,work with,延ばす,のばす,extend,取り立てる,とりたてる,take away
練る,ねる,knead,広める,ひろめる,spread,掠める,かすめる,snatch,凍り付く,こおりつく,freeze
見込む,みこむ,anticipate,腫れる,はれる,swell,屈める,かがめる,bend,消え去る,きえさる,disappear
薄れる,うすれる,fade,注ぎ込む,つぎこむ,pour,植え付ける,うえつける,plant,抱き付く,だきつく,hold on to
横切る,よこぎる,cross,孕む,はらむ,impregnate,仕切る,しきる,divide,見返す,みかえす,look back
掴まる,つかまる,hold on to,引き抜く,ひきぬく,pull out,動き回る,うごきまわる,move around,狼狽える,うろたえる,get upset
祝う,いわう,celebrate,背く,そむく,turn away,封ずる,ふうずる,block,向き直る,むきなおる,turn around
受け付ける,うけつける,accept,乗り換える,のりかえる,change one's ride,惚ける,ぼける,make someone fall in love with you,引き止める,ひきとめる,hold back
際立つ,きわだつ,stand out,張り付く,はりつく,stick to,放り込む,ほうりこむ,throw in,思い立つ,おもいたつ,make up your mind
零す,こぼす,spill,乗り切る,のりきる,get over,忍ぶ,しのぶ,endure,振り掛ける,ふりかける,shake it off
被せる,かぶせる,cover,交じる,まじる,mingle,奢る,おごる,luxuriate in,揉める,もめる,make trouble
見受ける,みうける,receive,零れる,こぼれる,spill,冴える,さえる,be clever,割り込む,わりこむ,interrupt
放す,はなす,release,生き延びる,いきのびる,survive,聞き出す,ききだす,listen to,追い越す,おいこす,overtake
見舞う,みまう,pay a visit to,飛び降りる,とびおりる,jump off,庇う,かばう,protect,取り残す,とりのこす,leave behind
供する,きょうする,offer,浸す,ひたす,soak,引き込む,ひきこむ,draw in,思い描く,おもいえがく,imagine
明かす,あかす,reveal,嫁ぐ,とつぐ,marry,換える,かえる,change,乗ずる,じょうずる,ride
曇る,くもる,cloud,追い払う,おいはらう,get rid of,寝かせる,ねかせる,put to sleep,読み返す,よみかえす,read again
弄る,いじる,torment,切り取る,きりとる,cut off,飛び付く,とびつく,jump in,剥がれる,はがれる,peel off
