Sentence,Meaning
あけまして、おめでとうございます。,Happy New Year!
メリークリスマス!,Merry Christmas!
どうぞよいお年を!,Have a Happy New Year!
どうぞよいお年をお迎えください。,Please have a happy New Year.
いらっしゃい!,Welcome!
いらっしゃいませ。,Welcome.
ちょっと待って。,Wait a minute.
ちょっと待ってください。,Wait a minute.
少々お待ちください。,Please wait a moment.
お疲れ様です。,Thanks for your time.
ご苦労様です。,Thank you for your efforts.
お疲れ!,Good work!
ご苦労さん!,Thanks for your efforts!
お疲れ様でした。,Thank you for your hard work.
ご苦労様でした。,Thank you for your efforts.
やあ、久しぶり!,"Hey, long time no see!"
お久しぶりですね。,It's been a while.
しばらくですね。,It's been a while.
元気だった?,How are you?
元気でしたか。,How have you been?
お変わりございませんか。,Is everything alright?
 何年ぶりですかね。 , How many years has it been? 
あれからもうどのくらいですか。,How long has it been since then?
月日が経つのは早いですね。,The months go by quickly.
久しぶりに会えて、うれしいです。 ,It's nice to see you after a long time. 
 元気そうですね。, You look well.
全然変わっていませんね。,It hasn't changed at all.
相変わらず、おきれいですね。,You are as beautiful as ever.
いつも若々しいですね。,You always look so young.
あれっ、髪型を変えたんですか。,"Oh, did you change your hairstyle?"
 前より少しやせましたね。, You are a little thinner than before.
以前よりちょっと太りましたか。,Have you gained a little more weight than before?
ご家族の皆さんもお元 気ですか。,I hope you and your family are doing well.
お子さんはもう大きくなりましたか。 ,Is your child grown now? 
ご主人もお変わりありませんか。 ,Is your husband also feeling better? 
奥さんもお変わりありませんか。,Is your wife also feeling better?
今何時ですか。,What time is it?
今1時です。,It is one o'clock.
今2 時半です。,It is now 2:30.
今 、もう 3 時ですよ。,It is already 3 o'clock.
まだ 4 時半ですよ。,It is still 4:30 a.m.
5 時10 分前です。,It is 10 minutes before 5:00.
6 時5 分過ぎです。,It is 5 minutes after 6:00.
ご 前7 時15 分です。,The time is 7:15 in the morning.
ご 後8 時20 分です。,The time is 8:20 pm.
朝の 9 時です。 ,It is 9:00 in the morning. 
昼の 10 時です。,It is 10:00 pm.
夜の11 時です。,It is 11:00 at night.
夜中の12 時です。,It is 12 midnight.
深夜1 時です。,It is 1:00 am.
14 時です。,It is 2:00 pm.
正午です。,Noon.
早朝 4 時です。,It is early in the morning at 4:00 a.m.
夕方5 時です。,It is 5:00 pm.
6時からです。,From 6:00 pm.
7時までです。,Until 7:00 pm.
8時から9時までです。,It is from 8:00 to 9:00.
10 時に始まります。,The program starts at 10:00 a.m.
11 時に終わります。,It will end at 11:00.
ちょうど 0 時です。,It is exactly midnight.
毎朝何時に起きますか。,What time do you get up each morning?
毎晩何時に寝ますか。,What time do you go to bed each night?
今朝5時半に起きました。,I woke up at 5:30 this morning.
夕べ11 時頃寝ました。,I went to bed around 11:00 pm last night.
明日は何時に出発しますか。,What time do you want to leave tomorrow?
15 時25 分発です。 ,Departure time is 3:25 p.m. 
16 時 40 分着です。,Arrival time is 16:40.
大体何時頃着きますか。,Approximately what time will you arrive?
9 時頃到着する予定です。,We plan to arrive around 9:00 a.m.
8 時前には家を出ます。 ,Leave the house before 8:00 a.m.
7 時50 分頃のバスに乗ります。,Take the bus around 7:50 a.m.
8 時45 分の電車で行きます。,I will take the 8:45 a.m. train.
仕事は何時からですか。,What time do you start work?
授業は何時までですか。,What are the class hours?
昼休みは 12 時から1 時までです。,Lunch break is from 12:00 to 1:00.
6 時頃家へ帰ります。,I go home around 6:00.
8 時からおもしろいテレビがあります。 ,There will be an interesting TV show at 8:00.
7 時過ぎに晩ご飯を食べます。,We eat dinner after 7:00.
毎朝6 時頃起きています。,I wake up every morning around 6:00.
朝起きてから、すぐ朝ご飯を食べています。,I eat breakfast right after I wake up in the morning.
朝食の後で、トイレに入ります。 ,"After breakfast, go into the restroom. "
顔を洗って歯を磨きます。 ,Wash your face and brush your teeth. 
7 時に家を出て、バイクで会社へ行っています。,I leave home at 7:00 a.m. and ride my motorcycle to work.
会社の近くで昼ご飯を食べています。,I eat lunch near my office.
大抵昼食は定食やラーメンなどを食べています。 ,"Most of the time, lunch is a set meal or ramen noodles. "
仕事は5時までです。,Work is until 5:00.
でも、よく残業があります。,But there is often overtime work.
うちの会社は夜勤はありません。,Our company does not have night shifts.
家へ帰ってから犬をつれて散歩に出ます。,"After returning home, I take the dog for a walk."
夕食の前に運動をすることもあります。,Exercise may be done before dinner.
晩ご飯を食べてからいつもテレビを見ています。,I always watch TV after dinner.
お風呂に入った後で牛乳を飲んでいます。 ,I drink milk after taking a bath. 
寝る前には何も食べません。,I don't eat anything before bed.
時々夜食をとります。,"Occasionally, I take a night meal."
たまにお酒を飲んで寝ることがあります。,Sometimes I drink alcohol and go to bed.
