Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,K1,K2,W1,W2,W3
調整する,ちょうせいする,"to regulate, adjust",suru,,,,,彼は機械の速度を調整した。,He adjusted the speed of the machine.,"調 - tune, tone, meter, key (music), investigate","整 - organize, arranging, tune, tone",,,
ちゅうちょする,ちゅうちょする,"to hesitate, waver, vacillate",suru,,,,,行こうかどうしようかまだ躊躇している。,I'm still hesitating whether to go or not.,,,,,
注意する,ちゅういする,"to be careful of, pay attention to",suru,,,,,水をこぼさないよう注意しなさい。,Be careful not to spill the water.,"注 - pour, irrigate, shed (tears), flow into","意 - idea, mind, heart, taste, thought",,,
中継する,ちゅうけいする,to relay (a broadcast),suru,,,,,センサ部からのセンサ出力を通信回線へ中継する。,Relay sensor output from the sensor section to the communication line.,"中 - in, inside, middle, mean, center","継 - inherit, succeed, continue, patch",,,
忠告する,ちゅうこくする,"to warn, advise",suru,,,,,たばこを吸うなと忠告してやった。,I advised him not to smoke.,"忠 - loyalty, fidelity, faithfulness","告 - revelation, tell, inform, announce",,,
注目する,ちゅうもくする,"to observe, take notice of",suru,,,,,その書物はだれからも注目されなかった。,Nobody took any notice of the book.,"注 - pour, irrigate, shed (tears), flow into","目 - eye, class, look, insight",,,
注文する,ちゅうもんする,"to order (food, goods)",suru,,,,,ウエートレスにコーヒーを注文した。,I ordered coffee from the waitress.,"注 - pour, irrigate, shed (tears), flow into","文 - sentence, literature, style, art",,,
中止する,ちゅうしする,"to stop, discontinue, call off",suru,,,,,その工場は来月から操業を中止する。,That plant will cease operations next month.,"中 - in, inside, middle, mean, center","止 - stop, halt",,,
ダウンロードする,ダウンロードする,to download (for Internet),suru,,,,,目次と前書きをダウンロードする。,Download the Table of Contents and Preface,,,,,
妥協する,だきょうする,to compromise,suru,,,,,私たちはこの点では妥協できない。,We cannot compromise on this point.,"妥 - gentle, peace, depravity","協 - co-, cooperation",,,
ダンスする,ダンスする,to dance,suru,,,,,ダンスする男の意味だろ。,You mean the guy who dances.,,,,,
電話する,でんわする,to make a telephone call,suru,,,,,彼は帰ってきたらすぐに電話するでしょう。,He will call as soon as he returns.,電 - electricity,"話 - tale, talk",,,
独立する,どくりつする,to become independent,suru,,,,,彼は18歳で独立した。,He became independent of his parents when he was eighteen.,"独 - single, alone, spontaneously","立 - stand up, rise, set up",,,
同意する,どういする,"to agree, approve",suru,,,,,私は彼の計画に同意した。,I agreed to his plan.,"同 - same, agree, equal","意 - idea, mind, heart, taste, thought",,,
導入する,どうにゅうする,"to bring in, introduce",suru,,,,,会社は時差通勤を導入しようとしています。,The company is attempting to stagger work hours.,"導 - guidance, leading, conduct, usher","入 - enter, insert",,,
ドラッグする,ドラッグする,to drag with a (computer) mouse,suru,,,,,表を別の場所にドラッグする。,Drag the table to another location.,,,,,
努力する,どりょくする,"to make an effort, work hard",suru,,,,,彼は事業を成功させようと努力した。,He strived to make his business a success.,"努 - toil, diligent, as much as possible","力 - power, strength, strong, strain",,,
営業する,えいぎょうする,"to do business, be open",suru,,,,,この工場は夜でも営業してる。,This factory also operates at night.,"営 - occupation, camp, perform, build","業 - business, vocation, arts, performance",,,
影響する,えいきょうする,"to influence, affect",suru,,,,,人は書物に大きく影響される。,People are greatly influenced by books,"影 - shadow, silhouette, phantom","響 - echo, sound, resound, ring, vibrate",,,
延長する,えんちょうする,"to extend, lengthen",suru,,,,,滞在を３日間延長する。,Extend your stay for 3 days.,"延 - prolong, stretching","長 - long, leader, superior, senior",,,
演技する,えんぎする,"to act, perform",suru,,,,,彼をだますために演技をしなければならない。,You have to act to fool him.,"演 - performance, act, play, render","技 - skill, art, craft, ability, feat",,,
援助する,えんじょする,"to assist, help, support, aid",suru,,,,,彼が立候補するなら援助しようということになった。,"It was decided that if he would run for office, we would assist him.","援 - abet, help, save","助 - help, rescue, assist",,,
延期する,えんきする,"to postpone, put off",suru,,,,,遠足は雨のため１日延期された。,The excursion was postponed one day due to rain.,"延 - prolong, stretching","期 - period, time, date, term",,,
遠慮する,えんりょする,"to refrain, hold back",suru,,,,,何か聞きたいことあったら遠慮しないで聞いてね。,"If you have any questions, don't hesitate to ask.","遠 - distant, far","慮 - prudence, thought, concern, consider",,,
ファックスする,ファックスする,to fax,suru,,,,,それを私にファックスしてください。,Please fax it to me.,,,,,
フォローする,フォローする,to follow on line,suru,,,,,特定のユーザーをフォローする機能である。,It is a function to follow a specific user.,,,,,
復活する,ふっかつする,"to revive, restore",suru,,,,,ミニスカートはすぐに復活するだろう。,Miniskirts will be back soon.,"復 - restore, return to, revert, resume","活 - lively, resuscitation, being helped, living",,,
復習する,ふくしゅうする,"to review, go over",suru,,,,,毎日規則正しく復習してください。,Review regularly every day.,"復 - restore, return to, revert, resume",習 - learn,,,
復讐する,ふくしゅうする,to revenge,suru,,,,,彼は父の殺されたのを復讐した。,He avenged his father's murder.,"復 - restore, return to, revert, resume","讐 - enemy, revenge",,,
普及する,ふきゅうする,"to spread, diffuse",suru,,,,,英語は全国に普及した。,English was spread throughout the country.,"普 - universal, wide(ly), generally","及 - reach out, exert, exercise, cause",,,
赴任する,ふにんする,to leave for one’s new post,suru,,,,,最初に赴任したのは甲府の支店でした。,My first assignment was at a branch in Kofu.,"赴 - proceed, get, become, tend","任 - responsibility, duty, term, entrust to",,,
不足する,ふそくする,"to be short of, be lacking",suru,,,,,彼はそれをする力が不足している。,He lacks the power to do it.,"不 - negative, non-, bad, ugly, clumsy","足 - leg, foot, be sufficient",,,
負担する,ふたんする,to bear the weight of,suru,,,,,支払いの一部を負担してくれないか。,Would you be willing to cover part of the payment?,"負 - defeat, negative, -, minus, bear, owe","担 - shouldering, carry, raise, bear",,,
我慢する,がまんする,"to be patient, endure",suru,,,,,私はついに我慢しきれなくなった。,I could not endure it any longer.,"我 - ego, I, selfish, our, oneself","慢 - ridicule, laziness",,,
減少する,げんしょうする,to decrease,suru,,,,,子供の教育費が昨年はわずかに減少した。,Spending on children's education declined slightly last year.,"減 - dwindle, decrease, reduce, decline","少 - few, little",,,
限定する,げんていする,"to limit, restrict",suru,,,,,今話し合っている問題だけに発言を限定して下さい。,Please limit your remarks to the issue we are discussing now.,"限 - limit, restrict, to best of ability","定 - determine, fix, establish, to decide",,,
議論する,ぎろんする,"to argue, discuss,debate",suru,,,,,私は新しい計画について彼と議論した。,I discussed the new plan with him.,"議 - deliberation, consultation, debate","論 - argument, discourse",,,
誤解する,ごかいする,to misunderstand,suru,,,,,私の本意を全く誤解している。,You have totally misunderstood my main point.,"誤 - mistake, err, do wrong, mislead","解 - unravel, notes, key, explanation",,,
合格する,ごうかくする,to pass an examination,suru,,,,,大学入試に合格した。,Passed the college entrance exam.,"合 - fit, suit, join","格 - status, rank, capacity, character",,,
合計する,ごうけいする,"to add up, total",suru,,,,,コンポーネントごとに税額を合計する。,Total the amount of tax for each component.,"合 - fit, suit, join","計 - plot, plan, scheme, measure",,,
ハグする,ハグする,to hug,suru,,,,,,,,,,,
廃止する,はいしする,"to abolish, do away with, repeal",suru,,,,,,,"廃 - abolish, obsolete, cessation, discarding","止 - stop, halt",,,
配達する,はいたつする,to deliver,suru,,,,,,,"配 - distribute, spouse, exile, rationing","達 - accomplished, reach, arrive, attain",,,
破壊する,はかいする,"to destroy, break, ruin",suru,,,,,,,"破 - rend, rip, tear, break, destroy","壊 - demolition, break, destroy",,,
発行する,はっこうする,"to publish, issue, bring out",suru,,,,,,,"発 - departure, discharge, publish, emit","行 - going, journey, carry out, conduct",,,
反映する,はんえいする,to reflect,suru,,,,,,,反 - anti,"映 - reflect, reflection, projection",,,
繁栄する,はんえいする,"to prosper, flourish",suru,,,,,,,"繁 - luxuriant, thick, overgrown, frequency","栄 - flourish, prosperity, honor, glory",,,
判断する,はんだんする,"to judge, conclude",suru,,,,,,,"判 - judgement, signature, stamp, seal","断 - severance, decline, refuse, apologize, warn",,,
反省する,はんせいする,"to reflect on oneself, reconsider",suru,,,,,,,反 - anti,"省 - focus, government ministry, conserve",,,
反対する,はんたいする,"to be against, be opposed",suru,,,,,,,反 - anti,"対 - vis-a-vis, opposite, even, equal, versus",,,
発売する,はつばいする,"to begin selling, put on the market",suru,,,,,,,"発 - departure, discharge, publish, emit",売 - sell,,,
発明する,hatsumei,to invent,suru,,,,,,,"発 - departure, discharge, publish, emit","明 - bright, light, the day breaks",,,
発展する,hatten,"to develop, expand",suru,,,,,,,"発 - departure, discharge, publish, emit","展 - unfold, expand",,,
平均する,heikin,"to average, balance",suru,,,,,,,"平 - even, flat, peace","均 - level, average",,,
変化する,henka,"to change, alter, be transformed",suru,,,,,,,"変 - unusual, change, strange","化 - change, take the form of, influence",,,
編集する,henshū,"to edit, compile",suru,,,,,,,"編 - compilation, knit, plait, braid, twist, editing","集 - gather, meet, congregate",,,
批判する,hihan,to criticize,suru,,,,,,,"批 - criticism, strike","判 - judgement, signature, stamp, seal",,,
否定する,hitei,"to deny, negate",suru,,,,,,,"否 - negate, no, noes, refuse, decline, deny","定 - determine, fix, establish, to decide",,,
翻訳する,hon’yaku,to translate,suru,,,,,,,"翻 - flip, turn over, wave, flutter, change (mind)","訳 - translate, reason, circumstance, case",,,
報告する,hōkoku,"to report, inform",suru,,,,,,,"報 - report, news, reward, retribution","告 - revelation, tell, inform, announce",,,
訪問する,hōmon,"to visit, call on, pay a visit",suru,,,,,,,"訪 - call on, visit, look up, offer sympathy","問 - question, ask, problem",,,
保証する,hoshō,"to guarantee, warrant",suru,,,,,,,"保 - protect, guarantee, keep, preserve, sustain","証 - evidence, proof, certificate",,,
補償する,hoshō,"to compensate, make up for",suru,,,,,,,"補 - supplement, supply, make good, offset","償 - reparation, make up for, recompense",,,
評価する,hyōka,"to appraise, value",suru,,,,,,,"評 - evaluate, criticism, comment","価 - value, price",,,
移動する,idou,"to move, transfer, migrate",suru,,,,,,,"移 - shift, move, drift, catch (cold, fire), pass into","動 - move, motion, change, confusion, shift",,,
違反する,ihan,to violate,suru,,,,,,,"違 - difference, differ",反 - anti,,,
維持する,iji,"to maintain, support, keep",suru,,,,,,,"維 - fiber, tie, rope","持 - hold, have",,,
移行する,ikou,"to switch over to, migrate, transit",suru,,,,,,,"移 - shift, move, drift, catch (cold, fire), pass into","行 - going, journey, carry out, conduct",,,
引退する,intai,"to retire, give up one’s position",suru,,,,,,,"引 - pull, tug, jerk, admit, install, quote, refer to","退 - retreat, withdraw, retire, resign, repel, expel",,,
依頼する,irai,"to request, ask",suru,,,,,,,"依 - reliant, depend on, consequently, therefore","頼 - trust, request",,,
一致する,itchi,"to agree with, be in unison",suru,,,,,,,"一 - one, one radical (no.1)","致 - doth, do, send, forward, cause, exert, incur",,,
意図する,ito,"to intend to do, make a goal",suru,,,,,,,"意 - idea, mind, heart, taste, thought, desire, care","図 - map, drawing, plan, extraordinary",,,
ジャンプする,janpu,to jump,suru,,,,,,,,,,,
実験する,jikken,to experiment,suru,,,,,,,"実 - reality, truth, seed, fruit, nut","験 - verification, effect, testing",,,
実行する,jikkō,"to carry out, execute",suru,,,,,,,"実 - reality, truth, seed, fruit, nut","行 - going, journey, carry out, conduct",,,
自慢する,jiman,"to be proud, boast of, take pride in",suru,,,,,,,自 - oneself,"慢 - ridicule, laziness",,,
自立する,jiritsu,to become independent,suru,,,,,,,自 - oneself,"立 - stand up, rise, set up",,,
辞職する,jishoku,to resign,suru,,,,,,,"辞 - resign, word, term, expression","職 - post, employment, work",,,
実現する,jitsugen,"to be realized, come true",suru,,,,,,,"実 - reality, truth, seed, fruit, nut","現 - present, existing, actual",,,
ジョギングする,jogingu,to jog,suru,,,,,,,,,,,
上映する,jōei,to show a film,suru,,,,,,,"上 - above, up","映 - reflect, reflection, projection",,,
譲歩する,jōho,"to concede, give way to",suru,,,,,,,"譲 - defer, turnover, transfer, convey","歩 - walk, counter for steps",,,
上昇する,jōshō,"to go up, rise, ascend",suru,,,,,,,"上 - above, up",昇 - rise up,,,
準備する,junbi,to prepare,suru,,,,,,,"準 - semi-, correspond to, proportionate to","備 - equip, provision, preparation",,,
回復する,kaifuku,"to restore, recuperate",suru,,,,,,,"回 - -times, round, game, revolve","復 - restore, return to, revert, resume",,,
開発する,kaihatsu,"to develop, exploit",suru,,,,,,,"開 - open, unfold, unseal","発 - departure, discharge, publish, emit",,,
開放する,kaihō,to open a place to the public,suru,,,,,,,"開 - open, unfold, unseal","放 - set free, release, fire, shoot, emit",,,
解放する,kaihō,"to release, set a prisoner free",suru,,,,,,,"解 - unravel, notes, key, explanation","放 - set free, release, fire, shoot, emit",,,
改革する,kaikaku,"to reform, improve",suru,,,,,,,"改 - reformation, change, modify, mend, renew","革 - leather, skin, reform, become serious",,,
解決する,kaiketsu,"to settle, resolve",suru,,,,,,,"解 - unravel, notes, key, explanation","決 - decide, fix, agree upon, appoint",,,
開催する,kaisai,to hold (an event),suru,,,,,,,"開 - open, unfold, unseal","催 - sponsor, hold (a meeting), give (a dinner)",,,
改正する,kaisei,"to revise, amend, improve",suru,,,,,,,"改 - reformation, change, modify, mend, renew","正 - correct, justice, righteous",,,
解釈する,kaishaku,"to interpret, explain",suru,,,,,,,"解 - unravel, notes, key, explanation",釈 - explanation,,,
開拓する,kaitaku,"to reclaim, exploit, develop",suru,,,,,,,"開 - open, unfold, unseal","拓 - clear (the land), open, break up (land)",,,
下降する,kakō,"to come down, descend, drop",suru,,,,,,,"下 - below, down, descend, give, low, inferior","降 - descend, precipitate, fall, surrender",,,
加工する,kakō,"to process, manufacture",suru,,,,,,,"加 - add, addition, increase, join, include","工 - craft, construction",,,
拡大する,kakudai,"to magnify, enlarge, expand",suru,,,,,,,"拡 - broaden, extend, expand, enlarge","大 -  large, big",,,
確認する,kakunin,"to confirm, ascertain, verify, validate",suru,,,,,,,"確 - assurance, firm, tight, hard, solid, confirm","認 - acknowledge, witness, discern, recognize",,,
関係する,kankei,"to be related, have a relationship",suru,,,,,,,"関 - connection, barrier, gateway, concerning","係 - person in charge, connection, duty",,,
管理する,kanri,"to manage, control, administer",suru,,,,,,,"管 - pipe, tube, wind instrument, drunken talk","理 - logic, arrangement, reason, justice, truth",,,
観察する,kansatsu,"to observe, watch closely",suru,,,,,,,"観 - outlook, look, appearance, condition, view","察 - guess, presume, surmise, judge",,,
完成する,kansei,"to finish, complete",suru,,,,,,,"完 - perfect, completion, end","成 - turn into, become, get, grow, elapse, reach",,,
感心する,kanshin,"to admire, be impressed",suru,,,,,,,"感 - emotion, feeling, sensation","心 - mind, heart, spirit",,,
観賞する,kanshō,to appreciate,suru,,,,,,,"観 - outlook, look, appearance, condition, view","賞 - prize, reward, praise",,,
仮定する,katei,"to assume, suppose",suru,,,,,,,"仮 - sham, temporary, interim, assumed (name)","定 - determine, fix, establish, decide",,,
活動する,katsudō,to be active,suru,,,,,,,"活 - lively, resuscitation, being helped, living","動 - move, motion, change, confusion, shift",,,
活躍する,katsuyaku,"be active in, take an active part",suru,,,,,,,"活 - lively, resuscitation, being helped, living","躍 - leap, dance, skip",,,
カットする,katto,to cut,suru,,,,,,,,,,,
経営する,keiei,"to manage, conduct, run (a business)",suru,,,,,,,"経 - sutra, longitude, pass thru, expire, warp","営 - occupation, perform, build, conduct (business)",,,
経過する,keika,"to pass, elapse, expire",suru,,,,,,,"経 - sutra, longitude, pass thru, expire, warp","過 - overdo, exceed, go beyond, error",,,
計画する,keikaku,to plan,suru,,,,,,,"計 - plot, plan, scheme, measure","画 - brush-stroke, picture",,,
経験する,keiken,"to experience, undergo",suru,,,,,,,"経 - sutra, longitude, pass thru, expire, warp","験 - verification, effect, testing",,,
計算する,keisan,"to count, calculate, sum up",suru,,,,,,,"計 - plot, plan, scheme, measure","算 - calculate, divining, number, abacus, probability",,,
契約する,keiyaku,"to contract, make a contract with",suru,,,,,,,"契 - pledge, promise, vow","約 - promise, approximately, to shrink",,,
結婚する,kekkon,to marry,suru,,,,,,,"結 - tie, bind, contract, join, organize, do up hair",婚 - marriage,,,
見物する,kenbutsu,to go sightseeing,suru,,,,,,,"見 - see, hopes, chances, idea, opinion, look at","物 - thing, object, matter",,,
けんかする,kenka,"to quarrel, fight",suru,,,,,,,,,,,
研究する,kenkyū,"to study, research",suru,,,,,,,"研 - polish, study of, sharpen","究 - research, study",,,
研修する,kenshū,"to study, train, intern",suru,,,,,,,"研 - polish, study of, sharpen","修 - discipline, conduct oneself well, study, master",,,
検討する,kentō,"to examine, investigate, think over",suru,,,,,,,"検 - examination, investigate","討 - chastise, attack, defeat, destroy, conquer",,,
欠席する,kesseki,to be absent,suru,,,,,,,"欠 - lack, gap, fail, yawning radical","席 - seat, mat, occasion, place",,,
決心する,kesshin,"to make up one’s mind, decide",suru,,,,,,,"決 - decide, fix, agree upon, appoint","心 - mind, heart, spirit",,,
決定する,kettei,"to decide, determine",suru,,,,,,,"決 - decide, fix, agree upon, appoint","定 - determine, fix, establish, decide",,,
キープする,キープする,to keep,suru,,,,,,,,,,,
キックする,キックする,to kick,suru,,,,,,,,,,,
緊張する,kinchō,"to be tense, nervous",suru,,,,,,,"緊 - tense, solid, hard, reliable, tight","張 - lengthen, counter for stringed instr., stretch",,,
記念する,kinen,to commemorate,suru,,,,,,,"記 - scribe, account, narrative","念 - wish, sense, idea, thought, feeling, desire",,,
記録する,kiroku,"to record, write down",suru,,,,,,,"記 - scribe, account, narrative",録 - record,,,
キスする,kisu,to kiss,suru,,,,,,,,,,,
期待する,kitai,"to expect, hope",suru,,,,,,,"期 - period, time, date, term","待 - wait, depend on",,,
攻撃する,kōgeki,"to attack, charge, criticize",suru,,,,,,,"攻 - aggression, attack, criticize, polish","撃 - beat, attack, defeat, conquer",,,
工事する,kōji,to construct,suru,,,,,,,"工 - craft, construction","事 - matter, thing, fact, business, reason, possibly",,,
後悔する,kōkai,"to regret, repent, be sorry",suru,,,,,,,"後 - behind, back, later","悔 - repent, regret",,,
交換する,kōkan,to exchange,suru,,,,,,,"交 - mingle, mixing, association, coming & going","換 - interchange, period, change, convert, replace",,,
混乱する,konran,"to be confused, be in disorder",suru,,,,,,,"混 -mix, blend, confuse","乱 - riot, war, disorder, disturb",,,
コントロールする,コントロールする,to control,suru,,,,,,,,,,,
コピーする,コピーする,to make a copy,suru,,,,,,,,,,,
考慮する,kōryo,"to consider, think over",suru,,,,,,,"考 - consider, think over","慮 - prudence, thought, concern, consider",,,
交流する,kōryū,"to exchange (ideas, culture)",suru,,,,,,,"交 - mingle, mixing, association, coming & going","流 - current, a sink, flow, forfeit",,,
故障する,koshō,to break down,suru,,,,,,,"故 - especially, intentionally, reason, cause","障 - hinder, hurt, harm",,,
交渉する,kōshō,to negotiate,suru,,,,,,,"交 - mingle, mixing, association, coming & going","渉 - ford, go cross, transit, ferry, import, involve",,,
交代する,kōtai,"to take turns, take a person’s place",suru,,,,,,,"交 - mingle, mixing, association, coming & going","代 - substitute, change, convert, replace, period, age",,,
クリックする,クリックする,to click with a mouse,suru,,,,,,,,,,,
キャンセルする,キャンセルする,to cancel,suru,,,,,,,,,,,
拒否する,kyohi,"to refuse, reject, deny",suru,,,,,,,"拒 - repel, refuse, reject, decline","否 - negate, no, noes, refuse, decline, deny",,,
教育する,kyōiku,to educate,suru,,,,,,,"教 - teach, faith, doctrine","育 - bring up, grow up, raise, rear",,,
許可する,kyoka,to permit,suru,,,,,,,"許 - permit, approve","可 - can, passable, mustn't, should not, do not",,,
供給する,kyōkyū,"to supply, furnish, provide",suru,,,,,,,"供 - submit, offer, serve (meal), accompany","給 - salary, wage, gift, allow, grant",,,
強制する,kyōsei,"to compel, force a person to do",suru,,,,,,,強 - strong,"制 - system, law, rule",,,
競争する,kyōsō,to compete,suru,,,,,,,"競 - emulate, compete with, bid, sell at auction","争 - contend, dispute, argue",,,
救助する,kyūjo,"to rescue, help",suru,,,,,,,"救 - salvation, save, help, rescue, reclaim","助 - help, rescue, assist",,,
休憩する,kyūkei,"to rest, take a break",suru,,,,,,,"休 - rest, day off, retire, sleep","憩 - recess, rest, relax, repose",,,
吸収する,kyūshū,to absorb,suru,,,,,,,"吸 - suck, imbibe, inhale, sip","収 - income, obtain, reap, pay, supply, store",,,
メールする,mēru,to send an email,suru,,,,,,,,,,,
迷惑する,meiwaku,to be troubled/annoyed,suru,,,,,,,"迷 - astray, be perplexed, in doubt, lost, err","惑 - beguile, delusion, perplexity",,,
面接する,mensetsu,to interview,suru,,,,,,,"面 - mask, face, features, surface","接 - touch, contact, adjoin, piece together",,,
ミックスする,mikkusu,to mix,suru,,,,,,,,,,,
ミスする,misu,"to make a mistake, to miss",suru,,,,,,,,,,,
黙認する,mokunin,to permit or approve tacitly,suru,,,,,,,"黙 - silence, become silent, stop speaking","認 - acknowledge, witness, discern, recognize",,,
矛盾する,mujun,"to be contradictory, to conflict",suru,,,,,,,"矛 - halberd, arms, festival float","盾 - shield, escutcheon, pretext",,,
無視する,mushi,"to ignore, disregard",suru,,,,,,,"無 - nothingness, none, ain't, nothing, nil, not","視 - inspection, regard as, see, look at",,,
納得する,nattoku,"to consent, to agree, to convinced, to understand, to comprehend",suru,,,,,君の提案は納得できない。,I cannot accept your suggestion.,"納 - settlement, obtain, reap, pay, supply, store","得 - gain, get, find, earn, acquire, can, may, able to",,,
認識する,ninshiki,to recognize realize understand,suru,,,,,,,"認 - acknowledge, witness, discern, recognize","識 - discriminating, know, write",,,
入学する,nyūgaku,to enter a school,suru,,,,,,,"入 - to enter, to contain, to insert","学 - study, learning, science",,,
入院する,nyūin,to be hospitalized,suru,,,,,,,"入 - to enter, to contain, to insert","院 - Inst., institution, temple, mansion, school",,,
応援する,ōen,"to aid, support, encourage, cheer",suru,,,,,,,"応 - apply, answer, yes, ok, reply, accept","援 - abet, help, save",,,
往復する,ōfuku,to go and return,suru,,,,,,,"往 - journey, travel, chase away, let go, going","復 - restore, return to, revert, resume",,,
応用する,ōyō,"to apply, put into practice",suru,,,,,,,"応 - apply, answer, yes, ok, reply, accept","用 - use, errand, task",,,
パスする,pasu,to pass (mainly used in sports),suru,,,,,,,,,,,
落第する,rakudai,"to fail an exam, be rejected",suru,,,,,,,"落 - fall, drop, come down, village, hamlet","第 - No., residence",,,
落選する,rakusen,to be defeated in an election,suru,,,,,,,"落 - fall, drop, come down, village, hamlet","選 - elect, select, choose, prefer",,,
連絡する,renraku,"to contact, get in touch",suru,,,,,,,"連 - to take along, lead, join, connect, party, gang","絡 - to entwine, coil around, get caught in",,,
練習する,renshū,"to practice, exercise",suru,,,,,,,"練 - practice, gloss, train, drill, polish, refine",習 - learn,,,
リードする,riido,to lead,suru,,,,,,,,,,,
理解する,rikai,"to understand, comprehend",suru,,,,,,,"理 - logic, arrangement, reason, justice, truth","解 - unravel, notes, key, explanation",,,
離婚する,rikon,to divorce,suru,,,,,,,"離 - detach, separation, disjoin, digress",婚 - marriage,,,
利用する,riyō,to make use of,suru,,,,,,,"利 - profit, advantage, benefit","用 - use, errand, task",,,
ロックする,rokku,to lock,suru,,,,,,,,,,,
録音する,rokuon,to record (sound),suru,,,,,,,録 - record,"音 - sound, noise",,,
浪費する,rōhi,"to waste (money or time), throw away",suru,,,,,,,"浪 - wandering, waves, billows, reckless","費 - expense, cost, spend, consume, waste",,,
旅行する,ryokō,to travel,suru,,,,,,,"旅 - trip, travel","行 - going, journey, carry out, conduct, to go",,,
料理する,ryōri,to cook,suru,,,,,,,"料 - fee, materials","理 - logic, arrangement, reason, justice, truth",,,
留学する,ryūgaku,to study abroad,suru,,,,,,,"留 - detain, fasten, halt, to stop","学 - to study, learning, science",,,
裁判する,saiban,to hold a trial,suru,,,,,,,"裁 - tailor, judge, decision, cut out (pattern)","判 - judgement, signature, stamp, seal",,,
採用する,saiyō,"to employ, adopt (measures)",suru,,,,,,,"採 - pick, take, fetch, take up","用 - use, errand, task",,,
参加する,sanka,"to join, take part in",suru,,,,,,,"参 - visit, be defeated, die, participate","加 - add, addition, increase, join, include",,,
散歩する,sanpo,to take a walk,suru,,,,,,,"散 - scatter, disperse, spend, squander","歩 - walk, counter for steps",,,
賛成する,sansei,"to agree, approve",suru,,,,,,,"賛 - approve, praise, assist, agree with","成 - turn into, become, get, grow, elapse, reach",,,
生活する,seikatsu,"to make a living, support oneself",suru,,,,,,,"生 - life, genuine, birth","活 - lively, resuscitation, being helped, living",,,
成功する,seikō,to succeed,suru,,,,,,,"成 - turn into, become, get, grow, elapse, reach","功 - achievement, merits, success, honor, credit",,,
生産する,seisan,"to produce, manufacture",suru,,,,,,,"生 - life, genuine, birth","産 - products, bear, give birth, yield, childbirth",,,
専攻する,senkō,"to specialize, major in",suru,,,,,,,"専 - specialty, exclusive, mainly, solely","攻 - aggression, attack, criticize, polish",,,
選挙する,senkyo,to elect,suru,,,,,,,"選 - elect, select, choose, prefer","挙 - to raise, plan, project, behaviour, actions",,,
戦争する,sensō,to make war,suru,,,,,,,"戦 - war, battle, match","争 - contend, dispute, argue, to compete",,,
