Verbs,Reading,Meaning,S1,T1
致す,いたす,to do,私がお持ち致しましょう。,Let me take it for you.
基づく,もとづく,"to be based on, be grounded on, be in accordance with",彼の指示に基づいて行動した。,We acted in accordance with his instructions.
消える,きえる,"to disappear, vanish, go out of sight, go away, fade",明かりが消えた。,The lights went out.
尋ねる,たずねる,"to ask, enquire, search, look for, look into, investigate",詳しいことは司書にお尋ねください。,Please ask the librarian for more information.
見付ける,みつける,"to discover, find, come across, detect, spot, locate",やっとその事実を見付けた。,I finally found that fact.
触れる,ふれる,"to touch, feel, experience, come in contact, perceive, mention, bring up, violate, infringe, make known",私は何かが足に触れるのを感じた。,I felt something touch my leg.
払う,はらう,"to pay, brush off, wipe away",駐車違反で罰金を払う。,Pay a fine for a parking ticket.
遊ぶ,あそぶ,"to play, enjoy oneself, hang out, meet up",子供たちは公園で楽しく遊んだ。,The children had fun playing in the park.
頼む,たのむ,"to request, beg, ask, call, order, reserve, entrust to, rely on",彼にそれをするように頼んだ。,I asked him to do it.
頑張る,がんばる,"to persevere, persist, keep at it, do one’s best",もっと頑張らないと進級できないよ。,You have to work harder to advance.
抱く,いだく,"to hold in one’s arms, embrace, hug, have thought, harbor, bear",赤ん坊は母親に抱かれて眠っている。,The baby is sleeping in the mother's arms.
楽しむ,たのしむ,to enjoy,彼は古道具を集めて楽しんでいた。,He enjoyed collecting old tools.
流れる,ながれる,"to stream, flow, run, washed away, drift, stay, circulate, lapse, pass",川は市内を流れている。,The river runs through the city.
捨てる,すてる,"to throw, away, cast away, dump, discard, abandon, give up",まだ使える物を捨ててはいけません。,Don't throw away things that are still usable.
着る,きる,"to wear, put on, take, bear",彼は上着を着ている。,He's wearing a jacket.
迎える,むかえる,"to go out to meet, receive, welcome, greet, accept, approach",空港に人を迎える。,Meet a person at the airport.
取れる,とれる,"to come off, removed, diaper, be caught, taken as, be attained",上着のボタンが取れた。,My jacket button came off.
押す,おす,"to push, press, press down, stamp, affix, repress",戸を押して開ける。,Push the door open.
超える,こえる,"to cross over, cross, pass through, go beyond, exceed, surpass",彼は太平洋を越えてアメリカへ渡った。,He crossed the Pacific to America.
並ぶ,ならぶ,"to line up, stand in line, rival, match",狭い道を横に並んで歩いてはいけない。,Do not walk side by side on narrow streets
定める,さだめる,"to decide, determine, establish, prescribe, provide",今月の売上目標を５千箱と定めた。,"The sales target for this month was set at 5,000 boxes."
学ぶ,まなぶ,"to lear, study, take lesson in",自分を押さえることを学ぶ。,Learn to control oneself.
頷く,うなずく,"to nod, bow, agree",精神科医は頷きながらこう言った。,The psychiatrist nodded and said.
通る,とおる,"to go by, go past, go along, pass through, go via, go between, go through",駅とお寺の間にバスが通っている。,Buses run between the station and the temple.
運ぶ,はこぶ,"to carry, transport, convey, to go well",次の駅へ乗客を運ぶ。,Carry passengers to the next station.
伴う,ともなう,"to accompany, bring with, take with, be involved in",権利には責任が伴う。,Rights and responsibilities go hand in hand.
広がる,ひろがる,"to spread put, stretch, reach get around, fill",火事は隣町に広がった。,The fire spread to neighboring towns.
付き合う,つきあう,"to associate with, keep company with, go out with, go steady",初めての人たちと付き合うのが苦手だ。,I find it difficult to mix with strangers.
泣く,なく,"to cry, weep, sob",お金を落として泣きたくなった。, felt like crying when I discovered I had lost the money.
進める,すすめる,"to advance, move forward, proceed",この仕事をどんどん進めなさい。,Keep moving forward with this work.
繋がる,つながる,"to be tied together, be connected, be linked, lead to, related to",この村は鉄道で町につながっている。,This village is connected to the town by a railroad.
挙げる,あげる,"to raise, elevate",賛成の人は手を挙げてください。,"Those in favor, raise your hands."
捉える,とらえる,"to catch, capture, seize, arrest, grab, grasp, perceive",夜を捉える写真で新しいことを試すのが好きです。,I love trying new things with photos that capture the night.
見詰める,みつめる,"to stare at, gaze at, look hard, watch intently",あなたを見つめている男性は知り合いですか。,Do you know the man staring at you?
喜ぶ,よろこぶ,"to be delighted, be glad, be pleased",彼は成功を大変喜んでいる。,He is very pleased with his success.
避ける,さける,"to avoid, ward off, avert, put aside, move out of the way",彼らが会うことは避けられなかった。,Their meeting was inevitable.
応ずる,おうずる,"to answer, respond, meet, satisfy",我々は彼らの要求に応じなければならなかった。,We had to comply with their demands.
届く,とどく,"to reach, touch, get to, carry, be delivered, arrive",彼女が出掛けた後で伝言が届いた。,Message arrived after she left.
近付く,ちかづく,"to approach, draw near, get close, get acquainted",試験が近づいている。,The examination is approaching.
集まる,あつまる,"to gather, collect, assemble",私たちの周りに人が集まった。,People gathered around us.
いらっしゃる,いらっしゃる,"to come, go. be doing",明日いらっしゃることは可能でしょうか。,Is it possible for you to come tomorrow?
出掛ける,でかける,"to go out, leave, depart, set out",今出かけるのは無理だ。,It's impossible to go out now.
眺める,ながめる,"to look at, gaze at, stare at, get a view, admire, watch, observe",子供たちが庭で遊んでいるのを眺めた。,I watched the kids playing in the yard.
張る,はる,"to stick, paste, affix, stretch, spread, put up",ここにテントを張ろう。,Let's pitch our tent here.
含める,ふくめる,"to include, instruct, put in",彼らの名をリストに含めた。,Their names were included in the list.
目指す,めざす,"to aim at, try for, have an eye on, go toward, head for",ゴールを目指して走った。,I ran for the finish line.
愛する,あいする,to love,彼女は夫を深く愛している。,She loves her husband deeply.
隠す,かくす,"to hide, conceal",彼は事実を隠すつもりらしかった。,He seemed to be trying to hide the fact.
集める,あつめる,"to collect, assemble, gather",起訴に十分な証拠を集めた。,Sufficient evidence was gathered for prosecution.
食う,くう,"to eat​, live, make a living, bite, sting, consume",彼は一人で朝食を食った。,He ate breakfast alone.
飛ぶ,とぶ,"to fly, soar, jump, leap",風船が屋根の上を飛んでいる。,Balloons are flying over the roof.
齎す,もたらす,"to bring, take, bring about​",嵐は作物に大きな被害をもたらした。,The storm caused significant damage to crops.
叫ぶ,さけぶ,"to shout, cry, scream, clamour",窓の外で誰かが叫ぶのが聞こえた。,I heard someone yelling outside the window.
逃げる,にげる,"to run away, flee, get away, escape, avoid",誰かが逃げるのを見ましたか。,Did you see anyone running away?
抜く,ぬく,"to pull out, draw out, extract, unplug, omit, leave out, do to the end, let out",彼はよく食事を抜いていた。,He often skipped meals.
落とす,おとす,"to drop, lose, let fall cast, pour in, clean off, omit",あなたは自分のハンカチを落としました。,You dropped your handkerchief.
暮らす,くらす,"to live, get along, spend time",彼の親はスイスで暮らしている。,His parents live in Switzerland.
降りる,おりる,"to descend, go down, come down, alight, get off, step down, retire, form (frost, dew, mist)",彼女は次の駅で降りた。,She got off at the next stop.
果たす,はたす,"to accomplish, achieve, carry out, fulfil, realize, execute, do completely",目的は果たせたんですか。,Did you accomplish your goals?
記す,しるす,"to write down, note down, jot down, mention, describe, inscribe, mark",記録にはその出来事は記されていない。,The records do not mention the incident.
生む,うむ,"to give birth, bear a child lay eggs, produce, yield",彼女はいつ赤ちゃんを産むのだろうか。,When will she have her baby?
問う,とう,"to ask, inquire, blame, accuse, pursue, care about",彼にもう一杯いかがかと問う。,I ask him if he would like another drink.
止まる,とまる,"to stop moving, come to a stop, stop, cease, alight, perch",彼女はバスが止まるように手を上げた。,She raised her hand to make the bus stop.
掴む,つかむ,"to seize, catch, grasp, grip, grab, hold, understand",彼女は私の腕をしっかりつかんだ。,She grabbed my arm firmly.
返す,かえす,"to return something, restore, put back, turn over, pay back",それを明日返して下さい。,Please return that tomorrow.
過ごす,すごす,"to pass, spend, over do, do too much",彼の家で楽しい時を過ごした。,We had a great time at his house.
追う,おう,"to chase, run after, pursue, follow after",私は全速力で彼の後を追った。,I followed him at full speed.
扱う,あつかう,"to deal with, treat, handle, take care of, manage, operate",この問題をどのように扱えばよいのでしょうか。,How should this issue be handled?
眠る,ねむる,to sleep​,夜よく眠れないのですか。,Don't you sleep well at night?
及ぶ,およぶ,"to reach, amount to, befall, happen to, extend, come up to",費用は１億円に及んだ。,The expenses reached one hundred million yen.
怒る,おこる,"to get angry, get mad, tell someone off, scold",そのことで私に怒っているのか。,Are you angry with me for that?
要する,ようする,"to need, demand, take, require",この機械は修理を要する。,This machine needs repair.
結ぶ,むすぶ,"to tie, bind, link, to bear fruit, close a deal, conclude, connect ",この道路は二つの市を結んでいる。,This road connects two cities.
図る,はかる,"to plan, attempt, devise, plot, conspire, aim for",市場の拡大を図っている。,We are trying to expand the market.
歌う,うたう,to sing,皆の前で歌うのは全く別物です。,Singing in front of everyone is a completely different thing.
乗せる,のせる,"to place on something, give someone a ride, load, carry, send out ",駅まで乗せて行ってもらえる？,Can you give me a ride to the station?
申す,もうす,"to say, be called​, do",鈴木と申します。,My name is Suzuki.
支える,ささえる,"to support, prop, sustain, underlay, hold up, hold at bay",今の俺を支えるものは希望だけ。,The only thing that sustains me now is hope.
黙る,だまる,"to be silent, say nothing",彼らは彼女を怒らせないように黙っていた。,They kept quiet so as not to offend her.
受け取る,うけとる,"to receive, get, accept, take, interpret, understand",お手紙はまだ受け取っていません。,I have not received your letter yet.
抱える,かかえる,"to hold in one's arms, carry in one's arms, to have, take on",胸に花束を抱える。,Holding a bouquet of flowers to his chest.
叩く,たたく,"to strike, hit, beat, knock, pound, attack",ドアを３度たたく音が聞こえた。,I heard three taps on the door.
渡す,わたす,"to ferry across, lay across, build across, hand over, pass",この包みを彼に渡してください。,Please give him this package.
育てる,そだてる,"to raise, rear, bring up, train, teach, educate, nurture",私は庭でいろいろな花や野菜を育てています。,I grow a variety of flowers and vegetables in my garden.
借りる,かりる,"to borrow, have a loan, rent, hire",電話をお借りしてもよろしいでしょうか。,May I borrow your phone?
受け入れる,うけいれる,"to accept, receive, agree",会社は従業員の要求を受け入れた。,The company accepted the employee's request.
動かす,うごかす,"to move, shift, stir, budge, change position, inspire, rouse, change, operate, mobilize",柱を少し右へ動かす。,Move the pillar slightly to the right.
分ける,わける,"to divide, split, part, separate, classify, sort out, share, distinguish",ピアノの代金は３回に分けて支払った。,The piano was paid for in three installments.
立ち上がる,たちあがる,"to stand up, get up, rise, recover, take action, start up, boot up",ゆっくりと立ち上がる。,Stand up slowly.
訪れる,おとずれる,"to visit, call on, arrive, come, appear",待ちに待ったチャンスが訪れた。,The long-awaited opportunity had arrived.
当てる,あてる,"to hit, expose, apply, put on, allot",私たちは学校の勉強に多くの時間を当てた。,We put a lot of time into our schoolwork.
巡る,めぐる,"to go around, return, surround",血液は体内を巡る。,Blood travels through the body.
焼く,やく,"to burn, roast, broil, grill, bake, toast, barbecue, heat up, to tan",200度の天火で20分焼く。,Bake at 200°F for 20 minutes.
伸ばす,のばす,"to grow long, lengthen, extend, stretch, reach out, straighten",腕を伸ばしたが電灯に届かなかった。,I extended my arm but could not reach the light.
出会う,であう,"to meet, come across, run across, encounter",道でばったり旧友に出会った。,I bumped into an old friend on the street.
助ける,たすける,"to save, rescue, help, assist, contribute, support, facilitate",老人を助けてバスに乗せてあげた。,I helped the old man and put him on the bus.
望む,のぞむ,"to desire, wish for, expect",画家になりたいと望んでいる。,He hopes to become a painter.
通う,かよう,"to go to and from, back and forth between, go to, attend, commute",彼らは毎朝歩いて工場に通う。,They walk to the factory every morning.
見付かる,みつかる,"to be found, be discovered",パイプにひびのあるのが見付かった。,A cracked pipe was found.
上る,のぼる,"to ascend, go up, climb",彼は階段をゆっくりと上った。,He walked slowly up the stairs.
亡くなる,なくなる,"to die, pass away",父は２年前に亡くなった。,My father died two years ago.
落ち着く,おちつく,"to calm down, compose oneself, settle down",彼女が何を言おうと落ちついていなさい。,"Whatever she says, stay calm."
纏める,まとめる,"to collect, put together, integrate, consolidate, unify, summarize, aggregate, finalize",データはまだまとめていません。,Data has not yet been compiled.
抜ける,ぬける,"to come out, fall out, be omitted, be missing, fade, leave, be clear, be transparent",あの歌が頭の中から抜けなくて。,I couldn't get that song out of my head.
取り上げる,とりあげる,"to pick up, adopt, accept, take up, listen to, deal with, take away, deliver, collect",第二の問題を取り上げましょう。,Let's address the second issue.
構う,かまう,"to mind, care about, be concerned about, be an issue, to matter",私は構わなかった。,I didn't mind.
