Sayachi.Sentences,Sayachi.Translation,Kakochin.Sentences,Kakochin.Translation,Ikechan.Sentences,Ikechan.Translation
ちょうど放送される前後,Just before and after the broadcast,つけだれの用意をしていきたいと思います,I would like to prepare the dipping sauce,わたしもダサイよ、ヤバいよ,"Mine is out of fashion too, it's not good!"
になるとみんなその話をしていて,And everyone is talking about that when it comes to,つけだれ調理中,During preparation of dipping sauce,いや、なんかめちゃめちゃかわいいよ,"No, it's kind of cute."
あ〜やっぱり全国の共通の話なんだなと思いました,"Oh, I knew it was a common story across the country.",出来ました,It's done,なんか似合ってる,Something suits you
ね？懐かしいですよね？,"right? It's nostalgic, right?",とりあえず牛ダン５００gを用意しました,"For now, I've prepared 500 grams of beef tongue",わたしの水着はね..,My swimming costume is...
みなさん「なになにの実」がいいですか？,"Everyone, what kind of fruit would you like?",垂れ,sauce,ちょっとヤバい,A bit of a mess
でも溺れちゃうの嫌ですよね？,"But you don't want to drown, do you?",ネギだれ,green onion sauce,これヤバい,This is bad!
ゴムゴムの実は便利ですよね,Rubber gum berries are useful.,塩、レモン、ポン酢、梅、わさび醤油用意しました,"I prepared salt, lemon, ponzu, plum, and wasabi soy sauce",もう80年代のさ,It's the 80s
遠いところまで伸びますもんね,"It stretches a long way, doesn't it?",じゃあ早速やっちゃいます,"Okay, I'll get right on it",バブル、スナックだよね,"Bubble, snack"
お天気の実とかは？,"What about ""weather fruit"" and such?",油を塗るよ,I'll grease it,なんか似合ってわないんですけど,I don't think it looks good on me
この後も是非楽しんでいただきたいなと思います,I hope you enjoy the rest of the show!,焼きます,grill,いや、似合わなくはないよ,"No, it doesn't suit you"
ということでCMをお披露目させていただきました,So we have unveiled our commercial!,超分厚いの,It's super thick,しかもなんか強そう,And it looks strong
,,これ超分厚くない？,Isn't this super thick?,全然はかなさとか,"not all, I would wear this"
,,すごくない？,Isn't that amazing?,可愛さがない,Not pretty at all
,,良い音,Good Sound,ちゃんと着こなしてる,You're wearing it well
,,飲み物の用意忘れてた,I forgot to bring the drinks,いや、着こなせてないでしょう,"No, I am not wearing it well"
,,,,無料で借りれたの強かったね,You were strong enough to borrow it for free
,,,,確かに、ありがたい,"Certainly, thank you!"
,,,,お金かかると思ったら,If you think it costs money
,,,,えっ、絶対かかると思ってた,"Oh, I knew it would happen"
,,,,なんか前髪も少年みたいになっちゃった,Somehow my bangs have become like a boy
,,,,えっ、さっきサウナに入ってからメイク直した,"Eh, have you changed your make-up since you went into the sauna earlier?"
,,,,直してない,I didn't fix it
,,,,私も直してない,I haven't fixed it either
,,,,なんかもう、あそこまで忘れちゃうとね,"I don't know, I've forgotten so much"
,,,,もう、どうでもいいやってなる,I just don't care anymore
,,,,ほぼすっぴんだけどいいやって感じだよね,"It's almost completely bare, but it's okay."
,,,,ほぼ,"almost, roughly, approximately​"
,,,,素っぴん,face with no make-up​
,,,,後ろ、のさ、映えとかヤバくない,It's not like it's going to look bad back there
,,,,うちらの水着は生えてないけど,"Our swimwear doesn't live, though"
,,,,すごい,Amazing
,,,,いやー、もう大自然ですね,"Well, it's already a great nature!"
,,,,温泉とサウナが結構趣味なの,I'm quite fond of hot springs and saunas
,,,,そうなの？,Is that so?
,,,,いいねそれ,That's good
,,,,温泉すごい好きなの,I love hot springs
,,,,行くんだ,You have to go
,,,,一人で銭湯とかもガンガン行ける,I can go to public baths by myself
,,,,銭湯,public bath
,,,,ガンガン,"clanging, banging, booming, loudly, throbbing, fully, vigorously"
,,,,最高,best
,,,,いや、いいよね,"No, it's good"
,,,,温泉好きなんだ、いけちゃん,"Ikechan, love hot springs"
,,,,ほんとはもっといろんなとこ開拓したいんだよね,I'd really like to explore more places
,,,,開拓する,"reclamation, cultivation, development, pioneering, trailblazing"
,,,,探る,"to feel around for, to search for, to investigate, to explore, to enjoy (natural beauty)"
,,,,マッサージ行くのも好きなんだけどさあ,I like to go for a massage
,,,,くすぐったい,"ticklish, embarrassing"
,,,,うん、えっ、マッサージくすぐったいの,"Yeah, eh, massage tickles?"
,,,,いや、もうそれ健康って事らしいよ,"No, It seems healthy"
,,,,めっちゃ、くすぐったい,It so ticklish!
,,,,そうなの？,Is that so?
,,,,えっ、なんかさ、脇腹とかからさ,"Eh, Something, from the side.. (torso)"
,,,,こう、サワッとさわられたとき,When you are touched like this
,,,,触る,"to touch, to feel, to get involved, to approach"
,,,,ううっん、みたいな声出しちゃう,"sounds like, ""Unh!"
,,,,どんなマッサージ行ってるの？,What kind of massage do you have?
,,,,ちょっと怪しいマッサージ行ってるんじゃないの,I think you're getting a bit of a dodgy massage
,,,,怪しい,"suspicious, dubious, questionable, dodgy, shady, fishy"
,,,,いや、怪しいマッサージは言ってないんだけど,"No, It wasn’t a suspicious massage"
,,,,あの普通のマッサージだよ,It’s regular massage
,,,,そんなソワッとか触ってくるかな,I wonder if I would be touch me like that
,,,,もうゴリゴリやれない,I can’t undertake that hard already
,,,,ゴリゴリ,"with a scraping sound, with force; hard; vigorously, forcibly (carry out)"
,,,,やれない,"can’t do, can’t perform, can’t undertake"
,,,,いやでも最初に　,"No, but first"
,,,,最初ファーストタッチ,First touch
,,,,ファーストタッチの時点で、だって,"At the first touch, because"
,,,,時点,"point in time, occasion"
,,,,こんな感じで,Like this
,,,,この時点でなんか,"At this point, I feel like"
,,,,これはもう,This is already
,,,,いけちゃん、感度が良過ぎるじゃないですか,"Ikechan, you're too sensitive!"
,,,,感度,sensitivity
,,,,そういう問題じゃないんじゃないですか、たぶん,"That's not the point, I think"
,,,,言い方,How to say
,,,,えっじゃ、こちょこちょとかめちゃくちゃ弱い？,"What, so you're really weak at rubbing?"
,,,,こちょこちょ,"coochy-coo, hitchy-koo, kitchy-koo (tickling sound)"
,,,,めちゃくちゃ,"absurd, unreasonable, nonsensical, extreme, incredibly, really, so, super"
,,,,えっ、弱いよ, I'm weak
,,,,無理だよ,You can't
,,,,いいですね,It’s nice
,,,,気持ちいいですね,It feels good
,,,,えっ、混浴初めてきたかもしれない,I think I've never been in a mixed bath before
,,,,露天風呂はめっちゃくるけど,The open-air bath is very good
,,,,どうぞ,Go ahead
,,,,あったかい、水,"Warm, water"
,,,,いい湯だなって歌ってみて,Sing it like it's a good bath
,,,,ズレてる？ズレてない？,Am I off? No?
,,,,ずれる,"to slide, to slip off, to get dislocated,  to deviate, to shift, to be out of sync"
,,,,ズレてるていうか一定音なんじゃないかな、たぶん,"It's not out of tune, it's a constant sound, maybe"
,,,,わからない、音痴だからわからない,"I don't know, I'm tone deaf, I don't know"
,,,,私もわからない,I don't know either
,,,,私の中で100点のいい湯だった,"It was a good bath, 100 points in my book"
,,,,いや、サウナね、過酷だったね,"No, the sauna, it was tough"
,,,,海にも入ったし,We've been in the sea
,,,,楽しかったな,That was fun
,,,,ゆるい企画ばっかりだからさ,Because it's just a loose plan
,,,,あんま体張ったことなかったもんな,We've never been very physical
,,,,確かに,Certainly
,,,,あんなに体張ったの初めてかもしれない,I don't know if I've ever put my body on the line like that before
,,,,次はなにする？滝にうたれる？,What's next? Do you want to be hit by a waterfall?
,,,,滝,waterfall
,,,,打たれる,"to be struck, to be beaten"
,,,,打つ,"to hit, to strike, to knock, to beat, to drive in, to hammer in"
,,,,打ち合わせする,"advance arrangements, preparatory meeting, briefing session, overlap (of a coat, etc.)"
,,,,打ち合わせる,"to knock together, to strike against each other, to arrange (e.g. a meeting), to discuss"
,,,,打ち込む,"to drive in (e.g. nail, stake), to hammer in"
,,,,打ち切る,"to stop, to abort, to discontinue, to close"
,,,,打開する,break in the deadlock
,,,,打つかる,"to strike against, to collide with, to bump into, to conflict, to encounter, to meet, clash"
,,,,打付ける,"to hit (e.g. one's head), to strike, to crash into​"
,,,,いや、ほんとに滝に打たれたいと思ってね,"No, really, I just wanted to be hit by a waterfall"
,,,,高尾山とか行きたいと思って,I was thinking of going to Mount Takao or something
,,,,滝行しにいこう、なんか,"Let's go to the waterfall, something"
,,,,腐ったメンタルを叩き直すっていう企画,The project is to beat back the rotten mentality
,,,,うちらメンタル腐ってるもんね,"We've got mental rot, don’t we?"
,,,,滝に打たれてメンタル直してきましょう,Let's go to the waterfall and fix our mentality
,,,,直したい,I want to fix it
,,,,くすぐったいって思っちゃうんじゃない？,I think you'll find it ticklish
,,,,そこまでじゃない,Not that much
,,,,さすがに痛いと思う,"I think it hurts, as expected"
,,,,ファーストタッチからすごい痛いから、多分,"It hurts like hell from the first touch, so maybe"
,,,,それでくすぐったいとか,And it tickles
,,,,ソワソワするとかいったら,If I say I'm nervous...
,,,,ソワソワ,"restlessly, nervously, uneasily, in a fidget​"
,,,,滝行しながらくすぐったいっていってるんだよ,I'm tickling you with a waterfall
,,,,ヤバすぎでしょ,That's too bad
,,,,サイコパス,Psychopath
,,,,でもいけちゃん、すぐったいっていい出しそうだけどね,"But Ikechan, I think it's ok, though"
,,,,いいそうだよね,"Sounds good, doesn't it?"
,,,,私そういうヤバいとこあるかもしれない,I think I'm a bit of a mess
,,,,ちなみにあの、反対側をうつしたい,"By the way, I want to depict the other side"
,,,,ちなみに,"by the way, in this connection, incidentally"
,,,,こんな感じです,It looks like this
,,,,ここでさ、全力で泳ぐやつやりたい,I want to do a full-on swim here
,,,,どこを目指しているんでしょう,Where do we want to go?
,,,,いや、でも貸してくれて嬉しいね,"No, but I'm glad you lent it to me"
,,,,だって、なかったらうちら入れなかったよ,"Because without it, you wouldn't have been able to enter"
,,,,ほんとだよね,It's true
,,,,こう中のパットがパカパカしてるんだけどさ,"You know, the pads on the inside are popping"
,,,,うちもパカパカしてる,Mine is popping too
,,,,これ10年ぐらい前からあるのかな,This one's been around for about 10 years
,,,,閉じましょう,Let's close it
,,,,なんか迷走する気がする,I feel like I'm going astray
,,,,いったんここで閉じよう,Let's close here for now
,,,,いったん ,"once, for a short time, briefly, temporarily"
