Words,Reading,Meaning,S1,T1
不法,ふほう,"unlawful, illegal",未成年の喫煙は不法な行為です。,Underage smoking is illegal.
厳密,げんみつ,"strict, close, precise",厳密な解釈はデバイスに依存する。,Strict interpretation depends on the device.
大胆,だいたん,"bold, daring, audacious",沖縄にはもっと大胆な特区が必要だ。,Okinawa needs more bold special zones.
異様,いよう,"bizarre, strange, odd",それでこんな異様なことが起きたのです。,That's how this bizarre thing happened.
柔軟,じゅうなん,"flexible, soft, pliable",より柔軟なレポート作成機能。,More flexible reporting capabilities.
性的,せいてき,relating to gender,私は性的な差別を受けた。,I was sexually discriminated against.
健全,けんぜん,"healthy, sound",安定した健全な状態です。,It is stable and healthy.
強引,ごういん,"overbearing, coercive, pushy",強引な販売員がすぐに契約書に署名するよう強く迫った。,The pushy salesperson strongly pressured me to sign the contract immediately.
華やか,はなやか,"showy, brilliant, gorgeous",事業家として華やかな生活を送る。,He leads a glamorous life as an entrepreneur.
別々,べつべつ,separate,エンジンとゲームを別々なパッケージにできるようにすることでした。,The idea was to be able to package the engine and the game separately.
顕著,けんちょ,"remarkable, striking",その病気の顕著な兆候が現れた。,The disease showed remarkable signs of its disease.
的確,てきかく,"precise, accurate, appropriate",的確な分析に基づく中立的な情報発信です。,Neutral information dissemination based on accurate analysis.
スムーズ,スムーズ,smooth,低速から高速までスムーズな変速が可能です。,Smooth gear shifting from low to high speeds.
丈夫,じょうぶ,"healthy, robust, solid",軽くて丈夫な強力噴霧器です。,"Lightweight, durable, and powerful sprayer."
密接,みっせつ,"close, intimate",彼女はその会社と密接な関係がある。,She is closely associated with that company.
迅速,じんそく,"quick, fast, swift",迅速な行動をとれば将来起こる問題の予防になる。,Prompt action will help prevent future problems.
シンプル,シンプル,"simple, plain",構造もシンプルなのでメンテナンスも容易。,The structure is simple and easy to maintain.
忠実,ちゅうじつ,"faithful, devoted, loyal",犬というものは忠実な動物である。,Dogs are loyal animals.
大袈裟,おおげさ,"grandiose, exaggerated",翌日彼は大げさな包帯姿で出社してきた。,The next day he came to work in exaggerated bandages.
緩やか,ゆるやか,"loose, slack, gentle, slow, lenient",緩やかな成長の兆しが現れている。,Signs of moderate growth are emerging.
無縁,むえん,"unrelated, unconnected, irrelevant",一見時代とは無縁な時間が流れていく。,Time passes seemingly unrelated to the times.
率直,そっちょく,"frank, candid, straightforward",態度が率直な人だ。,He has a frank attitude.
賑やか,にぎやか,"bustling, busy, prosperous",彼の店は町の賑やかな区域にある。,His store is located in a busy section of town.
漠然,ばくぜん,"vague, obscure, indistinct",意図的に漠然なものとされた。,It was made intentionally vague.
明白,めいはく,"obvious, clear",それには明白な証拠がある。,There is clear evidence for this.
爽やか,さわやか,"fresh, refreshing, invigorating, clear, fluent",さわやかな秋となりました。,It has been a refreshing fall.
温暖,おんだん,"warm, mild, temperate",もっと温暖な気候条件の地域もあります。,Some areas have more temperate climatic conditions.
愚か,おろか,"foolish, stupid, silly",私は愚かな迷信など信じない。,I don't believe in silly superstitions.
人的,じんてき,"human, personal",資金面や人的な負荷が多く掛かっています。,There are many financial and human burdens involved.
真っ白,まっしろ,pure white,彼の真っ白な家はそのとおりで最も目立つ家だ。,His white house is the most prominent one on the street.
対等,たいとう,"equal footing, equal terms",私がかつて経験したなかでも最も対等なコラボレーションの一つでした。,It was one of the most equal collaborations I have ever experienced.
前向き,まえむき,"facing forward, front-facing",前向きな性格へと変化。,A change to a more positive personality.
露わ,あらわ,"exposed, bare",建築とは露わなものでなく。,Architecture is not something exposed.
有害,ゆうがい,"harmful, hazardous",有害な光線又は超音波にさらされる場所。,Locations exposed to harmful rays of light or ultrasonic waves.
惨め,みじめ,"miserable, wretched",退屈や惨めな生活から人々を救う。,Save people from boredom and misery.
間近,まぢか,"proximity, nearness, soon, nearby",そこには閉校間近な高校があった。,There was a high school there that was about to close.
過激,かげき,"extreme, radical",さてここからが本番の過激な試みです。,Now here is a radical attempt at the real deal.
器用,きよう,"skillful, dexterous, nimble",商取り引きにかけては彼ほど器用な者はいない。,No one is more adept at business transactions than he.
速やか,すみやか,"quick, speedy, prompt",皮膚の速やかな治癒と再生を促し。,Promotes rapid skin healing and regeneration.
気楽,きらく,"carefree, comfortable, easy-going",常にビット以下の気楽な感じが必要です。,It should always feel carefree and less than a bit.
ビッグ,ビッグ,big,がっつりビッグな大きさのオムライス。,A big omelette rice.
無難,ぶなん,"safe, secure, acceptable, passable",それは無難な選択だ。,That's a safe choice.
柔らか,やわらか,"soft, tender, supple, subdued",彼女は柔らかな口調で話しました。,She spoke softly.
安易,あんい,"easy, simple, easygoing, lighthearted",彼は彼女を安易な餌で誘き寄せた。,He lured her in with easy bait.
陽気,ようき,"cheerful, merry",彼は昔の陽気な人でなくなっている。,He is not the cheerful man he was.
著名,ちょめい,"well-known, noted, celebrated",彼女は国際的に著名な画家です。,She is an internationally renowned painter.
気軽,きがる,"carefree, buoyant, lighthearted",名店から毎日使える気軽なカフェまで。,From famous restaurants to casual cafes you can use every day.
猛烈,もうれつ,"fierce, intense, severe",彼は私に猛烈な圧力をかけています。,He is putting intense pressure on me.
自在,じざい,doing at will​,狭い隙間でも自在な角度で使用可能。,"Can be used at any angle, even in tight spaces."
簡易,かんい,"simplicity, convenience, easiness",簡易な低湿度特性評価試験に。,For simple low-humidity characteristic evaluation tests.
真っ暗,まっくら,"pitch dark, bleak future",真っ暗な空間に青白く光る舟が幻想的。,The boat glowing blue-white in the pitch-dark space is fantastic.
上品,じょうひん,"elegant, refined, polished, stylish, high-quality goods",彼女は上品な態度をしています。,She has a classy demeanor.
鮮明,せんめい,"vivid, clear, distinct",写真ほど鮮明なものはない。,Nothing is clearer than a photograph.
同等,どうとう,"equality, equal, same rights",同等なハードウェアとソフトウェアを使用します。,Use equivalent hardware and software.
明瞭,めいりょう,"clear, plain, distinct, obvious",それともあなたがたに明瞭な権能があるのか。,Or do you have distinct authority?
密,みつ,"dense, thick, crowded, intimate",生物学者との密な協力の元で行う必要があります。,Must be done in close collaboration with biologists
厳格,げんかく,"strict, severe, stern, rigid",彼らは時間に関しては厳格な考え方をしている。,They have a strict mindset regarding time.
真っ黒,まっくろ,pitch black,真っ黒な油が降ってきそう。,It looks like pitch black oil is falling.
端的,たんてき,"frank, direct, plain, straightforward",端的な回答をお出ししましょう。,Let me give you a straightforward answer.
粗末,そまつ,"crude, rough, plain, humble, shabby​",丸太から粗末なテーブルを作った。,A crude table was made from a log.
執拗,しつよう,"persistent, tenacious",執拗な闘争をこの方法で移動するのを躊躇されますか？,Would you hesitate to move the relentless struggle this way?
ぼろぼろ,ぼろぼろ,"worn-out, ragged, tattered",カーテンがぼろぼろになった。,The curtains were tattered.
滑らか,なめらか,"smooth, glassy, velvety, fluent, fluid",削りだしヘッドで滑らかな表面。,Smooth surface with machined head.
平ら,たいら,"flat, level, even, smooth, calm, tranquil",名古屋名物の平らな麺である。,"It is a flat noodle, a specialty of Nagoya."
未熟,みじゅく,"unripe, green",未熟な果実が漢方薬となります。,The unripe fruit is a herbal medicine.
切,せつ,"eager, earnest",切なウェブ読書のための選択。,Choices for Critical Web Reading.
内的,ないてき,"inner, intrinsic, mental, inherited",内的な動機付けに基づくアプローチです。,It is an approach based on internal motivation.
良好,りょうこう,"good, fine, excellent, favorable",ゲームは非常に良好な表示とスムーズです。,The game is very good display and smooth.
一様,いちよう,"uniform, equal, even, common",その水の分布は一様なのでしょうか。,Is the distribution of that water uniform?
細やか,ささやか,"small, little, tiny, insignificant",細やかな動きで狭い場所に対応できます。,Fine movement can be used in tight spaces.
安価,あんか,"low-priced, cheap, inexpensive",安価な材料で実験ができるので。,I can experiment with inexpensive materials.
尋常,じんじょう,"common, usual",確かにこれは尋常なことではありません。,This is certainly not unusual.
頑固,がんこ,"stubborn, obstinate",私は非常に頑固な子供でした。,I was a very stubborn child.
厳重,げんじゅう,"strict, severe, stringent, rigorous",新しい厳重な諸規制への対応についてはどうでしょうか。,What about compliance with the new strict regulations?
過度,かど,"excessive, immoderate",何の衝撃も過度な重量も発生していませんでした。,No impact or excessive weight was generated.
円滑,えんかつ,"smooth, undisturbed, uninterrupted",安全かつ円滑な貿易スタディグループを通して議論を継続していく。,Discussions will continue through the Safe and Smooth Trade Study Group.
壮大,そうだい,"magnificent, grand, majestic",歴史や壮大な建築について学んでください。,Learn about the history and magnificent architecture.
淡々,たんたん,"uninterested, unconcerned, indifferent",今の心境は淡々としたものです。,My current state of mind is indifferent.
格別,かくべつ,"particular, special, exceptional, especial",私にとっても格別な映画祭だ。,It is an exceptional film festival for me.
外的,がいてき,"external, outside",また外的な規制条件の充足にも役立ちます。,It also helps in meeting external regulatory requirements.
広範,こうはん,"wide, extensive, comprehensive",広範な交易のネットワークが地域に拡がった。,An extensive network of trade spread throughout the region.
ユニーク,ユニーク,unique,システムを識別するユニークな名前。,A unique name that identifies the system.
劇的,げきてき,"dramatic, exciting, touching",医学は劇的な進歩をしてきた。,Medical science has made dramatic advances.
適度,てきど,moderate,私はいつも適度なスピードで運転しています。,I always drive at a moderate speed.
ドライ,どらい,dry,彼にはドライなユーモアはわかりませんよ。,He won't understand dry humor.
単一,たんいつ,"single, simple, sole, individual",単一な意味を持たない順応性のある概念と見なします。,It is viewed as an adaptive concept with no single meaning.
巧妙,こうみょう,"ingenious, skillful, clever",やつの巧妙な話に僕は簡単にだまされてしまった。,I was easily fooled by his clever story.
手軽,てがる,"easy, simple, informal, offhand, cheap",手軽な値段が気に入った。,I liked the affordable price.
露骨,ろこつ,"frank, blunt, plain, explicit, broad, lewd",露骨な内容のトラックがある場合。,If there is a track with explicit content.
抜群,ばつぐん,"distinction, extraordinariness, outstanding",彼は抜群に優秀な生徒だ。,He is an outstanding student.
定か,さだか,"definite, sure",定かなことは明らかでない。,It is not clear what is certain.
控えめ,ひかえめ,"moderate, reserved, conservative",この予想はむしろ控えめなものです。,This forecast is rather modest.
明快,めいかい,"clear, clear-cut, lucid",実に明快な判決理由である。,This is a very clear reason for the decision.
多彩,たさい,"variegated, multi-coloured, diverse",メニューにはいろいろ多彩な料理があった。,There was a great variety of dishes on the menu.
希薄,きはく,"thin, diluted, lacking",二酸化炭素からなる極めて希薄な大気を持つ。,It has an extremely dilute atmosphere composed of carbon dioxide.
旺盛,おうせい,full of vim and vigor,好奇心が旺盛なのは大変に結構なことである。,A healthy curiosity is truly a fine thing.
巨額,きょがく,great sum,予定外の巨額な経費も発生します。,Huge unplanned expenses are also incurred.
着実,ちゃくじつ,"steady, sound, trustworthy, solid",遅くても着実な方が競争に勝つ。,Slow but steady wins the race.
細か,こまか,"small, fine, detailed, stingy",細かなほこりが空中に浮いている。,Fine dust is floating in the air.
多大,ただい,"heavy, much",課題が多大な認識力を必要とするので、スコアは低い。,Scores are low because the task requires a great deal of cognitive ability.
良質,りょうしつ,"good quality, fine quality, superior quality",カキ養殖に適した環境で良質な牡蠣が育つ。,Good quality oysters are grown in an environment suitable for oyster farming.
唐突,とうとつ,"abrupt, sudden",唐突な質問に彼は泡を食った。,He bubbled over with an abrupt question.
質的,しつてき,qualitative,語彙と単語の頻度分析は質的な研究結果のサポートに使われます。,Vocabulary and word frequency analysis is used to support qualitative research findings.
大まか,おおまか,"rough, broad, general, loose",物事の大まかな本質を見極める事。,To determine the general nature of things.
強硬,きょうこう,"firm, vigorous, unbending, unyielding, strong",私たちはそれを防止する強硬な対策を講じた。,We took strong measures to prevent it.
無残,むざん,"cruelty, atrocity, cold-bloodedness, tragedy",そしてその無残な傷あとが積まれたままになっている。,And the cruel scars are left piled on top of each other.
裕福,ゆうふく,"affluence, prosperity",彼女は裕福な家に生まれ、よい教育を受けた。,She was born into a wealthy family and received a good education.
濃厚,のうこう,"rich, thick, dense, strong",濃厚なトマトソースとパルメザンチーズは相性バツグン。,The rich tomato sauce and Parmesan cheese are a perfect match.
強固,きょうこ,"firmness, stability, security, strength",彼は強固な信念の持ち主である。,He is a man of strong convictions.
暢気,のんき,"carefree, optimistic, careless, reckless",暢気な先生である。,He is an easygoing teacher.
悪質,あくしつ,"bad quality, malignancy, vicious, malignant",悪質なドライバーは免許証を取り上げるべきだ。,Bad drivers should have their licenses taken away.
不可解,ふかかい,"mystery, baffling, inexplicable, incomprehensible",人生には数多くの不可解なことが起こる。,Numerous inexplicable things happen in life.
窮屈,きゅうくつ,"narrow, tight, cramped",そんな窮屈な考え方は捨てないと時代に遅れてしまうぞ。,You're going to be behind the times if you don't get rid of such a constrictive mindset.
緊密,きんみつ,"rigour, rigor, closeness, compactness",これはそのことと緊密な関係にある。,This is closely related to that.
無闇,むやみ,"thoughtless, reckless, rash, indiscriminate, unreasonable",あの人にむやみなことは言えない。,I can't say anything rash to that man.
早急,さっきゅう,"immediate, prompt, quick, rapid, urgent, pressing",早急な処置が必要だ。,Immediate action is needed.
冷ややか,ひややか,"cold, chilly, cool, indifferent, cold-hearted",冷ややかな空気に乾燥は積極的に肌の水分を奪う。,Dryness in the cool air actively dehydrates the skin.
必要,ひつよう,"necessary, needed, essential",必要な手段をとる。,Take the necessary steps.
入念,にゅうねん,"careful, elaborate, scrupulous",彼の理論は入念な調査に基づいている。,His theory is based on careful research.
怪訝,けげん,"dubious, puzzled, suspicious",彼は怪訝な顔をした。,He looked dubious.
大雑把,おおざっぱ,"rough, not precise, broad, sketchy",あの人って大ざっぱな性格だからね。,That man has a sketchy personality.
頑丈,がんじょう,"solid, firm, stout, burly, strong, sturdy",どんな大水が出ても大丈夫な頑丈な堤防ができた。,A sturdy levee was built to withstand any heavy flooding.
切実,せつじつ,"compelling, serious, severe, acute, earnest",太っているのが私の切実な問題です。,Being fat is a serious problem for me.
勇敢,ゆうかん,,,
格段,かくだん,,,
気掛かり,きがかり,,,
盛大,せいだい,,,
別個,べっこ,,,
長閑,のどか,,,
量的,りょうてき,,,
裏腹,うらはら,,,
整然,せいぜん,,,
下品,げひん,,,
可憐,かれん,,,
黙々,もくもく,,,
小まめ,こまめ,,,
茫然,ぼうぜん,,,
手頃,てごろ,,,
混沌,こんとん,,,
唖然,あぜん,,,
虚ろ,うつろ,,,
繁華,はんか,,,
丹念,たんねん,,,
高め,たかめ,,,
天晴,あっぱれ,,,
簡素,かんそ,,,
劣等,れっとう,,,
悠々,ゆうゆう,,,
大々,だいだい,,,
美妙,びみょう,,,
寛大,かんだい,,,
しなやか,しなやか,,,
にこやか,にこやか,,,
利口,りこう,,,
有数,ゆうすう,,,
安らか,やすらか,,,
クリーン,くりーん,,,
心的,しんてき,,,
零細,れいさい,,,
周到,しゅうとう,,,
自由,じゆう,"freedom, liberty, as it pleases you",自由な時間がたくさんあるでしょう。,There will be lots of free time.
積極的,せっきょくてき,"assertive, positive, active, proactive",彼女は仕事に対してとても積極的な態度を示している。,She has a very positive attitude towards her work.
共通,きょうつう,,,
緊急,きんきゅう,,,
複雑,ふくざつ,,,
凶悪,きょうあく,,,
苛酷,かこく,,,
遺憾,いかん,,,
斯様,かよう,,,
安楽,あんらく,,,
艶やか,あでやか,,,
足早,あしばや,,,
霊的,れいてき,,,
地道,じみち,,,
仄か,ほのか,,,
格安,かくやす,,,
細心,さいしん,,,
真摯,しんし,,,
陰気,いんき,,,
病的,びょうてき,,,
絶大,ぜつだい,,,
過酷,かこく,,,
円満,えんまん,,,
美的,びてき,,,
淫ら,みだら,,,
疎ら,まばら,,,
達者,たっしゃ,,,
清らか,やねうら,,,
