Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,W1,W2,W3
添う,そう,"to meet expectations, comply, satisfy, accompany, go with, associate with, mix with, marry, be added",intrans.,結果はわれわれの期待に添わなかった。,The results did not meet our expectations.,ご要望に添えない場合もございます。,We may not be able to meet your request.,親の期待に添わない子供だった。,The child couldn't live up to his parents' expectations.,,,
問う,とう,"to ask, inquire, question, charge, accuse, not matter",trans.,彼の意図を問う。,Ask his intentions.,男は傷害罪に問われた。,The man was charged with assault and battery.,経験は問いません。,Experience unnecessary,,,
縫う,ぬう,"to sew, stitch, weave one's way",trans.,上着のほころびを縫う。,Sew up a tear in a jacket.,医者は傷口を５針縫った。,The doctor gave him five stitches in the wound.,彼は私にドレスを縫ってくれた。,He sewed me a dress.,,,
這う,はう,"to creep, crawl",intrans.,赤ちゃんは部屋に這ってきた。,The baby crawled into the room.,毛虫が枝を這っている。,Caterpillars crawling on branches.,かぼちゃの蔓が地面にはっていた。,Pumpkin vines spread over the ground.,,,
舞う,まう,"to dance, flutter about, revolve ",intrans.,花びらが風に舞っていた。,Petals were dancing in the wind.,木の葉が庭でくるくる舞っていた。,Leaves were twirling in the garden.,風でほこりが舞っていた。,Dust was blowing in the wind.,,,
酔う,よう,"to get drunk, become nauseated",intrans.,彼はすでに十分酔っていた。,He was already drunk enough.,かなり酔ってたんだよ。,I was pretty drunk.,子供は乗り物に酔いやすい。,Children are prone to motion sickness.,,,
開く,あく,"to open, become open",intrans.,戸が開かない。,The door will not open.,店は10時に開く。,The store opens at ten.,幕は午後７時に開きます。,The curtain rises at 7:00 p.m.,,,
空く,あく,"to open, become empty",intrans.,机と机の間が空いている。,There is an empty space between the desks.,今は少し席が空いている。,There are some empty seats now.,空いている部屋はありませんか。,Do you have a vacant room?,,,
行く,いく,to go,intrans.,私は明朝大阪へ行きます。,I will go to Osaka tomorrow morning.,この高速道路は名古屋に行くのですか。,Does this expressway lead to Nagoya?,駅は歩いても行けます。,The station is within walking distance.,,,
浮く,うく,"to float, become merry, become loose",intrans.,木片が水に浮いている。,A piece of wood is floating on the water.,湾岸地域の開発計画は宙に浮いたままだ。,Development plans for the Gulf region remain in limbo.,政府は国民から浮いてしまっている。,The government has lost touch with the people.,,,
置く,おく,"to put, leave",trans.,本を元の棚に置いておきなさい。,Put the book on its original shelf.,花瓶をテーブルのまん中に置いた。,I put the vase in the middle of the table.,車は駐車場に置いてある。,Car is in the parking lot.,,,
書く,かく,to write,trans.,雑誌に小説を書く。,Write a novel for a magazine.,今新しい戯曲を書いている。,I'm writing a new play right now.,彼はうまい文を書く。,He writes good sentences.,,,
描く,かく,"to draw, paint, sketch, depict, describe ",trans.,美しい風景を心に描く。,Painting beautiful landscapes in your mind,富士山の水彩画を描いている。,He is painting Mt. Fuji in watercolors.,サッカー選手は彼が夢に描いている職業だ。,Soccer player is his dream job.,,,
掻く,かく,"to scratch, perspire, shovel, rake",trans.,馬が前脚で地面を掻いている。,The horse is scratching the ground with its forelegs.,かゆい所を掻く。,Scratch an itchy place.,熊手で芝生の落葉を掻く。,Rake the fallen leaves from the lawn with a rake.,,,
欠く,かく,"to chip, break, crack, lack ",trans.,刃物を欠く。,Chip the blade of a knife.,転んで前歯を欠いた。,He fell and chipped his front tooth.,礼儀を欠く。,Lack of good manners.,,,
嗅ぐ,かぐ,"to sniff, smell",trans.,焼肉のにおいを嗅いで空腹を覚えた。,The smell of barbecued meat made me hungry.,私はこのにおいを嗅ぐと気分が悪くなる。,I get sick when I smell it.,犬は床のハンカチを嗅いだ。,The dog sniffed the handkerchief on the floor.,,,
聞く,きく,"to hear, listen to, ask",trans.,熱心に話を聞く。,Listen intently.,今日は私の言うことをぜひ聞いてもらいます。,I urge you to listen to what I have to say today.,その記事について一つ君に聞きたいことがある。,One question I have for you about that article.,,,
効く,きく,"to be effective, take effect, be good for, work",intrans.,この薬は頭痛によく効く。,This medicine works well for headaches.,テレビのコマーシャルが効いた。,The TV commercials were effective.,アスピリンは効かなかった。,Aspirin didn't work.,,,
漕ぐ,こぐ,"to row, scull, pedal",trans.,自転車を漕ぐ。,Pedal a bike.,湖でボートを漕いで遊んだ。,We rowed boats on the lake.,ボートをこぎに湖に出かけた。,I went out on the lake to paddle my boat.,,,
咲く,さく,to bloom,intrans.,チューリップは春に咲く。,Tulips bloom in spring.,桜が咲いてるよ。,Cherry blossoms are blooming.,ダリアが見事に咲いている。,Dahlias are blooming beautifully.,,,
裂く,さく,"to tear, split",trans.,丸太を二つに裂く。,Split the log in two.,布をずたずたに裂く。,Tear cloth to shreds.,胸を裂かれるような思いだった。,It was like having your heart ripped out of your chest.,,,
敷く,しく,"to spread out, lay out",godan,鉄道を敷く。,Lay a railway.,布団を敷く。,Make a bed.,ござを敷く。,Spread a mat.,,,
炊く,たく,"to boil, cook",trans.,ご飯を炊く。,cook rice,五目ご飯を炊く。,Cook a Japanese-style pilaf.,まだ玄米を炊いてる途中です。,I'm still in the middle of cooking brown rice.,,,
焚く,たく,"to burn, kindle, build a fire ",trans.,私の母は毎朝パンを焼く。,My mother bakes bread every morning.,私は浜辺で肌を焼いた。,I burned my skin on the beach.,ステーキはどのように焼きましょうか。,How shall I cook the steak?,,,
着く,つく,"to arrive, reach, sit on, sit at",intrans.,暗くならないうちに目的地に着いた。,We reached our destination before dark.,何時にそこに着きましたか。,What time did you get there?,早く席に着きなさい。,Take your seats quickly.,,,
付く,つく,"to be attached, be connected, adhere, stick, scar, stain, accompany",intrans.,洋服にインキの染みが付いた。,My dress was stained with ink.,この商品には景品が付いている。,This article comes with a free gift.,部屋に火災報知器が付いた。,The room was equipped with a fire alarm.,,,
就く,つく,"to take (seat, position), get a job",intrans.,彼は教職に就いた。,He got a teaching job.,彼は大統領によって要職に就いた。,He was given a key position by the president.,彼は友達の親切な世話でその職に就いた。,He got the job through the kind help of a friend.,,,
点く,つく,"to catch fire, (electricity) comes on ",intrans.,カーテンに火が点いた。,The curtains were set on fire.,浴室の電気がつきません。,The light in the bathroom doesn't work.,この時間に会社に電気がついているのは変だ。,It's strange that the lights are on in the office at this time of night.,,,
突く,つく,"to thrust, strike, poke ",trans.,針で親指を突いてしまった。,I poked my thumb with a needle.,くぎが壁を突きぬけた。,The nail went through the wall.,彼がその辺りを突いてても何も感じなかったんだ。,I didn't feel anything when he was poking around there.,,,
注ぐ,つぐ,"to pour (into), irrigate, pay ",trans.,彼にビールを一杯注いであげてください。,Please pour him a glass of beer.,彼女はお客たちにお茶をついだ。,She poured tea for the guests.,さあ、中内さん。一杯つぎましょう。,"Come on, Mr. Nakauchi. Let's pour a drink.",,,
次ぐ,つぐ,"to rank next to, come after ",intrans.,きれい好きは敬神に次ぐ美徳。,A love of cleanliness is a virtue second only to godliness.,会合は次ぎの日曜日に行われる。,The meeting will be held next Sunday.,彼女はロング氏に次ぐ最高のピアニストです。,She's the next best pianist after Mr. Long.,,,
接ぐ,つぐ,"to join, pice together, set (bones), graft (tress)",trans.,医者は彼の折れた足をついだ。,The doctor picked up his broken leg.,病院で骨を接いでもらった。,I had my broken bone set at the hospital.,枝を台木に接いだ。,Branches were grafted to the rootstock.,,,
継ぐ,つぐ,to succeed,trans.,彼に家業を継ぐようにときつけた。,I told him to take over the family business.,この会社は誰が引き継ぐと思う？,Who do you think's going to take over this company?,誰があなたのお父さんの事業を継ぐのですか。,Who is going to take over your father's business?,,,
解く,とく,"to unfasten, solve",trans.,靴ひもを解く。,Untie the shoelace.,包みを解く。,Unwrapping it.,彼女は彼の額の包帯を解いてやった。,She untied the bandage on his forehead.,,,
溶く,とく,to dissolve (paint),trans.,塩を水で溶く。,Dissolve the salt in water.,小麦粉と卵を水またはだし汁で溶く。,Dissolve flour and eggs in water or dashi broth soup.,わさびはつゆに溶く。,Dissolve wasabi in the dipping sauce.,,,
説く,とく,"to explain, advocate, preach, persuade ",godan,先生はこの点を詳細に説いた。,The teacher explained the point at length.,彼は息子の誤りをこんこんと説いた。,He explained earnestly to his son what was wrong with his behavior.,社長を説いて新方式を採用してもらった。,I persuaded the president to adopt a new system.,,,
退く,どく,"to retreat, recede, withdraw ",intrans.,じゃまにならないようにわきへどきなさい。,Move to the side so you'll be out of the way.,彼は一歩退いた。,He took a step backward.,彼は一歩も退かなかった。,He held his ground.,,,
研ぐ,とぐ,"to sharpen, grind, scour, hone, polish, wash(rice) ",trans.,包丁を砥石で研ぐ。,Sharpen a kitchen knife on a whetstone.,革でかみそりを研ぐ。,Sharpen a razor with leather.,米を研ぐ。,Wash the rice.,,,
泣く,なく,"to weep, cry",godan,その映画館で観客は皆泣いた。,Everyone in that cinema cried.,彼女は身を震わせて泣いた。,She shook herself and wept.,子供は医者の前で泣きわめいた。,The child cried in front of the doctor.,,,
抜く,ぬく,"to extract, omit, surpass, draw out, unplug ",trans.,ぶどう酒の栓を抜く。,Uncorking the grape wine,棚の本の中から１冊を抜いた。,I picked out a book from the ones on the shelf.,指に刺さったとげを抜く。,Pulling out a thorn stuck in your finger,,,
脱ぐ,ぬぐ,to take off clothes,trans.,洋服を脱いでゆかたを着た。,She undressed and put on a yukata.,濡れた服脱ぎなよ。,Take off your wet clothes.,シャツを脱いでください。,Please take off your shirt.,,,
履く,はく,"to wear, put on (lower body) ",trans.,普段はジーンズを履いてるね。,You usually wear jeans.,赤い靴を履いた女の子。,A girl wearing red shoes.,彼女はロングブーツを履いている。,She wears long boots.,,,
吐く,はく,"to vomit, emit, make comment, tell",trans.,食べたものをみんな吐いてしまった。,I threw up all I had eaten.,車に酔って吐きそうになった。,I got carsick and almost threw up.,彼は大げさなせりふを吐いた。,He spewed exaggerated lines.,,,
掃く,はく,"to sweep, brush, gather up ",trans.,ごみを掃いて捨てる。,Sweep the dirt away out.,落葉を掃いて集める。,Sweep and gather up fallen leaves.,彼女はいつも床を綺麗に掃いています。,She always sweeps the floor clean.,,,
剥ぐ,はぐ,"to tear off, peel off, rip off, strip off, disrobe, deprive of ",trans.,彼らは木の皮を剥いだ。,They peeled the bark off the trees.,包装紙を剥ぐ。,Tear off the wrapping paper.,彼は官位を剥がれた。,He was stripped of his official rank.,,,
引く,ひく,"to pull, tug, lead, draw, attract, catch, deduct",trans.,ボートを綱で引く。,Pulling a boat with a rope,カーテンを引いて開ける。,Draw the curtains and open them.,収入から支出を引く。,Deduct expenses from revenue.,,,
弾く,ひく,"to play an instrument with strings, including piano ",trans.,彼女はピアノを弾きます。,She plays the piano.,その少女は大変上手にギターを弾く。,The girl plays the guitar very well.,彼は曲を聞いただけですぐ弾ける。,He had only to hear a tune to be able to play it.,,,
轢く,ひく,"to run somebody over, knock someone down ",trans.,電車に轢かれて死ぬ。,Run over by a train and die.,おばあさんが車にひかれた。,An old woman was run over by a car.,もう少しで轢くところだったのよ。,He almost ran me over.,,,
吹く,ふく,to blow,trans.intrans.,風が激しく吹いている。,The wind is blowing hard.,笛を吹いたら試合をやめなさい。,Stop the game when I blow the whistle.,熱いお茶を吹いてさます。,Blow hot tea to cool off.,,,
拭く,ふく,"to wipe, to dry",trans.,手ぬぐいで手をふく。,Wipe one's hands with a towel.,ふきんで皿をふく。,Dry dishes with a cloth.,私は窓の下枠をペーパータオルで拭いた。,I wiped the bottom frame of the window with a paper towel.,,,
巻く,まく,"to wind, coil, roll, envelope",trans.,スカーフを首に巻く。,Wrap a scarf around your neck.,時計のねじを巻く。,Wind a watch.,蛇がとぐろを巻いた。,The snake has coiled itself.,,,
蒔く,まく,"to sow (seeds), plant",trans.,とうもろこしの種を畑に蒔いた。,Corn seeds were sown in the field.,農民が穀物の種を蒔いた。,The farmers sowed the seeds of grain.,庭に種を蒔いた。,We planted seeds in the garden.,,,
撒く,まく,"to scatter, to sprinkle, to sow ",trans.,私は息子に芝生に水を撒かせた。,I made my son water the lawn.,彼はホースを使って庭に水を撒いていました。,He used a hose to water the garden.,農業家が小麦の種を畑に撒いた。,Farmers spread wheat seeds in the field.,,,
向く,むく,"to turn toward, look, face, point, be suited, fit for, go towards",trans.intrans.,壁のほうを向いて立つ。,Stand facing the wall.,窓は庭に向いている。,Windows face the garden.,彼はそんな役割に向いている。,He's suited for such a role.,,,
剥く,むく,"to peel, skin, pare, hull, open wide",trans.,オレンジを剥いてあげよう。,I'll peel you an orange.,大根の皮を薄く剥く。,Thinly peel a daikon radish.,妹は豆の皮を剥いた。,My sister peeled the beans.,,,
焼く,やく,"to bake, grill, roast, broil, burn",trans.,ステーキはよく焼いてください。,Please grill the steak to well done.,パンはオーブンで焼いて作られる。,Bread is made by baking in an oven.,レーザー光線で焼いてほくろを取る。,Burning with a laser beam to remove moles,,,
行く,いく,"to go, move, head towards, proceed",intrans.,学校へ自転車で行きます。,I go to school by bicycle.,この列車は大阪へ行きますか。,Does this train go to Osaka?,たまには車に乗らずに歩いて行こう。,Sometimes we walk instead of get in the car.,,,
沸く,わく,"to boil, grow hot, get excited ",intrans.,湯が沸いている。,The water is boiling.,お風呂が沸いた。,The bath is ready.,彼のホームランは観衆を沸かせた。,The spectators were excited by his home run.,,,
湧く,わく,"to well up, gush forth, spring out, surge, appear, hatch, feel emotions",intrans.,彼の畑から温泉が湧いた。,Hot springs sprang up from his fields.,恐怖心が湧いた。,Fear sprang up in my heart.,西の空に雲が湧いてきた。,Clouds are coming up in the western sky.,,,
押す,おす,"to push, press, stamp something ",trans.,荷車を押す。,Push a cart.,戸を押して開ける。,Push the door open.,パスポートに検印を押す。,Stamping the passport with an inspection stamp,,,
貸す,かす,"to lend, loan, rent out, hire out",trans.,その本を彼に貸してもらった。,I borrowed that book from him.,事務室を貸す。,Lease office space.,電話を貸していただけますか。,May I use your telephone?,,,
消す,けす,"to erase, delete, extinguish, turn off power",trans.,水をかけて火を消す。,Pour water over the fire to extinguish it.,2 本線を引いて数字を消す。,Cross out a figure with double lines.,厚い壁は通りの騒音を消した。,The thick walls deadened the noise from the street.,,,
越す,こす,"to go over (audience), cross over (mountain), pass time (winter)",godan,川を越す。,Cross a river.,箱根で夏を越した。,I spent the summer in Hakone.,あらしも峠を越したらしい。,I hear the storm has passed.,,,
超す,こす,"to cross, pass, tide over, surpass",godan,出費が予算を超している。,Expenses are exceeding the budget.,彼女は30を超しているに違いない。,She must be over thirty.,気温が30度を超している。,Temperatures are exceeding 30 degrees Celsius.,,,
差す,さす,"to shine, be visible, tinged with, rise, stretch out hands, raise up, insert, put in, put on",trasns.intrans.,父は毎朝鉢植えに水を差している。,My father waters his potted plants every morning.,屋根に朝日が差している。,The morning sun is shining on the roof.,ほおに赤みが差した。,A flush came over her cheeks.,,,
指す,さす,"to point, nominate, select someone, identify, indicate",trans.,時計の針は10時５分を指していた。,The clock was pointing to 10:05.,だれのことを指して言っているのですか。,Who are you referring to?,彼女はどちらの医者を指したのか分からない。,I don't know which doctor she was referring to.,,,
刺す,さす,"to pierce, stab, prick, thrust ",trans.,指にとげを刺した。,I got a thorn in my finger.,森の中でたくさん虫に刺された。,I was bitten by many insects in the forest.,風が刺すように冷たい。,The wind is stinging cold.,,,
挿す,さす,"to insert, put in, graft, wear in belt, arrange",trans.,髪にかんざしを挿す。,Put a hairpin in one's hair,花瓶にばらの花を挿す。,Arrange roses in a vase,カードを挿す前に手動で開けてみて。,Open it manually before inserting the card.,,,
注す,さす,"to pour (drink), serve (drinks) ",trans.,車輪には油を注したばかりだ。,I've just oiled the wheels.,私は歴史の小さな事柄に注意を注した。,I focused my attention on a small matter of history.,芝刈り機に油を注す。,Lubricate the lawnmower.,,,
射す,さす,"to shine, strike",intrans.,木が多すぎると家に光が射さない。,Too many trees do not allow light to shine on the house.,雲間が開け光が射した。,The clouds opened up and light shone through.,木漏れ日が所々に射す森深く。,Sunlight gently sprinkles down here and there through the forest canopy.,,,
足す,たす,"to add numbers, add something, top up with something",trans.,三に二を足すと五になる。,"Add two to three, and you get five.",きょうの出費を全部足す。,Add up all of today's expenses,味付けに塩をもう少々足す。,Add a little more salt to taste.,,,
出す,だす,"to put out, take out, get out, show, submit, publish, send",trans.,そろそろ夏服を出す季節だ。,It's about time to get out my summer clothes.,冷蔵庫からビールを出す。,Take beer out of the fridge.,郵便局で書留を出した。,I sent a registered letter at the post office.,,,
為す,なす,"to accomplish, do, build up, establish, form",trans.,私の考えはまだ形をなしていない。,My idea has yet to take shape.,何をなすべきかについて私の意見は彼の意見と異なる。,My opinion on what should be done differs from his.,多くの仕事がコンピューターによってなされている。,Much work is done by computer.,,,
干す,ほす,"to air, dry, desiccate, drain (off), drink up ",trans.,洗たく物を干す。,hang out the laundry to dry,ストーブで衣類を干す。,Drying clothes on the stove,池の水を干した。,They drained the pond dry.,,,
増す,ます,"to increase, grow",trans.,すばらしい天気は私達の楽しさを増した。,The wonderful weather added to our enjoyment.,台風が勢いを増した。,The typhoon gained momentum.,私の興味が増した。,My interest increased.,,,
蒸す,むす,"to steam, poultice, be sultry ",trans.,ムール貝とハマグリを加え7分間蒸す。,Add mussels and clams and steam for 7 minutes.,すべて蒸すか茹でる料理方法に変更する。,Change all cooking methods to steaming or boiling.,蒸し器で蒸す。,Steam in a steamer.,,,
召す,めす,"to call, send for, put on, wear, take a bath, ride in, buy, eat, drink, consume, utilize, do",trans.,コートをお召しください。,Please put on your coat.,お風呂をお召しください。,Please take a bath.,缶詰の食料は彼女のお気に召さない。,Canned food is not to her liking.,,,
止す,よす,"to cease, abolish, resign, give up ",trans.,爪を噛むのはよしなさい。,Stop biting your nails.,そんな無茶はよせ。,Don't be so reckless.,人の問題に鼻を突っ込むのはよしてくれよ。,Don't stick your nose into other people's problems.,,,
打つ,うつ,to hit,trans.,彼女はボールを強く打った。,She hit the ball hard.,今打ったのは何時か。,What time did it strikes now?,ちょうど 3 時を打ったところだ。,It just hit three o'clock.,,,
撃つ,うつ,"to attack, defeat, destroy ",trans.,今までに銃を撃ったことある？,Have you ever fired a gun before?,撃たないでください！,Don't shoot!,彼らは前方に移動するターゲットを撃つ。,They shoot at targets moving forward.,,,
討つ,うつ,"to attack, avenge",trans.,いつかは敵を討つぞ。,Someday we will avenge our enemies.,反逆者を討つ。,Take revenge on a traitor.,敵の不意を討つ。,Take the enemy by surprise.,,,
勝つ,かつ,to win,intrans.,選挙に勝つ。,Win an election.,5 対 3 のスコアで勝った。,They won by a score of 5 to 3.,勝てる見込みがない。,Have no chance of winning.,,,
立つ,たつ,"to stand, rise, stand up",intrans.,寺は山の中腹に立っている。,The temple stands halfway up the mountain.,彼はどこに立っていますか？,Where is he standing?,車が通ると砂ぼこりが立った。,"When a car drove by, a cloud of dust stood up.",,,
経つ,たつ,"to pass, lapse, elapse",intrans.,彼がここに移り住んでから３年経った。,It's been three years since he moved here.,知らぬ間に時間が経っていた。,Time passed without me knowing it.,楽しんでいるときは時間が早く経つ。,Time flies when you're having fun.,,,
建つ,たつ,"to erect, be erected, be built ",intrans.,昔は田んぼだった所に巨大な工場が建っている。,Huge factories are being built on what used to be rice paddies.,来年新たな博物館が建つ予定です。,A new museum will be built next year.,工場の跡地にマンションが建った。,Condominiums were built on the site of a former factory.,,,
発つ,たつ,"to depart (on a plane, train, etc.) ",intrans.,私たちはここを発つところです。,We are about to leave here.,私は日本を明日の朝発つことにしている。,I am leaving Japan tomorrow morning.,彼女は来週の金曜に発つんだね？,"She leaves next Friday, right?",,,
絶つ,たつ,"to sever, cut off, suppress, abstain (from) ",trans.,登山隊が消息を絶った。,We lost contact with the climbers.,彼はその事件以来筆を絶った。,He has not written since that incident.,彼とは交際を絶った。,I broke off my relationship with him.,,,
打つ,ぶつ,"to hit, strike",trans.,平手で頬を打たれた。,He slapped me on the cheek.,そんなに強く打たないで。,Don't hit so hard.,彼女は彼を何度も打った。,She hit him repeatedly.,,,
待つ,まつ,to wait,trans.intrans.,ちょっとお待ちください。,"Wait a moment, please.",寝ずに夫の帰りを待った。,I didn't sleep and waited for my husband to come home.,遅くなるので待たずに会を始めていてくれ。,"I'll be late, so don't wait for me to start the meeting.",,,
持つ,もつ,"to possess, hold, have",trans.,かばんを持ちましょう。,Let's take the bag.,そんな大金を持っていると危ない。,It's not safe to have that much money.,ホテルを三つ持っている。,He has three hotels.,,,
死ぬ,しぬ,to die,intrans.,彼が死んでから５年になる。,It's been five years since he died.,のどが渇いて死にそうだ。,I'm dying of thirst.,お産は死ぬほど大変です。,Childbirth is a death-defying experience.,,,
飛ぶ,とぶ,"to fly, hop",intrans.,ちょうがひらひら飛んでいる。,A bird is fluttering in the air,私の方へボールが飛んで来た。,The ball came flying my way.,風船が屋根を越えて飛んでいった。,Balloons flew over the roof.,,,
跳ぶ,とぶ,"to jump, fly, leap",intrans.,急にばったが葉から跳んだ。,Suddenly a grasshopper jumped from the leaf.,走り幅跳びで４メートル跳んだ。,I jumped four meters in the long jump.,猫は跳んでそれを捕えた。,The cat jumped and caught it.,,,
呼ぶ,よぶ,"to call out, invite",trans.,ただちに医者が呼ばれた。,A doctor was called immediately.,だれか君を呼んでいるよ。,Someone's calling you.,電話をかけてタクシーを呼んでください。,Please call and get a cab.,,,
編む,あむ,"to knit, compile , edit",trans.,毛糸でセーターを編む。,Knitting a sweater with wool yarn,彼は現代詩集を編んでいる。,He's compiling a collection of contemporary poems.,彼女は髪をお下げに編んでいた。,She braided her hair into a pigtail.,,,
産む,うむ,"to give birth, deliver, produce, yield",trans.,彼女はいつ赤ちゃんを産むのだろうか。,When will she have a baby?,魚は一般にたくさんの卵を産む。,Fish generally lay many eggs,この鶏はもう卵を産まなくなった。,This hen no longer lays eggs.,,,
噛む,かむ,"to bite, chew",trans.,あなたの犬は噛む？,Does your dog bite?,私の手を噛んだのはあの犬だった。,It was that dog that bit my hand.,その犬に酷く足を噛まれた。,That dog bit me badly on the leg.,,,
組む,くむ,to put together,godan,彼は腕を組んで戸口に立っていた。,"He stood in the doorway, arms crossed.",彼は丸太を組んで小屋を作った。,He built a cabin out of logs.,手を頭の後ろで組みなさい。,Fold your hands behind your head.,,,
汲む,くむ,"to draw (water), dip, scoop, pump",trans.,バケツに水を汲んでくるよ。,I'll go get a bucket of water.,風呂に水を汲んでおいてくれ。,Fill the bathtub with water.,彼の気持ちを汲んで事を穏便に取り計らった。,I took his feelings into consideration and tried to smooth things over.,,,
酌む,くむ,to serve sake,trans.,私たちは雪を見ながら酒を酌んだ。,We watched the snow and drank.,夜どおしシャンペンが酌み交わされた。,Champagne was poured throughout the night.,酒を酌んで旧交を温める。,We drink sake and renew old friendships.,,,
込む,こむ,"to be crowded, be packed, be complex, intricate, go into",intrans.,今日の料理は随分と手が込んでいるね。,Today's dish is very elaborate.,この時間は道路がとても込んでいるからね。,The roads are very busy at this time of the day.,劇場はひどく込んでいた。,The theater was terribly crowded.,,,
混む,こむ,"to be crowded, be packed, be congested",intrans.,夕方からは混むことが多いのでご注意下さい。,Please note that it is often crowded in the evening.,でもあまり混むことはありません。,But it is not very crowded.,混む小道を避けるためにより過激になる。,More extreme to avoid crowded trails.,,,
住む,すむ,to live in,intrans.,彼はここに住んでいるのですか。,Does he live here?,彼女はそこに約５年間住んだ。,She lived there for about five years.,この家は久しく人が住んでいない。,This house has not been inhabited for a long time.,,,
済む,すむ,to finish,intrans.,この本はもうお済みですか。,Have you already read this book?,旅行の準備は済みましたか。,Have you made all the arrangements for your trip?,あなたの仕事は済みました。,Your work is done.,,,
澄む,すむ,"to clear (e.g. weather), become transparent",intrans.,川の水はとても澄んでいた。,The river water was very clear.,彼女は澄んだ声をしている。,She has a clear voice.,澄んだ青空が見えて私はとてもよい気分だ。,I am in a very good mood with clear blue skies.,,,
積む,つむ,"to pile up, stack",trans.,トラックに材木が山と積んであった。,The truck was loaded with a pile of lumber.,荷車は石炭を積んでいた。,The cart was loaded with coal.,船は200トンの荷を積んでいた。,The ship was carrying 200 tons of cargo.,,,
富む,とむ,"to be rich, become rich",intrans.,日本は美しい景色に富んでいる。,Japan is rich in beautiful scenery.,変化に富んだ景色を楽しむ。,Enjoy the varied scenery.,彼女は経験に富んでいる。,She has a wealth of experience.,,,
飲む,のむ,to drink,trans.,お茶を飲みながら話し合った。,They talked over a cup of tea.,ビールはあまりたくさん飲みません。,I don't drink a lot of beer., 何か現在飲んでいる薬はありますか。,Are you currently taking any medications?,,,
踏む,ふむ,to step on,trans.,イタリアの地を踏んだことがありますか。,Have you ever been to Italy?,彼はブレーキを踏んだ。,He pressed the brake pedal.,なんか変なもの踏んじゃった。,I stepped on something strange.,,,
揉む,もむ,"to rub, crumple (up), wrinkle, massage, argue, train",trans.,新聞紙をもんで柔らかくする。,Soften the newspaper by wringing it.,塩できゅうりをもむ。,Mash the cucumber with salt.,肩をもんでもらう。,I get a shoulder rub.,,,
止む,やむ,to stop,intrans.,雨が止んだらすぐに出かけましょう。,Go out as soon as the rain stops.,雨はもう止みましたか。,Has the rain stopped yet?,痛みがやむまで起き上がれなかった。,I couldn't get up until the pain stopped.,,,
病む,やむ,"to fall ill, be ill",intrans.,彼は精神的に病んでいた。,He was mentally ill.,彼女は心臓を病んでいる。,She has a heart condition.,こういう子は心が病んでいるのかもしれない。,These children may be sick at heart.,,,
読む,よむ,to read,trans.,食べながら読んではいけません。,Do not read while eating.,その小説を読み終えたところだ。,I just finished reading that novel.,その文章はいろいろに読める。,That sentence can be read in many ways.,,,
