Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
19898,忍ばせる,しのばせる,,,,,,,,,
19898,取り決める,とりきめる,,,,,,,,,
19898,盗み出す,ぬすみだす,,,,,,,,,
19898,謗る,そしる,,,,,,,,,
19898,号する,ごうする,,,,,,,,,
19898,立ち現われる,たちあらわれる,,,,,,,,,
19898,嗄れる,しわがれる,,,,,,,,,
20120,冷え込む,ひえこむ,,,,,,,,,
20120,引ける,ひける,,,,,,,,,
20120,踏み止まる,ふみとどまる,,,,,,,,,
20120,連れ去る,つれさる,,,,,,,,,
20120,騒ぎ立てる,さわぎたてる,,,,,,,,,
20120,ごった返す,ごったがえす,,,,,,,,,
20120,奥まる,おくまる,,,,,,,,,
20120,躍り出る,おどりでる,,,,,,,,,
20120,屈む,かがむ,,,,,,,,,
20120,奮い立つ,ふるいたつ,,,,,,,,,
20120,咳く,せく,,,,,,,,,
20120,舞い下りる,まいおりる,,,,,,,,,
20120,慮る,おもんばかる,,,,,,,,,
20120,撃ち込む,うちこむ,,,,,,,,,
20120,へたり込む,へたりこむ,,,,,,,,,
20120,蝕む,そんとく,,,,,,,,,
20120,はにかむ,はにかむ,,,,,,,,,
20120,提げる,さげる,,,,,,,,,
20120,取り纏める,とりまとめる,,,,,,,,,
20298,羨む,うらやむ,,,,,,,,,
20298,思い悩む,おもいなやむ,,,,,,,,,
20298,捜し当てる,さがしあてる,,,,,,,,,
20298,震え上がる,ふるえあがる,,,,,,,,,
20298,招き入れる,まねきいれる,,,,,,,,,
20298,そそり立つ,そそりたつ,,,,,,,,,
20298,切り立つ,きりたつ,,,,,,,,,
20298,唆す,そそのかす,,,,,,,,,
20298,眠り込む,ねむりこむ,,,,,,,,,
20298,呼び付ける,よびつける,,,,,,,,,
20298,掻き消す,かきけす,,,,,,,,,
20298,転がり込む,ころがりこむ,,,,,,,,,
20298,度重なる,たびかさなる,,,,,,,,,
20298,迎え撃つ,むかえうつ,,,,,,,,,
20298,力む,りきむ,,,,,,,,,
20298,立ち塞がる,たちふさがる,,,,,,,,,
20298,巻き付く,まきつく,,,,,,,,,
20527,貶す,けなす,,,,,,,,,
20527,肥える,こえる,,,,,,,,,
20527,そびれる,そびれる,,,,,,,,,
20527,切り抜く,きりぬく,,,,,,,,,
20527,食い付く,くいつく,,,,,,,,,
20527,跳ね返す,はねかえす,,,,,,,,,
20527,狭まる,せばまる,,,,,,,,,
20527,捩じれる,ねじれる,,,,,,,,,
20527,見放す,みはなす,,,,,,,,,
20527,浮き出る,うきでる,,,,,,,,,
20527,滅入る,めいる,,,,,,,,,
20527,誘い出す,さそいだす,,,,,,,,,
20527,滾る,たぎる,,,,,,,,,
20527,荒れ狂う,あれくるう,,,,,,,,,
20527,感付く,かんづく,,,,,,,,,
20527,思い至る,おもいいたる,,,,,,,,,
20527,先んずる,さきんずる,,,,,,,,,
20527,燃え盛る,もえさかる,,,,,,,,,
20527,解き明かす,ときあかす,,,,,,,,,
20527,囀る,さえずる,,,,,,,,,
20527,満ち足りる,みちたりる,,,,,,,,,
20527,詰め掛ける,つめかける,,,,,,,,,
20527,嘗め回す,なめまわす,,,,,,,,,
20527,取り下げる,とりさげる,,,,,,,,,
20744,破く,やぶく,,,,,,,,,
20744,挟まる,はさまる,,,,,,,,,
20744,連れ帰る,つれかえる,,,,,,,,,
20744,出直す,でなおす,,,,,,,,,
20744,有り余る,ありあまる,,,,,,,,,
20744,秀でる,ひいでる,,,,,,,,,
20744,込み入る,こみいる,,,,,,,,,
20744,古ぼける,ふるぼける,,,,,,,,,
20744,失する,しっする,,,,,,,,,
20744,空かす,すかす,,,,,,,,,
20744,挫ける,くじける,,,,,,,,,
20744,光り輝く,ひかりかがやく,,,,,,,,,
20744,乗り回す,のりまわす,,,,,,,,,
20744,張り込む,はりこむ,,,,,,,,,
20744,売り付ける,うりつける,,,,,,,,,
20744,漬け込む,つけこむ,,,,,,,,,
20979,締め切る,しめきる,,,,,,,,,
20979,寂れる,さびれる,,,,,,,,,
20979,似せる,にせる,,,,,,,,,
20979,透かす,すかす,,,,,,,,,
20979,寄せ付ける,よせつける,,,,,,,,,
20979,祟る,たたる,,,,,,,,,
20979,繋ぎ止める,つなぎとめる,,,,,,,,,
20979,引き合う,ひきあう,,,,,,,,,
20979,擦り替える,すりかえる,,,,,,,,,
20979,遭わす,あわす,,,,,,,,,
20979,見透かす,みすかす,,,,,,,,,
20979,沈み込む,しずみこむ,,,,,,,,,
20979,廃れる,すたれる,,,,,,,,,
20979,踏み潰す,ふみつぶす,,,,,,,,,
20979,入り乱れる,いりみだれる,,,,,,,,,
20979,与する,くみする,,,,,,,,,
20979,罷る,まかる,,,,,,,,,
20979,牛耳る,ぎゅうじる,,,,,,,,,
20979,殉ずる,じゅんずる,,,,,,,,,
20979,回り込む,まわりこむ,,,,,,,,,
20979,揺らめく,ゆらめく,,,,,,,,,
21214,慣らす,ならす,,,,,,,,,
21214,連れ添う,つれそう,,,,,,,,,
21214,自惚れる,うぬぼれる,,,,,,,,,
21214,絶やす,たやす,,,,,,,,,
21214,吸い上げる,すいあげる,,,,,,,,,
21214,惚れ込む,ほれこむ,,,,,,,,,
21214,居た堪れる,いたたまれる,,,,,,,,,
21214,割り振る,わりふる,,,,,,,,,
21214,被さる,かぶさる,,,,,,,,,
21214,読み直す,よみなおす,,,,,,,,,
21214,熱り立つ,いきりたつ,,,,,,,,,
21214,受け合う,うけあう,,,,,,,,,
21214,高ずる,こうずる,,,,,,,,,
21214,滑り落ちる,すべりおちる,,,,,,,,,
21214,塗り替える,ぬりかえる,,,,,,,,,
21214,戦ぐ,そよぐ,,,,,,,,,
21214,考え合わせる,かんがえあわせる,,,,,,,,,
21214,仕留める,しとめる,,,,,,,,,
21214,問い直す,といなおす,,,,,,,,,
21214,上擦る,うわずる,,,,,,,,,
21214,押し進める,おしすすめる,,,,,,,,,
21214,買い戻す,かいもどす,,,,,,,,,
21439,出歩く,であるく,,,,,,,,,
21439,気触れる,かぶれる,,,,,,,,,
21439,遣らかす,やらかす,,,,,,,,,
21439,ダブる,だぶる,,,,,,,,,
21439,危ぶむ,あやぶむ,,,,,,,,,
21439,突き合わせる,つきあわせる,,,,,,,,,
21439,備え付ける,そなえつける,,,,,,,,,
21439,持ち去る,もちさる,,,,,,,,,
21439,飾り立てる,かざりたてる,,,,,,,,,
21439,慌てふためく,あわてふためく,,,,,,,,,
21439,澄み切る,すみきる,,,,,,,,,
21439,救い出す,すくいだす,,,,,,,,,
21439,取り分ける,とりわける,,,,,,,,,
21439,遜る,へりくだる,,,,,,,,,
21439,殴り付ける,なぐりつける,,,,,,,,,
21439,領する,りょうする,,,,,,,,,
21439,差し押さえる,さしおさえる,,,,,,,,,
21439,くぐもる,くぐもる,,,,,,,,,
21660,訛る,なまる,,,,,,,,,
21660,折り返す,おりかえす,,,,,,,,,
21660,食い下がる,くいさがる,,,,,,,,,
21660,あやかる,あやかる,,,,,,,,,
21660,吃る,どもる,,,,,,,,,
21660,引きちぎる,ひきちぎる,,,,,,,,,
21660,飛び跳ねる,とびはねる,,,,,,,,,
21660,拾い集める,ひろいあつめる,,,,,,,,,
21660,妬む,ねたむ,,,,,,,,,
21660,煎ずる,せんずる,,,,,,,,,
21660,呼び覚ます,よびさます,,,,,,,,,
21660,走り出る,はしりでる,,,,,,,,,
21660,訴え掛ける,うったえかける,,,,,,,,,
21660,座り直す,すわりなおす,,,,,,,,,
21660,捉え直す,とらえなおす,,,,,,,,,
21660,和える,あえる,,,,,,,,,
21660,振り出す,ふりだす,,,,,,,,,
21880,渡り歩く,わたりあるく,,,,,,,,,
21880,泡立つ,あわだつ,,,,,,,,,
21880,突っ突く,つっつく,,,,,,,,,
21880,挙がる,あがる,,,,,,,,,
21880,解れる,ほぐれる,,,,,,,,,
21880,拱く,こまぬく,,,,,,,,,
21880,掬い上げる,すくいあげる,,,,,,,,,
21880,蹴散らす,けちらす,,,,,,,,,
21880,嘯く,うそぶく,,,,,,,,,
21880,娶る,めとる,,,,,,,,,
21880,鞭打つ,むちうつ,,,,,,,,,
21880,写し取る,うつしとる,,,,,,,,,
22135,不貞腐れる,ふてくされる,,,,,,,,,
22135,言わす,いわす,,,,,,,,,
22135,ずる,ずる,,,,,,,,,
22135,勘繰る,かんぐる,,,,,,,,,
22135,垂れ流す,たれながす,,,,,,,,,
22135,押し倒す,おしたおす,,,,,,,,,
22135,走り込む,はしりこむ,,,,,,,,,
22135,飽き足る,あきたる,,,,,,,,,
22135,積み重なる,つみかさなる,,,,,,,,,
22135,滴り落ちる,したたりおちる,,,,,,,,,
22135,はぐらかす,はぐらかす,,,,,,,,,
22135,刺し殺す,さしころす,,,,,,,,,
22135,分け与える,わけあたえる,,,,,,,,,
22135,伸し上がる,のしあがる,,,,,,,,,
22135,借る,かる,,,,,,,,,
22135,高鳴る,たかなる,,,,,,,,,
22135,持ち寄る,もちよる,,,,,,,,,
22135,引き剥がす,ひきはがす,,,,,,,,,
22135,血走る,ちばしる,,,,,,,,,
22135,息む,いきむ,,,,,,,,,
22407,ぱくる,ぱくる,,,,,,,,,
22407,懲らしめる,こらしめる,,,,,,,,,
22407,迷い込む,まよいこむ,,,,,,,,,
22407,居着く,いつく,,,,,,,,,
22407,犇めく,ひしめく,,,,,,,,,
22407,北叟笑む,ほくそえむ,,,,,,,,,
22407,巣くう,すくう,,,,,,,,,
22407,揺すぶる,ゆすぶる,,,,,,,,,
22407,受け流す,うけながす,,,,,,,,,
22407,小突く,こづく,,,,,,,,,
22407,忌む,いむ,,,,,,,,,
22407,余す,あます,,,,,,,,,
22407,引き払う,ひきはらう,,,,,,,,,
22407,汲み上げる,くみあげる,,,,,,,,,
22407,生まれ出る,うまれでる,,,,,,,,,
22407,勤しむ,いそしむ,,,,,,,,,
22407,蹌踉ける,よろける,,,,,,,,,
22657,得する,とくする,,,,,,,,,
22657,拗れる,こじれる,,,,,,,,,
22657,びびる,びびる,,,,,,,,,
22657,集る,たかる,,,,,,,,,
22657,ぶれる,ぶれる,,,,,,,,,
22657,切り詰める,きりつめる,,,,,,,,,
22657,損ずる,そんずる,,,,,,,,,
22657,見せびらかす,みせびらかす,,,,,,,,,
22657,混み合う,こみあう,,,,,,,,,
22657,打ち合わせる,うちあわせる,,,,,,,,,
22657,押し返す,おしかえす,,,,,,,,,
22657,繕う,つくろう,,,,,,,,,
22657,磨き上げる,みがきあげる,,,,,,,,,
22657,研ぎ澄ます,とぎすます,,,,,,,,,
22657,毟る,むしる,,,,,,,,,
22657,寝入る,ねいる,,,,,,,,,
22657,萎れる,しおれる,,,,,,,,,
22657,憑かれる,つかれる,,,,,,,,,
22657,魘される,うなされる,,,,,,,,,
22657,与る,あずかる,,,,,,,,,
22657,打ち鳴らす,うちならす,,,,,,,,,
22657,黙りこくる,だまりこくる,,,,,,,,,
22936,寄り付く,よりつく,,,,,,,,,
22936,擦り減る,すりへる,,,,,,,,,
22936,乗り上げる,のりあげる,,,,,,,,,
22936,齧り付く,かじりつく,,,,,,,,,
22936,持ち直す,もちなおす,,,,,,,,,
22936,立て替える,たてかえる,,,,,,,,,
22936,雪崩れ込む,なだれこむ,,,,,,,,,
22936,酔い痴れる,よいしれる,,,,,,,,,
22936,切り倒す,きりたおす,,,,,,,,,
22936,書き添える,かきそえる,,,,,,,,,
22936,泡立てる,あわだてる,,,,,,,,,
22936,明け渡す,あけわたす,,,,,,,,,
22936,立ち退く,たちのく,,,,,,,,,
22936,睨める,にらめる,,,,,,,,,
22936,捏ち上げる,でっちあげる,,,,,,,,,
22936,勿体ぶる,もったいぶる,,,,,,,,,
22936,這い出す,はいだす,,,,,,,,,
22936,軽んずる,かろんずる,,,,,,,,,
22936,湧き出す,わきだす,,,,,,,,,
22936,刻み付ける,きざみつける,,,,,,,,,
22936,減り込む,めりこむ,,,,,,,,,
22936,組み合わす,くみあわす,,,,,,,,,
22936,抜きん出る,ぬきんでる,,,,,,,,,
22936,纏め上げる,まとめあげる,,,,,,,,,
22936,列する,れっする,,,,,,,,,
22936,支え合う,ささえあう,,,,,,,,,
22936,萌える,もえる,,,,,,,,,
23216,爛れる,ただれる,,,,,,,,,
23216,渋る,しぶる,,,,,,,,,
23216,取り違える,とりちがえる,,,,,,,,,
23216,笑い飛ばす,わらいとばす,,,,,,,,,
23216,突っ掛かる,つっかかる,,,,,,,,,
23216,悪びれる,わるびれる,,,,,,,,,
23216,休まる,やすまる,,,,,,,,,
23216,抉じ開ける,こじあける,,,,,,,,,
23216,引っぱたく,ひっぱたく,,,,,,,,,
23216,混じり合う,まじりあう,,,,,,,,,
23216,探り当てる,さぐりあてる,,,,,,,,,
23216,追い回す,おいまわす,,,,,,,,,
23216,差し挟む,さしはさむ,,,,,,,,,
23216,賭する,とする,,,,,,,,,
23216,並べ立てる,ならべたてる,,,,,,,,,
23216,聳え立つ,そびえたつ,,,,,,,,,
23216,取り成す,とりなす,,,,,,,,,
23216,逃げ帰る,にげかえる,,,,,,,,,
23216,まどろむ,まどろむ,,,,,,,,,
23216,飛び去る,とびさる,,,,,,,,,
23216,推し量る,おしはかる,,,,,,,,,
23216,隣り合う,となりあう,,,,,,,,,
23216,大人びる,おとなびる,,,,,,,,,
23216,急き立てる,せきたてる,,,,,,,,,
23216,植え替える,うえかえる,,,,,,,,,
23482,煽てる,おだてる,,,,,,,,,
23482,香る,かおる,,,,,,,,,
23482,泣かす,なかす,,,,,,,,,
23482,挫く,くじく,,,,,,,,,
23482,泣き喚く,なきわめく,,,,,,,,,
23482,転がり落ちる,ころがりおちる,,,,,,,,,
23482,並外れる,なみはずれる,,,,,,,,,
23482,書き入れる,かきいれる,,,,,,,,,
23482,巻き起こる,まきおこる,,,,,,,,,
23482,据え付ける,すえつける,,,,,,,,,
23482,叩き潰す,たたきつぶす,,,,,,,,,
23482,押し流す,おしながす,,,,,,,,,
23482,浴する,よくする,,,,,,,,,
23482,塞き止める,せきとめる,,,,,,,,,
23482,憑く,つく,,,,,,,,,
23482,遇する,ぐうする,,,,,,,,,
23482,荒らげる,あららげる,,,,,,,,,
23482,織り成す,おりなす,,,,,,,,,
23482,摘み取る,つみとる,,,,,,,,,
23482,証する,しょうする,,,,,,,,,
23482,学び取る,まなびとる,,,,,,,,,
23482,盗み見る,ぬすみみる,,,,,,,,,
23482,振り解く,ふりほどく,,,,,,,,,
23772,ぼる,ぼる,,,,,,,,,
23772,垢抜ける,あかぬける,,,,,,,,,
23772,休める,やすめる,,,,,,,,,
23772,ずば抜ける,ずばぬける,,,,,,,,,
23772,凍える,こごえる,,,,,,,,,
23772,撥ね除ける,はねのける,,,,,,,,,
23772,沸き上がる,わきあがる,,,,,,,,,
23772,溶け出す,とけだす,,,,,,,,,
23772,魅く,ひく,,,,,,,,,
23772,巣立つ,すだつ,,,,,,,,,
23772,包まる,くるまる,,,,,,,,,
23772,褒め讚える,ほめたたえる,,,,,,,,,
23772,言い直す,いいなおす,,,,,,,,,
23772,沸き立つ,わきたつ,,,,,,,,,
23772,蟠る,わだかまる,,,,,,,,,
23772,練り上げる,ねりあげる,,,,,,,,,
23772,振れる,ふれる,,,,,,,,,
23772,会する,かいする,,,,,,,,,
23772,擬する,ぎする,,,,,,,,,
23772,読み進む,よみすすむ,,,,,,,,,
23772,刈り取る,かりとる,,,,,,,,,
23772,持ち替える,もちかえる,,,,,,,,,
24074,塗り潰す,ぬりつぶす,,,,,,,,,
24074,散らかす,ちらかす,,,,,,,,,
24074,付け足す,つけたす,,,,,,,,,
24074,暈かす,ぼかす,,,,,,,,,
24074,轢く,ひく,,,,,,,,,
24074,捻くれる,ひねくれる,,,,,,,,,
24074,捌ける,はける,,,,,,,,,
24074,殴り掛かる,なぐりかかる,,,,,,,,,
24074,擦り合わせる,すりあわせる,,,,,,,,,
24074,醸す,かもす,,,,,,,,,
24074,消し去る,けしさる,,,,,,,,,
24074,打ち寄せる,うちよせる,,,,,,,,,
24074,痩せ細る,やせほそる,,,,,,,,,
24074,擦り寄る,すりよる,,,,,,,,,
24074,暴れ回る,あばれまわる,,,,,,,,,
24074,畳み掛ける,たたみかける,,,,,,,,,
24074,押し留める,おしとどめる,,,,,,,,,
24074,撓う,しなう,,,,,,,,,
24074,もぎ取る,もぎとる,,,,,,,,,
24074,売り渡す,うりわたす,,,,,,,,,
24074,照り付ける,てりつける,,,,,,,,,
24074,差し迫る,さしせまる,,,,,,,,,
24074,枯らす,からす,,,,,,,,,
24074,啜り泣く,すすりなく,,,,,,,,,
24074,噛み殺す,かみころす,,,,,,,,,
24074,焦れる,じれる,,,,,,,,,
24074,せせら笑う,せせらわらう,,,,,,,,,
24387,点く,つく,,,,,,,,,
24387,躍らす,おどらす,,,,,,,,,
24387,遣り返す,やりかえす,,,,,,,,,
24387,苛つく,いらつく,,,,,,,,,
24387,働かす,はたらかす,,,,,,,,,
24387,寝返る,ねがえる,,,,,,,,,
24387,落っこちる,おっこちる,,,,,,,,,
24387,思い上がる,おもいあがる,,,,,,,,,
24387,張り合う,はりあう,,,,,,,,,
24387,数え上げる,かぞえあげる,,,,,,,,,
24387,撥ね付ける,はねつける,,,,,,,,,
24387,締め上げる,しめあげる,,,,,,,,,
24387,似付く,につく,,,,,,,,,
24387,忌み嫌う,いみきらう,,,,,,,,,
24387,悖る,もとる,,,,,,,,,
24387,嗾ける,けしかける,,,,,,,,,
24387,弄する,ろうする,,,,,,,,,
24387,起き出す,おきだす,,,,,,,,,
24387,満ち満ちる,みちみちる,,,,,,,,,
24387,食い入る,くいいる,,,,,,,,,
24387,認め合う,みとめあう,,,,,,,,,
24387,嗅ぎ付ける,かぎつける,,,,,,,,,
24387,突っ伏す,つっぷす,,,,,,,,,
24387,飛び退く,とびのく,,,,,,,,,
24717,強がる,つよがる,,,,,,,,,
24717,釣り合う,つりあう,,,,,,,,,
24717,挟み込む,はさみこむ,,,,,,,,,
24717,煽り立てる,あおりたてる,,,,,,,,,
24717,焦らす,じらす,,,,,,,,,
24717,あぐねる,あぐねる,,,,,,,,,
24717,怒り狂う,いかりくるう,,,,,,,,,
24717,懐かしむ,なつかしむ,,,,,,,,,
24717,聞き分ける,ききわける,,,,,,,,,
24717,弾き出す,はじきだす,,,,,,,,,
24717,吹き上がる,ふきあがる,,,,,,,,,
24717,脈打つ,みゃくうつ,,,,,,,,,
24717,探り出す,さぐりだす,,,,,,,,,
24717,賑わす,にぎわす,,,,,,,,,
24717,掴み取る,つかみとる,,,,,,,,,
24717,申し合わせる,もうしあわせる,,,,,,,,,
24717,悼む,いたむ,,,,,,,,,
24717,突き動かす,つきうごかす,,,,,,,,,
24717,魂消る,たまげる,,,,,,,,,
24717,浮き立つ,うきたつ,,,,,,,,,
24717,もぐ,もぐ,,,,,,,,,
24717,伸び上がる,のびあがる,,,,,,,,,
24717,伝え聞く,つたえきく,,,,,,,,,
24717,揉み合う,もみあう,,,,,,,,,
24717,買い入れる,かいいれる,,,,,,,,,
24717,はだける,はだける,,,,,,,,,
24717,堪え忍ぶ,たえしのぶ,,,,,,,,,
24717,愛でる,めでる,,,,,,,,,
24717,縒る,よる,,,,,,,,,
24717,変じる,へんじる,,,,,,,,,
24717,買い上げる,かいあげる,,,,,,,,,
24717,振り替える,ふりかえる,,,,,,,,,
24717,毒付く,どくづく,,,,,,,,,
24717,並べ代える,,,,,,,,,,
24717,煮立てる,にたてる,,,,,,,,,
25068,移し替える,うつしかえる,,,,,,,,,
25068,穿る,ほじる,,,,,,,,,
25068,凍てる,いてる,,,,,,,,,
25068,振り分ける,ふりわける,,,,,,,,,
25068,乗っける,のっける,,,,,,,,,
25068,言い触らす,いいふらす,,,,,,,,,
25068,熟れる,うれる,,,,,,,,,
25068,扱き使う,こきつかう,,,,,,,,,
25068,しくじる,しくじる,,,,,,,,,
25068,凄む,すごむ,,,,,,,,,
25068,臆する,おくする,,,,,,,,,
25068,乗り付ける,のりつける,,,,,,,,,
25068,馴れ親しむ,なれしたしむ,,,,,,,,,
25068,擦り切れる,すりきれる,,,,,,,,,
25068,鄙びる,ひなびる,,,,,,,,,
25068,言い立てる,いいたてる,,,,,,,,,
25068,捩じ込む,ねじこむ,,,,,,,,,
25068,繋ぎ合わせる,つなぎあわせる,,,,,,,,,
25068,差し控える,さしひかえる,,,,,,,,,
25068,磨り潰す,すりつぶす,,,,,,,,,
25068,輝かす,かがやかす,,,,,,,,,
25068,寝静まる,ねしずまる,,,,,,,,,
25068,居並ぶ,いならぶ,,,,,,,,,
25068,見詰め直す,みつめなおす,,,,,,,,,
25068,召し抱える,めしかかえる,,,,,,,,,
25068,折り合う,おりあう,,,,,,,,,
25068,住み込む,すみこむ,,,,,,,,,
25068,聞き及ぶ,ききおよぶ,,,,,,,,,
25068,契る,ちぎる,,,,,,,,,
25068,祓う,はらう,,,,,,,,,
25068,割り引く,わりびく,,,,,,,,,
25068,囃す,はやす,,,,,,,,,
25429,売り切れる,うりきれる,,,,,,,,,
25429,合わさる,あわさる,,,,,,,,,
25429,成り済ます,なりすます,,,,,,,,,
25429,愚図る,ぐずる,,,,,,,,,
25429,遣り合う,やりあう,,,,,,,,,
25429,使い込む,つかいこむ,,,,,,,,,
25429,持ち越す,もちこす,,,,,,,,,
25429,泣き付く,なきつく,,,,,,,,,
25429,居残る,いのこる,,,,,,,,,
25429,善がる,よがる,,,,,,,,,
25429,選る,える,,,,,,,,,
25429,切り崩す,きりくずす,,,,,,,,,
25429,恋する,こいする,,,,,,,,,
25429,跳ね飛ばす,はねとばす,,,,,,,,,
25429,降り積もる,ふりつもる,,,,,,,,,
25429,嗅ぎ取る,かぎとる,,,,,,,,,
25429,薙ぎ倒す,なぎたおす,,,,,,,,,
25429,逃げ去る,にげさる,,,,,,,,,
25429,縛り上げる,しばりあげる,,,,,,,,,
25429,選び取る,えらびとる,,,,,,,,,
25429,和する,わする,,,,,,,,,
25429,黙する,もくする,,,,,,,,,
25429,吊り上がる,つりあがる,,,,,,,,,
25429,借り受ける,かりうける,,,,,,,,,
25429,聞き込む,ききこむ,,,,,,,,,
25429,燃え立つ,もえたつ,,,,,,,,,
25429,興る,おこる,,,,,,,,,
25429,覆る,くつがえる,,,,,,,,,
25429,死に絶える,しにたえる,,,,,,,,,
25429,書き綴る,かきつづる,,,,,,,,,
25429,則する,そくする,,,,,,,,,
25429,虐げる,しいたげる,,,,,,,,,
25429,撫で付ける,なでつける,,,,,,,,,
25429,駆け戻る,かけもどる,,,,,,,,,
25789,茶化す,ちゃかす,,,,,,,,,
25789,狩る,かる,,,,,,,,,
25789,噛ます,かます,,,,,,,,,
25789,噛み砕く,かみくだく,,,,,,,,,
25789,取り入る,とりいる,,,,,,,,,
25789,脱がす,ぬがす,,,,,,,,,
25789,括れる,くびれる,,,,,,,,,
25789,見縊る,みくびる,,,,,,,,,
25789,言い募る,いいつのる,,,,,,,,,
25789,染む,しむ,,,,,,,,,
25789,毟り取る,むしりとる,,,,,,,,,
25789,押し戻す,おしもどす,,,,,,,,,
25789,嘆き悲しむ,なげきかなしむ,,,,,,,,,
25789,貶める,おとしめる,,,,,,,,,
25789,振り落とす,ふりおとす,,,,,,,,,
25789,囃し立てる,はやしたてる,,,,,,,,,
25789,焼き払う,やきはらう,,,,,,,,,
25789,炊き込む,たきこむ,,,,,,,,,
25789,売り捌く,うりさばく,,,,,,,,,
25789,読み解く,よみとく,,,,,,,,,
25789,擦り寄せる,すりよせる,,,,,,,,,
25789,読み耽る,よみふける,,,,,,,,,
25789,吸い寄せる,すいよせる,,,,,,,,,
25789,突っ切る,つっきる,,,,,,,,,
25789,献ずる,けんずる,,,,,,,,,
25789,安んずる,やすんずる,,,,,,,,,
26152,漬かる,つかる,,,,,,,,,
26152,付け替える,つけかえる,,,,,,,,,
26152,ぐれる,ぐれる,,,,,,,,,
26152,貢ぐ,みつぐ,,,,,,,,,
26152,嵩張る,かさばる,,,,,,,,,
26152,責め立てる,せめたてる,,,,,,,,,
26152,惑う,まどう,,,,,,,,,
26152,凝り固まる,こりかたまる,,,,,,,,,
26152,溢れ返る,あふれかえる,,,,,,,,,
26152,引き落とす,ひきおとす,,,,,,,,,
26152,名乗り出る,なのりでる,,,,,,,,,
26152,揉み消す,もみけす,,,,,,,,,
26152,煮やす,にやす,,,,,,,,,
26152,煩わす,わずらわす,,,,,,,,,
26152,丸まる,まるまる,,,,,,,,,
26152,嗅ぎ分ける,かぎわける,,,,,,,,,
26152,干涸びる,ひからびる,,,,,,,,,
26152,駆り出す,かりだす,,,,,,,,,
26152,擦り減らす,すりへらす,,,,,,,,,
26152,迫り出す,せりだす,,,,,,,,,
26152,感じ入る,かんじいる,,,,,,,,,
26152,生み育てる,うみそだてる,,,,,,,,,
26152,削り取る,けずりとる,,,,,,,,,
26152,はためく,はためく,,,,,,,,,
26152,気負う,きおう,,,,,,,,,
26152,波立つ,なみだつ,,,,,,,,,
26152,引き手繰る,,,,,,,,,,
26152,詣でる,もうでる,,,,,,,,,
26152,贏ち得る,かちえる,,,,,,,,,
26152,射貫く,いぬく,,,,,,,,,
26152,しゃくり上げる,しゃくりあげる,,,,,,,,,
26152,反らす,そらす,,,,,,,,,
26548,食み出る,はみでる,,,,,,,,,
26548,履き替える,はきかえる,,,,,,,,,
26548,手子摺る,てこずる,,,,,,,,,
26548,取り抑える,とりおさえる,,,,,,,,,
26548,角張る,かくばる,,,,,,,,,
26548,ぐらつく,ぐらつく,,,,,,,,,
26548,踏み外す,ふみはずす,,,,,,,,,
26548,仰ぎ見る,あおぎみる,,,,,,,,,
26548,雇い入れる,やといいれる,,,,,,,,,
26548,嵌まりこむ,はまりこむ,,,,,,,,,
26548,捨て置く,すておく,,,,,,,,,
26548,息巻く,いきまく,,,,,,,,,
26548,貫き通す,つらぬきとおす,,,,,,,,,
26548,折り重なる,おりかさなる,,,,,,,,,
26548,素っ飛ぶ,すっとぶ,,,,,,,,,
26548,混ざり合う,まざりあう,,,,,,,,,
26548,低める,ひくめる,,,,,,,,,
26548,焼け残る,やけのこる,,,,,,,,,
26548,兆す,きざす,,,,,,,,,
26548,笑い転げる,わらいころげる,,,,,,,,,
26548,商う,あきなう,,,,,,,,,
26548,託つ,かこつ,,,,,,,,,
26548,心行く,こころゆく,,,,,,,,,
26548,能う,あたう,,,,,,,,,
26548,這い回る,はいまわる,,,,,,,,,
26548,贖う,あがなう,,,,,,,,,
26548,言い捨てる,いいすてる,,,,,,,,,
26548,押し開ける,おしあける,,,,,,,,,
26548,気圧される,けおされる,,,,,,,,,
26548,絆す,ほだす,,,,,,,,,
26939,省みる,かえりみる,,,,,,,,,
26939,紛らわす,まぎらわす,,,,,,,,,
26939,聞き逃す,ききのがす,,,,,,,,,
26939,刃向かう,はむかう,,,,,,,,,
26939,背負い込む,しょいこむ,,,,,,,,,
26939,吹き返す,ふきかえす,,,,,,,,,
26939,干上がる,ひあがる,,,,,,,,,
26939,成り下がる,なりさがる,,,,,,,,,
26939,折れ曲がる,おれまがる,,,,,,,,,
26939,渡り合う,わたりあう,,,,,,,,,
26939,縮こまる,ちぢこまる,,,,,,,,,
26939,払い戻す,はらいもどす,,,,,,,,,
26939,涸れる,かれる,,,,,,,,,
26939,漏る,もる,,,,,,,,,
26939,撓む,たわむ,,,,,,,,,
26939,上がり込む,あがりこむ,,,,,,,,,
26939,使わす,つかわす,,,,,,,,,
26939,逃げ惑う,にげまどう,,,,,,,,,
26939,摘み上げる,つまみあげる,,,,,,,,,
26939,買い付ける,かいつける,,,,,,,,,
26939,反り返る,そりかえる,,,,,,,,,
26939,切り下げる,きりさげる,,,,,,,,,
26939,崩れ去る,くずれさる,,,,,,,,,
26939,切り殺す,きりころす,,,,,,,,,
26939,降り頻る,ふりしきる,,,,,,,,,
26939,付き従う,つきしたがう,,,,,,,,,
