L5,T5,L4,T4,L3,T3,L2,T2,L1,T1
テーブルの上にコップがある。,There is a cup on the table.,私はプレゼントを買う目的でデパートへ行った。,I went to the department store to buy a gift.,期間を定めて申し込みを受け付ける。,Applications will be accepted for a set period of time.,,,,
バッテリーが上がってしまった。,The battery is dead.,大学に入っていることが私の人生の目標ではない。,Being in college is not my goal in life.,経済の安定はすべての政府の目指すところだ。,Economic stability is the goal of all governments.,,,,
テレビのボリュームを上げないでください。,Do not turn up the volume on the TV.,どちらを選ぶのかを決めるのはあなたの役目だ。,It is up to you to decide which one you will choose.,設定料金に労務費用は含みません。,Set-up fees do not include labor costs.,,,,
わかりましたか。,Do you understand?,その工場は来年から製造をはじめる。,The factory will start manufacturing next year.,あなたは政治に興味がありますか。,Are you interested in politics?,,,,
おおざっぱに分ける。,Divide roughly.,駐車場が見つからなかったんだ。,I couldn't find a parking space.,政府はその計画を来年実施する予定である。,The government plans to implement that plan next year.,,,,
そんな気分じゃなかったんだ。,I wasn't in the mood.,広場で野球をするのはどうでしょうか。,How about playing baseball in the square?,彼は新しい政策を決定していた。,He was deciding on a new policy.,,,,
この食べものは生だ。,This food is raw.,私は現代の音楽はあまり好きではない事を認めます。,I admit that I am not a big fan of contemporary music.,このテーブルは場所を取りすぎると思う。,I think this table takes up too much space.,,,,
わたしたちは生きるために食べる。,We eat to live.,彼はクラスを代表して会場に出た。,He represented the class at the event.,彼はその会社と取引きを始めた。,He began doing business with that company.,,,,
どこで生まれましたか。,Where were you born?,私たちは大阪まで交替で運転した。,We took turns driving to Osaka.,その事故は私が取材をさせられた。,I was made to cover that accident.,,,,
ピクニックに行かない。,I don't go on picnics.,私立の学校はどういう感じですか。,What is it like in a private school?,遠足に好適の所が見つかった。,We found a good place for an excursion.,,,,
旅行することがすきですか。,Do you like to travel?,この本棚の辞書はすべて私用です。,All the dictionaries on this bookshelf are for private use.,私は会社の出版部に所属する。,I belong to the publishing department of my company.,,,,
われわれは飛行機でニューヨークへ行った。,We flew to New York.,私見によればあの人は立派な学者です。,"In my opinion, he is a fine scholar.",実に高額の所得には特別税が課せられている。,A special tax is imposed on really high incomes.,,,,
二時間ここにいます。,We are here for two hours.,相互に独立対等の関係に置かれている。,We are placed in a relationship of mutual independence and equality.,経済の現状からみて減税は無理だ。,Tax cuts are impossible given the current state of the economy.,,,,
バニラアイスクリームを二つ下さい。,"Can I have two vanilla ice creams, please?",ハンバーガーを立って食べる。,I eat my hamburger standing up.,彼にはよく幻覚症状が現れる。,He often has hallucinatory symptoms.,,,,
二人のガールフレンドがいる。,I have two girlfriends.,彼女と私とでは立場が違う。,She and I are in different positions.,現地企業の自立が最終的な目的です。,Independence of local companies is the ultimate goal.,,,,
本の間にしおりをはさむ。,Put a bookmark between the books.,動物に食べ物を与えないでください。,Do not give food to animals.,実は最近こういう場面が増えた。,"In fact, these situations have increased recently.",,,,
お時間わかりますか。,Do you know how much time you have?,彼女は買い物が好きだ。,She likes to shop.,この絵は中でも最も見事な絵でしょう。,This painting is probably the most stunning of them all.,,,,
昼間のうちにかえっていらっしゃい。,Come back in the daytime.,当市では諸物価が高い。,Prices are high in our city.,この状況では最善を尽くしてる。,I'm doing the best I can under the circumstances.,,,,
一時ボストンにすんでいた。,I lived in Boston for a while.,油田を発見する。,We found an oil field.,彼は救急車の運転手に化けて病院に忍び込んだ。,He disguised himself as an ambulance driver and snuck into the hospital.,,,,
そのしごとにはどれだけの日時がかかったのか。,I wonder how long it took him to do that job.,田舎は空気がきれいだ。,The air is clean in the countryside.,彼女は化粧するのに１時間もかかる。,She takes an hour to put on makeup.,,,,
時計がはたらいている。,The clock is working.,田に稲の苗をを植える。,Planting rice seedlings in the rice field.,有害ガスまたは化学物質を使用しません。,No hazardous gases or chemicals are used.,,,,
気に入ってます。,I like it.,体温が平熱まで上がった。,Her body temperature has risen to normal.,善良な市民は法律に従う。,Good citizens obey the law.,,,,
元気ですよ。,He is fine.,体育を奨励する。,Physical education is encouraged.,難民が国中からなだれ込んだ。,Refugees poured in from all over the country.,,,,
かれは病気だったらしい。,I heard he was sick.,体積を求める。,Seeking body mass.,彼は日本への移民を認められた。,He was allowed to immigrate to Japan.,,,,
わたしには子どもが十人いる。,I have ten children.,絶えず彼の行動に注意していた。,I was constantly watching his behavior.,彼女の相手をするのは楽しい。,I enjoy her company.,,,,
おかねは十分にあります。,I have enough money.,私が戻って来るまでここを動くなよ。,Don't move here until I come back.,会員相互の親睦を図ることを目的とする。,The purpose is to promote friendship among members.,,,,
学校は四月十日からはじまります。,School starts April 10.,人口の移動。,Movement of population.,明日ゆっくり相談しましょう。,Let's take our time tomorrow to discuss.,,,,
女みたいな高いおと。　,A high sound like a woman.　,建設会社に入社する。,Joining a construction company.,生物はすべて自然の法則に支配されている。,All living things are governed by the laws of nature.,,,,
そんな女性を見たことがなかった。,I had never seen such a woman before.,銭湯は近所の社交場だ。,Public bathhouse is a neighborhood social gathering place.,その手紙は間違って配達された。,That letter was delivered by mistake.,,,,
このしゃしんのなかの少女はだれですか。,Who is the girl in the picture?,土曜日には出社する必要がありません。,No need to come in on Saturdays.,先生はパンフレットをクラスに配った。,The teacher handed out pamphlets to the class.,,,,
このしごとは三時間かかった。,This job took three hours.,広く知識を求める。,Seek broad knowledge.,毎晩そのことについて議論した。,We discussed it every night.,,,,
かれらはいま三人の子供がいる。,They have three children now.,この辺はよく知っている。,He knows the area well.,私の友達を晩ご飯に誘った。,I invited my friend to dinner.,,,,
これを三つください。,Give me three of these.,彼にはそうするだけの知恵がなかった。,He did not have the wisdom to do so.,母親は一晩中起きて息子を待った。,The mother stayed up all night waiting for her son.,,,,
前はよくピザを食べていました。,I used to eat pizza a lot.,食卓に料理を並べる。,Put food on the table.,僕は１日自分の部屋を掃除した。,I cleaned my room for a day.,,,,
以前お会いしたことがありますか。,Have we met before?,芸術作品を理解する。,Understand works of art.,政府は物価の統制を解除した。,The government lifted price controls.,,,,
あなたの名前は何ですか。,What is your name?,当分の間代理を置く。,Putting down a substitute for the time being.,最初の100ページは除いてよろしい。,You may exclude the first 100 pages.,,,,
クラブに入りませんか。,Would you like to join our club?,彼らは皆同じ制服を着ている。,They all wear the same uniform.,提案に賛成の方は挙手願います。,"All those in favor of the proposal, please raise your hand.",,,,
コーヒーを入れましょう。,Let's make coffee.,彼女は彼に少しだけ同情した。,She felt a little sympathy for him.,外国人は富士山を賛美する。,Foreigners admire Mt. Fuji.,,,,
彼はその学校に入学をきょかされた。,He was accepted to the school.,私も同様の境遇です。,I am in a similar situation.,誰もが彼を賞賛する。,Everyone admires him.,,,,
小さいことにこだわるな。,Don't get hung up on small things.,期待で心臓がどきどきした。,My heart throbbed with anticipation.,彼は労働の給料を何ももらわなかった。,He received nothing for his labor.,,,,
この小説はあれよりずっと面白い。,This novel is much more interesting than that one.,あの人になら安心して金を預けられるよ。,I can entrust my money to that man with peace of mind.,この場合この単語は動詞として働く。,In this case the word acts as a verb.,,,,
ここにもとは小学校があった。,There used to be an elementary school here.,これは心配するほどのことではない。,This is nothing to worry about.,工場はフル稼動している。,The plant is in full operation.,,,,
後について行く。,I'll follow you.,彼の名前を誤って発音してしまった。,I mispronounced his name.,観客は彼のホームランに興奮した。,The crowd was thrilled with his home run.,,,,
すぐ後ろにいるよ。,I'll be right behind you.,学校は募集要項を発表した。,The school announced its application guidelines.,京都は世界中からたくさんの観光客が訪れる。,Kyoto attracts many tourists from all over the world.,,,,
午後はどうだった？,How was your afternoon?,しばらく出発を見合わせる。,We'll hold off on our departure for a while.,旅客は歩道橋を使って路線を渡ってください。,Passengers should use the pedestrian bridge to cross the line.,,,,
これは長すぎます。,This is too long.,そこは作戦上重要な地点である。,This is an important point in the operation.,彼は救急車の運転手に化けて病院に忍び込んだ。,He disguised himself as an ambulance driver and snuck into the hospital.,,,,
校長が先生の後ろから入ってきた。,The principal came in behind the teacher.,この工場ではカメラを作っている。,This factory makes cameras.,彼女はトイレで化粧しているよ。, She's in the ladies' room doing make-up.,,,,
この会社の社長はだれですか。,Who is the president of this company?,食卓での作法を守る。,Observe the manners at the table.,それは毒性のある化学物質が含まれていた。,It contained toxic chemicals.,,,,
彼は車の下から出てきた。,He came out from under the car.,その考えのどこが新鮮なのか。,What is new about this idea?,どんな雑誌を購読していますか。,What magazines do you subscribe to?,,,,
その人に会ってみてください。,Please meet him.,設備がすっかり新しくなった。,The equipment is completely new.,彼らの関係は非常に複雑である。,Their relationship is very complex.,,,,
下がってよろしい。,You may step back.,新たな緊張を必要とする。,It requires new tensions.,冬になると朝の電車の混雑は大変なものだ。,"In winter, morning train congestion can be very difficult.",,,,
このいっけんには大いに学ぶところがあった。,I learned a lot from this experience.,彼は世界的に有名だ。,He is world famous.,彼は努力をしたものの結果を伴わなかった。,"He tried, but with no results.",,,,
学校に行きたいんです。,I want to go to school.,所帯を持っている。,He has a family.,目的は果たせたんですか。,Did you accomplish your goals?,,,,
彼は大学に行くひつようがある。,He needs to go to college.,世紀の大事件。,The big event of the century.,彼の努力は効果がなかった。,His efforts were ineffective.,,,,
新しい月もでてきました。,There is a new month.,制度の運用にあたり例外規則を設ける。,He makes exceptions to the rules for the operation of the system.,現在のままにしておくと大変なことになる。,"If we leave it as it is now, we're in big trouble.",,,,
今月いっぱいここにいます。,We will stay here for the whole month.,速度の遅い車を追い越した。,He overtook a slower car.,あの店は在庫が豊富だ。,That store is well-stocked.,,,,
私たちは来月日本をはなれます。,We leave Japan next month.,湿度が低ければ暑さもしのぎやすい。,The low humidity makes it easier to beat the heat.,いつまでご滞在ですか。,How long will you stay?,,,,
何を見ているのか。,What are you looking at?,事件の詳しい説明を聞きたい。,I would like to hear a detailed account of the incident.,彼は建築家として大きな未来がある。,He has a great future as an architect.,,,,
ほんとうに何も食べるものがないの？,Is there really nothing to eat?,明るい通りを通る。,Passing on well-lit streets.,輸入車は８％未満しか占めていない。,Imported cars account for less than 8% of the total.,,,,
なんでこんなとこで寝てるの？,Why are you sleeping here?,建物を照明で照らし出す。,The building is illuminated.,既知のことは未知のことと区別しなくてはならない。,The known must be distinguished from the unknown.,,,,
明日きゃくが二人来る。,Two guests are coming tomorrow.,遠泳は現在の君の体力では無理だ。,A long swim is out of the question for you now.,老婆は金をねらわれて殺された。,The old woman was killed for her money.,,,,
この国に将来があるのでしょうか。,Is there any future for this country?,蒸気の圧力でボイラーが破裂した。,The boiler burst under the pressure of steam.,首相の暗殺は未遂に終わった。,An assassination attempt on the prime minister was unsuccessful.,,,,
以来ずっと友人です。,We have been friends ever since.,日没までに仕事を終えようと努力した。,I made every effort to finish the work before sunset.,嫉妬がその殺人の動機だった。,Jealousy was the motive for that murder.,,,,
コーヒーを飲みながら話しましょう。,Let's talk over a cup of coffee.,意志に反してそれをせざるを得なかった。,I had to do it against my will.,なんで石を投げたりするんだ。,Why do they throw stones and stuff?,,,,
人と会話をする。,Talk with people.,彼は３時間後に意識を回復した。,He regained consciousness three hours later.,新事業に大金を投資した。,He invested a large sum of money in the new business.,,,,
われわれはその問題について話し合った。,We talked about the problem.,彼は両親の意思に背いて結婚した。,He married against the will of his parents.,歌手の人気投票を行う。,Vote for the popularity of the singer.,,,,
山にトンネルをとおす。,Tunnel through the mountain.,費用を出しあって会を開いた。,They paid for each other's expenses and held meetings.,出発の日を明日と定めた。,The date of departure was set for tomorrow.,,,,
火山がふんかした。,The volcano has erupted.,その機械は広く用いられている。,The machine is widely used.,現在の政府では民心の安定はありえない。,"With the current government, there can be no stability of public sentiment.",,,,
彼は登山になれている。,He is an expert climber.,この表現は今では広く使用されている。,This expression is now widely used.,新しい運営法を設定する。,Set up a new operating method.,,,,
そのピアノは高い。,His piano is high.,日本人は米を主食とする。,Rice is the staple food of the Japanese.,彼女は目が優しい。,She has gentle eyes.,,,,
高校が同じです,We went to high school together.,その組織は開業医が主体となっている。,The organization is mainly composed of medical practitioners.,彼は学力では他の人々より優れている。,He outperforms the rest of us academically.,,,,
最高のアイディアだよ。,It's a great idea.,その地主は以前かなり裕福な暮らしをしていた。,The landowner used to be quite wealthy.,彼は優秀な成績で卒業した。,He graduated from school with high marks.,,,,
やるなら今だよ。,Now is the time to do it.,駅とお寺の間にバスが通っている。,There is a bus service between the station and the temple.,この帽子は少し横にかぶったほうがいい。,This hat should be worn a little to the side.,,,,
今朝彼女に何がおきたのですか。,What happened to her this morning?,自転車で通学する。,The students commute to school by bicycle.,ここで道路が線路を横断している。,Here the road crosses the railroad tracks.,,,,
今回問題になってるのは何？,What's the problem this time?,この通りは交通が激しい。,There is heavy traffic on this street.,車が氷で滑って横転した。,The car skidded on the ice and turned over on its side.,,,,
ペンで書いて下さい。,Write it down with a pen.,この文は文法的に正しい。,This sentence is grammatically correct.,彼女は莫大な資産を相続した。,She inherited a huge fortune.,,,,
彼はいつも読書している。,He is always reading.,文学を志して東京に出てきた。,He came to Tokyo to pursue literature.,地震の最中も彼は講義を続けた。,He continued his lecture during the earthquake.,,,,
図書館にはたくさんの本があります。,There are many books in the library.,大学に学位論文を提出する。,He is submitting his dissertation to the university.,インターネットにはどうやって接続しますか。,How do I connect to the Internet?,,,,
この人は目が見えなくなって五年になる。,This person has been blind for five years.,彼は本屋をやっている。,He runs a bookstore.,彼は幸福だと思います。,I think he is happy.,,,,
この箱にはりんごが五つ入っている。,There are five apples in this box.,ビルの屋上から道路を見下ろした。,He looked down at the street from the roof of the building.,ペニシリンは人類の福祉に大いに貢献した。,Penicillin contributed greatly to the welfare of mankind.,,,,
彼は五日にいちどここへ来ます。,He comes here every five days.,ホテルに部屋を取ってある。,I have a room in a hotel.,彼は裕福なのでお金の心配をしていない。,He is wealthy and does not worry about money.,,,,
京都にはたくさんの名所がある。,There are many places of interest in Kyoto.,職業を身につける。,He acquires a profession.,事件の詳しい説明を聞きたい。,I would like to hear a detailed account of the incident.,,,,
このちほうの名物は何ですか。,What is the specialty of this region?,企業の会計制度を国際化する。,To internationalize the accounting system of the company.,我々の説得はすべて無駄だった。,All our efforts at persuasion were in vain.,,,,
有名なブランドですね。,It is a famous brand.,国内の商業振興をはかる。,To promote domestic commerce.,先生はこの点を詳細に説いた。,The teacher explained this point in detail.,,,,
やっと金曜日ですよ。,It is finally Friday.,ご注文の本を持参しました。,I brought the books you ordered.,空腹で倒れそうだ。,I'm going to collapse from hunger.,,,,
私は現金でしはらいます。,I will pay in cash.,どれでもお好きなのをお持ちください。,Please bring any of them you like.,お腹がペコペコだ。,I'm starving.,,,,
その靴の代金を払いましたか。,Did you pay for those shoes?,患者に生命維持装置が取り付けられた。,The patient was put on life support.,真意と裏腹のことを言ってしまった。,I said the opposite of what I really meant.,,,,
二人の男はバーで飲んでいた。,The two men were drinking at the bar.,彼女のテニスは道具ばかり立派だな。,Her tennis is all fine equipment.,この情報をすぐに提供してくれ。,Provide this information immediately.,,,,
彼女は昨日背の高い男の人に会いました。,She met a tall man yesterday.,道路を建設する。,Build a road.,彼女は自分の感情を抑える事ができない。,She cannot suppress her emotions.,,,,
男性の名前は何ですか。,What is the man's name?,どの道順がいちばん早いですか。,Which road is the fastest?,彼女は涙を頬に伝わせながら情けを請うた。,She begged for mercy with tears streaming down her cheeks.,,,,
私は今は外へ出たくない。,I don't want to go out now.,彼は頑固な独身主義者だ。,He is a stubborn bachelor.,少ない収入で生活する事は難しい。,It is difficult to live on a small income.,,,,
海外に旅行する。,I am traveling abroad.,大阪のご出身ですか。,Are you from Osaka?,彼は海外貿易で大きな利益を収めた。,He profited greatly from foreign trade.,,,,
午後なら外出できます。,You can go out in the afternoon.,この箱の中身は何ですか。,What is in this box?,この布は汗をよく吸収する。,This cloth absorbs sweat well.,,,,
私は彼に四ドルをしはらった。,I paid him four dollars.,この辺は交通が不便だ。,Traffic is inconvenient in this area.,それをするには幾つかの方法がある。,There are several ways to do that.,,,,
ベッドが四つある部屋にくらす。,I live in a room with four beds.,材料が不足してきた。,We are running out of materials.,それをいくらで買いましたか。,How much did you pay for it?,,,,
四人でえらぶゲームです。,It's a game of four to choose.,我々の不利な点は資金不足だ。,Our disadvantage is the lack of funds.,幾分そういう傾向がある。,It tends to be somewhat that way.,,,,
私を先にしてください。,I'll be first.,だれが水道の蛇口を開けっ放しにしておいたのか。,Who left the tap open?,お帰りになるのもお残りになるのもご自由です。,You are free to leave or stay.,,,,
彼は高校の先輩です。,He is a senior in high school.,いかにも利口そうだ。,That sounds very clever.,彼は理由もなく大学を中退した。,He dropped out of college for no reason.,,,,
先生が入ってきた。,The teacher came in.,メッセージは口頭で伝えられた。,The message was delivered orally.,その情報はフランス大使館経由で入手した。,The information was obtained via the French Embassy.,,,,
私と一緒に川に行かない？,Won't you go to the river with me?,海外旅行へ出かける学生が多くなってきた。,Many students are traveling abroad.,今日約束があるのを忘れていた。,I forgot I had an appointment today.,,,,
私の家の近くを小川がながれている。,There is a stream near my house.,目方の多少に関係なく無料で配達いたします。,"We will deliver free of charge, regardless of the amount.",今夜の忘年会には参加しないつもりなの。,I'm not going to be at the year-end party tonight.,,,,
川岸のけいかんは美しくれきしてきです。,The riverbank is beautiful and historic.,この語には多様な意味がある。,This word has a variety of meanings.,御忘れ物なきようお願いします。,Please be sure not to forget anything.,,,,
東はどの方向なの？,Which direction is east?,野菜を添える。,To accompany vegetables.,月着陸は記念すべき偉業であった。,The moon landing was a monumental achievement.,,,,
日本の東京からきました。,"I am from Tokyo, Japan.",遠くを眺めていたら車が一台視野に入ってきた。,"As I was looking into the distance, a car came into my field of vision.",彼女は成長して偉大な科学者になった。,She grew up to be a great scientist.,,,,
家の東側に大きな木がある。,There is a big tree on the east side of my house.,彼は山で道に迷って野宿した。,He got lost in the mountains and camped out in the field.,私はあの人が将来偉くなると見取った。,I discerned the potential of great things in him.,,,,
私の言うことをよく聞きなさい。,Listen to me carefully.,眠くて思考力が低下してきた。,I am sleepy and my thinking is getting worse.,彼女は靴屋を経営している。,She manages a shoe store.,,,,
女の子が歌うのが聞こえた。,I heard a girl singing.,返事をする前によく考えさせてください。,Let me think it over before I reply.,君は靴下を裏返しにはいているよ。,You are wearing your socks inside out.,,,,
今日の新聞はどこ。,Where is today's newspaper.,この書類は後の参考のために取っておいた。,I kept this document for later reference.,靴の紐を結びなさい。,Tie your shoelaces.,,,,
あなたは日本語を話しますか？,Do you speak Japanese?,昨日両都市間のバス運行が開始された。,Bus service between the two cities began yesterday.,彼はきっと競泳選手権に勝つだろう。,He is sure to win the swimming championship.,,,,
彼は英語を少し話します。,He speaks a little English.,窓は開けておいてください。,Please keep your windows open.,この川は子供が泳ぐには危険だ。,This river is dangerous for children to swim in.,,,,
彼は音楽について語った。,He talked about music.,そのホールは一般に開放されている。,That hall is open to the public.,水泳は大変役に立つ技術である。,Swimming is a very useful skill.,,,,
学校は九時からはじまります。,School begins at nine o'clock.,生花教室は若い女性に人気がある。,Ikebana classes are popular among young women.,私たちは訪問客で忙殺された。,We were swamped with visitors.,,,,
九つのココナッツを食べました。,I ate nine coconuts.,このクッキーの作りかたを教えてください。,Please teach me how to make these cookies.,多忙な毎日を送っています。,I live a busy life.,,,,
来てから九日よね？,"It's been nine days since you came here, right?",家庭教師に子供の教育を託する。,Entrust the education of your children to a private tutor.,彼は相変わらず忙しい。,He is as busy as ever.,,,,
私たちはよく一緒に食事するんだ。,We often eat together.,近所で昨夜火事があった。,There was a fire in our neighborhood last night.,奇数と偶数は交互に現れる。,Odd numbers alternate with even ones.,,,,
食堂はどこですか。,Where is the cafeteria?,うちに一番近い駅は渋谷だ。,The nearest station to our house is Shibuya.,たまにしか中華料理は食べない。,I only eat Chinese food occasionally.,,,,
それを食べたくありません。,I don't want to eat it.,それは近視眼的な政策だ。,That is a shortsighted policy.,僕は昨日空港で偶然彼に会った。,I met him by accident at the airport yesterday.,,,,
しごとは八時までにはおわるだろう。,The work will be finished by eight.,このトラックは４トン以上は積めない。,This truck can't carry more than four tons.,彼の振る舞いは賞賛に値する。,His behavior is worthy of praise.,,,,
うちの子は八つです。,My child is eight.,外気は摂氏10度以下に下がった。,The outside temperature has dropped below 10 degrees Celsius.,外国人は富士山を賛美する。,Foreigners admire Mt. Fuji.,,,,
ろじょうには小さな八百屋が出ていた。,There was a small grocery store on the street.,本校生徒以外は校外に出てください。,All non-students of our school must go outside the school.,基本的にあなたの意見に賛成です。,"Basically, I agree with your opinion.",,,,
シャワーの水が出ません。,The water in the shower does not run.,数学の問題を解く。,Solve a mathematical problem.,僕は幾分緊張している。,I am nervous in a sense.,,,,
彼はとりわけ水泳が好きです。,He especially likes swimming.,これは極めて深遠な問いです。,This is an extremely profound question.,手数料はいくらですか。,How much is the commission fee?,,,,
水道がでています。,There is running water.,その問題について賛否を問うべきだ。,You should ask him if he agrees or disagrees with the problem.,彼は幾つ情報を得ましたか。,How many pieces of information did he get?,,,,
