Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4,W5,R5,M5
捕,HO,"to, tsuka","catch, capture",捕まえる,つかまえる,"to catch, capture, grab",捕まる,つかまる,"to be caught, grasp",捕る,とる,"to catch, capture",逮捕,たいほ,"arrest, capture",捕獲,ほかく,"capture, seizure"
掴,KAKU,tsuka,"catch, seize, grasp, hold",掴む,つかむ,"to seize, catch, obtain",掴み,つかみ,grip,掴まる,つかまる,"to be caught, grasp",掴み取り,つかみどり,grabbing,掴み金,つかみがね,handful of cash
筋,KIN,suji,"muscle, sinew, tendon, fiber",筋肉,きんにく,muscle,筋,すじ,"muscle, tendon",大筋,おおすじ,"outline, summary, gist",背筋,せすじ,spine,道筋,みちすじ,"path, route, itinerary"
箱,.,hako,"box, chest, case, bin",箱,はこ,"box, case, chest",本箱,ほんばこ,bookcase,箱詰め,はこづめ,boxing,弁当箱,べんとうばこ,lunch box,貯金箱,ちょきんばこ,savings box
範,HAN,.,"pattern, example, model",規範,きはん,"model, standard, pattern",範囲,はんい,"extent, scope, range",模範,もはん,"model, example",広範囲,こうはんい,"extensive, vast range",師範,しはん,instructor
俗,ZOKU,.,"vulgar, customs, manners",風俗,ふうぞく,"manners, customs",俗語,ぞくご,colloquialism,民俗,みんぞく,ethnic customs,俗事,ぞくじ,worldly affairs,公序良俗,こうじょりょうぞく,social standards
欲,YOKU,ho,"longing, passion, desire",食欲,しょくよく,appetite,欲しい,ほしい,"want, desire",欲張り,よくばり,greed,欲望,よくぼう,"desire, appetite, lust",意欲,いよく,"will, desire, eagerness"
浴,YOKU,a,"bathe, bask in, favored",浴びる,あびる,"shower, bathe",浴衣,ゆかた,yukata,海水浴,かいすいよく,sea bathing,入浴,にゅうよく,bathing,浴室,よくしつ,bathroom
処,SHO,.,"dispose, manage, deal with",処理,しょり,"processing, dealing",対処,たいしょ,dealing with,処分,しょぶん,"disposal, selling off",処置,しょち,"measure, step, deal",処方箋,しょほうせん,prescription
拠,"KYO, KO",.,"foothold, based on, follow",証拠,しょうこ,"evidence, proof",根拠,こんきょ,"basis, grounds",拠点,きょてん,"position, location",本拠,ほんきょ,"stronghold, base",拠出,きょしゅつ,"donation, contribution"
砂,"SA, SHA",suna,sand,砂,すな,"sand, grit",砂糖,さとう,sugar,砂漠,さばく,desert,砂利,じゃり,"gravel, pebbles",砂浜,すなはま,sandy beach
秒,BYOU,.,second,秒,びょう,second,秒速,びょうそく,speed per second,秒読み,びょうよみ,countdown,秒針,びょうしん,second hand ,秒時計,びょうどけい,stop watch
抄,SHOU,.,"extract, selection, summary",抄録,しょうろく,"quotation, abstract",抄本,しょうほん,excerpt,抄訳,しょうやく,abridged translation,抄造,しょうぞう,papermaking,抄出,しょうしゅつ,taking excerpts
妙,MYOU,.,"exquisite, strange",奇妙,きみょう,"strange, odd, peculiar",妙,みょう,"strange, odd, curious",微妙,びみょう,"subtle, delicate, fine",巧妙,こうみょう,"ingenious, skillful",絶妙,ぜつみょう,"exquisite, superb"
少,SHOU,"suku, suko","few, little",少し,すこし,"a little, a bit",少ない,すくない,"few, a little",少年,しょうねん,young boy,多少,たしょう,"a little, some",減少,げんしょう,"decrease, reduction"
輸,YU,.,"transport, send",輸入,ゆにゅう,import,輸出,ゆしゅつ,export,輸血,ゆけつ,blood transfusion,輸送,ゆそう,transport,密輸,みつゆ,smuggling
軽,KEI,"karu, karo","light, trifling, unimportant",軽い,かるい,"light, trivial",軽率,けいそつ,"rash, thoughtless",気軽,きがる,"lighthearted, carefree",手軽,てがる,"easy, simple, informal",軽快,けいかい,"light, nimble, casual"
経,"KEI, KYOU","he, ta","longitude, pass, expire",経済,けいざい,economy,経験,けいけん,experience,神経,しんけい,nerve,経る,へる,"to pass, elapse",経営,けいえい,management
済,SAI,su,"settle, finish",救済,きゅうさい,"relief, aid, help",済む,すむ,"to finish, end, complete",返済,へんさい,repayment,経済的,けいざいてき,economic,共済,きょうさい,mutual aid
剤,ZAI,.,"dose, medicine, drug",洗剤,せんざい,detergent,薬剤師,やくざいし,pharmacist,殺虫剤,さっちゅうざい,insecticide,鎮痛剤,ちんつうざい,analgesic,錠剤,じょうざい,"pill, lozenge, tablet"
才,SAI,.,"genius, talent, years old",天才,てんさい,"genius, prodigy",才能,さいのう,"talent, ability",秀才,しゅうさい,bright person,多才,たさい,talented,商才,しょうさい,business acumen
材,ZAI,.,"materials, ingredients, wood",木材,もくざい,"lumber, timber",材料,ざいりょう,"materials, ingredients",素材,そざい,"ingredient, resource",人材,じんざい,capable person,取材,しゅざい,gathering material
財,"ZAI, SAI",.,"property, money, wealth",財布,さいふ,"purse, handbag",財産,ざいさん,"property, assets",財政,ざいせい,public finance,文化財,ぶんかざい,cultural assets,財政難,ざいせいなん,financial difficulties
因,IN,yo,"cause, factor, depend on",原因,げんいん,"cause, origin, source",要因,よういん,main cause,因子,いんし,factor,起因,きいん,"caused by, arise from",因果,いんが,cause and effect
困,KON,koma,"troubled, distressed, annoyed",困る,こまる,to be troubled,貧困,ひんこん,"poverty, destitution",困難,こんなん,"difficulty, hardship",困惑,こんわく,perplexity,困窮,こんきゅう,"destitution, difficulty with"
歓,KAN,.,"delight, joy",歓迎,かんげい,"welcome, reception",歓声,かんせい,cheer,大歓迎,だいかんげい,warm welcome,歓談,かんだん,pleasant talk,歓喜,かんき,"delight, great joy"
勧,KAN,susu,"persuade, recommend, advise",勧める,すすめる,to recommend,勧誘,かんゆう,"invitation, solicitation",かんこく,かんこく,"advice, counsel",勧奨,かんしょう,encouragement,避難勧告,ひなんかんこく,evacuation advisory
観,KAN,.,"outlook, view, appearance",観客,かんきゃく,spectator,観光,かんこう,sightseeing,観念,かんねん,"idea, notion, sense",観測,かんそく,"observation, survey",観察,かんさつ,"observation, watching"
視,SHI,.,"inspection, regard as, see",視野,しや,"field of vision, view",視覚,しかく,"sense of sight, vision",近視,きんし,nearsightedness,無視,むし,disregarding,監視,かんし,monitoring
規,KI,.,"standard, measure",規則,きそく,"rule, regulation",規制,きせい,"regulation, restriction",規範,きはん,"model, standard",規律,きりつ,"order, rules. law",規約,きやく,"agreement, rules, code"
則,SOKU,.,"rule, law, follow",法則,ほうそく,"law, rule",規則,きそく,"rule, regulation",原則,げんそく,principle,校則,こうそく,school regulations,規則的,きそくてき,"systematic, routine"
側,SOKU,"gawa, kawa","side, lean, oppose",両側,りょうがわ,both sides,側面,そくめん,"side, flank, profile",外側,そとがわ,"exterior, outside",裏側,うらがわ,other side,側近,そっきん,close associate
測,SOKU,haka,"fathom, plan, measure",測定,そくてい,measurement,観測,かんそく,"observation, measurement",測量,そくりょう,"measurement, surveying",推測,すいそく,"guess, conjecture",予測,よそく,"prediction, estimation"
列,RETSU,.,"file, row, rank",列車,れっしゃ,train,行列,ぎょうれつ,"line, queue",陳列,ちんれつ,"exhibition, display",整列,せいれつ,alignment,最前列,さいぜんれつ,front row
例,REI,tato,"example, custom, usage",例えば,たとえば,for example,比例,ひれい,proportion,例外,れいがい,exception,実例,じつれい,"example, illustration",例える,たとえる,"to compare, liken"
門,MON,kado,gate,入門,にゅうもん,becoming a pupil,学問,がくもん,"study, scholarship",専門家,せんもんか,specialist,入門,にゅうもん,"becoming a pupil, primer",部門,ぶもん,"division, branch"
問,MON,to,"question, ask, problem",問題,もんだい,"problem, question",質問,しつもん,"question, inquiry",訪問,ほうもん,call. visit,疑問,ぎもん,"doubt, question",問う,とう,"to ask, inquire"
間,"KAN, KEN","aida, ma","interval, space",時間,じかん,time,人間,にんげん,human being,居間,いま,living room,間柄,あいだがら,"relation, terms",間に合う,まにあう,to be in time for
聞,"BUM, MON",ki,"hear, ask, listen",新聞,しんぶん,newspaper,聞く,きく,"to hear, listen, ask",聴聞,ちょうもん,listening,見聞,けんぶん,"information, experience",聞き取る,ききとる,"catch the words, hear"
関,KAN,"seki, kaka","connection, barrier, gateway",玄関,げんかん,entrance,関係,かんけい,"relation, connection",関わる,かかわる,to be concerned with,交通機関,こうつうきかん,transport system,関与,かんよ,participation
開,KAI,"a, hira","open, unfold, unseal",開ける,あける,to open,開く,ひらく,to open,展開,てんかい,development,開始,かいし,"start, commence",開拓,かいたく,reclamation
閉,HEI,"shi, to","closed, shut",閉める,しめる,to close,閉じる,とじる,to close,閉会,へいかい,closure of an event,閉鎖,へいさ,"closure, shutdown",閉店,へいてん,closing up shop
閲,ETSU,.,"review, inspection, revision",検閲,けんえつ,censorship,校閲,こうえつ,"revision, proofreading",閲覧,えつらん,"inspection, browsing",閲覧室,えつらんしつ,reading room,観閲,かんえつ,"inspection, review"
閣,KAKU,.,"tower, tall building",内閣,ないかく,"cabinet, ministry",閣僚,かくりょう,cabinet ministers,楼閣,ろうかく,multistoried building,閣議,かくぎ,cabinet meeting,入閣,にゅうかく,joining the cabinet
闇,.,yami,"get dark, gloom, disorder",闇,やみ,darkness,無闇に,むやみに,thoughtlessly,暗闇,くらやみ,darkness,闇市,やみいち,black market,闇夜,やみよ,dark night
