Words,Words.1,Words.2,Words.3,Words.4,Words.5,Words.6,Words.7
はやい,かい,ふとる,びっくりする,おごる,える,おさえる,おる
たたく,みつかる,アイスクリーム,ちゃん,あれ,みえる,そう,しりあう
ようじ,サイエンス,かいしゃいん,しまる,さわる,いれる,あふれる,うちこむ
だす,たしかに,おんなのこ,だいとうりょう,つぎ,うける,すく,もちあげる
クラス,およぐ,いつでも,きょうしつ,フラッシュカード,つく,ひかる,はげます
バレエ,こんど,おふろにはいる,わあ,かなしい,ちがう,しょうする,ひそむ
みじかい,やさしい,タイムズ,ぶんかてきな,なおす,はじめる,うながす,つまむ
ははのひ,グッスリ,ごぞんじだ,しぜん,おしょうがつ,よぶ,こめる,かたまる
チェン,ろくがつ,カタログ,レノン,いただく,あげる,ぞんずる,おもいうかべる
テナント,おわり,つまらない,しょうがっこう,ステレオ,すぎる,かこむ,かしげる
かざん,よっつ,ひく,ロック,アパート,かんずる,ぬる,もりあがる
あおい,ブラスバンド,おちゃをいれる,さらいしゅう,ジャズ,つづける,ふせぐ,てんずる
Ｔシャツ,にほんりょうり,ひらがな,くだもの,バター,たべる,ろんずる,うちあける
ご,まいしゅう,ソフト,おねえさん,かきなおす,かかる,おさえる,くみあわせる
ノックする,ふたつめ,こうえん,ジャパン,しゅじん,かわる,そそぐ,もる
ほか,なかむら,うんどうする,テレビ,ちゅうごくじん,よむ,ひっぱる,まく
までに,さきに,ワシントン,かむ,フィラデルフィア,かう,きれる,きたえる
かわいい,やむ,だれ,おせんべい,そろばん,いきる,おちいる,とむ
のむ,はかる,さんがつ,した,おす,きる,かぞえる,ふせる
てんぷら,ご,シュミット,きんこ,もう,たつ,かくれる,みあたる
きんようび,てんき,きたない,こうえんする,がんばる,かえる,さく,のける
リン,さむい,ちゃんと,いろ,ラジオ,はなす,たかまる,なじむ
おちゃ,パスポート,じてんしゃ,まいばん,がっき,のむ,そなえる,せめる
さいようする,ひきうける,せいせき,いそがしい,あの,しめす,つくりだす,みのがす
くれる,きえる,よていひょう,はる,ノート,かんする,みいだす,うけつぐ
せんせい,ちょきんする,せわする,クレジットカード,きって,あたえる,うかべる,ひやす
せつやくする,まんなか,けっこうな,へんな,ドンドン,いただく,もうしあげる,ふりこむ
めずらしい,バー,かたち,せんしゅ,はる,もどる,よる,はれる
ダウンタウン,せ,ころす,はんこうする,そして,ひらく,あじわう,やくす
へん,ひるごはん,くすりや,ちかてつ,スケジュール,しぬ,しかる,いきのこる
しゅっせきする,しんぶん,グランドキャニオン,くび,そうじする,したがう,やめる,とがる
はい,それなのに,なかやま,おそい,でかける,やめる,ととのえる,かなう
つよい,でんわする,おさとう,くろい,そと,ねがう,ます,しりぞく
おとこ,スキー,チョコレート,たつ,あんぜんな,あるく,ふるえる,のぞむ
かお,アラスカ,もんだい,おとしだま,けいざいがく,まつ,かわる,うかびあがる
プログラム,クリスマス,もうすぐ,どうして,にほんじん,もとめる,たどる,にくむ
よしゅうする,めがねをかける,どの,つれていく,ミルク,みとめる,ためす,つよめる
あめ,あげる,ち,とる,ふうふ,あう,ふく,あまえる
ガールフレンド,まなぶ,たとえば,しんりがく,まける,つづく,このむ,しいる
たいしかん,だいじょうぶな,スカーフ,おしえる,ていねいな,むかう,おどる,ちる
いい,にんじん,にねんせい,ちゅうごくご,みがく,うまれる,まく,まげる
まえ,さくら,タクシー,すいようび,あかい,みせる,つむ,つかる
きこくする,やく,なな,だいがく,ばんごう,あたる,ふやす,しかける
スペインご,かう,あき,き,なさる,おわる,やせる,ひきかえす
ペレス,すいせんじょう,にる,テストする,カラオケ,のる,かざる,よこたわる
えいこくじん,サラダ,それから,あちら,みどりいろ,のこる,かう,みわたす
ドライブする,おっしゃる,けんかする,こどもたち,おばさん,のべる,そろう,ものがたる
たすかる,とにかく,エグザミナー,フランスじん,つかれる,ござる,かむ,くさる
わたしたち,すこし,しゅうかん,フランスご,なにご,たてる,たまる,こらえる
がくぶ,それでは,とくいな,かいものする,いらっしゃる,こたえる,はかる,たずさわる
だいく,しゅっぱつする,けしゴム,ホノルル,みち,はたらく,たよる,そなえる
せなか,ローン,ジミー,みっかめ,ぐらい,おくる,きらう,つきる
がっかりする,あんなに,シェークスピア,おんな,ケーキ,はじまる,なおる,むきあう
だいじな,コーラ,くすり,え,さびしい,ふくむ,さぐる,やしなう
ウォン,くに,ドル,とおり,ふまじめな,おこる,みちる,なげく
さいふ,しがつ,ポップコーン,Ｅメール,きのう,かかわる,うつる,こばむ
たのしむ,なおる,どうぶつ,りょかん,よごす,わすれる,ふむ,おさめる
まえに,しけんをうける,ごうかな,ここのつめ,かかる,すむ,つく,おもいがける
あした,ドイツじん,バス,むすこさん,ネクタイ,わらう,さわる,たつ
こうこうせい,だす,なんじ,やすだ,れきしてきな,なさる,あう,だきしめる
そぼろ,サインする,おかあさん,あんないする,マニュアル,かえる,たまる,すいこむ
へえ,いつかめ,ニール,すり,せつめいする,ひく,とまる,いためる
スカート,ちゅうがくせい,あげる,ひょうばん,たくさん,うる,まぜる,つぶれる
さら,うまれる,たつ,ほし,やっと,すすむ,とびだす,おいつく
でんきや,おてら,おちつく,うん,いつつ,わたる,うめる,さしこむ
あける,もの,そつぎょうしき,に,ニューヨーク,えらぶ,ほめる,ためらう
さしあげる,ある,しゅうりする,てら,ごきょうだい,はしる,おさめる,はきだす
ぶんがく,イギリス,うっかり,にがい,じかん,あらわれる,みあげる,ちかづける
スピーチする,はしる,いそぐ,シャンペン,しあわせな,すむ,さらす,かえる
かえる,ニュース,たんじょうび,おすし,こぼす,つたえる,はなつ,あてはまる
いらっしゃい,まつ,はいゆう,えん,デート,うごく,つとめる,なおる
ひ,このあいだ,なくす,おせんべつ,どうろ,きめる,とく,かたむく
いす,かがくしゃ,にほんじんてきな,ボーイフレンド,ふたり,すすめる,あびる,さえぎる
うれしい,ひくい,かいわ,おせいぼ,アドバイスする,きづく,なりたつ,あく
さっか,あさごはん,ひざ,こわれる,エッセー,えがく,ふく,もうける
ふる,ペア,きけんな,タホ,ちゅうかがい,おぼえる,ただよう,かする
ごかぞく,にほんまち,いつ,ぶちょう,ねる,うつ,くるしむ,われる
ちゅうとう,ひとりで,オートバイ,せいぶつがく,しゃしん,なす,おかす,ぶつける
ちかい,どこかに,きびしい,わらう,サボる,あける,きずく,みだれる
Ｊポップ,うつす,おもしろい,さん,おいしい,むける,むすびつく,ひねる
エルビス,テレビきょく,ピザ,さらいねん,おとうと,ころす,かわす,おもむく
ボート,トレーナー,すむ,せいじか,ワンピース,かたる,はんする,たくする
しお,れんらくする,どう,そこ,かく,しんずる,はなしあう,ふるまう
ほめる,おじいさん,マリーナ,べんごし,よぶ,あわせる,になう,みぬく
しんじゅく,ミッキーマウス,むし,ユニバーシティー,おりる,もちいる,みちびく,まじる
あさくさ,さらいげつ,かならず,うえ,きいろ,つれる,なくす,とざす
ひろい,らくな,じんじゃ,ふね,おちゅうげん,ことなる,ひきうける,こうずる
せんがっき,せき,もんく,あかちゃん,タンゴ,はなれる,つぐ,ふみこむ
たおれる,ど,いもうとさん,れんしゅうする,どようび,のこす,こわれる,ぬぐう
うた,イタリアりょうり,じゅう,シカゴ,おつり,さがす,ほうる,だいする
さいきん,おそうしき,かぞく,ビタミン,こども,いたる,しく,おいこむ
いちねんせい,いやな,なんぷん,おふろ,プレスリー,たつ,さしだす,とりまく
こちら,ベンチ,いためる,すごい,ごらんになる,にる,うけとめる,つきだす
とうきょうタワー,おかげさまで,ドイル,たべる,めぐすり,まもる,くだす,おどす
フライトアテンダント,ほしがでる,りょうし,あし,ひよう,こまる,こころみる,きせる
ダラス,こうこう,はん,パク,ていねいな,くわえる,のせる,くっつく
きらいな,ちゅうがっこう,ねんまえ,じ,なれる,しらべる,ふとる,あおぐ
おじさん,パイロット,ぜひ,ねぎ,たかい,しょうずる,きく,ちかう
ちがい,ソファー,せんたくき,りんご,かえす,おどろく,となえる,おびやかす
そる,かなり,インターネット,ゴルフ,きこえる,うしなう,つくる,ただす
かべ,こわす,まど,イヤリング,しょうがつ,あう,うかがう,いやす
ペン,ずっと,あるいて,ヒルマン,まだ,なくなる,ゆれる,いいきかせる
ラボ,にん,こむ,ワープロ,ばん,ふえる,あずける,くむ
さかな,みなさん,ろんぶん,えいご,すると,あがる,めくる,うちだす
きをつける,まいあさ,こしょうする,ホームステイする,たすける,おきる,とりもどす,くみこむ
せんもんがっこう,にゅうがくする,する,あいて,はじまる,すわる,ひきあげる,かんじとる
おきる,しんおおさか,ひまな,くろ,びょうき,きこえる,やくだつ,そらす
がっこう,いくら,チャイナタウン,ワイン,はな,おもいだす,はなしかける,あまる
むいかめ,さがる,しんせき,まつり,ハンドバッグ,ゆるす,いでる,ます
じゅぎょう,まご,ぼんさい,グループ,ふくざつな,おちる,もえる,なぐさめる
ふゆ,おそくまで,のど,べんきょうする,せんぱい,くりかえす,できあがる,ひっこす
ぶん,こめ,いしかわ,のみもの,ぜんぶ,まわる,とびこむ,かれる
きらう,ふろ,けれども,しょうたいする,やすみ,おこす,しぼる,きわめる
スクリーン,けんちくか,シンフォニー,かぶき,にほんご,つうずる,ぬぐ,ゆがむ
しゅうじ,おかし,ゲーム,きぶん,コース,きまる,はなす,ひえる
みずぎ,さくしゃ,ここのつ,びょういん,かぶる,ねる,はえる,もやす
めぐすりをさす,おまごさん,うたう,とどける,ゆきだるま,くらべる,ぬれる,からかう
きっさてん,てきとうな,しぬ,とうかめ,からい,かぎる,かえる,ひろまる
ダンスする,せんもんてきな,マイル,いいえ,いく,ふる,もちこむ,ふさぐ
きむら,よこはま,げいじゅつか,たのむ,はやい,あらわす,とりいれる,いいきる
よわい,しゃしんをとる,そうだんする,シャツ,あとで,とおす,こむ,かつぐ
それじゃ,ぼく,つたえる,とめる,カフェテリア,いたす,まがる,こらす
パソコン,おと,でる,ざんねんな,しけんにおちる,もとづく,いのる,こころえる
なんねんせい,よっつめ,カナダじん,じゅけんする,しらべる,きえる,なげる,かける
もくようび,ゆっくりする,とどく,かみ,なに,たずねる,かせぐ,ずれる
ボストン,くる,おじさん,よみもの,じゅうにがつ,みつける,おしつける,とまどう
ぜったいに,ならう,さんねんせい,ディズニー,タバコ,ふれる,むく,はずむ
わかい,アニメ,もつ,ふつかめ,すぐ,はらう,つる,つのる
ききとり,ダイエットする,ジム,ろく,ちゅうかん,あそぶ,くずれる,にぎりしめる
かんこくご,インタビューする,まんてん,アフリカ,にわ,たのむ,わく,つける
つける,あそぶ,い,いえ,なんか,がんばる,はずれる,あげる
よやくする,ほしがる,ひきにく,おす,おまつり,いだく,こだわる,たれる
クッキー,ひとつ,よねんせい,ぎゅうにく,たまに,たのしむ,かまえる,あれる
がた,はやかわ,やました,やくす,おめでとうございます,ながれる,かさなる,うまる
でも,ほしい,よる,こづつみ,おとうとさん,すてる,よごれる,ききとる
じょうし,はち,だいがくいんせい,あに,さめる,きる,ならう,にじむ
まちがい,だんだん,ぎんざ,スニーカー,ふん,むかえる,あずかる,もよおす
かたい,かいしゃ,しつれいな,あきはばら,とくに,とれる,ひきおこす,つぶる
かしゅ,おめざめになる,はかいする,ゆどうふ,ごはん,おす,ひかえる,ふする
ちゅうもんする,うちゅうひこうし,おはなみ,せいじてきな,あとで,こえる,おいかける,きりはなす
えいが,うち,なのかめ,ゆっくり,はながでる,ならぶ,なめる,おいつめる
らいしゅう,ちゃわん,にもつ,テープ,ヨセミテ,さだめる,やぶる,きする
ゴクンと,ひとびと,はんぶん,ソン,びじゅつかん,まなぶ,なぐる,もちかえる
こむぎこ,わるい,おおい,はたらく,さく,うなずく,はじく,うつす
は,しゅうがくりょこう,とおやま,とお,やりかた,とおる,てつだう,ひめる
おい,ちゅういする,あなた,これから,ふゆやすみ,はこぶ,およぼす,しめる
ホチキス,くわしい,ぶんか,オーストラリア,おはし,ともなう,ひろう,たとえる
じつは,はじめる,ところ,かさ,あるく,ひろがる,だます,かえる
バーベキュー,よふかしする,おんがく,あつい,きる,つきあう,おもいきる,ひきつける
ひとばんじゅう,ウィルソン,はげます,コート,しんせつな,なく,ひきだす,まとう
おさら,めしあがる,さんかする,コンピュータープログラマー,ていしゅつする,すすめる,さす,のぼる
みみ,だい,みんな,まずい,たす,つながる,えんずる,あやつる
がいこく,へや,ふたつ,いまでも,おさしみ,あげる,のがれる,すくめる
やまだ,ひる,はこぶ,その,あね,とらえる,にる,もむ
ふべんな,ハンバーガー,たのしみにする,テニス,ただ,みつめる,そろえる,さからう
べんりな,あさって,まず,ごちそうする,わるぐち,よろこぶ,こなす,さく
けいざいてきな,みえる,おじ,しょうせつか,ねむい,さける,つきこむ,はりつける
にほんが,しっぱいする,うしろ,から,もっと,おうずる,ほほえむ,おさまる
かいぎ,せんたくする,やる,ちょっと,たぶん,とどく,かける,ごまかす
らくに,あく,くしゃみする,かわいそうな,ちょきんばこ,ちかづく,さす,かなう
しゅうかん,せいぼ,ひがしアジア,つかいかた,グアム,あつまる,おもいこむ,とおりすぎる
あまい,とぶ,かない,ひこうき,おおきい,いらっしゃる,とどける,さしあげる
やすかわ,どのぐらい,ボーッとする,アトランタ,どれ,でかける,さいする,そまる
もういちど,まじめな,すう,いちがつ,つもり,ながめる,へらす,はげむ
すもう,こまる,と,にがつ,いつも,はる,せおう,もうしこむ
のり,おまわりさん,スーツ,りゅうがくする,ふるさと,ふくめる,おりる,ちかよる
だれも,げんかん,デザート,まいとし,どうぞ,めざす,する,そこなう
いかが,あやまる,さがす,おおやさん,ひだり,あいする,もぐる,あこがれる
ハート,きょうかしょ,なつ,カレーライス,ビール,かくす,ゆずる,へだてる
チーム,ふる,リンカーン,カメラ,かた,あつめる,もらす,したしむ
こうつう,オフィスアワー,いしゃ,す,アーティスト,くう,およぐ,もうかる
サービスする,じょうずな,さとう,うるさい,ななつ,とぶ,まちがえる,まう
ルームメート,ほんばこ,ビデオゲーム,たまねぎ,いっしょうけんめい,もたらす,ぶつかる,ほえる
はし,おぼえる,ほんや,さつ,しょうゆ,さけぶ,うく,しかめる
とる,こうぎする,ウェブ,ハンサムな,がいこくじん,にげる,あやまる,そうろう
せん,さしみ,スミス,もちろん,てつだう,ぬく,おもいつく,さまたげる
めをさます,さいしょ,いう,そう,ホテル,おとす,しずむ,たちよる
ターキー,げんき,ひるねする,どろぼう,とけい,くらす,もれる,きたる
ニューオリンズ,にちようび,たのしい,りょう,クラシック,おりる,すべる,ならう
ひがしやま,ごりょうしん,えいがかん,きをつける,らいがっき,はたす,わる,やぶれる
やさい,はるやすみ,セール,けいたいでんわ,つきあたり,しるす,はいりこむ,きりだす
まにあう,スパゲティ,そら,なにか,すうがく,うむ,くばる,うらむ
おくりもの,いちねんじゅう,レストラン,すくない,みず,とう,なく,うなる
まさこ,あかるい,ふるい,むりやり,このは,とまる,かる,あおる
きく,いぬごや,おだいば,こと,ピアノ,つかむ,つぐ,ぬけだす
おおぜい,ハワイ,かなざわ,あう,パートナー,かえす,こもる,おしこむ
おねがいする,どこにも,デパート,ちから,キャンパス,すごす,さわぐ,よそおう
めい,コンピューターショップ,じゅんばん,たたみ,かびん,おう,きざむ,こしかける
ブラウス,やる,おかねをおろす,かた,かたづける,あつかう,とどめる,ひたる
めんせつする,ですから,がつ,しけん,てつやする,ねむる,ぬすむ,ひきよせる
むかし,ゆき,ほう,なぜ,じょうだん,およぶ,つめる,といあわせる
てくび,しょうたいじょう,ボタン,はらう,ください,おこる,ふくらむ,ふりまわす
エネルギー,バークレー,あおき,つくえ,つく,ようする,たどりつく,さます
ドイツご,かど,スーツケース,メキシコじん,パスタ,むすぶ,ほどこす,すむ
セント,コロンブス,イベント,げんじものがたり,こたえ,はかる,のみこむ,きかえる
おこす,しょうかいする,かんがえかた,ところで,がいこくご,うたう,おびる,せいする
あがる,きょうだい,スープ,おきゃくさん,モーツアルト,のせる,つくりあげる,みしる
ぜんぜん,すきやき,こする,なつやすみ,おととい,もうす,てらす,かいする
とり,ジョギングする,ぷん,デトロイト,ねつ,ささえる,なのる,おきかえる
みかん,ふるかわ,アメリカじん,トラック,しんごう,だまる,なづける,くらう
えんそうする,おくさん,けいさつ,おととし,ふくしゅうする,うけとる,みがく,とじこめる
こと,おべんとう,いち,らいねん,ハムレット,かかえる,かいする,つかまえる
ソックス,クラブ,とうちゃくする,しち,げんごがく,たたく,そえる,ほうずる
ぎんこう,ゆずる,さい,もし,いえだ,わたす,みまもる,たす
ステーキ,だいすきな,じしょ,かがく,じ,そだてる,つとめる,おきあがる
パンフレット,じょゆう,すく,テーブル,オークランド,かりる,たすかる,おしむ
しゅうりや,てがみ,ふじさん,じゅんびする,あしくび,うけいれる,めぐまれる,とりかかる
やくそくする,ホール,かさをさす,ばつ,なくなる,うごかす,みまわす,くれる
ちかく,ショッピングセンター,ちちのひ,そうりつする,こ,わける,ひきずる,まじえる
あらう,とうふ,プラン,くさ,じゅういちがつ,たちあがる,ひきいる,かける
ばんごはん,つかう,マネージャー,ヒーター,あまり,おとずれる,あらためる,おこたる
よぶ,ことわる,あと,しょくじする,シャワーをあびる,あてる,どなる,かぐ
だめな,おみやげ,せんせんしゅう,ドア,はなす,めぐる,ならす,とりかこむ
きょねん,ペロっと,かしだす,いもうと,おいしゃさん,やく,こわす,おとろえる
ちち,ペラペラ,リムジン,おこさん,てんちょう,のばす,きずつける,しあげる
れいぞうこ,かく,ひっこす,コンピューター,まち,であう,まきこむ,ほろぼす
でる,えらぶ,ねぶそく,おば,つき,たすける,のりこむ,でむく
できる,こんげつ,しゅくだい,こんや,えき,のぞむ,つぶす,よこす
ようし,チーズ,マッキントッシュ,ちゅうげん,かぎをかける,かよう,ふるう,つみあげる
ラブレター,プリンター,とまる,くち,ふあんな,みつかる,ささやく,やぶれる
もり,かね,となり,はんたいする,クラッカー,のぼる,しかり,ほろびる
あお,うかる,ゆびわ,きょう,バスケットボール,なくなる,かたむける,たくわえる
もんくをいう,スポーツ,まえだ,おくれる,ぶんぽう,おちつく,つけくわえる,ぬう
つなげる,きょうし,この,スピーカー,ショートパンツ,まとめる,よみがえる,はめる
ぼうし,けっか,て,ホームズ,いたい,ぬける,みはる,かんがえこむ
たてもの,おや,さそう,かぜぐすり,ようふく,とりあげる,ゆびさす,ゆるめる
わたす,たまる,ベランダ,も,コンサート,かまう,さかのぼる,おいだす
かんせいする,のうぎょうけいえいしゃ,はつめいか,いちにちめ,やわらかい,たたかう,かわく,よす
そんなに,すてきな,はずかしい,とりにく,きまつしけん,たっする,たる,みわける
つえ,とても,ジョーンズ,おもち,はは,なやむ,たおす,ふみだす
てんらんかい,ジャーナリスト,キム,いし,みぎ,あらう,もちだす,といかける
しつもんする,みどり,はずす,ディズニーランド,せいじ,つかれる,ひきとる,おくりだす
しゅふ,けんどう,じゃあ,きもの,ストレス,つく,くるう,さきだつ
じゅうどう,ビル,はなみ,めざましどけい,いつか,しゃべる,つかえる,たちさる
どういう,ふむ,つくりかた,スパイ,にほん,なれる,からむ,たてまつる
にく,こんがっき,あか,ビデオ,カナダ,ながす,かためる,ふきだす
まいねん,なんにん,マイク,ごご,つめたい,にぎる,いたむ,よごす
かんじ,マイアミ,すきな,けっこんする,いじわるな,へる,ふまえる,とける
ねぼうする,スポーツせんしゅ,むらやま,むっつめ,オーバー,さげる,ふりむく,とりけす
ちいさい,こし,みっつめ,どこ,しながわ,しめる,かかる,ひきつづく
かゆい,サングラス,でんき,とんかつ,なつめ,すぐれる,はてる,もうしでる
これ,しごとする,や,そぼ,ぜいきん,つつむ,たく,みきわめる
だれか,かいてんする,いけん,ほんとうに,ここのかめ,はく,のぞきこむ,みあわせる
まいつき,せんもん,だいぶつ,ルイス,わたし,けす,しみる,しらす
ギター,たいおんけい,のりまき,ひやす,えいかいわ,のぞく,かかす,すする
ちず,はでな,つく,それで,スケッチする,かつ,うたう,にらみつける
ミラー,おこめ,ゆうがた,よむ,よく,うかぶ,つらぬく,ついやす
ざっし,ジーンズ,けんがくする,しる,いちばん,さる,あきる,むかいあう
べんごし,ちゅうごく,あきち,どなたも,じゃがいも,まわす,よう,つよまる
あたる,さっき,ねむる,けす,たいへんな,のぞく,さす,ゆがめる
そこ,パジャマ,なん,りょこうする,ブラウン,そだつ,よみとる,ていする
へたな,げつようび,そちら,いじょう,きめる,おえる,とりこむ,いどむ
ブーツ,ごがつ,あんしんする,いっしょに,コーヒー,はずす,しめる,ころぶ
いれる,みずうみ,くださる,ぬぐ,サンディエゴ,つぶやく,ける,おそわる
かきかた,ひどい,くうこう,かんごし,にんき,むく,さとる,しがみつく
おしえる,のる,そつぎょうする,それ,ハンドアウト,まける,おくる,なげだす
かいけいし,うんてんする,とうぜん,うなぎ,やま,いる,やとう,めす
なにも,コピーする,じゅく,もち,おみせ,おそれる,くわえる,もじる
すいえいする,カタカナ,プレゼントする,へんじする,ライトきょうだい,なおす,のりだす,とりつく
りっぱな,しかる,かつ,じしょをひく,へいてんする,もうける,よびかける,とおざかる
ひっこしする,しんかんせん,ひろしま,がくせい,さんにん,しはらう,いとなむ,つきつける
おどる,できる,セーター,へび,つれてくる,せまる,きずつく,またがる
ごはんをたく,ことば,やすい,ズボン,まっすぐな,へる,とける,つらなる
からだ,けっこんしき,メンフィス,ゆうびんきょく,おばあさん,ふりかえる,かけつける,うつむく
ここ,おとな,しずかな,よく,すっぱい,ことわる,かたづける,こおる
ひとつめ,ハイヒール,どなた,れきし,ひく,さそう,おさまる,てわたす
ウェイター,おんがくかい,すわる,モニター,みる,こえる,さっする,かなしむ
ばしょ,かわもと,インストールする,しゅうしょくする,ビートルズ,とりだす,あやまる,ゆるむ
まるい,もんげん,め,ううん,ヨーロッパ,いそぐ,にらむ,おろす
おかね,べんとう,きもち,あさ,おしゃべりする,あわてる,ととのう,くみたてる
ちこくする,むずかしい,らいげつ,なら,いま,うったえる,あゆむ,よい
ひゃく,ごかいする,アメリカ,はなし,ピクニック,めいずる,うえる,まるめる
ヌエン,はなび,てつだい,うえき,とおい,ゆうする,はう,たちのぼる
だいがくせい,かげつ,たからもの,せんしゅう,きせつ,わかれる,あらそう,ねる
たなか,シェフ,おせわになる,かぎ,どんな,つたわる,いいかえる,みこむ
ごぜん,しゃちょう,たんてい,ホストファミリー,かえる,まいる,かく,うすれる
ばか,か,あたらしい,きっさてん,もらう,つくす,あせる,よこぎる
みせる,かぜをひく,いれる,プロジェクト,あそこ,うつる,けずる,つかまる
いいわけ,クラブ,こたえる,きんじょ,たんい,つげる,ゆでる,いわう
デンバー,ワトソン,なおる,いる,みっつ,おっしゃる,すえる,うけつける
ようかん,デジタルカメラ,もっていく,いみ,さけ,つまる,しばる,きわだつ
むす,ほんだ,まいにち,エイミー,セクハラ,おろす,むすびつける,こぼす
かおいろ,たんけんか,カーテン,どなたか,うっかりする,ひろげる,ほこる,かぶせる
くがつ,ピーシー,かようび,とまる,さいご,まかせる,ささげる,みうける
ちゅう,あたま,しぶや,とうきょう,わかる,かく,ほる,はなす
こわい,やっつめ,から,はじめ,りゅうがくせい,もどす,まつる,みまう
せき,おなか,きっと,ならいごと,こうすい,やすむ,しめる,きょうする
ごしゅじん,かみ,えいぶんがく,おしお,かぜ,おくれる,うらぎる,あかす
する,パーティー,にゅうしゃする,ごろ,しめきり,かさねる,とりつける,くもる
あきやま,てぶくろ,こうばん,たんご,タイプ,たりる,たちどまる,いじる
さけ,けんぶつする,など,おおどおり,まだ,みなす,とげる,くるしめる
にっけい,おきゃくさま,ひ,スーパー,やっつ,まちがう,にげだす,つかまえる
えさ,おわる,かす,じかん,ラップトップ,とじる,あたためる,おくりこむ
おてあらい,はかた,シアトル,プリン,チーズケーキ,たもつ,きかす,あばれる
こうつうじこ,スピーチコンテスト,おにいさん,ながい,ちゅうかりょうり,すう,みおろす,さだまる
ことし,バレンタインデー,おさけ,ぶつりがく,かりだす,あきらめる,まにあう,おもんずる
なんがつ,オフィス,にほんしゅ,しかくい,かりる,たえる,とばす,こう
ふうとう,はな,でんしゃ,かえる,ミネアポリス,たずねる,のりこえる,つかまる
こやま,キャンプする,しろい,じゅうがつ,おばさん,いかす,かきこむ,あむ
ヤング,ロシアご,せんべつ,しょうせつ,く,さがる,おびえる,おしよせる
すずしい,そうしき,じゅうしょ,ウィスキー,しょうじ,たしかめる,いじめる,とりかえる
にぎやかな,いつつめ,おいごさん,メモする,かに,なる,みおくる,たらす
てんきよほう,せんせんげつ,ブルース,せまい,げんきな,めだつ,にあう,つかう
ひと,りれきしょ,れい,はく,ごせんもん,かかげる,あきれる,とかす
ワイシャツ,パン,かわ,ボールペン,つくる,うつす,やける,もぐりこむ
おうぼする,ロサンゼルス,しめる,おこる,おちゃ,ならべる,ひっかかる,よわる
スイッチ,じゅう,てんいん,はい,ちがう,たかめる,なおす,おどろかす
ほん,なんようび,ボール,おえる,かんたんな,うばう,たつ,しのぐ
