Words,Reading,Meaning,S1,T1
怪しい,あやしい,suspicious,二階で怪しい物音がした。,There was a suspicious noise upstairs.
煩い,うるさい,"noisy, loud",うるさそうに子供を追い払った。,He noisily shooed the child away.
不味い,まずい,bad (taste),今行動に出てはまずい。,It is not a good idea to take action now.
温かい,あたたかい,warm,温かいシャワーでプロシージャが終了します。,The procedure ends with a warm shower.
汚い,きたない,dirty,その子は汚い食べ方をするのでよく叱られる。,The child is often scolded for his dirty eating habits.
素早い,すばやい,"quick, swift",このアプライアンスは素早いシステム導入を可能にし。,This appliance allows for quick system deployment.
望ましい,のぞましい,desirable,週に二度のレッスンを受けることが望ましい。,It is advisable to take lessons twice a week.
危ない,あぶない,dangerous,この川で泳ぐのは危ないよ。,It's not safe to swim in this river.
悔しい,くやしい,"annoying, frustrating, disappointing",それを実行する勇気がないのがわれながら悔しい。,It is frustrating to me that I don't have the courage to do so.
柔らかい,やわらかい,"soft, tender",家具は柔らかい色が好きだ。,I like soft colors for furniture.
等しい,ひとしい,"equal, identical",この２本の線は長さが等しい。,These two lines are equal in length.
大人しい,おとなしい,obedient,この猫は随分おとなしいね。,This cat is really well-behaved.
暖かい,あたたかい,"warm, mild",今年の冬は例年に比べて暖かい。,This winter is warmer than usual.
堅い,かたい,"hard, solid",彼女は堅いいすに座った。,She sat in a hard chair.
めでたい,めでたい,"auspicious, happy",めでたい結末でなによりだ。,It's a happy ending.
軟らかい,やわらかい,"soft, tender",軟らかい組織に適しています。,Suitable for soft tissue.
浅い,あさい,shallow,浅いところを渡ろう。,Let's cross the shallow end.
凄まじい,すさまじい,fierce,それはすさまじい事故だった。,It was a tremendous accident.
黄色い,きいろい,yellow,黄色い声を上げて応援する。,Raise your yellow voice and cheer.
情けない,なさけない,miserable,家は情けないほど荒れ果てている。,The house is in a pitiful state of disrepair.
手堅い,てがたい,"steady, solid",実業家として手堅く地歩を築いた。,"As a businessman, he built a solid foundation."
疑わしい,うたがわしい,"doubtful, questionable, uncertain",この方法が役立つかどうかは疑わしい。,It is doubtful that this approach will help.
幅広い,はばひろい,"extensive, wide, broad",彼は幅広い経験を積んでいる人だ。,He is someone with a wide range of experience.
輝かしい,かがやかしい,"brilliant, glorious, glittering, bright, splendid",彼女には輝かしい将来がある。,She has a bright future ahead of her.
生々しい,なまなましい,"lively, green, fresh, raw, vivid, graphic",その交通事故は彼の記憶に生々しい。,That car accident is fresh in his memory.
危うい,あやうい,"dangerous, risky, hazardous, perilous",橋の安全性が危うい状況になった。,The safety of the bridge was in jeopardy.
乏しい,とぼしい,"scarce, limited, destitute, lacking",この国は天然資源に乏しい。,The country lacks natural resources.
しつこい,しつこい,"insistent, tenacious, persistent, too rich, fatty, heavy",ここにしつこい痛みがあります。,There is a persistent pain here.
羨ましい,うらやましい,"envious, jealous",私はあなたの美しいのがうらやましい。,I envy your beauty.
空しい,むなしい,"empty, void, vacant, fruitless, futile, ineffective",それは空しい希望でした。,It was an empty hope.
でかい,でかい,"huge, big, gargantuan",あのでかい建物は何ですか,What is that big building?
涼しい,すずしい,"cool, refreshing, clear",それは涼しい所に保存しなさい。,Keep it in a cool place.
力強い,ちからづよい,"powerful, strong, vigorous, reassuring",力強い歌詞の美しいバラードよ。,It's a beautiful ballad with powerful lyrics.
淡い,あわい,"light, faint, pale, fleeting",全体を淡い色彩で描かれている。,The entire work is painted in light colors.
幅広い,はばひろい,"extensive, wide, broad",彼は幅広い経験を積んでいる人だ。,He is someone with a wide range of experience.
荒い,あらい,"rough, rude, wild",彼は荒い息遣いをしている。,He is breathing rough.
賢い,かしこい,"wise, clever, smart",彼女はなかなか賢い少女です。,She is quite a clever girl.
易しい,やさしい,"easy, plain, simple",それは何と易しい問題なのでしょう。,What an easy problem that is.
詰らない,つまらない,"dull, uninteresting, boring, insignificant",仕事は退屈でつまらないです。,Work is tedious and boring.
涼しい,すずしい,"cool, refreshing",もっと涼しい日に行くべきだったね。,Should have gone on a cooler day.
苦い,にがい,bitter,恋の味は苦いと言われている。,It is said that love tastes bitter.
眠い,ねむい,"sleepy, drowsy",なんでこんなに眠いんだろう。,Why am I so sleepy?
堪らない,たまらない,"intolerable, unbearable, irresistible",娘たちはおかしくてたまらなかった。,It was so funny that the girls couldn't help giggling.
臭い,くさい,"stinking, smelly",何かこの辺り臭いんだけど。,Something stinks around here.
とんでも無い,とんでもない,"unthinkable, unexpected, absurd, absolutely not, far from",彼は天才なんてとんでもない。,He is far from a genius.
粗い,あらい,"coarse, rough",きめの粗い材質がその子の柔らかい肌を傷つけた。,The coarse material damaged the child's soft skin.
違いない,ちがいない,"sure, no mistaking it, for certain",彼の話は本当に違いない。,His story must be true.
上手い,うまい,skillful,彼女はテニスがとてもうまい。,She is a very good tennis player.
薄暗い,うすぐらい,"dim, gloomy",薄暗い明かりで本を読んではいけない。,Do not read a book in dim light.
酸っぱい,すっぱい,"sour, acid",あのブドウは酸っぱいよ。,Those grapes are sour.
騒がしい,さわがしい,"noisy, boisterous, turbulent",こんな騒がしい部屋では話が続けられない。,I can't continue talking in such a noisy room.
喧しい,やかましい,"noisy, boisterous, faultfinding, fussy",食事中はやかましい音を立ててはいけません。,Do not make noisy noises while eating.
醜い,みにくい,"ugly, unattractive",彼女は醜いドレスを着ていました。,She wore an ugly dress.
思いがけない,おもいがけない,"unexpected, by chance, casual",注意深かったのに彼は思いがけない間違いをした。,"For all his caution, he made an unexpected mistake."
鈍い,にぶい,"dull, blunt, thickheaded",鈍い瞬間は決してないでしょう。,There will never be a dull moment.
厚かましい,あつかましい,"impudent, shameless, brazen",私たちはこれからの厚かましい要求に屈してはならない。,We must not give in to the thickening demands of the future.
恋しい,こいしい,"yearned for, longed for, missed",君がすごく恋しいんだ。,I miss you so much.
済まない,すまない,"inexcusable, unjustifiable, sorry",あんなことをして本当にすまない。,I'm so sorry for what I did.
図々しい,ずうずうしい,"impudent, shameless",あいつは図々しい奴だ。,That guy is a brazen bastard.
蒸し暑い,むしあつい,"humid, sultry",春にしては少し蒸し暑い日だった。,The day was a little hot and humid for spring.
険しい,けわしい,"precipitous, rugged, inaccessible, steep, severe",私たちは険しい坂を登った。,We climbed a steep hill.
下らない,くだらない,"stupid, trivial, worthless",これまでで一番下らない質問だ。,This is the most lame question ever.
痒い,かゆい,"itchy, itching",体中がかゆいんです。,I itch all over my body.
勿体ない,もったいない,"wasteful, unworthy of, impious, too good",この土地を遊ばせておくのはもったいない。,It would be a waste to let this land sit idle.
塩辛い,しおからい,salty,この水は少し塩辛い。,This water is a little salty.
眩しい,まぶしい,"dazzling, radiant",まぶしい光に目がくらんだ。,I was blinded by the dazzling light.
面倒くさい,めんどくさい,"bothersome, tiresome",そこまで歩いて行くのはめんどうくさい。,It is a hassle to walk there.
諄い,くどい,"repetitious, long-winded, heavy",彼の話はいつもくどい。,He always talks tediously.
清い,きよい,"clear, pure, noble",彼らの愛情は清いものだ。,Their love is pure.
勇ましい,いさましい,"brave, valiant, gallant, vigorous",やってる事はとても勇ましい。,What you are doing is very brave.
憎らしい,にくらしい,"odious, hateful",彼女の才能は憎らしいほどだ。,Her talent is loathsome.
頼もしい,たのもしい,"reliable, trustworthy, hopeful",彼は頼もしい男だ。,He's a dependable guy.
薄暗い,うすぐらい,,,
心地良い,ここちよい,,,
さり気無い,さりげない,,,
鈍い,にぶい,,,
好ましい,このましい,,,
快い,こころよい,,,
逞しい,たくましい,,,
眠い,ねむい,,,
やばい,やばい,,,
醜い,みにくい,,,
痒い,かゆい,,,
惜しい,おしい,,,
限り無い,かぎりない,,,
眩しい,まぶしい,,,
細長い,ほそながい,,,
慌ただしい,あわただしい,,,
緩い,ゆるい,,,
可愛らしい,かわいらしい,,,
険しい,けわしい,,,
苦い,にがい,,,
尊い,とうとい,,,
悪しい,あしい,,,
切ない,せつない,,,
青白い,あおじろい,,,
夥しい,おびただしい,,,
分厚い,ぶあつい,,,
馬鹿馬鹿しい,ばかばかしい,,,
しんどい,しんどい,,,
甚だしい,はなはだしい,,,
止む無い,やむない,,,
息苦しい,いきぐるしい,,,
狡い,ずるい,,,
心細い,こころぼそい,,,
奥深い,おくふかい,,,
ややこしい,ややこしい,,,
頼り無い,たよりない,,,
儚い,はかない,,,
素っ気ない,そっけない,,,
根強い,ねづよい,,,
うざい,うざい,,,
脆い,もろい,,,
嫌らしい,いやらしい,,,
気まずい,きまずい,,,
程遠い,ほどとおい,,,
疑わしい,うたがわしい,,,
容易い,たやすい,,,
四角い,しかくい,,,
渋い,しぶい,,,
愛しい,いとしい,,,
腹立たしい,はらだたしい,,,
弱々しい,よわよわしい,,,
鬱陶しい,うっとうしい,,,
潔い,いさぎよい,,,
目覚ましい,めざましい,,,
荒々しい,あらあらしい,,,
誇らしい,ほこらしい,,,
みっともない,みっともない,,,
喧しい,やかましい,,,
甲高い,かんだかい,,,
煩わしい,わずらわしい,,,
頼もしい,たのもしい,,,
卑しい,いやしい,,,
だらし無い,だらしない,,,
怠い,だるい,,,
手早い,てばやい,,,
ぎこちない,ぎこちない,,,
訝しい,いぶかしい,,,
重苦しい,おもくるしい,,,
重たい,おもたい,,,
憎い,にくい,,,
若々しい,わかわかしい,,,
騒がしい,さわがしい,,,
覚束無い,おぼつかない,,,
恋しい,こいしい,,,
呆気ない,あっけない,,,
名高い,なだかい,,,
酸っぱい,すっぱい,,,
もどかしい,もどかしい,,,
清々しい,すがすがしい,,,
