Sentences,Translation
彼とレストランへ行った。,I went to a restaurant with my boyfriend.
来週京都へ行きます。,I will go to Kyoto next week.
彼が行くなら、私も行きます。,"If he is going, I will go too."
東京駅で彼女に会った。,I met her at Tokyo station.
雨が降っている。,It’s raining.
彼は独身です。,He is single.
日本で使われている通貨は円です。,The currency used in Japan is yen.
太郎という男の子を知っていますか。,Do you know a boy called Taro?
今年はいろいろな事があった。,All kinds of things happened this year.
あの人は、えー、ちょっと名前が思い出せません。 ,"That person, uh, I can't remember his name for a moment. "
はっきり言うと、あなたの言っていることは無意味です。 ,"Frankly speaking, you are talking nonsense."
どうしたんですか。, What’s the matter?
あの、ちょっとお聞きしたいんですが、バス乗り場はどこですか。,"Excuse me, could you tell me where the bus stop is?"
仕事をしなければなりません。,I have to do my work.
まー、なんて素晴らしいんでしょう。,Wow! That’s amazing!
彼が言ったのは本当だ。,What he said is true.
彼の報告書は問題がある。,His report has some problems.
いい天気ですね。,"It’s a nice day, isn’t it?"
彼は朝ごはんを食べない。,He doesn’t have breakfast.
彼は金持ちになるでしょう。,He will become rich.
コーヒーか紅茶はいかがですか。,Would you like some coffee or tea?
そのカバンを取ってくれませんか。,Can you pass me that bag?
このアパートはあまり良くないけれど安い。,"This apartment is cheap, though it’s not so nice."
ここからその店までは遠い。,The shop is a long way from here.
一緒に映画を見よう。,Let's watch a movie together.
私はそう思いません。,I don’t think so.
で、あの話はどうなりましたか。,So what happened about the story you mentioned?
誰か来たようだ。,It seems that someone has come.
いい天気だが、風が冷たい。,It’s a sunny day but the wind is chilly.
七時にテーブルを予約したいのですが。,I would like to reserve a table at 7:00 pm.
二人用のテーブルをお願いします。,I would like a table for two please.
予約しました。,Reservation made.
予約していません。,I have no reservation.
レストランは何時からオープンですか。,What time does the restaurant open?
レストランは何時までですか。,What are the hours of the restaurant?
 ご予約ですか。,Do you have a reservation?
喫煙席と禁煙席、どちらになさいますか。,Do you prefer smoking or non-smoking seats?
喫煙席をお願いします。,Smoking seats please.
禁煙席をお願いします。,Non-smoking seats please.
このテーブルは予約済みです。,This table is reserved.
１５分お待ちいただくとテーブルが空きます。,Please wait 15 minutes and a table will be available.
お待ちになりますか。,Would you like to wait?
テーブルが空くまで待ちたいのですが。,I would like to wait until a table is available.
長く待ちますか。,Do you want to wait longer?
この席 、空いてますか。,Is this seat taken?
ここに座わってもいいですか。,May I sit here?
あそこに座わってもいいですか。,May I sit over there?
窓ぎわに座わってもいいですか。,May I sit by the window?
子供用の椅子がありますか。,Is there a chair for children?
椅子もう一個ありますか。,Do you have another chair?
すみませんが 、このびんを暖めてくれますか。,"Excuse me, can you please warm up this bottle?"
熱過ぎないようにお願いします。,"Not too hot, please."
ベビールームありますか。,Is there a baby room available?
トイレはどこですか。,Where is the restroom?
