Concept,Information
Response,How to respond if some is calling your attention.
Start a conversation,How to initiate a conversation.
Ending a conversation,How to end a conversation.
Topic introduction,How to introduce a topic.
Topic change,How to change a topic.
Opening remarks,How to make opening remarks.
Sequence,How to establishing a sequence.
Examples,How to cite examples
Summarize,How to summarise and conclude a statement.
End a presentation,How to end a presentation
,
Level of Encapsulation,.
Low level encapsulation,Utilize memorization techniques and low level learning techniques such as remembering and understanding.
High level encapsulation,"Utilize learning techniques such as applying, analyzing, evaluating and creating."
,
Scanning,.
Quickly running over,Quickly running one’s eyes over a text to take a glimpse of what you are about to read.
Identifying the topic ,I identify the topic to have gist of what is being talk about.
Contextual guessing,Using context to determine the meanings of unknown words.
Extracting specific information,Extracting specific and most important information for quick and factual understanding.
,
Skimming,.
Extended sentential unit,Have a good understanding about Noun phrases as it is one of the key elements in learning Japanese.
Identifying keywords ,"Identify the keywords by visual cues or by answering the question-words: when, where, who, what, why, and how."
Sequence of events,Pin point the order and sequence of event as it a key component of reading comprehension.
Factness of events,Determine that the event happened or not and usually answerable by true or false questions. 
Contextual guessing,Predicting the content as you read can increase you reading speed and comprehension skills.
Getting the gist,"Determine the topic, general ideas of the text and gist or main point of the topic."
,
Verb,
Verb ,Conjugations. Helpers. Auxiliaries.Etc.
,
Situations,
Words,Words used in a given situations.
Expressions,Expressions used in a given situations.
Grammar,Grammars used in a given situation.
,
Communications,
Communication,Communicative skills.
,
Learning Techniques,.
Remembering,"Recall facts and basic concept. Define, duplicate, list, memorize, repeat, state."
Understanding,"Explain ideas or concept. Classify, describe, discuss, explain, identify, locate, recognize, report, select, translate."
Applying,"Use information in new situation. Execute, implement, solve, use, demonstrate, interpret, operate, schedule, sketch."
Analyzing,"Draw connections among ideas. Differentiate, organize, relate, compare, contrast, distinguish, examine, experiment, question."
Evaluating,"Justify a stand or decision. Appraise, argue, defend, judge, select, support, value, critique, weigh."
Creating,"Produce new or original work. Design, assemble, construct, conjecture, develop, formulate."
,
Memories,.
Unconscious and Emotional memory,Stored in amygdala.
Spatial memory,Stored in hippocampus. Parietal lobe.
Procedural memory,Stored in putamen. Learned skills and procedures
Episodic memory,Stored in cortex. Memories of personal and life events
Semantic memory,Stored in temporal lobe. Learned facts and details
,
Memory concept,.
Memory Formation,Memories are formed by electrical signals making connections between nerve cells so that they form a network.
Recall,A measure of memory in which the person must retrieve information learned earlier. 
Recognition,A measure of memory in which the person need only identify items previously learned.
Rehearsal,Review or relearning previously learned information.
,
Types of memories,
Sensory memory,Memory from our senses. Last for a few secs.
Short term memory,Prefrontal cortex. Lost after around 20 secs. Limited capacity.
Long term memory,Often activated nerve cell network creates a long term memory. Lasts for months or several number of years.
,
Encoding,.
Visual encoding,Perceiving visual objects. Encode visual information.
Acoustic encoding,Hearing sounds. Encoding audio information.
Tactile encoding,Encoding information perceive through sense of touch.
Kinesthetic encoding,Joint and muscle sensor. Receptors in the joints detect their movement. Muscles sensors detects the stretching and contracting of muscles as well as the forces that are acting on it.
Other Sensory encoding,Smelling scents. Tasting flavors. Olfactory receptors detects scent. Olfactory bulb gathers scent signals and passes them to the brain. Taste buds detect the taste.
Semantic encoding,Encoding sensory input that has a particular meaning or context. Facts and details.
Complex encoding,Combinations of encoding techniques.
,
Processing,.
Shallow processing,"Encoding information on basic level. Auditory or visual level. Based on the sound, structure or appearance of a word + low level encapsulation."
Deep processing,Encodes semantically based on the actual meaning of the word or combination of encoding techniques + high level encapsulation.
,
Memorization techniques,.
Mnemonics,"Memory aids. Use vivid imagery and organizational devices. Acronym, rhymes, musical, acrostics, imagery."
Chunking,Organizing items into familiar manageable units.
Trip method,Shopping list. Checklist.
Association,"Associate, link, connect or attribute an info from other information."
Space Repetition,Review learned information in a specified time frame. Ex. after an hour → a day → a week → a month → 3 months.
Mind Maps,Creative and effective note taking. Offers an overview of topic and complex information in a visual form.
,
Communication Strategy,.
Calling an attention,Different ways to attract someone’s attention.
Response,How to respond if some is calling your attention.
Start a conversation,How to initiate a conversation.
Ending a conversation,How to end a conversation.
Topic introduction,How to introduce a topic.
Topic change,How to change a topic.
Opening remarks,How to make opening remarks.
Sequence,How to establishing a sequence.
Examples,How to cite examples
Summarize,How to summarise and conclude a statement.
End a presentation,How to end a presentation
Vague or Indirect,Being vague or indirect makes more natural.
Others,More situational questions and responses.
,
Scanning,.
Quickly running over,Quickly running one’s eyes over a text to take a glimpse of what you are about to read.
Identifying the topic ,I identify the topic to have gist of what is being talk about.
Contextual guessing,Using context to determine the meanings of unknown words.
Extracting specific information,Extracting specific and most important information for quick and factual understanding.
,
Skimming,.
Extended sentential unit,Have a good understanding about Noun phrases as it is one of the key elements in learning Japanese.
Identifying keywords ,"Identify the keywords by visual cues or by answering the question-words: when, where, who, what, why, and how."
Sequence of events,Pin point the order and sequence of event as it a key component of reading comprehension.
Factness of events,Determine that the event happened or not and usually answerable by true or false questions. 
Contextual guessing,Predicting the content as you read can increase you reading speed and comprehension skills.
Getting the gist,"Determine the topic, general ideas of the text and gist or main point of the topic."
,
Speaking,.
Having a voice,Holding a conversation depends on both the organs of speech and mental processing.
Lips,Change shape to alter sounds.
Tongue,Changes shape and position to modify word sounds.
Vocal chords,Sheets of fibrous tissue that open and close to alter sound and pitch.
Broca’s area,Controls speech production.
Auditory area,Analyzes speech sounds and tone of voice.
Visual area,Analyzes nerve impulses from the eyes.
Wernicke’s area,Interprets from both visual and audio areas.
Motor area,Sends signals to muscles that produce speech
