Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,W1,W2,W3
始める,はじめる,"to start, begin, initiate, originate, start up, establish",trans.,先生は授業を始めた。,The teacher started teaching.,彼は商売を始めた。,He started his business.,すぐに食べ始めた。,He started eating right away.,,,
与える,あたえる,"to give someone, grant, bestow, present, award, provide",trans.,彼女はお金を与えた。,She gave money.,彼女の言葉が私に希望を与えてくれた。,Her words gave me hope.,試験に合格すればその資格が与えられます。,"If you pass the exam, you will be entitled to it.",,,
となる,となる,"to become, amount to",intrans.,数字は合計２３０となる。,The numbers total 230.,スポーツは安全が考慮されないと危険なものとなる。,Sports can be dangerous if safety is not taken into account.,それを仕上げる前に作業をやめる時間となるだろう。,It would be time to stop working on it before finishing it.,,,
起こる,おこる,"to occur, happen",intrans.,何が起こったんだ？,What's happening?,悲劇は突然起こった。,The tragedy happened suddenly.,近所で火事が起こった。,A fire broke out in the neighborhood.,,,
付ける,つける,"to attach, join, add, append, affix, stick, wear, put on, allot",trans.,電気をつけて下さい。,Please turn on the lights.,株は新高値を付けた。,The stock hit a new high.,暑かったので扇風機をつけた。,"It was hot, so I turned on the fan.",,,
送る,おくる,"to send, dispatch, transmit, take or escort, send off",trans.,それ誰に送るの？,Who are you sending that to?,写真送ってよ。,Send me a picture.,家まで送るよ。,Let me take you home.,,,
続ける,つずける,"to continue, keep up, keep on",trans.,本を再び読み続けた。,I continued reading the book again.,走り続けると明かりが見えてきた。,I saw the light as I kept running.,僕はこの仕事を続けることにした。,I decided to continue with my work.,,,
感じる,かんじる,"to feel, sense, experience",ichidan,今朝は寒く感じる。,It feels cold this morning.,将来に不安を感じるんだ。,I'm worried about the future.,長い散歩の後で空腹を感じる。,I feel hungry after a long walk.,,,
探す,さがす,"to search, look for, seek",trans.,財布探すの手伝ってくれない？,Can you help me find my wallet?,彼らは市内でアパートを探す必要がある。,They need to find an apartment in the city.,誰かをお探しですか。,Are you looking for someone?,,,
合う,あう,"to come together, merge, unite, meet, fit, match, suit, agree with, be correct, be profitable",intrans.,この道で合ってる？,Are you sure this is the right road?,君の時計は合ってる？,Is your watch right?,それは理屈に合わない。,That doesn't make any sense.,,,
信じる,しんじる,"to believe, place trust in, confide in, have faith in",trans.,僕は君の言葉を信じる。,I'll take your word for it.,彼は聡明だと信じる。,I believe he's intelligent.,私は彼を信じるほど愚かだった。,I was foolish enough to trust him.,,,
求める,もとめる,"to want, wish for, request, demand, seek, search for, pursue, hunt, purchase, buy",trans.,名声を求めるな。,Don't seek fame.,何を求めていますか。,What are you looking for?,私は彼に忠告を求めた。,I asked him for advice.,,,
落ちる,おちる,"to fall down, drop, fall, sink, fall onto",intrans.,秋には木の葉が落ちる。,"In autumn, the leaves fall from the trees.",彼はしばしば恋に落ちる。,He often falls in love.,橋が圧力で落ちた。,The bridge fell under pressure.,,,
見つける,みつける,"to discover, find, come across, detect, spot, locate",trans.,彼の家を見つけるのに苦労した。,I had a hard time finding his house.,充電器を見つけられない。,I can't find my charger.,答えを見つけるのは不可能だった。,It was impossible to find an answer.,,,
選ぶ,えらぶ,"to choose, select",trans.,私はどちらを選ぶべきかわからない。,I don't know which one I should choose.,日にちを選んで。,Pick a day.,私は言葉を慎重に選んだ。,I chose my words carefully.,,,
向かう,むかう,"to face, go towards, head towards",intrans.,彼女は明日東京に向かう。,She is leaving for Tokyo tomorrow.,船は西へ向かっている。,The ship is heading west.,電車は駅に向かっていた。,The train was heading for the station.,,,
払う,はらう,"to pay, brush off, wipe away, clear away, drive away, sell off",trans.,税金はどこで払うのですか。,Where do you pay your taxes?,彼は食事代は自分が払うと言った。,He said he would pay for the meal.,弟は値段の２倍を払った。,My brother paid twice the price.,,,
付く,つく,"to be attached, be connected with, adhere, stick, cling",intrans.,この貯金には三分の利子が付く。,This savings account earns three quarters interest.,天井にランプが付いている。,There is a lamp on the ceiling.,この家には浴室が二つ付いている。,This house has two bathrooms.,,,
遅れる,おくれる,"to be late, be delayed, fall behind, be overdue, be outdated",intrans.,授業に遅れるよ。,I'm going to be late for class.,急いでいる時に限ってバスが遅れる。,Only when you're in a hurry does the bus get delayed.,天候のためレースの開始は遅れるだろう。,The weather will delay the start of the race.,,,
進む,すすむ,"to advance, go forward, precede, go ahead, make progress",intrans.,光は音よりも速く進む。,Light travels faster than sound.,予定より進んでいる。,We are ahead of schedule.,全てとんとん拍子に進んだ。,Everything went very smoothly.,,,
驚く,おどろく,"to be surprised, be astonished",intrans.,それは驚くべき事だ。,It's amazing.,彼の博識には驚く。,I'm amazed at his knowledge.,彼の手法は全く驚くべきものだった。,His methods were absolutely astonishing.,,,
起こす,おこす,"to raise, raise up, set up, pick up, wake up, cause, bring about, lead to, start, begin",intrans.,倒れた椅子を起こした。,I set up a chair that had fallen.,皮反応を潜在的に起こすように知られています。,Known to potentially cause skin reactions.,その時、変化を必要があれば、起こすために準備しなさい。,"At that time, if change is necessary, be prepared to make it happen.",,,
失う,うしなう,"to lose, miss, concede",trans.,私はまだ望みを失っていない。,I have not lost all hope yet.,私は精神的に何か大切なものを失っていた。,I had lost something important mentally.,大金を手に入れる機会を失った。,Lost opportunity for big money.,,,
守る,まもる,"to protect, guard, defend, keep, abide, obey, observe, follow",trans.,予定は守らなければならない。,The schedule must be maintained.,彼女は秘密をよく守る。,She keeps secrets well.,サイトを改ざんなどの攻撃から守る。,Protect sites from tampering and other attacks.,,,
勝つ,かつ,"to win, gain victory",intrans.,僕が多分勝てないと思ったと言った。,He said he thought I probably wouldn't win.,10対６で勝った。,We won the game 10 to 6.,利き酒で彼女に勝つ者はいない。,No one beats her in sake tasting.,,,
決める,きめる,"to decide, choose, determine, resolve, clinch",trans.,もう何をするか決めましたか。,Have you decided what to do yet?,もう何をするか決めましたか。,Have you decided what to do yet?,彼女は行かないことに決めた。,She decided not to go.,,,
生きる,いきる,"to live, exist, make a living, be in effect, be in use, function",intrans.,私たちは生きるために食べる。,We eat so that we can live.,植物と共に生きる菌たちの競演。,The competition of fungi living together with plants.,洪水とともに生きる方法を作り出します。,Creates a way to live with the flood.,,,
上がる,あがる,"to rise, go up, come up, ascend, be raised, come in, improve, increase, be finished",intrans.,カーテンはまだ上がっていなかった。,The curtain has not yet risen.,物価はやがて上がるだろう。,Prices will eventually rise.,今学期は成績が上がった。,My grades went up this semester.,,,
変わる,かわる,"to change, be transformed, be altered, vary, be different, be uncommon, be unusual",intrans.,それにより状況が変る。,It changes the situation.,原材料はレシピやメーカーによって変わる。,Ingredients vary by recipe and manufacturer.,値段はサイズによって変わります。,The price varies according to size.,,,
示す,しめす,"to show, demonstrate, tell, point out, indicate, represent, signify, display",trans.,彼はどの程度興味を示したのですか。,What degree of interest did he show?,このデータが高い血液凝固能を示す。,These data indicate a high coagulability.,カテゴリのメンバシップを示す項のコレクション。,A collection of terms indicating membership in a category,,,
怒る,おこる,"to get angry, get mad, tell someone off, scold",intrans.,彼は彼女のことをかんかんに怒っている。,He's very angry with her.,かんかんに怒っている。,He is furious.,彼女は怒って私を見た。,She looked at me angrily.,,,
残る,のこる,"to remain, be left",intrans.,チケットは残ってた？,Were there any tickets left?,水はかなり多く残っている。,There is quite a bit of water remaining.,放課後クラブ活動に残る子供が多い。,Many children stay after school for club activities.,,,
過ごす,すごす,"to pass (time), spend, overdo, drink, take care of, support, do too much",trans.,あなたと一緒に過ごすのが好き。,I like spending time with you.,軽井沢で１か月を過ごした。,I spent a month in Karuizawa.,いかがお過ごしでしょうか？,How are you getting along?,,,
調べる,しらべる,"to examine, look up, investigate, check up, sense, study, inquire, search",trans.,事故の原因を調べる。,Investigate the cause of the accident.,故障はないかと機械を調べた。,He inspected the machines for defects.,表示される各種のツールやメニューを調べる。,Examine the various tools and menus that appear.,,,
学ぶ,まなぶ,"to study (in depth), learn, take lessons in",godan,自然の脅威を学ぶ。,Learn about natural threats.,彼は経験から学ぶことを知らない。,He never learns from experience.,世界を学ぶ素晴らしい方法です。,Great way to learn about the world.,,,
聞こえる,きこえる,"to be heard, be audible",intrans.,足音が聞こえなくなった。,The sound of the footsteps died away.,うるさくてテレビの音が聞こえない。,t's so noisy I can't hear the television.,彼女の言うことは本音に聞こえた。,What she said sounded like she meant it.,,,
楽しむ,たのしむ,to enjoy,trans.,本を読んで楽しむ。,Enjoy reading books.,楽しめるうちに楽しむがいい。,Enjoy it while you can.,知的な会話を楽しむ。,Enjoy intelligent conversation.,,,
扱う,あつかう,"to deal with, treat, handle, take care of, entertain, operate, deal in",trans.,客をていねいに扱う。,Treat customers with care.,壊れ物は丁寧に扱ってくれ。,Handle the fragile articles carefully.,彼女はお客を扱うのが上手だ。,She knows how to entertain her guests.,,,
とする,とする,"to try to, be about to, decide to, take as, treat as, regard as, use for",suru,家を買おうとする人がたくさんいる。,There are many people trying to buy houses.,彼が言おうとすることは私にはわからない。,I don't know what he is trying to say.,彼は話そうとするところだった。,He was about to speak.,,,
変える,かえる,"to change, alter, transform, convert, turn, vary, reform, revise, amend",trans.,態度を変える。,Change one's attitude.,家を事務所に変えるつもりだ。,I'm going to turn my house into an office.,出掛ける前に服を変えた。,I changed my clothes before I went out.,,,
盗む,ぬすむ,to steal,trans.,ゆうべ全財産を金庫ごと盗まれた。,"Last night all my money, safe and all, was stolen.",少年は彼女のハンドバッグを盗んで逃げた。,The boy stole her handbag and fled.,スーパーで消しゴムを盗む。,Stealing erasers at a supermarket,,,
続く,つずく,"to continue, last on, go on, be unbroken, occur again and again, lead to, connect to",intrans.,今週は毎日暑い日が続いている。,It's been hot every day this week.,地価の高騰が続いた。,Land prices continued to rise.,雪が10日間も降り続いた。,It snowed for ten consecutive days.,,,
運ぶ,はこぶ,"to carry, transport, move, convey",trans.,その病人はすぐ救急車で病院に運ばれた。,The sick man was immediately taken to the hospital by ambulance.,次の駅へ乗客を運ぶ。,Carry passengers to the next station.,飛行機でその機械を運んだ。,The machine was transported by air.,,,
当たる,あたる,"to be hit, strike, touch, be in contact, be affixed, be applicable, apply to",intrans.,風が帆に激しく当たった。,The wind hit the sails hard.,石が窓ガラスに当たった。,A stone hit the windowpane.,夜霧に当たって風邪をひいた。,I caught a cold from exposure to the night fog.,,,
眠る,ねむる,"to sleep (not necessarily lying down), lie , idle, be dormant",intrans.,お茶を飲むと眠れなくなるよ。,Tea will keep you from sleeping.,一晩よく眠れた。,Slept well all night.,コーヒーのせいで眠れなかった。,Couldn't sleep because of the coffee.,,,
表す,あらわす,"to represent, to signify, to stand for, to reveal, to show, to display, to express, to make widely known",trans.,考えたことを言葉で表す。,Express your thoughts in words.,自分を一言で表すと？,How do you describe yourself in one phrase?,彼の咳は明らかに喘息の症状を表している。,His cough is clearly a symptom of asthma.,,,
受け取る,うけとる,"to receive, get, accept, take, interpret, understand",trans.,それが真実とはどうしても受け取れない。,I just can't accept that as the truth.,照会状をほとんど毎日のように受け取っている。,I receive letters of inquiry almost daily.,それが真実とはどうしても受け取れない。,I just can't accept that as the truth.,,,
鳴る,なる,"to sound, ring, resound, echo, roar, rumble",intrans.,時計がコチコチ鳴っている。,The clock is ticking.,雷が遠くで鳴っていた。,Thunder rumbled in the distance.,風が梢で鳴っていた。,The branches were rustling in the wind.,,,
現れる,あらわれる,"to appear, come in sight, become visible, come out, materialise, be expressed, become apparent",intrans.,政界に新星が現れた。,A new star has arrived on the political scene.,彼は結局現われなかった。,He did not show up after all.,女性の姿が霧の中に現れた。,A woman's figure appeared in the mist.,,,
負ける,まける,"to lose, be defeated, succumb, give in, surrender, yield, be inferior to",intrans.,彼はまだ一度も負けたことがない。,He has never lost a game yet.,僕は負けるのが嫌い。,I hate losing.,真っ向勝負して負けるならそれもいい。,There's nothing wrong with losing if you've played the game fairly.,,,
暮らす,くらす,"to live, get along, spend (time)",intrans.,彼はどうやって暮らしているのだろう。,I wonder how he manages to live.,生まれた時からずっとここで暮らしている。,I have lived here since I was born.,いかがお暮らしですか。,How are you getting along.,,,
許す,ゆるす,"to permit, allow, approve, consent to, forgive, pardon, excuse, tolerate",trans.,事態は一刻の猶予も許さない。,The situation does not allow for a moment's respite.,そこまで言うなら留学を許してやろう。,"Since you are so eager, you have my permission to study abroad.",事態は一刻の猶予も許さない。,The situation does not allow for a moment's respite.,,,
戦う,たたかう,"to make war, wage war, got to war with, fight with, do battle, compete, struggle",intrans.,国家のために戦う。,Fight for one's country.,待遇改善を目指して戦う。,Fight for better treatment.,探検隊は寒気と戦いながら進んだ。,The expedition team battled the cold.,,,
慣れる,なれる,"to get used to, grow accustomed, become familiar with, become skilled in",intrans.,海道の寒さに慣れる。,Get used to the cold of Hokkaido.,慣れるのに少々かかります。,It takes a little getting used to.,あなたもすぐ騒音には慣れるでしょう。,You will soon get used to the noise.,,,
ようになる,ようになる,"to reach the point that, come to be that, turn into",intrans.,その新しい機械が用いられるようになるだろう。,That new machinery will be used.,彼は１週間もすれば起きて歩けるようになるでしょう。,He will be up and walking in a week.,彼が自転車に乗れるようになるまで３ヶ月かかった。,It took him three months to learn to ride a bike.,,,
行う,おこなう,"to perform, do, conduct oneself, carry out",trans.,小学校でもパソコンの授業が行われている。,Computer classes are also offered in elementary schools.,そこでは米の二期作が行われている。,Double cropping of rice is practiced in that district.,その手術は設備のよい大学病院で行われることになった。,That surgery was to be performed at a well-equipped university hospital.,,,
助ける,たすける,"to save, rescue, help, assist, support, provide aid, contribute, facilitate",trans.,困っている人を助ける。,Helping those in need,どこに行ったら助けてもらえますか。,Where can I go for help?,そしてこれはまたあなたの広告の予定で助ける。,And this also helps with your advertising schedule,,,
ようにする,ようにする,"to make sure to, to try to",suru,毎日運動するようにする。,Try to exercise daily.,母親たちは子どもに道路で遊ばせないようにするべきだ。,Mothers should not allow their children to play in the street.,その操作を一定時間内に走るようにする。,Make that operation run within a certain time frame.,,,
喜ぶ,よろこぶ,"to be delighted, be glad, be pleased, congratulate, gratefully accept",godan,父は孫の誕生を心から喜んでくれた。,My father was so happy for the birth of his grandson.,道理で君が喜ぶわけだ。,No wonder you are pleased.,あなたが私達を手伝ってくれたらみんな喜ぶでしょう。,Everyone would be happy to have you help us.,,,
泣く,なく,"to cry, weep, sob, howl",godan,子供は泣きながら寝入った。,The child cried himself to sleep.,その女の子はただ泣くだけだった。,The little girl did nothing but cry.,彼の胸で思い切り泣いた。,She buried her face in his chest and wept bitterly.,,,
終える,おえる,to finish,trans.,その日の日程を終える。,Finish the day's itinerary,あなたは仕事を終えましたか。,Have you finished your work?,あなたはすぐに宿題を終えるべきです。,You should finish your homework immediately.,,,
訪れる,おとずれる,"to visit, call, arrive, come, appear",trans.,新しい季節が訪れた。,A new season has arrived.,どこを訪れる予定ですか。,Where do you plan to visit?,スイスは訪れる価値のある美しい国です。,Switzerland is a beautiful country well worth a visit.,,,
耐える,たえる,"to bear, stand, endure, put up with, withstand, support, resist, be fit for",trans.intrans.,この金属は酸には耐えられない。,This metal cannot resist acid.,彼は冬の早朝練習に耐えた。,He managed to survive the early morning winter training.,もうこれ以上この苦痛には耐えられない。,I can't bear this pain any longer.,,,
落とす,おとす,"to drop, lose, let fall, shed, cast, pour in, clean off",trans.,あなたは自分のハンカチを落としました。,You dropped your handkerchief.,木立が地上に影を落としていた。,A grove of trees cast shadows on the ground.,川の水を貯水池に落とす。,Dropping river water into a reservoir,,,
増える,ふえる,"to increase, multiply",intrans.,最近海外へ行く学生が増えている。,More and more students are going abroad these days.,豪雨で川の水かさが増えた。,Heavy rains increased the river's water level.,最近洗剤の種類が増えたね。,There are more kinds of detergents these days.,,,
動く,うごく,"to move, stir, shift, shake, operate, make a move, take an action",intrans.,この車は動かない。,This car won't start.,車が雪にはまって動かなくなった。,The car got stuck in the snow.,鍵が錠前に入ったまま動かない。,The key is stuck in the lock.,,,
備える,そなえる,"to furnish with, equip with, provide, prepare for,  possess",trans.,この冬の灯油不足に備えていますか。,Are you prepared for a kerosene shortage this winter?,私達は将来に備えなければならない。,We must prepare for the future.,彼女は法律の知識を十分備えている。,She is well equipped with legal knowledge.,,,
逃げる,にげる,"to escape, run away",intrans.,誰かが逃げるのを見ましたか。,Did you see anyone running away?,小鳥が籠から逃げた。,A little bird escaped from the cage.,人に見られずにこそこそと逃げた。,He sneaked away without being seen.,,,
戻る,もどる,"to turn back, return, recover, rebound",intrans.,彼が戻るまで待とう。,Let's wait until he gets back.,病状は以前に戻ってしまった。,The disease has returned to its previous state.,彼の記憶が戻った。,His memory came back.,,,
従う,したがう,"to obey, abide by, follow, serve",intrans.,我々は法律に従う義務がある。,We are obligated to follow the law.,彼らは私の意見に従った。,They followed my opinion.,彼はだれの指示にも従わなかった。,He did not follow anyone's instructions.,,,
奪う,うばう,"to snatch away, dispossess, steal",trans.,彼はそのきれいな女性に心を奪われた。,He was fascinated by the beautiful woman.,その男は私から財布を奪った。,The man took my wallet from me.,観客は彼女のみごとな演技に心を奪われた。,The audience was enthralled by her brilliant performance.,,,
近づく,ちかずく,"to approach, draw near, get closer",intrans.,試験が近づいている。,The exam is approaching.,夏は終わりに近づいている。,Summer is coming to an end.,私は彼が近づいてくるのが見えた気がする。,I think I see him approaching.,,,
達する,たっする,"to reach, get to, arrive at",suru,私は君と同じ結論に達した。,I have come to the same conclusion as you.,その道は国境に達している。,That road reaches the border.,彼の技法はまだ完成の域に達していない。,His technique has not yet reached perfection.,,,
間に合う,まにあう,"to be intimate for, serve, be good enough",intrans.,ちょっとのところでバスに間に合わなかった。,I missed the bus by a little bit.,準備が間に合わない。,Preparations will not be made in time.,式場にはゆっくり間に合った。,We slowly made it to the ceremony.,,,
知る,しる,"to know, be aware of, cognise, notice, comprehend",trans.,どこで会があるか知ってますか。,Do you know where the meeting is?,この辺はよく知っている。,I know this area well.,題の重要性を知る。,Know the importance of the subject.,,,
買う,かう,"to buy, purchase, value",trans.,私はそれをデパートで買った。,I bought it at a department store.,ワインを買って来てください。,Go buy a bottle of wine.,魚はいつもあの店で買います。,I always buy fish from that store.,,,
聞く,きく,"to hear, listen, ask, enquire, query, learn of, hear about",trans.,外でガラスの割れる音を聞いた。,I heard the sound of breaking glass outside.,その点については何も聞いていない。,I have heard nothing on that point.,詳しいことはあの人にお聞きになればわかりますよ。,You can ask that person for more details.,,,
出る,でる,"to leave, exit, go out, come out, get out",intrans.,いま自宅を出るところです。,I am leaving home now.,その列車は東京駅から出ている。,That train leaves from Tokyo Station.,この道をまっすぐ行くと海岸に出る。,"Straight down this road, you will reach the beach.",,,
会う,あう,"to meet, encounter, see",intrans.,新聞記者が来ても彼は会わなかった。,He did not meet with the newspaper reporters when they came.,君に会えるかと思ってやってきた。,I came here to see if I could meet you.,今日彼女と会う約束がある。,I have an appointment to meet her today.,,,
作る,つくる,"to make, produce, manufacture, build, construct, prepare, create",trans.,プラスチックで色々の容器を作った。,Various containers were made out of plastic.,この工場ではカメラを作っている。,This factory makes cameras.,信用できる関係を作る。,Create a trustworthy relationship.,,,
置く,置く,"to put, place, leave behind, establish, set up, appoint, bear",trans.,どこかこれを置くよい場所はないか。,Is there somewhere I can put this?,花瓶をテーブルのまん中に置いた。,The vase was placed in the middle of the table.,丸の内に事務所を置くことにしました。,We have decided to locate our office in Marunouchi.,,,
使う,つかう,"to use, make use of, put to use",trans.,このなべはミルクを温めるのに使っている。,This pot is used to heat milk.,電話を使ってもよろしいですか。,May I use your phone?,どの部屋でも自由に使ってください。,Feel free to use any of the rooms.,,,
書く,かく,"to write, compose, draw, paint",trans.,名前は英語でどう書くのですか。,How do you write your name in English?,今新しい戯曲を書いている。,I am writing a new play right now.,ここに住所と名前を書きなさい。,Write your name and address here.,,,
読む,よむ,"to read, count",trans.,子供におとぎ話を読んでやる。,Read a fairy tale to a child.,その小説を読み終えたところだ。,I just finished reading that novel.,この週刊誌は若者の間で広く読まれている。,This weekly magazine is widely read among young people.,,,
食べる,たべる,to eat,trans.,朝ごはんを食べましたか。,Have you eaten breakfast?,子供にご飯を食べさせる。,Feed the child.,このきのこは食べられる。,This mushroom is edible.,,,
話す,はなす,"to talk, speak, converse, chat, tell, explain, narrate",trans.,まじめに話しているんです。,I am talking seriously now.,どんなところかちょっと話してください。,Tell us a little bit about what it's like., 万事後でお話しします。, I will tell you all about it later.,,,
上げる,あげる,"to raise, elevate, do up, launch, surface, deep-fry, increase, complete do",trans.,彼は帽子を上げて婦人にあいさつした。,He lifted his hat and greeted the lady.,,,,,,,
住む,すむ,"to live, reside, inhabit, dwell, abide",intrans.,彼は住む所を転々と変えた。,He changed his place of residence.,,,,,,,
歩く,あるく,to walk,intrans.,職場まで歩いて20分です。,It is a 20 minute walk to work.,,,,,,,
働く,はたらく,"to work, labor, labour, function, operate, be effective, come into a play",intrans.,朝は頭がよく働かない。,I don't think very well in the morning.,,,,,,,
飲む,のむ,"to drink, gulp, swallow, take",trans.,赤ん坊が母親のお乳を飲んでいる。,A baby is drinking its mother's milk.,,,,,,,
終わる,おわる,"to finish, end, close",intrans.,試験はすぐに終わる。,The test will be over soon.,,,,,,,
死ぬ,しぬ,"to die, pass away, lose spirit, lose vigor",intrans.,あいつは死んだも同然だ。,He's as good as dead.,,,,,,,
出す,だす,"to take out, get out, put out, reveal, show, submit, send, serve (food)",trans.,客にお茶とお菓子を出した。,Tea and sweets were served to the guests.,,,,,,,
入れる,いれる,"to put in, let in, take in, bring on, install (software), set, include, cast",trans.,小箱に宝石類を入れておく。,Place jewelry in small boxes.,,,,,,,
教える,おしえる,"to teach, instruct, tell, inform, preach",trans.,高校で化学を教えている。,He teaches high school chemistry.,,,,,,,
乗る,のる,"to get on, get in, board, take to embark",intrans.,自転車に乗って図書館へ行った。,I rode my bike to the library.,,,,,,,
着る,きる,to wear,trans.,かわいい人は何を着てもかわいい。,Cute people are cute no matter what they wear.,,,,,,,
走る,はしる,"to run, travel, hurry to",intrans.,彼は私より速く走れる。,He can run faster than me.,,,,,,,
忘れる,わすれる,"to forget, leave carelessly",trans.,彼女の住所を忘れた。,I forgot her address.,,,,,,,
見える,みえる,"to be seen, be insight, look, seem, appear",intrans.,屋上から町がよく見える。,The town can be seen clearly from the rooftop.,,,,,,,
立つ,たつ,"to stand, rise, stand up, find oneself (in a difficult position), depart (on a plain, train, etc.)",intrans.,彼女は窓のところに立っていた。,She was standing at the window.,,,,,,,
座る,すわる,"to sit, squat, assume (a position), hold steady, hold still",intrans.,どうぞお座りください。,Please have a seat.,,,,,,,
待つ,まつ,"to wait, look forward to, anticipate",trans.intrans.,僕はもうこれ以上待てない。,I can't wait any longer.,,,,,,,
出かける,でかける,"to go out, leave, depart, set out",intrans.,出張で九州に出掛けている。,He is out in Kyushu on a business trip.,,,,,,,
帰る,かえる,"to return, come home, go home, go back",intrans.,帰る途中で本屋に寄った。,On my way home I stopped at a bookstore.,,,,,,,
寝る,ねる,"to lie down, go to bed, sleep",intrans.,彼は寝ているのですか。,Is he sleeping?,,,,,,,
始まる,はじまる,"to begin, start, commence, happen",intrans.,展覧会は来週月曜日に始まる。,The exhibition opens next Monday.,,,,,,,
見せる,みせる,"to show, display",trans.,ほかのを見せてください。,Please show me the others.,,,,,,,
笑う,わらう,"to laugh, smile, sneer to redicule",intrans.,何を笑っているのですか。,What are you laughing at?,,,,,,,
入る,はいる,"to enrol, go into, break into, join, enrol, contain, hold, accommodate, have",intrans.,そのボトルにワインは入っていない。,There is no wine in that bottle.,,,,,,,
飛ぶ,とぶ,"to fly, soar, jump, leap, spring, bund, hop, rush somewhere",intrans.,枯れ葉が飛んで落ちる。,Dead leaves fly and fall.,,,,,,,
失う,うしなう,"to lose, miss a chance, concede, part with",trans.,私は自分の仕事に興味を失った。,I lost interest in my job.,,,,,,,
呼ぶ,よぶ,"to call out, call, summon, invoke, invite, designate",trans.,タクシーを呼んであげましょうか。,Shall I call you a cab?,,,,,,,
売る,うる,to sell,trans.,中古の車を50万円で売った。,I sold a used car for five hundred thousand yen.,,,,,,,
残る,のこる,"to remain, be left",intrans.,やり直すだけの時間は残っている。,There is still time to just start over.,,,,,,,
歌う,うたう,to sing,trans.intrans.,彼はうまく歌うことが出来ない。,He cannot sing well.,,,,,,,
通る,とおる,"to go by, go past, go along, pass through, take a route, go via, go by eat of",intrans.,どの道を通って行きますか。,Which road do you take?,,,,,,,
頼む,たのむ,"to request, beg, ask, call, order, reserve, entrust to, rely on",trans.,ちょっと頼みたいことがあるんだけど。,Can I ask you for a favor?,,,,,,,
降りる,おりる,"to descend, go down, alight, get off, disembark, step down, be issued, be given",intrans.,私は車に酔ったので途中で降りて歩いて帰った。,I was car sick so I got off halfway and walked home.,,,,,,,
渡る,わたる,"to cross over, go across, extend, cove, range, span",intrans.,子どもたちが道を渡るのを見ました。,I saw children crossing the street.,,,,,,,
困る,こまる,"to be troubled, have difficulty, be at a loss, be bothered, be annoyed",intrans.,言葉が出てこないで困っています。,I am having trouble finding the words.,,,,,,,
急ぐ,いそぐ,"to hurry, rush, hasten",trans.intrans.,会議に間に合うように急ぎましょう。,Hurry so you can get to the meeting on time.,,,,,,,
泳ぐ,およぐ,to swim,intrans.,あなたは大変上手に泳ぐことが出来る。,You are a very good swimmer.,,,,,,,
着く,つく,"to arrive, reach, sit on, sit at",intrans.,暗くならないうちに目的地に着いた。,We reached our destination before dark.,,,,,,,
覚える,おぼえる,"to memorize, learn, bear in mind, pick up, acquire",trans.,そのシーンならもちろん覚えているよ。,Of course I remember that scene.,,,,,,,
切る,きる,"to cut, cut through, perform, sever, turn off, terminate, set a limit",trans.,カッターマシンがサーモンを切っていた。,The cutter machine was cutting salmon.,,,,,,,
