Word,Reading,Meaning,S1,T1
すでに,すでに,already,すでに出かけた。,Already gone.
次に,つぎに,next,次に買う。,Buy next.
よく,よく,oftent,よく徹夜する。,Often stay up all night.
やがて,やがて,shortly,やがて廃れる。,Eventually goes out of business.
ずっと,ずっと,along,ずっと忙しい。,I'm busy all the time.
そう,そう,"in that way, thus, such​",そう思います。,I think so.
どう,どう,"how, in what way, how about​",どう言う。,What do you say.
もう,もう,"already, yet, by now, anymore​",もう読み終わった。,I've already finished reading it.
こう,こう,"in this way, thus, such​",こう思いました。,I thought so.
良く,よく,"nicely, well, skilfully, often ",良く似合う。,It suits you well.
未だ,まだ,"still, as yet, only​, (not) yet, more",まだ帰って来ない。,I'm not back yet.
少し,すこし,"small quantity, little, few, little while",少し持っている。,I have some.
余り,あまり,"(not) very, (not) much, too much",あまり低く設定しない。,I do not set it too low.
直ぐ,直ぐ,"immediately, at once, shortly, easily",直ぐ経ちます。,It will pass soon.
唯,ただ,"only, merely, just, simply​",ただ言われたとおり。,Just as you said.
矢張り,やはり,"as expected, sure enough, after all",やはり雨になった。,It still rained.
何故,なぜ,"why, how",なぜ屋根に上がったんだ？,Why are you on the roof?
先ず,まず,"first (of all), firstly, to begin with",まず一休みしませんか。,Why not take a break first?
例えば,たとえば,"for example, for instance",例えば３年で弾けるようになった。,"For example, it took me three years to learn to play."
詰まり,つまり,"that is to say, in other words, in short",つまり世間知らずなんだ。,"In other words, I'm naive."
全く,まったく,"really, truly, entirely, completely, indeed ",全く存じません。,I have no idea.
一寸,ちょっと,"a little, a bit, slightly",ちょっと見てくれ。,Just take a look.
若し,もし,"if, in case, supposing",もし雨なら行きません。,"If it rains, I won't go."
特に,とくに,"particularly, especially, in particular",特に調製された。,Especially prepared.
勿論,もちろん,"of course, certainly, naturally",もちろん地域だけに限りません。,"Of course, it is not limited to the region."
既に,すでに,"already, too late​",すでに識別されている。,Already identified.
一番,いちばん,"best, most​",一番しか知らない。,I only know the best.
初めて,はじめて,for the first time​,初めて作りました。,I made it for the first time.
可成,かなり,"considerably, fairly",かなり長い間待った。,I waited for quite a long time.
色々,いろいろ,"various, all sorts of",色々お話があります。,There are many stories.
最も,もっとも,"most, extremely​",最も美しいもの。,The most beautiful one.
迚も,とても,"very, awfully, exceedingly​",とても暑い日でした。,It was a very hot day.
もっと,もっと,"some more, even more, further​",もっと早く走れ。,Run faster.
必ず,かならず,"always, without exception, certainly, without fail",必ず参ります。,I will surely come.
沢山,たくさん,"a lot, lots, plenty",たくさんの本を読みたい。,I want to read a lot of books.
当然,とうぜん,"naturally, as a matter of course, rightly",当然電話してくる。,Of course he will call me.
猶,なお,"still, yet​, more, still more",理由がなおはっきりしない。,The reason is still unclear.
幾ら,いくら,how much​,いくら払いましたか?,How much did you pay?
はっきり,はっきり,"clearly, plainly, distinctly​",はっきり聞こえる。,I hear you loud and clear.
ずっと,ずっと,"throughout, all along",ずっと外出していない。,I've been out of the office for a long time.
直接,ちょくせつ,"direct, firsthand",あなたに直接連絡すると思います。,I think they will contact you directly.
暫く,しばらく,"for a while, for some time​",しばらくお待ちください。,Please wait a moment.
まあ,まあ,"well, just, tolerably, moderately, fairly",まあお寄りください。,"Well, come on by."
中々,なかなか,"very, considerably, easily, readily, fairly",なかなか良かったよ。,That was pretty good.
決して,けっして,"(not) ever, (not) by any means, never",彼女は決して会議に遅刻しない。,She is never late for a meeting.
軈て,やがて,"eventually, before long, soon; shortly",やがて雨になるかもしれない。,It may rain eventually.
如何に,いかに,"how, in what way​, how, to what extent",いかにしてそれを実現するかが問題だ。,The question is how to make it happen.
寧ろ,むしろ,"rather, better, instead, if anything​",今日は遊ぶよりもむしろ勉強をしたい。,I'd rather study today than play.
丸で,まるで,"quite, entirely, completely, at all​",そんな申し出ではまるで話にならない。,Such an offer is not a good deal.
一杯,いっぱい,"fully, to capacity, a lot, much ",パンとコーヒーを一杯飲みます。,I will have a cup of bread and coffee.
恐らく,おそらく,"perhaps, likely, probably",おそらく失敗するだろう。,I will probably fail.
結構,けっこう,"quite, reasonably, fairly",子供は結構楽しそうだった。,The kids seemed to be having a lot of fun.
嘗て,かつて,"once, before, formerly, ever",そんなことはかつて聞いたことがない。,Such a thing was never heard of before.
再び,ふたたび,"again, once more",名園を再び訪れた。,I visited the famous garden again.
多分,たぶん,"perhaps, probably​",そんなことはたぶん起こらないだろう。,That probably won't happen.
僅か,わずか,"only, just, merely​",食料はわずかしか残っていない。,There is only a little food left.
正に,まさに,"exactly, surely, certainly, right then, just then",お手紙まさに拝受いたしました。,I have just received your letter.
兎に角,とにかく,"anyhow, at any rate, anyway",とにかく彼に聞いてみましょう。,Let's ask him anyway.
確り,しっかり,"tightly, firmly, strongly, properly, reliably",なかなかしっかりやってるよ。,They're doing pretty well.
極めて,きわめて,"exceedingly, extremely, decisively​",彼女が怒るのは極めて当然だ。,She is extremely right to be angry.
急度,きっと,"surely, undoubtedly, almost certainly",彼は明日きっと来ると思います。,I am sure he will come tomorrow.
ゆっくり,ゆっくり,"slowly, without haste, leisurely, easily",もっとゆっくり運転しなさい。,Drive more slowly.
元々,もともと,originally,彼らはもともと農業をやっていました。,They were originally farmers.
突然,とつぜん,"abruptly, suddenly, unexpectedly",すべて突然起こった。,It all happened suddenly.
ちゃんと,ちゃんと,"diligently, seriously, perfectly, properly",部屋をちゃんと片付ける。,Clean up the room properly.
宜しく,よろしく,"well, properly, suitably​",皆様にどうぞ宜しくお伝え下さい。,Please give my best regards to all of you.
丁度,ちょうど,"exactly, precisely, as if, as though, quite",ちょうどよい時に来てくれた。,They came at just the right time.
漸く,ようやく,finally,ようやく結婚した。,I finally got married.
きちんと,きちんと,properly,きちんと書き留めてください。,Please write it down properly.
遂に,ついに,finally,橋の建設はついに完成した。,Construction of the bridge was finally completed.
仮令,たとえ,even if,たとえ間違いがあるにしてもごく少しだ。,"Even if there are mistakes, they are few and far between."
漸と,やっと,gradually,教室はやっと暖かくなった。,Classrooms are finally warm.
是非,ぜひ,propriety,ぜひ聞かせてください。,Please let us know.
全然,ぜんぜん,"totally, (not) at all",最近私は彼に全然会っていない。,Lately I have not seen him at all.
随分,ずいぶん,extremely,今日はずいぶん忙しかった。,Today was a very busy day.
飽くまで,あくまで,to the end,彼はその計画にあくまで反対した。,He was solely opposed to that plan.
すっかり,すっかり,completely,名前をすっかり忘れてしまいました。,I have completely forgotten the name.
どんどん,どんどん,"more and more, steadily",この仕事をどんどん進めなさい。,Keep moving forward with this work.
改めて,あらためて,once again,また改めて電話しますね。,I will call you again.
じっと,じっと,"fixedly (e.g. gaze, stare)",彼女は彼をじっと見つめた。,She stared at him.
極く,ごく,very,彼がそういうのはごく普通の事だ。,It is quite normal for him to be that way.
単に,たんに,"simply, merely",キーは単にコード破壊じゃない,The key is not simply code breaking.
行成,いきなり,suddenly,いきなり電話かかってきた。,I got a phone call out of the blue.
やや,やや,"somewhat, little",風がやや衰えた。,The wind faded somewhat.
言わば,いわば,so to speak,彼女はいわば歩くスピーカーだ。,"She is a walking speaker, so to speak."
益々,ますます,increasingly,車の数がますます増えている。,The number of cars is increasing more and more.
取り敢えず,とりあえず,for the time being,とりあえずこれをやってしまおう。,Let's do this for now.
次々,つぎつぎ,one by one,彼らは次々と出発した。,They departed one after another.
最早,もはや,"the soonest, no longer",彼はもはや子供ではない。,He is no longer a child.
兎も角,ともかく,"in any case, anyhow, anyway",ともかく来てください。,"Anyway, please come."
屡,しばしば,often,この地方ではそのようなことがしばしば起こる。,Such things often happen in this region.
一層,いっそう,"all the more, still more",嵐の後の太陽は一層明るく輝く。,The sun shines brighter after a storm.
ふと,ふと,suddenly,私は友人とふと出会った。,I suddenly met a friend.
一旦,いったん,"once, for a moment",いったん始めたらやり続けてください。,"Once you start, keep doing it."
大抵,たいてい,"mostly, usually",女性はたいてい買い物が好きです。,Women usually like to shop.
成る程,なるほど,"quite willingly, indeed, that’s right, i see",なるほど私が間違ってるかもしれない。,"I see, I could be wrong."
どうぞ,どうぞ,"by all means, go ahead",どうぞお楽にして下さい。,Please make yourself at home.
同じく,おなじく,same,ぼくは君と同じく若くない,I am no younger than you are.
愈,いよいよ,"worst possible time, more and more",雨はやむどころかいよいよひどくなった。,"The rain did not stop, but got worse."
偶に,たまに,occasionally,たまには会いに来て下さい。,Please come see me once in a while.
段々,だんだん,gradually,だんだん寒くなってきて本当にいやです。,It is getting colder and colder and I really don't like it.
却って,かえって,rather,燗をした酒よりもかえって冷たいビールのほうがいい。,Cold beer is better than heated sake.
まさか,まさか,"by no means, never",まさか君がやったのではないだろうね。,"Surely you didn't do it, did you?"
折角,せっかく,"at great pains, long-awaited",せっかく訪ねてくれたのに私はあいにく留守だった。,e had come all the way to see me but unfortunately I was out.
態々,わざわざ,specially,わざわざ会いに来てくれてありがとう。,Thanks for coming all the way out here to see me.
無論,むろん,"of course, naturally",無論現在でもまだ破られていない。,"Of course, this record remains unbroken today."
大いに,おおいに,"greatly, very, much",パーティでは大いに歌い踊りました。,There was much singing and dancing at the party.
余程,よほど,"very, greatly, much, quite",彼はその話がよほど面白かったようだ。,He seemed to find the story quite amusing.
幸い,さいわい,fortunately,この品種は、幸いにも、比較的よく成長します。,"Fortunately, this variety grows relatively well."
偶々,たまたま,"by chance, casually, unexpectedly",たまたま私は彼女と東京で出会った。,I happened to meet her in Tokyo.
忽ち,たちまち,"all at once, in a moment, quickly",たちまちその地域一帯に恐怖が広まった。,Terror quickly spread throughout the area.
取り分け,とりわけ,"especially, above all",とりわけ体に気をつけなさい。,"Above all, take care of yourself."
そっと,そっと,"gently, softly",彼女はそっとその扉を開けました。,She gently opened the door.
敢えて,あえて,"daringly doing something, purposely",彼女はあえて試験の結果を聞いた。,She dared to ask for the results of the test.
直ちに,ただちに,"immediately, at once, directly",君は直ちに医者に行く必要がある。,You need to go to the doctor immediately.
そろそろ,そろそろ,"soon, gradually, any time now",明日早いからそろそろ寝よっかな。,I'm going to bed soon because I have an early day tomorrow.
未だ未だ,まだまだ,"not yet, much more, still more to come",このスーツはまだまだ着られる。,This suit can still be worn.
主に,おもに,"mainly, primarily",今日は主にホームレスの問題をとりあげます。,Today we will mainly address the issue of homelessness.
早速,さっそく,"immediately, at once, without delay",早速安全なアカウントを設定しましょう。,Quickly set up a secure account.
凡そ,およそ,"about, roughly",私はおよそ３週間ここにいる。,I've been here for about three weeks.
予め,あらかじめ,"beforehand, in advance, previously",あらかじめ計画をお知らせください。,Please let us know your plans in advance.
果たして,はたして,"as a result, as was expected, sure enough",だめだろうと思っていたが果たして失敗だった。,"I thought it would be a failure, but it turned out to be a failure."
成る可く,なるべく,as much as possible,なるべく早く連絡しますね。,I will contact you as soon as possible.
たっぷり,たっぷり,"plenty, full, ample",たっぷり収納できるビッグバッグです｡,This is a big bag with plenty of storage space.
況して,まして,"moreover, still more, not to mention",商品の詳細につきましてはこちらをご覧ください。,"For product details, please click here."
一見,いっけん,"at first glance, apparently, seemingly",彼女は一見正直そうに見える。,She is seemingly honest.
何しろ,なにしろ,anyway,,
ほっと,ほっと,sigh of relief,,
斯く,かく,as such,,
ぼんやり,ぼんやり,absentmindedly,,
とんでも,とんでも,unexpectedly,,
今更,いまさら,at this late hour,,
只管,ひたすら,nothing more than this,,
些か,いささか,a little,,
そっくり,そっくり,just like,,
どうせ,どうせ,anyhow,,
せめて,せめて,at least,,
到頭,とうとう,at last,,
態と,わざと,"on purpose, deliberately",,
大分,だいぶ,considerably,,
さっぱり,さっぱり,not at all,,
ぴったり,ぴったり,exactly,,
専ら,もっぱら,exclusively,,
一向,いっこう,completely,,
精々,せいぜい,at best,,
大して,たいして,greatly,,
頻り,しきり,frequent,,
ひょっと,ひょっと,perchance,,
固より,もとより,more than ever,,
依然,いぜん,still,,
仲良く,なかよく,on cordial terms with,,
恰も,あたかも,as it were,,
時折,ときおり,sometimes,,
到底,とうてい,no matter how,,
あっさり,あっさり,easily,,
すっきり,すっきり,"neatly, cleanly, clearly",,
さっと,さっと,quickly and easily,,
然程,さほど,not so much,,
現に,げんに,actually,,
度々,たびたび,often,,
正しく,まさしく,correctly,,
のんびり,のんびり,leisurely,,
じっくり,じっくり,Slowly,,
ぎりぎり,ぎりぎり,just in time,,
矢鱈,やたら,arrowhead,,
はっと,はっと,in a flash,,
さっさと,さっさと,quickly,,
生き生き,いきいき,lively,,
次いで,ついで,Next,,
無理矢理,むりやり,forcibly,,
ゆったり,ゆったり,spacious,,
案外,あんがい,unexpectedly,,
即,そく,immediately,,
悉く,ことごとく,altogether,,
ともあれ,ともあれ,in any case,,
散々,さんざん,dispersed,,
早々,そうそう,quickly,,
ぱっと,ぱっと,in a flash,,
こっそり,こっそり,secretly,,
所詮,しょせん,after all,,
にこり,にこり,silently,,
ちらっと,ちらっと,by accident,,
辛うじて,かろうじて,barely,,
ぐっと,ぐっと,with a grunt,,
がっかり,がっかり,disappointed,,
今一,いまいち,once more,,
尚更,なおさら,even more,,
どきどき,どきどき,throb,,
にこにこ,にこにこ,smilingly,,
いっそ,いっそ,more than once,,
しょっちゅう,しょっちゅう,often,,
些とも,ちっとも,not at all,,
甚だ,はなはだ,very much,,
当面,とうめん,for the time being,,
元来,がんらい,originally,,
そこそこ,そこそこ,a certain extent,,
きっぱり,きっぱり,firmly,,
割と,わりと,comparatively,,
逸早く,いちはやく,quickly,,
きっちり,きっちり,punctually,,
熟,つくづく,thoroughly,,
ぐるぐる,ぐるぐる,in a roundabout way,,
予て,かねて,lately,,
直様,すぐさま,immediately,,
うんざり,うんざり,tedious,,
ひっそり,ひっそり,quietly,,
大層,たいそう,very much,,
ちらり,ちらり,fleeting (glimpse),,
ぴんと,ぴんと,instinctively,,
ふっと,ふっと,suddenly,,
すっと,すっと,quickly,,
きらきら,きらきら,twinkling,,
一歩,いっぽ,one step,,
殊更,ことさら,especially,,
何せ,なにせ,anyhow,,
突如,とつじょ,suddenly,,
ずばり,ずばり,abruptly,,
ごろごろ,ごろごろ,thunderous,,
見る見る,みるみる,before one's eyes,,
にやり,にやり,broadly grinning,,
うやむやに,うやむやに,"vaguely, undecidedly",,
殊に,ことに,"especially, particularly",,
宛ら,さながら,just like​,,
当分,とうぶん,for the time being,,
自ずと,おのずと,naturally,,
程,ほど,"extent, degree, measure",,
普通,ふつう,"normally, ordinarily",,
特別,とくべつ,"extraordinary, special",,
正直,しょうじき,"honestly, frankly",,
一番,いちばん,"best, most",,
事実,じじつ,"fact, truth, reality",,
偶然,ぐうぜん,"by chance, unexpectedly",,
現在,げんざい,"the present, present time, now",,
自然,しぜん,"naturally, spontaneously",,
屡々,しばしば,"often, again and again",,
余り,あまり,"too much, excessively, (not) very",,
大勢,おおぜい,in great numbers​,,
迚も,とても,"very, awfully, exceedingly​",,
いつも,いつも,always,,
一寸,ちょっと,"a little, a bit, slightly​, somewhat",,
どうして,どうして,"how, in what way, by what means",,
近く,ちかく,"nearly, shortly",,
丁度,ちょうど,"exactly, precisely",,
初めて,はじめて,for the first time,,
色々,いろいろ,"various, all sorts of",,
段々,だんだん,gradually,,
真っ直ぐ,まっすぐ,straight ahead,,
以上,いじょう," and above, and over",,
決して,けっして,"(not) ever, never",,
十分,じゅうぶん,sufficiently,,
一生懸命,いっしょうけんめい,"very hard, with utmost effort",,
必ず,かならず,"always, without exception",,
最近,さいきん,recently,,
最初,さいしょ,beginning,,
昔,むかし,"olden days, former",,
今度,こんど,"this time, now, next time",,
途中,とちゅう,"on the way, midway",,
一度,いちど,once,,
場合,ばあい,"case, situation",,
大抵,たいてい,"mostly; ordinarily, probably",,
特に,とくに,particularly,,
例えば,たとえば,for example,,
大体,だいたい,generally,,
ほとんど,ほとんど,"almost, mostly",,
きっと,きっと,surely,,
しばらく,しばらく,for a moment,,
確り,しっかり,"tightly, firmly",,
到頭,とうとう,finally,,
これから,これから,"from now on, after this, from here",,
それ程,それほど,to that degree,,
偶に,たまに,occasionally,,
なるほど,なるほど,"that's right, indeed​",,
ちっとも,ちっとも,"(not) at all, (not) a bit",,
成るべく,なるべく,as (much) as possible,,
当時,とうじ,at that time,,
通り,とおり,the same status or way,,
なにか,なにか,something,,
なにも,なにも,(not) anything,,
最も,もっとも,"most, extremely",,
突然,とつぜん,"abrupt, sudden",,
只,ただ,"only, merely, just",,
結局,けっきょく,"after all, in the end",,
大いに,おおいに,"very, much, greatly",,
全然,ぜんぜん,(not) at all,,
更に,さらに,furthermore,,
既に,すでに,"already, too late",,
常に,つねに,"always, constantly",,
いっそう,いっそう,"much more, still more",,
是非,ぜひ,"certainly, without fail",,
無事,ぶじ,safely,,
恐らく,おそらく,"probably, likely",,
全体,ぜんたい,entirety,,
終日,しゅうじつ,"all day, for a whole day",,
