Time,Time.Read,Time.Trans,House,House.Read,House.Trans,Person,Person.Read,Person.Trans,Family,Family.Read,Family.Trans,Body,Body.Read,Body.Trans,Personality,Personality.Read,Personality.Trans,Food,Food.Read,Food.Trans,Feels,Feels.Read,Feels.Trans,Medical,Medical.Read,Medical.Trans
,,,エレベーター,エレベーター,elevator,自身,じしん,oneself,配偶者,はいぐうしゃ,"spouse, wife, husband, partner",血管,けっかん,blood vessel,心大きい,こころおおきい,generous,出し汁,だしじる,"broth, stock, sauce",,,,吐き気がする,はきけがする,feel sick
,,,ドア,ドア,door,本人,ほんにん,the person himself,長男,ちょうなん,eldest son,消化系,しょうかけい,digestive system,血あり涙あり,ちありなみだあり,sympathetic,,,,,,,吐く,はく,vomit
,,,机,つくえ,desk,自ら,みずから,oneself,次男,じなん,second son,呼吸器系,こきゅうきけい,respiratory system,思いやりのある,おもいやりのある,thoughtful,,,,,,,吐く,つく,breathe out
,,,浴室,よくしつ,bathroom,者,もの,person,三男,さんなん,third son,神経系,しんけいけい,nervous system,物分かりのいい,ものわかりのいい,understanding,,,,,,,気持ちが悪い,きもちがわるい,feel sick
,,,お手洗い,おてあらい,washroom,人物,じんぶつ,people,長女,ちょうじょ,eldest daughter,骨格,こっかく,"skeleton, skeletal structure",気分屋,きぶんや,moody,,,,,,,目が痒い,めがかゆい,have an itchy eye
,,,トイレ,トイレ,toilet,美人,びじん,beautiful woman,次女,じじょ,second daughter,脳,のう,brain,ロマンチック,ロマンチック,romantic,,,,,,,目を擦る,めをこする,rub one’s eye
,,,シャワー,シャワー,shower,人ごみ,ひとごみ,crowd of people,親戚,しんせき,"relative, relation, kin​",肺,はい,lungs,尻が重い,しりがおもい,lazy,,,,,,,目を掻く,めをかく,rub one’s eye
,,,お風呂,おふろ,bathtub,大衆,たいしゅう,"general public, the masses",親類,しんるい,"relative, relation, kin​",心臓,しんぞう,heart,おっちょこちょい,おっちょこちょい,careless,,,,,,,風邪を引いて辛い,かぜをひいてつらい,feel terrible of colds
,,,浴槽,よくそう,bathtub,少年,しょうねん,boy,親族,しんぞく,"relative, relation",腎臓,じんぞう,kidneys,ケチ,ケチ,shabby,,,,,,,アレルギーがある,アレルギーがある,have an allergy
,,,便器,べんき,toilet bowl,少女,しょうじょ,girl,孫,まご,grandchild,腸,ちょう,intestines,大人しい,おとなしい,"obedient, docile, quiet",,,,,,,頭ががんがんする,あたまががんがんする,have a pounding headache
,,,入浴する,にゅうよくする,to bathe,青年,せいねん,youth,子孫,しそん,descendant,肝臓,かんぞう,liver,,,,,,,,,,きりきりする,きりきりする,have a sharp pain
,,,,,,中年,ちゅうねん,middle-aged,先祖,せんぞ,"ancestor, forefather",左腕,さわん,left arm,,,,,,,,,,下痢する,げりする,have a diarrhea
,,,,,,女子,じょし,"woman, girl",祖先,そせん,ancestor,右腕,みぎうで,right arm,,,,,,,,,,すぎすぎする,すぎすぎする,have a throbbing pain
,,,,,,男子,だんし,"man, boy",,,,,,,,,,,,,,,,吐き気がする,はきけがする,feel nausea
,,,,,,高齢者,こうれいしゃ,"old person, elderly person, senior citizen",,,,,,,,,,,,,,,,鼻水が出る,はなみずがでる,have a runny nose
,,,,,,住民,じゅうみん,"inhabitant, resident, citizen",,,,,,,,,,,,,,,,腫れる,はれる,swell
,,,,,,通行人,つうこうにん,passerby,,,,,,,,,,,,,,,,ひりひりする,ひりひりする,stinging pain
,,,,,,前身,ぜんしん,"antecedents, ancestor, predecessor",,,,,,,,,,,,,,,,震える,ふるえる,to tremble
,,,,,,,,,,,,,,,,,,,,,,,,骨を折る,ほねをおる,break a bone
,,,,,,,,,,,,,,,,,,,,,,,,目眩がする,めまいがする,fell dizzy
,,,,,,,,,,,,,,,,,,,,,,,,新型,しんがた,new strain
,,,,,,,,,,,,,,,,,,,,,,,,重症,じゅうしょう,serious illness
,,,,,,,,,,,,,,,,,,,,,,,,医療,いりょう,medical care
,,,,,,,,,,,,,,,,,,,,,,,,怪我する,けがする,be injured
,,,,,,,,,,,,,,,,,,,,,,,,血が出る,ちが出る,blood comes out
,,,,,,,,,,,,,,,,,,,,,,,,骨を折る,ほねをおる,broken bone
,,,,,,,,,,,,,,,,,,,,,,,,火傷する,やけどする,get burned
,,,,,,,,,,,,,,,,,,,,,,,,マスクをする,マスクをする,wear a mask
,,,,,,,,,,,,,,,,,,,,,,,,目薬,めぐすり,eyedrops
,,,,,,,,,,,,,,,,,,,,,,,,氷で冷やす,こおりでひやす,cool by ice
,,,,,,,,,,,,,,,,,,,,,,,,元気がある,げんきがある,"healthy, lively"
,,,,,,,,,,,,,,,,,,,,,,,,元気がない,げんきがない,"unhealthy, unlively"
,,,,,,,,,,,,,,,,,,,,,,,,咳が出る,せきがでる,coughing
,,,,,,,,,,,,,,,,,,,,,,,,嚏が出る,くしゃみがでる,sneeze
,,,,,,,,,,,,,,,,,,,,,,,,熱がある,ねつがある,fever
,,,,,,,,,,,,,,,,,,,,,,,,寒気がする,さむけがする,"chill, shiver"
,,,,,,,,,,,,,,,,,,,,,,,,眠い,ねむい,sleepy
,,,,,,,,,,,,,,,,,,,,,,,,気分がいい,きぶんがいい,feel good
,,,,,,,,,,,,,,,,,,,,,,,,気分が悪い,きぶんがわるい,feel bad
,,,,,,,,,,,,,,,,,,,,,,,,調子がいい,ちょうしがいい,in good form
,,,,,,,,,,,,,,,,,,,,,,,,調子が悪い,ちょうしがわるい,in bad shape
,,,,,,,,,,,,,,,,,,,,,,,,具合がいい,ぐあいがいい,feel good
,,,,,,,,,,,,,,,,,,,,,,,,具合が悪い,ぐあいがわるい,feel bad
,,,,,,,,,,,,,,,,,,,,,,,,顔色がいい,かおいろがいい,good complexion
,,,,,,,,,,,,,,,,,,,,,,,,顔色が悪い,かおいろがわるい,bad complexion
,,,,,,,,,,,,,,,,,,,,,,,,病気が治る,びょうきがなおる,be cured of a disease
,,,,,,,,,,,,,,,,,,,,,,,,病気を治す,びょうきをなおす,cure a disease
,,,,,,,,,,,,,,,,,,,,,,,,風邪が治る,かぜがなおる,get over a cold
,,,,,,,,,,,,,,,,,,,,,,,,風邪を治す,かぜをなおす,cure a cold
,,,,,,,,,,,,,,,,,,,,,,,,怪我が治る,けががなおる,recover from an injury
,,,,,,,,,,,,,,,,,,,,,,,,怪我を治す,けがをなおす,cure an injury
,,,,,,,,,,,,,,,,,,,,,,,,治る,なおる,"be cured, be healed"
,,,,,,,,,,,,,,,,,,,,,,,,治す,なおす,"to cure, to heal"
,,,,,,,,,,,,,,,,,,,,,,,,専門の医師に見てもらう,,see a specialist
,,,,,,,,,,,,,,,,,,,,,,,,医師の診察を受ける,,see the doctor
,,,,,,,,,,,,,,,,,,,,,,,,歯医者にかかる,,go to see a dentist
,,,,,,,,,,,,,,,,,,,,,,,,インフルエンザにかかる,,catch a flu
,,,,,,,,,,,,,,,,,,,,,,,,病気に症状,,symptoms of a sickness
,,,,,,,,,,,,,,,,,,,,,,,,注射をしてもらう,,get an injection
,,,,,,,,,,,,,,,,,,,,,,,,手術を受ける,,have an operation
,,,,,,,,,,,,,,,,,,,,,,,,痛みをがまんする,,endure pain
,,,,,,,,,,,,,,,,,,,,,,,,花粉症になる,,suffer from hay fever
,,,,,,,,,,,,,,,,,,,,,,,,うがいする,,gurgle
,,,,,,,,,,,,,,,,,,,,,,,,手を傷,,cut or wound on hand
,,,,,,,,,,,,,,,,,,,,,,,,やけどをする,,get burned
,,,,,,,,,,,,,,,,,,,,,,,,大したことがない,,not a big deal
,,,,,,,,,,,,,,,,,,,,,,,,ましになる,,still bad but better
,,,,,,,,,,,,,,,,,,,,,,,,お見舞に行く,,visit a sick
,,,,,,,,,,,,,,,,,,,,,,,,薬を飲む,,take medicine
,,,,,,,,,,,,,,,,,,,,,,,,薬をつける,,apply medicine
,,,,,,,,,,,,,,,,,,,,,,,,医者に行く,,go to a doctor
,,,,,,,,,,,,,,,,,,,,,,,,入院する,,be hospitalized
,,,,,,,,,,,,,,,,,,,,,,,,横になる,,to lie down
,,,,,,,,,,,,,,,,,,,,,,,,口を開ける,,open one’s mouth
,,,,,,,,,,,,,,,,,,,,,,,,熱を計る,,measure the temperature
,,,,,,,,,,,,,,,,,,,,,,,,息を吸う,,to inhale
,,,,,,,,,,,,,,,,,,,,,,,,息を吐く,,to exhale
,,,,,,,,,,,,,,,,,,,,,,,,息を止める,,hold one’s breath
,,,,,,,,,,,,,,,,,,,,,,,,過去最多,,most on record
,,,,,,,,,,,,,,,,,,,,,,,,感染,かんせん,"infection, contagion"
,,,,,,,,,,,,,,,,,,,,,,,,予防,よぼう,"prevention, precaution"
,,,,,,,,,,,,,,,,,,,,,,,,現場,げんば,scene
,,,,,,,,,,,,,,,,,,,,,,,,名前,なまえ,name
,,,,,,,,,,,,,,,,,,,,,,,,生年月日,せいねんがっぴ,date of birth
,,,,,,,,,,,,,,,,,,,,,,,,年齢,ねんれい,"age, years"
,,,,,,,,,,,,,,,,,,,,,,,,歳,さい,years old
,,,,,,,,,,,,,,,,,,,,,,,,住所,じゅうしょ,address
,,,,,,,,,,,,,,,,,,,,,,,,電話番号,でんわばんごう,phone number
,,,,,,,,,,,,,,,,,,,,,,,,診察券,しんさつけん,patients registration ticket
,,,,,,,,,,,,,,,,,,,,,,,,お検証,おけんしょう,verification
,,,,,,,,,,,,,,,,,,,,,,,,診てもらう,みてもらう,"checkup, see a doctor"
,,,,,,,,,,,,,,,,,,,,,,,,医者,いしゃ,doctor
,,,,,,,,,,,,,,,,,,,,,,,,お医者さん,おいしゃさん,doctor
,,,,,,,,,,,,,,,,,,,,,,,,患者,かんじゃ,patient
,,,,,,,,,,,,,,,,,,,,,,,,患者さん,かんじゃさん,patient
,,,,,,,,,,,,,,,,,,,,,,,,看護師,かんごし,nurse
,,,,,,,,,,,,,,,,,,,,,,,,入院する,にゅういんする,hospitalization
,,,,,,,,,,,,,,,,,,,,,,,,退院する,たいいんする,discharge
,,,,,,,,,,,,,,,,,,,,,,,,薬を飲む,くすりをのむ,drinking the medicine
,,,,,,,,,,,,,,,,,,,,,,,,日分,にちぶん,days
,,,,,,,,,,,,,,,,,,,,,,,,食前,しょくぜん,before meals
,,,,,,,,,,,,,,,,,,,,,,,,食べる前に,たべるまえに,before eating
,,,,,,,,,,,,,,,,,,,,,,,,食後,しょくご,after a meal
,,,,,,,,,,,,,,,,,,,,,,,,食べた後に,たべたあとに,after eating
,,,,,,,,,,,,,,,,,,,,,,,,内科,ないか,internal medicine
,,,,,,,,,,,,,,,,,,,,,,,,外科,げか,surgery department
,,,,,,,,,,,,,,,,,,,,,,,,内服薬,ないふくやく,medicine taken internally
,,,,,,,,,,,,,,,,,,,,,,,,痛い,いたい,"painful, sore, hurts"
,,,,,,,,,,,,,,,,,,,,,,,,動かす,うごかす,"to move, mobilize"
,,,,,,,,,,,,,,,,,,,,,,,,動く,うごく,moves
,,,,,,,,,,,,,,,,,,,,,,,,切る,きる,to cut
,,,,,,,,,,,,,,,,,,,,,,,,凝る,こごる,to have stiffness
,,,,,,,,,,,,,,,,,,,,,,,,吸う,すう,"to inhale, to smoke"
,,,,,,,,,,,,,,,,,,,,,,,,出す,だす,"to take, prescribe, submit"
,,,,,,,,,,,,,,,,,,,,,,,,詰まる,つまる,to clog
,,,,,,,,,,,,,,,,,,,,,,,,計る,はかる,to measure
,,,,,,,,,,,,,,,,,,,,,,,,休む,やすむ,"to rest, to be absent"
,,,,,,,,,,,,,,,,,,,,,,,,付ける,つける,"to attach, apply"
,,,,,,,,,,,,,,,,,,,,,,,,出る,でる,to come out
,,,,,,,,,,,,,,,,,,,,,,,,疲れる,つかれる,get tired
,,,,,,,,,,,,,,,,,,,,,,,,止める,とめる,to stop
,,,,,,,,,,,,,,,,,,,,,,,,忘れる,わすれる,to forget
,,,,,,,,,,,,,,,,,,,,,,,,上げる,あげる,to raise
,,,,,,,,,,,,,,,,,,,,,,,,下げる,さげる,to lower
,,,,,,,,,,,,,,,,,,,,,,,,ここはどうですか,ここはどうですか,how does it feel here
,,,,,,,,,,,,,,,,,,,,,,,,大きく口を開けて,おおきくくちをあけて,open your mouth wide
,,,,,,,,,,,,,,,,,,,,,,,,上だけ脱いで,うえだけぬいで,take off your top
,,,,,,,,,,,,,,,,,,,,,,,,後ろを向いて,うしろをむいて,turn around
,,,,,,,,,,,,,,,,,,,,,,,,仰向けになって,あおむけになって,lie on your back
,,,,,,,,,,,,,,,,,,,,,,,,うつ伏せになって,うつぶせになって,lie face down
,,,,,,,,,,,,,,,,,,,,,,,,大きく息を吸って,おおきくいきをすって,take a deep breath
,,,,,,,,,,,,,,,,,,,,,,,,夜遅くまで起きている,よるおそくまでおきている,stay up late at night
,,,,,,,,,,,,,,,,,,,,,,,,無理をする,むりをする,to overstrain
,,,,,,,,,,,,,,,,,,,,,,,,色々なことを忘れる,いろいろなことをわすれる,forget various things
,,,,,,,,,,,,,,,,,,,,,,,,健康に気をつける,けんこうにきをつける,take care of yourself
,,,,,,,,,,,,,,,,,,,,,,,,対策,たいさく,countermeasure
,,,,,,,,,,,,,,,,,,,,,,,,緊急,きんきゅう,"urgency, emergency"
,,,,,,,,,,,,,,,,,,,,,,,,急増,きゅうぞう,rapid increase
,,,,,,,,,,,,,,,,,,,,,,,,次々,つぎつぎ,"in succession, one by one"
,,,,,,,,,,,,,,,,,,,,,,,,最多,さいた,"most, numerous"
,,,,,,,,,,,,,,,,,,,,,,,,激辛,げきから,extremely spicy
,,,,,,,,,,,,,,,,,,,,,,,,体育祭,たいいくさい,"athletic festival, sports day"
,,,,,,,,,,,,,,,,,,,,,,,,医学,いがく,medical sciemce
,,,,,,,,,,,,,,,,,,,,,,,,医師,いし,physician
,,,,,,,,,,,,,,,,,,,,,,,,医大,いだい,medical school
,,,,,,,,,,,,,,,,,,,,,,,,医薬,いやく,medicine
,,,,,,,,,,,,,,,,,,,,,,,,主治医,しゅじい,attending physician
,,,,,,,,,,,,,,,,,,,,,,,,医科,いか,medical science
,,,,,,,,,,,,,,,,,,,,,,,,獣医,じゅうい,veterinarian
,,,,,,,,,,,,,,,,,,,,,,,,女医,じょい,female doctor
,,,,,,,,,,,,,,,,,,,,,,,,医長,いちょう,medical director
,,,,,,,,,,,,,,,,,,,,,,,,開業医,かいぎょうい,private clinician
,,,,,,,,,,,,,,,,,,,,,,,,外科医,げかい,surgeon
,,,,,,,,,,,,,,,,,,,,,,,,法医学,ほういがく,forensic medicine
,,,,,,,,,,,,,,,,,,,,,,,,医師会,いしかい,medical association
,,,,,,,,,,,,,,,,,,,,,,,,医科学,いかがく,medical college
,,,,,,,,,,,,,,,,,,,,,,,,軍医,ぐんい,military physician
,,,,,,,,,,,,,,,,,,,,,,,,眼科医,がんかい,ophthalmologist
,,,,,,,,,,,,,,,,,,,,,,,,医事,いじ,medical practice
,,,,,,,,,,,,,,,,,,,,,,,,校医,こうい,school doctor
,,,,,,,,,,,,,,,,,,,,,,,,医務,いむ,medical affairs
,,,,,,,,,,,,,,,,,,,,,,,,救急医療,きゅうきゅういりょう,emergency medicine
,,,,,,,,,,,,,,,,,,,,,,,,医学生,いがくせい,medical student
,,,,,,,,,,,,,,,,,,,,,,,,監察医,かんさつい,medical coroner
,,,,,,,,,,,,,,,,,,,,,,,,医学界,いがくかい,medical world
,,,,,,,,,,,,,,,,,,,,,,,,診断,しんだん,"diagnosis, medical examination"
,,,,,,,,,,,,,,,,,,,,,,,,診察,しんさつ,medical examination
,,,,,,,,,,,,,,,,,,,,,,,,聴診器,ちょうしんき,stethoscope
,,,,,,,,,,,,,,,,,,,,,,,,診る,みる,examine medically
,,,,,,,,,,,,,,,,,,,,,,,,診療,しんりょう,diagnosis and treatment
,,,,,,,,,,,,,,,,,,,,,,,,診療所,しんりょうしょ,"clinic, medical office"
,,,,,,,,,,,,,,,,,,,,,,,,健康診断,けんこうしんだん,physical examination
,,,,,,,,,,,,,,,,,,,,,,,,往診,おうしん,"doctor's visit, house call​"
,,,,,,,,,,,,,,,,,,,,,,,,初診,しょしん,initial medical examination
,,,,,,,,,,,,,,,,,,,,,,,,診察室,しんさつしつ,examining room
,,,,,,,,,,,,,,,,,,,,,,,,誤診,ごしん,wrong diagnosis
,,,,,,,,,,,,,,,,,,,,,,,,診断書,しんだんしょ,medical certificate
,,,,,,,,,,,,,,,,,,,,,,,,診察台,しんさつだい,examination table
,,,,,,,,,,,,,,,,,,,,,,,,診察券,しんさつけん,patient's registration ticket
