Words,Meaning,Sentences,Translation,Level
か,sentence ender-question,この電車はどこに行きますか。,Where does this train go?,1
その,that,その本はもう読みました。,I have already read that book.,1
けれど,"but, however, although",何度も聞いたけれど、よくわかりません。,"I have asked many times, but I still don’t understand.",1
から,from,駅から学 校まではどのくらいかかりますか。,How long does it take to get to the school from the station?,1
よう,speculation,お昼ごはんを食べよう。,Let’s eat lunch.,1
思う,think,それはいいアイディアではないと思う。,I don’t think that’s a good idea.,1
物,thing-object,重い物は棚の上に置かないでください。,Please do not put heavy objects on the shelf.,1
そう,in that way-that’s right,そうですよね。,"Yes, that’s so right, isn’t it?",1
何,what-something,これは何の料理ですか。,What dish is this?,1
私,i-me,私は日本語の教師です。,I am a Japanese teacher.,1
しまう,finish-close-end up doing,この作 業は早く終わらせてしまうほうがいい。,It is best that we finish up this task quickly.,1
それ,that,それをここに持ってきてもらえますか。,Can you please bring that here?,1
とか,"and or-such, like",牛乳やバターとかは後で買おう。,Let’s get things like milk and butter later.,1
この,this,このお店に入りましょう。,Let’s go into this store.,1
無い,not being there,その書類はこのオフィスには無いです。,The document is not in this office.,1
行く,go-carry out-perform,このプロジェクトがいい方向に行くといいね。,I hope this project goes in the right direction.,1
んだ,it is that-the fact is that,本 当のことを言うと、その花瓶は私が壊したんだ。,"To tell you the truth, I broke the vase.",1
のだ,it is that-the fact is that,この法 律は19世紀に作られたのだ。,This law was made in the 19th century.,1
せる,causative-make do-let do,このゴミは彼に片付けさせるつもりです。,I will make him clean up this mess.,1
これ,this,どうぞ、これをお持ちください。,Please take this with you.,1
もう,soon-already-again,もう夏休みは終わりです。,The summer break is already over.,1
である,copula,新消費税率は10%である。,The new consumption tax rate is 10%.,1
時,time-hour-occasion,景気のいい時は、よく物が売れる。,Goods sell well when the economy is good.,1
な,sentence ender-emphasize,この映画はつまらないな。,This movie is so boring!,1
ず,not doing,文句を言わずにいられない。,I cannot stand by without complaining.,1
ので,because-since,値段が高かったので、買うのをやめた。,I did not buy it because it was expensive.,1
んで,because-since,金曜日はレストランが混むんで、土曜日に行こう。,"Since the restaurant will be crowded on Friday, let’s go on Saturday.",1
人,person,世界には多くの人がいます。,There are a lot of people in the world.,1
よ,sentence ender-emphasis,急いだほうがいいよ。,We’d better hurry up!,1
こう,so-like this-in this way,その算数の問題はこうすると解けるよ。,The math problem can be solved like this.,1
ば,if-when,このプロジェクトが終われば、休みが取れます。,"When this project is over, I can go on a vacation.",1
や,such things as-and,赤や黄色の花が咲いている。,Red and yellow flowers are in bloom.,1
来る,come,もうすぐ春が来る。,Spring is coming soon.,1
まで,to-till-until,シフトは5時までです。,My shift is till 5 o’clock.,1
見る,see-look,よく見ると、小さな穴があるね。,"If you look closely, there is a small hole.",1
たり,successive action,歌ったり、踊ったりするのが好きです。,I like doing things like singing and dancing.,1
今,now,今はまだお腹が空いていない。,I am not hungry now.,1
良い,good-nice-fine,この前の試験で良い成績をとりました。,I got a good score on the recent exam.,1
いい,good-nice-fine,いいレストランを知し っています。,I know a nice restaurant.,1
所,place-part-aspect,住むのに一番便利な所はどこですか。,Where is the most convenient place to live?,1
自分,oneself,自分の問 題は自分で解決しなさい。,Solve your own problems yourself.,1
やはり,also-still-as expected,やはり、私も同じ気持ちです。,"There you have it, still, I am of that train of thought too.",1
やっぱり,also-still-as expected,やっぱり、あなたが思った通りになりましたね。,"Ultimately, it turned out just as you expected.",1
たい,want to,私も一 緒に行きたいです。,I want to go with you.,1
やる,do-undertake-make,そのゲームをやると楽しいでしょうね。,It would be fun to play that game.,1
中,inside-in-into,早く家の中に入りなさい。,Come inside the house quickly!,1
いる,be-exist-stay,ドアの向こうにいるのは誰。,Who is behind the door?,1
出来る,be able to-be ready,テニスが出来るようになるためには練習が必要だ。,Practice is necessary to be able to play tennis.,1
など,et cetera-and so on,そのお店には食 器や家具などがあります。,"That store has tableware, furniture, and so on.",1
として,as a,私は親として責任があります。,I am responsible as a parent.,1
後,behind-after-later,この後、日本語のレッスンに行きます。,"After this, I will go to a Japanese lesson.",1
また,again-and-also,また会いましょう。,See you again.,1
ちょっと,just a little-a bit,ちょっと話しましょう。,Let’s have a little talk.,1
てくる,do and come back,買い物に行ってくる。,I’m going shopping.,1
だけ,only-merely-just,自分の荷物だけ持ってください。,Please hold only your own luggage.,1
くらい,about-around-approximately,おこずかいは五千円くらいほしい。,I want about five thousand yen for pocket money.,1
ぐらい,about-around-approximately,自分の弁当ぐらいは自分で作らないといけない。,You should at least prepare your own lunch.,1
ではない,is,私は店員ではない。,I am not a staff member.,1
方,direction-way-side-method,こっちの方にきてください。,Please come this way.,1
ていく,direction towards a location,歩いていくならスニーカーを履きましょう。,"If we’re going to walk there, let’s wear sneakers.",1
てく,direction towards a location,明日はどのバッグを持ってくの。,Which bag are you going to take there tomorrow?,1
訳,reason-cause,けんかになった訳は何なの。,What was the reason for the fight?,1
へ,to-towards,先生へ手紙を書こう。,Write a letter to the teacher.,1
どう,how-in what way,このお店はどうですか。,How about this store?,1
し,reasons-and,わたしは宿 題もやったし、庭の掃除もした。,I did my homework and cleaned the garden.,1
本当,truth-real-right,その話は本当ですか。,Is the story true?,1
持つ,have-hold-carry-possess,私 はいつも右手でペンを持つ。,I always hold my pen in my right hand.,1
出る,go out-come out-leave-exit,午 前 中にホテルを出る。,I will leave the hotel in the morning.,1
為,for-benefit-sake,私は健康の為に野菜を食べます。,I eat vegetables for my health.,1
すごい,wonderful-amazing,サーカスのアクロバットはすごい!,The circus acrobatics are amazing!,1
考える,think about-consider,自分の未来について考える。,I think about my future.,1
そこ,there-then,そこの看板には何と書いてありますか。,What is written on the signboard there?,1
分かる,understand,あなたの気持ちは分かる。,I understand your feelings.,1
ておる,be-ing-have been-ing,私は子供に柔道を教えております。,I am teaching judo to children.,1
について,about-concerning,日本の歴史について知りたいです。,I want to learn about Japanese history.,1
それで,and then-so,この町は子供が多い。それで児童館が作られました,"This town has many children. Because of that, they opened a children’s center.",1
入る,enter-come in,東の入り口からビルに入る。,Enter the building from the east entrance.,1
作る,make-create-produce,学校で宇宙基地の模型を作る。,We make a model of a space base at school.,1
てみる,try to do something,新しいレシピでカレーを作ってみる。,I am going to try making curry with a new recipe.,1
聴く,hear-listen,車でラジオを聴く。,I listen to the radio in the car.,1
聞く,hear-ask,駅で行き先を聞く。,I will ask for directions at the station.,1
そして,and-so-and then,私は留 学をしました。そして外交官になりました。,"I studied abroad, and then became a diplomat.",1
くれる,be given,このストーリータイムはぬり絵をくれる,You will be given a coloring sheet at this story time.,1
場合,case-situation,咳がでる場合はマスクをしてください。,"In case you have a cough, please wear a mask.",1
話,talk-story,彼からおもしろい話を聞いた。,I heard an interesting story from him.,1
ながら,while-during,車を運転しながら携帯を見てはいけない。,You mustn’t use a cell phone while driving.,1
そんな,such-that,私 はそんなケースを聞いたことがない。,I have never heard of such a case.,1
使う,use-handle,今日は新しいカードを使う。,I am using a new card today.,1
日本,japan,日本は島国です。,Japan is an island nation.,1
風,style-way-manner,これは関東風のうどんです。,This is Kanto style udon.,1
前,front-ago-before,家の前に車をとめる。,Park your car in front of the house.,1
多い,many-much,このタワーマンションは独身の人が多い,This apartment tower has many single people.,1
よく,nicely-well-frequently,このレポートはとてもよく書かれている。,This report is well written.,1
ひとつ,one,そのケーキを一つください。,Please give me one piece of cake.,1
子供,children,子供部屋のある家を探しています。,We are looking for a house with a children's room.,1
非常,emergency-extremely,非 常の時は119番してください。,Please call 119 in the event of an emergency.,1
気,mind-feeling,やる気になれば何でもできる。,You can do anything if you set your mind to it.,1
ても,even if-even though,いくら注 意しても、彼は同じ間違いをする。,He makes the same mistakes no matter how careful he tries to be.,1
取る,take-get,テストで満点を取る。,Get a perfect score on the test.,1
うち,inside,箱のうちがわに説明があります。,There is an explanation on the inside the box.,1
知る,know-be aware of,インターネットで地震についてのニュースを知った。,I became aware of news about an earthquake from the Internet.,1
より,than-from,私は猫より犬が好きだ。,I like dogs more than cats.,1
それから,and then,夕食を食べて、それから風呂に入りました。,"I had dinner, and then took a bath.",1
感じ,feeling-impression-atmosphere,あまり感じのいい店員ではなかった。,The store clerk did not leave a very good impression.,1
みたい,like-sort of-similar to,ビーチで子供みたいに遊ぶ。,Play like a kid when you’re at the beach.,1
でも,but-though,でも、ゲームに勝つことはできませんでした。,But we could not win the game.,1
ここ,here,ここにあった本がどこにあるか知りませんか。,Do you know what happened to the book that was here?,1
とっても,very-awfully-extremely,私はこのくまのキャラクターがとっても好きです。,I like this bear character very much.,1
とても,very-awfully-extremely,今日はとても大きな犬を連れている人に会った。,I met a man with an extremely big dog today.,1
いろいろ,various,この本屋はいろいろなジャンルの本を売っている。,This bookstore sells various genres of books.,1
一,one,一から順に数える。,Count in order from one.,1
一番,number one-first-most,一番高い携帯電話はどれですか。,Which is the most expensive cell phone?,1
二,two,ねこを二匹飼っています。,I have two cats.,1
同じ,same,この前と同じ場所で会いましょう。,See you at the same place as the last time.,1
まず,first of all,まず、あなたの親切さに感謝したいと思います。,"First, I would like to thank you for your kindness.",1
必要,necessary-necessity,パスポートの更新に必要な書類を用意する。,Prepare the necessary documents for renewing your passport.,1
仕事,work-job-occupation,今日は仕事があります。,I have work to do today.,1
あまり,not very,反応はあまり良くありませんでした。,The response was not very favorable.,1
によって,by-depending on,台風によって、イベントは中止になりました。,The event was canceled due to the typhoon.,1
かもしれない,may-perhaps,住所を間違ったかもしれない。,You may have gotten the address wrong.,1
僕,i-me,僕のサッカーのシューズはどこ。,Where are my soccer shoes?,1
"皆, みんな",all-everyone,みんなの意見を聞いてプランを決めよう。,Listen to everyone's opinions and decide on a plan.,1
彼,he-him-boyfriend,彼は私の中学校の同級生だ。,He is my junior high school classmate.,1
食べる,eat,午前7時に朝食を食べる。,I eat breakfast at 7:00 AM.,1
ほど,extent-degree-max.amount,私の親ほど心配性のある人はいない。,No one worries as much as my parents do.,1
しかし,however-but,しかし、仲良しになったとはいえない。,"However, you couldn’t say that they have become friends.",1
書く,write,私は毎日日記を書く。,I write a diary every day.,1
入れる,put in-insert,食料品をかごに入れる。,Put your groceries in the basket.,1
次,next,次は東京駅です。,The next stop is Tokyo Station.,1
結構,nice-fine-quite,料理がとても結構なお味だった。,The food was quite delicious.,1
問題,problem-question,算数の問題が難しい。,The math question is difficult.,1
例えば,for example-such as,例えば生まれかわるなら何になりたいですか。,"For example, what would you like to be reborn as?",1
目,eye-eyeball,赤ちゃんの目はかわいい。,Babies’ eyes are adorable.,1
眼,eye-eyeball,眼が悪くなったのでめがねがいる。,"My eyes are getting worse, so I will need glasses.",1
頃,time-around-about,四月頃にはさくらが咲くだろう。,The cherry blossoms will bloom around April.,1
上,above-up-over-top,これは上からの指示だ。,These instructions are from the top.,1
くださる,give-bestow,お隣の方はよくお菓子をくださる。,The neighbors often give me treats.,1
他,other-the rest,これの他にほしいものはない。,There is nothing that I want other than this.,1
いつ,when-how soon,お父さんはいつ帰ってくるの,When will my dad come home?,1
家,house-family,家の電話に連絡をください。,Please contact me at my home phone number.,1
日,day-days,今日はパーティに行く日だ。,Today is the day to go to the party.,1
付く,attached-sticaccompany,お子様セットにはおもちゃが付く。,The kid’s meal comes with a toy.,1
出す,take out-put out,火曜日はリサイクルのゴミを出す日だ。,Tuesday is the day to put out recycling garbage.,1
一人,one person,子供は一人しかいません。,There is only one child.,1
人間,human being,猿と人間の違いはなんだろう。,What is the difference between monkeys and humans?,1
どこ,where-what place,この迷子の親はどこだろう。,Where are this lost child's parents?,1
時間,time-hours,時間を忘れて暗くなるまで遊んでしまった。,I forgot about the time and played until it was dark.,1
ただ,ordinary-common,これはただのおもちゃの汽車です。,This is an ordinary toy train.,1
だから,"so, therefore",今日はデートがある。だから、早く帰りたいんだ。,"I have a date today. So, I want to go home early.",1
違う,differ-vary,僕らの意見はいつも違う。,Our opinions are always different.,1
受ける,receive-get-catch,サッカーのゴールキーパーがシュートを受ける。,"In soccer, the goalkeeper tries to catch the shot.",1
言葉,language-words,大事なことを伝えるには、言葉は選んだ方がいい。,You should choose your words carefully when you talk about matters of importance.,1
なんか,things like-something,彼女の誕生日プレゼントにこのネックレスなんかどうですか。,How about something like this necklace for her birthday present?,1
少し,small-a little,少し寒くなってきたようだ。,It seems to be getting a little cold.,1
まま,as it is,そのままにしておいてください。,Please leave it as it is.,1
買う,buy-purchase,コンビニでお弁 当を買う。,I buy lunch at a convenience store.,1
まだ,as yet-still,まだ夏休みの宿題がいっぱい残っている。,I still have a lot of summer homework.,1
手,hand-arm,手遊びのグーチョキパー知っている?,"Do you know about the hand game, Rock Paper Scissors?",1
話す,talk-speak,赤ちゃんは何ヶ月から話すようになるのだろう。,I wonder at how many months the baby will start speaking.,1
好き,like-love,私は古い映画が好きです。,I like old movies.,1
返る,return-come back,落とし物が持ち主に返る。,Lost items may return to their owners.,1
てもらう,have someone do something,お父さんにこのおもちゃを買ってもらう 。,I will have my father buy this toy.,1
掛ける,hang,上着をハンガーに掛けてください。,"Hang your jacket on a hanger, please.",1
終わる,finish-end,もう少しでこのプロジェクトが終わる。,This project will be finished soon.,1
意味,meaning-sense,上 司の言っている言葉の意味がわからない。,I don't understand what my boss means.,1
のである,assertation,この公園はオリンピックを記念してつくられたのである。,This park was built to commemorate the Olympics.,1
いろんな,various,この絵はいろんな色が使われているね。,This picture uses various colors.,1
付ける,put-attach-apply,虫刺されにかゆみ止めを付ける。,Apply anti-itch cream on insect bites.,1
形,form-shape-figure,まる、三 角、四角の他にどんな形があるだろう。,"What other shapes are there besides circles, triangles and squares?",1
かなり,considerably-quite,今度の台風はかなり大きいらしい。,The next typhoon seems to be quite big.,1
三,three,一、二、三の合図で鬼ごっこしよう。,"Let’s play tag on the count of one, two, and three.",1
最初,first,最初は誰でもわからない事が多い。,There are many things that no one understands at first.,1
間,distance-period-between,この壁と壁の間に棚を作ります。,We will build a shelf between these walls.,1
感じる,feel,今朝の風は肌に寒く感じる。,This morning's wind feels cold on my skin.,1
しか,only-just-no more than,財布に百円しか入っていない。,I only have one-hundred yen in my wallet.,1
かかる,hang-take-cost,この家を改 築するにはかなりの費用がかかる。,It will cost a lot to renovate this house.,1
大きな,big-great,人 間の子供ぐらいの大きな犬がいた。,There was a big dog about the size of a human child.,1
住む,live,このアパートに住むことにしよう。,We will live in this apartment.,1
最近,recently-lately,最近は高齢者による車の事故が増えている。,"Recently, car accidents caused by elderly people are increasing.",1
特に,especially-particularly,最近は特にSTEMコースに人気がある。,STEM courses have been particularly popular latel,1
誰,whose-whom,ここに荷物を置いたのは誰ですか。,Who left their luggage here?,1
こんな,such-like that,こんなおいしいケーキは食べたことがない。,I have never eaten such a delicious cake.,1
友達,friend,友達は一 生の宝だ。,Friends are a lifetime treasure.,1
大きい,big-great-large,あそこに見える大きい家が祖父の家です,The large house over there is my grandfather's.,1
すぐ,soon,この書 類をすぐに届けてもらえますか。,Can you deliver this document soon?,1
一緒,together-with,友 達と一緒にディナーに行った。,I went out for dinner with a friend.,1
