Words,Reading,Meaning
模倣,もほう,"imitation, copying"
規模,きぼ,"scale, scope, plan, structure"
模範,もはん,"exemplar, model, example, pattern"
大規模,だいきぼ,large-scale
模擬,もぎ,imitation
模擬試験,もぎしけん,"mock exam, practice test"
空模様,そらもよう,look of the sky
模試,もし,mock exam
雨模様,あまもよう,signs of rain
模写,もしゃ,"copying, reproduction"
模索,もさく,"groping for, fumbling around, searching for"
地球規模,ちきゅうきぼ,global scale
模造品,もぞうひん,fake goods
小規模,しょうきぼ,small scale
模造,もぞう,"imitation, counterfeit, fake"
模範的,もはんてき,exemplary
模様替え,もようがえ,"rearranging, remodeling"
模擬店,もぎてん,refreshment booth
中規模,ちゅうきぼ,"mid-scale, mid-range"
模する,もする,"to imitate, copy"
市場規模,しじょうきぼ,market scale
模型化,もけいか,modelling
模型地図,もけいちず,relief map
模擬裁判,もぎさいばん,mock trial
世界規模,せかいきぼ,worldwide scale
模式図,もしきず,schematic diagram​
模作,もさく,imitation work
最大規模,さいだいきぼ,largest scale
模式標本,もしきひょうほん,type specimen
幾何学模様,きかがくもよう,geometric pattern
国際規模,こくさいきぼ,international scale
大規模停電,だいきぼていでん,major power outage
態度,たいど,"attitude, manner, behaviour, demeanour"
興味,きょうみ,interest
具合,ぐあい,condition、 state
睡眠,すいみん,sleep
仮眠,かみん,"nap, doze"
不眠,ふみん,"sleeplessness, insomnia"
眠気,ねむけ,"sleepiness, drowsiness"
冬眠,とうみん,hibernation
快眠,かいみん,pleasant sleep
安眠,あんみん,sound sleep
重要,じゅうよう,"important, momentous"
短所,たんしょ,"defect, demerit, weak point"
手に入れる,てにいれる,"obtain, procure"
