Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
雑貨屋？,A general store?,,,,,,,,,,,,,,,,,,,,,,
ホームセンターならあるけど何買うの？,"There's a home improvement store, but what are you buying?",,,,,,,,,,,,,,,,,,,,,,
足りない日用品とか色々揃えておこうと思って,I was thinking of getting some household items that we don't have.,,,,,,,,,,,,,,,,,,,,,,
あの荷物で足らんのか,You don't have enough in that luggage?,,,,,,,,,,,,,,,,,,,,,,
はーい,Yes.,,,,,,,,,,,,,,,,,,,,,,
あーでもあそこ少し遠いんだよなぁ,But it's a little far from there.,,,,,,,,,,,,,,,,,,,,,,
真琴一人じゃ辿り着けないかも,Makoto might not be able to get there by himself.,,,,,,,,,,,,,,,,,,,,,,
また大丈夫ですよどのくらい掛かるですか,How long will it take?,,,,,,,,,,,,,,,,,,,,,,
歩きで２０分,20 minutes on foot.,,,,,,,,,,,,,,,,,,,,,,
あ迷いますね,"You're lost, aren't you?",,,,,,,,,,,,,,,,,,,,,,
んじゃ千夏に案内させるよ,I'll have Chinatsu show you,,,,,,,,,,,,,,,,,,,,,,
あらいいんですか,Are you sure?,,,,,,,,,,,,,,,,,,,,,,
いいよな？今日暇だって言ってたし,"You don't mind, do you? She said she's free today.",,,,,,,,,,,,,,,,,,,,,,
そうだけど…お兄ちゃんは？,"That's true, but... where's your brother?",,,,,,,,,,,,,,,,,,,,,,
オレこれから用事あっからダメなんだよ,"I have something to do, so I can't.",,,,,,,,,,,,,,,,,,,,,,
真琴はこっちのことあんまり知らないから色々案内してやれよ,"Makoto doesn't know much about this place, so show him around.",,,,,,,,,,,,,,,,,,,,,,
じゃああそこで売ってるドーナッツ買ってくれるならいいよ,"If you can buy me a doughnut from there, that's fine.",,,,,,,,,,,,,,,,,,,,,,
コラ千夏,"Hey, Chinatsu!",,,,,,,,,,,,,,,,,,,,,,
いえいえ全然構いませんよ,"No, no, no, it's totally fine.",,,,,,,,,,,,,,,,,,,,,,
ドーナッツぐらいおごらせてください,Let me at least buy you a doughnut.,,,,,,,,,,,,,,,,,,,,,,
いやオレもドーナッツ食べたい,"No, I want a doughnut too.",,,,,,,,,,,,,,,,,,,,,,
やっぱりこっちはいいですね,I like it here.,,,,,,,,,,,,,,,,,,,,,,
落ち着くといいますか,It's so relaxing,,,,,,,,,,,,,,,,,,,,,,
時間がゆっくりといいますか,It's like time slows down.,,,,,,,,,,,,,,,,,,,,,,
お姉ちゃんはどこから来たの,Where are you from?,,,,,,,,,,,,,,,,,,,,,,
出身ですか？,Where are you from?,,,,,,,,,,,,,,,,,,,,,,
私は横浜ってとこから来たんですよ,I'm from Yokohama.,,,,,,,,,,,,,,,,,,,,,,
あヨコハマ知ってるトーキョーのとこのでしょ,"I know Yokohama... from Tokyo, right?",,,,,,,,,,,,,,,,,,,,,,
あーちょっとおしいかな,It's a little bit strange...,,,,,,,,,,,,,,,,,,,,,,
わぁ広いですねぇ,"Wow, it's a big place!",,,,,,,,,,,,,,,,,,,,,,
千夏ちゃん迷子になるから離れちゃだめですよ,"Chinatsu, don't leave, you'll get lost",,,,,,,,,,,,,,,,,,,,,,
どっちが？,Which way?,,,,,,,,,,,,,,,,,,,,,,
えーとあとは,Let's see...,,,,,,,,,,,,,,,,,,,,,,
私これお兄ちゃんはこっち,"I'll take this one, and you take this one",,,,,,,,,,,,,,,,,,,,,,
なかなかの高カロリーですね,That's quite a high-calorie diet.,,,,,,,,,,,,,,,,,,,,,,
チトさんに羨ましがられそう,Tito will be envious of you.,,,,,,,,,,,,,,,,,,,,,,
では私も,I'll have some too.,,,,,,,,,,,,,,,,,,,,,,
あっそれならこっちがおすすめ,I recommend this one.,,,,,,,,,,,,,,,,,,,,,,
そうなんですか,I see.,,,,,,,,,,,,,,,,,,,,,,
こっちもおいしいよ,"This one's good, too.",,,,,,,,,,,,,,,,,,,,,,
まよちゃいますね,I'm confused.,,,,,,,,,,,,,,,,,,,,,,
おいしいですか？,Is it good?,,,,,,,,,,,,,,,,,,,,,,
めっちゃまいう,It's so good!,,,,,,,,,,,,,,,,,,,,,,
あーあったあった外で売ってたんですね,"Oh, there it is! It was sold outside!",,,,,,,,,,,,,,,,,,,,,,
ちょっと持ってってもらいますか,Can you take it?,,,,,,,,,,,,,,,,,,,,,,
ほうき買うの？,You want to buy a broom?,,,,,,,,,,,,,,,,,,,,,,
えぇ,Yes.,,,,,,,,,,,,,,,,,,,,,,
やっぱりあった方が何かと便利ですし,It's more convenient to have a broom.,,,,,,,,,,,,,,,,,,,,,,
いけるかな？,Can I go?,,,,,,,,,,,,,,,,,,,,,,
危ない,It's dangerous.,,,,,,,,,,,,,,,,,,,,,,
やっぱり竹だとクセが強いですね,Bamboo's a little quirky.,,,,,,,,,,,,,,,,,,,,,,
乗ってれば慣れるかな,I'll get used to it.,,,,,,,,,,,,,,,,,,,,,,
親戚が居候？,You have relatives staying with you?,,,,,,,,,,,,,,,,,,,,,,
そう,Yes.,,,,,,,,,,,,,,,,,,,,,,
男？,A man?,,,,,,,,,,,,,,,,,,,,,,
いや女同い年,"No, a woman... the same age.",,,,,,,,,,,,,,,,,,,,,,
いやらしっ,That's disgusting.,,,,,,,,,,,,,,,,,,,,,,
何でだよ,Why would you say that?,,,,,,,,,,,,,,,,,,,,,,
明日から同じ学校通うから紹介するわ,We're going to school together tomorrow. I'll introduce you.,,,,,,,,,,,,,,,,,,,,,,
へぇそうなんだ…でどんな子なの？,"Oh, really... so what's she like?",,,,,,,,,,,,,,,,,,,,,,
どんな子か…そうだなぁ,What's she like... let's see...,,,,,,,,,,,,,,,,,,,,,,
奇々怪々って感じ？,"She's kind of weird, isn't she?",,,,,,,,,,,,,,,,,,,,,,
えなに？カイカイ？わかんない,What? Kai kai? I don't know.,,,,,,,,,,,,,,,,,,,,,,
まぁ会えばわかるべ,"Well, you'll know when you see her.",,,,,,,,,,,,,,,,,,,,,,
お兄ちゃん,"Hey, big brother.",,,,,,,,,,,,,,,,,,,,,,
おぉうわさをすればだ,"Oh, speak of the devil.",,,,,,,,,,,,,,,,,,,,,,
ん？何が？,What? What's that?,,,,,,,,,,,,,,,,,,,,,,
そうそうゆっくり足を下ろして,"Yes, yes, yes, slowly put your foot down.",,,,,,,,,,,,,,,,,,,,,,
どうしたまよったが？,What's the matter?,,,,,,,,,,,,,,,,,,,,,,
あいえ上から見えたので降りてきました,"No, I saw you from above, so I came down.",,,,,,,,,,,,,,,,,,,,,,
お兄ちゃん見た？あいえ上から見えたので降りてきました,"Did you see my brother? No, I saw you from above, so I came down.",,,,,,,,,,,,,,,,,,,,,,
お兄ちゃん見た？,Did you see it?,,,,,,,,,,,,,,,,,,,,,,
空とんだよ空,The sky flew away.,,,,,,,,,,,,,,,,,,,,,,
見てた見てたびっくりしただろ,"You saw it, didn't you?",,,,,,,,,,,,,,,,,,,,,,
すごいすごいすごいすごいまこ姉すごすぎる,"Wow, my sister Makoko is too good!",,,,,,,,,,,,,,,,,,,,,,
おちつけおちつけすごいすごいすごいすごいまこ姉すごすぎる,"Wow, my sister Makoko is too good!",,,,,,,,,,,,,,,,,,,,,,
おちつけおちつけ,"Take it easy, take it easy",,,,,,,,,,,,,,,,,,,,,,
すごいすごいよすごいすごい,"Great, great, great, great, great, great, great, great, great",,,,,,,,,,,,,,,,,,,,,,
圭くん,Kei,,,,,,,,,,,,,,,,,,,,,,
こちらの方は？,Who's this?,,,,,,,,,,,,,,,,,,,,,,
ここの酒屋の娘石渡なお,"Ishiwatari Nao, daughter of the liquor store here",,,,,,,,,,,,,,,,,,,,,,
中学ん時の同級生,We went to junior high together.,,,,,,,,,,,,,,,,,,,,,,
お友達ですか,Friends?,,,,,,,,,,,,,,,,,,,,,,
そそ,Yes.,,,,,,,,,,,,,,,,,,,,,,
えっとはじめまして,Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
この度こちらの方で魔女をやらせていただく木幡真琴です,I'm Makoto Kibata. I'm the witch here.,,,,,,,,,,,,,,,,,,,,,,
時にご迷惑を掛けるかもしれませんがよろしくお願いします,"I may cause you trouble from time to time, but I look forward to working with you.",,,,,,,,,,,,,,,,,,,,,,
ああとんだとんだ,"Oh, no, no, no!",,,,,,,,,,,,,,,,,,,,,,
ああすごいまこ姉すごいすごすぎるすごすぎる,"Oh, my gosh, Makoto, you're just too good!",,,,,,,,,,,,,,,,,,,,,,
よし,All right,,,,,,,,,,,,,,,,,,,,,,
真琴そろそろ行くぞ,"Makoto, let's get going",,,,,,,,,,,,,,,,,,,,,,
はーい今行きます,"Yes, I'm coming!",,,,,,,,,,,,,,,,,,,,,,
こっちたっだ,"This way, this way, this way",,,,,,,,,,,,,,,,,,,,,,
すみませんお待たせしました,Sorry to keep you waiting,,,,,,,,,,,,,,,,,,,,,,
ねぇもしかして魔女ってほうきに乗って学校行くの？,"Hey, do witches ride brooms to school?",,,,,,,,,,,,,,,,,,,,,,
いえいえほうきって長い時間乗ってると,"No, no, a broom hurts when you ride it for too long",,,,,,,,,,,,,,,,,,,,,,
股に食い込んで結構痛いんですよ,"If you ride a broom for too long, it'll dig into your crotch and hurt a lot.",,,,,,,,,,,,,,,,,,,,,,
押さえるな押さえるな,"Don't push, don't push!",,,,,,,,,,,,,,,,,,,,,,
なのさん,Nanonosan...,,,,,,,,,,,,,,,,,,,,,,
おはようございますなのさん,"Good morning, Nanonosan.",,,,,,,,,,,,,,,,,,,,,,
おはよう,Good morning.,,,,,,,,,,,,,,,,,,,,,,
同じクラスですね嬉しい,We're in the same class.,,,,,,,,,,,,,,,,,,,,,,
え…あぁそうだね,I'm glad we're in the same class.,,,,,,,,,,,,,,,,,,,,,,
何怖がってんだよらしくねな,What are you scared of?,,,,,,,,,,,,,,,,,,,,,,
うっさい別に怖いわけじゃないっての,It's not that I'm scared.,,,,,,,,,,,,,,,,,,,,,,
いきなりほうきに乗って空飛んでる人見たら,It's not that I'm scared.,,,,,,,,,,,,,,,,,,,,,,
誰だって混乱するって,I'm sure everyone would be confused.,,,,,,,,,,,,,,,,,,,,,,
まったくだからオレがいつも言ってるだろ,That's exactly what I always say.,,,,,,,,,,,,,,,,,,,,,,
「常識囚われるな」って,"""Don't be afraid to think outside the box.""",,,,,,,,,,,,,,,,,,,,,,
言ってねよかっこつけんな,I didn't say that.,,,,,,,,,,,,,,,,,,,,,,
あのなのさん,Excuse me.,,,,,,,,,,,,,,,,,,,,,,
ん？,Hmm?,,,,,,,,,,,,,,,,,,,,,,
魔女ってことを除けば私もなのさんと同じ普通の女の子です,"Except for being a witch, I'm just a normal girl like you.",,,,,,,,,,,,,,,,,,,,,,
だからなのさん良かったら仲良くしてください,"So, if you'd like, be my friend.",,,,,,,,,,,,,,,,,,,,,,
あの…,Um...,,,,,,,,,,,,,,,,,,,,,,
私の名前,My name...,,,,,,,,,,,,,,,,,,,,,,
なのじゃなくてなおなんだ,"Not ""Nanoh,"" but ""Nao.",,,,,,,,,,,,,,,,,,,,,,
はい新入生は体育館に移動しますよ,"All new students, please move to the gym.",,,,,,,,,,,,,,,,,,,,,,
ほんとにすみません,I'm really sorry...,,,,,,,,,,,,,,,,,,,,,,
もういいってでなんで圭の家に？,Why did you go to Kei's house?,,,,,,,,,,,,,,,,,,,,,,
えっとですね魔女は昔からのしきたりで,Well... it's an old tradition for witches...,,,,,,,,,,,,,,,,,,,,,,
15歳になったら立派な大人という認識でして,"When you turn 15, you're considered an adult.",,,,,,,,,,,,,,,,,,,,,,
だから一人立ちのために家をでるんです,That's why they leave home to be on their own.,,,,,,,,,,,,,,,,,,,,,,
たくましいのね,You're a brave girl.,,,,,,,,,,,,,,,,,,,,,,
でも私の両親は今の時代魔女は色々不安定だから,But my parents said that witches are unstable nowadays,,,,,,,,,,,,,,,,,,,,,,
高校だけは出ときなさいっと,"""You should at least go to high school.",,,,,,,,,,,,,,,,,,,,,,
ついでに親戚の家に預けとけば安心だって,They also said it would be safer if I stayed with relatives.,,,,,,,,,,,,,,,,,,,,,,
もう…しきたりの面影ゼロですよ,There's no trace of tradition.,,,,,,,,,,,,,,,,,,,,,,
んじゃ魔女って結構そこら辺にいるものなの？,So witches are pretty common around here?,,,,,,,,,,,,,,,,,,,,,,
そうですね特に東北地方は多いですよ,Yes... especially in the Tohoku region.,,,,,,,,,,,,,,,,,,,,,,
自然が多くて資源も豊富だし,There's a lot of nature and resources.,,,,,,,,,,,,,,,,,,,,,,
魔術が使いやすいって新人魔女に好評なんです,It's popular among new witches because it's easy to use magic.,,,,,,,,,,,,,,,,,,,,,,
そそうなんだ,I see.,,,,,,,,,,,,,,,,,,,,,,
あのさぁさっき東北に魔女が多いって言ってたじゃん,You said there were many witches in Northeast.,,,,,,,,,,,,,,,,,,,,,,
えぇ…,I know...,,,,,,,,,,,,,,,,,,,,,,
なのにあたしたち一般人に,And we civilians...,,,,,,,,,,,,,,,,,,,,,,
魔女の存在が知られてないってことはさぁ,Witches are secretive about their existence.,,,,,,,,,,,,,,,,,,,,,,
魔女は自分が魔女ってこと秘密にしてるんじゃないの？,Aren't they keeping it a secret that they're witches?,,,,,,,,,,,,,,,,,,,,,,
そうですね魔女ってことは家族や親戚とかの関係者以外には…,Yes... except to her family and relatives...,,,,,,,,,,,,,,,,,,,,,,
え？いまさら！？,What? Now you're telling me?,,,,,,,,,,,,,,,,,,,,,,
やめてやめて変な事に巻き込まないでよ,"Stop it, stop it, stop it. Don't get me involved in anything weird.",,,,,,,,,,,,,,,,,,,,,,
大大大丈夫です別に罰則とかありませんから,"It's all right, there's no penalty.",,,,,,,,,,,,,,,,,,,,,,
できるだけ秘密にしましょうってくらいですきっと,We'll just keep it as secret as possible,,,,,,,,,,,,,,,,,,,,,,
圭くん帰らないんですか,"Kei, you're not going home?",,,,,,,,,,,,,,,,,,,,,,
あぁ中学ん時のツレと遊びに行くんだ,"Yeah, I'm going to hang out with my friend from middle school",,,,,,,,,,,,,,,,,,,,,,
わるいけどなおと一緒に先帰っててよ,"I'm sorry, but you and Nao should go home first.",,,,,,,,,,,,,,,,,,,,,,
家まで送ってくれるようにたのんどいたからさ,I asked her to take me home,,,,,,,,,,,,,,,,,,,,,,
じゃあ真琴のこと頼むななお,"Take care of Makoto, okay?",,,,,,,,,,,,,,,,,,,,,,
へいへい,"Hey, hey",,,,,,,,,,,,,,,,,,,,,,
じゃオレ行くわ,"Okay, I'm going",,,,,,,,,,,,,,,,,,,,,,
圭くん,Kei,,,,,,,,,,,,,,,,,,,,,,
晩飯までには帰るって母ちゃんに言っといて,Tell Mom I'll be home for dinner,,,,,,,,,,,,,,,,,,,,,,
じゃ行こっか,Let's go then,,,,,,,,,,,,,,,,,,,,,,
おぉあはい,"Oh, yes",,,,,,,,,,,,,,,,,,,,,,
なんだかすみません,I'm sorry,,,,,,,,,,,,,,,,,,,,,,
何が？,Sorry for what?,,,,,,,,,,,,,,,,,,,,,,
家まで送っていただくなんで,I'm sorry to ask you to take me home.,,,,,,,,,,,,,,,,,,,,,,
圭くんささっと友達遊びにいってしまって,"Kei, he just went off to hang out with his friends.",,,,,,,,,,,,,,,,,,,,,,
あいつマイペースだからね,He goes at his own pace.,,,,,,,,,,,,,,,,,,,,,,
そうなんですよ圭くん昔から変わってないんですから,"That's right, Kei-kun, you haven't changed",,,,,,,,,,,,,,,,,,,,,,
そうなんだ,I see,,,,,,,,,,,,,,,,,,,,,,
あれ？,What's that?,,,,,,,,,,,,,,,,,,,,,,
このにおい,What's that smell?,,,,,,,,,,,,,,,,,,,,,,
ちょ…ちょっと何してんの方向音痴にも程があるって,What are you doing?,,,,,,,,,,,,,,,,,,,,,,
あ違います違います,"No, no, no",,,,,,,,,,,,,,,,,,,,,,
プレゼントしたい物がありまして,I have a gift for you.,,,,,,,,,,,,,,,,,,,,,,
プレゼント？,A present?,,,,,,,,,,,,,,,,,,,,,,
昨日おどろかせてしまたお詫びと,I apologize for scaring you yesterday.,,,,,,,,,,,,,,,,,,,,,,
これからよろしくという意味を込めまして,And to say hello to you from now on.,,,,,,,,,,,,,,,,,,,,,,
いやいや別にいいよそんなに気を遣わなくて,"No, no, no, no, you don't have to be so sensitive.",,,,,,,,,,,,,,,,,,,,,,
いえさせてもらいます,You don't have to be.,,,,,,,,,,,,,,,,,,,,,,
わざわざ家まで送ってもらってるんですからそのお礼でもあるんです,"You drove me all the way home, so this is my way of saying thank you.",,,,,,,,,,,,,,,,,,,,,,
いや…だから…,So...,,,,,,,,,,,,,,,,,,,,,,
じゃあちょっと待っててくださいねいや…だから…,I'll see you in a minute.,,,,,,,,,,,,,,,,,,,,,,
じゃあちょっと待っててくださいね,No... so... wait a minute then.,,,,,,,,,,,,,,,,,,,,,,
すぐ取ってきますんで,I'll get it right away.,,,,,,,,,,,,,,,,,,,,,,
珍しい植物だんね,It's a rare plant.,,,,,,,,,,,,,,,,,,,,,,
きっとなおさんも驚きますよ,I'm sure Nao-san will be surprised.,,,,,,,,,,,,,,,,,,,,,,
圭以上のマイペースだ,He's even faster paced than Kei.,,,,,,,,,,,,,,,,,,,,,,
この独特のアンモニア臭,This peculiar ammonia smell.,,,,,,,,,,,,,,,,,,,,,,
かなり近いですね,It's pretty close.,,,,,,,,,,,,,,,,,,,,,,
あやっぱりあった,I knew it!,,,,,,,,,,,,,,,,,,,,,,
なおさん今から引っこ抜くんで耳押さえといてください,"Nao-san, I'm going to pull it out now, so please hold my ear.",,,,,,,,,,,,,,,,,,,,,,
耳？てか何してんの,Ear? What are you doing?,,,,,,,,,,,,,,,,,,,,,,
よし,All right.,,,,,,,,,,,,,,,,,,,,,,
せーの,Ready?,,,,,,,,,,,,,,,,,,,,,,
やっぱり自生は根っこが強いなぁ,I knew it! Native plants have strong roots!,,,,,,,,,,,,,,,,,,,,,,
よしっ抜けたっ,"All right, it's out!",,,,,,,,,,,,,,,,,,,,,,
なんなの,What the hell?,,,,,,,,,,,,,,,,,,,,,,
なおさんお待たせしました,"Sorry to keep you waiting, Mr. Nao.",,,,,,,,,,,,,,,,,,,,,,
とったどーなんで,Why did you get it?,,,,,,,,,,,,,,,,,,,,,,
なに…それ,What's that?,,,,,,,,,,,,,,,,,,,,,,
