Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
代官山で ギルティーに会ったからな あっ すごい,I bumped into him at Daikan-yama. -No way!,,,,,,,,,,,,,,,,,,,,,,
こっちにいたんですね そう,He's in Japan? Yes.,,,,,,,,,,,,,,,,,,,,,,
服屋さんで見てたら ギルティーが バッて…,"I was at an apparel shop, and there he was, Mr. Guilty.",,,,,,,,,,,,,,,,,,,,,,
ギルティー 普段 どんな感じなんですか？,What's he like in real life?,,,,,,,,,,,,,,,,,,,,,,
すごい好青年でしたよ やっぱ そうなんですね,He's an agreeable young man. That's what I thought.,,,,,,,,,,,,,,,,,,,,,,
やっぱり 礼儀 正しいでしょうしね 侍やからね やっぱり,I'm sure he was polite. He's a samurai after all.,,,,,,,,,,,,,,,,,,,,,,
礼節は やっぱりね ちゃんとしてますよ,"Yes, he's very proper.",,,,,,,,,,,,,,,,,,,,,,
いやあ 軽井沢ですよ ねえ 軽井沢ときましたよ,"It's set in Karuizawa now. Yes, Karuizawa.",,,,,,,,,,,,,,,,,,,,,,
こっからウインタースポーツとかで 見せてくるわけですよね 本当ですよ あー いいですね,I'm sure there'll be winter sports. That would be nice.,,,,,,,,,,,,,,,,,,,,,,
寒いほうが人肌恋しくなりますしね まあな,People crave closer interactions in the cold.,,,,,,,,,,,,,,,,,,,,,,
あっため合うみたいなね あー いいな,"Yes, to warm each other. How nice!",,,,,,,,,,,,,,,,,,,,,,
たき火の前でみたいな いいですね,"In front of the fireplace. Oh, I love that!",,,,,,,,,,,,,,,,,,,,,,
絶対ありますね そういうシーン,That will definitely happen. I'm so jealous.,,,,,,,,,,,,,,,,,,,,,,
でも 軽井沢ってことは 年齢層 高かったりするんですかね,"If it's in Karuizawa, will their average age be older?",,,,,,,,,,,,,,,,,,,,,,
どうしてですか？ 分かんないですけど 勝手なイメージ,Why is that? I don't know. That's just my impression.,,,,,,,,,,,,,,,,,,,,,,
大人の避暑地のイメージ？ そうなんです,A vacation spot for adults? Yes.,,,,,,,,,,,,,,,,,,,,,,
いやいや 困るよ アラフォー６人 来られても,We don't want six 40-year-olds.,,,,,,,,,,,,,,,,,,,,,,
しっとりさ しっとりして,It would be very mellow. Very.,,,,,,,,,,,,,,,,,,,,,,
しっとりするのもね それも見てみたいですね,"I'd like to see that too, though.",,,,,,,,,,,,,,,,,,,,,,
何か“バツイチの税理士です” みたいな,"Hello, I'm so-and-so, a divorcée.",,,,,,,,,,,,,,,,,,,,,,
えー そういう “NEW DOORS”ですか？,"Is that what they mean by ""New Doors""?",,,,,,,,,,,,,,,,,,,,,,
渋めなね,It would be more refined.,,,,,,,,,,,,,,,,,,,,,,
見てみましょうか 見よう 見よう,Shall we watch? Let's watch.,,,,,,,,,,,,,,,,,,,,,,
始まるよ 奨之君 始まるよ 楽しみでしかたないですね,"Let's start. It's going to start, Shono. I'm so excited. I can't wait.",,,,,,,,,,,,,,,,,,,,,,
始まったな 始まったな 始まりましたね,"It's begun. Yes, it has.",,,,,,,,,,,,,,,,,,,,,,
久しぶりだね うれしいな,It's been so long. I'm so happy!,,,,,,,,,,,,,,,,,,,,,,
このひと時 マジ 一生 失いたくないんだよね,I want this experience to go on forever.,,,,,,,,,,,,,,,,,,,,,,
ねえ 本当に,Agreed. Seriously.,,,,,,,,,,,,,,,,,,,,,,
ありがたいわ,I'm just grateful.,,,,,,,,,,,,,,,,,,,,,,
ありがとうございます,Thank you.,,,,,,,,,,,,,,,,,,,,,,
えっ どうしよう,What should I do?,,,,,,,,,,,,,,,,,,,,,,
はじめまして はじめまして,It's nice to meet you. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
新井雄大と申します,I'm Yuudai Arai. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
お願いします よろしくお願いします,I'm Yuudai Arai. Nice to meet you. It's nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
荷物って どこに置けばいいですか？,Where should I put my luggage?,,,,,,,,,,,,,,,,,,,,,,
普通に 適当に ここらへんで大丈夫ですか？,Um... Anywhere? Is this okay?,,,,,,,,,,,,,,,,,,,,,,
俺 ２人目ですか？ ２人目です,Am I the second one to arrive? -Yes.,,,,,,,,,,,,,,,,,,,,,,
うわー ヤバッ ヤバい,Insane. Insane.,,,,,,,,,,,,,,,,,,,,,,
あっ そうだ 小室(こむろ)安未です お願いします,"Oh, yeah. I'm Ami Komuro. It's nice to meet you.",,,,,,,,,,,,,,,,,,,,,,
お願いします,Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
うわー 緊張する いくつですか？,Are you nervous? How old are you?,,,,,,,,,,,,,,,,,,,,,,
えっと 今 20歳で 21の代,"I'm 20, but I'm about to turn 21.",,,,,,,,,,,,,,,,,,,,,,
あー なるほど 自分は今 19歳の代で,I see. I just turned 19.,,,,,,,,,,,,,,,,,,,,,,
19歳の代？ 19です,"Just? Yes, I'm 19.",,,,,,,,,,,,,,,,,,,,,,
じゃあ ２個下ってこと？,So you're two years younger? Yes.,,,,,,,,,,,,,,,,,,,,,,
そうですね 見えないですね,So you're two years younger? Yes. You don't look it. You're in university?,,,,,,,,,,,,,,,,,,,,,,
大学生ですか？,You don't look it. You're in university?,,,,,,,,,,,,,,,,,,,,,,
そうです ３年生です,"Yes. Third year. AMI KOMURO, 20 3RD YEAR UNIVERSITY STUDENT",,,,,,,,,,,,,,,,,,,,,,
自分も 今,"AMI KOMURO, 20 3RD YEAR UNIVERSITY STUDENT",,,,,,,,,,,,,,,,,,,,,,
専門 行ってたんですけど 専門のほうを辞めて 料理を今やってます,"I was at a vocational college, but I quit. I'm training to be a cook now.",,,,,,,,,,,,,,,,,,,,,,
料理やってるんですか？ 料理の専門 行ってて,"You cook? I used to go to culinary school,",,,,,,,,,,,,,,,,,,,,,,
それで 料理を深くやるために ちょっと辞めて,but I quit so I could be more hands on.,,,,,,,,,,,,,,,,,,,,,,
料理 始めたところで,I just started.,,,,,,,,,,,,,,,,,,,,,,
料理の専門 辞めて… 料理の専門学校 行ってて,"You quit culinary school? Yes. I used to go, but...",,,,,,,,,,,,,,,,,,,,,,
専門学校と料理の仕事を,"You quit culinary school? Yes. I used to go, but... I was attending culinary school while simultaneously working as a cook.",,,,,,,,,,,,,,,,,,,,,,
へい へい… 並行してやってて,I was attending culinary school while simultaneously working as a cook.,,,,,,,,,,,,,,,,,,,,,,
それで ちょっと 忙しくなってきたんで 料理の専門学校 辞めて,"I was too busy, so I quit school to focus on my job.",,,,,,,,,,,,,,,,,,,,,,
仕事１本にしようと 思ってたんですよ,"I was too busy, so I quit school to focus on my job. YUUDAI ARAI, 19 ASPIRING CHEF",,,,,,,,,,,,,,,,,,,,,,
東京ですか？ 自分は えっと…,Are you from Tokyo? I'm from...,,,,,,,,,,,,,,,,,,,,,,
地元は群馬で 上京してきて,"My hometown is in Gunma, but I moved to Tokyo.",,,,,,,,,,,,,,,,,,,,,,
おばあちゃんが応募してくれて,My grandma applied to Terrace House for me.,,,,,,,,,,,,,,,,,,,,,,
それで ここに住むことに なったんですけど,My grandma applied to Terrace House for me. That's how I ended up here. It all happened so fast.,,,,,,,,,,,,,,,,,,,,,,
いきなりすぎて かなりビックリして,That's how I ended up here. It all happened so fast. I'm still in shock. This is crazy.,,,,,,,,,,,,,,,,,,,,,,
ヤバいっすね,I'm still in shock. This is crazy.,,,,,,,,,,,,,,,,,,,,,,
来た,Someone's here.,,,,,,,,,,,,,,,,,,,,,,
どっちだ？ 女の子？,A guy or a girl?,,,,,,,,,,,,,,,,,,,,,,
はじめまして,Nice to meet you. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
立ちます？ 立ったほうがいいっすね,Maybe we should stand.,,,,,,,,,,,,,,,,,,,,,,
はじめまして よろしくお願いします,"It's nice to meet you. -Yes, nice to meet you.",,,,,,,,,,,,,,,,,,,,,,
みずきです よろしくお願いします,I'm Mizuki. Hello. Hello.,,,,,,,,,,,,,,,,,,,,,,
すごい広いね めっちゃきれい,It's so spacious. It's beautiful.,,,,,,,,,,,,,,,,,,,,,,
いきなりで すみません 何歳ですか？,"I'm sorry to be so forward, but how old are you?",,,,,,,,,,,,,,,,,,,,,,
えっと 26です え？,I'm 26. What?,,,,,,,,,,,,,,,,,,,,,,
え？ 何？ めっちゃ年上かな？,"Oh, no! Am I much older?",,,,,,,,,,,,,,,,,,,,,,
自分 19です 若い だと思った,I'm 19. I thought you looked young.,,,,,,,,,,,,,,,,,,,,,,
20歳です あー どうしよう,"I'm 20. Oh, no. What should I do?",,,,,,,,,,,,,,,,,,,,,,
どこ出身？ 東京の江戸川区,"Where are you from? From Edogawa, Tokyo.",,,,,,,,,,,,,,,,,,,,,,
おー！ じゃあ ここまでは 来やすいね わりと,"It's not too difficult to get here then, right?",,,,,,,,,,,,,,,,,,,,,,
そんなことない？ 新幹線で１時間ぐらいです,"It's not too difficult to get here then, right? About an hour on the bullet train from Tokyo Station.",,,,,,,,,,,,,,,,,,,,,,
東京駅から,About an hour on the bullet train from Tokyo Station.,,,,,,,,,,,,,,,,,,,,,,
どこですか？ 住んでるとこ 私 地元は逗子っていって 鎌倉のほうです,"Where are you from? A city called Zushi, near Kamakura.",,,,,,,,,,,,,,,,,,,,,,
だけど 今１人で 韓国にずっと住んでて,"But right now, I live alone in Korea.",,,,,,,,,,,,,,,,,,,,,,
だから昨日 韓国から来て,I just flew in yesterday.,,,,,,,,,,,,,,,,,,,,,,
２年半ぐらい前から ずっと１人で住んでて,I've been living on my own for the past two years.,,,,,,,,,,,,,,,,,,,,,,
仕事とか どうしたんですか？,What about work?,,,,,,,,,,,,,,,,,,,,,,
仕事とかは 基本 韓国にいても日本にいても,It doesn't matter if I'm in Korea or Japan.,,,,,,,,,,,,,,,,,,,,,,
パソコン業務とかだから あんまり出勤とかしてなくて もともと,"I work on my computer, so I don't have to report to an office.",,,,,,,,,,,,,,,,,,,,,,
だから どこにいても できる仕事だし,I can work from anywhere.,,,,,,,,,,,,,,,,,,,,,,
ウェブサイトで 記事を書く仕事とか,I write articles for websites.,,,,,,,,,,,,,,,,,,,,,,
通訳とか インタビュアーとか,"I interpret, conduct interviews and translate.",,,,,,,,,,,,,,,,,,,,,,
あと 翻訳とか,"MIZUKI HARUTA, 26 FREELANCE WRITER, INTERPRETER",,,,,,,,,,,,,,,,,,,,,,
で 何しに ここに来たんですか？,What made you come here?,,,,,,,,,,,,,,,,,,,,,,
ずっと住みたくて 番組 見てたし,I've wanted to live here since I started watching the show.,,,,,,,,,,,,,,,,,,,,,,
私の地元あたりだったから,"It was near my hometown,",,,,,,,,,,,,,,,,,,,,,,
よく テラスハウスに 住んでる子たちも 見かけたりもしたし,so I'd see the people from Terrace House around.,,,,,,,,,,,,,,,,,,,,,,
私が その時 働いてたカフェにも よく食べに来てたから,"They often came to the café where I worked, too.",,,,,,,,,,,,,,,,,,,,,,
すごい憧れてて,And I loved the show.,,,,,,,,,,,,,,,,,,,,,,
うわっ 来た 来た,Someone's here.,,,,,,,,,,,,,,,,,,,,,,
来た,"Yes, someone's here.",,,,,,,,,,,,,,,,,,,,,,
メンズかな？ 絶対メンズだ,A guy. Definitely a guy.,,,,,,,,,,,,,,,,,,,,,,
こんにちは こんにちは,Hello. Hello.,,,,,,,,,,,,,,,,,,,,,,
うわっ！ 上がる,I'm so excited.,,,,,,,,,,,,,,,,,,,,,,
はじめまして はじめまして,Nice to meet you. It's nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
めっちゃ上がるんだけど！ ヤバい,I'm so excited.,,,,,,,,,,,,,,,,,,,,,,
すごい… すごい家ですね,-What an amazing house. -He's got a snowboard.,,,,,,,,,,,,,,,,,,,,,,
うわっ めっちゃ上がる めっちゃ上がる,I'm so excited. I'm so excited.,,,,,,,,,,,,,,,,,,,,,,
マジで めっちゃ上がる すごーい,I'm so excited. Amazing.,,,,,,,,,,,,,,,,,,,,,,
お願いします,Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
自己紹介を 新井雄大と申します よろしくお願いします,Let me introduce myself. I'm Yuudai Arai. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
中村貴之と申します,I'm Takayuki Nakamura.,,,,,,,,,,,,,,,,,,,,,,
あっ みずきです お願いします,I'm Mizuki. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
小室安未です お願いします よろしくお願いします お願いします,I'm Ami Komuro. Nice to meet you. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
おいくつですか？ 僕は31です,How old are you? I'm 31.,,,,,,,,,,,,,,,,,,,,,,
めっちゃ お兄ちゃんじゃん めっちゃ 兄ちゃんだ ヤバい,You're like a big brother. Totally.,,,,,,,,,,,,,,,,,,,,,,
何歳ですか？ 19です,How old are you? I'm 19.,,,,,,,,,,,,,,,,,,,,,,
まさかの まさかの,"Surprising, isn't it?",,,,,,,,,,,,,,,,,,,,,,
よろしくね よろしくお願いします,A pleasure. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
１つだけ めっちゃ気になってたんですけど スノーボーダーですか？ そうです おー！,I'm just curious. Are you a snowboarder? -Yes.,,,,,,,,,,,,,,,,,,,,,,
もう めっちゃ上がります ヤバッ 教えてほしい スノーボード 大好きで,I'm so excited. I love snowboarding. I'd love to learn.,,,,,,,,,,,,,,,,,,,,,,
本当ですか？ します？ スノーボード めっちゃします,Really? Do you snowboard? Totally.,,,,,,,,,,,,,,,,,,,,,,
本当に？ はい じゃあ これ 行きましょう それ 本当に楽しみにしてて,Really? Let's go then. I've been really looking forward to...,,,,,,,,,,,,,,,,,,,,,,
同居人の人で 一緒に スノーボードができる人がいれば 最高に楽しいなと うまそう ２人とも,to snowboarding with a housemate. -You both seem really good.,,,,,,,,,,,,,,,,,,,,,,
教えてほしいです ぜひ行きましょう はい,"I'd love to learn. Yes, let's go.",,,,,,,,,,,,,,,,,,,,,,
超ヤバい やった,This is crazy. Yay.,,,,,,,,,,,,,,,,,,,,,,
僕 地元なんですよ,This is my hometown. What?,,,,,,,,,,,,,,,,,,,,,,
ここですか？ そう,"This is my hometown. What? The neighboring city, actually. It's called Saku.",,,,,,,,,,,,,,,,,,,,,,
佐久市ってとこなんです ここの隣町なんですけど,"The neighboring city, actually. It's called Saku.",,,,,,,,,,,,,,,,,,,,,,
軽井沢も 全然よく来るんで,"I come to Karuizawa often. It's like my hometown. TAKAYUKI NAKAMURA, 31 PRO SNOWBOARDER",,,,,,,,,,,,,,,,,,,,,,
地元です,"TAKAYUKI NAKAMURA, 31 PRO SNOWBOARDER",,,,,,,,,,,,,,,,,,,,,,
普段 仕事は どこでやってるんですか？,Where do you work?,,,,,,,,,,,,,,,,,,,,,,
えっと 夏はね,In the summer...,,,,,,,,,,,,,,,,,,,,,,
アルバイトみたいな感じで,I work part-time at a yakitori restaurant in Karuizawa.,,,,,,,,,,,,,,,,,,,,,,
軽井沢の焼き鳥屋さんでね アルバイトしながら,I work part-time at a yakitori restaurant in Karuizawa. I'm also working on my own brand.,,,,,,,,,,,,,,,,,,,,,,
自分のブランドみたいなのも あったりとかして,I'm also working on my own brand.,,,,,,,,,,,,,,,,,,,,,,
あとは 冬はもう スノーボードしかしないんですよ,"In the winter, I only snowboard.",,,,,,,,,,,,,,,,,,,,,,
そのブランドって何ですか？ 気になる スノーボードアパレルな感じ なんですけど,-What kind of brand is it? Snowboard apparel.,,,,,,,,,,,,,,,,,,,,,,
何かちょっと パーカー着て 滑ったりもするでしょ？,"You wear parkas to ride, right? Yes.",,,,,,,,,,,,,,,,,,,,,,
その時に ちょっとこう 機能性のあるようなアパレル,"So, sort of technical apparel.",,,,,,,,,,,,,,,,,,,,,,
普通にＴシャツとかも あるんですけど,"We do normal T-shirts, too.",,,,,,,,,,,,,,,,,,,,,,
しかし すごいね,But this is incredible.,,,,,,,,,,,,,,,,,,,,,,
早く中 回りたい そうなんですよ,"It's insane, isn't it? I want to see the rooms.",,,,,,,,,,,,,,,,,,,,,,
めっちゃ気になる,I'm really curious.,,,,,,,,,,,,,,,,,,,,,,
こんにちは こんにちは,Hello. Hello.,,,,,,,,,,,,,,,,,,,,,,
すげー でっけー荷物,That's a huge bag. Wow!,,,,,,,,,,,,,,,,,,,,,,
ホッケーの選手や そうです アイスホッケーやってます,"A hockey player. Yes, I play ice hockey.",,,,,,,,,,,,,,,,,,,,,,
あったかい,It's so warm.,,,,,,,,,,,,,,,,,,,,,,
寒くないですか？ 軽井沢,Isn't Karuizawa cold?,,,,,,,,,,,,,,,,,,,,,,
どうも はじめまして はじめまして,It's nice to meet you. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
お願いします お願いします,Nice to meet you. Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
佐藤つば冴です よろしくお願いします お願いします,I'm Tsubasa Sato. It's nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
どこ出身ですか？ 出身は 軽井沢じゃないんですけど,"Where are you from? I'm not originally from Karuizawa,",,,,,,,,,,,,,,,,,,,,,,
もう ずっと 小学校３年生ぐらいからは ずっと こっちの軽井沢に 住んでます,but I've been living here since the third grade.,,,,,,,,,,,,,,,,,,,,,,
住んでる？ 住んでます,You live here? Yes.,,,,,,,,,,,,,,,,,,,,,,
じゃあ ここらへん めっちゃ詳しい？ いや 地元民のほうが 詳しくないです あんまり,"So you know this area well? -Well, the locals tend to know less.",,,,,,,,,,,,,,,,,,,,,,
そういうのありますね ありますよね,That's true. Isn't it?,,,,,,,,,,,,,,,,,,,,,,
“おいしい店 知ってる？”とか 言われても…,"People ask about good restaurants,",,,,,,,,,,,,,,,,,,,,,,
全然 分かんないです,but I have no idea. Not at all.,,,,,,,,,,,,,,,,,,,,,,
プロの何か所属した選手って ことですよね？,Do you play professionally?,,,,,,,,,,,,,,,,,,,,,,
いや あの… 女子ってプロがなくて,"Well, they don't have a professional women's league.",,,,,,,,,,,,,,,,,,,,,,
へえ そうなんですよ 本当に ローカルのクラブチームとかに 入って,"So we play for local teams,",,,,,,,,,,,,,,,,,,,,,,
そこから 日本代表とかが 選ばれてるような感じなんですよ,and that's how you get chosen for the national team.,,,,,,,,,,,,,,,,,,,,,,
今 ちなみに おいくつですか？,"How old are you, by the way?",,,,,,,,,,,,,,,,,,,,,,
24です,I'm 24. 24?,,,,,,,,,,,,,,,,,,,,,,
24？ はい,"TSUBASA SATO, 24 ICE HOCKEY PLAYER",,,,,,,,,,,,,,,,,,,,,,
じゃあ 全然 バリバリ,"TSUBASA SATO, 24 ICE HOCKEY PLAYER -You're at your peak then. -Not at all.",,,,,,,,,,,,,,,,,,,,,,
全然… そんな,You're at your peak then. Not at all.,,,,,,,,,,,,,,,,,,,,,,
プロってことは どっかスポンサーが ついてるってことですよね？,"If you're pro, that means you have a sponsor?",,,,,,,,,,,,,,,,,,,,,,
一応 そう どこついてんですか？,Yes. Who are you with?,,,,,,,,,,,,,,,,,,,,,,
「ムラサキスポーツ」と,"Murasaki Sports. Ah, yes.",,,,,,,,,,,,,,,,,,,,,,
あとは「ALLIAN(アライアン)」っていう板と 「FLUX(フラックス)」と,And Allian and Flux for the board.,,,,,,,,,,,,,,,,,,,,,,
あと「DANG(ダン)」っていう サングラス,And Dang sunglasses.,,,,,,,,,,,,,,,,,,,,,,
すげー,That's amazing. So many.,,,,,,,,,,,,,,,,,,,,,,
「ALLIAN」のとかも 超 俺好きなんですよ 板,"I love Allian boards. Oh, yeah?",,,,,,,,,,,,,,,,,,,,,,
仕事的な ありますか？ えっと 大学生で,What do you do for work? -I'm a university student.,,,,,,,,,,,,,,,,,,,,,,
週に２～３回 大学に通って,I go to classes twice a week.,,,,,,,,,,,,,,,,,,,,,,
でも一応 何かモデルも,I also work as a model.,,,,,,,,,,,,,,,,,,,,,,
…になりたいと思ってて 仕事が… 何だろう,"Or at least, I want to...",,,,,,,,,,,,,,,,,,,,,,
そんなあるわけじゃ ないんですけど,but there aren't many opportunities.,,,,,,,,,,,,,,,,,,,,,,
絶対あるよね 絶対ありますよね 絶対ある,I'm sure there are. Definitely.,,,,,,,,,,,,,,,,,,,,,,
見たことないもんね こんなかわいい子ね,I've never seen someone so cute.,,,,,,,,,,,,,,,,,,,,,,
ん？ 今 何？ じゃあ 学生？ えっと,Are you a student then? So...,,,,,,,,,,,,,,,,,,,,,,
調理師学校のほうを辞めて,I quit culinary school,,,,,,,,,,,,,,,,,,,,,,
東京のイタリアンバルに 仕事をしに行ったんですけど,and began working at an Italian restaurant in Tokyo.,,,,,,,,,,,,,,,,,,,,,,
それで仕事してた時に ここに住むってことが決まって,That's when I heard from this show.,,,,,,,,,,,,,,,,,,,,,,
仕事を探さなきゃいけない？,"So you have to find a job. Yes, out here.",,,,,,,,,,,,,,,,,,,,,,
こっちで イタリアン 自分やりたいんで,"So you have to find a job. Yes, out here. I want to make Italian food.",,,,,,,,,,,,,,,,,,,,,,
あるんじゃないんですかね？ 多分,I think they have that.,,,,,,,,,,,,,,,,,,,,,,
軽井沢ね ありそうだよね ありそうですね,It is Karuizawa. They'll have something.,,,,,,,,,,,,,,,,,,,,,,
紹介してください マジで 一緒に探そう ありがとうございます,Please help me find one. -Let's look together.,,,,,,,,,,,,,,,,,,,,,,
俺も分かんないから,I don't know either.,,,,,,,,,,,,,,,,,,,,,,
つば冴さんは じゃあ トレーニングとかもする？,"Do you train as well, Tsubasa?",,,,,,,,,,,,,,,,,,,,,,
しますね 仕事終わりとかに,"Yes, usually after work.",,,,,,,,,,,,,,,,,,,,,,
あそこの軽井沢のジム？ そうです そうです …に行ってるんだ？ はい,At the gym in Karuizawa? -Yes.,,,,,,,,,,,,,,,,,,,,,,
軽井沢のジムで働いてて,"Yes, I work at the gym.",,,,,,,,,,,,,,,,,,,,,,
そうなんだ？ そうなんですよ 仕事終わりとかに トレーニングやったりとかしてます,"I see. Yes, so I train after work.",,,,,,,,,,,,,,,,,,,,,,
何でテラスハウスに 住もうかなと思ったの？,What made you come to Terrace House?,,,,,,,,,,,,,,,,,,,,,,
アイスホッケーって メジャーなスポーツじゃないので,Ice hockey isn't well-known in Japan.,,,,,,,,,,,,,,,,,,,,,,
まあ それを何か よく伝わればいいかなっていうのと,I wanted to introduce more people to it.,,,,,,,,,,,,,,,,,,,,,,
あとは 自分に 自信が持てないので,"Also, I'm not very confident.",,,,,,,,,,,,,,,,,,,,,,
自分に自信をつけたいなと思って,So I'd like to build my confidence.,,,,,,,,,,,,,,,,,,,,,,
俺も そう スノーボードをね やっぱ ちょっとアピールできたら いいなっていうのもあるし,Same with me. I want people to know more about snowboarding.,,,,,,,,,,,,,,,,,,,,,,
地元だしね そうですね,"Plus, it's my hometown.",,,,,,,,,,,,,,,,,,,,,,
誰か来たね 来た 来た,He's here. He's here!,,,,,,,,,,,,,,,,,,,,,,
絶対 男ですよね そうだね,Definitely a guy.,,,,,,,,,,,,,,,,,,,,,,
間違いないですね,That's for sure.,,,,,,,,,,,,,,,,,,,,,,
こんにちは こんにちは,Hello. -Hello.,,,,,,,,,,,,,,,,,,,,,,
男前,He's good-looking.,,,,,,,,,,,,,,,,,,,,,,
身長デカッ 男前,He's so tall.,,,,,,,,,,,,,,,,,,,,,,
はじめまして はじめまして,Nice to meet you. -Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
岡本至恩と申します,I'm Shion Okamoto.,,,,,,,,,,,,,,,,,,,,,,
よろしくお願いします,Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
いいですか？ どうぞ 座ってください,"May I? -Yes, please sit.",,,,,,,,,,,,,,,,,,,,,,
失礼します,Excuse me.,,,,,,,,,,,,,,,,,,,,,,
ハーフですよね？ ハーフです,You're half-Japanese? -Yes.,,,,,,,,,,,,,,,,,,,,,,
アメリカと日本のハーフです,I'm half-American.,,,,,,,,,,,,,,,,,,,,,,
身長 何センチですか？,How tall are you?,,,,,,,,,,,,,,,,,,,,,,
