Words,Meaning,Sentence,Translation
床を取る,to lay out one's bedding,,
笑いを取る,to get a laugh,,
場を取る,to occupy much space,,
場所を取る,to take up space,,
食事を取る,to take a meal,,
食費を取る,to charge for one's meal,,
睡眠を取る,to get sleep,,
責任を取る,to take responsibility for,,
先手を取る,to take the initiative,,
舵を取る,to steer a ship,,
態度を取る,to take an attitude,,
後れを取る,to fall behind,,
中を取る,to work out a compromise,,
朝食を取る,to take breakfast,,
調子を取る,to beat time,,
当たりを取る,to make a hit,,
同期を取る,to synchronize,,
箸を取る,"to take up one's chopsticks, begin a meal",,
帽子を取る,to take off one's hat,,
脈を取る,to take a pulse,,
名を取る,to become famous,,
予約を取る,to make an appointment,,
裏を取る,to collect evidence,,
立場を取る,to take a position,,
連絡を取る,to get in touch with,,
魚を取る,to catch fish,,
面を取る,to plane off the corners,,
満点を取る,to get full marks,,
段を取る,to get a black belt,,
逆手に取る,to use somebody's argument against them,,
決を取る,to take a vote,,
バランスを取る,to keep balance,,
意味を取る,"to follow the sense, understand the meaning of",全く新しい意味を取る。,Take on a whole new meaning.
大事を取る,to take care doing something,彼に関しては大事を取るため出場を見送った。,"As for him, he did not take part in the event to take care of a serious matter."
財布を取る,take a wallet,,
財布を盗む,stealing a wallet,,
財布を取りに戻る,go back for my wallet,,
運転免許を取る,get a driver's license,,
コピーを取る,make a copy,,
新聞を取る,subscribe to a newspaper,,
睡眠を取る,get some sleep,,
出席を取る,take attendance,,
連絡を取る,get in touch with,,
連絡が取れる,be able to make contact,,
痛みを取る,take the pain away,,
痛みが取れる,be relieved from pain,,
ボタンが取れる,button comes off,,
新入社員を採る,hire new employees,,
焼き付ける,"put marks by press-heating, attach something by heating",どら焼きは表面に菊の模様を焼き付けている。,The dorayaki has a chrysanthemum pattern baked on the surface.
盛り付ける,"dish up, arrange food on a platter",マグロの刺身を皿に盛り付けた。,Tuna sashimi was placed on the plate.
書き付ける,write down,私は店の名前を手帳に書きつけた。,I wrote the name of the restaurant in my notebook.
取り付ける,"install, obtain an agreement, secure a contract",互換性のあるケーブルを取り付ける必要があります。,You need to install a compatible cable.
受け付ける,"accept, receive, able to take",セッションはクライアント接続を受け付ける準備が整っています。,Session is ready to accept client connections.
乗り付ける,"to ride up to, to get used to riding",タクシーで会場に乗り付ける。,Take a cab to the venue.
見付ける,"to discover, find, detect, locate",この困難を克服する道を見付けることでありましょう。,We will find a way to overcome this difficulty.
裏付ける,"to support, back up, substantiate, prove",裏付ける証拠は何もなかった。,There was no supporting evidence.
気配もない,show no sign or indication of,何かが聴こえてくる気配もない。,There is no indication that anything is audible.
心を打った,struck a chord,,
心を込めて,wholeheartedly,,
心に残って,remains in my heart,,
目がない,extremely fond of,海の幸に目がない。,I'm extremely fond of seafood.
目に入らない,out of one's sight,相手以外は誰も目に入らない。,No one is in sight except the other party.
耳が遠い,poor hearing,彼女の犬は耳が遠い。,Her dog has poor hearing.
目に入った,"got insight, came insight, came into view",,
口にする,"to taste, eat, drink, speak of, put into words, refer to",聞かれた事以外は口にするな。,Don't speak unless asked.
顔を出す,"to turn up, make an appearance, drop by",彼らはしょっちゅう家に顔を出す。,They often show up at home.
手につかない,"unable to focus on, unable to concentrate on",全然勉強が手につかない。,I can't get any study done at all.
手に入れない,"unable to get, unable to obtain",大量の物を手に入れない。,We don't get a lot of stuff.
愛想がいい,"amiable, cheerful",彼女はだれにでも愛想がいい。,She is amiable to everyone.
センスがいい,having good taste,この広告はセンスがいいね。,This ad is in good taste.
気立てがいい,good-natured,彼女は気立てがいい。,She is good-natured.
思いやりがある,"compassionate, considerate",彼は弱者に深い思いやりがある。,He has deep compassion for the weak.
近寄りがたい,unapproachable,冷静沈着な人物で近寄りがたい人柄。,He is a calm and collected person with an unapproachable personality.
冷静に対応します,calmly respond,どんなトラブルにも冷静に対応します。,We will handle any problems calmly.
冷静に落ち着いて,stay cool and calm,冷静に落ち着いてください。,Please remain calm and composed.
冷静に行動します,act calmly,節度を守って冷静に行動しましょう。,Keep moderation and act calmly.
冷静に対処します,handle it calmly,冷静に対処しなきゃ。,We have to deal with it calmly.
穏やかにかき混ぜる,stir gently,終わるまで穏やかにかき混ぜる。,Stir gently until done.
穏やかに流れる,flow gently,川を穏やかに流れる。,The river flows gently.
穏やかに降る,fall gently,雪が穏やかに降っていました。,Snow was falling gently.
穏やかに説明します,explain it gently,状況を穏やかに説明してあげて。,Explain the situation calmly.
無表情な顔,blunt look,このような無表情な顔の結果として。,As a result of such a blank look.
声明を述べる,make a statement,声明を述べるのが好きね。,I like the way you make statements.
代わりを述べる,"speak in place of, mention an alternative",多数は私が既に与えてしまった代わりを述べる。,Many would mention the alternatives I've already given.
自分の考えを述べる,express your own thoughts,英語で自分の考えを述べるのは難しい。,It is difficult to express my thoughts in English.
もっとつめてお座り,sit more closely together,席をもっとつめてお座りください。,Please sit more closely together.
泥がつく,"become muddy, get mud on",,
傷がつく,"get scratched, get damage, get injured, get hurt",,
連絡がつく,to make contact​,,
都合がつく,"to be possible, to be able to do, to fit a schedule or budget",,
おまけがつく,"get a bonus, come as a bonus",,
印をつける,"mark, give an impression",,
タバコに火をつける,light a cigarette,,
日記をつける,keep a diary,,
火がつく,catch fire,,
傷をつける,"give a scratch, inflict damage, injure someone",,
連絡をつける,"make contact, get in touch",,
都合をつける,"to find a way, find the time, give one's convenience",,
おまけをつける,"make something additional, add something extra",,
席を立つ,leave one's seat,,
時間がたつ,time passes,,
うわさが立つ,rumour begins to circulate,,
予定が立てる,"make plans, have a fixed schedule",,
音を立てる,make a sound,,
音を出す,produce a sound,,
雨が上がる,stop raining,,
どうぞお上がり,please come in,,
入ってください,please come in,,
お風呂から上がる,step out of the bath,,
物価が上がる,prices go up,,
効果が上がる,"takes effect, be effective",なおかつ学習効果が上がる方法を独自に考案しました。,We have devised our own method to increase the effectiveness of the learning process.
効果を上げる,"make effective, have an effect, increase the effect",そしてさらに効果を上げるためにメーカノウハウを活用してください。,Then use the manufacturer's know-how to further increase effectiveness.
例を挙げる,cite an example,ここに簡単な例を挙げる。,Here is a simple example.
例を並べる,cite an example,こういった例を並べて検討すると共通点を導き出すことができます。,"When these examples are examined side by side, commonalities can be drawn."
結婚式を挙げる,hold a wedding,本当に素晴らしい結婚式を挙げた。,We had a really great wedding.
熱が下がる,get a fever going down or subsiding,,
内側まで下がる,down to the inner side,黄色い線の内側まで下がる。,Move back to the yellow line.
評判が下がる,"lose one's reputation, have a bad reputation",,
評判が落ちる,"lose one's reputation, get a bad reputation",,
評判を下げる,bring down someone's reputation,,
カーテンが下がる,"lower the curtain, curtains hanging low",,
カーテンを下げる,lower the curtain,,
買い物カゴを下げる,carry a shopping bag,,
一字下げて書く,put a space at the front of a sentence,,
音を下げる,lower the sound,,
鍵がかかっている,locked,,
鍵をかける,to lock,,
病気にかかる,"get sick, contract a disease",,
病気になる,"get sick, fall ill",,
医者にかかる,"go to see a doctor, consult a doctor",,
医者に診察してもらう,"see a doctor, have a doctor examine you",,
ボタンをかける,fasten a button,,
ボタンを外す,unbutton one's shirt,,
毛布をかける,"put a blanket on, lay a blanket over",,
声をかける,to greet,,
声がかかる,"be talked about, be approached by someone",,
心配をかける,"make someone worry, cause someone to worry",,
心配させる,"worry someone, cause someone to worry, give someone headaches",,
大学を出る,graduate from a university,,
会議に出る,attend a meeting,,
食事が出る,be served a meal,,
食事を出す,"serve food, serve a meal",,
結論が出る,come to a conclusion,,
結論を出す,draw a conclusion,,
元気が出る,"feel more energetic, feel encouraged",,
元気を出す,cheer up,,
新製品が出る,"a new product comes out, come up with a new product",,
新製品を出す,"launch a new product, put out a new product",,
発売させる,"put on the market, bring to market, put on sale",もっと速い速度で製品を発売させる対策を取得できる。,You can get measures to have your product launched at a faster rate.
芽が出る,buds coming out,毎年の苗でも花開く芽が出ることがあります。,Even annual seedlings may produce flowering buds.
芽を出す,sprout,種が芽を出すには空気と水が必要である。,Seeds need air and water to sprout.
ボーナスが出る,get a bonus,給与は年間5万米ドルほどとさらにボーナスが出る。,"The salary is about US$50,000 per year plus additional bonuses."
ボーナスを出す,offer a bonus,経営者側は労働者側にボーナスを出すと言って譲歩しようとした。,Management tried to make concessions by offering bonuses to the workers.
名前が出る,be named,新聞に名前が出る。,Have your name appear in newspaper.
駅に出る,go to the station,角を曲がると駅に出る。,Turn the corner and you will be at the station.
外に出る,go outside,夕食に外に出る頃にはもっと寒いだろう。,It will be much colder by the time we go outside for dinner.
部屋を出る,leave the room,部屋を出るとき彼は電気を消した。,As he left the room he turned off the light.
家を出る,leave the house,私が家を出る直前に小雨が降り始めた。,"Just before I left home, a light rain began to fall."
病院から出る,leave the hospital,自力で病院から出ることはできない。,He cannot leave the hospital on his own.
海に出る,go out to sea,漁師も海に出るときは携帯を持ち。,Fishermen also carry cell phones when they go out to sea.
