Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
いや 僕 バリバリしますね,"No, I'm very shy.",,,,,,,,,,,,,,,,,,,,,,
あっ ホントですか？,Really?,,,,,,,,,,,,,,,,,,,,,,
じゃこれ あってよかったですね この お月様 そうですね はい,Then you're lucky to have this. This moon. Yes.,,,,,,,,,,,,,,,,,,,,,,
どんな生活を 送りたいですか？,What kind of life do you want?,,,,,,,,,,,,,,,,,,,,,,
もし 相手が見つかったら,If I find a partner...,,,,,,,,,,,,,,,,,,,,,,
たぶん はい あっ えっ？ モリ… うん 何ですか？ はい どうぞどうぞ,"Maybe, yes. What is it? Yes, please go ahead",,,,,,,,,,,,,,,,,,,,,,
あっ ふだん… はい えっ はい…,Usually...,,,,,,,,,,,,,,,,,,,,,,
さっきも僕 遮りましたよね すみません,"I interrupted you earlier, didn't I? Sorry.",,,,,,,,,,,,,,,,,,,,,,
いや 私も遮ってますね すいません いやいや," No, I interrupted you too, didn't I?",,,,,,,,,,,,,,,,,,,,,,
同時にいきますよね ホントですね,"We're going at the same time, aren't we?",,,,,,,,,,,,,,,,,,,,,,
はじめまして マキです,Nice to meet you. I'm Maki.,,,,,,,,,,,,,,,,,,,,,,
マキさん はーい,"Hi, Maki.",,,,,,,,,,,,,,,,,,,,,,
何されてる方なんですか, What do you do?,,,,,,,,,,,,,,,,,,,,,,
私 ヨガの インストラクターをしてます,I'm a yoga instructor.,,,,,,,,,,,,,,,,,,,,,,
オススメのポーズ教えてください,What pose do you recommend?,,,,,,,,,,,,,,,,,,,,,,
見えないで 説明するの難しいですね ちょっと どんな？ どんな？ どんな？ 言って 何のポーズ？ じゃあ,"It's hard to explain without seeing. What kind? What kind? Tell me. What pose? Okay, then.",,,,,,,,,,,,,,,,,,,,,,
戦士のポーズ 戦士のポーズ？,Warrior pose. Warrior pose?,,,,,,,,,,,,,,,,,,,,,,
戦士のポーズ,Warrior pose.,,,,,,,,,,,,,,,,,,,,,,
オダッチ 31歳 お笑い芸人です,I'm Odacchi. I'm 31 years old. I'm a comedian.,,,,,,,,,,,,,,,,,,,,,,
１００％顔ですね,It's 100% about the face.,,,,,,,,,,,,,,,,,,,,,,
まっ その探し方で 現状 見つかってないので,"Well, I haven't found anything with that look.",,,,,,,,,,,,,,,,,,,,,,
じゃあ変えてみようかな っていうのもあり,So I'm going to change it.,,,,,,,,,,,,,,,,,,,,,,
逆に僕が知らない,"On the other hand, there's something I don't know about you.",,,,,,,,,,,,,,,,,,,,,,
えっと 僕のよさとか 魅力みたいなのを,I'm looking for someone who sees something in me that I don't see...,,,,,,,,,,,,,,,,,,,,,,
いいって 思ってくれた人と,I don't know.,,,,,,,,,,,,,,,,,,,,,,
会えたら ここでしか起きない 奇跡が あるんじゃないすかね,I think there will be a miracle that can only happen here.,,,,,,,,,,,,,,,,,,,,,,
高知で お笑い芸人やってて,I'm a comedian in Kochi.,,,,,,,,,,,,,,,,,,,,,,
高知？ 高知,Kochi? Kochi.,,,,,,,,,,,,,,,,,,,,,,
ブランドのＣＯＡＣＨ じゃないほうの⸺ 高知ですね,Not the COACH brand.,,,,,,,,,,,,,,,,,,,,,,
ごめん 全然 迷わなかった  迷わなかった？,"I'm sorry, I wasn't lost at all.",,,,,,,,,,,,,,,,,,,,,,
僕もハーフなんすよ,I'm half-Japanese too. ,,,,,,,,,,,,,,,,,,,,,,
どことですか？ えと…,With where? Uh...,,,,,,,,,,,,,,,,,,,,,,
チンパンジーと ゴリラのハーフです,"Half chimpanzee, half gorilla.",,,,,,,,,,,,,,,,,,,,,,
オダッチです あっ 出た オダッチ,"Odatchi. Oh, there it is, Odatchi.",,,,,,,,,,,,,,,,,,,,,,
出たんだ？ え？ どこに出たんすか？ ちょっと待って こっち出てないんですけど,You got it? What? Where did it appear? Wait a minute. He's not on here.,,,,,,,,,,,,,,,,,,,,,,
こっちで もう オダッチ すごい人気だから マジすか？ 私 いつ オダッチに会えるのかなって思ってた,Odatchi is very popular over here. I was wondering when I'd get to meet Odatchi.,,,,,,,,,,,,,,,,,,,,,,
芸人さん たぶん すごい人気な気がする,I was wondering when I'd get to meet Odatchi.,,,,,,,,,,,,,,,,,,,,,,
結婚だと どうなんだろうって感じ 息抜き 息抜き,I wonder how he'd be like if he was married.,,,,,,,,,,,,,,,,,,,,,,
すごい 面白くて PODSの中は盛り上がるけど,"It's really funny, and there's a lot of excitement in the PODS.",,,,,,,,,,,,,,,,,,,,,,
結婚相手は探してるのかな？,I wonder if she's looking for someone to marry.,,,,,,,,,,,,,,,,,,,,,,
私も思った …っていう感じ そういうことか,"That's what I thought, too.",,,,,,,,,,,,,,,,,,,,,,
こんにちは こんにちは,Hello. Hello.,,,,,,,,,,,,,,,,,,,,,,
かわいらしい声ですね,You have a lovely voice.,,,,,,,,,,,,,,,,,,,,,,
ナナコです,I'm Nanako.,,,,,,,,,,,,,,,,,,,,,,
 ナナコさんは えーっと… 何してる人ですか？," Nanako, what do you do?",,,,,,,,,,,,,,,,,,,,,,
えっと 今は ちょっと 仕事 辞めちゃって…,"Well, I quit my job.",,,,,,,,,,,,,,,,,,,,,,
何もしてないです,I don't do anything.,,,,,,,,,,,,,,,,,,,,,,
何もしてないんすか？ じゃあ やりたいことは？,You're not doing anything? What do you want to do?,,,,,,,,,,,,,,,,,,,,,,
やりたいことは 何か ずっとバレエしてたから うん 何か それに関わること？,"I've always been a ballet dancer, so something related to that?",,,,,,,,,,,,,,,,,,,,,,
バレエ？ したいなって バレエって あの 踊るほうのバレエ？ あ… ですですです,"Ballet? I want to do ballet. Ballet, the dancing kind? Yes, that's right.",,,,,,,,,,,,,,,,,,,,,,
若くて さあ 結婚しますよ,I'm young. I'm getting married.,,,,,,,,,,,,,,,,,,,,,,
っていう年齢では ないので 何か,I'm too young to get married.,,,,,,,,,,,,,,,,,,,,,,
ああいうウェディングの ドレス着て,I want to wear a wedding dress like that.,,,,,,,,,,,,,,,,,,,,,,
こういう部屋に 住んで こういうふうにして とかっていう 理想は あまりなくて もう ホントに,"I don't have an ideal of ""I'll wear this wedding dress, live in this room, and do this..."" I'm just...",,,,,,,,,,,,,,,,,,,,,,
淡々と 現実的に 生活ができる人,Someone who can live a realistic life without hesitation.,,,,,,,,,,,,,,,,,,,,,,
っていう 何かこう 本当に 心のつながり …っていうところで,Someone who can live a realistic life... someone with whom I can really connect with emotionally.,,,,,,,,,,,,,,,,,,,,,,
安心して 一緒に この人なら 人生 歩めるなっていう 人が いたらいいなって 思ってます,"I'd like to have someone I can walk through life with, someone I can feel at ease with.",,,,,,,,,,,,,,,,,,,,,,
逆になんで 辞めたんですか？ 30で,"On the contrary, why did you quit? Because I was 30.",,,,,,,,,,,,,,,,,,,,,,
何か 自分で 教室 持ちたいとかもなかったし,I didn't want to start my own classroom.,,,,,,,,,,,,,,,,,,,,,,
何か ホント 全然 違う 世界が見てみたかったし,I wanted to see a totally different world.,,,,,,,,,,,,,,,,,,,,,,
もっと社会性を 身につけたいと思って,I wanted to be more socially aware.,,,,,,,,,,,,,,,,,,,,,,
社会性がなかったんですか？ 社会性がなかったんですか？  そう 何か,"You didn't have social skills? You didn't have social skills?  Yeah, something.",,,,,,,,,,,,,,,,,,,,,,
この子たちに 何か あんまり何も知らないのに 私は何か 教えていいんかなみたいな,"I don't really know anything about these kids, but I feel like I'm not really allowed to teach them anything.",,,,,,,,,,,,,,,,,,,,,,
うわあ… 分かる …って思って ヤバッ めちゃくちゃ 強く共感します,"And I'm like, ""Wow, I know..."" Oh my God, I totally relate to that.",,,,,,,,,,,,,,,,,,,,,,
アハッ ここに？ 初めてかも そこに共感してくれる人,"Oh, here? I've never had someone who can relate to that.",,,,,,,,,,,,,,,,,,,,,,
強く共感します 僕 教師になりたくて 強く共感します 僕 教師になりたくて  ホントですか？ 強く共感します 僕 教師になりたくて,I want to be a teacher. I wanted to be a teacher.,,,,,,,,,,,,,,,,,,,,,,
大学で教員免許取って 僕 物理の教員免許 持ってるんですけど 高校物理の,"I got my teaching license in college, and I'm licensed to teach physics at the high school level.",,,,,,,,,,,,,,,,,,,,,,
すごい…,I'm a great...,,,,,,,,,,,,,,,,,,,,,,
で 自分の出身が 長崎県の対馬っていう ちっちゃい島 出身で,"I'm from a tiny island called Tsushima, in Nagasaki Prefecture.",,,,,,,,,,,,,,,,,,,,,,
俺の生徒になる子 かわいそうだなと思って,I felt bad for the kids who would be my students.,,,,,,,,,,,,,,,,,,,,,,
俺が知ってることしか 俺が知ってることしか  なるほど なるほど 教えてあげられないなって 思って…,"I thought I could only teach what I know, what I know, what I know...",,,,,,,,,,,,,,,,,,,,,,
へえ 面白い,That's interesting.,,,,,,,,,,,,,,,,,,,,,,
面白いよね ちょっと そこに 共感されたの すごい初めて,"It's funny, isn't it? That's the first time someone has shared that with me.",,,,,,,,,,,,,,,,,,,,,,
ホント？,Really?,,,,,,,,,,,,,,,,,,,,,,
えっ ちなみにさ つきあってきた人で 一番 長かった人って どんくらいつきあったの？,"By the way, how long has the longest relationship been?",,,,,,,,,,,,,,,,,,,,,,
元旦那なんだけど ４年つきあって…,My ex-husband. We were together for four years...,,,,,,,,,,,,,,,,,,,,,,
おっ 結婚してたの？ そう 離婚歴が ちょっとバツイチなんだけど,"Oh, you were married? Yes, divorced. A little divorced.",,,,,,,,,,,,,,,,,,,,,,
４年つきあって結婚して １年で離婚したの,"We were together for 4 years, married for 4 years, divorced after 1 year.",,,,,,,,,,,,,,,,,,,,,,
１年で？ うん,One year? Yeah.,,,,,,,,,,,,,,,,,,,,,,
23歳か …で結婚して 24歳の時には 離婚しました,"We got married when I was 23, and divorced when I was 24.",,,,,,,,,,,,,,,,,,,,,,
ま… 何か ギャンブルだったりとか こう…,Well... gambling or something...,,,,,,,,,,,,,,,,,,,,,,
ホントに こう 大変な時に あまり,I couldn't really talk to him...,,,,,,,,,,,,,,,,,,,,,,
話し合えない人 だったっていうのは あるのかなって,I guess I couldn't really talk to him when I was going through a difficult time.,,,,,,,,,,,,,,,,,,,,,,
それは別に何か 全然マイナスでも 気にしない？,That doesn't bother you at all?,,,,,,,,,,,,,,,,,,,,,,
うん 気にしない まったく ああ じゃあ 何か すごい うれしい,"No, I don't mind at all. Then that makes me really happy.",,,,,,,,,,,,,,,,,,,,,,
だってさ いつまでも 自分が嫌かもっていうのを 我慢してやってるのが いつまでも いいと思わないから,Because I don't think it's good to put up with something you don't like forever.,,,,,,,,,,,,,,,,,,,,,,
すごい正直なんやなって思う 俺 ステキやと思うけどね,I think it's great that you're so honest. I think it's wonderful.,,,,,,,,,,,,,,,,,,,,,,
あっ でも 私 結構 芸人さん よかった,I think that's great. But I'm pretty happy with the comedian.,,,,,,,,,,,,,,,,,,,,,,
よかった？ よかった よかった それは,Good? That's good. That's good.,,,,,,,,,,,,,,,,,,,,,,
何か すごい肯定してくれた 何か私がその…,That's... a great affirmation.,,,,,,,,,,,,,,,,,,,,,,
まっ 離婚とかもだし,"Well, with the divorce and all...",,,,,,,,,,,,,,,,,,,,,,
全然 もう すごいプラスに 全然 もう すごいプラスに  関係ないもんね 本当は,It's not really about the divorce or anything.,,,,,,,,,,,,,,,,,,,,,,
感性？ 心の豊かさみたいのが あるんだろうな,Sensitivity? You must have a rich heart.,,,,,,,,,,,,,,,,,,,,,,
応援したいみたいな 気持ちでしたね,I felt like I wanted to support her.,,,,,,,,,,,,,,,,,,,,,,
恋愛感情というか 恋愛対象として もう１回 話したいな …っていうふうに 何か感じなかったです,I didn't feel like I wanted to talk to her again as an object of romantic interest.,,,,,,,,,,,,,,,,,,,,,,
何か こう 声の質があまりしっくり こなかったんですかね,I guess the quality of her voice didn't really fit me.,,,,,,,,,,,,,,,,,,,,,,
まっ 変わった感じでした,"Well, it was a strange feeling.",,,,,,,,,,,,,,,,,,,,,,
いや 決めるの難しい,It's hard to decide.,,,,,,,,,,,,,,,,,,,,,,
何を一番 重要視してます？ 結婚とか その… リレーションシップで,What do you consider most important? Marriage and relationships.,,,,,,,,,,,,,,,,,,,,,,
やっぱ話が合うこと いろんな話ができる人がよくて,I want someone I can talk to. Someone I can talk to about all kinds of things.,,,,,,,,,,,,,,,,,,,,,,
何か まあ ちょっと ふざけたりもできるし 深い話とかも ちゃんと しっかりできる人,"Someone who can joke around a little, but who can also have deep conversations.",,,,,,,,,,,,,,,,,,,,,,
って思うと しっかり 話し込んでいかないと 分からなくて… 確かに 分からない,You don't really know until you've had a chance to talk about it.,,,,,,,,,,,,,,,,,,,,,,
理想は どういう人なんですか？ ミドリ 理想？,"What kind of person is your ideal? Midori, ideal?",,,,,,,,,,,,,,,,,,,,,,
理想は… 何か こう…,The ideal person would be...,,,,,,,,,,,,,,,,,,,,,,
やっぱ引っ張ってくれる 人が好きだけど,I like someone who can pull me along.,,,,,,,,,,,,,,,,,,,,,,
でも やっぱりこう すごい 好きになってくれる 人がいいかも,But I'd also like someone who makes me fall in love with him.,,,,,,,,,,,,,,,,,,,,,,
自分が好きよりも？ 相手の方が？, More than you like him? More like the other person?,,,,,,,,,,,,,,,,,,,,,,
ミドリです 年齢は30です,I'm Midori. I'm 30 years old.,,,,,,,,,,,,,,,,,,,,,,
私 コンサル バックグラウンドの癖で,I'm a consultant.,,,,,,,,,,,,,,,,,,,,,,
結構 男性を チャート化することが… これホント 映して ほしくないんですけど,I tend to chart men... and I really don't want you to see this.,,,,,,,,,,,,,,,,,,,,,,
職業 年齢 何か こうルックス みたいな感じで,"I don't want this to show up on your chart, but... occupation, age, looks, that kind of thing.",,,,,,,,,,,,,,,,,,,,,,
マルペケするみたいな,"It's like I'm trying to ""Marpeke"" them.",,,,,,,,,,,,,,,,,,,,,,
でも そういうのが よくないんだなと思って,But I don't think that's a good idea.,,,,,,,,,,,,,,,,,,,,,,
なんで今回は ちょっと ちゃんと人となりと その時に,"That's why this time, I wanted to give you a better idea of who they are and what they're like.",,,,,,,,,,,,,,,,,,,,,,
パッっていいなって 思ったっていう 感覚とかも 大事にしたいなと 思ってます,I'd like to emphasize the sense of personality and the feeling that you had when you saw the person you were meeting.,,,,,,,,,,,,,,,,,,,,,,
そう 関西の兵庫県,"Yes, Hyogo Prefecture in Kansai.",,,,,,,,,,,,,,,,,,,,,,
