Words,Reading,Meaning,Level
発進,はっしん,"departure, takeoff, launch",2
大発見,だいはっけん,"breakthrough, great discovery",3
経済発展,けいざいはってん,economic development,3
研究開発,けんきゅうかいはつ,research and development,3
発射台,はっしゃだい,launching pad,3
都市再開発,としさいかいはつ,urban redevelopment,3
発病,はつびょう,falling ill,2
一発,いっぱつ,"one shot, blow, charge, explosion",2
再発行,さいはっこう,"reissue, republication",2
発売中,はつばいちゅう,now on sale,2
爆発的,ばくはつてき,explosive,2
揮発性,きはつせい,volatility,2
発音,はつおん,pronunciation,1
発見,はっけん,discovery,1
発明,はつめい,invention,1
爆発,ばくはつ,explosion,1
発電,はつでん,generation,1
蒸発,じょうはつ,evaporation,2
反発,はんぱつ,opposition,1
発展,はってん,development,1
出発,しゅっぱつ,departure,1
発表,はっぴょう,announcement,1
発達,はったつ,"development, growth",2
発行,はっこう,"publication, issue",1
連想,れんそう,association of ideas,2
連絡,れんらく,contacting,1
連邦,れんぽう,commonwealth,3
関連,かんれん,"relation, connection",1
連続,れんぞく,"continuation, succession",1
連合,れんごう,"union, combination",2
連中,れんちゅう,"company, lot, bunch",3
一連,いちれん,"series, chain, sequence",1
連休,れんきゅう,consecutive holidays,2
連帯,れんたい,solidarity,3
連日,れんじつ,day after day,2
連盟,れんめい,"league, federation",3
連結,れんけつ,"connection, linking, joining",2
連隊,れんたい,regiment,3
連れる,つれる,"take with, bring along",1
連れ去る,つれさる,"carry off, take away",3
連行,れんこう,"taking, dragging",1
連動,れんどう,working together,1
連敗,れんぱい,consecutive defeats,2
連勝,れんしょう,consecutive victories,2
連立,れんりつ,"coalition, alliance, union",3
連載,れんさい,serialization,3
連鎖,れんさ,"chain, series, connection",3
連覇,れんぱ,successive championships,3
連れて行く,つれていく,take along,1
連れてくる,つれてくる,bring along,1
連絡先,れんらくさき,contact information,1
連れ出す,つれだす,take out ,3
連れ込む,つれこむ,"bring into, lead into",3
連合艦隊,れんごうかんたい,combined fleet,3
連ねる,つらねる,"line up, put in a row, add, accept",2
連なる,つらなる,"extend, stretch out, stand in a row, participate, enrol",2
国連,こくれん,united nations,2
連れ戻す,つれもどす,bring back,3
普通,ふつう,"normal, ordinary, usual",1
普段,ふだん,"usual, normal, everyday",1
普及,ふきゅう,"diffusion, spread, popularization",1
普段着,ふだんぎ,everyday clothes,2
普遍的,ふへんてき,universal,3
普遍,ふへん,"universal, general",2
普通列車,ふつうれっしゃ,"regular train, local train",3
普通選挙,ふつうせんきょ,universal suffrage,3
普通預金,ふつうよきん,ordinary bank account,3
文化,ぶんか,"culture, civilization",1
化学,かがく,chemistry,1
強化,きょうか,"strengthening, intensifying",2
消化,しょうか,digestion,2
進化,しんか,evolution,2
化石,かせき,fossil,2
変化,へんか,"change, variation, alteration",1
化粧,けしょう,"makeup, cosmetics",1
悪化,あっか,deterioration,2
酸化,さんか,oxidation,2
化ける,ばける,"take form, transform, disguise",1
生化学,せいかがく,biochemistry,3
老化,ろうか,aging,1
文化遺産,ぶんかいさん,cultural heritage,3
合理化,ごうりか,rationalization,3
一酸化炭素,いっさんかたんそ,carbon monoxide,3
化合物,かごうぶつ,compound,3
同化,どうか,"assimilation, absorption​",2
二酸化炭素,にさんかたんそ,carbon dioxide,3
化学物質,かがくぶっしつ,chemical substances,1
風化,ふうか,"weathering, fading",3
化粧水,けしょうすい,skin lotion,3
炭水化物,たんすいかぶつ,carbohydrate,3
具体化,ぐたいか,"embodiment, materialization",2
文化的,ぶんかてき,cultural,2
自由化,じゆうか,liberalization,3
化学肥料,かがくひりょう,chemical fertilizer,3
激化,げきか,"intensification, aggravation",2
南極,なんきょく,south pole,3
北極,ほっきょく,north pole,3
積極的,せっきょくてき,"positive, assertive, proactive",2
消極的,しょうきょくてき,"negative, passive, half-hearted",2
極端,きょくたん,"etreme, extremity",2
究極,きゅうきょく,"final, ultimate, last",3
極めて,きわめて,"exceedingly, extremely",2
極東,きょくとう,far east,3
極度,きょくど,"maximum, extreme, utmost",2
見極める,みきわめる,"ascertain, make sure",2
極秘,ごくひ,absolute secrecy,3
極力,きょくりょく,"utmost, one’s best ability",3
極まる,きわまる,"reach an extreme, reach the limit",3
極地,きょくち,polar regions,3
極点,きょくてん,"pole, climax, extreme",3
極上,ごくじょう,"first-rate, finest quality",3
極小,きょくしょう,"minimum, minuscule",3
極致,きょくち,"culmination, peak",3
秘密,ひみつ,"secret, secrecy, confidentiality",3
精密,せいみつ,"precise, exact, detailed",3
厳密,げんみつ,"strict, close, precise",3
密集,みっしゅう,"crowding together, clustering together",3
親密,しんみつ,"intimacy, friendship",3
密売,みつばい,"smuggling, illicit trade",3
密輸,みつゆ,"smuggling, contraband trade",3
密接,みっせつ,"close, intimate",3
機密,きみつ,"secrecy, highly classified information",3
密度,みつど,density,3
密着,みっちゃく,"adhering, sticking firmly",3
緊密,きんみつ,"closeness, compactn",3
綿密,めんみつ,"minute, detailed, careful",3
密猟,みつりょう,poaching,3
精神,せいしん,"attitude, mentality",3
精通,せいつう,well versed,3
精力,せいりょく,"energy, vigor, vigour, vitality",3
精製,せいせい,"refining, purification",3
精度,せいど,"precision, accuracy",3
圧縮,あっしゅく,"compression, condensing, shortening",3
圧力,あつりょく,"pressure, stress, coercion",3
気圧,きあつ,atmospheric pressure,3
圧倒,あっとう,"overwhelm, overpower",3
低気圧,ていきあつ,low pressure,3
血圧,けつあつ,blood pressure,3
圧迫,あっぱく,"pressure, oppression, suppression",3
抑圧,よくあつ,"check, restraint, oppression",3
弾圧,だんあつ,"oppression, suppression, pressure",3
高気圧,こうきあつ,high pressure,3
高圧,こうあつ,"high voltage, high pressure",3
電圧,でんあつ,voltage,3
高血圧,こうけつあつ,high blood pressure,3
圧倒的,あっとうてき,overwhelming,3
圧勝,あっしょう,overwhelming victory,3
外圧,がいあつ,external pressure,3
重圧,じゅうあつ,"strong pressure, heavy pressure",3
制圧,せいあつ,gaining total control,3
加圧,かあつ,increasing pressure,3
圧巻,あっかん,"highlight, best part, superb",3
鎮圧,ちんあつ,"suppression, subjugation",3
水圧,すいあつ,water pressure,3
油圧,ゆあつ,"oil pressure, hydraulics",3
風圧,ふうあつ,wind pressure,3
低血圧,ていけつあつ,low blood pressure,3
内圧,ないあつ,internal pressure,3
指圧,しあつ,acupressure,3
減圧,げんあつ,decompression,3
耐圧,たいあつ,pressure-resistant,3
気圧計,きあつけい,barometer,3
高圧電流,こうあつでんりゅう,high-voltage current,3
土圧,どあつ,earth pressure,3
電圧計,でんあつけい,voltmeter,3
蒸気圧,じょうきあつ,steam pressure,3
逆電圧,ぎゃくでんあつ,reverse voltage,3
空気圧縮機,くうきあっしゅ,air compressor,3
戦争,せんそう,"war, fighting",3
戦闘,せんとう,"battle, fight, combat",3
作戦,さくせん,"tactics, strategy",3
戦後,せんご,postwar period,3
戦う,たたかう,"make war, wage war",3
挑戦,ちょうせん,challenge,3
戦時,せんじ,wartime,3
戦略,せんりゃく,"strategy, tactics",3
戦車,せんしゃ,tank,3
対戦,たいせん,fighting against,3
戦前,せんぜん,before the war,3
終戦,しゅうせん ,end of war,3
戦場,せんじょう,battlefield,3
敗戦,はいせん,"defeat, lost batt",3
冷戦,れいせん,cold war,3
反戦,はんせん,anti-war,3
休戦,きゅうせん,"cease-fire, truce, armistice",3
戦力,せんりょく,military strength,3
戦死,せんし,death in battle,3
戦国,せんごく,country in civil war,3
戦術,せんじゅつ,tactics,3
防戦,ぼうせん,defensive fight,3
停戦,ていせん,"armistice, ceasefire",3
戦災,せんさい,war damage,3
接戦,せっせん,close contest,3
混戦,こんせん,"free-for-all, melee",3
激戦,げきせん,fierce battle,3
苦戦,くせん,"hard fight, close game, struggle",3
戦線,せんせん,war front,3
観戦,かんせん,"watching, spectating",3
戦友,せんゆう,war buddy,3
開戦,かいせん,outbreak of war,3
戦況,せんきょう,war situation,3
決戦,けっせん,decisive battle,3
善戦,ぜんせん,fighting a good fight,3
連戦,れんせん,series of battles,3
参戦,さんせん,participation in a war,3
初戦,しょせん,first match,3
頭痛,ずつう,headache,3
苦痛,くつう,"pain, agony, bitterness",3
痛烈,つうれつ,"severe, bitter, scathing",3
痛手,いたで ,"serious wound, hard blow",3
痛感,つうかん,feeling keenly,3
腹痛,ふくつう,stomach ache,3
鎮痛剤,ちんつうざい,"analgesic, painkiller",3
痛切,つうせつ,"keen, acute, heartfelt",3
悲痛,ひつう,"grief, sorrow",3
激痛,げきつう,"sharp pain, acute pain, intense pain",3
爆弾,ばくだん,bomb,3
弾圧,だんあつ,"oppression, suppression, pressure",3
弾道,だんどう,"trajectory, line of fire",3
弾む,はずむ,"spring, bounce, stimulated",3
弾力,だんりょく,"elasticity, flexibility",3
柔軟,じゅうなん,"flexible, lithe, soft, pliable",3
軟化,なんか,softening,3
軟骨,なんこつ,cartilage,3
軟着陸,なんちゃくりく,soft-landing,3
軟弱,なんじゃく,weakness,3
軟調,なんちょう,"weak market, bearish ",3
柔軟性,じゅうなんせい,"flexibility, pliability, softness",3
弾丸,だんがん,"bullet, shot, shell",3
弾薬,だんやく,"ammunition, ammo",3
弾頭,だんとう,warhead,3
核弾頭,かくだんとう,nuclear warhead,3
実弾,じつだん,"live bullets, live ammunition",3
防弾,ぼうだん,"bulletproof, bombproof",3
弾劾,だんがい,"impeachment, denunciation",3
糾弾,きゅうだん,"censure, denunciation",3
消防,しょうぼう,fire fighting,3
予防,よぼう,"prevention, protection",3
防衛,ぼうえい,"defense, defence, protection",3
国防,こくぼう,national defence,3
防火,ぼうか,fire prevention,3
防止,ぼうし,"prevention, check",3
防災,ぼうさい,disaster preparednes,3
防水,ぼうすい,waterproofing,3
防御,ぼうぎょ,"defense, safeguard, protection",3
防ぐ,ふせぐ,"defend against, prevent, avert",3
堤防,ていぼう,"embankment, levee",3
防音,ぼうおん,soundproofing,3
防戦,ぼうせん,defensive fight,3
防空,ぼうくう,air defense,3
予防接種,よぼうせっしゅ,vaccination,3
防犯,ぼうはん,prevention of crime,3
防護,ぼうご,protection,3
防波堤,ぼうはてい,breakwater,3
予防線,よぼうせん,"defensive perimeter, defence line",3
防疫,ぼうえき,communicable disease control,3
防毒,ぼうどく,gasproofing,3
防虫剤,ぼうちゅうざい,insect repellent,3
消防署,しょうぼうしょ,fire station,3
静電気防止,せいでんきぼうし,static protection,3
防水加工,ぼうすいかこう,waterproof finish,3
防火塗料,ぼうかとりょう,fire-resistant paint,3
防寒服,ぼうかんふく,"winter clothes, arctic clothes",3
防汚,ぼうお,"stain resistance, stain-proofing",3
防寒着,ぼうかんぎ,winter clothes,3
防火壁,ぼうかへき,firewall,3
防水性,ぼうすいせい,waterproof property,3
防火造り,ぼうかづくり,fireproof construction,3
防火戸,ぼうかど,fire door,3
防火訓練,ぼうかくんれん,fire drill,3
書類,しょるい,"document, papers",3
人類,じんるい,"mankind, humanity",3
分類,ぶんるい,"classification, categorization, sorting",3
種類,しゅるい,"variety, kind, type, category",3
親類,しんるい,"relative, relation, kin",3
類似,るいじ,"resemblance, similarity, likeness",3
衣類,いるい,"clothes, clothing, garments",3
類型,るいけい,"type, pattern, shape, genre, breed",3
鳥類,ちょうるい,birds,3
魚類,ぎょるい,fishes,3
魚介類,ぎょかいるい,"marine products, seafood",3
同類,どうるい,"same kind, accomplice, partner",3
酒類,しゅるい,"alcoholic drinks, liquor",3
類推,るいすい,"analogy, analogical reasoning",3
比類,ひるい,"parallel, equal, match",3
部類,ぶるい,"class, heading, group, category",3
類例,るいれい,"similar instance, similar case",3
衣装,いしょう,"clothing, costume, outfit",3
衣服,いふく,clothes,3
白衣,はくい,"white clothes, white robe",3
衣料,いりょう,clothing,3
浴衣,ゆかた,yukata,3
衣類,いるい,"clothes, clothing, garments",3
衣替え,ころもがえ,seasonal change of clothing,3
衣食住,いしょくじゅう,"food, clothing and shelter",3
更衣室,こういしつ,"locker room, changing room",3
着衣,ちゃくい,"clothes, wearing clothes",3
脱衣,だつい,undressing,3
中衣,ちゅうい,inner garment,3
中衣くし,なかがくし,inside pocket,3
横断,おうだん,"crossing, traversing",3
縦横,じゅうおう,length and width,3
横行,おうこう,"walking sideways, staggering",3
横断歩道,おうだんほどう,"pedestrian crossing, crosswalk",3
横切る,よこぎる,"cross, traverese",3
横顔,よこがお,"profile, face in profile",3
横たわる,よこたわる,"lie down, stretch out, lie ahead",3
横道,よこみち,"byway, side street, cross stree",3
横幅,よこはば,"breadth, width",3
座敷,ざしき,tatami room,3
屋敷,やしき,"residence, estate, grounds",3
敷地,しきち,"site, plot, lot, grounds",3
敷金,しききん,"security deposit, caution money",3
敷設,ふせつ,"laying, construction",3
敷き物,しきもの,"carpet, rug, matting",3
風呂敷,ふろしき,"wrapping cloth, cloth wrapper",3
敷石,しきいし,"paving stone, pavement",3
小売価格,こうりかかく,retail price,3
卸売物価,おろしうりぶっか,wholesale price,3
真価,しんか,"true value, real worth",2
米価,べいか,rice price,2
原価,げんか,cost price,3
安価,あんか,low-priced,3
地価,ちか,land price,3
価値観,かちかん,sense of values,3
株価,かぶか,stock prices,3
定価,ていか,"list price, regular price",3
高価,こうか,highly priced,3
価値,かち,"value, worth, merit",3
評価,ひょうか,"valuation, appraisal",3
価格,かかく,"price, value, cost",3
物価,ぶっか,prices of commodities,3
対価,たいか,"compensation, equivalent value",3
単価,たんか,"unit price, unit cost",3
等価,とうか,"equivalence, equal value, parity",3
過小評価,かしょうひょうか,"underestimation, undervaluation​",3
貨幣価値,かへいかち,currency value,3
特価,とっか,"special price, bargain price",3
市価,しか,"market price, current price",3
栄養価,えいようか,"nutritional value, food value",3
原油価格,げんゆかかく,crude oil price​,3
市場価値,しじょうかち,market value,3
価格競争,かかくきょうそう,price competition,3
見積り価格,みつもりかかく,"quote, estimated price​",3
特価品,とっかひん,bargain item,3
物価変動,ぶっかへんどう,price fluctuation,3
物価上昇,ぶっかじょうしょう,price increase,3
価値体系,かちたいけい,set of values,3
過大評価,かだいひょうか,"overestimation, overvaluing",3
株価上昇,かぶかじょうしょう,stock price rise,3
平均株価,へいきんかぶか,stock price average,3
声価,せいか,"reputation, fame",3
価格表,かかくひょう,price list,3
廉価版,れんかばん,"cheap edition, low-priced edition",3
減価償却,げんかしょうきゃく,depreciation,3
有価証券,ゆうかしょうけん,stocks and bonds,3
低価格,ていかかく,low price,3
時価,じか,current value,3
物価指数,ぶっかしすう,price index​,3
特別価格,とくべつかかく,discount price,3
予価,よか,expected price,3
売価,ばいか,selling price​,3
平価,へいか,"normal prices, par, parity",3
砂糖,さとう,sugar,2
糖尿病,とうにょうびょう,diabetes,3
糖分,とうぶん,sugar content,3
角砂糖,かくざとう,sugar cube,3
血糖値,けっとうち,blood sugar level,3
糖質,とうしつ,sugariness,3
同情,どうじょう,"sympathy, compassion",3
同調,どうちょう,"conformity, alignment, agreement",3
同志,どうし,like-mindedness,3
混同,こんどう,"confusion, mixing, merger",3
共同,きょうどう,"cooperation, collaboration",3
同様,どうよう,"same, similar, equal",3
同時,どうじ,"simultaneous, concurrent, same time",3
同意,どうい,"agreement, consent, approval",3
同士,どうし,"fellow, mutual, companion",3
同感,どうかん,"same feeling, same sentiment",3
同盟,どうめい,"alliance, union, league",3
同等,どうとう,"equality, equal, same",3
同居,どうきょ,"living together, coexistence",3
同封,どうふう,enclosing,3
共同体,きょうどうたい,cooperative body,3
同窓会,どうそうかい,alumni association,3
同期,どうき,same period,3
同化,どうか,"assimilation, absorption",3
同棲,どうせい,"cohabitation, living together",3
合同,ごうどう,"combination, union, incorporation",3
同然,どうぜん,"just like, no different from",3
同社,どうしゃ,same company,3
同伴,どうはん,accompanied by,3
同行,どうこう,going with,3
同時代,どうじだい,same period,3
同級生,どうきゅうせい,classmate,3
同国,どうこく,same country,3
同胞,どうほう,fellowman,3
同席,どうせき,"being present, attendance",3
同数,どうすう,same number,3
同種,どうしゅ,same kind,3
美術館,びじゅつかん,art museum,2
美味しい,おいしい,delicious,1
美しい,うつくしい,"beautiful, pretty",1
美人,びじん,beautiful woman,2
美容,びよう,"beauty, good figure",2
美術,びじゅつ,"art, fine arts",2
優美,ゆうび,"grace, refinement, elegance",3
褒美,ほうび,"reward, prize",3
賛美,さんび,"praise, glorification",3
美学,びがく,"esthetics, aesthetics",3
美女,びじょ,beautiful woman,3
美意識,びいしき,sense of beauty,3
美容師,びようし,beautician,3
美術展,びじゅつてん,art exhibition,3
美容院,びよういん,beauty salon,1
美貌,びぼう,"beautiful face, good looks",3
美徳,びとく,virtue,3
美的,びてき,"esthetic, aesthetic",3
美観,びかん,beautiful sight,3
甘美,かんび,"sweet taste, luscious",3
美談,びだん,impressive tale,3
美声,びせい,beautiful voice,3
美少女,びしょうじょ,beautiful girl,3
華美,かび,"splendour, gorgeousness",3
審美眼,しんびがん,aesthetic sense,3
美術品,びじゅつひん,work of art,3
美形,びけい,beautiful face,3
美術商,じゅつしょう,art dealer,3
美術工芸,びじゅつこうげい,rts and crafts,3
美白,びはく,beautifully white,3
美化,びか,beautification,3
美点,びてん,"virtue, charm, merit",3
美味,びみ,good flavor,3
美食,びしょく,gourmet food,3
美顔,びがん,beautiful face,3
美酒,びしゅ,high-grade sake,3
美脚,びきゃく,beautiful legs,3
披露,ひろう,"show, present, demonstrate",3
披露宴,ひろうえん,"reception, banquet",3
披く,ひらく,"open, unfold",3
開披,かいひ,"opening, unsealing",3
暴露,ばくろ,"disclosure, exposure",3
露骨,ろこつ,"open, undisguised, lewd",3
結露,けつろ,condensation,3
露見,ろけん,"discovery, detection, exposure",3
露天風呂,ろてんぶろ,open-air bath,3
露天商,ろてんしょう,street vendor,3
玉露,ぎょくろ,high quality green tea,3
露店,ろてん,"street stall, stand, booth",3
吐露,とろ,expressing one's mind,3
露出,ろしゅつ,"exposure, laying bare",3
甘露,かんろ,"nectar, sweetness",3
露呈,ろてい,"exposure, disclosure",3
露光,ろこう,exposure in photography,3
発露,はつろ,"appearance, manifestation",3
合図,あいず,"sign, signal, cue",2
組合,くみあい,"association, union, guild",2
集合,しゅうごう,"meeting up, gathering, assembly",2
待合室,まちあいしつ,waiting room,2
試合,しあい,"match, game, bout, contest",2
合う,あう,"merge, unite, fit, match, meet",2
間に合う,まにあう,be in time,2
場合,ばあい,"case, occasion",2
具合,ぐあい,"condition, state​",2
都合,つごう,"circumstances, condition, arrange",2
割合,わりあい,"rate, ratio, percentage, proportion",2
合格,ごうかく,"passing, success",2
会合,かいごう,"meeting, assembly, gathering",2
話し合う,はなしあう,"discuss, talk togrther",2
合わせる,あわせる,"to match, combine, unite",2
合計,ごうけい,"sum total, total amount",2
連合,れんごう,"union, combination, alliance",2
似合う,にあう,"suit, match, be like",2
合流,ごうりゅう,"confluence, merge",2
知り合い,しりあい,acquaintance,2
混合,こんごう,"mixing, mixture, meld",3
付き合う,つきあう,"associate with, go out with",3
釣り合う,つりあう,"balance, in harmony, in equilibrium",3
待ち合わせる,まちあわせる,to rendezvous,3
合意,ごうい,"agreement, consent",3
合併,がっぺい,"merger, combine, fusion",3
問い合わせる,といあわせる,"enquire, seek information",3
結合,けつごう,"combine, union, joining, linking",3
統合,とうごう,"integrate, unify; combine, synthesize",3
合間,あいま,"interval, break, pause",3
合致,がっち,"agreement, concurrence",3
総合,そうごう,"synthesis, combination, integration",3
見合わせる,みあわせる,exchange glances,3
合わす,あわす,"match, unite, combine",3
組み合わせる,くみあわせる,"put together, combine",3
打ち合わせる,うちあわせる,"strike each other, arrange",3
照合,しょうごう,"collation, comparison",3
労働組合,ろうどうくみあい,labor union,3
併合,へいごう,"merger, meld",3
合金,ごうきん,alloy,3
完全試合,かんぜんじあい,perfect game,3
化合物,かごうぶつ,compound,3
合同,ごうどう,"combination, union, incorporation",3
知り合う,しりあう,get to know each other,3
居合わせる,いあわせる,happen to be present,3
間に合わせる,まにあわせる,"get done, manage, make shift",3
合法的,ごうほうてき,"legal, lawful, legitimate",3
合言葉,あいことば,password,3
合理的,ごうりてき,"rational, reasonable, logical",3
公定歩合,こうていぶあい,official discount rate,3
適合,てきごう,"conformity, compatibility, adaptability",3
競合,きょうごう,"contention, competition",3
沖合,おきあい,"off the coast, offshore",3
総合的,そうごうてき,"comprehensive, composite, all-round",3
合宿,がっしゅく,"lodging together, boarding house",3
気合,きあい,"spirit, motivation, effort",3
合弁,ごうべん,"joint management, pool​",3
核融合,かくゆうごう,nuclear fusion,3
合唱団,がっしょうだん,choir,3
混ぜ合わす,まぜあわす,"mix together, blend",3
競り合う,せりあう,"struggle for, compete with, vie with",3
不合理,ふごうり,"irrational, illogical, unreasonable",3
合法,ごうほう,Legal. lawful. legitimate,3
非合法,ひごうほう,"illegal, unlawful",3
意味合い,いみあい,"implication, nuance",3
引き合い,ひきあい,"reference, example, instance",3
融合,ゆうごう,"adhesion, fusion",3
合成,ごうせい,"composition, synthesis, compounding",3
好都合,こうつごう,"convenient, favorable",3
不都合,ふつごう,"inconvenient, unfavourable",3
似合い,にあい,"well-matched, suitable",3
隣り合う,となりあう,"adjoin each other, sit side by side",3
落ち合う,おちあう,"meet up, get together",3
触れ合う,ふれあう,come into contact with,3
競合他社,きょうごうたしゃ,competing companies,3
不釣合い,ふつりあい,"imbalance, disproportion, disparity",3
助け合う,たすけあう,help each other,3
金額,きんがく,amount of money,2
差額,さがく,"balance, difference, margin",2
多額,たがく,"large amount, huge, hefty",2
総額,そうがく,sum total,2
高額,こうがく,large sum,2
少額,しょうがく,small sum,2
巨額,きょがく,huge sum,2
半額,はんがく,"half the amount, half price, half fare",2
年額,ねんがく,yearly amount,3
月額,げつがく,monthly amount,3
額面,がくめん,"face value, par",3
増額,ぞうがく,increase the amount,3
残額,ざんがく,remaining amount,3
倍額,ばいがく,double amount,3
損害額,そんがいがく,amount of damages,3
被害額,ひがいがく,cost of damage,3
合計額,ごうけいがく,total amount,3
支給額,しきゅうがく,allowance,3
控除額,こうじょがく,amount deducted,3
請求額,せいきゅうがく,amount billed,3
限度額,げんどがく,limit amount,3
税額,ぜいがく,amount of tax,3
定額,ていがく,fixed amount,3
減額,げんがく,reduction,3
産額,さんがく,amount of production,3
額面割れ,がくめんわれ,drop below par,3
低額,ていがく,small amount,3
価額,かがく,"valuation, amount",3
支出額,ししゅつがく,amount of expenditures,3
満額,まんがく,full amount,3
出金額,しゅっきんがく,amount invested,3
額面超過額,がくめんちょうかがく,premium,3
分担額,ぶんたんがく,amount allotted,3
収入金額,しゅうにゅうきんがく,income amount,3
輸出額,ゆしゅつがく,export value,3
日額,にちがく,daily amount,3
献金額,けんきんがく,amount of a donation,3
追加額,ついかがく,"add-on, addition",3
総支給額,そうしきゅうがく,"gross pay, total amount paid",3
評価額,ひょうかがく,estimated value,3
課税価額,かぜいかがく,taxable amount,3
受注額,じゅちゅうがく,"order volume, orders received",3
それ程,それほど,to that degree,1
なる程,なるほど,"indeed, that’s right, i see",1
程度,ていど,"degree, amount",1
過程,かてい,"process, course, mechanism",2
日程,にってい,"schedule, program",2
課程,かてい,"course, curriculum​",1
先ほど,さきほど,a while ago,1
音程,おんてい,"interval, step, pitch, key",2
方程式,ほうていしき,"equation, formula, method to solve",3
然程,さほど,"not that much, not particularly",2
行程,こうてい,"journey, course, distance",2
射程,しゃてい,range,3
程なく,ほどなく,"soon, shortly thereafter",3
あれ程,あれほど,to that extent​,1
程遠い,ほどとおい,"far away, far off",3
同程度,どうていど,"same degree, same extent",3
規程,きてい,"official regulations, inner rules​",2
修士課程,しゅうしかてい,master's course,3
旅程,りょてい,"itinerary, travel plans",3
上提,じょうてい,"introducing, presentation",3
工程,こうてい,"process, operation",3
工程線,こうていせん,production line,3
行程表,こうていひょう,"printed itinerary, road map",3
工程表,こうていひょう,"work schedule, progress schedule",3
