Kanji,K.Meaning,Words.A,Words.B,Words.C,Words.D,W.Meaning.A,W.Meaning.B,W.Meaning.C
食,eat,食べる。食べ物。食事,食う。食欲。給食,定食。食卓。主食,食料品。昼食。食堂。食糧。衣食住,eat。food。meal,eat。appetite。lunch service,set meal。dining table。staple food
行,go,行く。旅行。行動,銀行。飛行機。行列,行う。急行。実行,行政。発行。通行。行儀。行事,go。travel。action,bank。airplane。queue,perform。hurrying。execution
思,think,思う。思い出す。思考,片思い。思想。意思,思春期。思惑。思い直す,意思疎通。思い描く。思い込む,think。recall。thought,one-sided love。idea。intention,puberty。expectation。re-think
考,consider,考える。考慮。参考,選考。再考。考察,考え直す。考え出す。考え込む,熟考。備考。考査,consider。 consideration。 reference,selection。reconsideration。inquiry,reconsider。think out。ponder
術,technique,芸術。技術。戦術,手術。美術。,"美術館。美術展。技術的
",芸術家。芸術的。技術革新,arts。technology。tactics,surgery。fine arts。learning,art museum。art exhibition。technical
芸,craft,園芸。芸術。工芸,手芸。学芸。陶芸,芸能人。文芸。演芸,曲芸。芸人。多芸。芸術作品,gardening。arts。industrial arts,handicrafts。liberal arts。ceramics,entertainer。literature。entertainment
作,make,作る。作文。作家,作品。作業。作曲,作戦。作物。操作,発作。作法。作成。傑作。動作,make。writing。author,works。work。composition,tactics。crops。handling
使,use,使う。使用。使命,天使。大使。使者,駆使。行使。使い捨て,使い道。労使。使用者。公使,use。utilise。mission,angel。ambassador。messenger,making full use。exercise。single-use
造,create,製造。構造。改造,人造。創造。醸造,鋳造。造園。造船,建造。創造的。造成。酒造,manufacture。construction。remodeling,artificial。creation。brewing,casting。landscaping。shipbuilding
創,originate,創作。創立。創造,創刊。創造力。創設,"独創的。創出。創意
",独創。創立者。創業。創始,creation。establishment。creation,foundation。creative power。establishment,creative。generation。original idea
業,business,授業。産業。卒業,職業。企業。営業,作業。商業。工業,休業。事業。業者。業績。業務,class。industry。graduation,occupation。enterprise。business,operation。commerce。manufacturing industry
務,task,務める。義務。事務,公務。勤務。職務,任務。業務。責務,公務員。事務所。税務署,work for。duty。office work,official business。service。professional duties,duty。affairs。obligation
散,scatter,散る。散らす。散らかる,散歩。拡散。解散,発散。散会。閑散,散布。分散。退散。離散。散策,fall-scatter。scatter。scatter-around,walk。spreading。breaking up,emission。adjournment。deserted-inactive
能,ability,知能。本能。能力,才能。可能。有能,機能。性能。能率,万能。技能。放射能。堪能,intelligence。instinct。ability,talent。possible。able,function。performance。efficiency
距,distant,隔てる。隔たる。長距離,近距離。短距離。遠距離,,至近距離。測距儀。可聴距離,separate。distant。long distance,short distance。short range。long distance,
離,separate,離れる。離す。引き離す,離婚。距離。分離,離陸。隔離。離脱,肉離れ。離着陸。離党。離別,separated。separate。pull apart,divorce。distance。separation,takeoff。isolation。breakaway
査,investigate,調査。検査。巡査,捜査。審査。査定,国勢調査。血液検査,市場調査。会計監査,investigation。inspection。policeman,search。examination。assessment,census。blood test
監,oversee,監督。監視。監禁,映画監督。監督者。監察,監査役。 監理。総監,監修。技監。監察医。作監,supervision。monitoring。confinement,film director。supervisor。inspection,auditor。supervision。inspector general
域,region,地域。流域。区域,領域。水域。域外,聖域。全域。広域,芸域。職域。管理区域。禁煙区域,region。catchment basin。boundary,domain。waters。outside the area,sanctuary。whole area。wide area
雨,rain,雨天。雨具。雨季,雨水。雨降り。雨漏り,梅雨。雷雨。豪雨,小雨。長雨。降雨。暴風雨。雨林,rainy weather。rain gear。rainy season,rain water。rainfall。roof leak,rainy season。thunderstorm。torrential rain
霧,fog,朝霧。濃霧。霧雨,煙霧。霧状。迷霧,,霧消。海霧。山霧,morning fog。heavy fog。drizzle,haze。mist form。dense fog,
模,imitation,模様。模型。模倣,規模。模範。模擬,大規模。模索。小規模,模造。中規模。模擬試験。模擬店,pattern。model。imitation,scale。example。imitation,large-scale。searching。small scale
害,harm,公害。災害。迫害,被害。損害。障害,危害。妨害。有害,害虫。障害者。被害者。侵害,pollution。calamity。oppression,damage。damage。disability,injury。obstruction。harmful
侵,invade,侵す。侵入。侵略,侵食。侵害。侵犯,侵攻。侵出。侵奪,侵入者。人権侵害。侵略行為,invade。invasion。invasion,encroachment。infringement。violation,invasion。intrusion。usurpation
発,departure,発音。発見。発明,爆発。蒸発。反発,発展。出発。発表,発作。発達。発行。発揮。発射,pronunciation。discovery。invention,explosion。evaporation。opposition,development。departure。announcement
