Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
そして 最後に渡される日記には,"And in the last diary given to them,",,,,,,,,,,,,,,,,,,,,,,
永遠の別れが 書いてあります,their final farewell is written.,,,,,,,,,,,,,,,,,,,,,,
出逢い 恋に落ち 別れる運命が決まっている男女,"They are destined to meet, to fall in love, and in the end, to go their separate ways.",,,,,,,,,,,,,,,,,,,,,,
２人は 果たして 本当に 恋に落ちていくのでしょうか？,Is it possible for them to actually fall in love?,,,,,,,,,,,,,,,,,,,,,,
さあ 運命の２人の物語は,This story of two people linked by destiny,,,,,,,,,,,,,,,,,,,,,,
ここから始まるのです,begins from here.,,,,,,,,,,,,,,,,,,,,,,
えっ… はじめまして,Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
はじめまして,Nice to meet you too.,,,,,,,,,,,,,,,,,,,,,,
びっくりした～,That surprised me.,,,,,,,,,,,,,,,,,,,,,,
どういうこと？,What happened?,,,,,,,,,,,,,,,,,,,,,,
えっ？,What?,,,,,,,,,,,,,,,,,,,,,,
え～ びっくりした～,That really surprised me.,,,,,,,,,,,,,,,,,,,,,,
えっ 気付きました？ 全然,"-Did you notice? -No, I didn't.",,,,,,,,,,,,,,,,,,,,,,
全く気付かなかった,I didn't notice at all.,,,,,,,,,,,,,,,,,,,,,,
マジで びっくりしたわ,It really surprised me too.,,,,,,,,,,,,,,,,,,,,,,
えっ？,Well…,,,,,,,,,,,,,,,,,,,,,,
えっ みんな いなくなっ…,There's nobody else here.,,,,,,,,,,,,,,,,,,,,,,
２人だけってことですよね ですよね,-It's just us. -Yes.,,,,,,,,,,,,,,,,,,,,,,
あっ… はじめまして,-Nice to meet you. -Nice to meet you.,,,,,,,,,,,,,,,,,,,,,,
若松拓斗です,Takuto Wakamatsu.,,,,,,,,,,,,,,,,,,,,,,
仲宗根真愛です,My name is Maai Nakasone.,,,,,,,,,,,,,,,,,,,,,,
あっ あっちですか,That way?,,,,,,,,,,,,,,,,,,,,,,
こういう感じか…,So this is how it starts.,,,,,,,,,,,,,,,,,,,,,,
全然 気付かなかった,I didn't notice at all.,,,,,,,,,,,,,,,,,,,,,,
はじめまして あっ どうも,-How do you do? -I'm good.,,,,,,,,,,,,,,,,,,,,,,
えっ おいくつですか？,-How old are you? -I'm…,,,,,,,,,,,,,,,,,,,,,,
24… 24です,-How old are you? -I'm… I'm 24.,,,,,,,,,,,,,,,,,,,,,,
19歳です あっ 19…,-I'm 19. -You're 19?,,,,,,,,,,,,,,,,,,,,,,
若い,You're young.,,,,,,,,,,,,,,,,,,,,,,
どうやって出会うのかな？って 考えたんですけど,I was wondering how we're going to meet.,,,,,,,,,,,,,,,,,,,,,,
まあ やっぱ 全然 予想はつかなくて…,how we're going to meet. It was difficult to imagine.,,,,,,,,,,,,,,,,,,,,,,
こんな形で会うとは 思わなかったっすね,I didn't think we would meet this way.,,,,,,,,,,,,,,,,,,,,,,
振り返った瞬間に 誰もいなくて １人だったじゃないですか,The moment I looked back I saw there was no one but me and him.,,,,,,,,,,,,,,,,,,,,,,
２人しかいない状況で…,There were only two of us there.,,,,,,,,,,,,,,,,,,,,,,
はっ？”みたいな “この人か！みたいな 思って,"It was like, ""What?"" ""Oh, that's him."" My heart started beating so fast",,,,,,,,,,,,,,,,,,,,,,
その瞬間 もう バクバクですよね ドキドキして…,My heart started beating so fast at that moment. I got so nervous.,,,,,,,,,,,,,,,,,,,,,,
ちょっと話したんですけど 何も覚えてないです,"I talked with him a little, but I don't remember anything.",,,,,,,,,,,,,,,,,,,,,,
これ 真愛さんに新たな日記です,This is a new diary for you.,,,,,,,,,,,,,,,,,,,,,,
はい,Yes.,,,,,,,,,,,,,,,,,,,,,,
この日記は 真愛さんだけの 日記なので,"This is only for you, Maai.",,,,,,,,,,,,,,,,,,,,,,
彼は この日記の 存在を知りません,He doesn't know the contents. THROUGHOUT THEIR RELATIONSHIP,,,,,,,,,,,,,,,,,,,,,,
はい,Okay.,,,,,,,,,,,,,,,,,,,,,,
どんなに 気持ちが動いても,"Even if you begin to have feelings for him,",,,,,,,,,,,,,,,,,,,,,,
未来日記が 終わるまで 彼に“好き”と伝えてはいけない,do not tell him that you like him until the end of The Future Diary.,,,,,,,,,,,,,,,,,,,,,,
分かりました,I understand.,,,,,,,,,,,,,,,,,,,,,,
隠すってことですよね？,"So I have to hide my feelings, right?",,,,,,,,,,,,,,,,,,,,,,
えっ 顔に出ちゃったら…,What if it shows on my face?,,,,,,,,,,,,,,,,,,,,,,
ダメですよね？,"I can't, right?",,,,,,,,,,,,,,,,,,,,,,
分かりました,I understand. START OF A SECRET,,,,,,,,,,,,,,,,,,,,,,
秘密の始まり だって うわ～ 何これ？,"""Start of a Secret."" What's that?",,,,,,,,,,,,,,,,,,,,,,
始まりましたね,"Well, it started.",,,,,,,,,,,,,,,,,,,,,,
始まった,It sure did.,,,,,,,,,,,,,,,,,,,,,,
ついに,Finally.,,,,,,,,,,,,,,,,,,,,,,
や～ なに！ もう すでに キュンキュン,Already feeling butterflies.,,,,,,,,,,,,,,,,,,,,,,
そうなんですよ,"Exciting, isn't it?",,,,,,,,,,,,,,,,,,,,,,
映画じゃん,It's like a movie.,,,,,,,,,,,,,,,,,,,,,,
ねえ ドラマチックな スタートだったな～,-I thought so too. -Such a dramatic beginning.,,,,,,,,,,,,,,,,,,,,,,
びっくりしましたけど,-I thought so too. -Such a dramatic beginning. It was a surprise.,,,,,,,,,,,,,,,,,,,,,,
まあ 改めていうとですね,Let's recap what's happened.,,,,,,,,,,,,,,,,,,,,,,
この番組は,"In this program, we will see",,,,,,,,,,,,,,,,,,,,,,
日記に書かれた ドラマのような状況に,"In this program, we will see people get thrown into scenes",,,,,,,,,,,,,,,,,,,,,,
放り込まれた男女は,written in a diary.,,,,,,,,,,,,,,,,,,,,,,
本当に恋に落ちるのかを 見ていく,We're going to find out,,,,,,,,,,,,,,,,,,,,,,
恋愛リアリティ番組です,if they will actually fall in love.,,,,,,,,,,,,,,,,,,,,,,
ハア～,-Wow. -Wow.,,,,,,,,,,,,,,,,,,,,,,
ちょっと これ,"From the start,",,,,,,,,,,,,,,,,,,,,,,
初っ端から きてない？ 相当,it was so great. Almost like a movie trailer.,,,,,,,,,,,,,,,,,,,,,,
 映画の予告みたいな 始まりから,Almost like a movie trailer. And then,,,,,,,,,,,,,,,,,,,,,,
そして 運命の出会いまで,the fateful encounter.,,,,,,,,,,,,,,,,,,,,,,
ちょっと ドキドキしましたね,It gave me a thrill.,,,,,,,,,,,,,,,,,,,,,,
確かに するよね すごいな～,"-I know, right? -Amazing.",,,,,,,,,,,,,,,,,,,,,,
しかも 未来日記の 間でしか会えないし,They meet only through this show.,,,,,,,,,,,,,,,,,,,,,,
会えないんですよね 連絡も もちろん 取れないっていう,"-They can't, right? -They can't communicate.",,,,,,,,,,,,,,,,,,,,,,
すごい人の心を揺さぶる 企画じゃないですか,What an emotionally stressful project it is.,,,,,,,,,,,,,,,,,,,,,,
 未来日記で会うときにだけ使える スマホを渡しているという,They're given smartphones to use only for this.,,,,,,,,,,,,,,,,,,,,,,
あっ 専用のスマホを？ スマホ,-Only for this show? -Yes.,,,,,,,,,,,,,,,,,,,,,,
この令和で連絡先交換できないって もう おかしいですもんね,"In this day and age, it's abnormal not to exchange numbers.",,,,,,,,,,,,,,,,,,,,,,
逆に それが 燃え上がる可能性あるよね,"But maybe because of that, they'll fall in love.",,,,,,,,,,,,,,,,,,,,,,
会えないとき ずっと相手のこと 考えちゃいますもんね,All you can do is think about each other.,,,,,,,,,,,,,,,,,,,,,,
何してるんだろう？とか,"Like, ""What are they doing now?",,,,,,,,,,,,,,,,,,,,,,
 そう 連絡取れないんだもん,"Yes, because they can't contact each other.",,,,,,,,,,,,,,,,,,,,,,
一番 これが,"Overall,",,,,,,,,,,,,,,,,,,,,,,
ちょっと 酷かも しれないですけれども,the hardest part might be,,,,,,,,,,,,,,,,,,,,,,
最後には 必ず別れがやってくる,having to separate at the end.,,,,,,,,,,,,,,,,,,,,,,
それですよね これですよ,-I agree. -Yes.,,,,,,,,,,,,,,,,,,,,,,
なんか すごい素敵な映像で だまされてますけど,"We're deceived by the beautiful scenes,",,,,,,,,,,,,,,,,,,,,,,
めちゃくちゃ 残酷なんじゃ ないですか？ これって,but isn't this pretty cruel?,,,,,,,,,,,,,,,,,,,,,,
最後に別れるっていう 結末が決まってて,"If the end of the relationship is predetermined,",,,,,,,,,,,,,,,,,,,,,,
好きになろうってなります？,will you have feelings?,,,,,,,,,,,,,,,,,,,,,,
どうなんだろうね？,I don't know.,,,,,,,,,,,,,,,,,,,,,,
どうせ 私 別れるなら,"If we had to break up at the end,",,,,,,,,,,,,,,,,,,,,,,
なんか 最初から 好きになるのつらいし,"it would be too sad to have feelings for each other,",,,,,,,,,,,,,,,,,,,,,,
好きにならないでおこうって なっちゃう気がする,so I probably wouldn't.,,,,,,,,,,,,,,,,,,,,,,
なっちゃう？ 私は 傷つくもんね だってね 傷つく,It's too hard. You don't want your heart broken.,,,,,,,,,,,,,,,,,,,,,,
そう,Yes.,,,,,,,,,,,,,,,,,,,,,,
ということでね 今回の主人公 改めてね ご紹介しましょう,Now I want to introduce -the couple chosen for this project. -Yes.,,,,,,,,,,,,,,,,,,,,,,
選ばれた２人,-the couple chosen for this project. -Yes.,,,,,,,,,,,,,,,,,,,,,,
仲宗根真愛さんと 若松拓斗君ですね,-Maai Nakasone… -Maai. -and Takuto Wakamatsu. -Takuto.,,,,,,,,,,,,,,,,,,,,,,
 沖縄と北海道って また両極端ですよね,"From Okinawa and Hokkaido, -opposite sides of the country. -Exactly.",,,,,,,,,,,,,,,,,,,,,,
普通に過ごしてたら 会わなそうな ２人というか…,It's very unlikely they would meet in real life.,,,,,,,,,,,,,,,,,,,,,,
この19歳のときの ５個上で,"For a 19-year-old, a guy who's",,,,,,,,,,,,,,,,,,,,,,
しかも 相手 社会人って,five years older with a job,,,,,,,,,,,,,,,,,,,,,,
結構 年上で 大人っていう感じに 思う気がします,"would seem like a very grown-up, adult person.",,,,,,,,,,,,,,,,,,,,,,
いや でも 絶対に ひげは そって正解だと思います,I think it was a good idea to remove the beard.,,,,,,,,,,,,,,,,,,,,,,
ええ～,What?,,,,,,,,,,,,,,,,,,,,,,
えっ？ 拓斗君でしょ？ 拓斗さん,"-Takuto's beard, right? -Yes.",,,,,,,,,,,,,,,,,,,,,,
ええ～ 私 ひげあり好きです,"No way! -I like beards. -Us guys,",,,,,,,,,,,,,,,,,,,,,,
男性陣は ひげそって正解なんですよ,"-I like beards. -Us guys, we know it was a good idea.",,,,,,,,,,,,,,,,,,,,,,
ひげそらないほうが よかった派でしょ？,You girls wanted him to keep it?,,,,,,,,,,,,,,,,,,,,,,
 ひげあってほしかった派です え～,-I wanted him to keep the beard. -Really?,,,,,,,,,,,,,,,,,,,,,,
ワイルド支持派です ワイルド支持派？ はい,-I like the wild look. -Me too. I like the wild look.,,,,,,,,,,,,,,,,,,,,,,
ひげ 胸毛 全部オーケーです ,Chest hair's cool too.,,,,,,,,,,,,,,,,,,,,,,
胸毛までね はい,-All okay? -Yes.,,,,,,,,,,,,,,,,,,,,,,
でも 真愛ちゃんの反応見ると,We saw Maai's first reactions. Her heart was pounding.,,,,,,,,,,,,,,,,,,,,,,
最初 すごいドキドキしてる感じ あったじゃないですか,We saw Maai's first reactions. Her heart was pounding. She was nervous.,,,,,,,,,,,,,,,,,,,,,,
ドキドキすると やっぱ そういう サプライズ… “つり橋効果”って いうじゃないですか,"You meet someone like that, you're bound to fall.",,,,,,,,,,,,,,,,,,,,,,
好きになっちゃう気がする,It's the Suspension Bridge effect. Girls are susceptible to it.,,,,,,,,,,,,,,,,,,,,,,
女の子 そういうの弱いから,Girls are susceptible to it.,,,,,,,,,,,,,,,,,,,,,,
じゃあ 生まれるね 生まれますよ,Then it's love.,,,,,,,,,,,,,,,,,,,,,,
なに 断定？,It's decided?,,,,,,,,,,,,,,,,,,,,,,
生まれてほしい,-You hope so. -I hope so.,,,,,,,,,,,,,,,,,,,,,,
２人は横浜のカフェで 初めて お互いの事を話した,You talk for the first time at a cafe in Yokohama. JULY 1,,,,,,,,,,,,,,,,,,,,,,
えっ すごい すげえ,-This place is incredible. -Yes.,,,,,,,,,,,,,,,,,,,,,,
ハア… まだ緊張します？,Still nervous?,,,,,,,,,,,,,,,,,,,,,,
めっちゃ… えっ してないんですか？,Totally. You're not?,,,,,,,,,,,,,,,,,,,,,,
いや さ… 最初よりは,Not like at first.,,,,,,,,,,,,,,,,,,,,,,
いや,Really?,,,,,,,,,,,,,,,,,,,,,,
緊張しすぎて…,I'm just too nervous.,,,,,,,,,,,,,,,,,,,,,,
そうですよね はい,I understand though.,,,,,,,,,,,,,,,,,,,,,,
普通だったら緊張するよね,Any normal person would be.,,,,,,,,,,,,,,,,,,,,,,
あれっ お名前 もう一度 いいですか？,What's your name again?,,,,,,,,,,,,,,,,,,,,,,
ま… 真愛です 真愛ちゃん？,-It's Ma-a-i. -Maai?,,,,,,,,,,,,,,,,,,,,,,
拓斗です 拓斗さん,I'm Takuto.,,,,,,,,,,,,,,,,,,,,,,
お願いします,Okay.,,,,,,,,,,,,,,,,,,,,,,
19歳ですもんね？,You're 19?,,,,,,,,,,,,,,,,,,,,,,
若いな,That's young.,,,,,,,,,,,,,,,,,,,,,,
まあ でも 24なんで 僕も まだ若いかな,"Well, I'm 24. I consider myself still pretty young.",,,,,,,,,,,,,,,,,,,,,,
分かんないですけど いや 若いですよ 若いですよね？,-I don't know. -You are young.,,,,,,,,,,,,,,,,,,,,,,
たぶん ハハハハッ…,I think.,,,,,,,,,,,,,,,,,,,,,,
最初 名前 言い合ったじゃないですか,I know we introduced ourselves when we first met.,,,,,,,,,,,,,,,,,,,,,,
全く覚えてなくて  だよね？ 俺も覚えてなかった,-But I don't remember it at all. -Me neither.,,,,,,,,,,,,,,,,,,,,,,
緊張しすぎて 覚えてないみたいな あの瞬間は ちょっと無理だった,-I was too nervous. -That moment was too intense.,,,,,,,,,,,,,,,,,,,,,,
あっ 飲み物 何にする？,Our drinks? What would you like?,,,,,,,,,,,,,,,,,,,,,,
アイスティーで,I'd like an iced tea.,,,,,,,,,,,,,,,,,,,,,,
アイスティー１つと,-One iced tea -Yes.,,,,,,,,,,,,,,,,,,,,,,
アイスコーヒーで,"and iced coffee, please.",,,,,,,,,,,,,,,,,,,,,,
はい かしこまりました,Sure.,,,,,,,,,,,,,,,,,,,,,,
お願いします,Thank you.,,,,,,,,,,,,,,,,,,,,,,
ドキドキ すごいっすね,-This is so exciting. -This is amazing.,,,,,,,,,,,,,,,,,,,,,,
えっ どうする？ 敬語,About honorifics. What should we do?,,,,,,,,,,,,,,,,,,,,,,
でも 徐々にじゃないと無理か,Do you need more time?,,,,,,,,,,,,,,,,,,,,,,
いや いけます いける？,"-No, it's fine. -Okay?",,,,,,,,,,,,,,,,,,,,,,
じゃあ 敬語なくそう,Let's talk without it.,,,,,,,,,,,,,,,,,,,,,,
あっ そういうことか… そういうこと そういうこと？,"Oh, I thought I needed to use honorifics. -I just thought it would be better to… -Okay.",,,,,,,,,,,,,,,,,,,,,,
逆 逆 逆,-I just thought it would be better to… -Okay.,,,,,,,,,,,,,,,,,,,,,,
あっ “タメで”ってことですか？,As if we're the same age?,,,,,,,,,,,,,,,,,,,,,,
いいかなって…,Yes.,,,,,,,,,,,,,,,,,,,,,,
分かる？ うん,I would like that.,,,,,,,,,,,,,,,,,,,,,,
急には 無理かもしんないけどさ,It might be hard at first.,,,,,,,,,,,,,,,,,,,,,,
いや 大丈夫 大丈夫 大丈夫？,-So gradually. -I can do it.,,,,,,,,,,,,,,,,,,,,,,
何されてるんですか？,What do you do?,,,,,,,,,,,,,,,,,,,,,,
一応 お仕事ですよね？ はい,"-You mean, for work? -Yes.",,,,,,,,,,,,,,,,,,,,,,
お仕事は 料理人,I work as a cook.,,,,,,,,,,,,,,,,,,,,,,
へえ～,Wow.,,,,,,,,,,,,,,,,,,,,,,
どこ出身です？ 北海道です,-Where are you from? -Hokkaido.,,,,,,,,,,,,,,,,,,,,,,
えっ ええ！,Wow!,,,,,,,,,,,,,,,,,,,,,,
えっ 北海道？,Hokkaido?,,,,,,,,,,,,,,,,,,,,,,
沖縄？ うん おおっ すっげえ端と端,"-No, Okinawa. -Okinawa?",,,,,,,,,,,,,,,,,,,,,,
北海道？,-Opposite ends of Japan. -Hokkaido?,,,,,,,,,,,,,,,,,,,,,,
あっ 北海道… めっちゃ こんなじゃないですか？,Hokkaido! Our hometowns are so far apart.,,,,,,,,,,,,,,,,,,,,,,
端と端 え～ ヤバい,-One at each end of the country. -That's crazy.,,,,,,,,,,,,,,,,,,,,,,
すごいね,That's wild.,,,,,,,,,,,,,,,,,,,,,,
へえ～,Wow.,,,,,,,,,,,,,,,,,,,,,,
沖縄いいね 沖縄 行きたくて…,I always wanted to go to Okinawa.,,,,,,,,,,,,,,,,,,,,,,
えっ…,You did?,,,,,,,,,,,,,,,,,,,,,,
 なんか “家族旅行 行く”って なったんだよ,"Once, we went on a family trip.",,,,,,,,,,,,,,,,,,,,,,
俺の家族 ５人家族なんだけど,My family has five family members.,,,,,,,,,,,,,,,,,,,,,,
おんなじ おんなじ？,Me too. You too?,,,,,,,,,,,,,,,,,,,,,,
５人家族？ うん,Five family members?,,,,,,,,,,,,,,,,,,,,,,
兄弟３人？ ３人 だよね？,-Three siblings? -Yes.,,,,,,,,,,,,,,,,,,,,,,
…で “家族旅行 行きます”って なって,So we were going to go on a family trip.,,,,,,,,,,,,,,,,,,,,,,
“どこ行く？”ってなって “沖縄”ってなって 結果的に,We decided to go to Okinawa.,,,,,,,,,,,,,,,,,,,,,,
…で “じゃあ 行こうか”って なったんだけど,When we were about to go…,,,,,,,,,,,,,,,,,,,,,,
俺んち 犬がたくさんいて 犬をたくさん飼ってて,-we own a lot of dogs. -Cool.,,,,,,,,,,,,,,,,,,,,,,
だから “犬をどうする？”って なったときに,So who would care for the dogs?,,,,,,,,,,,,,,,,,,,,,,
最終的に“俺が家に残る”,I ended up staying home.,,,,,,,,,,,,,,,,,,,,,,
“そのほかの家族が 全員 沖縄に旅行 行く”って,-What? -The rest of my family went to Okinawa.,,,,,,,,,,,,,,,,,,,,,,
つらっ…,"-Oh, no. -So I'm the only one",,,,,,,,,,,,,,,,,,,,,,
だから 俺だけ 唯一 沖縄に行けてない,"-Oh, no. -So I'm the only one who couldn't go.",,,,,,,,,,,,,,,,,,,,,,
逆に 雪 見たことないです,I'm the opposite. I've never seen snow.,,,,,,,,,,,,,,,,,,,,,,
あっ そうなの？ うん マジで見たことない,"-Oh, really? -I'm serious.",,,,,,,,,,,,,,,,,,,,,,
沖縄 降らないよね 絶対に 降らないから…,"Okinawa, -it never snows there? -No.",,,,,,,,,,,,,,,,,,,,,,
機械が出した雪みたいなのは 見たことがあるけど,You know machines that make snow? -Yes. -That's the only snow I've ever seen.,,,,,,,,,,,,,,,,,,,,,,
本当の雪は見たことない,I've never seen real snow.,,,,,,,,,,,,,,,,,,,,,,
へえ～ じゃあ 北海道 雪しかないから,"In Hokkaido, all there is is snow.",,,,,,,,,,,,,,,,,,,,,,
冬なんて もうすごいよ,"In winter, it snows everywhere.",,,,,,,,,,,,,,,,,,,,,,
ヤバそう,I thought so.,,,,,,,,,,,,,,,,,,,,,,
めちゃくちゃ寒い,It's crazy cold.,,,,,,,,,,,,,,,,,,,,,,
北海道から 昨日 来たんですか？,Did you come from Hokkaido yesterday?,,,,,,,,,,,,,,,,,,,,,,
ううん,"No, I didn't come from Hokkaido",,,,,,,,,,,,,,,,,,,,,,
北海道から上京してきて,"No, I didn't come from Hokkaido because I live in Tokyo now.",,,,,,,,,,,,,,,,,,,,,,
あっ なるほど そう １年半前かな へえ～,"-Oh, I see. -Since about a year and a half ago.",,,,,,,,,,,,,,,,,,,,,,
