Sentence,Translation,Verb,Reading,Meaning
寮に戻ってきて,Back at the dorms,戻ってきて,もどってきて,come back here
練習にも行かないで,Don't even go to practice,行かないで,いかないで,without going
何も残っていないことに気がつきました,I realized there was nothing left,気がつく,きがつく,"to notice, realize, become aware of"
自分が出来ないかもしれないな,I might not be able to do it myself,出来ない,できない,not be able to
製造の現場の方に入りました,I went into the production floor,入る,はいる,"enter, come in, get in, join, be brought in"
体温を外の気温を同じくらいまで下げる,Lower body temperature to same level as the outside,下げる,さげる,"to hang, suspend, wear, lower, reduce"
冬眠から目覚めると,When you wake up from hibernation,目覚めると,めざめると,when wake up
心臓の心拍をきちんと保っています,Keeps the heart beating properly,保っています,たもっています,"keep, preserve, hold, maintain, sustain"
この仕組みが解明されれば,Once this mechanism is understood,解明されれば,かいめいされれば,"once figured out, once understood"
病気の予防への応用が期待されています,Potential applications in disease prevention,期待されています,きたいされています,expected to
冬眠に適応できるようにはなっていないのです,They are not adapted for hibernation,適応できる,てきおうできる,"adaptable, able to adapt, able to conform"
魚が真っ黒に焦げてしまった,The fish was burnt black,焦げる,こげる,"to burn, be burned"
彼の腕を捻った,I twisted his arm,捻る,ひねる,"to twist, turn, bend, work out"
到着が遅れても構わない,I don't care if I arrive late,構う,かまう,"to mind, care about, look after"
食事をしながらゆっくり喋た,We talked slowly over dinner,喋る,しゃべる,"to talk, chat"
彼は１時間で追いつくだろう,He'll catch up in an hour,追いつく,おいつく,"catch up, draw level, pull even"
想定外を追いかけるのが楽しい,Enjoy chasing the unexpected,追いかける,おいかける,"to chase, run after, pursue"
車は一気にスピードを上げてトラックを追い越した,The car sped up at once and passed the truck,追い越す,おいこす,"to pass, overtake, surpass, outstrip"
多くのランナーズを追い抜く,Overtaking many runners,追い抜く,おいぬく,"to pass, overtake, surpass, outstrip"
台所からその猫を追い出してくれ,Chase the cat out of the kitchen,追い出す,おいだす,"to expel, drive out"
牛を囲いに追い込んだ,They drove the cattle into an enclosure,追い込む,おいこむ,"to herd, drive, corner, chase, corral"
生産性の向上を積極的に追求する,Aggressively pursue productivity gains,追求する,ついきゅうする,"pursuit, seek, search"
世界中でそうした追試をしています,Conducting such follow-up tests all over the world,追試する,ついしする,"replicate, reproduce, verify, make up"
