Pattern,Meaning,Structure,Remarks,Remarks.1,Remarks.2,Sentence,Translation,Sentence.1,Translation.1
ato ni,after,Vta・N+no + ato ni,indicate the specific point in time that follows another point in time,usually followed by a noun or a verb in the past tense,emphasizes the timing of the second action,飛行機が出発した<b>あとに</b>荷物を忘れたことに気づいた。,I realized that I forgot my luggage after the plane departed.,卒業式の<b>あとに</b>友達と写真を撮りました。,I took a picture with my friends after the graduation ceremony.
ato de,after,Vta・N+no + ato de,indicate the action that is done after another action is completed,usually followed by a noun or a verb in the past tense,used when succeeding event happens later,宿題をした<b>あとで</b>テレビを見ました。,"After I did my homework, I watched TV.",話し合いの<b>あとで</b>決めましょう。 ,Let’s decide after the discussion.
amari~nai,not much・not really・nothing,amari + V・I-Adj・Na-Adj + nai,indicate that nothing left or remain,,,この道は<b>あまり</b>車が通ら<b>ない</b>。,There are not many cars on this road.,彼らの性格は<b>あまり</b>合わ<b>ない</b>。,Their personalities don't really match.
owaru,finished・completed,Vnoun-stem + owaru,indicate a completion of something,,,私がその本を読み<b>終わる</b>には長いことかかるでしょう。,It will be a long time before I finish that book.,プリンタの電源を入れて起動し<b>終わる</b>まで待ちます。,Turn on the printer and wait until it finishes booting.
ichiban,is the best,N + ga + ichiban,indicate something at the highest state or quality,,,このケーキが<b>一番</b>美味しいです。,This cake is the most delicious.,たいてい安価な製品が<b>一番</b>有害です。,Inexpensive products are usually the most harmful.
ga suru,will do,N + ga + suru,indicate an action to be done or made,"describe what you feel, such as tastes, sounds or smells.",,なんか変な匂い<b>がする</b>よ。,Something smells strange.,このパンはコーヒーの味<b>がします</b>。,This bread tastes like coffee.
ka dou ka,whether or not,Vplain-form・I-Adj・Na-Adj・N + ka dou ka,express uncertainty or doubt,,,今夜の飲み会に行ける<b>かどうか</b>まだわかりません。,I still don't know if I can make it to the drinking party tonight.,今、転職する<b>かどうか</b>すごく悩んでいます。,Now I'm really wondering if I should change jobs.
kamoshirenai,may,Plain-form + kamoshirenai,express a possibility or a conjecture,,,しかしこの見積もりは多すぎる<b>かもしれない</b>。,But this estimate may be too much.,別々に扱うべき<b>かもしれない</b>。,Perhaps they should be treated separately.
ka,whether,Plain-form + ka,interrogative indicator,interrogative question embedded in a sentence,,東京までいくらかかる<b>か</b>知ってる？,Do you know how much it costs to get to Tokyo?,結婚記念日がいつ<b>か</b>覚えてる？,Do you remember when your wedding anniversary is?
suru,to do,I-Adj+ku・Na-Adj+ni・N+ni + suru,action to do something,intentionally change one state of affairs to another,,ちょっと長いので短<b>くしてください</b>。,It is a bit long so please shorten it.,スマートフォンは私たちの生活を便利<b>にしました</b>。,Smartphones have made our lives more convenient.
kata,way,Vnoun-stem + kata,how to do something,recipe or way of doing a thing,,料理教室で日本料理の作り<b>方</b>を習っています。,I am learning how to cook Japanese food in a cooking class.,このゲームの遊び<b>方</b>を知っていますか。,Do you know how to play this game?
ga hoshii,would like to have,N + ga + hoshii,indicate a thing that is wanted or desired,,,大きな家<b>が欲しい</b>です。,I want a big house.,ある程度の情報開示<b>が欲しい</b>ところです。,I would like to see some disclosure.
kara,"because, since",Sentence + kara,indicate a cause or reason ,,,この音楽、本当にいい<b>から</b>聞いてみてよ。,"This music is really good, you should hear it.",ちょっと疲れた<b>から</b>休みましょう。,I'm a little tired so let's take a break.
kara~made,from~to,N + kara + N + made,indicate a range or a period,,,図書館は朝９時<b>から</b>夕方５時<b>まで/b>です。,The library is open from 9:00 a.m. to 5:00 p.m.,月曜日<b>から</b>金曜日<b>まで</b>勉強します。,We study from Monday to Friday.
koto ga aru,there are times when,Vru・Vnai + koto ga aru,talk about something that happens occasionally,,,日本に行く<b>ことがある</b>。,I sometimes go to Japan.,変な音が聞こえる<b>ことがある</b>。,Sometimes I hear strange noises.
koto ga dekiru,to be able to do,Vru + koto ga dekiru,indicate the ability to do something,,,私は日本語と英語と中国語を話す<b>ことができます</b>。,"I can speak Japanese, English and Chinese.",皆さんはいくつ漢字を書く<b>ことができます</b>か。,How many kanji can you write?
koto ni suru,to decide on,Vru・Vnai + koto ni suru,set or decided to do or not to do something of your own volition,,,今日は体調がよくないので早く寝る<b>ことにします</b>。,"I'm not feeling well today, so I'm going to bed early.",自分の体が心配なのでもうタバコを吸わない<b>ことにしました</b>。,I decided not to smoke anymore because I am worried about my body.
koto ni naru,came to a point,Vru・Vnai + koto ni naru,resulted into or became something,"schedule, plan, etc. that is determined regardless of one's will",,来週のイベントは中止する<b>ことになりました</b>。,We have decided to cancel next week's event.,次の会議では私が発表する<b>ことになりました</b>。,I will be presenting at the next meeting.
sasetekudasai,please let me do・please allow me to do,Vsasete + kudasai,requesting permission from the other party,used when you are sure that the other party will be ok,,お話を聞<b>かせてください</b>。,Please let me listen to your story.,この本を借り<b>させてください</b>。,Please allow me to borrow this book.
し、〜し,due to and on and on,,,,,,,,
しか〜ない,only・nothing but,,,,,,,,
すぎる,too much,,,,,,,,
そうです（伝聞）,heard that (hearsay),,,,,,,,
そうです（様態）,looks like (state),,,,,,,,
たい,want to,,,,,,,,
たことがある,have done it before,,,,,,,,
だす,suddenly starts to,,,,,,,,
ために,for the sake of,,,,,,,,
たらどうですか,how about if,,,,,,,,
たり〜たり,to do and do,,,,,,,,
続ける,continue,,,,,,,,
って,"to name, called, this means",,,,,,,,
つもりだ,intend to,,,,,,,,
てある,have been,,,,,,,,
ていただけませんか,could you please help me?,,,,,,,,
ている,continuing state,,,,,,,,
ている,progressive action,,,,,,,,
ておく,set up for future use,,,,,,,,
てから,after,,,,,,,,
てください,please do,,,,,,,,
てくる,do and come back,,,,,,,,
てしまう,"done completely, happens to occur",,,,,,,,
でしょう（推量）,to guess (infer),,,,,,,,
でしょう（同意・確認）,to ask for (agreement/confirmation),,,,,,,,
てはいけません,not to do,,,,,,,,
てみる,will try to do,,,,,,,,
ても,even,,,,,,,,
てもいいですか,may i do it?,,,,,,,,
という,to say・name・called・this means,,,,,,,,
と思う,i think,,,,,,,,
ないで,don’t do・without doing,,,,,,,,
ないでください,please don’t do,,,,,,,,
なかなか〜ない,fairly not,,,,,,,,
ながら,while,,,,,,,,
なくてもいい,don't have to do,,,,,,,,
なければならない,have to do・must do,,,,,,,,
なさい,have to do・please do,,,,,,,,
なる,become,,,,,,,,
に行きます,will go to do,,,,,,,,
に来ます,come to do,,,,,,,,
に帰ります,return to do,,,,,,,,
にくい,difficult to do・hard to do,Vnoun-stem + nikui,something that is challenging or not easy to do or achieve,hard to do but may do with great effort,,この本は読み<b>にくい</b>。,This book is difficult to read.,この言葉は発音し<b>にくい</b>。,This word is hard to pronounce.
にする,will be doing,,,,,,,,
ね,isn’t it,,,,,,,,
のが好きです,like to,,,,,,,,
のが嫌いです,hate to,,,,,,,,
ので,because,,,,,,,,
のに,to・inorder to,,,,,,,,
始める,start to,,,,,,,,
ほうがいい,prefer to・it is better to,,,,,,,,
まえに,before,,,,,,,,
ましょう,shall we?,,,,,,,,
ましょうか,let’s,,,,,,,,
ませんか,shall we?,,,,,,,,
まだ〜ていない,not yet,,,,,,,,
までに,"until, by",,,,,,,,
まま,leave as it is,,,,,,,,
も,too・also,,,,,,,,
やすい,easy to,,,,,,,,
よ,seems,,,,,,,,
ようだ,"looks like, it seems",,,,,,,,
ようと思います,i think i will,,,,,,,,
ようと思っています,thinking to do,,,,,,,,
ように,looks like,,,,,,,,
ようにする,make a point to do,,,,,,,,
ようになる,became like this,,,,,,,,
rashii,like・typical of・perfect example,N + rashii,typical characteristics or essence of a thing,,,北海道<b>らしい</b>景色を目にすることができるでしょう。,You will be able to see the scenery that is typical of Hokkaido.,誰かに東京<b>らしい</b>風景って何ですか。,What is a typical Tokyo scenery to someone?
rashii,seems that・guess,Plain-form + rashii,judgment based on what was seen or heard at that moment,,,車で移動すると約６時間かかる<b>らしい</b>。,It seems it takes about 6 hours to drive by car.,この花は珍しい<b>らしい</b>。,This flower is said to be rare.
rashiku,seems like・in a way that,Plain-form + rashii,indicates how something is done or how something appears,used to modify another verb or adjective,,この部屋はきれい<b>らしく</b>片付けられています。,This room is tidied up neatly.,彼女は怒っている<b>らしく</b>話しかけないでください。 ,"She seems to be angry, so please don’t talk to her."
o kudasai,please,N + o + kudasai,requesting or ordering something,,,クリームと砂糖を入れたコーヒー<b>をください</b>。,Please give me coffee with cream and sugar.,ご連絡<b>をください</b>。 ,Please contact me.
o shiteimasu,to be something・to have something,N + o + shiteimasu,describe some characteristics of people or things,show some qualities or properties of people or things,,この花は香り<b>をしています</b>。,This flower has a fragrance.,この材料は高い品質<b>をしています</b>。,This material has a high quality.
au,do mutually,Vnoun-stem + au,doing things together or to to each other,action is bidirectional or reciprocal between two parties,two actions happen at the same time or in coordination,撮った写真をお互いに見せ<b>合った</b>。,We showed each other the pictures we had taken.,彼らは一緒に勉強<b>合った</b>。,They studied together.
au,do in response・do in competition・do in comparison,Vnoun-stem + au,action is done in response to something else,action is done in competition or comparison with someone else,,彼女は彼の挨拶に笑い<b>合った</b>。,She smiled in response to his greeting.,彼女は彼と比較<b>合った</b>。,She compared herself with him.
ageku,finally・after much・after all・in the end,Vta・N+no + ageku,tried many things but end up with adverse result,,,駅で１時間も待った<b>あげく</b>彼は結局来なかった。,"After waiting for an hour at the station, he never showed up.",彼らは話し合いの<b>あげく</b>別れることにした。,They decided to break up after talking it over.
amari,so much that,Plain-form・Na-Adj+na・N+no + amari,something that is done excessively or has an extreme result,,,遅刻しないように急いだ<b>あまり</b>忘れ物をしてしまった。,"In my haste to not be late, I forgot something.",彼は勉強する<b>あまり</b>食事も忘れた。,He studied so much that he forgot to eat.
amari no~ni,so much something that,amari + no + N + ni,degree is so great that an unusual result has occurred,,,彼女の<b>あまりの</b>美しさ<b>に</b>つい見惚れてしまった。,I couldn't help but admire her so much beauty.,<b>あまりの</b>面白さ<b>に</b>しばらくの間笑いが止まらなかったほどだ。,It was so funny that I couldn't stop laughing for a while.
amari no~de,so much something that,amari + no + N + de,degree is so great that an unusual result has occurred,,,<b>あまりの</b>忙しさ<b>で</b>体調を崩してしまった。,I got sick from being so busy.,<b>あまりの</b>恐怖<b>で</b>、声が一言も出なかった。,I was so terrified that I could not utter a single word.
amari~nai,not so much,amari + ..nai,indicates that the degree or frequency is not high,,,この本は<b>あまり</b>面白く<b>ない</b>。,This book is not so interesting.,<b>あまり</b>難しい問題では<b>ない</b>と思います。,It was so funny that I couldn't stop laughing for a while.
ikura~temo,no matter how much ,ikura + Vte・I-adj+kute・Na-Adj+de・N+de + mo,regardless of degree,unaffected by degree or quantity,,<b>いくら</b>頑張っ<b>ても</b>合格できなければ意味がない。,"No matter how hard you work, it is meaningless if you cannot pass the exam.",<b>いくら</b>謝られ<b>ても</b>絶対に許しません。,"No matter how much he apologizes, I will never forgive him."
donnani~temo,no matter how much,donnani + Vte・I-Adj+kute・Na-Adj+de・N+de + mo,regardless of degree,unaffected by degree or quantity,,<b>どんなに</b>忙しく</b>ても</b>宿題はしなければならない。,"No matter how busy you are, you must do your homework.",彼女は<b>どんなに</b>体の具合が悪く<b>ても</b>いつも働く。,She always works no matter how sick she is.
ijou wa,so long as・more than the・above being,Plain-form + ijou + (wa),"judgment, decisions or recommendation is natural ","volition, appeal or prohibitions may also follow ",,この学校に入学した<b>以上は</b>校則は守らなければならない。,"As long as you are enrolled in this school, you must abide by the school rules.",日本で仕事をする<b>以上</b>ビジネスレベルの日本語力が必要だ。,"As long as you work in Japan, you need to have business-level Japanese language skills."
ippou da,continues to・be more and more,Vru + ippou da,change in condition will continue,to proceed in one direction,or becoming more and more,水不足で野菜の値段は上がる<b>一方だ</b>。,Water shortages are driving up vegetable prices.,毎日残業続きでストレスは増える<b>一方だ</b>。,Stress is only increasing as I work overtime every day.
irai,since・ever since,Vte・N + irai,certain state continues after action is completed,cannot be used for the near past and for the future,not used when later action occurs only once.,妊娠<b>以来</b>私はお酒を飲んでいない。,I have not had a drink since my pregnancy.,入院を経験して<b>以来</b>健康には気をつけるようにしています。,"Since experiencing hospitalization, I have tried to take care of my health."
ue de,after having・upon,Vta・N+no + ue de,express a preparatory action,for a relatively important action,verbs of volition and non-passive precede and follow ue de,しっかりと面接した<b>上で</b>誰を採用するか決めます。,"After a thorough interview, we will decide who to hire.",十分に検討した<b>上で</b>どうするか返答いたします。,We will reply back to you on how to proceed after due consideration.
ue ni,on top of that,Plain-form・Na-Adj+na・N+no + ue ni,occurrences with same directionality,as in a previous situation,,この料理は美味しい<b>上に</b>とってもヘルシーだ。,This dish is delicious and very healthy.,昨日はご馳走になった<b>上に</b>お土産まで頂いたちゃった。,"Yesterday, I was treated to a meal and even got a souvenir."
uchi ni,while・during・before,Vru・Vteiru・Vnai・I-Adj・Na-Adj+na・N+no + uchi ni,during the time of situation with unknown end,before the situation changes,,雨が降り出さない<b>うちに</b>帰りましょう。,Let's go home before it starts to rain.,桜が綺麗な<b>うちに</b>花見をしてしまいましょう。,Let's have a hanami while the cherry blossoms are still beautiful.
eru・uru,can・possible・able,Vnoun-stem + eru・uru,auxiliary verb that express possibility,,,より複雑な状況も起こり<b>得る</b>。,More complex situations can also occur.,再生可能エネルギーは貧困削減に寄与し<b>得る</b>。,Renewable energy can contribute to poverty reduction.
enai,can't・not possible・not able,Vnoun-stem + enai,auxiliary verb that express possibility of none,,,状況が変わり<b>得ない</b>というのは真実ではありません。,It is not true that the situation cannot change.,君は全てを知り<b>得ない</b>。,You can't know everything.
o~da,honorific form,O + Vnoun-stem + da・desu,describe the action of other person in honorific form,,,どのようなお部屋を<b>お</b>探し<b>でしょうか</b>。,What kind of room are you looking for?,ご予算はいくらぐらいを<b>お</b>考え<b>でしょうか</b>。,What is your budget?
okage de,thanks to,Plain-form・N+no + okage de,express appreciation for something,show good results,used to express irony,海外保険に入っていた<b>おかげで</b>入院費を払わずに済んだ。,"Thanks to my overseas insurance, I did not have to pay for hospitalization.",この薬の<b>おかげで</b>だいぶ楽になりました。,This medicine has helped me a lot.
oki ni,at the intervals of,N + okini,express interval quantity is denoted,by the noun preceded by the pattern,,洗濯は１週間<b>おきに</b>しています,I do laundry every other week.,バスは１５分<b>おきに</b>来ます。,Buses come every 15 minutes.
osore ga aru,there is a fear of・there is a risk of,Vplain・N+no + osore ga aru,there is concern about the possibility of being,something bad is likely to happen,expression often used in news and reports,今夜から明日にかけて全国で大雨の<b>おそれがあります</b>。,There is a threat of heavy rainfall across the country tonight and tomorrow.,この鳥は絶滅の<b>おそれがある</b>と言われています。,This bird is considered endangered.
ori ni,on the occasion of,Vru・Vta・N+no + ori ni,express an occasion,,,実家へ帰った<b>折に</b>地元の友人に会った。,"When I returned home, I met a local friend.",次にお目にかかった<b>折に</b>は詳しく聞かせてください。,Please tell us more about it next time we see you.
kai atte,with the effect of・because of the effect of・thanks to,Vru・Vta・N+no + kai ga atte,used to show that an action has been rewarded,show the anticipated effect of the action has been achieved,,彼女は毎日美容院に行った<b>かいあって</b>髪がきれいだ。,Her hair is beautiful because of going to the beauty salon every day.,早めに試験の準備を始めた<b>かいあって</b>試験前日に慌てることもなかった。,"I started preparing for the exam early, so I was not in a panic the day before the exam."
kai mo naku,without the effect of・because of the no effect of・despite,Vru・Vta・N+no + kai mo naku,show that an action has been wasted ,show that the anticipated effect of the action has not been achieved,,彼女はダイエットをした<b>かいもなく</b>太ってしまった。,She has gained weight without having to go on a diet.,彼は一生懸命勉強した<b>かいもなく</b>試験に落ちてしまった。,He failed the exam despite studying hard.
kagiri,as long as・all the time while・as far as,Vru・I-Adj・Na-Adj+na・N+no + kagiri,express a condition or a limit,,,東京に住んでいる<b>限り</b>家賃を抑えるのは難しいだろう。,"As long as you live in Tokyo, it will be difficult to keep rent down.",僕は体が動く<b>限り</b>いつまでも働きたいと思っている。,I'm willing to work as long as my body can take it.
kakeru,not yet finished・in the middle of,Vnoun-stem + kakeru,show that an action or a state is incomplete or ongoing,show an action or circumstance almost or about to unfold,,着替え<b>かけている</b>ときに電話が鳴った。,The phone rang when I was in the middle of changing clothes.,雨で床が濡れていたので滑って転び<b>かけた</b>。,The floor was wet from the rain and I almost slipped and fell.
gatai,very difficult to・hard to,Vnoun-stem + gatai,something that is almost impossible to do or believe,,,ことの真相は突き止め<b>がたい</b>。,It is difficult to ascertain what really happened.,部長の考えはいつも理解し<b>がたい</b>。,I always find it hard to understand the department head's thinking.
gachi,tend to・apt to,Vnoun-stem・N + gachi,something that happens frequently or habitually,often with a negative nuance,,最近、風邪をひき<b>がち</b>だ。,I tend to catch a cold lately.,一人暮らしは寂し<b>がち</b>だ。,Living alone is apt to be lonely.
〜かと思うと / 〜かと思ったら,,,,,,,,,
〜か〜ないかのうちに,,,,,,,,,
〜かな / 〜かなあ,,,,,,,,,
〜かねない,,,,,,,,,
〜かねる,,,,,,,,,
〜かのようだ,,,,,,,,,
〜から言うと / 〜から言って / 〜から言えば,,,,,,,,,
〜からして,,,,,,,,,
〜からすると / 〜からすれば,,,,,,,,,
〜からでないと / 〜からでなければ,,,,,,,,,
〜からといって,,,,,,,,,
〜から〜にかけて,,,,,,,,,
〜からには,,,,,,,,,
〜代わりに,,,,,,,,,
〜気味,,,,,,,,,
〜きり,,,,,,,,,
〜きる,,,,,,,,,
〜くせに,,,,,,,,,
〜くらい / 〜ぐらい,,,,,,,,,
〜くらいなら,,,,,,,,,
〜げ,,,,,,,,,
〜結果,,,,,,,,,
koso,,,,,,,,,
koto,should be done,Vru・Vta・N+no + koto,state a general fact that should be done,"an expression used to convey instructions, rules, etc.",,試験開始前に注意事項をしっかり読む<b>こと</b>。,Read the instructions carefully before starting the test.,試験の時は鉛筆と消しゴムを忘れない<b>こと</b>。,Don't forget a pencil and eraser for the exam.
koto ka,how!・what!・would it be,Plain-form + koto ka,convey a sense of deep emotion or wonder,"often used with nanto, nante, dorehodo, donnani",,本当にどんなに心配した<b>ことか</b>。,I really can't tell you how worried I was.,どんなに美しい<b>ことか</b>この花は。,"How beautiful it is, this flower."
koto darou,how!・what!・would it be,Plain-form + koto darou,convey a sense of deep emotion or wonder,express uncertainty or probability,"often used with nanto, nante, dorehodo, donnani",宝くじで1億円当たったらどんなに幸せな<b>ことだろう</b>。,How happy I would be if I won 100 million yen in the lottery.,明日は雨が降る<b>ことだろう</b>か。,I wonder if it will rain tomorrow.
koto kara,from the fact that・due to・because of,Plain-form + koto kara,show the reason or cause of something based on a fact,,,この店は味が良くて安い<b>ことから</b>いつも混んでいる。,This restaurant is always crowded because of its great taste and low prices.,彼は音楽が好きな<b>ことから</b>ピアノを習っている。,He is learning to play the piano because of his love of music.
〜ことだ（助言・忠告）,,,,,,,,,
〜ことだし,,,,,,,,,
〜こととなると / 〜ことになると,,,,,,,,,
〜ことなく,,,,,,,,,
〜ごとに,,,,,,,,,
〜ことになっている,,,,,,,,,
〜ことに（は）,,,,,,,,,
〜ことには,,,,,,,,,
〜ことはない,,,,,,,,,
〜込む,,,,,,,,,
〜最中に,,,,,,,,,
〜際に,,,,,,,,,
〜さえ,,,,,,,,,
〜さえ〜ば,,,,,,,,,
〜させていただく,,,,,,,,,
〜させていただけないでしょうか,,,,,,,,,
〜ざるを得ない,,,,,,,,,
〜しかない,,,,,,,,,
〜次第,,,,,,,,,
〜次第だ,,,,,,,,,
〜じゃない,,,,,,,,,
〜上は / 〜上では,,,,,,,,,
〜末に,,,,,,,,,
〜ずじまい,,,,,,,,,
〜ずに,,,,,,,,,
〜ずにはいられない,,,,,,,,,
〜せいで,,,,,,,,,
〜そうにない,,,,,,,,,
〜そうになる,,,,,,,,,
〜たがる,,,,,,,,,
〜だけ,,,,,,,,,
〜だけあって / 〜だけのことはあって,,,,,,,,,
〜だけでなく,,,,,,,,,
〜だけに,,,,,,,,,
〜たて,,,,,,,,,
たとえ〜ても,,,,,,,,,
〜たところ,,,,,,,,,
〜たとたん,,,,,,,,,
〜たびに,,,,,,,,,
〜ために,,,,,,,,,
〜たものだ,,,,,,,,,
〜たものではない,,,,,,,,,
〜たらいいのになあ,,,,,,,,,
〜だらけ,,,,,,,,,
〜だろう,,,,,,,,,
〜ついでに,,,,,,,,,
〜っけ,,,,,,,,,
〜っこない,,,,,,,,,
〜つつ,,,,,,,,,
〜つつある,,,,,,,,,
〜っぱなし,,,,,,,,,
〜っぽい,,,,,,,,,
〜つもりだ,,,,,,,,,
〜づらい,,,,,,,,,
〜ている場合じゃない,,,,,,,,,
〜てこのかた,,,,,,,,,
〜てしかたがない / 〜てしょうがない,,,,,,,,,
〜でしょうか,,,,,,,,,
〜て済む,,,,,,,,,
〜てたまらない,,,,,,,,,
〜てでも,,,,,,,,,
〜てならない,,,,,,,,,
〜てはいられない,,,,,,,,,
〜てはならない,,,,,,,,,
〜て初めて,,,,,,,,,
〜てほしい,,,,,,,,,
〜てまで / 〜までして,,,,,,,,,
〜てみせる,,,,,,,,,
〜でも,,,,,,,,,
〜ても構わない,,,,,,,,,
〜てもしかたがない / 〜てもしょうがない,,,,,,,,,
〜ても始まらない,,,,,,,,,
〜ということだ,,,,,,,,,
〜というものではない,,,,,,,,,
〜というよりも,,,,,,,,,
〜といえば,,,,,,,,,
〜といった,,,,,,,,,
〜といったら,,,,,,,,,
〜といっても,,,,,,,,,
〜通す,,,,,,,,,
〜とおりに,,,,,,,,,
〜とかで,,,,,,,,,
〜とか〜とか,,,,,,,,,
〜どころか,,,,,,,,,
〜ところがある,,,,,,,,,
〜ところだった,,,,,,,,,
〜どころではない,,,,,,,,,
〜としたら,,,,,,,,,
〜として,,,,,,,,,
〜として〜ない,,,,,,,,,
〜途中,,,,,,,,,
とても〜ない,,,,,,,,,
〜とともに,,,,,,,,,
〜となると / 〜となれば / 〜となったら,,,,,,,,,
〜とのことだ,,,,,,,,,
〜とは,,,,,,,,,
〜とは限らない,,,,,,,,,
〜とみえる,,,,,,,,,
〜なあ,,,,,,,,,
〜ないことには〜ない,,,,,,,,,
〜ないことはない / 〜ないこともない,,,,,,,,,
〜ないで済む / なくて済む / ずに済む,,,,,,,,,
〜ないでもない / 〜ないものでもない,,,,,,,,,
〜ないとも限らない,,,,,,,,,
〜直す,,,,,,,,,
〜ながら （逆接）,,,,,,,,,
何（助数詞）か,,,,,,,,,
何（助数詞）も,,,,,,,,,
〜なんか,,,,,,,,,
〜なんて,,,,,,,,,
〜にあたって,,,,,,,,,
〜において,,,,,,,,,
〜に応じて,,,,,,,,,
〜に関わらず,,,,,,,,,
〜に限って,,,,,,,,,
〜に限らず,,,,,,,,,
〜に限り,,,,,,,,,
〜に限る,,,,,,,,,
〜にかけては,,,,,,,,,
〜に関して / 〜に関する,,,,,,,,,
〜に決まっている,,,,,,,,,
〜に比べて,,,,,,,,,
〜に加えて,,,,,,,,,
〜に越したことはない,,,,,,,,,
〜に応えて,,,,,,,,,
〜に際して,,,,,,,,,
〜に先立って,,,,,,,,,
〜にしたがって,,,,,,,,,
〜にしては,,,,,,,,,
〜にしてみれば / 〜にしたら / 〜にすれば,,,,,,,,,
〜に沿って,,,,,,,,,
〜にすぎない,,,,,,,,,
〜に相違ない,,,,,,,,,
〜に対して,,,,,,,,,
〜に違いない,,,,,,,,,
〜について,,,,,,,,,
〜につき（比率）,,,,,,,,,
〜につき（理由）,,,,,,,,,
〜につけて,,,,,,,,,
〜につれて,,,,,,,,,
〜にて,,,,,,,,,
〜にとって,,,,,,,,,
〜にともなって,,,,,,,,,
〜には,,,,,,,,,
〜に反して,,,,,,,,,
〜にほかならない,,,,,,,,,
〜にも関わらず,,,,,,,,,
〜に基づいて,,,,,,,,,
〜によって（原因・理由）,,,,,,,,,
〜によって（手段・方法）,,,,,,,,,
〜によって（条件・基準）,,,,,,,,,
〜によると,,,,,,,,,
〜にわたって,,,,,,,,,
〜ぬ,,,,,,,,,
〜抜きで / 〜抜きにして,,,,,,,,,
〜抜く,,,,,,,,,
〜のことだから,,,,,,,,,
〜のでしょうか /  〜んでしょうか,,,,,,,,,
〜のみならず,,,,,,,,,
（数量）は,,,,,,,,,
〜場合,,,,,,,,,
〜ばかりか,,,,,,,,,
〜ばかりだ,,,,,,,,,
〜ばかりに,,,,,,,,,
〜ばかりでなく・・・も,,,,,,,,,
〜はさておき,,,,,,,,,
〜はずがない,,,,,,,,,
〜はずだ,,,,,,,,,
〜は〜で有名だ,,,,,,,,,
〜はともかくとして,,,,,,,,,
〜ば〜のに,,,,,,,,,
〜は別として,,,,,,,,,
〜ば〜ほど,,,,,,,,,
〜はまだしも,,,,,,,,,
〜はもちろん,,,,,,,,,
〜はもとより,,,,,,,,,
〜反面,,,,,,,,,
〜ぶり,,,,,,,,,
〜ふりをする,,,,,,,,,
〜ぶる,,,,,,,,,
〜べきだ,,,,,,,,,
〜べきだった / 〜べきじゃなかった,,,,,,,,,
〜ほど（程度）,,,,,,,,,
〜ほど〜ない,,,,,,,,,
