Kanji,Meaning,S1,S2,S3,S4,S5,S6,S7,S8
七,seven,,,,,,,,
級,"class, grade",初級,階級,同級生,特級,学級,上級,同級,低級
特,special,特別,特急,独特,特徴,特定,特色,特殊,特売
殊,"particular, special",殊勲,特殊効果,殊勝,特殊,殊に,特殊撮影,特殊部隊,特殊兵器
耐,endure,耐える,忍耐,耐久性,忍耐力,耐性,耐久,耐火,耐水
堪,"endure, withstand",堪らない,堪る,堪能,堪え兼ねる,,,,
件,"affair, case",条件,事件,用件,件数,案件,本件,一件,利用条件
制,"system, law, rule",制服,制度,規制,統制,強制,体制,制限,制裁
製,made in,製品,製造,製作,製鉄,製法,乳製品,精製,手製
休,rest,,,,,,,,
本,"book, present, main",,,,,,,,
体,"body, substance",,,,,,,,
憩,"relax, rest",休憩,休憩時間,休憩所,憩い,憩う,休憩室,小休憩,一服休憩
息,breath,息子,窒息,休息,ため息,利息,利息,意気込む,一息
養,"foster, nurture",栄養,療養,休養,扶養,養成,養う,培養,養育
命,"life, fate, destiny",生命,命令,一生懸命,運命,革命,命じる,寿命,任命
技,"skill, art, technique",競技,技術,技師,演技,技能,球技,技巧,技量
攻,"aggression, attack",攻撃,専攻,攻める,攻勢,攻略,侵攻,速攻,進攻
象,elephant,,,,,,,,
像,"image, picture",,,,,,,,
蔵,"store, hide",,,,,,,,
臓,internal organs,心臓,内臓,肝臓,腎臓,臓器,心臓病,心臓移植,臓器提供
約,promise,契約,節約,婚約,約束,予約,条約,制約,規約
的,"mark, target",目的,積極的,消極的,的確,先天的,一般的,個人的,基本的
釣,fishing,釣り,釣る,釣り合う,釣り糸,釣り針,釣り針,釣具,釣り場
酌,serving,斟酌,酌量,酌む,媒酌,晩酌,参酌,,
軟,"soft, tender",軟骨,軟派,軟禁,軟化,軟式,軟調,軟着陸,軟弱
柔,"soft, tender",柔道,柔らかい,柔軟,柔和,優柔不断,柔軟性,外柔内剛,柔軟剤
等,"equal, quality, etc.",平等,等しい,上等,高等,等分,対等,劣等感,一等
情,"feelings, emotion",情報,感情,友情,表情,同情,愛情,苦情,純情
清,pure,清算,清潔,清掃,清書,清い,清々しい,清新,清浄
素,"naked, elementary",酸素,水素,炭素,元素,要素,素直,素質,素人
憎,"hate, detest",憎む,生憎,憎しみ,憎らしい,憎い,憎悪,愛憎,憎からず
増,"increase, add",増える,増加,増す,増大,増やす,増進,増強,増税
勇,courage,勇気,勇ましい,勇敢,勇者,義勇,勇退,勇断,勇む
禁,prohibit,禁煙,禁止,禁じる,禁物,監禁,解禁,禁酒,厳禁
枚,sheets,,,,,,,,
乳,milk,,,,,,,,
荒,rough,,,,,,,,
床,"floor, bed",,,,,,,,
詰,"packed, full",,,,,,,,
厚,"thick, heavy",厚かましい,厚い,濃厚,温厚,厚着,分厚い,厚生,厚意
栄,flourish,栄養,繁栄,栄える,光栄,栄光,見栄,栄誉,虚栄心
順,order,順調,順番,順序,道順,手順,不順,順応,遵守
則,rule,,,,,,,,
皮,"skin, fur",,,,,,,,
輸,transport,,,,,,,,
濃,"thick, deep",,,,,,,,
孫,descendant,,,,,,,,
黄,yellow,,,,,,,,
丈,"length, height",,,,,,,,
採,"take, pick",,,,,,,,
届,"deliver, arrive",,,,,,,,
簡,simple,,,,,,,,
絡,entwine,,,,,,,,
傾,incline,,,,,,,,
鼻,nose,,,,,,,,
宝,wealth,,,,,,,,
患,,,,,,,,,
延,,,,,,,,,
律,,,,,,,,,
希,,,,,,,,,
甘,,,,,,,,,
湾,,,,,,,,,
沈,,,,,,,,,
販,,,,,,,,,
欧,,,,,,,,,
砂,,,,,,,,,
尊,,,,,,,,,
紅,,,,,,,,,
複,,,,,,,,,
泊,,,,,,,,,
荷,,,,,,,,,
枝,,,,,,,,,
依,,,,,,,,,
幼,,,,,,,,,
斬,,,,,,,,,
昇,,,,,,,,,
寿,,,,,,,,,
菜,,,,,,,,,
季,,,,,,,,,
液,,,,,,,,,
券,,,,,,,,,
祭,,,,,,,,,
儚,,,,,,,,,
単,,,,,,,,,
調,,,,,,,,,
印,,,,,,,,,
然,,,,,,,,,
覚,,,,,,,,,
挫,,,,,,,,,
喧,,,,,,,,,
著,,,,,,,,,
編,,,,,,,,,
救,,,,,,,,,
謝,,,,,,,,,
射,,,,,,,,,
娘,daughter,,,,,,,,
浪,waves,,,,,,,,
恨,regret,,,,,,,,
根,root,,,,,,,,
限,limit,,,,,,,,
退,retreat,,,,,,,,
率,"ratio, rate",,,,,,,,
直,fix,,,,,,,,
庁,government office,,,,,,,,
舎,cottage,,,,,,,,
修,conduct,,,,,,,,
補,supply,,,,,,,,
従,obey,,,,,,,,
規,standard,,,,,,,,
範,"pattern, model",,,,,,,,
義,"right, moral",,,,,,,,
儀,ceremony,,,,,,,,
熟,"ripe, mature",,,,,,,,
染,"dye, print",,,,,,,,
移,"shift, move",,,,,,,,
籍,register,,,,,,,,
判,"seal, judge",,,,,,,,
伴,accompany,,,,,,,,
評,evaluate,,,,,,,,
批,criticise,批評,批判,批判的,批准,批判的思考,批判者,批評家,痛烈批判
航,"navigate, sail, cruise",航空,航海,航行,寄港,運航,航路,出航,欠航
言,say,言葉,言語,言う,方言,助言,証言,予言,一言
自,oneself,自動車,自転車,自由,自然,自治,自信,自慢,自身
事,thing,仕事,事故,事実,食事,記事,家事,返事,用事
会,meet,会議,会話,展覧会,会計,会う,宴会,会館,司会
的,"mark, target",政治的,世界的,効果的,自発的,保守的,定期的,歴史的,伝統的
地,"ground, earth",地下鉄,地図,地震,地球,地域,遊園地,地形,地方
場,place,駐車場,工場,劇場,広場,牧場,場所,現場,登場
私,"i, me",,,,,,,,
物,thing,,,,,,,,
体,rest,,,,,,,,
手,hand,,,,,,,,
者,person,,,,,,,,
思,think,,,,,,,,
家,house,,,,,,,,
方,"way, person",,,,,,,,
目,eye,目標,注目,科目,真面目,項目,役目,目印,目指す
代,substitute,代理,時代,世代,古代,現代,代表,年代,交代
立,stand,独立,立つ,立派,献立,中立,立てる,立場,成立
田,rice field,田舎,田園,田んぼ,油田,田植え,水田,票田,稲田
動,motion,動物,行動,運動,労働,動機,動力,動く,感動
主,chief,,,,,,,,
文,sentence,,,,,,,,
業,work,,,,,,,,
道,road,,,,,,,,
不,un,,,,,,,,
多,many,,,,,,,,
考,thought,,,,,,,,
教,teach,,,,,,,,
以,by view of,,,,,,,,
正,correct,,,,,,,,
通,traffic,,,,,,,,
屋,roof,,,,,,,,
持,hold,,,,,,,,
身,oneself,,,,,,,,
口,mouth,,,,,,,,
野,field,,,,,,,,
開,open,,,,,,,,
近,near,,,,,,,,
問,question,,,,,,,,
真,true,,,,,,,,
強,strong,,,,,,,,
朝,morning,,,,,,,,
仕,official,,,,,,,,
足,foot,,,,,,,,
着,arrive,,,,,,,,
音,sound,,,,,,,,
特,special,,,,,,,,
夜,night,,,,,,,,
"有 exist",exist,,,,,,,,
運,carry,,,,,,,,
使,use,,,,,,,,
題,topic,,,,,,,,
京,capital,,,,,,,,
品,article,,,,,,,,
別,separate,,,,,,,,
元,origin,,,,,,,,
風,wind,,,,,,,,
空,sky,,,,,,,,
起,wake up,,,,,,,,
料,material,,,,,,,,
社,shrine,,,,,,,,
理,logic,,,,,,,,
心,heart,,,,,,,,
作,make,,,,,,,,
世,world,,,,,,,,
明,bright,,,,,,,,
意,idea,,,,,,,,
楽,enjoy,,,,,,,,
悪,bad,,,,,,,,
住,reside,,,,,,,,
知,know,,,,,,,,
同,same,,,,,,,,
発,departure,,,,,,,,
新,new,,,,,,,,
度,degree,,,,,,,,
力,power,,,,,,,,
用,"task, use",,,,,,,,
色,color,,,,,,,,
広,wide,,,,,,,,
売,sell,,,,,,,,
味,taste,,,,,,,,
無,none,,,,,,,,
海,sea,,,,,,,,
重,heavy,,,,,,,,
員,member,,,,,,,,
"画 picture",picture,,,,,,,,
安,cheap,,,,,,,,
帰,return,,,,,,,,
店,shop,,,,,,,,
待,wait,,,,,,,,
界,world,,,,,,,,
"少 few",few,,,,,,,,
切,cut,,,,,,,,
集,collect,,,,,,,,
公,public,,,,,,,,
死,die,,,,,,,,
親,parent,,,,,,,,
歩,walk,,,,,,,,
町,town,,,,,,,,
古,old,,,,,,,,
始,start,,,,,,,,
映,reflect,,,,,,,,
室,room,,,,,,,,
字,character,,,,,,,,
英,english,,,,,,,,
注,pour,,,,,,,,
写,copy,,,,,,,,
終,end,,,,,,,,
買,buy,売買,買う,購買,買収,買い手,買い付け,買い占める,買い得
可,can,可愛い,可笑しい,許可,可能,不可,可決,認可,不可解
工,craft,工場,大工,工夫,工芸,工業,工学,工事,加工
走,run,,,,,,,,
赤,red,,,,,,,,
去,past,,,,,,,,
計,plan,,,,,,,,
病,ill,,,,,,,,
建,build,,,,,,,,
急,sudden,,,,,,,,
青,blue,,,,,,,,
春,spring,,,,,,,,
研,sharpen,,,,,,,,
院,institution,,,,,,,,
"早 fast","fast, early",,,,,,,,
転,revolve,,,,,,,,
図,map,,,,,,,,
答,answer,,,,,,,,
館,building,,,,,,,,
飲,drink,,,,,,,,
送,send,,,,,,,,
質,quality,,,,,,,,
医,doctor,,,,,,,,
黒,black,,,,,,,,
紙,paper,,,,,,,,
旅,travel,,,,,,,,
肉,meat,,,,,,,,
族,family,,,,,,,,
台,pedestal,,,,,,,,
止,stop,,,,,,,,
花,flower,,,,,,,,
歌,sing,,,,,,,,
験,verify,,,,,,,,
服,clothes,,,,,,,,
銀,silver,,,,,,,,
堂,hall,,,,,,,,
鳥,bird,,,,,,,,
駅,station,,,,,,,,
牛,cow,,,,,,,,
兄,big brother,,,,,,,,
借,borrow,,,,,,,,
茶,tea,,,,,,,,
週,week,,,,,,,,
犬,dog,,,,,,,,
昼,noon,,,,,,,,
妹,small sister,,,,,,,,
秋,autumn,,,,,,,,
飯,meal,,,,,,,,
究,research,,,,,,,,
習,learn,,,,,,,,
夕,evening,,,,,,,,
冬,winter,,,,,,,,
貸,lend,,,,,,,,
夏,summer,夏休み,冷夏,真夏,夏場,今夏,夏祭り,夏服,夏季
曜,weekday,日曜,月曜,土曜,木曜,金曜,水曜,火曜,曜日
洋,open sea,西洋,洋服,東洋,海洋,太平洋,大洋,洋食,洋式
試,test,試験,試合,試す,試みる,完全試合,試験管,試練,入試
魚,fish,金魚,人魚,淡水魚,魚雷,熱帯魚,魚市場,魚屋,魚介類
姉,big sister,お姉さん,姉妹,義姉,姉妹都市,姉妹校,,,
勉,exert,勉強,勤勉,勉学,勉強中,猛勉強,勉強不足,,
弟,little brother,兄弟,師弟,弟子,義弟,実弟,子弟,,
漢,china,漢字,漢方薬,漢文,痴漢,珍紛漢紛,常用漢字,漢方,
癒,"healing, cure",治癒,癒す,癒着,癒し系,癒し,癒し犬,快癒,自然治癒力
備,prepare,,,,,,,,
遠,far,,,,,,,,
君,you,,,,,,,,
割,ratio,,,,,,,,
降,fall,,,,,,,,
末,end,,,,,,,,
未,not yet,,,,,,,,
私,"i, me",,,,,,,,
物,object,,,,,,,,
体,"body, substance",,,,,,,,
申,"say, called",,,,,,,,
絶,discontinue,,,,,,,,
察,occasion,,,,,,,,
限,limit,,,,,,,,
妻,wife,,,,,,,,
幸,happy,,,,,,,,
規,standard,,,,,,,,
立,stand,,,,,,,,
田,rice filed,,,,,,,,
動,motion,,,,,,,,
合,"fit, match",,,,,,,,
感,feelings,,,,,,,,
法,method,,,,,,,,
顔,face,,,,,,,,
要,need,,,,,,,,
受,receive,,,,,,,,
能,ability,,,,,,,,
夫,husband,,,,,,,,
助,help,,,,,,,,
好,like,,,,,,,,
部,"part, section",,,,,,,,
定,determine,,,,,,,,
全,all,,,,,,,,
機,machine,,,,,,,,
変,unusual,,,,,,,,
解,unravel,,,,,,,,
葉,"leaf, foliage",,,,,,,,
選,select,,,,,,,,
点,point,,,,,,,,
違,differ,,,,,,,,
彼,he,,,,,,,,
政,government,,,,,,,,
情,emotion,,,,,,,,
次,next,,,,,,,,
神,gods,,,,,,,,
市,city,,,,,,,,
流,"flow, current",,,,,,,,
権,rights,,,,,,,,
産,production,,,,,,,,
殺,kill,,,,,,,,
内,inside,,,,,,,,
取,take,,,,,,,,
向,facing,,,,,,,,
数,count,,,,,,,,
記,scribe,,,,,,,,
期,period,,,,,,,,
然,sort of,,,,,,,,
利,profit,,,,,,,,
務,"task, duties",,,,,,,,
置,"put, set",,,,,,,,
実,truth,,,,,,,,
所,place,,,,,,,,
平,"flat, even",,,,,,,,
原,original,,,,,,,,
和,harmony,,,,,,,,
様,"way, manner",,,,,,,,
初,first time,,,,,,,,
制,system,,,,,,,,
件,affair,,,,,,,,
返,return,,,,,,,,
当,"hit, right",,,,,,,,
現,present,,,,,,,,
成,become,,,,,,,,
美,beautiful,,,,,,,,
引,pull,,,,,,,,
活,life,,,,,,,,
在,exist,,,,,,,,
続,continue,,,,,,,,
命,"fate, life",,,,,,,,
論,argument,,,,,,,,
戦,war,,,,,,,,
最,most,,,,,,,,
経,"pass, elapse",,,,,,,,
回,"turn, times",,,,,,,,
治,cure,,,,,,,,
頭,head,,,,,,,,
調,"tune, tone",,,,,,,,
石,stone,,,,,,,,
番,number,,,,,,,,
際,occasion,,,,,,,,
性,"sex, nature",,,,,,,,
化,change,,,,,,,,
面,surface,,,,,,,,
表,express,,,,,,,,
決,decide,,,,,,,,
組,association,,,,,,,,
笑,laugh,,,,,,,,
進,advance,,,,,,,,
落,fall,,,,,,,,
歳,age,,,,,,,,
対,opposite,,,,,,,,
民,people,,,,,,,,
連,take along,,,,,,,,
声,voice,,,,,,,,
太,fat,,,,,,,,
指,"finger, point",,,,,,,,
議,deliberate,,,,,,,,
伝,transmit,,,,,,,,
付,attach,,,,,,,,
反,anti,,,,,,,,
関,"connection, relation",,,,,,,,
相,"inter, mutual",,,,,,,,
信,believe,,,,,,,,
報,report,,,,,,,,
込,"crowded, into",,,,,,,,
説,explain,,,,,,,,
直,"fix, straight",,,,,,,,
加,add,,,,,,,,
得,"gain, earn",,,,,,,,
形,"form, style",,,,,,,,
光,"ray, light",,,,,,,,
過,exceed,,,,,,,,
資,assets,,,,,,,,
支,support,,,,,,,,
師,expert,,,,,,,,
容,contain,,,,,,,,
居,reside,,,,,,,,
息,breath,,,,,,,,
優,"tender, kind",,,,,,,,
横,width,,,,,,,,
首,neck,,,,,,,,
約,promise,,,,,,,,
常,usual,,,,,,,,
両,both,,,,,,,,
告,reveal,,,,,,,,
育,bring up,,,,,,,,
予,beforehand,,,,,,,,
失,"lose, error",,,,,,,,
投,throw,,,,,,,,
増,increase,,,,,,,,
勝,victory,,,,,,,,
馬,horse,,,,,,,,
果,"fruit, reward",,,,,,,,
乗,ride,,,,,,,,
存,exist,,,,,,,,
構,posture,,,,,,,,
路,"path, route",,,,,,,,
老,old man,,,,,,,,
局,bureau,,,,,,,,
差,distinction,,,,,,,,
必,certain,,,,,,,,
状,status quo,,,,,,,,
共,together,,,,,,,,
済,complete,,,,,,,,
争,argue,,,,,,,,
認,recognize,,,,,,,,
座,"seat, sit",,,,,,,,
良,good,,,,,,,,
難,difficult,,,,,,,,
苦,suffering,,,,,,,,
係,in charge,,,,,,,,
想,concept,,,,,,,,
残,remain,,,,,,,,
供,offer,,,,,,,,
覚,memorize,,,,,,,,
位,"rank, grade",,,,,,,,
客,guest,,,,,,,,
示,indicate,,,,,,,,
種,"species, kind",,,,,,,,
収,income,,,,,,,,
由,reason,,,,,,,,
官,bureau,,,,,,,,
判,judgement,,,,,,,,
格,status,,,,,,,,
側,side,,,,,,,,
達,"reach, attain",,,,,,,,
船,ship,,,,,,,,
号,number,,,,,,,,
念,"wish, sense",,,,,,,,
段,"grade, steps",,,,,,,,
愛,love,,,,,,,,
交,"mingle, mix",,,,,,,,
役,"duty, role",,,,,,,,
打,hit,,,,,,,,
飛,"fly, jump",,,,,,,,
守,protect,,,,,,,,
追,chase,,,,,,,,
職,occupation,,,,,,,,
寄,draw near,,,,,,,,
俺,"i, myself",,,,,,,,
都,capital,,,,,,,,
米,rice,,,,,,,,
他,other,,,,,,,,
御,honorable,,,,,,,,
突,prick,,,,,,,,
満,"full, enough",,,,,,,,
背,height,,,,,,,,
王,"king, rule",,,,,,,,
商,trade,,,,,,,,
渡,cross,,,,,,,,
放,release,,,,,,,,
配,distribute,,,,,,,,
呼,call,,,,,,,,
断,refuse,,,,,,,,
参,"come, go",,,,,,,,
消,extinguish,,,,,,,,
誰,outlook,,,,,,,,
識,know,,,,,,,,
害,harm,,,,,,,,
与,bestow,,,,,,,,
確,confirm,,,,,,,,
若,young,,,,,,,,
術,technique,,,,,,,,
式,style,,,,,,,,
深,deep,,,,,,,,
任,entrust,,,,,,,,
誰,who,,,,,,,,
警,admonish,,,,,,,,
頼,"trust, request",,,,,,,,
演,"act, play",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,不明,船頭,捜索,再開,川下り,保津,転覆,事故
,,宣言,無言,言いつける,片言,寝言,遺言,伝言,言い方
,,言わば,言葉遣い,独り言,言い出す,発言,言い訳,言論,断言
,,長雨,大雨,雨降り,降雨,雨宿り,雨漏り,暴風雨,雨林
,,渡航歴,片道航空券,航空写真,航空写真,航空宇宙,航空病,航空燃料,衛星航法
,,航法,直航,航空学,航跡,通航,航空工学,回航,渡航歴
,,密航,巡航速度,巡航,航続距離,航空母艦,難航,渡航,就航
,,航空機,航空券,航空会社,航空便,格安航空券,来航,航空路,航空運賃
