Expression,Translation
"Suddenly, I looked outside and saw that it had started to rain without my noticing.",ふと外を見ると、気がつかないうちに雨が降り出していた。
"I'm in the middle of thinking, so please be a little quiet.",今考えごとをしている最中だから、少し静かにしてください。
"While climbing a mountain, one thinks about many things about life.",山に登りつつ、人は人生についてさまざまなことを考える。
Mathematics has become a necessary academic discipline in our advanced information society.,数学は高度情報社会にあって、必要な学問的教養となっている。
Brush your teeth before going to bed.,寝る前に歯をみがきなさい。
Do you take this medicine before or after you eat?,この薬はご飯を食べる前に飲みますか、食べた後で飲みますか。
I went to the supermarket and bought an egg.,スーパーへ行って、たまごを買った。
"When you buy a new house, do your research before you buy it.",新しい家を買うときは、よく調べてから買いましょう。
"I just came to Japan last year, so I can't use keigo very well yet.",去年日本に来たばかりなので、まだ敬語がじょうずに使えません。
"If you can take a picture, please take one for me too.",今撮った写真ができたら、わたしにも１枚ください。
I have to go home before dark.,暗くならならないうちに家に帰らなければなりません。
"Of course, patients are anxious when they visit the doctor.",もちろん医師を訪れるとき患者は不安を感じます。
Upgrading technology while reducing financial risk.,財務リスクを抑えながら、テクノロジーをアップグレード。
Dress and act professionally while you work.,働いている間専門的に服及び行為。
Set your orders while you wait.,待っている間に注文を決めておきましょう。
When I got there they were just about to leave.,私がそこに着いた時彼らはまさに出かけるところだった。
I ran into an old friend when I was in Hokkaido last month.,先月北海道に行った折、偶然昔の友達に会った。
You should have already specified these fields when you created the instance.,インスタンス作成の際にこれらのフィールドを指定済みのはずです。
This is especially important in disaster recovery.,災害復旧においては特に重要です。
Please keep the following in mind when using this website,当ウェブサイトのご利用にあたっては以下の事項にご留意下さい。
Let's leave before the sun comes up.,陽が昇らないうちに出発しよう。
The bell rang in the middle of our discussion.,議論のまっ最中にベルが鳴った。
Optimize access to information while saving time and money.,時間とコストを削減しつつ、情報アクセスを最適化。
How can you be so unconcerned in this time of emergency?,この非常時にあって、あなたはどうしてそんなに平気でいられるのですか。
Create a project before adding files.,ファイルを追加する前にプロジェクトを作成してください。
Feel hungry after a long walk.,長い散歩の後で空腹を感じる。
Think about the format and content of your meeting.,会議の形式や内容に合わせて考えてみてください。
"Choose an option, then click Create or Refresh.",オプションを選択してから、作成またはリフレッシュをクリックします。
"When I first came to Japan, I didn't understand a word of Japanese.",日本に来たばかりのころは、日本語がぜんぜんわからなかった。
I'll explain everything when the investigation is over.,捜査が終わったらすべて説明するよ。
All the feast was eaten before he arrived.,ごちそうはみんな彼が来ないうちに食べられてしまった。
Excuse me.,失礼します。
Excuse me.,失礼致します。
After you.,お先に。
Excuse me after you.,お先に失礼します。
Please excuse me after you.,お先に失礼致します。
See you.,じゃね。
See you soon.,またね。
See you later.,じゃ、またね。
Good night.,お休みなさい。
See you tomorrow.,また明日、会いましょう。
See you later.,じゃ、また後で。
We will see you later.,また後ほど、お会いしましょう。
See you next week.,では、来週また。
Thank you very much.,ありがとうございます。
Thank you.,ありがとう。
Thanks.,どうも。
Thank you for your help.,お世話になりました。
Thank you very much.,感謝しいます。
I am endlessly grateful.,感謝に絶えません。
Being thankful​.,恐縮です。
To be grateful.,恐れ入ります。
I don't know how to thank you enough. ,何とお礼を言っていいのかわかりません。 
Thank you very much for the other day.,先日はどうもありがとうございました。
Gratitude before eating.,いただきます。
Gratitude after eating.,ごちそうさまでした
Thank you for the food the other day.,こないだは、ごちそうさまでした。
Thank you very much for this.,これはどうもごちそうさまです。
Sorry.,すみません。
Sorry.,ごめん。
I'm sorry.,ごめんなさい。
I am very sorry.,大変失礼致しました。
We apologize for the inconvenience.,お詫び申し上げます。
Forgive me.,許してください。
Please give me a break.,勘弁してください。
Please forgive us.,どうぞお許しください。
It does not matter.,かまいません。
It's okay.,大丈夫ですよ
Don't worry about it.,気にしないでください。
Please don't worry about it. ,どうぞ、お気になさらないでください。
Good morning. It's hot.,お早うございます。暑いですね。
Today. It's warm.,今日は。暖かいですね。
Evening. It's cool.,今晩は。涼しいですね。
Today. It's getting cold.,今日は。寒くなりましたね。
It's a beautiful day.,いい天気ですね。
It often rains.,よく降りますね。
It's raining terribly. ,ひどい雨ですね。 
It is windy., 風が強いですね。
It's so cold.,めっちゃ寒いね。
It's getting really hot.,めっちゃ暑くなったね。
It is colder than yesterday.,きのうより寒いですね。
It is hot and humid.,蒸し暑いですね。
It is hot and humid.,むしむししますね。
I'm off.,行って来ます。
"Well, I'm off then.",じゃ、行ってくるね。
I'm off.,行って参ります。
Off you go.,行ってらっしゃい。
Off you go.,行っていらっしゃいませ。
Be careful.,気をつけて。
"Please, take care.",どうぞ、お気をつけて。
Take care.,お元気で。
Take care.,お大事に。
I'm home.,ただいま。
I just got back.,只今戻りました。
Welcome back.,お帰りなさい。
Welcome home.,お帰り。
Welcome back.,お帰りなさいませ。
Nice to meet you.,初めまして。
Pleased to see you for the first time.,お初にお目にかかります。
Best regards.,よろしく。
Best regards. ,どうぞよろしく。 
I look forward to working with you.,よろしくお願いします。
We look forward to working with you.,どうぞよろしくお願いします。
We look forward to working with you.,どうぞよろしくお願い致します。
It's my pleasure. ,こちらこそ。 
Thank you very much for your cooperation.,こちらこそ、よろしくお願いします。
I look forward to working with you.,こちらこそ、どうぞよろしくお願い致します。
It is a pleasure to meet you.,お会いできて、うれしいです。
We have asked for your name.,お名前は伺っております。
Congratulations.,おめでとう。
Congratulations.,おめでとうございます。
Congratulations on your selection.,入選 、おめでとうございます。
Congratulations on winning the prize.,入賞、おめでとうございます。
Congratulations on your marriage.,ご結婚 、おめでとうございます。
Congratulations on the birth of your baby.,ご出産、おめでとうございます。
Congratulations on passing the exam.,合格、おめでとうございます。
Congratulations on your enrollment.,ご入学、おめでとうございます。
Congratulations on your graduation.,ご卒業、おめでとうございます。
Congratulations on your employment.,就職、おめでとうございます。
Happy New Year!,あけまして、おめでとうございます。
Merry Christmas!,メリークリスマス!
Have a Happy New Year!,どうぞよいお年を!
Please have a happy New Year.,どうぞよいお年をお迎えください。
Welcome!,いらっしゃい!
Welcome.,いらっしゃいませ。
Wait a minute.,ちょっと待って。
Wait a minute.,ちょっと待ってください。
Please wait a moment.,少々お待ちください。
Thanks for your time.,お疲れ様です。
Thank you for your efforts.,ご苦労様です。
Good work!,お疲れ!
Thanks for your efforts!,ご苦労さん!
Thank you for your hard work.,お疲れ様でした。
Thank you for your efforts.,ご苦労様でした。
"Hey, long time no see!",やあ、久しぶり!
It's been a while.,お久しぶりですね。
It's been a while.,しばらくですね。
How are you?,元気だった?
How have you been?,元気でしたか。
Is everything alright?,お変わりございませんか。
 How many years has it been? , 何年ぶりですかね。 
How long has it been since then?,あれからもうどのくらいですか。
The months go by quickly.,月日が経つのは早いですね。
It's nice to see you after a long time. ,久しぶりに会えて、うれしいです。 
 You look well., 元気そうですね。
It hasn't changed at all.,全然変わっていませんね。
You are as beautiful as ever.,相変わらず、おきれいですね。
You always look so young.,いつも若々しいですね。
"Oh, did you change your hairstyle?",あれっ、髪型を変えたんですか。
You are a little thinner than before., 前より少しやせましたね。
Have you gained a little more weight than before?,以前よりちょっと太りましたか。
I hope you and your family are doing well.,ご家族の皆さんもお元 気ですか。
Is your child grown now? ,お子さんはもう大きくなりましたか。 
Is your husband also feeling better? ,ご主人もお変わりありませんか。 
Is your wife also feeling better?,奥さんもお変わりありませんか。
What time is it?,今何時ですか。
It is one o'clock.,今1時です。
It is now 2:30.,今2 時半です。
It is already 3 o'clock.,今もう 3 時ですよ。
It is still 4:30 a.m.,まだ 4 時半ですよ。
It is 10 minutes before 5:00.,5 時10 分前です。
It is 5 minutes after 6:00.,6 時5 分過ぎです。
The time is 7:15 am.,午前7 時15 分です。
The time is 8:20 pm.,午後8 時20 分です。
It is 9:00 in the morning. ,朝の 9 時です。 
It is 10:00 pm.,昼の 10 時です。
It is 11:00 at night.,夜の11 時です。
It is 12 midnight.,夜中の12 時です。
It is 1:00 am.,深夜1 時です。
It is 2:00 pm.,14 時です。
Noon.,正午です。
It is early in the morning at 4:00 a.m.,早朝 4 時です。
It is 5:00 pm.,夕方5 時です。
From 6:00 pm.,6時からです。
Until 7:00 pm.,7時までです。
It is from 8:00 to 9:00.,8時から9時までです。
The program starts at 10:00 a.m.,10 時に始まります。
It will end at 11:00.,11 時に終わります。
It is exactly midnight.,ちょうど 0 時です。
What time do you get up each morning?,毎朝何時に起きますか。
What time do you go to bed each night?,毎晩何時に寝ますか。
I woke up at 5:30 this morning.,今朝5時半に起きました。
I went to bed around 11:00 pm last night.,夕べ11 時頃寝ました。
What time do you want to leave tomorrow?,明日は何時に出発しますか。
Departure time is 3:25 p.m. ,15 時25 分発です。 
Arrival time is 16:40.,16 時 40 分着です。
Approximately what time will you arrive?,大体何時頃着きますか。
We plan to arrive around 9:00 a.m.,9 時頃到着する予定です。
Leave the house before 8:00 a.m.,8 時前には家を出ます。 
Take the bus around 7:50 a.m.,7 時50 分頃のバスに乗ります。
I will take the 8:45 a.m. train.,8 時45 分の電車で行きます。
What time do you start work?,仕事は何時からですか。
What are the class hours?,授業は何時までですか。
Lunch break is from 12:00 to 1:00.,昼休みは 12 時から1 時までです。
I go home around 6:00.,6 時頃家へ帰ります。
There will be an interesting TV show at 8:00.,8 時からおもしろいテレビがあります。 
We eat dinner after 7:00.,7 時過ぎに晩ご飯を食べます。
I wake up every morning around 6:00.,毎朝6 時頃起きています。
I eat breakfast right after I wake up in the morning.,朝起きてから、すぐ朝ご飯を食べています。
"After breakfast, go into the restroom. ",朝食の後で、トイレに入ります。 
Wash your face and brush your teeth. ,顔を洗って歯を磨きます。 
I leave home at 7:00 a.m. and ride my motorcycle to work.,7 時に家を出て、バイクで会社へ行っています。
I eat lunch near my office.,会社の近くで昼ご飯を食べています。
"Most of the time, lunch is a set meal or ramen noodles. ",大抵昼食は定食やラーメンなどを食べています。 
Work is until 5:00.,仕事は5時までです。
But there is often overtime work.,でも、よく残業があります。
Our company does not have night shifts.,うちの会社は夜勤はありません。
"After returning home, I take the dog for a walk.",家へ帰ってから犬をつれて散歩に出ます。
Exercise may be done before dinner.,夕食の前に運動をすることもあります。
I always watch TV after dinner.,晩ご飯を食べてからいつもテレビを見ています。
I drink milk after taking a bath. ,お風呂に入った後で牛乳を飲んでいます。 
I don't eat anything before bed.,寝る前には何も食べません。
"Occasionally, I take a night meal.",時々夜食をとります。
Sometimes I drink alcohol and go to bed.,たまにお酒を飲んで寝ることがあります。
I walk to school.,歩いて学校へ行きます。
Motorcycle to town.,オートバイで町まで行きます。
I commute to school by bus.,バスで通学しています。
I commute by train.,電車で通勤しています。
Go to the market by bicycle.,自転車で市場へ行きます。
I headed for Osaka on the Shinkansen.,新幹線で大阪へ向かいました。
I took a cab home. ,家までタクシーで帰りました。 
I drove him to the station.,駅まで車で送りました。
We crossed to Takamatsu by ferry.,フェリーで高松に渡りました。
Around the world by boat.,船で世界一周します。
I will fly to Tokyo.,飛行機で東京へ行きます。 
Take the subway out to Asakusa.,地下鉄で浅草まで出ます。
Japanese eat rice with chopsticks.,日本人は箸でご飯を食べます。
Sushi can be eaten with hands.,寿司は手で食べてもいいです。
Taiwanese people drink miso soup with a bamboo whisk.,台湾人はレンゲで味噌汁を飲みます。
Westerners eat with a knife and fork.,西洋人はナイフとフォークで食事します。
Eat the pudding with a spoon.,スプーンでプリンを食べます。
Scoop out only the meat with a ladle and eat.,おたまで肉だけすくって食べます。
Cut the steak with a knife.,ステーキをナイフで切ります。
It is better to peel the skin with a knife.,ナイフで皮をむいたほうがいいです。
This Japanese hamburger steak is served with soy sauce and mustard.,この和風ハンバーグは醤油とからしで食べます。
Drink water from a cup.,コップで水を飲みます。
Pour hot water into a teacup.,湯呑み茶碗にお湯を注ぎます。
Put tea in a coffee cup.,コーヒーカップに紅茶を入れます。
It is easier to stick them on a toothpick and eat them.,つまようじに刺して食べたほうが簡単です。
A mug of draft beer is the way to go. ,生ビールはやっぱりジョッキでしょう。 
A time to study.,勉強する時間です。
It's time to get up.,もう起きる時間だよ。
It's time to get moving.,動き出す時です。
It is time to abolish that old system.,その古い仕組みを廃止する時です。
It's time to get back to work.,そろそろ仕事に戻る時間です。
It is a good time to start something new.,何か新しいことを始めるにはいい時です。
Now is not the time to quit your job.,今は仕事を辞める時期じゃないですよ。
Time to go home.,家に帰る時間です。
It is time to say goodbye.,お別れの時間です。
A good time to start.,始めるにはいい時間ですね。
It's already bedtime.,もうとっくに寝る時間だよ。
It's time to stop talking.,おしゃべりをやめる時間です。
Can you please come closer?,近くに来ていただけますか。
Could you please give us a moment?,ちょっと待っていただけますか。
Can you show us your menu?,メニューを見せていただけますか。
Could you please wait a moment?,少しお待ちいただけますか。
Could you introduce yourself?,自己紹介していただけますか。
Can you give us a discount?,値引きをしていただけますか。
Can you be more specific?,もっと具体的に話していただけますか。
Can you explain the reason for this?,その理由を説明していただけますか。
Could you please call me back later?,後で電話をかけ直していただけますか。
Can you help us?,手伝っていただけますか。
Could you speak more slowly?,もっとゆっくり話していただけますか。
Could you please come to our office by noon?,正午までにオフィスにお越しいただけますか。
When is that?,いつですか。
When is your birthday?,誕生日はいつですか。
When is the wedding?,結婚式はいつですか。
When is your happiest time?,一番嬉しい時はいつですか。
When was the last time you saw a movie?,映画最後に見たのはいつですか。
When is your happiest time?,一番幸せな時はいつですか。
When will you move in?,引っ越しはいつですか。
When is your convenient time?,あなたの都合の良い時間はいつですか。
When is your favorite season?,好きな季節はいつですか。
How tall are you?,身長いくつですか。
How old are you?,あなたはおいくつですか。
How many chocolates do you want?,チョコレートはいくつ欲しいですか。
How old does it look?,いくつに見えますか。
There are several reasons.,いくつかの理由があります。
How many sweets can you buy for a thousand yen?,千円でお菓子いくつ買えますか。
It was lonely.,寂しいだった。
Yesterday it rained.,昨日は雨だった。
The sea was calm.,海は静かだった。
We were worried.,私たちは心配だった。
I was very happy.,私はすごく幸せだった。
I was in a good mood.,私はいい気分だった。
They seemed to be having fun.,彼らは楽しそうだった。
That test was easy.,その試験は簡単だった。
She seemed happy.,彼女は嬉しそうだった。
It was really great.,本当に最高だった。
It was a misunderstanding.,誤解だった。
It was very hard.,すごく大変だった。
What is it?,それはなんですか。
What is your favorite sport?,好きなスポーツはなんですか。
What are your hobbies?,趣味はなんですか。
What do you recommend?,おすすめはなんですか。
What is your most popular menu item?,一番人気のあるメニューはなんですか。
What is your favorite fruit?,好きな果物はなんですか。
What are your dreams?,夢はなんですか。
This is a souvenir.,これはお土産だよ。
What is your favorite food?,一番好きな食べ物はなんですか。
How much is this?,これはいくらですか。
How much are these pants?,このズボンはいくらですか。
What is your hourly rate?,時給はいくらですか。
How much is the prize money?,賞金はいくらですか。
How much is the total?,全部でいくらですか。
How much do you want?,いくら欲しいですか。
Do you know how much that is?,それがいくらか知ってますか。
it doesn’t cost much.,いくらもしません。
How much should I send?,いくら送ればいいんですか。
You're the only one.,あなたしかいない。
I can only think of that.,そうとしか思えない。
He only eats vegetables.,彼は野菜しか食べない。
I can only go on day trips.,私は日帰り旅行しか行けない。
I speak only a little Japanese.,私は日本語が少ししか話せない。
I only slept for four hours.,私は4時間しか寝ていない。
This fish can only be caught in Japan.,この魚は日本でしか獲れない。
I only know his name.,私は彼の名前しか知らないです。
I only watch action movies.,私はアクション映画しか見ないです。
I only have two days left.,二日しか残ってないよ。
It will only take you ten minutes to walk there.,歩いて十分しかかからないよ。
That company has announced its business plan for the coming year.,その会社は来年の事業計画を発表した。
He promised to buy a bottle of wine tonight and go home.,彼は今夜ワインを1本買って帰ると約束した。
Can you tell me how to get to the post office?,郵便局までの道を教えてもらえますか。
Certainly.,かしこまりました。
Could you follow me?,ご案内します。
This way.,こちらです。
I’ll get it right away.,すぐにお持ちします。
Let me check.,確認いたします。
"Just a minute, please.",少々お待ちください。
Thank you for waiting.,お待たせしました。
Sorry to keep you waiting.,お待たせして申し訳ございません。
Keep the change for your trip.,お釣りはご旅行のために取っておいてください。
I beg your pardon?,何とおっしゃいましたか。
Could you say that again?,もう一度おっしゃってくださいますか。
Could you speak a little more slowly?,もう少しゆっくり話していた。
Do you know the Japanese word for it?,日本語で何と言いますか。
Could you spell that?,スペルをお願いできますか。
Could you write that down here?,ここに書いてくださいますか。
Let me call someone who speaks English.,英語の話せる者を連れてまいります。
Please pay over there.,あちらでお会計をお願いします。
Please use this basket.,こちらのカゴをお使いください。
Please take the empty package to the cashier.,空箱をレジにお持ちください。
Please ask the staff for the actual product.,実物はスタッフにお尋ねください。
Please wait in line.,列に並んでお待ちください。
Could you move to this line?”,こちらの列にお移りいただけますか。
Please go to the end of the line.,列の最後尾にお並びください。
"Next customer, please.",お次にお待ちのお客様、こちらのレジへどうぞ。
Please pay here for products on this floor.,このフロアの商品は、こちらでご精算くださいませ。
Here is the total.,合計はこちらになります。
"That’s 1,080 yen including tax.","税込みで1,080円になります。"
Tax is not included here.,こちらは税抜きの表示です。
"That’s a total of three items, ok?",合計3点でよろしいですか。
Is this everything?,以上でよろしいですか。
That’s 540 yen.,540円です。
"That’s 1,000 yen for five items.","5点で1,000円です。"
Plastic bags are 5 yen each. Would you like one?,レジ袋は1枚5円ですが、ご利用になりますか。
A 10 percent service charge is already included.,サービス料10％が含まれております。
Would you like to pay together or separately?,お会計はご一緒ですか。別々ですか。
Would you like to pay by cash or credit card?,お会計は現金ですか。カードですか。
We accept cash only.,お支払い方法は現金のみとなっております。
Would you like to pay in Japanese yen or U.S. dollars?,円でお支払いになりますか。米ドルですか。
We don’t accept U.S. dollars. We only accept Japanese yen or credit cards.,米ドルはお使いいただけません。日本円とクレジットカードのみ使えます。
"You can use a combination of Japanese yen, U.S. dollars and credit cards to pay.",日本円、ドル、カードの併用払いができます。
The change is in Japanese yen.,お釣りは日本円になります。
We don’t accept electronic money.,電子マネーは扱っておりません。
"Ten thousand yen, thank you.","10,000円お預かりします。"
"Your change is 4,550 yen.","4,550円のお返しになります。"
Here is your change.,お釣りです。
That’s exactly right.,ちょうど頂きます。
That’s 100 yen too much.,100円多いです。
"Another 100 yen, please.",あと100円足りません。
Do you have anything smaller?,細かいお金はございますか。
Would you like me to use your small change?,小銭をお取りしましょうか。
"Sorry, I can only give you small change.",お釣りが小銭ばかりですみません。
"Sorry, we don’t have any change right now.",すみません、今お釣りが切れています。
Is a one-time payment ok?,ご一括払いでよろしいですか。
Would you like to pay in installments?,分割払いになさいますか。
Please swipe your card here.,こちらにカードを通してください。
Please enter your card here.,こちらにカードを入れてください。
Please enter your PIN.,暗証番号を入力してください。
Please sign here.,こちらにサインをお願いします。
We cannot accept this card because it’s expired.,こちらのカードは、期限切れで使用できません。
We cannot accept this card because it has maxed out.,こちらのカードは、限度額オーバーで使用できません。
Do you have another credit card?,他のカードはお持ちですか。
Do you have our point card?,ポイントカードはお持ちですか。
Would you like to make a point card?,ポイントカードをお作りしましょうか。
Could you fill out this form?,この用紙に必要事項をご記入いただけますか。
It doesn’t expire.,有効期限はありません。
There is no annual fee.,年会費は無料です。
You get a 5 percent discount by showing your card.,カードのご提示で5%引きになります。
Do you need a receipt?,レシートはご入り用ですか。
Do you need a receipt?,領収書はご入り用ですか。
Who should it be addressed to?,お宛名はいかがなさいますか。
Here are your card and receipt.,カードとレシートのお返しです。
Here is your customer copy.,お客様控えです。
I’ll put you through to the person in charge.,担当者におつなぎいたします。
The person in charge isn’t available.,担当者は不在にしております。
May I have your name and phone number?,お名前とお電話番号をお伺いできますか。
"Sorry, I cannot hear you very well.",すみません、お電話が遠いようです。
Please have a pen and a piece of paper ready.,ペンとメモのご用意をお願いします。
Let me confirm it and call you back later.,確認して、後でお電話いたします。
We hope to see you again.,またのお越しをお待ちしております。
Please take care.,お気を付けて。
Let me show you the way out.,出口までご案内します。
Do you have everything?,お忘れ物はございませんか。
Isn’t this umbrella yours?,こちらの傘はお客様のものではございませんか。
Shall I call you a taxi?,クシーをお呼びいたしましょうか。
Have a great day.,楽しい1日をお過ごしください。
We look forward to your next visit.,今後ともよろしくお願いします。
Do you remember where you left it?,どこに置き忘れたか、覚えていらっしゃいますか。
What does it look like?,どのようなものですか。
We haven’t received anything like that here.,そういったものはこちらには届いておりません。
May I have your phone number and address?,お電話番号とご住所を教えていただけますか。
We’ll contact you as soon as we find it.,見つかり次第ご連絡いたします。
Your item has been brought in.,お届けがあります。
Is this yours?,こちらでしょうか。
May I see some ID?,身分証をお見せいただけますか。
Could you tell me your name for verification?,ご本人確認のため、お名前を教えていただけますか。
We are open from 10 a.m. to 8:30 p.m.,営業時間は午前10時から午後8時30分です。
How far do you think the Japanese team will go to win?,日本代表はどこまで勝ち上がると思う？
We are open from 10 a.m. to 8:30 p.m.,営業時間は午前10時から午後8時30分です。
We only accept customers until 10 p.m.,ご入店は午後10時までとさせていただいております。
We are open 24 hours a day.,２４時間営業です。
We are open 24/7.,年中無休です。
We are closed on Sundays and national holidays.,定休日は日曜日と祝祭日です。
We are closed on the 4th Monday of every month.,定休日は毎月第4月曜日です。
We are open throughout this month except for the 15th.,今月は15日以外、休まず営業しております。
We are closed from December 31st to January 3rd.,１２月３１日から1月3日まで休業しております。
How many people are you?,“何名様ですか？
We’ll get your table ready.,ただ今お席の準備をいたします。
Would you like a table or a counter seat?,テーブル席とカウンター席のどちらがよろしいですか？
Shall I take your coat?,コートをお預かりしましょうか？
Do you have a reservation?,ご予約はされていますか？
What name is the reservation under?,ご予約のお名前をお伺いできますか？
Our reservations are full today.,本日は予約のお客様でいっぱいです。
We have a 2-hour time limit. Is that OK?,２時間制ですが、よろしいですか？
We close at 11 p.m. Is that OK?,午後11時で閉店ですがよろしいですか？
We are closed for today.,本日の営業時間は終了しました。
Please sit anywhere you like.,お好きなお席へどうぞ。
Please have the table at the back.,奥のお席にどうぞ。
Would you mind sitting separately?,お席は別れても大丈夫ですか？
Would you mind sharing a table?,相席になりますが、よろしいですか？
Is a counter seat all right?,カウンター席でもよろしいですか？
We may have to move you when it gets crowded.,混んできましたら、お席の移動のご協力をお願いします。
Is this seat fine with you?,こちらの席でよろしいですか？
Would you like the smoking or nonsmoking section?,喫煙席と禁煙席、どちらがよろしいですか？
We only have tables in the smoking section right now.,喫煙席しか空いておりません。
Please take off your shoes here.,お履物はこちらでお脱ぎください。
Please put your shoes on this shelf.,靴はこちらの靴箱にお入れください。
Here are some hot towels.,おしぼりでございます。
Is everyone here?,全員おそろいですか？
We are full right now.,現在満席です。
Waiting time is about 30 minutes.,３０分ほどお待ちいただくと思います。
Your table will be ready in about 15 minutes.,１５分ぐらいでお席のご用意ができます。
I cannot give you an exact waiting time.,待ち時間がどれくらいになるか、はっきりとは申し上げられません。
You are 5th in line.,お客様は5番目です。
Please wait in line to be served.,順番にご案内いたします。
Please write your name here and wait.,こちらにお名前を書いてお待ちください。
Please make a single line here while you wait.,こちらに1列に並んでお待ちください。
Would you like to look at the menu while you are waiting?,メニューをご覧になってお待ちいただけますか？
Please wait. I’ll go and get an English menu.,英語のメニューを取ってまいりますので、お待ちください。
Your table is ready. Please follow me.,お席の準備ができましたので、ご案内いたします。
May I look after your belongings for you?”,お荷物をお預かりしましょうか？
Are you looking for something in particular?,何かお探しですか？
Who would this be for?”,どなた用ですか？
Did you find anything you liked?,気に入ったものはありましたか？
Would you like to try this on?,もしよろしければ試してみませんか？
"If you need anything, please let me know.",何かございましたらお声掛けください。
Take your time.,ごゆっくりご覧ください。
Feel free to pick it up.,どうぞお手に取ってご覧ください。
Let me call the person in charge.,担当者を呼んでまいります。
Do you have a budget?,ご予算はございますか？
What kind of designs do you like?,どのようなデザインがお好みでしょうか？
Shall I bring one in a different color?,色違いをお持ちしましょうか？
Would you like to try a different style?,他のスタイルも試してみますか？
Would this be within your budget?,こちらはご予算内でしょうか？
Is this the right one?,こちらでよろしいですか？
Would you like to take it?,お買い上げになりますか？
Do you want to look around some more? Or would you like to pay now?,もう少し店内をご覧になりますか？　それともお会計なさいますか？
It’s a great deal.,大変お買い得です。
You get 5 percent off on Mondays.,毎週月曜日は5%オフです。
Right now this item is 20 percent off.,ただ今、こちらの品は20%オフです。
We’ll give you a further 10 percent discount at the cash register.,レジにてさらに10%お引きします。
You get 10 percent off if you buy two or more.,２点以上お買い上げで、10%オフになります。
"They are 800 yen each, but it will be 2,000 yen if you buy three.",１つ８００円ですが、３つお買い上げで２０００円です。
"You get this free gift if you spend 5,000 yen or more.",５０００円以上お買い上げいただきますと、こちらのギフトを無料で差し上げます。
Hello. It’s a pleasure to have you.,ようこそお越しくださいました。
Please have a relaxing stay.,ごゆっくりおくつろぎください。
Have a nice day.,いってらっしゃいませ。
Welcome back.,お帰りなさいませ。
Check-in starts at 3 p.m.,チェックインは午後3時からです。
Shall we keep your suitcase until you check in?,チェックインまでスーツケースをお預かりしましょうか？
Have you checked in yet?,チェックインはお済みですか？
May I take a photocopy of your passport?,パスポートのコピーを取らせていただいてもよろしいですか？
We’ll keep your coats at this coat check.,コートはこちらのクロークでお預かりいたします。
Your luggage is kept under this number.,荷物はこちらの番号札でお預かりします。
We are just doing a final check of your room.,ただ今、お部屋の最終確認をしております。
I’ll carry your luggage.,お荷物をお持ちします。
May I lay the suitcase on its side?,スーツケースを横にしてもよろしいですか？
I’ll show you to your room.,お部屋にご案内します。
Here is the key for room 1001.,こちらが１００１号室の鍵です。
He is not fine. But he acts like he is.,彼は元気じゃない。でも元気なようにふるまっているね。
"He pretends like he's okay, but he's not.",彼は大丈夫なふりをしている、でも大丈夫じゃないよ。
We can do better than these ideas. They are not new at all.,このアイディアよりもっといいものができるよ。それはまったく新しくないよ。
