Phrase,Translation
だって 明日もよ― 朝イチから クレーム現場をやっつけて,"And tomorrow, I have to deal with a complaint at a construction site."
そのあとに戸建ての解体もあるしよ,then take down a house site after that.
じゃあ 明日も大変だ,So tomorrow will be tough too!
大変なんだよ,It really will be.
明日に響くから 今日はもう締めにしましょ,It'll affect you tomorrow so let's call it a day.
そうか 何だよ.. 卵黄のみそ漬け以外にも おまけがあったか,I see... what's that? I didn't know there was more to it than egg yolks in miso.
大根には葉っぱが付き物ですから,"Daikon radish do come with leaves, after all."
はい どうぞ,Here you go.
ああ 鮮やかだね この緑 うん,Such a brilliant green.
元気が湧いてきそうだ,This will give me energy.
外は まだ寒いけど 春は すぐそこまでって感じよね,"It's still cold outside but this brings a spring feel, doesn't it?"
冬の名残のおでんと 春の先駆けの菜めし,"Oden ends winter, and rice with greens brings spring."
こいつは なかなか粋な出会いだね,A rather refined matchmaking.
うん 言うねえ,"Yeah, well said."
じゃあ 卵黄のみそ漬けは さしずめ,Then this egg yolk misozuke..
出会いを取り持つ― 春満月ってとこだな,is our matchmaker for the full moon of spring.
こんにちは,Hello.
どうも ありがとうございました またお願いします,"Thank you, please come again!"
こんにちは,Hello.
あっ 昨日の大根どうだった？,How was yesterday's daikon radish?
あっ すっごくおいしかった みずみずしくて,It was really juicy and tasty.
そうでしょ いいのよ あれ,Right? It's the good stuff.
今日はね これよ かき菜,Today's special is kakina.
わあ おいしそう これ いいから 今日,Looks delicious. -They're great today.
じゃあ 頂いてこうかな,I'll take it.
ホント？　持っていこうか あとで,Yeah? I can deliver it.
ううん 大丈夫 ここで買ってっちゃう あっ ホント？ うん,"It's okay, I'll buy it now. -Okay."
あと１つぐらいもらおっかな じゃあ２つね,I'll have one more. -Two then. -Yup.
ええっと ２つと いただきます,I'll put two here. Thank you for this.
このかき菜… からしじゃなくて わさびあえだね,This kakina ohitashi is made with wasabi and not karashi mustard.
そう！　たまには 違う辛さもいいでしょ,"Yes! A change in spice is nice, isn't it?"
私が作ったんだよ,I made it.
お先っす どうも,I'm heading out. Bye now.
ありがとうございます また来てね,Thank you very much. -Please come again.
何か いいことあったの？ え？ ご機嫌だね,Do you have good news? You're in a great mood.
今日は来られなかったはずじゃ？,I thought you couldn't come.
ああ 連チャンですまねえな ううん,Sorry for the trouble. Not at all.
現場がうまく片づいたんでな 報告がてら寄らせてもらったんだよ,It went well at work and I wanted to tell you about it.
はい 上着 預かる おう はいはい,I'll take your jacket. Thanks.
昨日と同じ酒な はい あと みそ漬け,The sake from yesterday and misozuke. 
弟子がよ 朝一番で現場に来たんだよ,My apprentice came to the work site first thing in the morning.
え？ あの逃げ出しちゃった人？,The one that bailed on work? Yeah.
二度と仕事はもらえない覚悟で,"Bracing for the possibility we'd never be hired again,"
現場監督のとこ ２人で謝りに行ったんだよ,We went to the foreman's office together to apologize.
そしたらよ “二度とあんたらには頼まないって 言いたいところだが”,"And he says, ""'I don't want to work with you ever again', is what I want to say,"
ふだんの仕事は確かだから 今回は大目に見てやるってよ,"but you always do such a good job so I will let it go this time."""
でも どういう風の吹き回し？ 昨日はカンカンに 怒ってたんですよね？,"But why did he change his mind? He was angry yesterday, right?"
冷静になって考えたらしいんだな,Apparently he calmed down and thought it over.
その現場監督もよ 昔はヤンチャで相当荒れてたって,The supervisor said he himself was reckless and a mess as a young man.
でも 今はちゃんと働いてる,But he's working properly now.
だから若いやつは長い目で 見てやらないとってな うん,"So he said he needs to be patient with young ones, too."
よかったですね おっ おう,I'm glad to hear that.
じゃあ お弟子さんも おとがめなし？,Is your apprentice off the hook?
でも あれだよ ワンペナとかいうやつ？,"But, he's got a.. What do you call it? A penalty stroke?"
まあ 次に何かやらかしたらな― クビにしてやっからよ あんな野郎,"If he does anything again, I'll fire that guy."
フフフッ で 今日は ちゃんと仕事したの？,Did he work properly today?
うん いたって普通にね ばっくれる前と同じように,"Yeah, just like usual. The same way he did before bailing."
申し訳なさそうに するとかじゃなくて？,He wasn't sorry at all?
ああ もう 反省してんだか してねえんだか,"Well, I don't know if he was sorry or not."
今の若いもんってのは まったくな,"Oh boy, the young ones these day."
今は そういう子が多いみたいだよ おう,Apparently they are like that nowadays. Are they?
急に嫌になって ほっぽり出して で また平然と戻ってくるんだと,They suddenly get fed up and walk out then come back like nothing happened.
でもよ もう少し すまなそうにしても いいだろうによ,But he could at least act like he's sorry.
もしかしたら これみたいなものかも,Maybe it's something similar to this.
どういうことだよ？,What do you mean?
このみそ漬け 卵の黄身を みその中に 入れておくだけなんですけど―,"This misozuke is made by simply placing the egg yolk in miso,"
結構 大変なの,It's not easy.
細心の注意を払わないと おみその中で卵の黄身が 崩れてしまうし,You have to very careful or the yolk will break in the miso.
そうなったら みそ床も台なしです,This will ruin the miso bed.
よく漬かってるね ああ,It's well-cured. Yeah.
はい 卵黄は扱いづらいけど,"Yes, it is. Egg yolk is difficult to handle."
しばらく みそ床に入れておけば だんだん固まっていくし,"But if you place it in a miso bed, it will gradually thicken"
よりおいしくなるんですよ,and become even more tasty.
いいあんばいに 漬かってるね,It's cured just right.
おいしい ん～ うん うまみが凝縮してる うん うん..,"Oh, delicious! It's full of umami."
この まとわりつくような感じが たまんねえなあ,This creamy texture is so good.
熟成されて よりおいしくなったんです,"It has matured, making it even richer in taste."
美音坊の言いたいのは そういうこと,Is that what you are implying?
扱いづらい若い衆も,Place young ones who are difficult to handle
みそ床に入れとけば どうにかなる,in a miso bed and they will turn out okay.
ウメさん どうにかなるって ちょっと言いすぎよ,Ume. Saying they'll turn out okay is a bit harsh.
卵黄は もともと おいしいものだし それに栄養もたっぷりだし,Egg yolk is tasty to start with and is also full of nutrition.
ただ 卵の黄身を そのまま出して お金を頂くことは できないでしょうね,But we can't serve egg yolk as it is and expect people to pay for it.
いくら“ぼったくり”って 名前の店でも そいつは勘弁してもらいてえな フフフッ,"Even though this place is named Bottakuri, that would be too much of a rip-off."
なるほどねえ,I see.
もともと おいしいものを 手を加えて違った味わいにする,"You take something that's already tasty, and refine it to make a different flavor."
それで 客に出せる料理にもなると,Then it will become a dish you can serve to your customers.
確かに,That's true.
今の若いやつ 育てるってのは そういうことかもしれねえな,The same may be true when it comes to teaching young people today.
うまいみそ漬けにするために 時間をかけて見守って,"To make a tasty misozuke you need to take your time and watch over it,"
みそ床まで 気を使ってってことだよな,"I mean, you've got to be careful, right down to the miso floor."
あんた方 親方連中が いいみそ床なら 黄身も おいしく仕上がるだろうさ はあ？,If you are a good miso bed as a boss the egg yolk will turn out delicious.
塩気がないと つまらなくなるし ききすぎてても しょっぱくて食べられなくなる,You need salt to taste good but too much will make it too salty to eat.
親方さんたちも大変ねえ,Being a boss sure is difficult!
まっ 鍛えるのは 黄身が固まってからってことな,So I need to wait to temper them until the yolk thickens.
うっかり黄身を潰して― みそ床まで 台なしにしねえようにしねえとな,I should be careful not to break the yolk so I don't ruin the miso bed either.
おい おいおい みそ漬けじゃないってば,"Ume, they are not misozuke."
あっと ごめんなさい 間違えた,"Oh, so sorry! My mistake."
みそ漬けじゃなくて 立派な職人さんだ,Not misozuke but a fine workman.
今日のおすすめは…,What's today's special?
ワカサギのフライなんて どうですか？ 日本酒にもね 合うと思いますよ,How about deep-fried pond smelt? It will go well with sake.
じゃあ これ頼む,I'll have that.
この店の店主だった父は よく言っていた,My father who used to own this pub would often say…
誰でも買えるような酒とか どこの家庭でも 出てくるような料理で,"We serve food that can be found in any household,"
金取ってる うちの店は もう それだけでぼったくりなんだ,"and that in itself makes us a rip-off, a bottakuri."
でもな 美音 たとえ ありきたりの料理でもな,"But Mine, even though they may be common recipes,"
一つ一つ丁寧に心込めて作んだ,cook every single dish with all your heart.
料理食べた人が 思わず笑み浮かべるような一皿,A dish that unexpectedly brings smiles to people's faces…
それができて初めて,"Once you can make that,"
払った金 惜しくねえって 客が思ってくれるようになんだ,our customers will not regret the money they spend.
でも まだ父さんは そこまでじゃない,But I haven't reached that point yet.
だから この店の名前は “ぼったくり”でいいんだよ,That's why Bottakuri is the right name for this place.
お待ちどおさま,Here you are.
ありがと,Thank you.
すごい すごい,Here. Amazing.
いただきます,Let's eat. Looks good.
いいね 最高,This tastes marvelous.
うめえよ 美音坊,"It's delicious, Mine-bo."
次は馨が 作りますから,Kaoru's making it next time.
えっ 作んない 作んない,"No, I won't."
何でよ 食べてるでしょ やらない やらない,But you've tasted it. -No way.
じゃあな ごちそうさん,"Thank you, see ya."
ありがとう ございました,Thank you.
お気をつけて はい,Take care. Will do.
物騒な名前の このお店には うまい酒とおいしい料理,"This place with the unsettling name has good drinks and good food,"
そして 今時 珍しい 義理人情がある,as well as a warmth and dedication that's hard to come by nowadays.
こよいのお酒は,Tonight's liquor.
ふくよかなうまみが 楽しめるお酒です,It's a sake with well-rounded umami.
しっかりとした うまみのある 肴と合わせると 相互のうまみが 溶け合って,"When combined with a firm umami side dish, the mutual umami melds together."
おいしいハーモニーが 楽しめますよ,You'll enjoy the delicious harmony.
本日の ワンポイントアドバイスは “卵黄のみそ漬け,Today's piece of advice is.. egg yolk misozuke.
調味料を入れたみそ床に ガーゼを引きます,Lay out a bed of seasoned miso and place a cheesecloth on top of it.
スプーンの背で くぼみをつけます,Make indentions with the back of a spoon.
そこに 取り分けた卵黄を,"Then take your separated egg yolks,"
潰さないように そっと置きます,and gently place them in the indentations so they will not break.
ガーゼに塗ったみそ床で 蓋をすれば… 出来上がり,"Place a cheesecloth with miso on top, cover it all with a lid and you're done!"
翌日から楽しめますよ お好みの漬かり具合を お楽しみください,"You can enjoy it from the next day, but try your preferred length of curing."
あなたも これで ぼったくり,"With this, you too can be a rip-off."
ニンジンの 葉っぱ 食べさせて,Let me have carrot leaves next time.
何の料理 作んの？,What are you making?
燗上がりって こういうことを言うのか,So this is what heating sake does..
