Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
この梅干し これを崩して,And then we take these dried plums and we break them up.,,,,,,,,,,,,,,,,,,,,,,
こういった スプーンなどで ちょっと つぶして…,"And crush it a little bit with a spoon, like this.",,,,,,,,,,,,,,,,,,,,,,
これでね タレが できちゃうんです,And then you can make the sauce.,,,,,,,,,,,,,,,,,,,,,,
こんなのも用意します,We also prepare this.,,,,,,,,,,,,,,,,,,,,,,
プチトマト あと きゅうりね,Cherry tomatoes and cucumber.,,,,,,,,,,,,,,,,,,,,,,
きゅうりは 乱切りにします,Cut the cucumber into pieces.,,,,,,,,,,,,,,,,,,,,,,
そして…,And...,,,,,,,,,,,,,,,,,,,,,,
そして 鶏もも肉を 食べやすい大きさに カット,And cut the chicken thighs into bite-size pieces.,,,,,,,,,,,,,,,,,,,,,,
こう ランダムに,"Randomly, like this.",,,,,,,,,,,,,,,,,,,,,,
刺していきましょう,Let's stick it in.,,,,,,,,,,,,,,,,,,,,,,
さあ 見てください,"Now, look at this.",,,,,,,,,,,,,,,,,,,,,,
最後に 梅肉ソースを添えれば出来上がり！,"And finally, we'll serve it with plum sauce.",,,,,,,,,,,,,,,,,,,,,,
さあ 今日は これで決まり！,That's it for today!,,,,,,,,,,,,,,,,,,,,,,
冷やしやきとり風です！,Chilled Yakitori-style!,,,,,,,,,,,,,,,,,,,,,,
 焼かずに煮ることで しっとり 柔らかく仕上げた, Yakitori-style!,,,,,,,,,,,,,,,,,,,,,,
やきとり風の 冷製おつまみ,Yakitori-style cold snacks!,,,,,,,,,,,,,,,,,,,,,,
もこみち君 出来栄えは いかが？,"How's it coming, Mr. Mokomichi?",,,,,,,,,,,,,,,,,,,,,,
アア…,Oh...,,,,,,,,,,,,,,,,,,,,,,
この梅肉のタレがいいですね,I love the plum sauce.,,,,,,,,,,,,,,,,,,,,,,
すごく おいしい,It's so good!,,,,,,,,,,,,,,,,,,,,,,
これ 会話も 弾むんじゃないですか？,"It's a conversation starter, right?",,,,,,,,,,,,,,,,,,,,,,
ジッピーさん 是非 作ってみてください,"Zippy, please try it.",,,,,,,,,,,,,,,,,,,,,,
そして 誘ってください,And please ask her out.,,,,,,,,,,,,,,,,,,,,,,
めぐやんさんからです,It's from Meguyan.,,,,,,,,,,,,,,,,,,,,,,
ありがとうございます,Thank you.,,,,,,,,,,,,,,,,,,,,,,
そしたら 七夕にピッタリな 華やかな そうめんを 作りたいと思います,"Then I'll make gorgeous somen noodles, perfect for Tanabata.",,,,,,,,,,,,,,,,,,,,,,
早速 作っていきましょう,Let's start cooking,,,,,,,,,,,,,,,,,,,,,,
 鍋に 水 しょうゆ," In a pot, add water, soy sauce, mirin, bonito flakes.",,,,,,,,,,,,,,,,,,,,,,
みりん かつお節を加え ひと煮立ちさせます,"Add soy sauce, mirin, katsuobushi (dried bonito flakes), and bring to a boil.",,,,,,,,,,,,,,,,,,,,,,
めんつゆの作り方は 水４ しょうゆ１,"To make men-tsuyu, you need 4 parts water, 1 part soy sauce, 1 part mirin, 1 part bonito flakes.",,,,,,,,,,,,,,,,,,,,,,
みりん１ かつお節１ですね,"Mirin, 1 bonito flakes.",,,,,,,,,,,,,,,,,,,,,,
覚えといてください,Remember that.,,,,,,,,,,,,,,,,,,,,,,
ボウルに さらしをひいて つゆをこしたら,Put the soy sauce into a bowl and strain the soy sauce.,,,,,,,,,,,,,,,,,,,,,,
ラップをし 冷ましておきましょう,Cover with plastic wrap and let cool.,,,,,,,,,,,,,,,,,,,,,,
そして 溶き卵に塩を加え 薄焼き卵を作ります,Add salt to beaten egg and make thinly fried egg.,,,,,,,,,,,,,,,,,,,,,,
それを３枚重ねて 短冊切りに,Put 3 layers of egg and cut them into strips.,,,,,,,,,,,,,,,,,,,,,,
オクラは塩もみしたら サッと茹で,Boil okra with salt.,,,,,,,,,,,,,,,,,,,,,,
小口切りにしていきます,Cut it into small pieces.,,,,,,,,,,,,,,,,,,,,,,
にんじんは 型を使って 星形に くりぬきます,Hollow out the carrot into a star shape.,,,,,,,,,,,,,,,,,,,,,,
鍋の中に 入れていきましょう,Put them in the pot.,,,,,,,,,,,,,,,,,,,,,,
少し茹でます,Boil it a little.,,,,,,,,,,,,,,,,,,,,,,
さあ そしたら エビ,"Now then, the shrimp.",,,,,,,,,,,,,,,,,,,,,,
エビは 竹串で背わたを取り,Remove the back of the shrimp with a bamboo skewer.,,,,,,,,,,,,,,,,,,,,,,
鍋でサッと茹でたら…,"Boil it quickly in the pot, and then...",,,,,,,,,,,,,,,,,,,,,,
このお腹(なか)の部分に ちょっと こう 切り込みを入れます,Then we cut a little slit in the belly.,,,,,,,,,,,,,,,,,,,,,,
こうすることで 美しく 仕上がるのだとか,This is how they make it beautiful.,,,,,,,,,,,,,,,,,,,,,,
そうめん 糸を用意して 結んじゃいます,Prepare the somen threads and tie them together.,,,,,,,,,,,,,,,,,,,,,,
これをですね 茹でましょう,Let's boil it,,,,,,,,,,,,,,,,,,,,,,
今日 なんで 結んだかというと バラつかせたく なかったからです,The reason why I tied them today is because I didn't want them to fall apart.,,,,,,,,,,,,,,,,,,,,,,
束の状態で 飾りつけたいので,I wanted to decorate it as a bundle.,,,,,,,,,,,,,,,,,,,,,,
そして いよいよ盛りつけ,"And finally, we serve it!",,,,,,,,,,,,,,,,,,,,,,
刻んだ ねぎ オクラ 卵 みょうが,"Chopped green onion, okra, egg, myoga.",,,,,,,,,,,,,,,,,,,,,,
そして 反対側には,And on the other side...,,,,,,,,,,,,,,,,,,,,,,
にんじん エビ 氷を盛りつけます,"Carrots, shrimps and ice!",,,,,,,,,,,,,,,,,,,,,,
今日は これで決まり！,That's it for today!,,,,,,,,,,,,,,,,,,,,,,
七夕そうめんの 完成です！,Tanabata somen noodles are ready!,,,,,,,,,,,,,,,,,,,,,,
ご覧ください,Please take a look!,,,,,,,,,,,,,,,,,,,,,,
まるで 絵画のように 美しい七夕そうめん,Tanabata somen noodles are as beautiful as a painting.,,,,,,,,,,,,,,,,,,,,,,
もこみち君 出来栄えは いかが？,"Mr. Mokomichi, how is it?",,,,,,,,,,,,,,,,,,,,,,
あの… できましたが,Well... it's done.,,,,,,,,,,,,,,,,,,,,,,
どっから 食べたらいいのか 分かりません,But I don't know where to start.,,,,,,,,,,,,,,,,,,,,,,
いただきます,Let's eat.,,,,,,,,,,,,,,,,,,,,,,
ウ～ン…,Mmm...,,,,,,,,,,,,,,,,,,,,,,
でも こういう盛りつけだったら 子供から大人まで楽しめますよね,"But with this kind of arrangement, both children and adults can enjoy it.",,,,,,,,,,,,,,,,,,,,,,
めぐやんさんも 是非 試してみてください,"You should try it, too.",,,,,,,,,,,,,,,,,,,,,,
モコモコさんからです,This is from Fluff Fluff.,,,,,,,,,,,,,,,,,,,,,,
モコモコっと…,Fluffy...,,,,,,,,,,,,,,,,,,,,,,
今日は じゃ… 冷やごはんが 大変身する,"Today, let's try an idea that will transform cold rice.",,,,,,,,,,,,,,,,,,,,,,
アイデア料理で いきましょうか！,Let's start with an idea.,,,,,,,,,,,,,,,,,,,,,,
今日はフライパン,"Today, a frying pan.",,,,,,,,,,,,,,,,,,,,,,
ここに ごま油,"Here, sesame oil.",,,,,,,,,,,,,,,,,,,,,,
今日は こんな おいしそうな 豚バラを使います,Today we'll use this pork belly.,,,,,,,,,,,,,,,,,,,,,,
これをね 焼きますよ,We're going to cook it.,,,,,,,,,,,,,,,,,,,,,,
 豚バラ肉は 片面に 焼き色がついたら, Brown the pork belly on one side.,,,,,,,,,,,,,,,,,,,,,,
塩･こしょう にんにくの スライスを加え,"Add salt, pepper, and a slice of garlic.",,,,,,,,,,,,,,,,,,,,,,
こんがり焼いていきます,Grill it until golden brown.,,,,,,,,,,,,,,,,,,,,,,
これを焼いてる間に 長ねぎですね,"While it's baking, we'll cook the green onions.",,,,,,,,,,,,,,,,,,,,,,
この… 中にある この芯を 取り除きます,We're going to remove the core of the green onion.,,,,,,,,,,,,,,,,,,,,,,
長ねぎは 芯を取ったら 重ねて千切りに,"After removing the core, shred the green onion in layers.",,,,,,,,,,,,,,,,,,,,,,
これを白髪ねぎにしたいんですが こういう さらしを用意します,"We want to make shredded leeks, so we'll prepare this kind of sara-sara.",,,,,,,,,,,,,,,,,,,,,,
このねぎを さらしに載せて…,Put these leeks on the sashi...,,,,,,,,,,,,,,,,,,,,,,
てるてる坊主っぽいものを 作るというか…,And make something like a teru teru teru bozu...,,,,,,,,,,,,,,,,,,,,,,
こんな感じでやって…,Like this...,,,,,,,,,,,,,,,,,,,,,,
…で こうして 絞ってあげると,And squeeze them like this.,,,,,,,,,,,,,,,,,,,,,,
きれいに ふやけるんですよ,It will become soft and fluffy.,,,,,,,,,,,,,,,,,,,,,,
オオッ…,"Oh, wow...",,,,,,,,,,,,,,,,,,,,,,
そしたら あとは きゅうり,"And then, we'll cut the cucumber.",,,,,,,,,,,,,,,,,,,,,,
千切りします,Cut it into strips,,,,,,,,,,,,,,,,,,,,,,
これを冷水で洗うと…,Wash it in cold water...,,,,,,,,,,,,,,,,,,,,,,
そして 盛りつけ,And serve.,,,,,,,,,,,,,,,,,,,,,,
今回は 冷麺用の器を使い,"This time, use a bowl for cold noodles",,,,,,,,,,,,,,,,,,,,,,
冷やごはんの上に,On top of the cold rice,,,,,,,,,,,,,,,,,,,,,,
ひと口大に切った豚バラ,Pork belly cut into bite-sized pieces,,,,,,,,,,,,,,,,,,,,,,
きゅうり 白髪ねぎ キムチを載せ…,"Cucumber, green onion, kimuchi",,,,,,,,,,,,,,,,,,,,,,
白ごま 糸とうがらし 韓国のりをトッピング,"Topped with white sesame seeds, threads of chili pepper, and Korean seaweed.",,,,,,,,,,,,,,,,,,,,,,
さあ ここで出てくるのが,"Now, here's what's served",,,,,,,,,,,,,,,,,,,,,,
氷と 冷やした ほうじ茶です,Ice and chilled Houjicha tea,,,,,,,,,,,,,,,,,,,,,,
この氷を３つぐらい入れて…,Put about 3 ice cubes in the bowl...,,,,,,,,,,,,,,,,,,,,,,
ほうじ茶をかけて…,Pour some hojicha over it...,,,,,,,,,,,,,,,,,,,,,,
今日は これで決まり！,That's it for today!,,,,,,,,,,,,,,,,,,,,,,
冷麺風 冷やし茶漬けの完成です！,Cold noodle style chiyashi chazuke is ready!,,,,,,,,,,,,,,,,,,,,,,
豚バラと キムチ 韓国のりで,"Pork belly, kimchi, Korean seaweed.",,,,,,,,,,,,,,,,,,,,,,
冷麺風に仕上げた 冷やし茶漬け,Chilled chazuke with cold noodles,,,,,,,,,,,,,,,,,,,,,,
もこみち君 出来栄えは いかが？,"How's it coming, Mr. Mokomichi?",,,,,,,,,,,,,,,,,,,,,,
来た！,Here it comes!,,,,,,,,,,,,,,,,,,,,,,
今回 ほうじ茶を使ってんですけど ほうじ茶が意外と合うんですよ,"I used Houjicha (broiled green tea), but Houjicha goes surprisingly well with this.",,,,,,,,,,,,,,,,,,,,,,
あとは ミネラルウオーターや 煎茶を代わりに使ってもいいです,You can also use mineral water or sencha tea instead,,,,,,,,,,,,,,,,,,,,,,
マシソヨな１品なので 是非 作ってみてください,"It's a great dish, so please try it.",,,,,,,,,,,,,,,,,,,,,,
 もっちさんからです, It's from Mr. Mocchi.,,,,,,,,,,,,,,,,,,,,,,
そしたら 金メダリスト級の,Then you'll be a gold medalist.,,,,,,,,,,,,,,,,,,,,,,
シーザーサラダを 作ろうかなと思います,I'm thinking of making a Caesar salad.,,,,,,,,,,,,,,,,,,,,,,
まず クルトンを 作りたいんですが,"First, I'd like to make croutons.",,,,,,,,,,,,,,,,,,,,,,
こういうバゲットを 用意して…,I'll need a baguette like this.,,,,,,,,,,,,,,,,,,,,,,
バゲットは ３センチほどの厚さで 斜めに切っていきます,Cut the baguette into diagonal slices about 3 cm thick.,,,,,,,,,,,,,,,,,,,,,,
そしたら にんにく 香りを つけるわけなんですよ こうやって すって,"Then, we season it with garlic, like this.",,,,,,,,,,,,,,,,,,,,,,
それを オーブントースターへ およそ５分焼きます,And then we're going to put it in the toaster oven for about five minutes.,,,,,,,,,,,,,,,,,,,,,,
さあ そしたら むね肉,And then we're going to open up the meat.,,,,,,,,,,,,,,,,,,,,,,
こいつを 開いてあげましょう,Let's open him up.,,,,,,,,,,,,,,,,,,,,,,
塩･こしょうを振ったら,We're going to sprinkle some salt and pepper on it.,,,,,,,,,,,,,,,,,,,,,,
オリーブオイルと にんにくで 香りを出した フライパンへ,Then we're going to toss it in a frying pan with some olive oil and garlic.,,,,,,,,,,,,,,,,,,,,,,
皮目を強火で 揚げるように焼いたら,"Now, we're going to fry the skin on high heat.",,,,,,,,,,,,,,,,,,,,,,
反対側は 弱火で じっくり焼き上げます,"The other side, we'll cook it slowly over low heat.",,,,,,,,,,,,,,,,,,,,,,
そしたら,And then...,,,,,,,,,,,,,,,,,,,,,,
チコリをちぎって 入れていきましょう,Then tear up some chicory and put it in.,,,,,,,,,,,,,,,,,,,,,,
更に 食感がいい ロメインレタスと 薄く切った紫玉ねぎを,"Then add some romaine lettuce, which has a nice texture, and some purple onions, cut into thin strips.",,,,,,,,,,,,,,,,,,,,,,
サラダスピナーへ,Into the salad spinner.,,,,,,,,,,,,,,,,,,,,,,
オリーブオイルに フルーティーな 香りを出すための アップルビネガー,"Olive oil, apple vinegar for fruity flavor, and mustard.",,,,,,,,,,,,,,,,,,,,,,
そして 粒マスタード,And some mustard.,,,,,,,,,,,,,,,,,,,,,,
毎朝 食べるんですけど ヨーグルト,I eat it every morning with yogurt.,,,,,,,,,,,,,,,,,,,,,,
更に パルミジャーノチーズ,And some Parmigiano cheese.,,,,,,,,,,,,,,,,,,,,,,
すりおろした にんにく 塩･こしょうを加え 混ぜ合わせます,"Grated garlic, salt and pepper. Toss it all together.",,,,,,,,,,,,,,,,,,,,,,
そのお味は？,How does it taste?,,,,,,,,,,,,,,,,,,,,,,
ウン…,Mmmm...,,,,,,,,,,,,,,,,,,,,,,
でも これだけじゃないんです,But that's not all.,,,,,,,,,,,,,,,,,,,,,,
レモン 皮をすりましょう,Grate the lemon peel.,,,,,,,,,,,,,,,,,,,,,,
更に レモンをよ～く搾って…,Squeeze the lemon juice...,,,,,,,,,,,,,,,,,,,,,,
ここで 焼き上がった バゲットを取り出して…,"Now, take out the baguette...",,,,,,,,,,,,,,,,,,,,,,
もう 手で ちぎっちゃいましょう,Let's take the baguette and tear it by hand.,,,,,,,,,,,,,,,,,,,,,,
ちぎったバゲットは ボウルに入れ,Put the torn baguette in a bowl.,,,,,,,,,,,,,,,,,,,,,,
サラダと合わせ 盛りつけます,Put the torn baguette in a bowl and serve it with the salad.,,,,,,,,,,,,,,,,,,,,,,
そこへ 焼き上がった鶏肉を 載せれば出来上がり！,Then we put the grilled chicken on top and voila!,,,,,,,,,,,,,,,,,,,,,,
鶏のタンパク質と バゲットの炭水化物で,The protein from the chicken and the carbohydrates from the baguette make this a staple.,,,,,,,,,,,,,,,,,,,,,,
主食にもなる シーザーサラダ,Caesar Salad is also a staple food!,,,,,,,,,,,,,,,,,,,,,,
もこみち君 出来栄えは いかが？,"So, Mr. Mokomichi, how's it coming?",,,,,,,,,,,,,,,,,,,,,,
意外と あの… チキンを使われてる所が あんまりないと思うんですよ,"Surprisingly, I don't think there are many places that use chicken.",,,,,,,,,,,,,,,,,,,,,,
このアイデアが…,This idea...,,,,,,,,,,,,,,,,,,,,,,
ヘルシーかつ ガッツリ食べられる,Healthy and filling!,,,,,,,,,,,,,,,,,,,,,,
作ってみてください！,Try it!,,,,,,,,,,,,,,,,,,,,,,
丈太郎君 からでございます,From Jotaro.,,,,,,,,,,,,,,,,,,,,,,
今日は 夏にピッタリ！ 簡単 麺料理を 作っていきましょう,Perfect for summer! Let's make a simple noodle dish.,,,,,,,,,,,,,,,,,,,,,,
まずは だし汁に みりんと,"First, add mirin and soy sauce to the broth.",,,,,,,,,,,,,,,,,,,,,,
しょうゆを足して つゆを作ります,Add soy sauce and mirin to the broth.,,,,,,,,,,,,,,,,,,,,,,
オクラは 塩もみしてから茹で 冷水に さらして色止め,Boil okra with salt and soak in cold water to stop the color.,,,,,,,,,,,,,,,,,,,,,,
色が鮮やかになりました,The color is now bright.,,,,,,,,,,,,,,,,,,,,,,
小口切りに,Cut into small pieces.,,,,,,,,,,,,,,,,,,,,,,
そして みょうがと きゅうりは 千切りに,Cut myoga and cucumber into thin strips.,,,,,,,,,,,,,,,,,,,,,,
切った食材は バットに移しておきます,Put the chopped ingredients into a bowl.,,,,,,,,,,,,,,,,,,,,,,
今日は ちょっと納豆を 使いたいんですけど,I want to use natto today.,,,,,,,,,,,,,,,,,,,,,,
でも 女の子にモテたい 納豆は ちょっとって いう感じは,"But I want to be popular with the girls, so I don't really like natto.",,,,,,,,,,,,,,,,,,,,,,
ありますけど…,But...,,,,,,,,,,,,,,,,,,,,,,
納豆は みじん切りにした ねぎと しょうゆを加え よく混ぜ合わせます,Mix natto with chopped green onion and soy sauce.,,,,,,,,,,,,,,,,,,,,,,
そしたら 山芋を使います,Then use the yams.,,,,,,,,,,,,,,,,,,,,,,
刃の反対の部分で 外側の部分を 削り取ります,"With the other side of the blade, scrape off the outer part of the yam.",,,,,,,,,,,,,,,,,,,,,,
山芋も細かく刻み こちらもバットへ,Chop the yams finely and put them in a bowl.,,,,,,,,,,,,,,,,,,,,,,
いよいよ そばを茹でます,Now boil the buckwheat.,,,,,,,,,,,,,,,,,,,,,,
そばの場合は２回 中華麺も２回,"Twice for soba, twice for Chinese noodles.",,,,,,,,,,,,,,,,,,,,,,
そして うどんは３回です,"For udon noodles, three times.",,,,,,,,,,,,,,,,,,,,,,
覚えといてください,Remember that.,,,,,,,,,,,,,,,,,,,,,,
そして 茹で上がったら 冷水でしめ,"After boiling, put them in cold water.",,,,,,,,,,,,,,,,,,,,,,
手でクルッと巻いてから お皿へ盛りつけます,"Roll it up by hand, and put it on a plate.",,,,,,,,,,,,,,,,,,,,,,
こんな感じになります,It will look like this.,,,,,,,,,,,,,,,,,,,,,,
そこへ オクラ みょうが 山芋 きゅうり,"Okra, myoga, yam, cucumber, and finally natto.",,,,,,,,,,,,,,,,,,,,,,
そして 最後に 納豆を添えれば出来上がり！,"And finally, natto (natto is a fermented soybean paste).",,,,,,,,,,,,,,,,,,,,,,
食欲がなくても ツルッといける,"Even if you don't have an appetite, you can enjoy it!",,,,,,,,,,,,,,,,,,,,,,
栄養たっぷりの 冷たいネバそば,Nutritious cold soba noodles!,,,,,,,,,,,,,,,,,,,,,,
もこみち君 出来栄えは いかが？,"How is it, Mr. Mokomichi?",,,,,,,,,,,,,,,,,,,,,,
では いただきます,Let's eat!,,,,,,,,,,,,,,,,,,,,,,
このつゆをですね たっぷりかけて 混ぜて食べるんです,Pour a lot of this sauce over the soba and mix it in.,,,,,,,,,,,,,,,,,,,,,,
ネバネバしてたりとか コリコリしてたりシャキシャキとか いろんな食感が楽しめるんで,You can enjoy various textures.,,,,,,,,,,,,,,,,,,,,,,
これは女の子には モテるんじゃないでしょうか,I'm sure it's popular with the girls.,,,,,,,,,,,,,,,,,,,,,,
12歳 丈太郎君 勉強しましょう,"Jotaro, 12 years old. Let's study.",,,,,,,,,,,,,,,,,,,,,,
 ぱこちゃんからです, This is from Paco-chan.,,,,,,,,,,,,,,,,,,,,,,
ありがとうございます,Thank you.,,,,,,,,,,,,,,,,,,,,,,
まあ でも そしたら そのフレッシュな トマトを使った…,But then... using fresh tomatoes...,,,,,,,,,,,,,,,,,,,,,,
え～ 今日は そうですね,"Well... today, yes.",,,,,,,,,,,,,,,,,,,,,,
ちょっと オシャレなパスタ これで いきましょうか,Shall we go with a fancy pasta dish?,,,,,,,,,,,,,,,,,,,,,,
 トマトは まず 包丁で へたを取ったら," First, remove the stems with a knife.",,,,,,,,,,,,,,,,,,,,,,
表面に軽く 切れ目を入れ,Cut a slit on the surface.,,,,,,,,,,,,,,,,,,,,,,
それを熱湯の中へ,Put them in boiling water.,,,,,,,,,,,,,,,,,,,,,,
 熱湯に入れます, Put it in boiling water.,,,,,,,,,,,,,,,,,,,,,,
もう ちょっと 入れるだけでいいです,Just a little bit more.,,,,,,,,,,,,,,,,,,,,,,
サッと茹でたら トマトを 氷水にさらし,"After a quick boil, put the tomatoes in ice water.",,,,,,,,,,,,,,,,,,,,,,
切れ目から皮をむきます,Then peel the skin from the slit.,,,,,,,,,,,,,,,,,,,,,,
こいつを…,Here...,,,,,,,,,,,,,,,,,,,,,,
 皮をむいたトマトは クシ形にカット, Cut the peeled tomatoes into wedges.,,,,,,,,,,,,,,,,,,,,,,
ボウルへ移します,Put them in a bowl.,,,,,,,,,,,,,,,,,,,,,,
そこへ ブラックオリーブに マイクロトマト,Then we add the black olives and the micro-tomatoes.,,,,,,,,,,,,,,,,,,,,,,
彩りが 豊かになってきました,Now we have a lot of color.,,,,,,,,,,,,,,,,,,,,,,
今度はドレッシング作り,Now we make the dressing.,,,,,,,,,,,,,,,,,,,,,,
にんにくと 数種類のハーブに,Garlic and a few herbs.,,,,,,,,,,,,,,,,,,,,,,
塩･こしょうをして すり,Salt and pepper.,,,,,,,,,,,,,,,,,,,,,,
オリーブオイル,Olive oil and wine vinegar.,,,,,,,,,,,,,,,,,,,,,,
ワインビネガーなどを 加え よく混ぜます,"Olive oil, wine vinegar, etc., and mix well.",,,,,,,,,,,,,,,,,,,,,,
お味は いかが？,How does it taste?,,,,,,,,,,,,,,,,,,,,,,
出来上がった ドレッシングは,The dressing is then poured over the tomatoes.,,,,,,,,,,,,,,,,,,,,,,
トマトにかけ よく和(あ)えます,Pour over the tomatoes and mix well.,,,,,,,,,,,,,,,,,,,,,,
 …で ラップをし, Wrap it in plastic wrap.,,,,,,,,,,,,,,,,,,,,,,
これを冷蔵庫で少し,Put it in the refrigerator.,,,,,,,,,,,,,,,,,,,,,,
味がなじむように 冷やします,Let it cool for a little while so that the flavors can blend.,,,,,,,,,,,,,,,,,,,,,,
さあ 入れます,And now we put it in.,,,,,,,,,,,,,,,,,,,,,,
今日のパスタ 茹で時間は９分,Pasta is cooked for 9 minutes.,,,,,,,,,,,,,,,,,,,,,,
さあ パスタのほうは もういい感じなので…,"Now, the pasta is ready to go, so...",,,,,,,,,,,,,,,,,,,,,,
茹で上がったら いよいよ仕上げ！,"When it's done, it's time to finish it!",,,,,,,,,,,,,,,,,,,,,,
まず 冷蔵庫から ドレッシングで和えたトマトを 取り出します,"First, take out the tomatoes with the dressing from the fridge.",,,,,,,,,,,,,,,,,,,,,,
もういい感じですね,They're already looking good.,,,,,,,,,,,,,,,,,,,,,,
そこへ パルミジャーノチーズを 振りかけ,"Then, sprinkle some Parmigiano cheese on top.",,,,,,,,,,,,,,,,,,,,,,
茹で上がったパスタを ボウルへ,And then we put the cooked pasta in a bowl.,,,,,,,,,,,,,,,,,,,,,,
トマト ドレッシングと からめていきます,We're going to toss the pasta with the tomato dressing.,,,,,,,,,,,,,,,,,,,,,,
あとは盛りつけ,And then we're ready to serve.,,,,,,,,,,,,,,,,,,,,,,
まず チコリを お皿に敷き,"First, you put the chicory on a plate.",,,,,,,,,,,,,,,,,,,,,,
その上に からめた パスタを載せます,Then you put the pasta on top of the chicory.,,,,,,,,,,,,,,,,,,,,,,
ここがね 大事なんですよ,This is the important part.,,,,,,,,,,,,,,,,,,,,,,
まあ でも ちょっと…,"Well, it's a little bit...",,,,,,,,,,,,,,,,,,,,,,
更に カッテージチーズを 振りかけ…,Sprinkle some cottage cheese on top...,,,,,,,,,,,,,,,,,,,,,,
こしょうを皿の周りに かければ 今日は これで決まり！,"Sprinkle some pepper around the plate, and that's it for today!",,,,,,,,,,,,,,,,,,,,,,
