Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
常守(つねもり) 朱です どうぞ よろしく…,I'm Akane Tsunemori. Pleased to meet--,,,,,,,,,,,,,,,,,,,,,,
悪いが 刑事課の人手不足は 深刻でね,"Sorry, but the CID is very short on manpower.",,,,,,,,,,,,,,,,,,,,,,
新米扱いはしていられない,So I can't treat you like a newbie.,,,,,,,,,,,,,,,,,,,,,,
対象は 大倉(おおくら) 信夫(のぶお),Our target is Nobuo Okura.,,,,,,,,,,,,,,,,,,,,,,
街頭スキャナーで 色相チェックに 引っ掛かり,"A street scanner flagged him while doing a Hue Check,",,,,,,,,,,,,,,,,,,,,,,
セキュリティードローンが セラピーを要求したが拒絶して 逃亡,"so a Security Drone ordered him to receive therapy, but he refused and ran.",,,,,,,,,,,,,,,,,,,,,,
記録したサイコパスは フォレストグリーン,The Psycho-Pass it recorded for him was forest green.,,,,,,,,,,,,,,,,,,,,,,
高い攻撃性と強迫観念が 予想される,His aggression and compulsion are expected to be high.,,,,,,,,,,,,,,,,,,,,,,
そんなに 色相が濁るまで 治療を受けなかったなんて…,To think that he didn't receive treatment and let his Hue get so cloudy...,,,,,,,,,,,,,,,,,,,,,,
不適合薬物に 手を出した可能性もある,There's also a possibility that he used incompatible drugs.,,,,,,,,,,,,,,,,,,,,,,
何にせよ シビュラ判定を 待つまでもない 潜在犯だ,"In any case, he's a latent criminal, one far enough gone that we don't need to wait for Sibyl Judgment.",,,,,,,,,,,,,,,,,,,,,,
厄介なのは 大倉が逃げ込んだ― このブロックだ,The hassle is that the place Okura ran to... is this block.,,,,,,,,,,,,,,,,,,,,,,
廃棄区画で 中継器がないため,"Since this is an abolition block, there's no relay device,",,,,,,,,,,,,,,,,,,,,,,
ドローンが 進入できない,so Drones can't come in.,,,,,,,,,,,,,,,,,,,,,,
それと 逃亡の途中で 大倉は,In addition... I heard Okura abducted a passerby and is holding her hostage.,,,,,,,,,,,,,,,,,,,,,,
通行人を拉致して 人質にしているらしい,I heard Okura abducted a passerby and is holding her hostage.,,,,,,,,,,,,,,,,,,,,,,
人質が？,A hostage?!,,,,,,,,,,,,,,,,,,,,,,
目撃者の証言によれば 若い女性だそうだ,"According to a witness, it's a young woman.",,,,,,,,,,,,,,,,,,,,,,
身元の確認は まだ 取れていない,We still haven't been able to confirm her identity yet.,,,,,,,,,,,,,,,,,,,,,,
住民の退去は？,What about the residents' evacuation?,,,,,,,,,,,,,,,,,,,,,,
 登録上は 無人区画だが,"Records state that this is an uninhabited block,",,,,,,,,,,,,,,,,,,,,,,
おかげで 浮浪者の巣窟だ,"but because of that, it's become a den of homeless people.",,,,,,,,,,,,,,,,,,,,,,
覚悟しておけ,Be prepared.,,,,,,,,,,,,,,,,,,,,,,
護送車…,A prisoner transport vehicle...,,,,,,,,,,,,,,,,,,,,,,
これから 会う連中を― 同じ人間と思うな,Don't think that the guys you're about to meet are humans like us.,,,,,,,,,,,,,,,,,,,,,,
やつらは サイコパスの犯罪係数が 規定値を超えた 人格破綻者だ―,Their Psycho-Pass Crime Coefficients exceeded a specified value. They are people of disreputable character.,,,,,,,,,,,,,,,,,,,,,,
本来ならば 潜在犯として 隔離されるべきところを,"Normally, they would be completely isolated as latent criminals.",,,,,,,,,,,,,,,,,,,,,,
ただ一つ 許可された社会活動として,"However, they're allowed into the outside world",,,,,,,,,,,,,,,,,,,,,,
同じ犯罪者を 駆り立てる役目を与えられた,for the sole purpose of flushing out criminals just like themselves.,,,,,,,,,,,,,,,,,,,,,,
やつらは 猟犬― 獣を狩るための 獣だ,They're hunting dogs. They're beasts used to hunt beasts.,,,,,,,,,,,,,,,,,,,,,,
それが 執行官 君が 預かる部下たちだ,"They're what we call, ""Enforcers."" They'll be your subordinates.",,,,,,,,,,,,,,,,,,,,,,
そっちの かわい子ちゃんが 噂の新入りさんっすか？ ギノさん,"Is that cutie the newbie that people have been talking about, Gino?",,,,,,,,,,,,,,,,,,,,,,
常守 朱 監視官だ,This is Inspector Akane Tsunemori.,,,,,,,,,,,,,,,,,,,,,,
今日から 貴様らにとって ２人目の飼い主になる,"From today on, she's your second owner.",,,,,,,,,,,,,,,,,,,,,,
よ… よろしくお願いします！,P-Pleased to meet you!,,,,,,,,,,,,,,,,,,,,,,
全員 対象のデータには 目を通してあるな？,"You guys all looked through the target's data, right?",,,,,,,,,,,,,,,,,,,,,,
今から 袋のねずみを さらに 締めつぶす,We're gonna tighten the noose on the cornered rat.,,,,,,,,,,,,,,,,,,,,,,
二手に分かれて 順繰りに行く,We'll divide into two groups and take turns.,,,,,,,,,,,,,,,,,,,,,,
六合塚(くにづか)と縢は 俺と来い,"Kunizuka and Kagari, come with me.",,,,,,,,,,,,,,,,,,,,,,
あとの２人は…,The other two...,,,,,,,,,,,,,,,,,,,,,,
常守 監視官に 同伴しろ,accompany Inspector Tsunemori.,,,,,,,,,,,,,,,,,,,,,,
了解,Roger.,,,,,,,,,,,,,,,,,,,,,,
ええっ？ 俺は かわい子ちゃんと 一緒がいいっす！,What?! I wanna go with the cutie!,,,,,,,,,,,,,,,,,,,,,,
ゲッ… ツッコミなしとか マジ ありえねえ,"Geez, no comeback? Seriously, he's unbelievable.",,,,,,,,,,,,,,,,,,,,,,
スベってるのよ,"It wasn't funny, that's why.",,,,,,,,,,,,,,,,,,,,,,
まったね～！,Later!,,,,,,,,,,,,,,,,,,,,,,
えっと… あの どうすれば？,Well... um... What should I do?,,,,,,,,,,,,,,,,,,,,,,
あんたが 待機を命令してくれれば― それで 何の問題もないんだが,You could order us to stand by. We wouldn't have any problems with that.,,,,,,,,,,,,,,,,,,,,,,
給料泥棒は やめときな とっつあん,"You oughta earn your paycheck, pops.",,,,,,,,,,,,,,,,,,,,,,
まあ そう緊張しなさんな お嬢さん,"Well, don't get so nervous, young lady.",,,,,,,,,,,,,,,,,,,,,,
ドミネーターの扱いは 分かるよな？,"You know how to use a Dominator, right?",,,,,,,,,,,,,,,,,,,,,,
い… 一応 研修は…,"I-I did receive training on it, more or less...",,,,,,,,,,,,,,,,,,,,,,
こいつは 狙った相手の サイコパスを読み取る銃だ,This is a gun that reads the Psycho-Pass of the target you're aiming at.,,,,,,,,,,,,,,,,,,,,,,
相手が 潜在犯だった場合のみ セーフティーが 解除される,Its safety is released only when the target is a latent criminal.,,,,,,,,,,,,,,,,,,,,,,
全部 ドミネーターの 言いなりになって― 撃てと言われた相手を 撃ちゃいい,"You can just do what the Dominator tells you. If it says shoot, then just shoot.",,,,,,,,,,,,,,,,,,,,,,
撃てばいいって…,"""Just shoot""...?",,,,,,,,,,,,,,,,,,,,,,
基本モードなら パラライザーだ,"If it's set to basic mode, it'll use Paralyzer.",,,,,,,,,,,,,,,,,,,,,,
撃たれても 動けなくなるだけだから,"It'll only paralyze the target,",,,,,,,,,,,,,,,,,,,,,,
それで 身柄確保して 一件落着,so we'll take them into custody and that'll be case closed.,,,,,,,,,,,,,,,,,,,,,,
何 難しく考えることはない,"Well, you don't have to take it too seriously.",,,,,,,,,,,,,,,,,,,,,,
携帯型 心理診断,Dominator Portable Psychological Diagnosis and Suppression System,,,,,,,,,,,,,,,,,,,,,,
鎮圧執行システム･ドミネーター 起動しました,Dominator Portable Psychological Diagnosis and Suppression System has been activated.,,,,,,,,,,,,,,,,,,,,,,
ユーザー認証 常守 朱 監視官,"User authentication, Inspector Akane Tsunemori.",,,,,,,,,,,,,,,,,,,,,,
公安局刑事課 所属 使用許諾 確認,"Affiliation. Public Safety Bureau, Criminal Investigation Department. Dominator usage approval confirmed.",,,,,,,,,,,,,,,,,,,,,,
適正ユーザーです,You are a valid user.,,,,,,,,,,,,,,,,,,,,,,
あ～ それな 指向性音声だから― 握ってる あんたにしか 聞こえんよ,"Oh that... It's a directional voice, so only the person holding it can hear it.",,,,,,,,,,,,,,,,,,,,,,
気にするな 最初は 小うるさいだろうが,"Don't worry about it. It might be annoying at first, but you'll get used to it soon.",,,,,,,,,,,,,,,,,,,,,,
そのうち 慣れる,"It might be annoying at first, but you'll get used to it soon.",,,,,,,,,,,,,,,,,,,,,,
ブリーフィングは…,What about briefing...?,,,,,,,,,,,,,,,,,,,,,,
段取りの打ち合わせとか しないんでしょうか？,Aren't we going to have a meeting to discuss a plan?,,,,,,,,,,,,,,,,,,,,,,
俺たちが 獲物を狩り あんたが 見届ける それだけのことだ,We'll hunt the prey and you'll observe. That's all there is to it.,,,,,,,,,,,,,,,,,,,,,,
いや もうちょっと 具体的に…,"Um, a bit more in detail...",,,,,,,,,,,,,,,,,,,,,,
まあ 任せとけってことだ,"Well, he's saying, leave it to us.",,,,,,,,,,,,,,,,,,,,,,
俺たちも こう見えても 専門家だからな,"We may not look it, but we're experts, so...",,,,,,,,,,,,,,,,,,,,,,
俺たちには 俺たちの流儀がある,We have our own way of doing things.,,,,,,,,,,,,,,,,,,,,,,
だが その責任を負うのは 監視官である あんただ,"But the one who's responsible for our actions is you, the Inspector.",,,,,,,,,,,,,,,,,,,,,,
だから 俺のやり口が 気に入らないときは― そいつで 俺を撃て,"So when you don't like how I do things, shoot me with that.",,,,,,,,,,,,,,,,,,,,,,
なっ…,Wha...,,,,,,,,,,,,,,,,,,,,,,
俺たちも 対象と同じ 潜在犯だ,"We're latent criminals, too, just like the target.",,,,,,,,,,,,,,,,,,,,,,
ドミネーターは 作動する,"The Dominator will work on us, as well.",,,,,,,,,,,,,,,,,,,,,,
あ～ 紹介が遅れたな,"Oh, we haven't introduced ourselves yet.",,,,,,,,,,,,,,,,,,,,,,
あの とうへんぼくは 狡噛 慎也,That stubborn fool is Shinya Kogami.,,,,,,,,,,,,,,,,,,,,,,
でもって 俺は 征陸 智己(ともみ),"And, I'm Tomomi Masaoka.",,,,,,,,,,,,,,,,,,,,,,
よろしく頼むよ お嬢さん,"I look forward to working with you, young lady.",,,,,,,,,,,,,,,,,,,,,,
は… はあ…,Y-Yes...,,,,,,,,,,,,,,,,,,,,,,
さて じゃあ 行くかね,"Well then, shall we go?",,,,,,,,,,,,,,,,,,,,,,
俺はな 今日まで 誰よりも 真面目にやってきた,"Up until today, I've lived a more earnest life than anyone.",,,,,,,,,,,,,,,,,,,,,,
誰も怒らせないように 誰の迷惑にもならないように,"All my life, I've been walking on thin ice, trying my best",,,,,,,,,,,,,,,,,,,,,,
おびえて ビクビクしながら 精いっぱい やってきた,so that I wouldn't upset anyone or be a bother to anyone.,,,,,,,,,,,,,,,,,,,,,,
なのに たった１回 検知器に引っ掛かっただけで,"And yet, a detector finds a problem on me just once, and BOOM!",,,,,,,,,,,,,,,,,,,,,,
もう 犯罪者扱いだ,They already treat me like I'm a criminal.,,,,,,,,,,,,,,,,,,,,,,
もう おしまいだ こうなっちまったら 最後,"This is it for me. Now that it's come to this, it's all over.",,,,,,,,,,,,,,,,,,,,,,
就職も結婚も 望みなんか ありゃしねえ,"Employment, marriage... They're impossible now.",,,,,,,,,,,,,,,,,,,,,,
ヘッ ヘッ だったらいいさ！,"Well, fine then. I've restrained myself all this time.",,,,,,,,,,,,,,,,,,,,,,
これまで 我慢してきた分 好き放題にやってやる！,"Well, fine then. I've restrained myself all this time. So now, I'll just do whatever I want. I'll take whatever I want!",,,,,,,,,,,,,,,,,,,,,,
欲しい物は ぶん取る！,"So now, I'll just do whatever I want. I'll take whatever I want!",,,,,,,,,,,,,,,,,,,,,,
気に入らねえやつは ぶち殺す！,I'll kill anyone I don't like!,,,,,,,,,,,,,,,,,,,,,,
や… やめて…,P-Please don't.,,,,,,,,,,,,,,,,,,,,,,
あんたみてえな カワイイ女,I've always wanted...,,,,,,,,,,,,,,,,,,,,,,
一度でいいから 抱いてみたいと思ってたのさ,to have sex with a pretty woman like you at least once...,,,,,,,,,,,,,,,,,,,,,,
バーチャルじゃねえ 本物の肉の女をな,"with a real, flesh-and-blood woman, not a virtual one.",,,,,,,,,,,,,,,,,,,,,,
狡噛さん どこ 行っちゃったんでしょう？,I wonder where Mr. Kogami went.,,,,,,,,,,,,,,,,,,,,,,
 犯罪係数 アンダー60 ,Crime Coefficient is under 60.,,,,,,,,,,,,,,,,,,,,,,
執行対象ではありません,Not a target for enforcement action.,,,,,,,,,,,,,,,,,,,,,,
トリガーを ロックします,The trigger will be locked.,,,,,,,,,,,,,,,,,,,,,,
犯罪係数 オーバー120,Crime Coefficient is over 120.,,,,,,,,,,,,,,,,,,,,,,
刑事課登録 執行官 任意執行対象です,An Enforcer registered at the Criminal Investigation Department. He's an Enforce At Will target.,,,,,,,,,,,,,,,,,,,,,,
セーフティーを解除します,The safety will be released.,,,,,,,,,,,,,,,,,,,,,,
本当に 潜在犯なんだ この人も…,"So he really is a latent criminal, too...",,,,,,,,,,,,,,,,,,,,,,
あんなに 普通に しゃべってたのに,despite the fact that he sounded pretty normal.,,,,,,,,,,,,,,,,,,,,,,
お嬢ちゃんの噂は 聞いてるぜ,I've heard rumors about you.,,,,,,,,,,,,,,,,,,,,,,
訓練所じゃ 首席だったそうじゃないか,I hear that you were the top student at the training school.,,,,,,,,,,,,,,,,,,,,,,
ええ まあ…,"Well, kinda...",,,,,,,,,,,,,,,,,,,,,,
（征陸）老婆心で言っとくが,I'll give you a piece of friendly advice.,,,,,,,,,,,,,,,,,,,,,,
あそこで教わったことは 全部 忘れた方がいい,You should forget about everything you learned there.,,,,,,,,,,,,,,,,,,,,,,
現場じゃ 何の役にも立たんよ,None of that stuff is helpful when you actually work on a case.,,,,,,,,,,,,,,,,,,,,,,
理不尽だと思うかい？,You think that's unreasonable?,,,,,,,,,,,,,,,,,,,,,,
ところがな そもそも俺たちの仕事ってのは 理不尽の塊なんだ,"But you know, our work is made up of unreasonable things in the first place.",,,,,,,,,,,,,,,,,,,,,,
誰が 何を思い 何を願うのか,"What a person thinks, or what they wish for...",,,,,,,,,,,,,,,,,,,,,,
人の心の全てが 機械で 見通せる時代だってのに,"We live in a time where everything in a person's mind can be made transparent by machines,",,,,,,,,,,,,,,,,,,,,,,
それでも 誰かを 憎んだり だましたり 傷つけようとする連中が わんさと いる,"and yet, there are tons of people who'd detest, deceive or try to hurt others.",,,,,,,,,,,,,,,,,,,,,,
これが 理不尽じゃなくて 何なんだ？,"If that's not ""unreasonable,"" what else would you call it?",,,,,,,,,,,,,,,,,,,,,,
あんたが 教わってきた事柄は 全て 理詰めのセオリーだ,Everything you've been taught is based on theories and logic.,,,,,,,,,,,,,,,,,,,,,,
それが どれだけ無意味なもんか すぐに 思い知る羽目になるだろうさ,"Soon, you'll likely come to realize how pointless they are.",,,,,,,,,,,,,,,,,,,,,,
まあ 覚悟だけはしておくんだな,"Well, at least be prepared.",,,,,,,,,,,,,,,,,,,,,,
私は…,I...,,,,,,,,,,,,,,,,,,,,,,
こちら ハウンド４,This is Hound 4.,,,,,,,,,,,,,,,,,,,,,,
ＫＴ(ケーティー)ビル ４階で 対象を発見 どうします？,I found the target on the 4th floor of the KT Building. What are your orders?,,,,,,,,,,,,,,,,,,,,,,
よし そのまま 目を離すな,"Okay, stay there and keep an eye on him.",,,,,,,,,,,,,,,,,,,,,,
ハウンド２と俺が 包囲する,Hound 2 and I will box him in.,,,,,,,,,,,,,,,,,,,,,,
うん,Okay.,,,,,,,,,,,,,,,,,,,,,,
でも やっこさんのテンパり具合だと,"But considering how worked up he is,",,,,,,,,,,,,,,,,,,,,,,
人質の子が 限界っぽいっすよ？,the hostage girl may be at the end of her rope.,,,,,,,,,,,,,,,,,,,,,,
俺一人で 確保 行っちゃいます？,Shall I go in by myself and capture him?,,,,,,,,,,,,,,,,,,,,,,
よし しくじるなよ,Okay. Don't mess it up.,,,,,,,,,,,,,,,,,,,,,,
了解,Roger.,,,,,,,,,,,,,,,,,,,,,,
 犯罪係数 オーバー190 執行対象です,Crime Coefficient is over 190. Target for enforcement action.,,,,,,,,,,,,,,,,,,,,,,
おやおや 悪い子だ,"-The safety will be released. -My, my... What a bad boy.",,,,,,,,,,,,,,,,,,,,,,
縢 何をやっている！,Kagari! What're you doing?!,,,,,,,,,,,,,,,,,,,,,,
パラライザーが 効かねえ！,The Paralyzer isn't working!,,,,,,,,,,,,,,,,,,,,,,
野郎 興奮剤か何か キメてやがる！,He's on stimulants or something!,,,,,,,,,,,,,,,,,,,,,,
対象の脅威判定が 更新されました,Target Threat Judgment has been updated.,,,,,,,,,,,,,,,,,,,,,,
執行モード リーサル･エリミネーター,Enforcement mode is Lethal Eliminator.,,,,,,,,,,,,,,,,,,,,,,
くそっ！,Shit!,,,,,,,,,,,,,,,,,,,,,,
あちゃ～,Oh my...,,,,,,,,,,,,,,,,,,,,,,
こ… これって…,Th-This is...,,,,,,,,,,,,,,,,,,,,,,
シビュラシステムのご託宣だ,An Oracle by the Sibyl System.,,,,,,,,,,,,,,,,,,,,,,
大倉 信夫は もう この世に いらない人間なんだとさ,It says that Nobuo Okura is no longer someone who's needed in this world.,,,,,,,,,,,,,,,,,,,,,,
そんな… ただ 街頭スキャナーに 検知されただけなのに,Oh no... Just because he was detected by a street scanner...,,,,,,,,,,,,,,,,,,,,,,
自分で 自分を 追い込んじまったんだろうな,He probably drove himself into a corner.,,,,,,,,,,,,,,,,,,,,,,
いまさら セラピーも 何も 通用しない,"Nothing, including therapy, will work on him anymore.",,,,,,,,,,,,,,,,,,,,,,
更生の余地なし― そう 判定されちまったんだ,The judgment on him is that there's no room for rehabilitation.,,,,,,,,,,,,,,,,,,,,,,
初陣で 嫌な事件に 当たっちまったな お嬢ちゃん,"It's unfortunate that your first case is an unpleasant one, missy.",,,,,,,,,,,,,,,,,,,,,,
俺のサイコパス こんなに濁っちまってよ,My Psycho-Pass has become this cloudy.,,,,,,,,,,,,,,,,,,,,,,
もう 泥みてえじゃねえか,Now it looks like mud.,,,,,,,,,,,,,,,,,,,,,,
おい あんたのサイコパスも もう 俺のと そっくりじゃねえか,"Hey, your Psycho-Pass looks exactly like mine now.",,,,,,,,,,,,,,,,,,,,,,
てめえも 俺と同類だ やつらに捕まったら 終わりだ,"You and I are alike. If they catch you, it'll be all over for you, too.",,,,,,,,,,,,,,,,,,,,,,
死ぬまで 一生 潜在犯として 拷問され続けるんだぜ,You'll be tortured by them as a latent criminal for the rest of your life!,,,,,,,,,,,,,,,,,,,,,,
とっとと片付けないと 人質の娘が ヤバいことになる,We'd better hurry up and settle this or it'll be all over for the hostage girl.,,,,,,,,,,,,,,,,,,,,,,
サイコハザード… ですか？,Psycho-Hazard?,,,,,,,,,,,,,,,,,,,,,,
ああ 犯罪係数は 伝染するからな,Yeah. A Crime Coefficient can be contagious.,,,,,,,,,,,,,,,,,,,,,,
今どきの若いもんは ストレスに 耐性がないから,"Young people these days have no tolerance for stress,",,,,,,,,,,,,,,,,,,,,,,
暴力衝動や 強迫観念の影響を受けやすい,so they're easily affected by violent urges and compulsions.,,,,,,,,,,,,,,,,,,,,,,
私 そのテーマで 論文 書きました,I wrote a thesis on that topic.,,,,,,,,,,,,,,,,,,,,,,
言っとくが 明日は わが身だぞ お嬢ちゃん,"Let me tell you one thing, missy. It could happen to any of us.",,,,,,,,,,,,,,,,,,,,,,
そもそも 俺たちが― 何で 執行官なんぞに されたのかと…,The reason we were made Enforcers in the first place is...,,,,,,,,,,,,,,,,,,,,,,
止まれ！,Stop right there!,,,,,,,,,,,,,,,,,,,,,,
あっ… 来るな～！,Stay back!,,,,,,,,,,,,,,,,,,,,,,
銃を捨てろ！,Drop your guns!,,,,,,,,,,,,,,,,,,,,,,
下がれ！,Step back!,,,,,,,,,,,,,,,,,,,,,,
死ね！,Die!,,,,,,,,,,,,,,,,,,,,,,
あっ… なっ…！ 何だ こりゃ！,W-W-What the hell is this?!,,,,,,,,,,,,,,,,,,,,,,
ご愁傷さま,My deepest sympathies.,,,,,,,,,,,,,,,,,,,,,,
ハウンド３ 執行完了,This is Hound 3. Enforcement completed.,,,,,,,,,,,,,,,,,,,,,,
年寄りと新米を おとりにするとは,To think that you used an old man and a newbie as a decoy...,,,,,,,,,,,,,,,,,,,,,,
いい根性してんな ええ？ コウ,"You've sure got some big ones, don't you, Ko?",,,,,,,,,,,,,,,,,,,,,,
 給料分の仕事だろ とっつあん,"I was just earning my paycheck, pops.",,,,,,,,,,,,,,,,,,,,,,
公安局です もう 大丈夫 安心してください,We're with the Public Safety Bureau. You're safe now. Please rest at ease.,,,,,,,,,,,,,,,,,,,,,,
落ち着いて！ あなたを助けに来たのよ,Calm down! We came to rescue you!,,,,,,,,,,,,,,,,,,,,,,
嫌… やめて… やめて…,No... No... Don't... Don't...,,,,,,,,,,,,,,,,,,,,,,
征陸さん…,Mr. Masaoka...,,,,,,,,,,,,,,,,,,,,,,
お嬢ちゃん,Missy...,,,,,,,,,,,,,,,,,,,,,,
銃で 確かめてみろ,check her on your gun.,,,,,,,,,,,,,,,,,,,,,,
 犯罪係数 オーバー160 執行対象です,Crime Coefficient is over 160. Target for enforcement action.,,,,,,,,,,,,,,,,,,,,,,
まあ 仕方ないわな,"Well, I guess it can't be helped.",,,,,,,,,,,,,,,,,,,,,,
やめて～！,Stop it!,,,,,,,,,,,,,,,,,,,,,,
嫌っ！― 嫌～！,No! Nooooo!,,,,,,,,,,,,,,,,,,,,,,
何をする！,What're you doing?!,,,,,,,,,,,,,,,,,,,,,,
あの人は 保護対象です！,She's a person to be protected!,,,,,,,,,,,,,,,,,,,,,,
そのための パラライザーだろうが！,That's exactly why Paralyzer exists!,,,,,,,,,,,,,,,,,,,,,,
今すぐ 眠らせて 確保するんだ！,We'll put her to sleep right away and take her into custody!,,,,,,,,,,,,,,,,,,,,,,
彼女は 混乱してるだけです！ そんな乱暴なことしなくても！,She's just confused! You don't have to use violence on her!,,,,,,,,,,,,,,,,,,,,,,
いいか？ ドミネーターは シビュラの目だ,Listen. Dominators are Sibyl's eyes.,,,,,,,,,,,,,,,,,,,,,,
この街のシステム そのものが 彼女を 脅威と判断したんだ,This town's system itself has decided that she's a threat!,,,,,,,,,,,,,,,,,,,,,,
その意味を考えろ！,Think about what that means!,,,,,,,,,,,,,,,,,,,,,,
だからって！,So you'd shoot a victim who hasn't committed a crime yet?!,,,,,,,,,,,,,,,,,,,,,,
何もしてない被害者を撃つなんて そんなの納得できません！,So you'd shoot a victim who hasn't committed a crime yet?! I can't accept that!,,,,,,,,,,,,,,,,,,,,,,
来ないで… もう 近寄らないで…,Stay away... Don't come any closer.,,,,,,,,,,,,,,,,,,,,,,
もう やめて…,Stop it already...,,,,,,,,,,,,,,,,,,,,,,
あっ！ もう… もう… もう 来んなよ！,I-I said stay away!,,,,,,,,,,,,,,,,,,,,,,
狡噛さん…,Mr. Kogami...!,,,,,,,,,,,,,,,,,,,,,,
やめてください,Please don't.,,,,,,,,,,,,,,,,,,,,,,
お願いです,Please...!,,,,,,,,,,,,,,,,,,,,,,
彼女は 被害者で…,She's the victim here and...,,,,,,,,,,,,,,,,,,,,,,
対象の脅威判定が 更新されました,Target Threat Judgment has been updated.,,,,,,,,,,,,,,,,,,,,,,
執行モード リーサル･エリミネーター ,Enforcement mode is Lethal Eliminator.,,,,,,,,,,,,,,,,,,,,,,
慎重に 照準を定め 対象を排除してください,Aim carefully and eliminate the target.,,,,,,,,,,,,,,,,,,,,,,
そんな…,No...,,,,,,,,,,,,,,,,,,,,,,
やめて～！,Don't!,,,,,,,,,,,,,,,,,,,,,,
もう やめて そのライターを捨てて,Stop it now. Throw that lighter away.,,,,,,,,,,,,,,,,,,,,,,
でないと… この銃が あなたを殺しちゃう,Or... this gun will kill you.,,,,,,,,,,,,,,,,,,,,,,
お願い あなたを助けたいの！,Please...! I wanna help you!,,,,,,,,,,,,,,,,,,,,,,
だから ライターを捨てて,So throw that lighter away.,,,,,,,,,,,,,,,,,,,,,,
対象の脅威判定が 更新されました,Target Threat Judgment has been updated.,,,,,,,,,,,,,,,,,,,,,,
執行モード ノンリーサル･パラライザー,Enforcement mode is Non-Lethal Paralyzer.,,,,,,,,,,,,,,,,,,,,,,
落ち着いて 照準を定め 対象を制圧してください,Aim calmly and bring the target under control.,,,,,,,,,,,,,,,,,,,,,,
常守 監視官 君の状況判断については,Inspector Tsunemori. I'll expect you to thoroughly explain your handling of this situation in the report.,,,,,,,,,,,,,,,,,,,,,,
報告書で きっちりと説明してもらう,I'll expect you to thoroughly explain your handling of this situation in the report.,,,,,,,,,,,,,,,,,,,,,,
こりゃ… とんでもない新人が 来ちまったもんだな,This newbie we got sure is a piece of work...,,,,,,,,,,,,,,,,,,,,,,
