Sentence,Translation,Verb,Reading,Meaning
寮に戻ってきて,Back at the dorms,戻ってきて,もどってきて,come back here
練習にも行かないで,Don't even go to practice,行かないで,いかないで,without going
何も残っていないことに気がつきました,I realized there was nothing left,気がつく,きがつく,"to notice, realize, become aware of"
自分が出来ないかもしれないな,I might not be able to do it myself,出来ない,できない,not be able to
製造の現場の方に入りました,I went into the production floor,入る,はいる,"enter, come in, get in, join, be brought in"
体温を外の気温を同じくらいまで下げる,Lower body temperature to same level as the outside,下げる,さげる,"to hang, suspend, wear, lower, reduce"
冬眠から目覚めると,When you wake up from hibernation,目覚めると,めざめると,when wake up
心臓の心拍をきちんと保っています,Keeps the heart beating properly,保っています,たもっています,"keep, preserve, hold, maintain, sustain"
この仕組みが解明されれば,Once this mechanism is understood,解明されれば,かいめいされれば,"once figured out, once understood"
病気の予防への応用が期待されています,Potential applications in disease prevention,期待されています,きたいされています,expected to
冬眠に適応できるようにはなっていないのです,They are not adapted for hibernation,適応できる,てきおうできる,"adaptable, able to adapt, able to conform"
魚が真っ黒に焦げてしまった,The fish was burnt black,焦げる,こげる,"to burn, be burned"
彼の腕を捻った,I twisted his arm,捻る,ひねる,"to twist, turn, bend, work out"
到着が遅れても構わない,I don't care if I arrive late,構う,かまう,"to mind, care about, look after"
食事をしながらゆっくり喋た,We talked slowly over dinner,喋る,しゃべる,"to talk, chat"
彼は１時間で追いつくだろう,He'll catch up in an hour,追いつく,おいつく,"catch up, draw level, pull even"
想定外を追いかけるのが楽しい,Enjoy chasing the unexpected,追いかける,おいかける,"to chase, run after, pursue"
車は一気にスピードを上げてトラックを追い越した,The car sped up at once and passed the truck,追い越す,おいこす,"to pass, overtake, surpass, outstrip"
多くのランナーズを追い抜く,Overtaking many runners,追い抜く,おいぬく,"to pass, overtake, surpass, outstrip"
台所からその猫を追い出してくれ,Chase the cat out of the kitchen,追い出す,おいだす,"to expel, drive out"
牛を囲いに追い込んだ,They drove the cattle into an enclosure,追い込む,おいこむ,"to herd, drive, corner, chase, corral"
生産性の向上を積極的に追求する,Aggressively pursue productivity gains,追求する,ついきゅうする,"pursuit, seek, search"
世界中でそうした追試をしています,Conducting such follow-up tests all over the world,追試する,ついしする,"replicate, reproduce, verify, make up"
事故の原因を徹底的に調べる,Thoroughly investigate the cause of the accident,調べる,しらべる,"examine, look up, investigate"
僕らがカニを噛むんじゃないよ,We don't bite the crabs,噛む,かむ,"bite, chew, gnaw"
雪の重みで屋根が崩れた,The roof collapsed under the weight of the snow,崩れる,くずれる,"to collapse, crumble, break down, out of shape"
ボタンが一つ外れているよ,One of the buttons is off,外れる,はずれる,"be disconnected, get out of place, be off"
彼のネクタイがほどけた,His tie was undone,解ける,ほどける,"to come untied, come apart"
誰もその問題を解けなかった,No one could solve that problem,解ける,とける,"to be solved, loosen, come untied,  be removed"
毎日バスで学校に通っています,I take the bus to school every day,通う,かよう,"go to, attend, commute, go back and forth"
塾の先生と付き合っている,I'm dating a teacher at a private school,付き合う,つきあう,"associate with, go out with, go steady with, dating"
卵が皆腐ってしまった,All the eggs have gone bad,腐る,くさる,"rot, go bad, decay, decompose, corrode, depraved"
彼女は宝石で身を飾っていた,She adorned herself with jewelry,飾る,かざる,"decorate, ornament, display, exhibit, mark"
彼は全部煉瓦を崩してしまう,He's going to break all the bricks,崩す,くずす,"destroy, tear down, disturb, break, make at ease"
洗たく物を干す,Dry the laundry,干す,ほす,"to air, dry, desiccate"
難局に処する,Deal with a difficult situation,処する,しょする,"to manage, deal with, cope with, punish"
野原を駆ける子どもが出ていたりします,There are children running in the fields,駆ける,かける,"to run, dash, race, advance"
彼女は助けを求めて私の家に駆け込んで来た,She came running into my house looking for help,駆け込む,かけこむ,"to run into, rush into"
子供たちは一斉に校庭へ駆け出していった,The kids ran out into the schoolyard en masse,駆け出す,かけだす,"to run off, break into a run, start running"
人ごみの中を駆け抜けた,I ran through the crowd,駆け抜ける,かけぬける,"to run through, sweep through run past"
投機の資金は世界の市場を駆け巡る,Speculation money travels around the world's markets,駆け巡る,かけめぐる,"to run about, rush about"
課題を抱えるお客様にどのような提案をしますか,What do you propose to customers facing challenges,抱える,かかえる,"to hold in one's arms, have, take on, employ"
彼は彼女をしっかりと抱いた,He held her tightly,抱く,いだく,"to hold in one's arms, embrace, hug, have, hold, harbour"
赤ん坊を胸に抱く,Have a baby in one's arms,抱く,だく,"to hold in one's arms, embrace, hug, sleep with"
増資額を30パーセントに抑えた,The capital increase was limited to 30 percent,抑える,おさえる,"to keep within limits, restrain, hold, control, contain"
はしごを押さえていてくれ,Hold the ladder,押さえる,おさえる,"to pin down, hold down, hold in place, cover, get a hold of"
治療の期間で活動に従事を控える必要があります,Must refrain from engaging in any activity in the period of treatment,控える,ひかえる,"to be temperate in, refrain, abstain, hold back, wait for"
今後こんなことのないよう慎みます,I will refrain from doing so in the future,慎む,つつしむ,"to be careful, be discreet, do in moderation, refrain"
彼は彼女の所に駆け寄った,He ran up to her place,駆け寄る,かけよる,"to run up to, rush over"
ポケットが弾けそうだ,My pockets are about to pop,弾ける,はじける,"to burst open, split open, pop, bursting with"
それはまさに砂の城が一気に崩れ落ちるような経験だった,It was truly an experience like a sandcastle crumbling all at once,崩れ落ちる,くずれおちる,to crumble down
彼は前言を取り消した,He rescinded his previous statement,取り消す,とりけす,"to cancel, withdraw, retract"
地面が揺れ始めた,The ground began to shake.,,,
地震で建物が揺れた,The buildings shook from the earthquake.,,,
車はがたがた揺れた,Cars rattled.,,,
頭の上の天井が揺れた,The ceiling above my head shook.,,,
船は嵐で左右に揺れた,The ship swayed from side to side due to the storm.,,,
床が揺れるのを感じた,I felt the floor shake.,,,
船は強い風を受けて揺れた,The ship shook because of the strong wind.,,,
昨夜の地震はかなり揺れたね,The earthquake last night was quite shaking.,,,
家が揺れている感じがしませんか,Do you feel the house shaking?,,,
ただ今気流の関係で揺れております,It is shaking just now due to air currents.,,,
乱気流のために飛行機が揺れた,The plane shook because of turbulence.,,,
勘定を頼むよ,"Can you take care of the bill, please?",,,
先生に頼もう,I'll ask the doctor.,,,
何か頼んだの,Did you order anything?,,,
魚は頼んでない,I didn't order any fish.,,,
口添えを頼むよ,I'm asking you to put in a good word for me.,,,
彼は金をくれと頼んだ,He asked for money.,,,
彼に頼むつもりはない,I'm not going to ask him.,,,
彼は食物をくれと頼んだ,He asked for food.,,,
彼はビールを一杯頼んだ,He asked for a beer.,,,
彼は私に助けてと頼んだ,He asked me to help him.,,,
禁煙席を頼んだのですが,I asked for a non-smoking seat.,,,
喫煙席を頼んだのですが,I asked for a smoking seat.,,,
我々は彼に演説を頼んだ,We asked him to give a speech.,,,
彼に頼む気はありません,I am not going to ask him.,,,
もっとお酒を頼まないか,Why don't you ask for more drinks?,,,
彼らに車の修理を頼みました,We asked them to fix our car.,,,
彼は規則の改正を唱えている,He advocated amending the rules.,,,
彼はその決定に不服を唱えた,He disagreed with the decision.,,,
早く起きろ,Get up quickly.,,,
何が起きたの,What happened?,,,
起きる時間だ,It's time to get up.,,,
まだ起きてる,Are you still awake?,,,
起きたばっかり,Did you just wake up?,,,
何時に起きてるの,What time are you up?,,,
次々に事件が起きた,Incidents happened one after another.,,,
事故は突然に起きた,Accidents happened suddenly.,,,
今朝は何時に起きた,What time did you get up this morning?,,,
起きるには早過ぎる,Too early to get up.,,,
私は大抵朝早く起きる,I usually get up early in the morning.,,,
暑さには慣れてるわ,I'm used to the heat.,,,
寮生活には慣れましたか,Have you gotten used to living in a dormitory?,,,
その子供は環境に慣れた,The child is accustomed to her surroundings.,,,
彼女は一人暮らしに慣れている,She is used to living alone.,,,
当地の人々は寒さに慣れている,Our people are accustomed to the cold.,,,
人前で話すことに慣れていないの,She is not accustomed to public speaking.,,,
あなたはすぐ日本食に慣れますよ,You will soon get used to Japanese food.,,,
一人で食事するのには慣れている,She is used to eating alone.,,,
食べ終えなさい,Finish your meal.,,,
もう終えましたか,Have you finished?,,,
宿題を終えましたか,Have you finished your homework?,,,
仕事を終えましたか,Have you finished your work?,,,
今それを終えたとこ,I just finished it.,,,
やっと絵を描き終えた,I finally finished my painting.,,,
夕食前に仕事を終えた,I finished my work before dinner.,,,
手を洗い終えましたか,Did you finish washing your hands?,,,
彼女は手紙を読み終えた,She finished reading the letter.,,,
彼はすぐに雑用を終えた,He finished his chores quickly.,,,
彼は書類の分類を終えた,He finished sorting the papers.,,,
彼は３月に学校を終えた,He finished school in March.,,,
私は急いで昼食を終えた,I finished lunch in a hurry.,,,
君はそれを終えましたか,Did you finish it?,,,
日にちを選んで,Pick a date.,,,
好きなの選んで,Pick any one you like.,,,
どっちか選んで,Pick one.,,,
数字を一つ選んで,Pick a number.,,,
ゆっくり選んでね,Take your time.,,,
彼は市長に選ばれた,He was elected mayor.,,,
彼は議長に選ばれた,He was elected chairman.,,,
どの方法を選んだの,Which way did you choose?,,,
どの方向を選んだの,Which direction did you choose?,,,
目的は手段を選ばない,The ends justify the means.,,,
本は慎重に選びなさい,Choose your books carefully.,,,
趣味は異なる,Our hobbies are different.,,,
僕の考えは君と異なる,My ideas differ from yours.,,,
人によって意見が異なる,Different people have different opinions.,,,
国によって習慣は異なる,Customs differ from country to country.,,,
人々は非常に人生観が異なる,People have very different views of life.,,,
最終案は原案と大きく異なる,The final draft is very different from the original.,,,
犬はその特性が猫とは異なる,Dogs have different characteristics from cats.,,,
ロンドンは気候が東京と異なる,London has a different climate from Tokyo.,,,
彼は異なった考え方を拒まなかった,He did not reject different ideas.,,,
科学技術は異なる文化を作り出した,Science and technology have created different cultures.,,,
この点に関しては意見が異なっている,We disagree on this point.,,,
彼女が一家を支えている,She is supporting the family.,,,
この柱では屋根を支えきれない,These pillars cannot support the roof.,,,
この橋を支えるには重い柱が必要だ,We need heavy pillars to support this bridge.,,,
その子は頭痛を訴えた,The child complained of a headache.,,,
私たちは支援を訴えた,We appealed for support.,,,
心からお礼申し上げます,We thank you from the bottom of our hearts.,,,
お悔み申し上げます,We express our condolences.,,,
深くご同情申し上げます,We express our deepest sympathy.,,,
決算報告を申し上げます,We report our financial results.,,,
皆様にご連絡申し上げます,We would like to contact you.,,,
重ねてお詫び申し上げます,Our sincere apologies.,,,
ご成功をお祝い申し上げます,Congratulations on your success.,,,
彼女は紅茶にレモンを絞った,She squeezed lemon into her tea.,,,
知恵を絞ってこれを書いた,I wrote this with all my wits.,,,
彼は三等賞を得た,He won the third prize.,,,
仕事に自信を得た,He gained confidence in his work.,,,
彼はよい地位を得た,He got a good position.,,,
無料でそれが得られる,He got it for free.,,,
彼らは大きな富を得た,They got great wealth.,,,
彼は彼女の愛情を得た,He gained her affection.,,,
私は帰宅の許可を得た,I have permission to go home.,,,
彼は幾つ情報を得ましたか,How much information did he get?,,,
彼女は車を使う許可を得た,She got permission to use the car.,,,
あの電線に触れると感電するよ,You will get an electric shock if you touch those wires.,,,
食べ物に触れる前に手を洗いなさい,Wash your hands before touching food.,,,
彼女は何かが首に触れるのを感じた,She felt something touch her neck.,,,
ボタンに触れるな,Don't touch the buttons!,,,
花に触れないで下さい,Don't touch the flowers.,,,
何かが足に触れるのを感じた,She felt something touch her leg.,,,
それには触れるな,Don't touch it.,,,
彼は足で水に触れてみた,He touched the water with his foot.,,,
花は触らないで,Don't touch the flower.,,,
触ってもいいですか,Can I touch it?,,,
それは触ると柔らかい,It is soft to the touch.,,,
その電線に触るとしびれるよ,Touch that wire and it will go numb.,,,
私たちは夕食に６人の客を迎えました,We had six guests for dinner.,,,
明日の晩五人のお客を迎えることになっている,We will have five guests tomorrow night.,,,
６時にホテルに車で迎えて下さい,Please drive to the hotel at 6:00 to pick them up.,,,
天候のいかんにかかわらず駅へ迎えに参ります,We will pick you up at the train station regardless of the weather.,,,
誰かお宅へ車で迎えに行くよう手配しておきましょうか,Shall I arrange for someone to drive to your house to pick them up?,,,
正午に車で迎えに行くよ,I will pick you up by car at noon.,,,
同僚たちは私を温かく迎えてくれた,My colleagues greeted me warmly.,,,
私たちを迎えるために彼は手を差し出した,He held out his hand to welcome us.,,,
彼女は客を心から迎えた,She greeted her guest cordially.,,,
彼女は微笑んで私を迎えてくれた,She greeted me with a smile.,,,
腕を前後に振りなさい,Wag your arms back and forth.,,,
その犬はしっぽを振っていた,The dog wagged his tail.,,,
使用する前に瓶を振ってください,Shake the bottle before use.,,,
君たちは規則に従わなければならない,You guys have to follow the rules.,,,
