Script,Transcipt
（講師）そういう青春ぽいの 嫌いではないんだけれども,Do you have to be so childish?
すみません,Sorry.
（講師）はい じゃ続けます,"Right, let's continue."
えー 資産と負債の差額を 資本といいますが,"If assets minus liabilities equals capital,"
貸借対照表の…,then on the balance sheet…
（ケイ）あっ,"I'M THE CULPRIT, HE'S THE MOVER"
き きた～！,Here it is!
ケイには常々 その素質が あると見抜いていたよ,I always knew you'd be into this stuff.
そして 同人誌,"Next up… I bestow upon thee one of these dojinshi,"
通称,"I bestow upon thee one of these dojinshi,"
“薄い本”も授けようぞ,"fanzines which we also call ""thin books."""
ありがとうございます,Thank you very much.
たまんねえな これ,This is phenomenal!
うわっ！ エロ本じゃん これ,"Look, it's porn."
菊野(きくの) こんなの 好きだったの？,"You're into this stuff, Kikuno?"
（渡辺(わたなべ)）せい！せい！せい！ 消えろ 悪党ども！,"Be gone, you villains!"
いった いた～,Ouch.
あれ？,Huh?
あっ ごめんなさい ちょっと待って,Sorry. Just a sec.
（男性）運転手さん （運転士）はい （男性）この子と２人分で （運転士）はい,"I'll pay for us both, driver."
（ケイ）えっ？ （電子音）,What?
あの…,Um…
はい,Yes?
さっきは ありがとうございました,Thanks for that.
お金 返します,I'll pay you back.
千円で おつりありますか？,"You got change for a 1,000-yen bill?"
30円 足りなくて,I'm 30 yen short.
いいよ 別に,It's fine.
あ じゃ足りない分は 今度 見かけた時で,Pay me the rest next time.
はい！ 今度 返します 必ず,"Yes, I'll pay you back next time. Promise."
ありがとうございます,Thank you.
（ヅラ）おう ケイちゃん,"Hey, Kei."
（ケイ）何で そこで 人が死んでんの？,Why's there a dead guy there?
（ヅラ）うちの娘が 毒殺したんやけどな,My daughter poisoned him.
クリーナーが まだ来いひんのや,Cleaners aren't here yet.
（店長）ヅラ 業者 替えるぞ！,"Zura, find someone new."
サボタージュは プロとして最低だ,Slackers are so unprofessional.
（ケイ）店長〜！,Boss!
ケイ なつくな！,"Kei, quit being so clingy."
嫌だ～ なつく～,Don't wanna.
店長〜！ わしもなつくー,Boss! Me too--
うわ～ ゴールデンボール！,Ouch! My golden balls!
そうだ ケイ ラーメン食べていけ,"Kei, eat some ramen before you go."
あ ごめん 忘れてた！,"Wait, I forgot."
ヅラさん,"Sorry, Zura."
はい,Here.
ケイちゃん 道具の持ち帰りは厳禁やで,"Kei, you can't bring that stuff back home."
だから ちゃんと謝ったじゃん,That's why I apologized.
（ヅラ）あー その態度どうなんや？,What's with that attitude?
プロとしての自覚が 足りへんのとちがうか…,You should be more aware as a pro--
（店長）自覚がないのはお前だ ヅラ！,"No, you should be more aware."
店長の おみ足～！ 肉を切らせて足をゲッツ！,"Boss, your leg! I took a hit so I could grab the foot!"
（ケイ）こんの クソヅラ！,"Damn it, Zura!"
この店は会員制だぞ 表に書いてある,We're only open to members. There's a sign outside.
す… すみません,Sorry.
僕 渡辺と言います,I'm Watanabe.
（店長）ヅラ 酔っ払いを奥へ,"Zura, move the drunk out back."
そのおもちゃも しまってこい （ヅラ）はいはい,"-Take that toy too. -Yes, ma'am."
（渡辺）おもちゃ…,Toy?
ハア… びっくりした,What a shock.
殺し屋のアジトかと思った,I thought it was an assassin's den.
まぁ ケイの知り合いなら 仕方ない,"Well, if you're Kei's friend…"
せっかくだから ２人でラーメン食べていけ,why don't you two have some ramen before you go?
ありがとうございます,Thank you.
あなた,You…
絶対に帰るべきだった,should have just left.
えっ,What?
（渡辺）いただきます,Thank you.
（渡辺）これは…,This is…
これ… 私まで 食べなきゃいけなくなった,-It's… -Now I have to eat it too.
（渡辺）確かに とっとと帰るべきでした,We really should've just left.
ちなみに これって冷麺 腐らせた感じなんですかね？,"It's like cold, rotten noodles."
殺すぞ おかっぱ,"Watch it, bowl cut."
（ケイ） 確かにゴムの味するよね,"You're right, tastes like rubber."
フッ… き 菊野さんって そんな顔もするんですね,Never thought I'd see you make that face.
え？ どんな顔？,What face?
こんな顔です,This face.
（大男）俺に変な薬 飲ませた人 手 挙げて,"Hands up, whoever fed me weird drugs! Put your hands up!"
手 挙げて 手！,Hands up!
（ヅラ）すんません 娘が毒の配合を間違えてたみたいで,"Sorry, seems my daughter messed up the drugs."
言い訳はいい,No excuses.
ケイ いけるか？,"Ready, Kei?"
（大男）俺の… 俺のこと 殺すつもりか！,You wanna kill me?
ヅラさん いくよ！ あいあいさー,"-Here I go, Zura. -Alrighty."
当たる… 当たるかも あ！,Hey!
渡辺君 えっ？,-Watanabe. -Huh?
さっきは殴ってごめんね,Sorry for punching you.
どうぞ,Here you go.
ありがとう,Thanks.
好きだ,I love you.
ヅラの防弾ウィッグは 頑丈だな,Your bulletproof wig is pretty sturdy.
店長 苦しゅうない,Boss? Go ahead.
からの快感,This just feels good…
からの消えて,Just disappear.
で 店長 あのガキどうします？,"What do we do with the kid, Boss?"
あ… あの 僕 バイト希望です,I'm looking for some part-time work.
何でもやります,I'll do anything.
（男）まあ 今回は許してくれよ なっ 見逃してくれ,Let it slide this time. Right? Let it go.
（みちたか）俺は…,Listen.
人生に３アウト制を 取り入れている,I live by a three-strike rule.
お前は食いながら 謝罪をし,You apologize while you're eating.
（男）いや あのう…,"No, you see…"
伝馬(でんま )組を 裏切るつもりはなかった,I didn't mean to betray the Denma-gumi.
魔が差したんだよ あんただってあるだろ？,"Something just came over me. -You understand that, right? -And also…"
更に…,"-You understand that, right? -And also…"
俺に だまし討ちを かけようとしている,you try to attack me by surprise.
お前は今,Your current count is…
２アウトだ,two strikes.
（みちたか）ルールが人を作る,Rules make a man.
ルールを忘れた人間への天災,Disaster awaits those who forget the rules.
それが俺だ,That disaster is me.
みちたか～！,Michitaka!
みちたか“君”だ,It's Mr. Michitaka to you.
お天道様にも お月様にも 敬称がある,Show some respect to the forces of nature.
貴様は敬称を忘れた,How could you forget?
３アウトです,That's your third strike. Out.
（男）バケモンがっ！,You demon!
（男）死ねやぁー！ （発砲音）,Die!
今夜は お前の血祭りだ,Take it with a smile…
（男）オッス！ （男たち）オッス！,"-Hello, sir. -Hello."
（男）オッス！ （男たち）オッス！,"-Hello, sir. -Hello."
（男）ご苦労です （男たち）ご苦労です,"-Hello, sir. -Hello."
（男たち）ご苦労です,"Hello, sir."
（男）こちらです,Hello.
（三代目）みちたか君,Mr. Michitaka.
問題なかったか？,No problems?
オヤジ,Father.
問題は すべて その場で解決する,I solve problems on the spot.
問題は そんなもんだい はーっ！,You're a pro with pro-blems.
何だ？ お前ら,What's up with you guys?
面白くねえか？,Wasn't it funny?
正にオヤジギャグだぞ,It's a real dad joke.
お前ら 親がスベり倒して,Come on. How can you let Dad's jokes fall flat?
それでいいのか？,How can you let Dad's jokes fall flat?
おお？,Well?
（テラノ）まず ご報告です,"First, an update."
弁護士の話によると 三代目の実刑は確実,"According to the lawyers, Sandaime's sure to be incarcerated. The verdict will take three months."
その判決は… ３ヶ月後です,Sandaime's sure to be incarcerated. The verdict will take three months.
今度の お勤めは だいぶ長くなるかもしれねぇ,I might be away for a long time.
抗争中の組も 騒がしくなるだろう,Family feuds could get messy.
国津～！,Kunitsu.
その時は いろいろと頼むな,I'm counting on you.
はい,Okay.
（三代目）まあ いい機会だ,It's a great opportunity.
この伝馬組を,I need to start thinking about who will succeed me
誰が継ぐのか そろそろ考えねぇといけねえな,I need to start thinking about who will succeed me and take over the Denma-gumi.
なあ 木下(きのした),"Right, Kinoshita?"
ルールは単純だ,The rules are simple.
一番強く 一番稼ぎ,"My successor will be whoever is strongest, rakes in the most cash,"
そして何より この伝馬組に忠誠を誓うヤツ,"whoever is strongest, rakes in the most cash,"
そいつが跡を継ぐことになる,"and above all, is the most loyal to the clan."
お前ら…,Now.
誠意を見せてくれよ,Show me how faithful you are.
（一同）はい！ （みちたか）せい！ せい！,"Yes, sir."
せい！ せい！,"Faith, faith, faithful…"
（男）ご苦労さまです,"Hello, sir."
（男）ご苦労さまです,Hello.
（一同）ご苦労さまです,"Hello, sir."
（アヤベ）ご苦労さんです～,Hello.
いや いよいよ幕開きますねぇ カシラの時代が！,It's finally the henchmen's time to shine.
（木下）まずは三代目の金を 減らせるだけ減らしたい,"First, let's bleed Dad's coffers dry."
（アヤベ）すでに１億 別口座にプールしてあります,We've already pooled 100 million into a separate account.
まぁ あの調子やと,"Well, at this rate,"
裏金 あと２億は 簡単に作れますわ,we could easily cook up a 200-million bribe.
三代目は もうふぬけてるが,Sandaime is already pacified.
金庫番の目をごまかせるか？,But can you fool the safe-keeper?
あ～ テラノですか？,Terano?
あんなしょうもない 鼻くそみたいなクソガキはね,He's a worthless piece of snot.
これですわ,Like that.
金子(かねこ ) （金子）はい,-Kaneko. -Yes?
アヤベの金で兵隊 増やすぞ,Use Ayabe's cash to bolster our ranks.
俺の考えも単純だ,My idea is simple too.
幹部が全員 死ねば…,If all the executive members die…
伝馬組は俺のもんだろ？,then the Denma-gumi will be mine.
（テラノ）アヤベ社長 お邪魔しています,President Ayabe. Sorry to disturb you.
これはこれは！,"Well, well."
テラノさんですやん うわ びっくりしたわ！,If it isn't Terano. You surprised me.
伝馬組の金を取り仕切る すごいお方！,Denma-gumi's esteemed money-handler!
で どないしたんですか？,So… what's with the long face?
そんな辛気くさい顔して,what's with the long face?
ぶしつけですが,"Forgive my bluntness,"
会社の帳簿を見せていただいても よろしいですか,but could I see the company accounts?
もちのろんですやん！,"Of course, old chap."
好きなだけ 見てったらええがな,Look at whatever you like.
せやけど,By the way…
君に とやかく言う権利は あるんか？,Do you have the right to nitpick?
うちが株の取引で稼いだ金は,Denma-gumi makes most of its money from trading stocks.
伝馬組一番の金づるや 違うか？,Isn't that right?
あんまり眠たいこと言うてたら,"If you were to say anything stupid,"
痛い目 見るど～,you'd regret it.
誰かみたいにな,Like a certain someone did.
（アヤベ）もう今日はユウサだけ ユウサだけやから,Just Yusa today.
お前 帰ってええから 帰って,You go home.
ぐほっ… お前,You--
（橋口(はしぐち)）どうも 国津組だよ,Hello from the Kunitsu-gumi.
待て待て待て… ほら ほら,"Wait, wait!"
ちょっと待って ユウサ ユウサ助けて！,"Wait! Yusa, help!"
（ヅラ）３ 飼い猫がお金を拾った ３万ドルもらう,"Three. ""Kitty found some money."" ""You receive 30,000 dollars."""
にゃーお！,Meow.
きもっ きもいな,-Creepy. -Sure is.
腹立ちますね,Pisses me off.
おい こらクソガキ！,"Hey, brat."
ナチュラルに参加しとるけど これ 誰のおかげや え？,You're playing this game thanks to who?
誰のおかげで バイトできてるんですか？,Who exactly got you this job?
そういうの大丈夫です,-I don't need to hear this. -You little--
お前～ こら おい,-I don't need to hear this. -You little-- Hey.
４ 近所のよしみで 右隣の人と家を交換する,"Four. ""You trade houses with your kind neighbor to the right."""
やった！ じゃあ 僕の この安いマンションと,Nice! I'll trade this cheap house for your most expensive--
ヅラさんの一番大きな家を チェーンジ！,I'll trade this cheap house for your most expensive--
ほあちゃあー,Hey!
痛っ！ 何するんすか,What are you doing?
すまんすまん つい勝手に手が,"Sorry, my hand just slipped."
え？ 何？,Huh? What?
すいません つい勝手に手が,"Sorry, my hand just slipped."
やったな やりよったな！ おい こら,Now you've really done it.
パンドラの箱 開けよったな お前 こら！,Now you've really done it. You've opened Pandora's box.
おい 何してくれてんねん こらっ こらっ,Hey! What do you think you're doing?
ちょっと いい加減にしてよ！,"Come on, pull yourselves together."
あっ 何すんねん！ 返せ ちょっと 返せ,"Come on, pull yourselves together. Hey! Give it back!"
（渡辺）僕のケイさんに 触らないで！,-Give it back! -Don't touch my Kei!
あっ！,What?
ねえ 今お尻触ったよね ねえ？,Hey. Did you just touch my butt?
触った ねえ 触ったよね,"You did, didn't you?"
触った,"No, no."
違います 違います 不可抗力なんで,"No, no. It's just, this--"
（ケイ）うっかり八兵衛(はちべえ)みたいな顔 してんじゃねーよ （ケイ）うっかり八兵衛(はちべえ)みたいな顔 してんじゃねーよ （電話の呼び出し音）,Don't give me that cheeky look!
（電話の呼び出し音） ヌーって ねえ！ （電話の呼び出し音） （電話の呼び出し音） （渡辺）触ってない （ケイ）触ったよね,Right? Okay?
（電話の呼び出し音） ヅラ返して ヅラ返して ヅラ返して ヅラ返して,Give me my wig back.
（渡辺）だから触らないで,Don't touch her!
ご利用ありがとうございまーす,Thank you for choosing…
（ヅラ）返して （店長）ぷるるん天然娘特急便で ございまーす （店長）ぷるるん天然娘特急便で ございまーす （ケイ） ヅラさんのせいだよ,If it's Zura's fault--
（店長）ぷるるん天然娘特急便で ございまーす （ヅラ）俺 ちゃうがな （渡辺）ヅラさんが触ったから,…Delivery Service.
うっせぇな ポンコツトリオ！ ミンチにして ラーメンにぶっこむぞ！,"Shut up, you deadbeats! Or you'll end up in my ramen as mincemeat!"
（ケイたち）すみませんでした！,Sorry.
お待たせしました～,Thanks for waiting.
木下組様ですね！,"For Kinoshita-gumi, yes?"
２人せいで 私まで怒られたじゃん,She got angry at me as well because of you two.
（店長）ご依頼 承りました～ お前のせいじゃ,-We're on the way. -It's your fault.
というわけで ケイ 仕事だ,"Kei, you've got a job."
はーい,Alright.
これとは別に 裏帳簿があるな,There must be hidden accounts elsewhere.
（クラ）おい 算数野郎,"Hey, calculator boy."
さっきから何 調べてんだ？,What are you looking at?
（テラノ）伝馬組の金で運用する 株の売買代金と,There's a discrepancy between what's on the balance sheet
請求費用の収支が合わない,and the value of stocks traded using Denma-gumi money.
（クラ）フッ… 俺の頭でも わかるように言えよ,Put it in layman's terms for me.
裏切者が本部の金を盗んで 裏金を作ってるってことだよ,A traitor is stealing money from the top to create a secret stash of cash.
糸を引いているのは,The one pulling the strings…
木下だろう,must be Kinoshita.
（店長）今回のヤマだが…,"KUNITSU VS KINOSHITA -Here's the case. -Look, Watanabe."
（ケイ）ねぇねぇ渡辺君 見て にゃーちゃん,"-Here's the case. -Look, Watanabe. Look at the kitty."
（渡辺）あー かわいい （ケイ）フフフ…,So cute.
（渡辺）癒されますねえ,Cheers me up.
（ヅラ）こらクソガキ！ 店長の話 聞かんかい！,"Hey, brat. Listen to what the boss says!"
地味に痛いです,That hurt.
（店長）今回は,This time…
木下組長 直(ちょく)の仕事だ,…we're working directly for Kinoshita-gumi's boss.
（渡辺）木下組長？,Kinoshita-gumi?
木下組長は 関東最大の暴力団 伝馬組の若ガシラや！,"He's the second in command of Denma-gumi, the biggest yakuza gang in eastern Japan."
（店長）木下は強いだけじゃなくて 頭も切れる,Kinoshita has both brains and brawn.
フロント企業の 社長 アヤベに,He's bolstering his troops using money earned from stock trades
株で大儲けさせて 兵力を拡大している,"He's bolstering his troops using money earned from stock trades thanks to the CEO of their front company, Ayabe."
そのアヤベが,"thanks to the CEO of their front company, Ayabe."
拉致されたらしい,Ayabe has been abducted.
拉致したのは 伝馬組の最古参 国津組だ,"He was abducted by the Kunitsu-gumi, led by Denma-gumi's oldest member."
アヤベが国津組に 株のガセネタつかませて 大損こかせたらしい,Kunitsu lost a lot of money following some insider info from Ayabe.
（ヅラ）実は この木下と国津は 伝馬組の次期組長の座を 争うとるんや,Kunitsu and Kinoshita are battling to inherit the Denma-gumi leadership.
そして,And now…
ついに今夜 木下が勝負に出るー！,"tonight, Kinoshita finally steps into the ring."
勝負に出る ニャンニャン ケンカは めっ！,-He steps into the ring! -War is so pointless.
お前がめっ！ やねん,You're pointless.
（クラ）それで？,So?
どうする？,What will you do?
破滅させてやるさ,I'll destroy them.
もちろん,Naturally.
わざわざ カシラが 自らやって来るとはな,I didn't expect to see the top dog himself come in.
（橋口）こっちは あの詐欺野郎のおかげで ２千万 溶かしましてね,We lost 20 million because of that fraudster.
それ相応の対応を してもらわねえと,We have to deal with him appropriately.
（木下）おい,Hey.
これで納めてもらえませんか,Will this take care of it?
１億ある,It's 100 million.
（橋口）１億？,One hundred million?
（国津）さすがに大層やわ,That's excessive.
俺みたいな商売人は 何か裏あるんちゃうかって 勘ぐってまうわ,Makes a tradesman like me suspect something underhanded is going on.
これは俺の誠意です,This is to show how faithful I am.
白々しいの 今更,How transparent. It's a bit late for that.
まあええわ ご案内せい,Fine. Go ahead.
（橋口）わかりました,"Yes, sir."
（ヅラ）ケイちゃん そろそろ出番やで,"Kei, it's almost time."
（ケイ）はーい,Okay.
ん だりあさんは？,What about Daria?
だりあさん？ うちの新入りの子や,-Daria? -She's a new recruit.
放置プレイが得意な テクニシャンや,She's a ghosting expert.
いつでもいける準備してるで,She's always ready to go.
仕事に戻れ,Back to work.
わかりました,"Yes, sir."
さあ 始まりだ,Now it begins.
（組員）何だ お前 何の用だ,Who are you? What do you want?
（ケイ）ぷるるん天然娘特急便の ケイです,I'm Kei from Supple 'n' Natural Gals Delivery Service.
（組員）お姉ちゃん ここをどこだと思ってんだ 帰れ,What kind of place do you think this is? Go home.
痛い… 痛い 痛い 痛い 痛い,"Ow, it hurts."
（組員）おい どうした？,What's wrong?
おなか痛い トイレ貸して,My belly hurts. Can I use your toilet?
帰れ！,Beat it.
何よ 話と違うじゃない,What? That's not what I was told.
何だ よかった こんばんは,"Phew, I'm glad. Good evening."
橋口さん デリの女 中 入れちまったぞ おい,Hashiguchi let the call girl inside.
おお どうなってんだよ？,What's going on?
（組員）ちょっと橋口さん！,"Hey, Hashiguchi."
うわっ！ ってえ （組員）おい おい！,-Woah! -Hey!
何や われ！,What are you doing?
（ケイ）私ですか？,Me?
私は ぷるるん天然娘特急便の…,I work for Supple 'n' Natural Gals Delivery--
そんなん聞いとらんわ ボケ！,"That's not what I'm asking, idiot!"
何や これで満足か？,Are you satisfied?
殺すのが おもろうておもろうて しゃあないんか？,You just love killing people?
衝動か？,You do it for kicks?
ええ？,Well?
うちの若いヤツらは 虫けら同然なんか？,"Our henchmen are worthless, puny bugs to you?"
仕事ですから,It's my job.
確かに いい仕事を 見せてもらった,You've certainly done a good job.
なあ 橋口,"Right, Hashiguchi?"
情けないヤツやのう,How pathetic.
こんなチンピラに イモ引いたんか？,You got thugs like this involved?
お前が殺せ,You kill him.
その方が面白い,More interesting that way.
（橋口）それだけは 勘弁してください！,"Sir, I'll do anything but that."
お前が選んだのは 裏切者の役だろう？,You chose to play the traitor.
（木下）もう１匹いたか,So there was another one.
実に いい仕事だ,Really did do a good job.
（金子）殺し屋さん,"Hey, assassin."
（ケイ）はい？,Yes?
（金子）だりあに伝えてくれ,Please tell Daria…
次は俺とゲームだ,next time she's playing with me.
（店長）ケイ,Kei.
私は ついに 全部わかってしまったぞ,"Suddenly, it's all clear to me."
（ケイ）えっ マジ!?,What? Seriously?
え？,What?
お弁当の中身？,Is it the lunchboxes?
子供の服？,The kid's clothes?
花の数？,Number of flowers?
レジャーシートの模様,The picnic blanket design?
悔しいけど 何かヒントください,"I hate to ask, but give me a hint."
えっ！ 虫？,What? An insect?
この一番上の虫けら こいつだけ 飛んでる位置が ３ミリくらい高い,"The worthless, puny little bug at the top. It's flying three millimeters higher here."
虫けらって… あんまりいい 言葉じゃないと思う,You shouldn't call insects nasty things like that.
そうか,Really?
気を付けよう,I'll be more careful.
ん！ おいしい,"Yum, it's delicious."
そういえば,"By the way,"
簿記の勉強はどうだ？ 楽しいか？,how's the bookkeeping going? You enjoying it?
ん～ わかんない でも…,I'm not sure. But…
何かを一つずつやってみて,But I'm trying one thing at a time…
何ができるかを 探してみようかなって,to figure out what I could do.
そう思う日々,That's where I'm at.
ひとつひとつ コツコツと,"One thing, then another. Very gradually."
ケイ,Kei.
受け入れていい 変化を,It's okay… to change.
そして,"And also,"
終わらないものは無い,everything must come to an end.
（みちたか）潔く 我先に,Full of life I'm the first in line
おまんま欲しさに 跳びはねる,Leaping hungrily
いい歌じゃねぇか,What a great song.
世の中は いつまでも,This will always be
弱肉強食 気を付けろ,A dog-eat-dog world
目の前に餌を チラつかせると,"Scatter feed in front of a person's eyes,"
その人間の本質が よーく見えるようになる,and you can see what they're truly like.
うちの組も 人間臭くなってきたな,Our clan has become very much like that person.
ヤツらを殺ったのは 若い女の殺し屋… だそうだ,"The killer was a young female assassin, apparently."
女？,Female?
若い女 若い女,A young girl.
若い… 若い女！,A young… A young girl!
若い女！,It was a young girl!
そいつを 俺んとこ 連れてこい,Bring her to me. Don't be coy…
鯉だけに… はあ～,they're just koi.
（みちたか）俺は死人に興味はない だが…,I don't care about the dead people. But a female assassin rubs me the wrong way.
女の殺し屋は 気に入らねえな～,But a female assassin rubs me the wrong way.
（テラノ）アヤベファイナンスの 金の流れに不可解な点があります,There's something in Ayabe Finance's accounts that doesn't add up.
株の売買代金という名目で 伝馬組に過剰に費用を請求,The funds requested from the Denma-gumi for stock trades are excessive.
少しずつ別口座に移しています,The extra money has gradually been siphoned into a separate account.
およそ３億です,It's about 300 million in total.
サン族って知ってるか？,Have you heard of the San people?
今でも狩りをしている民族だ,They're modern-day hunters.
獲物を…,When they spot their prey…
毒矢で射って じっくり弱らせてから殺す,first they weaken them with poison darts before killing them.
木下 殺(や)りてえなら,"If we're killing Kinoshita,"
もっと弱らせろ もっと証拠 積み上げろ,let's weaken him first. Get more evidence.
このくらいじゃ ピンピンだぞ？,At the moment it's still hard to get him.
ビンビンか？ はあ～,Or get him hard?
お前 クラの面倒見てんだって？,I hear you're looking after Kura.
あいつは もう壊れた,He's already broken.
オヤジ！,Father!
お前ら２人が 伝馬の背骨になると 絵を描いた俺が,I imagined you two as the backbone of Denma-gumi.
甘かったねぇ,How foolish I was.
（ヅラ）だりあちゃん ずっとホテル暮らしは 不便やろ？,"Daria, you can't live in hotels forever."
スペシャルな物件 用意したで,I've got a hot property for you.
防振,Earthquake-proof.
耐爆,Blast-proof.
分厚いコンクリ壁,Thick concrete walls.
鉄板で囲まれたセーフルーム,A steel-plated safe room.
これでいいよ どこでもいい,This is fine. Anywhere's fine.
（ケイ）だりあさん よくないよ その態度！,"That's the wrong attitude, Daria."
壁はコンクリの打ちっぱなし,The walls are bare concrete.
トイレとお風呂は セパレートじゃない,The toilet and bath aren't separated.
えっ？ ここ独立洗面台ないの？,What? Isn't there a separate washbasin?
あ そうか わかんないか ヅラさんは！,"Right, you wouldn't understand, Zura."
だって髪の毛ないもんね！,"-You don't have any hair, after all. -That's mean."
悪口 悪口 言うてる 悪口！,"-You don't have any hair, after all. -That's mean. -Meanie. -Okay, this is fine."
じゃあ こっちでいい,"-Meanie. -Okay, this is fine."
だから その投げやりが いけないの,Don't be so indifferent.
家探しのバタバタが 楽しいんじゃん,It's fun spending time room-hunting.
私も そう思えたら いいんだろうな,I wish I could think that way too.
じゃあ 一つだけ,"Alright, just one."
えっ？ 一つだけ 希望を言ってください,-What? -Tell us one dream you have.
そこからだよ,That's how you start.
希望？,A dream?
（ケイ）あー ルーフバルコニー さいこ～！,This roof balcony is great.
（だりあ）ケイに 居場所を握られてしまったな,You found my kind of place.
（ケイ）でもここ ちょっと 値段 高いけどいいんですか？,It's a bit expensive though. Is that okay?
（だりあ）ああ,Yeah.
ここがいい,I like it here.
持たなければ無くさない,I can't lose what I don't have.
だから持たなかった すべて,That's why I had… nothing.
持った方が頑張れる…,It's easier if you have things.
こともある,Sometimes.
バタバタしましょう 無くさないように,Let's get busy. So we don't lose this place.
変なヤツだな えー フフフッ,-You're an odd one. -What?
私の両親は密告を疑われて 仲間のヤクザに殺された,My parents were killed by other yakuza who thought they snitched.
私は そいつらに拾われて,They took me away
人の殺し方を教えこまれた,and taught me how to kill people.
もう終わりにしたい この苦しみを,I want to… end this suffering.
手伝います だりあさん,I'll help you… Daria.
ケイは どうして この仕事を始めた？,"Why did you start this job, Kei?"
私は…,I…
ゲーム スタート,Game… start.
逃げろ 逃げろ！,Run away.
みちたか君,Mr. Michitaka.
俺は人生に３アウト制を 取り入れている,I live by a three-strike rule.
女なのに殺人を仕事とし,"-What? -Women, yet you kill for a living."
女なのに国津組を潰し 女として生きている,"Women, yet you crush the Kunitsu-gumi. Women, living as women."
