Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
失礼します,Excuse me.,今にわかるさ,You'll find out soon enough.,えっ,What?,待ってください 前田部長,"Wait, Manager Maeda!",違います,That's not it.,,,,,,,,,,,,,,
おー あったあった 見つかって良かった,Here it is! I'm so glad I found it.,今回の営業 私が余裕なのはワケがある,There's a reason why I'm not nervous to face this client.,た 高野会館って… ま まさか…,Don't tell me Takano Hall is a…,そもそも 営業促進室の 経費管理はずさんすぎます,Your team's expense management is too sloppy to begin with.,（谷岡和彦(たにおかかずひこ)）はい すぐ帰ります,I'll be home right away.,,,,,,,,,,,,,,
これでランチに行けるよ おたくは？,Now I can go eat lunch! Who are you?,三ヶ月前 病気で亡くなった 父親の跡を継いだ二代目社長,The new owner took over the business after his father passed away three months ago.,空手道場っす そこそこ有名らしいっすよ？,"It's a karate dojo. Apparently, it's pretty famous.",経費の使用に問題があると 上に報告してもよいレベルだと 私は思っています,"Personally, I think it's so bad that it should be reported to the higher-ups.",洗い物はやっておきますから そのまま寝てください,Don't worry about the dishes. I'll make sure to wash them.,,,,,,,,,,,,,,
あ ああ 私(わたくし) 大阪から 異動になりました,I was just transferred from Osaka--,どう見ても経験不足ね 辛さなんて これっぽっちもない,It's obvious that he's inexperienced. There's not a hint of spice in him.,世界大会にも 何人か出たことあるって,Some made it to the world championships.,あ いや そんな…,-But-- -And…,はい はい すいません,Yes. Okay. Goodbye.,,,,,,,,,,,,,,
お先にランチして来ました,I’m back from lunch.,２辛はきっと 何かの間違い,It must have been marked spice level two by some mistake.,空手 空手だけは…,Karate? Anything but karate.,それに 毎度毎度 上限いっぱいまで 経費を使っているようですが,-But-- -And… you are maxing out your expenses every month.,秋山(あきやま)くん ちょっと,"Akiyama, can you come here?",,,,,,,,,,,,,,
いやー あの店のレジの子,The girl working behind the register, ロンロンの営業の方ですか,You're a Lonron sales rep?,押忍！,Osu!,いったい 何に使っているんですか？,What are you using it on?,（秋山雅人(まさと)）はい,Sure.,,,,,,,,,,,,,,
僕の好きなゲームのヒロイン そっくりなんすよね,looked just like the heroine of my favorite game.,懐かしいです 子供の頃よく飲んでました あのブドウのやつとか,How nostalgic. I used to drink that grape juice when I was young.,うわー感動っす 押忍って本当に言うんすね,"They're so cool! They really say ""osu"", huh!",あなたがたは それに見合った 利益をあげていると 自信をもって言えるんですか？,Can your team confidently say that you make enough profit to offset that?,みんな 今日は解散だ,"Everyone, you can go home now.",,,,,,,,,,,,,,
やばくないすか？,Isn’t that amazing?,ぎっしりシリーズの ブドウジュースですね,"Oh, the grape juice from the Loaded series?",あ パイセンの得意分野 じゃないっすか,"Mr. Sarukawa, isn't this your field of expertise?",お帰りください 仕事がありますので,Please go now. I have work to do.,（猿川健太(さるかわ けんた)） え？ 残業だっていうから 腹ごしらえしてるのに,What? I thought we have to work overtime. That's why we're eating.,,,,,,,,,,,,,,
あれ 取引先の人ですか？,Are you one of our clients?,こちら,"Here it is. -Yes, this is it!",大学で応援団やってたんすよね？ 押忍押忍！,"You were in the cheer squad during college, right?",（健太）ダメでした,I failed.,あれ 室長は？,Wait. Where's our manager?,,,,,,,,,,,,,,
あーいえ 違います 大阪本社から異動になりました,"No, I was transferred from the headquarters in Osaka.",そうそう これ 美味しかったなぁ,"Here it is. -Yes, this is it! This was so good.",応援団と空手は全然別や！,The cheer squad and karate are completely different!,（秋山雅人(あきやま まさと)）そうか…,I see.,ラッキー ボーナスも出たし エステ行っちゃお,"I'm in luck. I got my bonus, so I'll head off to the spa.",,,,,,,,,,,,,,
猿川健太です エ？ 君が？,My name is Kenta Sarukawa. -You're Sarukawa?,ありがとうございます,Thank you.,そっか… けどパイセンなら 楽勝っすよ イエイ！,I see. But I'm sure it'll be a breeze for you.,ていうか なんで 僕に行かせたんですか？,Why did you make me go to begin with?,お疲れさまでした,Good night.,,,,,,,,,,,,,,
はい,Yes.,今もロンロンのドリンクは お子様からお年寄りまで,"Drinks produced by Lonron continue to be loved by all,",はあ… あ あ 亮介くん ここの激辛度は？,"By the way, Ryosuke, what's the client spice level here? One?",経費管理してるのって 秋山さんですよね,"Mr. Akiyama, you're in charge of accounting.",（亮介）僕らも帰りますか （健太）うん,-We should go home too. -Yeah.,,,,,,,,,,,,,,
室長の谷岡です よろしく,"I'm Tanioka, the team manager. Nice to meet you.",幅広くご愛飲いただいています,from young to old.,１？ あ いや２辛ぐらいか？,"By the way, Ryosuke, what's the client spice level here? One? It's probably two, right?",（健太）なんか すっごい怒られたんですけど,I got yelled at.,（秋山）待て,Wait.,,,,,,,,,,,,,,
あ よろしくお願いします,Nice to meet you.,ほーら 余裕でいけちゃう,See? It's a walk in the park.,５辛っす,It's five.,いい年して 怒られたくないだろ,I'm a grown man. I didn't want to get yelled at.,俺たちも行くか,We should go too.,,,,,,,,,,,,,,
あー そっか パイセンだ,I see. You’re my senior.,お客様には お子様連れで主婦の方も,"There are many housewives that shop here with children,",あれが 大山田館長っす,That's Director Oyamada.,はぁ？ わかってて 僕に行かせたんですか,What? You sent me knowing what would happen?,どこにですか？,Where?,,,,,,,,,,,,,,
いや 大阪の人って聞いてたんで,"I heard we were getting someone from Osaka,",多くいらっしゃるので ぜひ 我が社の新製品を…,"There are many housewives that shop here with children, so please try our new products--",気持ちだ,Feel it!,（大河内友麻(おおこうち ゆま)）そんなことより どうしてくれるんですか？,"More importantly, how do you plan to fix this?",（亮介）秋山パイセン さすがっすね イエイ！,"You're just as I expected, Mr. Akiyama.",,,,,,,,,,,,,,
もうウザいノリ突っ込みとか されたら どうしようって思ってたんすよ,so I was worried I’d have to put up with annoying jokes.,ところで…,"By the way,",おい 正座 正座,Hey. Tuck your feet in.,申請期限 間違えた秋山さんの 責任ですよね,It's your fault for missing the deadline.,バカ 勘違いするな,You idiot. Don't get the wrong idea.,,,,,,,,,,,,,,
まあ フツー過ぎるぐらい フツーで良かったっす イエイ！,But I’m glad to see that you seem very normal. Yeah!,うちと ほかのスーパーさんとの 違いって わかりますか？,do you know what makes us different from other supermarkets?,ご用件は？,What brings you here? -Yes…,（山崎裕也(やまざき ゆうや)）まさか自腹とか 言わないでくださいよ,Don't tell us to pay out of pocket!,俺たちは遊びに来たんじゃない 営業スキルを上げに来たんだ,We're not here to play. We're here to hone our skills as sales reps.,,,,,,,,,,,,,,
猿川君は なかなかの逸材だと 本社から聞いてます,I heard from the headquarters that you’re an outstanding employee.,違い？ はい,The difference? -Yes.,はい… お お時間いただき ありがとうございます,What brings you here? -Yes… Thank you for seeing us.,心配するな 責任は俺がとる,Don't worry! I'll take full responsibility.,（健太）え？,What?,,,,,,,,,,,,,,
まず手始めは どこにアタックしてもらおうかな,Which project should I have you tackle first?,もちろんです,Of course.,私ロンロン東京支社 営業促進室の猿川健太と申します,I'm from the Sales Promotion Team at the Lonron Tokyo branch. My name is Kenta Sarukawa.,全部 払ってくれるって ことですか？ いや…,-Does that mean you'll pay for everything? -No.,いいか？ キャバクラはフリーの場合⸺,"Listen up. Usually, girls at a hostess bar change tables every 20 minutes.",,,,,,,,,,,,,,
エ？ もう？ 室長 仕事の鬼っすね,"Already? -Sir, you’re a workaholic.",先代の社長は激安大魔人とまで 呼ばれた方ですから,"The previous owner was famously called the Bargain Genie,",本日は我が社の製品の ご紹介に伺いました,I'm here today to introduce our new line of products.,今度 飲み行こう おごってやる,Let's go out for a drink. My treat!,20分ごとに女の子が交替していく,"Usually, girls at a hostess bar change tables every 20 minutes.",,,,,,,,,,,,,,
羊の皮被った ヤギ ん？,He’s a goat in sheep’s clothing.,どこにも負けない低価格 お安さではないでしょうか,"so what makes you different is your low, bargain price.",あの あの こちらの道場には 自販機がないと伺いまして,I heard that there are no vending machines at this dojo.,（篠宮亮介(しのみや りょうすけ)） え？ おごりっすか イエイ！,Your treat? Yay!,一方で営業先と 重要な話ができるのも せいぜい20分程度,"As a rep, 20 minutes is also the maximum amount of time we have with our clients.",,,,,,,,,,,,,,
早く仕事に慣れてもらったほうが いいと思ってね,I want him to get settled as soon as possible.,すみません 今日のところはお帰りください,I'm sorry. Please take your leave.,よろしければ我が社の自販機を 置いていただけないでしょうか,Will it be possible to install our company's vending machine here?,お店どうしましょう,Where should we go?,限られた時間の中で どうやって相手を落とすか,The key is to win them over in a limited amount of time.,,,,,,,,,,,,,,
信濃屋酒店(しなのやさけてん)なんてどうだろう？,How about Shinanoya Liquor Store?, 激辛つけ麺 お待ちどうさまでした ありがとうございまーす,Here's your extra spicy noodles. -Thank you.,練習中の水分補給に ぜひ ご活用いただきたく,It can be used to keep everyone hydrated during practice.,いやいや 納得できるわけないでしょ,There's no way we can agree to that.,営業とキャバクラは共通してるんだ,Sales and hostess bars have a lot in common.,,,,,,,,,,,,,,
酒屋さんですか？ 個人商店は不満？,A liquor store? -You don’t like private shops?,うわぁ うまそう,Wow. Looks delicious.,断る,We decline.,全部でいくらだと 思ってるんですか？,How much do you think all of this costs?,（亮介）なるほど…,"I see. He sounds very convincing,",,,,,,,,,,,,,,
あ いや そういうわけじゃ,That’s not what I meant.,ヒーハーイーツ またよろしくお願いします ありがとうございました,Please call us again. -Thank you.,え…,What?,（高宮(たかみや)まり子(こ)）失礼します,Excuse me.,なんか妙に説得力あるけど 絶対遊びたいだけだよな？,"I see. He sounds very convincing, but I'm sure he's only here to play.",,,,,,,,,,,,,,
猿川パイセンならできますよ,"You can do it, Mr. Sarukawa.",何あれ 今日のところはお帰りください？,"What was that? ""Please take your leave""?",うちは練習中,"At our dojo,",経理部の高宮です,I'm Takamiya from the accounting department.,営業成績が上がれば 来期の ボーナスアップも間違いない,"If you enhance your performance, you'll be guaranteed a bonus next term.",,,,,,,,,,,,,,
おいおい亮介君 君も行くんだよ,"Ryosuke, you’ll be going with him.",あー ムシャクシャする,This is so frustrating.,水以外 口にしてはいけない ことになっている,no one is allowed to drink anything but water during practice.,（谷岡和彦(たにおかかずひこ)）何の御用でしょう？,What brings you here?,20分でキャバ嬢の心を掴むんだ,Win the hearts of the hostesses in 20 minutes.,,,,,,,,,,,,,,
僕も？,Me too?,ほかのスーパーとの違いって ただ安いってだけじゃない,The only difference is that their prices are cheap.,え？ なんでですか？,Why is that?,さきほど 部長との お話を聞いておりました,I overheard the conversation you were having with our manager.,わかりました,I understand.,,,,,,,,,,,,,,
彼は東京に来たばかりだ しっかり補佐を頼むよ,He’s new to Tokyo. Please assist him.,ど どうしたんだろ,What's wrong?,うちのやり方に 文句があるのかね？,Do you have a problem with the way we do things?,部長は ああ言っておりますが,"Despite what he said,",ようこそ皆さま ラグジュアリークラブ Mint(ミント)へ,"Everybody, welcome to Luxury Club Mint.",,,,,,,,,,,,,,
あ サポートっすね 了解っす イエイ！,"I see, I’m his support. Roger!",まさか 大河内パイセン…,Did Ms. Okochi…,あっいやいや そういう意味では…,"No, not at all.",本日中に事務処理を行えば 精算できます,it can be filed if you do the paperwork today.,当店自慢の女の子たちでーす,Let me introduce our beautiful girls.,,,,,,,,,,,,,,
営業促進室って 精鋭部隊って聞いたけど ホントなの？,I heard the Sales Promotion Team is an elite unit. Is that true?,爆死,Bomb it?,押忍！,Osu!,そこ お借りします,May I borrow the desk over here?,こんばんは,Good evening. Good evening.,,,,,,,,,,,,,,
んー ていうか 新しい取引先 開拓しなきゃなんで,"Well, our job is to find new clients.",２辛の相手を ナメちゃいけなかったね,You shouldn't have underestimated spice level two.,押忍！ 失礼します,Osu. I'll take my leave.,時間がありません すぐ必要書類を準備してください,Time is short. Please prepare the necessary documents.,はい どうぞ,Good evening. Enjoy.,,,,,,,,,,,,,,
爆死覚悟の 爆弾処理班ってとこっすね,So we’re more like a bomb squad putting our lives at risk.,リベンジは私が…,I'll go take revenge. -Well…,あ あの よろしければ 試飲だけでも…,Would you like to at least sample this drink?,ありがとう,Thank you!,（ハルナ）ハルナです （亮介）亮介です お願いします,-Hello. -I'm Haruna. I'm Ryosuke. -Nice to meet you. -Nice to meet you.,,,,,,,,,,,,,,
爆弾？ あ 行けばわかります,Bomb? -You’ll see once we get there.,あ いや 明日にでも 猿川君に行ってもらおう,I'll go take revenge. -Well… Why don't we have Sarukawa go there tomorrow?,うちのスポーツドリンクは 空手の稽古にも最適だと思います,Our sports drink is ideal for karate practice.,（谷岡）猿川君,Sarukawa.,サクラちゃんね,"Hi, Sakura.",,,,,,,,,,,,,,
あ ここっす,SHINANOYA LIQUOR STORE Here it is.,え？,What?,君は空手の 何を知っているのかね？,What do you know about karate?,猿川君！,Sarukawa!,ありがとうございます,-Here's a hand towel. -Thank you.,,,,,,,,,,,,,,
こ ここ？,Here?,いいんですか？ お猿が行ったら秒殺ですよ,Are you serious? Saru will face instant defeat.,何も知らないで 適当なことは 言わんでいただきたい,Stop spouting nonsense when you don't know anything about karate.,（健太）は は はい？,Yes?,そしてこの子が人気ナンバーワン アカリちゃんでーす,Now let me introduce our number one most popular girl. It's Akari! Yeah!,,,,,,,,,,,,,,
東京にもこういったとこ 残ってるんだ,There are still places like this in Tokyo?,お猿？,Saru? -Sarukawa.,休むな！ 押忍！,Don't rest! -Osu!,今夜 私たちは 重要な会食の予定があるんだ,All of us have an important dinner engagement tonight.,（牛島）イエイ,It's Akari! Yeah!,,,,,,,,,,,,,,
古臭さハンパないっすよね,It’s so old-fashioned.,猿川君 君は東京に来て日が浅い,"Saru? -Sarukawa. It hasn't been long since you came to Tokyo,",これ以上 何か？,Is there anything else?,すまないが 君と亮介君で 高宮さんを手伝ってあげてほしい,Can you and Ryosuke help out Ms. Takamiya?,（アカリ）こんばんは,Good evening.,,,,,,,,,,,,,,
あ じゃあ頑張ってください,I wish you luck.,無理強いはしないが やってくれるかな,but will you take on this client?,い いえ 失礼します 帰るぞ,No. We will be leaving. Hurry up!,（秋山）悪いな,Thanks.,猿川 猿川,Sarukawa.,,,,,,,,,,,,,,
えっ 一緒に行かないの？,You’re not coming with me?,あ いや でもあの…,But I…,帰るぞ 早く 早く,Hurry up!,（亮介）ええ？ もう定時っすよ まさか残業しろってことっすか,But it's time to go home. Are you telling me to work overtime?,（健太）はい （秋山）頑張れよ,-Yes? -Do your best.,,,,,,,,,,,,,,
はい 僕 サポートっすから,No. I’m only here to assist.,パイセン これってテストかも,"Hey, this might be a test.",あ すいません すいません,Excuse me.,篠宮君 君は帰っていいよ,"Shinomiya, you can go home.",はい,Yes.,,,,,,,,,,,,,,
えぇ？,What?,ん？ テスト？,A test?,やばくないっすか あのおっさん,That old man was crazy!,あとは僕に任せて,Leave the rest up to me.,アカリです,My name is Akari.,,,,,,,,,,,,,,
ごめんください,Excuse me.,パイセンの真の実力を 試されてるんですよ,They're testing to see your true ability.,後ろ見てなかったっすよ,He saw behind him without looking back.,いいんすか,Really?,お酒は好きなんだけど 飲んでも あんまり酔わないんだよね,"I like alcohol, but I can never get drunk.",,,,,,,,,,,,,,
はーい いらっしゃい,Welcome.,ほら 成功した１辛の酒屋さんは まぐれかもしれないじゃないですか,"Who knows, maybe that spice one liquor store was just beginner's luck.",背中に目でもついてるんすかね,Does he have eyes on his back?,やっぱパイセンって いいパイセンっすね,You're such an exemplary senior!,え？ すごーい お酒強いんだね,How cool! You must have a high tolerance for alcohol.,,,,,,,,,,,,,,
はじめまして 私,Nice to meet you. I’m from the Lonron Tokyo branch Sales Promotion Team.,まぐれ？ あのな どうかな 猿川君,"Beginner's luck? Hey! -How about it, Sarukawa?",この案件は諦めよう,Let's give up on this one.,惚れたな,He fell for her.,（ミユキ） もっとかけて もっとかけて,Add more!,,,,,,,,,,,,,,
ロンロン東京支社 営業促進室の 猿川健太と申します,I’m from the Lonron Tokyo branch Sales Promotion Team. My name is Kenta Sarukawa.,やります やらせていただきます,I will do it. You can count on me.,ですね… って 早っ！ なんでですか？,"I agree. Wait, already? Why are you giving up?",単純…,He's so easy.,キャー それだけ？,-That's it? -Let's eat!,,,,,,,,,,,,,,
本日は 我が社の新製品 すっきり緑茶のご紹介に伺いました,Today I’m here to introduce our new product. The refreshing green tea.,亮介君 サポートを頼むよ 了解です,"Ryosuke, please assist him. -Roger.",実は 空手が どうしても苦手なんだ,"To tell you the truth, I really don't like karate.",高宮さん よろしく,"Ms. Takamiya, it's nice to meet you.",えへへ いただきまーす,"-That's it? -Let's eat! Wow, you're amazing!",,,,,,,,,,,,,,
おたくさ 一体どういうつもり？,What’s your problem?,ゲキカラドウ対 ゲキヤスドウってとこですかね,It's the way of the hot and spicy versus the bargain prices.,昔 いろいろあってさ,It's a long story.,よろしくお願いします,Nice to meet you too.,え？ すごい,"Wow, you're amazing!",,,,,,,,,,,,,,
前も言ったよね 営業 いきなり来られても困るんだって,I've already told you before that I don’t want you coming here unannounced with a sales pitch.,うまいこと言うね,That sounds right.,へぇ 何があったんすか？,I see. What happened?,できました これで大丈夫？,I'm done. Is this all right?,俺が女の子に着てほしい衣装は 一つだけだよ,There's only one dress I want to see a girl wear.,,,,,,,,,,,,,,
エ？ ここにウチの者 来たことあるんですか？,Someone came here already?,けど 彼はまだゲキカラドウの 入口に立ったばかりだ,But he's only at the entrance to the way of the hot and spicy.,いや それは まぁ,This and that.,はい ありがとうございます,Yes. Thank you very much.,（サクラ） え なになに？ 気になる,What is it? I want to know.,,,,,,,,,,,,,,
あるよ チャラいにいちゃんが,Yeah! A young frivolous kid., ピーマン 今お安いですよ 130円,Is one enough? -Thank you. These are on sale right now for 130 yen.,教えてくださいよ パイセンと俺の仲じゃないすか,Why can't you tell me? Aren't we friends?,あ いやいや…,No. I should be thanking you,ウエディングドレス ヤダ ウケる,-A wedding dress. -That's so funny.,,,,,,,,,,,,,,
あっ すみません 以前も伺ってるとは知らず,I apologize. I didn’t know we came here already.,めっちゃ安いっすね,It's so cheap.,今日の授業 全然わからんかってんけど,I didn't understand today's lesson at all.,本当ありがとね 僕たちのために こんな遅い時間まで,No. I should be thanking you for working overtime for us.,（健太）アカン ここだけ 全然盛り上がってへん,Oh no. We're the only ones not having fun.,,,,,,,,,,,,,,
そんなことだから ヨントリーや ハッスルコーラに勝てないんだよ,This is why you can’t win against Yontori or Hustle Cola.,でも これだけ安いって ワケありなんじゃないすか？,I bet there's a reason why it's so cheap.,いや ほんまに難しかった,It was hard.,あ いえ 皆さん お困りかと思ったので,Not at all. I figured everyone could use some help.,すごいっしょ？ うちの部署 激辛好きが多いんだ,Isn't our team amazing? Everyone loves spicy food.,,,,,,,,,,,,,,
でも 改めてお話をさせて いただけないでしょうか,Can you let me explain our products once more?,おい,Hey!,教えてや いいよ いいよ,Can you help me? -Sure.,うちの部長 ちょっと 厳しすぎるところがあるんですよ,Our manager tends to be a little too strict.,猿川さんも？,"-You too, Mr. Sarukawa? -I recently got into it.",,,,,,,,,,,,,,
おたくさ 何年営業やってるか わかんないけど,"I don’t know how long you’ve been in sales,",すみません お待たせして,Sorry to keep you waiting.,マジで？ テスト近いし,Really? -The test is coming up.,優しいんだね 高宮さん,You're very kind.,あ うん 最近ハマり始めて アカリさんは？,"-You too, Mr. Sarukawa? -I recently got into it. What about you? Do you have a favorite food?",,,,,,,,,,,,,,
状況はちゃんと把握しろよ,but why don’t you try to grasp the situation here? Where was I?,あ いや こちらこそ お忙しい中…,Not at all. Thanks for seeing us.,タケちゃん,Take…,お願いします,Please process this.,なんか好きな食べ物とか ありますか？,What about you? Do you have a favorite food?,,,,,,,,,,,,,,
俺 どこにいたの？ え？ 奥でしょ？,but why don’t you try to grasp the situation here? Where was I? -I was in the back. -Yes.,あの 昨日は我が社の者が 失礼しました あ いやいや,I apologize for the inconvenience caused by our co-worker.,俺の彼女と何やってんだ？,What are you doing with my girlfriend?,遅い 何時だと思ってるんだ,It's late. Do you know what time it is right now?,あ あ あ ちなみに僕 あの⸺,"By the way,",,,,,,,,,,,,,,
奥でパソコンやってたの 仕事してんだ 忙しいんだこっちは,I was working on the computer back there. I’m busy working.,お詫びも兼ねて もう一度だけ いやいやいや お詫びだなんて,To compensate-- -Please don't worry about that.,あ いや 由美ちゃんは俺の彼女ですけど,What? Yumi is my girlfriend.,すみません,I'm sorry.,めっちゃ お好み焼き得意なんです,I'm very good at making okonomiyaki.,,,,,,,,,,,,,,
なのに突然やって来て え？ 都合良すぎんじゃないですか,You think you can come here unannounced? Isn’t that a bit selfish?,僕がお聞きしたいのは 一つだけなんです,I just want an answer to one question.,なんだと？,What did you say?,ったく お前は毎度毎度 余計なことを,You're always doing unnecessary things like this.,コツは余計なアレンジを せえへんこと,The key is to keep it simple.,,,,,,,,,,,,,,
申し訳ありません 謝りゃいいんですか？,I’m very sorry. -Words are cheap.,え？,What?,ちょ ちょっと ちょっとやめて ふたりとも,Stop it.,もういい あとはやっておく,You can go. I'll do the rest.,お好み焼きはシンプルに 作るんが一番なんです,"When it comes to okonomiyaki, simple is best.",,,,,,,,,,,,,,
あ いや そんなつもりは あの お時間ができるまで 待たせていただきますので,I'm being sincere. I will wait until you have some free time.,ほかのスーパーとの違い？,The difference compared to other supermarkets?,やんのか？ え？,-You want to take this outside? -What?,はい 失礼します,Okay. I'll be leaving.,アカリさんみたいに東京の人に 一度食べさせてあげたいです,I wish I can serve it to a native of Tokyo like yourself.,,,,,,,,,,,,,,
そんなことされたらね 余計に迷惑なんだよ,That’s even more troublesome for me.,はい 営業でおみえになる方には 必ずお聞きしてるんです,Yes. I ask this question to every sales rep that comes here.,やんのかって聞いてんだよ,I'm asking if you're ready to take this outside.,なに あの人 冷たすぎない？,What's wrong with him? He's so cold.,私って東京生まれに見える？,Do I look like I'm from Tokyo?,,,,,,,,,,,,,,
あ 10分 あ いえ ５分だけでも しつこいんだよ,"Give me ten, no, just five minutes. -You’re so stubborn.",超簡単です ズバリ値段の安さですよね？,That's super easy. It's the low prices. Right?,押忍！ 押忍 押忍…,Osu! -Osu.,高宮さんが どんだけ頑張ったと思ってんだよ,He doesn't know how hard you worked.,ザ･東京美人って 感じじゃないですか,You're the quintessential Tokyo beauty.,,,,,,,,,,,,,,
お 何だよそれ 俺が悪いみたいじゃん,What’s with that face? Was that my fault?,いいえ 昨日のロンロンの方も 同じ答えでした,No. The lady from Lonron said the same thing yesterday.,なんなんちょっと… はあ？,What's going on…,ああ いや ああいう人なので,That's just his personality.,少なくとも大阪に こんな雰囲気の人いませんよ,All I know is that people like you don't exist in Osaka.,,,,,,,,,,,,,,
あ いやそんな… もういい もう帰ってくれ,No… -Get out.,どうですか？,What do you think?,それで由美ちゃんは そいつのところに,Then Yumi ended up going out with him.,じゃあ お疲れさまでした,Thank you for your hard work.,ふーん そうなんだ,I see.,,,,,,,,,,,,,,
あ いや 帰れ帰れ 二度と来るな,Go away and never come back.,はい お店の中は煩雑に見えて,"Well, the products inside the store",それ以来 空手も空手をやるような やつもどうしても苦手なんだよ,"Ever since then, I hate karate or people who practice karate.",あ あの…,Wait.,なんか 猿川さんっていい人だね,"I think you're a good guy, Mr. Sarukawa.",,,,,,,,,,,,,,
営業初日に爆死って あるあるっすよね,Experiencing a bomb on your first day of sales is a common thing.,お客様が手に取りやすいように 商品が並んでいました,are displayed in a way that makes it easier for customers to take.,顔はいかついし 拳は平らだし 道着 くせえしよ,"They look scary, their fists are leveled, and the dojo stinks.",今度 お礼させてくれない？,Can I make it up to you next time?,そ そうですか？,You think so?,,,,,,,,,,,,,,
こうみえて僕も経験あるんすよ,I’ve experienced that too.,そして 従業員の人たちの笑顔,The employees all had big smiles on their faces.,いや そもそもよ 押忍ってなんやねん,"And what does ""osu"" mean anyway?",無事 申請できました,The application is complete.,アカリちゃん そろそろ…,"Akari, your next table awaits.",,,,,,,,,,,,,,
