Words,Meaning,Sentence,Translation
下宿,"lodging, boarding house",大学生の時、下宿で一人暮らしをしていました。,"When I was a college student, I lived alone in a boarding house."
宿泊,"stay, lodging",ホテルに宿泊する予定はありますか？,Do you plan to stay at a hotel?
宿る,"to dwell within, be imbued with",彼女の目には悲しみが宿っていた。,Sadness dwelled in her eyes.
勤める,"to work for, be employed at",彼は大手企業に勤めています。,He works for a major company.
通勤,commuting to work,毎日一時間以上通勤しています。,I commute more than an hour every day.
転勤,"job transfer, relocation",彼は転勤で海外へ行きました。,He went overseas due to job transfer.
最初,"first, beginning",最初は難しかったが、だんだん慣れてきた。,"It was hard at first, but I gradually got used to it."
初雪,first snow,今日は初雪が降った。,It snowed for the first time today.
初めて,for the first time,私は初めて日本に行きました。,I went to Japan for the first time.
連れる,to take someone along,友達をパーティーに連れて行ってもいいですか？,Can I bring my friend to the party?
連想,"association, connection",この色は私に夏を連想させる。,This color makes me think of summer.
関連,"relation, connection",この問題に関連する記事を読んだ。,I read an article related to this issue.
朝刊,morning newspaper,朝刊は一面にまで広告を載せています。,The morning paper even carried advertisements on the front page.
創刊,"foundation, launching",その新聞は明治 20 年に創刊された。,The newspaper was first published in 1887.
週刊誌,weekly journal,少年はそこに座って週刊誌を読んでいた。,A boy would sit there and read the weekly.
夕刊,evening paper,選挙の結果は夕刊に載るでしょう。,Election results would appear in the evening edition.
発刊,"publication, issue",本誌の発刊もこの事業の一環であります。,The publication of this magazine is also part of this project.
新刊,new publication,やってみたかった新刊の扱いもはじめたい。,"We also want to start handling new publications, which we have been wanting to do."
刊行,"publication, issue",この著書は刊行後すぐに発禁処分を受けた。,This book was banned soon after publication.
季刊,quarterly publication,この季刊誌は、毎回異なるテーマで特集を組んでいる。,This quarterly magazine features a different theme in each issue.
年刊,annual publication,その年刊レポートには、会社の成長が詳しく記されている。,The annual report details the company’s growth extensively.
互い,each other,私たちは互いの文化を尊重し合うべきだ。,We should respect each other’s cultures.
相互,"mutual, reciprocal",相互理解が国際関係を強化する鍵だ。,Mutual understanding is the key to strengthening international relations.
交互,alternate,彼らは交互に意見を出し合った。,They exchanged opinions alternately.
互いに,"mutually, reciprocally",チームメンバーは互いに協力してプロジェクトを完成させた。,The team members cooperated with each other to complete the project.
毒,"poison, toxicant",このキノコには毒があるので食べてはいけない。,"This mushroom is poisonous, so you must not eat it."
気の毒,"pitiful, miserable",彼の失敗を聞いて、気の毒に思う。,I feel sorry to hear about his failure.
中毒,poisoning,彼はゲーム中毒だと言われています。,He is said to be addicted to games.
食中毒,food poisoning,彼女は食中毒で入院した。,She was hospitalized for food poisoning.
消毒,"disinfection, sterilization",傷口を消毒する必要があります。,You need to disinfect the wound.
有毒,"poisonous, toxic",この工場は有毒な廃棄物を排出している。,This factory is emitting toxic waste.
毒性,toxicity,この薬は高い毒性を持っているので、注意して服用してください。,"This medicine has high toxicity, so please take it with caution."
政党,political party,彼は自由民主党という政党に所属している。,He belongs to the political party called the Liberal Democratic Party.
野党,opposition party,野党は政府の政策に反対する声明を発表した。,The opposition party issued a statement against the government’s policy.
与党,ruling party,与党は選挙で大勝した。,The ruling party won a landslide victory in the election.
放送,broadcasting,この番組は毎週日曜日に放送されています。,This program is broadcasted every Sunday.
解放,"release, unleashing",彼は長年の苦しみから解放された。,He was freed from his long suffering.
放射,"radiation, emission",この原子力発電所は放射能を放射している。,This nuclear power plant is emitting radiation.
放す,"release, set free",彼は魚を釣ったが、すぐに放してやった。,"He caught a fish, but he let it go right away."
追放,"banishment, exile",彼は国から追放された。,He was banished from the country.
開放,"opening, allow access",この公園は一般に開放されている。,This park is open to the public.
放棄,"abandonment, renouncement",彼は自分の夢を放棄した。,He gave up his dream.
放出,"release, emission, ejection",この火山は噴火して煙と灰を放出した。,The volcano erupted and released smoke and ash.
放置,leaving as is,この自転車は長い間放置されている。,This bicycle has been left unattended for a long time.
放射能,radioactivity,放射能汚染は環境に深刻な影響を与える。,Radioactive contamination has a serious impact on the environment.
放射線,radiation,放射線治療はがんの治療に用いられる。,Radiation therapy is used to treat cancer.
放課後,after school,放課後、彼は図書館で勉強した。,"After school, he studied at the library."
放題,as one pleases,このレストランでは、ピザが食べ放題だ。,"At this restaurant, you can eat as much pizza as you want."
郊外,"suburb, outskirts",彼は郊外に住んでいる。,He lives in the suburbs.
近郊,"outskirts, environs",近郊にはたくさんの観光スポットがある。,There are many tourist attractions in the vicinity.
権利,"right, privilege",人間は生まれながらにして権利を持っている。,Human beings have rights by birth.
権力,"power, authority, influence",彼は権力に酔っている。,He is intoxicated with power.
権威,"authority, power, influence",彼はその分野の権威として知られている。,He is known as an authority in that field.
権限,"power, authority, jurisdiction",彼にはそのような権限はありません。,He does not have such authority.
政権,political power,彼は政権交代を望んでいる。,He hopes for a change of government.
主権,sovereignty,この国は主権を守るために戦った。,This country fought to defend its sovereignty.
特権,"privilege, special right",彼は特権階級に属している。,He belongs to the privileged class.
権,right,彼は自分の権を主張した。,He asserted his right.
所有権,ownership rights,彼はその土地の所有権を主張した。,He claimed ownership of the land.
人権,human rights,国民の基本的人権を保障する。,Guarantee the fundamental human rights of the people.
選手権,championship,イタリア選手権の出場を辞退した。,The team declined to participate in the Italian Championships.
著作権,copyright,著作権情報およびバージョン番号を表示します。,Copyright information and version number.
債権,"credit, claim",現在では国債と貸付債権が相当する。,"Today, the equivalent of government bonds and loan bonds"
公民権,civil rights,彼は公民権の強力な支持者でもあった。,He was also a strong supporter of civil rights.
兵隊,soldier,兵隊が町への道を封鎖した。,Soldiers blocked the road to the town.
兵器,"arms, weapon",違った種類の兵器をシミュレートできます。,Different types of weapons can be simulated.
核兵器,nuclear weapon,核兵器の禁止が必要だ。,Nuclear weapons need to be banned.
歩兵,infantry,これは歩兵の戦いだった。,This was an infantry battle.
軍事,military affairs​,軍事介入が必要な場合もあります。,Military intervention may be necessary.
軍艦,warship,両軍はそれぞれ200隻以上の軍艦を所有していた。,The two armies each owned more than 200 warships.
軍備,"armaments, military preparations",軍備競争へと発展している。,This is developing into an arms race.
経済,"economy, economics",経済が安定することを期待する。,Expect the economy to stabilize.
救済,"relief, aid, help",新しい法律を作って救済する。,Create new laws to bail them out.
済む,"finish, end, complete",試験が済むまでは帰省できない。,You cannot return home until the test is done.
返済,repayment,返済原資をお聞かせ願いたい。,We would like to know the source of repayment.
政治,politics,多くの場所で政治構造が崩壊した。,In many places the political structure has collapsed.
自治,self-government,後の変更は自治への地域の強い願望から来た。,Later changes came from the strong local desire for autonomy.
治療,"treatment, care, therapy",ウイルス治療の詳細を送ります。,I am sending you the details of the virus treatment.
治る,"recover, get better",この薬で君の風邪は治るだろう。,This medicine will cure your cold.
治める,"rule, govern",この国を治める指導者が必要だ。,We need a leader to govern this country.
統治,"rule, reign, governing",我々の採用する統治システムではありません。,This is not the system of governance we employ.
退治,"extermination, eradication",敵対を退治達成するために一定の挑戦です。,It is a constant challenge to achieve exterminate the hostility.
明治,meiji era,日本で明治政府の国策の基本を指す。,It refers to the basic national policy of the Meiji government in Japan.
治癒,"healing, cure, recovery",治癒するのに約60秒かかります。,It takes about 60 seconds to heal.
治す,"cure, heal",病気を治すことは出来ない。,You cannot cure a disease.
治療法,method of treatment,治療法は原因によって異なる。,The cure depends on the cause.
政府,government,政府の反応は非常に早かった。,The government's reaction was very quick.
政策,political measures,これは極めて適切な政策パッケージだと思います。,This is an extremely appropriate policy package.
財政,public finance,国家財政は厳しく逼迫している。,State finances are severely strained.
行政,"executive, government, administration",新たな行政機構が作られている。,New administrative structures are being created.
物価,prices of goods and services,物価が上昇して、生活が苦しくなった。,"The prices of goods and services rose, and life became difficult."
価格,"price, cost",この商品の価格は税込みですか？,Is the price of this product inclusive of tax?
評価,"evaluation, assessment, appraisal",彼は上司から高い評価を受けた。,He received a high evaluation from his boss.
急用,urgent business,急用ができたので、早退します。,"I have urgent business, so I will leave early."
急行,"express, rushing, hastening",この電車は急行なので、各駅には止まりません。,"This train is an express, so it does not stop at every station."
緊急,"urgent, emergency",緊急事態が発生したら、このボタンを押してください。,"If an emergency occurs, please press this button."
緊張,"tension, nervousness",明日の試験に緊張している。,I am nervous about tomorrow’s exam.
緊迫,"tense, strained",国際情勢は緊迫している。,The international situation is tense.
先端,"tip, point, edge",先端技術の発展によって、人間の生活は大きく変わった。,Human life has changed greatly due to the development of cutting-edge technology.
極端,"extreme, radical",彼は極端な考え方を持っているので、議論になるとすぐに感情的になる。,"He has an extreme way of thinking, so he becomes emotional as soon as he gets into an argument."
半端,"odd, incomplete, insufficient",半端な仕事をするな。最後までやり遂げろ。,Don’t do a half-baked job. Finish it to the end.
端末,"terminal, device, computer",この端末はインターネットに接続できますか？,Can this device connect to the internet?
異端,"heresy, heterodoxy",彼の主張は教会の教義に反する異端だと非難された。,His claim was denounced as a heresy that contradicted the church doctrine.
端,"end, edge, side",テーブルの端にコーヒーカップを置いておいた。,I left the coffee cup on the edge of the table.
中途半端,"half-hearted, half-baked, incomplete",中途半端な態度で物事に取り組むと、成功する可能性は低くなる。,"If you approach things with a half-hearted attitude, your chances of success will decrease."
端的,"concise, clear, direct",彼は自分の考えを端的に述べた。,He stated his thoughts concisely.
道端,"roadside, wayside",道端に捨てられたゴミが目についた。,I noticed the trash that was thrown away on the roadside.
発端,"origin, cause, trigger",この紛争の発端は何だったのだろうか。,What was the origin of this conflict?
両端,"both ends, opposite ends",糸の両端を結んでね。,Tie both ends of the thread.
端役,"minor role, bit part",彼は映画に端役として出演した。,He appeared in the movie as a minor role.
切れ端,"scrap, fragment, remnant",切れ端を集めてクッションを作った。,I made a cushion out of scraps.
一端,"one end, one side",一端から火をつけてください。,Please light it from one end.
両極端,"both extremes, opposite extremes",彼女は気分が両極端に変わることがよくある。,She often changes her mood to opposite extremes.
先端技術,"cutting-edge technology, advanced technology",先端技術の研究に従事している。,I am engaged in the research of cutting-edge technology.
準備万端,"fully prepared, ready for anything",彼は準備万端で試験に臨んだ。,He took the exam fully prepared.
端書き,"marginal note, annotation",本に端書きをするのは悪い習慣だと思う。,I think it’s a bad habit to write marginal notes in books.
川端,"riverside, riverbank",川端で花火を見た。,I saw the fireworks on the riverside.
端末機,"terminal device, terminal equipment",端末機の故障により、サービスが停止しています。,The service is stopped due to a terminal device failure.
最先端,"forefront, cutting edge",彼は最先端の技術に精通している。,He is well versed in the latest technology.
末端,"end, tip, extremity",木の枝の末端に鳥が止まっていた。,A bird was perched on the tip of the tree branch.
端たない,"insignificant, trivial, petty",端たないことで怒らないでください。,Please don’t get angry over trivial things.
万端,"all, everything, every possible means",万端の注意を払ってください。,Please pay attention to everything.
端数,"fraction, decimal, odd number",端数を切り上げてください。,Please round up the fraction.
先端的,"advanced, cutting-edge, leading-edge",先端的なアイデアを出すのが得意だ。,I’m good at coming up with advanced ideas.
後端,"rear end, back end",車の後端にぶつかってしまった。,I hit the rear end of the car.
前端,"front end, fore end",車の前端が傷ついている。,The front end of the car is damaged.
回線終端,"line termination, line end",回線終端に抵抗器を接続する必要がある。,A resistor needs to be connected to the line termination.
後方端,"rear end, back end",後方端にはブレーキランプが付いている。,There is a brake lamp on the back end.
前方端,"front end, fore end",前方端にはヘッドライトが付いている。,There is a headlight on the front end.
通報受端,"reporting end, receiving end",通報受端には警察が待機している。,The police are waiting at the reporting end.
目的,"purpose, goal",彼女は目的を達成するために一生懸命勉強した。,She studied hard to achieve her goal.
目標,"target, objective",今年の目標は日本語能力試験に合格することだ。,My objective for this year is to pass the Japanese Language Proficiency Test.
努力,"effort, endeavor",彼は努力の甲斐があって、夢を叶えた。,His efforts paid off and he realized his dream.
原因,"cause, reason",事故の原因は何だったのですか？,What was the cause of the accident?
理由,"reason, motive",彼はその理由を説明できなかった。,He couldn’t explain the reason.
結果,"result, outcome",結果はどうでしたか？,How was the result?
不可欠,"indispensable, essential",水は人間にとって不可欠なものだ。,Water is indispensable for humans.
働きかけ,"influence, appeal, urging",彼は政府に働きかけて、法律を改正させた。,He influenced the government and made them revise the law.
期待,"expectation, hope",彼は期待に応えて、素晴らしい演技をした。,He met the expectations and performed wonderfully.
前後,"before and after, around",この事件は午後三時前後に起こった。,This incident happened around 3 pm.
主格,nominative case,日本語の主格はがという助詞で示される。,The subject case in Japanese is indicated by the particle ga.
置き換える,"replace, substitute",彼は古いパソコンを新しいものに置き換えた。,He replaced his old computer with a new one.
一致せず,"not matching, not agreeing",彼の言うこととやることが一致せず、信用できない。,"His words and actions do not match, and I can’t trust him."
営む,"conduct, carry on",彼は小さなレストランを営んでいる。,He runs a small restaurant.
意志,"will, intention",彼は強い意志を持っている。,He has a strong will.
帰郷,"returning home, homecoming",彼は久しぶりに帰郷した。,He returned home after a long time.
天引き,"automatic withdrawal, direct debit",電気代は毎月天引きになっている。,The electricity bill is automatically withdrawn every month.
積立,"savings, accumulation",彼は毎月少しずつ積立てている。,He saves a little bit every month.
積立貯金,"savings deposit, regular savings",積立貯金は将来のために役立つ。,Savings deposits are useful for the future.
積立資金,"reserve fund, accumulated fund",積立資金は緊急時に使える。,Reserve funds can be used in emergencies.
積立金,"savings, accumulated money",彼は積立金を使って車を買った。,He bought a car with his savings.
順接,"sequential conjunction, logical connection",彼は病気だったが、試験に受かった。,"He was sick, but he passed the exam."
確定,"decision, determination",確定申告はもう済ませましたか？,Have you finished your tax return?
条件,"condition, requirement",この仕事には特別な条件はありません。,There are no special requirements for this job.
形勢,"situation, aspect, prospects",彼は選挙の形勢に不安を感じた。,He felt uneasy about the election situation.
,,,
,,,
,,,
,,,
,,,
から〜にかけて,from to,この植物は九州北部から中部にかけて見られる。,This plant is found from northern to central Kyushu.
だらけ,"full of, covered all over",数学の答案は間違いだらけだった。,The math answers were full of mistakes.
おかげ,thanks to,医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, life expectancy has increased."
せい,"due to, because of",大気汚染が悪化したのは、政府が何の対策も立てなかったせいだ。,Air pollution has worsened because of the government's failure to take any action.
せいか,"perhaps due to, perhaps because of",気のせいか、最近父は元気がないようだ。,"Perhaps it is my imagination, but my father seems to be in low spirits these days."
とおり,"as, as expected",学生たちは、先生が黒板に書いたとおりにノートに写した。,Studies are not going as planned.
どおり ,"as, as expected",勉強がなかなか予定どおりに進まない。,Studies are not going as planned.
うちに,"while, during",大事なことは忘れないうちにメモしておいたほうがいいですよ。,You should write down the important things before you forget them.
に関して,"in relation to, about, regarding",申し込み手続きに関してお伺いしたいのですが。,I would like to ask you about the application process.
たびに,every time,友人たちの活躍を聞くたびに、うれしく思う。,"Every time I hear about the success of my friends, I am happy."
に加えて,in addition to,今週はいつものテストに加えてレポート提出もあり、とても忙しい。 ,This week has been very busy with reports due in addition to the usual tests.
に比べて,compared to,昼間に比べて深夜は電気料金が安い。,Electricity rates are lower late at night than during the day.
について,"about, regarding",この記事についてのご意見をお聞かせください。,Please let us know what you think about this article.
につき,on the account of,本日は定休日につき、休ませていただきます。,We will be closed today for the regular holiday.
を中心に,"mainly, centered on, around",若い世代を中心に人気を集めそうだ。,It is likely to gather popularity mainly in the young generation.
を中心にして,"mainly, centered on, around",基準点を中心にして円を作成します。,Create a circle centered on the reference point.
を中心として,"mainly, centered on, around",家庭を中心として伝統を立てることが絶対に必要です。,It is absolutely necessary to build traditions around the family.
に対して,"towards, regarding",目上の人に対しては敬語を使わなければならない。,Honorifics must be used with superiors.
をはじめ,"starting with, including",新宿には都庁をはじめ、多くの高層ビルが立ち並んでいる。,"Shinjuku is lined with many skyscrapers, including the Tokyo Metropolitan Government Building."
たとえ〜ても,even if,たとえ両親に反対されても、家を出て一人暮らしがしたい。,"I want to leave home and live alone, even if my parents are against it."
に違いない,"no doubt, no mistake, must be, sure",それで環境に良いに違いない。,So it must be good for the environment.
相違ない,"without doubt, certain, must be, sure",途中で彼女に何事か起こったに相違ない。,Something must have happened to her on the way.
たとたんに,as soon as,ボタンを押したとたんに、画面の文字が消えてしまった。,"As soon as I pressed the button, the text on the screen disappeared."
につれて,along with,試験が近づくにつれて、だんだん心配になってきた。,"As the exam approached, I became more and more worried."
にしたがって,"in accordance with, following",新しいルールにしたがって試合をした。,The match was played according to the new rules.
にしたがい,"in accordance with, following",台風が近づくにしたがい、風雨はますます強まるでしょう。,Winds and rain will intensify as the typhoon approaches.
最中,in the midst of,着替えをしている最中に玄関のチャイムが鳴った。,I was in the middle of getting dressed when the doorbell rang.
てからでないと,"unless, until, if not preceded by ",実物を見てからでないと買うかどうかは決められない。,You have to see the actual product before you can decide whether to buy it or not.
てからなければ ,"unless, until, if not preceded by ",契約書をよく読んでからでなければサインをしてはいけない。,Do not sign a contract unless you have read it carefully.
くらい,"around, about, to that degree",忙しくても、電話をするくらいの時間はあるはずだ。,"You're busy, but you should have enough time to make a call."
くらいなら,around that extent or degree,練習が辛くて泣くくらいなら、やめてしまいなさい。,"If you would rather cry because practice is too hard, then stop."
しかない,only way to do it,かさを持っていなかったので、ぬれて帰るしかなかった。,"I didn't have a umbrella, so I had to go home soaking wet."
ほかない,no other way to do it,良い大学に入るためには、一生懸命勉強するほかない。,"To get into a good college, you have no choice but to study hard."
よりない,there is nothing to be done but to,この苦しさから逃れるには、ただ時が過ぎるのを待つよりないだろう。,The only way to escape this bitterness would be to simply wait for time to pass.
よりほかない,there is no other way to do it but to,この問題は難しすぎるので、あきらめるよりほかない。,"This problem is too difficult, so there is no choice but to give up."
ほかしかたがない,there is no other way to do it but to,この問題は解けないので、先生に聞くほかしかたがない。,"I can’t solve this problem, so I have no other way but to ask the teacher."
において,"indicates the time, place, field or situation",災害時においては、冷静になることが何よりも大切だ。,"In times of disaster, the most important thing is to remain calm."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
お~くださる,to be given,おばさんがお送りくださったみかん、昨日受け取りました。,I received the oranges that your aunt sent me yesterday.
ご~くださる,to be given,私の気持ちをご理解くださり、本当にありがとうございます。,Thank you so much for understanding my feelings.
お~いただく,to receive something,有名な画家に、花の絵をおかきいただきました。,We are pleased to have a well-known artist paint the flowers for us.
ご~いただく,to receive something,この度はご協力いただき、心より感謝しております。,We sincerely appreciate your cooperation.
お~申し上げる,to say,ご結婚されたんですね。お祝い申し上げます。,I see that you got married. We congratulate you.
ご~申し上げる,to say,皆様に、新年のごあいさつ申し上げます。,I would like to wish you all a Happy New Year.
ございます,"to be, exist",荷物預けサービスは無料でございます。,Luggage storage service is free of charge.
ております,"do-ing, be-ing",当店は、年中休まず営業しております。,We are open year-round.
と申します,"my name is, i am to be called",人物写真家のミヤタケヨシノブと申します。,"My name is Yoshinobu Miyatake, a portrait photographer."
お目にかかります,to meet,来月、お目にかかれることを楽しみにしています。,We look forward to seeing you next month.
伺います,"ask, inquire, pay a visit",動物園の園長に、詳しくお話を伺ってみます。,We will talk to the director of the zoo to learn more.
お~になる,to do or to be in respectful way,村上さんは用事があるとのことで、さっきお帰りになりました。,Mr. Murakami left just now because he had some business to attend to.
ご~になる,to do or to be in respectful way,ご利用になる際は、必ずお申し込みください。,Please be sure to apply when you use it.
お~する,to do in humble way,試験の結果は、はがきでお送りします。,The results of the test will be sent to you by postcard.
ご~する,to do in humble way,二階のお部屋へご案内いたします。,We will show you to your room on the second floor.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
にあたって,"at the time of, facing an important matter",新しいプロジェクトにあたって、計画を立て直す必要があります。,We need to re-plan upon starting a new project.
にあって,"at the time of, under a circumstance",緊急事態にあっては、冷静な判断が求められる。,"In an emergency, calm judgment is required."
にあっても,"even at the time of, even in or under",経済危機にあっても、彼の会社は利益を上げ続けた。,"Even in an economic crisis, his company continued to make a profit."
にあっては,"in terms of, when it comes to, under a circumstance",試験にあっては、時間管理が重要です。,"When it comes to exams, time management is important."
にいたる,"to reach to, to lead to, up until",内燃機関からの人工知能に至る。,From internal combustion engines to artificial intelligence.
にいたるまで,"until reaching or leading to, all the way to",このプロジェクトは企画から完成にいたるまで、彼の指揮のもとで進められた。,This project was carried out under his direction from planning to completion.
にいたって,at a particular time of some extreme case,彼は卒業式にいたってやっと笑顔を見せた。,He finally showed a smile on his graduation day.
にいたっては,especially at or particular on some extreme case,彼は普段は優しいが、怒るにいたっては手がつけられない。,"He is usually kind, but he is uncontrollable when he gets angry."
にいたっても,"even at, on or it reaches to an extreme case",彼は病気になっても、仕事を休むにいたってもなかった。,He did not even take a break from work even when he got sick.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
