Words,Reading,Meaning,Level
発進,はっしん,"departure, takeoff, launch",2
大発見,だいはっけん,"breakthrough, great discovery",3
経済発展,けいざいはってん,economic development,3
研究開発,けんきゅうかいはつ,research and development,3
発射台,はっしゃだい,launching pad,3
都市再開発,としさいかいはつ,urban redevelopment,3
発病,はつびょう,falling ill,2
一発,いっぱつ,"one shot, blow, charge, explosion",2
再発行,さいはっこう,"reissue, republication",2
発売中,はつばいちゅう,now on sale,2
爆発的,ばくはつてき,explosive,2
揮発性,きはつせい,volatility,2
発音,はつおん,pronunciation,1
発見,はっけん,discovery,1
発明,はつめい,invention,1
爆発,ばくはつ,explosion,1
発電,はつでん,generation,1
蒸発,じょうはつ,evaporation,2
反発,はんぱつ,opposition,1
発展,はってん,development,1
出発,しゅっぱつ,departure,1
発表,はっぴょう,announcement,1
発達,はったつ,"development, growth",2
発行,はっこう,"publication, issue",1
連想,れんそう,association of ideas,2
連絡,れんらく,contacting,1
連邦,れんぽう,commonwealth,3
関連,かんれん,"relation, connection",1
連続,れんぞく,"continuation, succession",1
連合,れんごう,"union, combination",2
連中,れんちゅう,"company, lot, bunch",3
一連,いちれん,"series, chain, sequence",1
連休,れんきゅう,consecutive holidays,2
連帯,れんたい,solidarity,3
連日,れんじつ,day after day,2
連盟,れんめい,"league, federation",3
連結,れんけつ,"connection, linking, joining",2
連隊,れんたい,regiment,3
連れる,つれる,"take with, bring along",1
連れ去る,つれさる,"carry off, take away",3
連行,れんこう,"taking, dragging",1
連動,れんどう,working together,1
連敗,れんぱい,consecutive defeats,2
連勝,れんしょう,consecutive victories,2
連立,れんりつ,"coalition, alliance, union",3
連載,れんさい,serialization,3
連鎖,れんさ,"chain, series, connection",3
連覇,れんぱ,successive championships,3
連れて行く,つれていく,take along,1
連れてくる,つれてくる,bring along,1
連絡先,れんらくさき,contact information,1
連れ出す,つれだす,take out ,3
連れ込む,つれこむ,"bring into, lead into",3
連合艦隊,れんごうかんたい,combined fleet,3
連ねる,つらねる,"line up, put in a row, add, accept",2
連なる,つらなる,"extend, stretch out, stand in a row, participate, enrol",2
国連,こくれん,united nations,2
連れ戻す,つれもどす,bring back,3
普通,ふつう,"normal, ordinary, usual",1
普段,ふだん,"usual, normal, everyday",1
普及,ふきゅう,"diffusion, spread, popularization",1
普段着,ふだんぎ,everyday clothes,2
普遍的,ふへんてき,universal,3
普遍,ふへん,"universal, general",2
普通列車,ふつうれっしゃ,"regular train, local train",3
普通選挙,ふつうせんきょ,universal suffrage,3
普通預金,ふつうよきん,ordinary bank account,3
文化,ぶんか,"culture, civilization",1
化学,かがく,chemistry,1
強化,きょうか,"strengthening, intensifying",2
消化,しょうか,digestion,2
進化,しんか,evolution,2
化石,かせき,fossil,2
変化,へんか,"change, variation, alteration",1
化粧,けしょう,"makeup, cosmetics",1
悪化,あっか,deterioration,2
酸化,さんか,oxidation,2
化ける,ばける,"take form, transform, disguise",1
生化学,せいかがく,biochemistry,3
老化,ろうか,aging,1
文化遺産,ぶんかいさん,cultural heritage,3
合理化,ごうりか,rationalization,3
一酸化炭素,いっさんかたんそ,carbon monoxide,3
化合物,かごうぶつ,compound,3
同化,どうか,"assimilation, absorption​",2
二酸化炭素,にさんかたんそ,carbon dioxide,3
化学物質,かがくぶっしつ,chemical substances,1
風化,ふうか,"weathering, fading",3
化粧水,けしょうすい,skin lotion,3
炭水化物,たんすいかぶつ,carbohydrate,3
具体化,ぐたいか,"embodiment, materialization",2
文化的,ぶんかてき,cultural,2
自由化,じゆうか,liberalization,3
化学肥料,かがくひりょう,chemical fertilizer,3
激化,げきか,"intensification, aggravation",2
南極,なんきょく,south pole,3
北極,ほっきょく,north pole,3
積極的,せっきょくてき,"positive, assertive, proactive",2
消極的,しょうきょくてき,"negative, passive, half-hearted",2
極端,きょくたん,"etreme, extremity",2
究極,きゅうきょく,"final, ultimate, last",3
極めて,きわめて,"exceedingly, extremely",2
極東,きょくとう,far east,3
極度,きょくど,"maximum, extreme, utmost",2
見極める,みきわめる,"ascertain, make sure",2
極秘,ごくひ,absolute secrecy,3
極力,きょくりょく,"utmost, one’s best ability",3
極まる,きわまる,"reach an extreme, reach the limit",3
極地,きょくち,polar regions,3
極点,きょくてん,"pole, climax, extreme",3
極上,ごくじょう,"first-rate, finest quality",3
極小,きょくしょう,"minimum, minuscule",3
極致,きょくち,"culmination, peak",3
