Verbs,Pattern,Translation
,現代医学でも治らない。,Even modern medicine cannot cure it.
,人に無理な要求を突き付ける。,Make unreasonable demands on people.
,彼に証拠を突き付ける。,Confront him with the evidence.
,チームに新たな課題を突き付ける。,Poses new challenges to the team.
,考え方に疑問を突き付けることを試みます。,We will attempt to challenge the way of thinking.
,仕上げの筆を少し加える。,Add a few finishing touches.
,他のメンバを会話に加える。,Add other members to the conversation.
,オリーブオイルを加える。,Add olive oil.
,修正を加える。,Make corrections.
,2 に 3 を加えると 5 だ。,Adding 3 to 2 yields 5.
,新版には索引が加えてある。,An index has been added to the new edition.
,仕事は済んだ。,Job done.
,試験が済んだ。,The test was done.
,少しの損で済んだ。,It was only a small loss.
,話は済んだ。,We're done talking.
,準備は１日で済んだ。,Preparation took only one day.
,買わなくて済む。,You don't have to buy it.
,どこに泊まるか。,Where to stay.
,神社に泊まる。,Stay at the shrine.
,ホテルに泊まるつもりです。,I plan to stay in a hotel.
,今晩泊まってもいいですか。,Can I stay over tonight?
,神戸に泊まる。,Stay in Kobe.
,予定が詰まっている。,The schedule is packed.
,道路は行楽客の車で詰まっている。,Roads are packed with cars of tourists.
,排水管が詰まっている。,Clogged drainpipe.
,製品は慎重に詰まる。,Product is packed carefully.
,脳の血管が詰まる。,Clogged blood vessels in the brain.
,殺人を犯した。,Committed murder.
,禁を犯す。,Violate the ban.
,校則を犯す。,Violate the school regulations.
,法律を犯す。,Breaking the law.
,車のキーが見つからない。,Can't find my car keys.
,新種の昆虫が見つかった。,A new species of insect was found.
,新しい方法が見つかった。,New methods were found.
,うまい言葉が見つかった。,I found a good word for it.
,計算ミスが見つかった。,A calculation error was found.
,調整を図る。,Seek adjustments
,便宜を図る。,Make accommodations.
,再起を図る。,Strive for a comeback.
,市場の拡大を図っている。,Trying to expand the market.
,公益を図る。,To serve the public interest.
,販売代理店ネットワークの強化を図る。,Strengthening the distributor network
,品質安定化を図るため。,To ensure quality stabilization
,製品ごとのブランド構築を図る。,Build a brand for each product.
,国際団体に属しています。,Belong to an international organization.
,知事の権限に属する。,Fall under the authority of the Governor.
,経理部門に属する。,Belongs to the accounting department.
,同一の部類に属する事業。,Businesses that belong to the same category.
,商業地域内に属する。,It is located within a commercial area.
,政界と結びついている諸団体。,Organizations with political ties.
,音と言葉が結び付く。,Sound and words are connected.
,実験が現実世界に結び付く。,Experiments tie into the real world.
,使命を果たす。,Accomplish the mission.
,目的を果たす。,Serve one's purpose.
,任務を果たす。,Carry out one's duty.
,役割を果たす。,Fulfill a role.
,責任を果たす。,Fulfill one's responsibilities.
,約束を果たす。,Keep a promise.
,雪辱を果たす。,Make revenge on.
,願望を果たす。,Fulfill one's desire.
,急いで食べる。,Eat in a hurry.
,食べ終える。,Finish eating.
,食べてみる。,Try to eat.
,食べさせる。,Let them eat.
,食べきれないほど料理が出た。,I've had more food than I can eat.
,この魚は食べるとおいしいんだよ。,This fish is delicious to eat.
,この収入では食べられない。,I can't eat it on this income.
,軽く食べてきた。,I have eaten lightly.
,すっかり食べてしまう。,I'm going to eat it all.
,食べ始めるとするか。,Let's start eating.
,忙しくて夕飯を食べそこなった。,I was so busy I missed dinner.
,多すぎて食べきれなかった。,There was too much to eat.
,少しずつ食べる。,Eat little by little.
,電車で寝る。,Sleep on the train.
,寝てから考える。,Sleep and then think.
,病気で寝ている。,Sleeping because I'm sick.
,早く寝なさい。,Go to bed early.
,昨夜は何時に寝ましたか。,What time did you go to bed last night?
,まだ寝ないのか。,You haven't gone to bed yet.
,庭を散歩する。,Take a walk in the garden.
,浜辺を散歩する。,Taking a walk on the beach.
,散歩から帰る。,Return from a walk.
,少し散歩してきた。,I've had a short walk.
,散歩に出かける。,Going for a walk.
,散歩に行く。,Go for a walk.
,電話を取る。,Picking up the phone.
,子供の手を取る。,Takes the child's hand.
,品物を取りに来る。,Comes to pick up an item.
,取りに行く。,Going to pick up.
,取りにやる。,Do it to get it.
,取ってくる。,Go and get it.
,取りに来るまで置いておく。,Leave it until you come and get it.
,あの棚の上の本を取ってください。,Please take the book on that shelf.
,そのペンを取ってください。,Please take that pen.
,サラダをお取りしましょうか。,Shall I take a salad?
,ご自由にお取りください。,Feel free to take it.
,この中から好きなのを取ってください。,Take whatever you like from this list.
,学位を取る。,Take a degree.
,資格を取る。,Take a qualification.
,休暇を取る。,Take a holiday.
,満点を取る。,Get a perfect score.
,許可を取る。,Get a permit.
,彼が私のアイデアを取った。,He took my idea.
,あいつが取った。,That guy took it.
,居間を広く取る。,Take a larger living room.
,会議室を取る。,Take the meeting room.
,順番を取る。,Take a turn.
,席を取る。,Take the seats.
,客から注文を取る。,Takes orders from customers.
,時間を取る。,Taking time.
,データを取る。,Taking data.
,値札を取る。,Take price tags.
,痛みを取る。,Take the pain.
,昼食にカツ丼を取る。,Take katsudon for lunch.
,なぜそんなに長時間取るか。,Why take so long?
,大学を出る。,Leaving university.
,都会へ出る。,Leaving the city.
,社会に出る。,Going out into society.
,買い物に出る。,Going shopping.
,アパートを出る。,Leaving the flat.
,風呂から出る。,Leaving the bath.
,故郷を出る。,Leaving home.
,部屋を出る。,Leaving the room.
,腕の傷口から血が出ていた。,Blood was coming out of the wound on his arm.
,星がたくさん出ている。,Lots of stars out.
,月が出た。,The moon is out.
,その列車は東京駅から出ている。,That train leaves from Tokyo station.
,このプリンターはいい色が出る。,This printer produces good colour.
,両足にむくみが出ている。,Swelling in both legs.
,翌日 9 度の熱が出た。,The next day she had a fever of 9°C.
,蛇口をひねっても水が出ない。,Water does not come out when the tap is turned on.
,彼独特の持ち味が出ている。,He has his own unique take on it.
,そこで彼の欠点が出てしまった。,That is where his shortcomings came into play.
,銀行に寄ってお金をおろしてから行こう。,Let's stop by the bank and withdraw some money before we go.
,薬がきいて熱が下がってきた。,The medicine is working and the fever is coming down.
,最後に使った人は電源をきってください。,The last person to use it should turn it off.
,まずみんなで話し合って計画をたてましょう。,"First, let's talk together and make a plan."
,では、出席をとります。,"Then, let's take attendance."
,大変です。急いで救急車を呼んでください。,It's a disaster. Please call an ambulance quickly.
,彼はつまらなそうに大きなあくびをした。,"He yawned loudly, looking bored."
,松本課長は今席をはずしています。,Chief Matsumoto is out of his seat right now.
,窓を開けて寝たら風邪をひいてしまった。,I caught a cold when I slept with the window open.
,日が暮れる前に帰りましょう。,Let's go home before dark.
,あなたの席を保持します。,Hold your seat.
,通路側の席をお願いします。,Please take an aisle seat.
,あなたと席を交換しよう。,I will trade seats with you.
,少し席を外してくれるか。,Would you excuse us for a moment?
,席を移ってもかまいませんか。,Would you mind if I switch seats?
,夏季には屋外席を使用できます。,Outdoor seating is available during the summer months.
,彼女の向かい側に席を取りなさい。,Take the seat across from her.
,私はおばあさんに席を譲った。,I gave up my seat to the old lady.
,窓側の席をお望みですか。,Do you want the window seat?
,彼を助手席に乗せて。,Put him in the passenger seat.
,せめて前の席に乗せてくれないか。,Can you at least put him in the front seat?
,特別席に移動ですか。,Move to the special seat?
,隣の席に移動してください。,Move him to the seat next to you.
,窓際の席にしてください。,Please put him in the window seat.
,ちょっと休みましょう。コーヒーを入れますね。,Let's take a break. I'll make some coffee.
,寒くなってきたから厚い毛布をかけて寝よう。,"It's getting cold, so let's put a thick blanket on and go to bed."
,傘を差して自転車に乗るのは危ないです。,It is dangerous to ride a bicycle with an umbrella.
,私が運転免許証を取ったのは２０歳の時です。,I got my driver's license when I was 20 years old.
,わからない言葉があったらすぐ辞書を引くようにしています。,"If I don't understand a word, I immediately look it up in the dictionary."
,「ええ」 「それで」とあいずちをうちながら話を聞いていた。,"I listened to him as he said, ""Yeah,"" and ""So."
,ああ、のどが渇いた。水をください。,"Oh, I'm thirsty. Please give me some water."
,スポーツをして汗を掻くのは気持ちがいい。,It feels good to sweat through sports.
,病気の時は十分睡眠を取ったほうがいいですよ。,You should get enough sleep when you are sick.
,３年働いてお金が貯まったら留学しようと思っている。,I'm thinking of studying abroad after I work for three years and save up some money.
,カートに製品を入れることが可能です。,You can add products to your cart.
,注文を入れるのを忘れてた。,Forgot to add an order.
,野菜や豆腐など牛肉以外の具を入れる。,"Add vegetables, tofu, or other non-beef ingredients."
,私はコーヒーにクリームを入れます。,I put cream in my coffee.
,彼は眼鏡をかけて読み始めた。,He put on his glasses and started reading.
,話があったら電話をかけて下さい。,Please call me if you need to talk.
,ご迷惑をかけて本当にすみません。,I'm really sorry to have bothered you.
,金庫にカギをかけてください。,Please lock the safe.
,俺は生命保険をかけてたんだよ。,I had a life insurance policy.
,まずはワサビ醤油をかけて食べる。,"First of all, I eat it with wasabi soy sauce."
,俺は傘を持っていない。,I don't have an umbrella.
,彼女は傘を閉じて走り出した。,She closed the umbrella and ran.
,彼女は傘を置き忘れた。,She left her umbrella behind.
,彼は毎日傘を持っていく。,He takes an umbrella every day.
,電車に傘を忘れるところだった,I almost forgot my umbrella on the train.
,免許証を拝見できますか。,May I see your driver's license?
,運転免許証を見せてください。,May I see your driver's license?
,国際運転免許証を強く推奨する。,An international driver's license is strongly recommended.
,免許証を見せてくれるかな。,Can I see your driver's license?
,運転免許証を取るための試験に申込みます。,I am applying for a test to get a driver's license.
,先月運転免許証を更新しました。,I renewed my driver's license last month.
,運転免許証を持っているとこの仕事には有利だ。,Having a driver's license is an advantage for this job.
,申請時に有効な免許証を提出してください。,Please submit a valid driver's license at the time of application.
,悪質なドライバーは免許証を取り上げるべきだ。,Bad drivers should have their licenses taken away.
,運転免許証を用意する必要がある。,You need to have your driver's license ready.
,私の友人から辞書を借りた。,I borrowed a dictionary from a friend of mine.
,わたしはよくその辞書を引く。,I often consult the dictionary.
,作家はよく辞書を参照する。,Writers often refer to the dictionary.
,煙草の吸いすぎでのどが痛い。,My throat hurts from smoking too much.
,まだのどが渇いているのか。,Are you still thirsty?
,喉は渇いておりません。,I am not thirsty.
,痒い所を掻くこともできない。,I can't even scratch an itch.
,十分汗をかけば風邪も治る。,"If you sweat enough, your cold will go away."
,快適な睡眠を取る事ができるでしょう。,You will have a comfortable sleep.
,もう少し睡眠を取ってみませんか。,Why not get some more sleep?
,お金が貯まったから子犬を取りに行く。,"Now that you have saved up some money, go get a puppy."
