Words,Meaning,Sentences,Translation
である,be-is,それらの街の交通法は同じである。,Those cities have uniform traffic laws.
酔う,get drunk,彼は多かれ少なかれ酔っていた。,He was more or less drunk.
あの,that,あのお店ではおいしいリンゴが販売中です。,There are some nice apples on sale in that shop.
他,other-the rest,彼は他の事に気を取られている。,He is preoccupied with something else.
無い,nonexistent,私は忙しいし、それには興味もない。,"I am busy, and I'm not interested in that, either."
決して,never,あなたのご親切を私はけっして忘れません。,I shall never forget your kindness.
積極的,positive-proactive,何事にも積極的な態度を取るようにしなさい。,Try to have a positive attitude about everything.
凍結,freezing,冬は道路を凍結するのでよく滑って転びます。,It is easy to slip and fall during icy winters.
道,road-path-street,暗い道では足元に気をつけなさい。,Watch your step in dark alleys.
あれ,that,質ではこれはあれよりはるかに勝っている。,This one is of much higher quality than that one.
でも,but-however,楽しく遊んできなさい。でも道に迷わないように。,"Have fun, but don't get lost."
いただける,able to receive-take-accept,部屋を見せていただけますか。,Could I see the room please?
尾,tail-tail end,魚は尾を動かして泳ぐ。,A fish swims by moving its tail.
人間,human being,すべての人間は法律的には対等である。,All human beings are legally equal.
物,thing-object,地震ほど怖い物はない。,Nothing is so terrible as an earthquake.
まで,until-up to,市内までいくバス乗り場は、どこですか。,Where's the bus for the city?
やめる,stop-cease,今日は雨降りなので、買い物はやめよう。,"It being rainy today, let's cancel our shopping."
だけ,only-just-merely,店にあるのは、これ一つだけです。,It is the only one there is in the shop.
しか,only-nothing but,彼はせいぜい１０ドルしか持っていない。,He has not more than 10 dollars.
うち,inside-within-while-among,若いうちに海外へ行かれることをお勧めします。,I advise you to go abroad while young.
ながら,while,私は食事をしながら本を読みました。,I read a book while eating.
知らせ,news-notice,彼はその知らせにすっかり失望した。,He was very much disappointed at the news.
知る,know-notice,彼はその結果を知って満足した。,He was satisfied to know the result.
顔,face-visage,なんとすてきな顔をしているのだろう。,What a nice face she has!
です,be-is,日本では、月給です。,"In Japan, we are paid by the month."
では,then-well-so,では明日その事について彼に尋ねてみます。,"I will ask him about it tomorrow, then."
市,city-market,当市には大気汚染はありません。,Our city is free from air pollution.
わかる,understand,おっしゃる意味がわかりませんが。,What you said does not make sense.
上手,skillful,夫は私より上手に料理する。,My husband is better able to cook than I.
彼女,she-her-girlfriend,彼は彼女をとても魅力的だと思います。,He thought her very charming.
とは,indicates word or phrase being defined,社会と個人とは不可分である。,Society and the individual are inseparable.
強い,strong,きみの腕や足は十分に強くなった。,Your arms and legs have grown strong enough.
渡す,ferry across-carry across,それじゃあこのメモを渡してください。緊急です。,"Then, please give him this note. This is urgent."
ホテル,hotel,その町で最高のホテルはどこですか。,Which is the best hotel in the town?
返る,return-come back,今度日本に返って来られるのはずっと先のことでしょう。,I guess it will be a long time before I can return to Japan.
蛇,snake,私は蛇など全然怖くない。,I'm not in the least afraid of snakes.
クラス,class,そのクラスは５０人の学生から成っている。,The class consists of fifty students.
として,as a,彼女は音楽家として初めて世に出た。,She made her first appearance as a musician.
担う,carry-bear-take upon,この梱包材が断熱機能を担っている。,This packaging material provides heat insulation.
しかし,however-but,しかしその答えはすべて間違っていた。,But the answers were all wrong.
出る,leave-exit-go out,あなたの乗る電車は１０番線から出ます。,Your train leaves from Platform 10.
女,female-woman,彼の娘は美しい女になった。,His daughter grew to be a beautiful woman.
入る,get in-go in-come in,私が部屋に入ると彼らは拍手した。,"As I entered the room, they applauded."
でしょうか,don't you think,東京は今何時でしょうか。,What's the local time in Tokyo now?
考える,think about-consider,その問題は解決したものと考えた。,I considered the problem as settled.
山,mountain,私は若い頃よく山に行っていたものだ。,I would go to the mountains when young.
違う,differ-vary,制服は学校によって違う。,Uniforms differ from school to school.
そして,and-and then,そして何時間もいっしょに話したからです。,And we had spent hours talking together.
また,again,ミニスカートがまた流行している。,Mini-skirts are back in fashion again.
夜,evening-night,夜になって、家へ帰った。,"When night came on, we returned home."
夏,summer,日本では夏は非常に暑い。,"In Japan, it is very hot in summer."
娘,daughter-young girl,その娘はわっと泣き出した。,The girl burst into tears.
声,voice,彼女の声は震えていた。,There was a tremble in her voice.
舌,tongue,熱いスープで彼女の舌がやけどした。,Hot soup burned her tongue.
間違い,mistake-error-blunder,彼の結論は完全な間違いであることが明らかになった。,His solution turned out to be a complete mistake.
そんな,such-like that,そんな些細な事は問題外だ。,Such a trivial thing is out of the question.
など,et cetera-and so forth,私はよい野菜や米、果物などを栽培したいのです。,"I want to grow good vegetables, rice, fruit and so on."
今,now,東京は今何時でしょうか。,What's the local time in Tokyo now?
妹,younger sister,私の妹は昨日神戸に行った。,My sister went to Kobe yesterday.
生まれる,born,彼は大阪で生まれた。,He was born in Osaka.
目,eye,彼女の目の色は青です。,The color of her eyes is blue.
暮れる,get dark,冬の日は速く暮れる。,The night falls fast in winter.
出す,take out-put-submit,外に出してやってくれませんか。,Could you let him out?
あなた,you,あなたはその規則を守らなければならない。,You must keep to the rules.
聞く,hear-listen-ask,試合の結果について聞きましたか。,Have you heard about the result of the game?
円,yen,私は昨日２０万円の利益を得た。,"I profited 200,000 yen yesterday."
手,hand-arm,彼は彼女の手をつかまえた。,He caught her hand.
そう,so-really-seeming,喜んでそういたしましょう。,I'll do it with pleasure.
ちょうど,exactly-precisely-just,次の新幹線は９時ちょうどに出ます。,The next Shinkansen train leaves at just nine o'clock.
すれば,if so-in that case,さらに研究すればその理論が正しいことがわかるだろう。,Further study will prove that the theory is right.
出会う,meet by chance-come across,たまたま私は彼女と東京で出会った。,It happened that I met her in Tokyo.
家,house-residence,私の家の庭には昔菜園があった。,There used to be a vegetable garden in our yard.
認める, recognize-notice-acknowledge,誰もがその少年を本物の天才と認めている。,Everyone recognizes the boy as a real genius.
いい,good-excellent-nice,いい考えが心に浮かんだ。,A good idea entered my mind.
これ,this,これ以上まけられませんか。,Is this the last price?
なに,what,病院の後ろにあるあの建物はなんですか。,What's that building at the back of the hospital?
雨降り,rainfall-rainy,今日は雨降りなので、買い物はやめよう。,"It being rainy today, let's cancel our shopping."
運転免許,driver's license,君は運転免許を取るには、まだ若すぎる。,You're still too young to get a driver's license.
目下,now-at present,その家は目下建築中である。,The house is now under construction.
日本経済,japanese economy,今年の日本経済の成長率は０.７％を超えるだろう。,The growth rate of the Japanese economy will top 0.7% this year.
チェックアウト,check-out,チェックアウトしたいのですが。,I'd like to check out.
思想,thought-idea,言葉は思想を表すのに役立つ。,Words serve to express ideas.
断る,refuse-reject-decline,彼女は私の依頼を断った。,She refused my request.
にかけて,till-over a period-through,週末にかけて雨が降るだろう。,Rain is expected through the weekend.
調査,investigation,彼はその問題について調査している。,He is investigating the issue.
絡む,entangle-entwine-involve,この問題には金が絡んでいる。,There is money involved in this issue.
吐く,breathe out-vomit,一息吐いてからまた始めよう。,Let's take a breath and start again.
北,north,北海道は日本の北に位置しています。,Hokkaido is located in the north of Japan.
手に入れる,obtain-procure,この季節にりんごを手に入れるのは楽ではない。,Getting apples this season is not easy.
荷物,luggage-baggage-package,荷物を預けることができますか。,Can I leave my luggage with you?
皿,plate-dish-platter,彼女は皿を洗い、それから乾かした。,She washed the dishes and she dried them.
中心,center-middle,その町は成長して経済の中心となった。,The town developed into the center of the economy.
ごめん,sorry,ごめん。道が混んじゃって。,Sorry. Traffic was heavy.
米,rice,私はよい野菜や米、果物などを栽培したいのです。,"I want to grow good vegetables, rice, fruit and so on."
嬉しい,happy-glad-pleased,君に会うのはいつだってうれしいことです。,To see you is always a great pleasure.
の,of,これは私の妹の写真です。,This is a picture of my little sister.
に,on-in-to-for,ディズニーランドに行きたいです。,I want to go to Disneyland.
は,topic maker,それは 私 のではありません。,That is not mine.
た,past tense,今日は仕事に行きました。,I went to work today.
を,object,これを読んでください。,Please read this.
だ,copula,このゲームは君の勝ちだ。,You are the winner in this game.
が,subject,これが読みたかった本です。,This is the book I wanted to read.
て,connective-form,足が痛くて、歩けない。,My feet hurt so I can’t walk.
と,and-with,妻とビーチに行きました。,I went to the beach with my wife.
も,too-also,これも明日までの宿題だ。,This homework is also due tomorrow.
で,in-at-from-by,あの公 園で会いましょう。,Let’s meet at the park.
てる,continuous action-state,赤ちゃんが鳥を見てる。,The baby is looking at the bird.
ている,continuous action-state,ずっと音楽が鳴っている。,The music is still playing.
です,copula,これが私の家です。,This is my house.
れる,passive voice,ふつうに使われる交通機関は電車です。,The transportation normally used is the train.
という,called-named,これが、マカロンというお菓子です。,This is a confectionary called a macaron.
つう,authority,通な人が好む店だ。,This is a shop that connoisseurs are fond of.
こと,thing-matter,お話ししたい事があります。,I have a matter that I would like to talk about.
言う,say-speak-talk,みんなが違う事を言う。,Everyone says something different.
あの,ah,あの、すみませんが、バス停への道を教えてください。,"Er, excuse me. Please show me the way to the bus stop."
まあ,just,これでまあいいと思うよ。,I think this is just fine.
ある,"be, exist, happen, occur",土曜日にコンサートがある。,There is a concert this Saturday.
ね,sentence ender-agreement,このバッグはあなたのですよね。,"This is your bag, isn’t it?"
ない,not,その映画には興味がないです。,I am not interested in that movie.
なる,become,大きくなったら、何になる。,What are you going to be when you grow up?
か,sentence ender-question,この電車はどこに行きますか。,Where does this train go?
その,that,その本はもう読みました。,I have already read that book.
けれど,"but, however, although",何度も聞いたけれど、よくわかりません。,"I have asked many times, but I still don’t understand."
から,from,駅から学 校まではどのくらいかかりますか。,How long does it take to get to the school from the station?
よう,speculation,お昼ごはんを食べよう。,Let’s eat lunch.
思う,think,それはいいアイディアではないと思う。,I don’t think that’s a good idea.
物,thing-object,重い物は棚の上に置かないでください。,Please do not put heavy objects on the shelf.
そう,in that way-that’s right,そうですよね。,"Yes, that’s so right, isn’t it?"
何,what-something,これは何の料理ですか。,What dish is this?
私,i-me,私は日本語の教師です。,I am a Japanese teacher.
しまう,finish-close-end up doing,この作 業は早く終わらせてしまうほうがいい。,It is best that we finish up this task quickly.
それ,that,それをここに持ってきてもらえますか。,Can you please bring that here?
とか,"and or-such, like",牛乳やバターとかは後で買おう。,Let’s get things like milk and butter later.
この,this,このお店に入りましょう。,Let’s go into this store.
無い,not being there,その書類はこのオフィスには無いです。,The document is not in this office.
行く,go-carry out-perform,このプロジェクトがいい方向に行くといいね。,I hope this project goes in the right direction.
んだ,it is that-the fact is that,本 当のことを言うと、その花瓶は私が壊したんだ。,"To tell you the truth, I broke the vase."
のだ,it is that-the fact is that,この法 律は19世紀に作られたのだ。,This law was made in the 19th century.
せる,causative-make do-let do,このゴミは彼に片付けさせるつもりです。,I will make him clean up this mess.
これ,this,どうぞ、これをお持ちください。,Please take this with you.
もう,soon-already-again,もう夏休みは終わりです。,The summer break is already over.
である,copula,新消費税率は10%である。,The new consumption tax rate is 10%.
時,time-hour-occasion,景気のいい時は、よく物が売れる。,Goods sell well when the economy is good.
な,sentence ender-emphasize,この映画はつまらないな。,This movie is so boring!
ず,not doing,文句を言わずにいられない。,I cannot stand by without complaining.
ので,because-since,値段が高かったので、買うのをやめた。,I did not buy it because it was expensive.
んで,because-since,金曜日はレストランが混むんで、土曜日に行こう。,"Since the restaurant will be crowded on Friday, let’s go on Saturday."
人,person,世界には多くの人がいます。,There are a lot of people in the world.
よ,sentence ender-emphasis,急いだほうがいいよ。,We’d better hurry up!
こう,so-like this-in this way,その算数の問題はこうすると解けるよ。,The math problem can be solved like this.
ば,if-when,このプロジェクトが終われば、休みが取れます。,"When this project is over, I can go on a vacation."
や,such things as-and,赤や黄色の花が咲いている。,Red and yellow flowers are in bloom.
来る,come,もうすぐ春が来る。,Spring is coming soon.
まで,to-till-until,シフトは5時までです。,My shift is till 5 o’clock.
見る,see-look,よく見ると、小さな穴があるね。,"If you look closely, there is a small hole."
たり,successive action,歌ったり、踊ったりするのが好きです。,I like doing things like singing and dancing.
今,now,今はまだお腹が空いていない。,I am not hungry now.
良い,good-nice-fine,この前の試験で良い成績をとりました。,I got a good score on the recent exam.
いい,good-nice-fine,いいレストランを知し っています。,I know a nice restaurant.
所,place-part-aspect,住むのに一番便利な所はどこですか。,Where is the most convenient place to live?
自分,oneself,自分の問 題は自分で解決しなさい。,Solve your own problems yourself.
やはり,also-still-as expected,やはり、私も同じ気持ちです。,"There you have it, still, I am of that train of thought too."
やっぱり,also-still-as expected,やっぱり、あなたが思った通りになりましたね。,"Ultimately, it turned out just as you expected."
たい,want to,私も一 緒に行きたいです。,I want to go with you.
やる,do-undertake-make,そのゲームをやると楽しいでしょうね。,It would be fun to play that game.
中,inside-in-into,早く家の中に入りなさい。,Come inside the house quickly!
いる,be-exist-stay,ドアの向こうにいるのは誰。,Who is behind the door?
出来る,be able to-be ready,テニスが出来るようになるためには練習が必要だ。,Practice is necessary to be able to play tennis.
など,et cetera-and so on,そのお店には食 器や家具などがあります。,"That store has tableware, furniture, and so on."
として,as a,私は親として責任があります。,I am responsible as a parent.
後,behind-after-later,この後、日本語のレッスンに行きます。,"After this, I will go to a Japanese lesson."
また,again-and-also,また会いましょう。,See you again.
ちょっと,just a little-a bit,ちょっと話しましょう。,Let’s have a little talk.
てくる,do and come back,買い物に行ってくる。,I’m going shopping.
だけ,only-merely-just,自分の荷物だけ持ってください。,Please hold only your own luggage.
くらい,about-around-approximately,おこずかいは五千円くらいほしい。,I want about five thousand yen for pocket money.
ぐらい,about-around-approximately,自分の弁当ぐらいは自分で作らないといけない。,You should at least prepare your own lunch.
ではない,is,私は店員ではない。,I am not a staff member.
方,direction-way-side-method,こっちの方にきてください。,Please come this way.
ていく,direction towards a location,歩いていくならスニーカーを履きましょう。,"If we’re going to walk there, let’s wear sneakers."
てく,direction towards a location,明日はどのバッグを持ってくの。,Which bag are you going to take there tomorrow?
訳,reason-cause,けんかになった訳は何なの。,What was the reason for the fight?
へ,to-towards,先生へ手紙を書こう。,Write a letter to the teacher.
どう,how-in what way,このお店はどうですか。,How about this store?
し,reasons-and,わたしは宿 題もやったし、庭の掃除もした。,I did my homework and cleaned the garden.
本当,truth-real-right,その話は本当ですか。,Is the story true?
持つ,have-hold-carry-possess,私 はいつも右手でペンを持つ。,I always hold my pen in my right hand.
出る,go out-come out-leave-exit,午 前 中にホテルを出る。,I will leave the hotel in the morning.
為,for-benefit-sake,私は健康の為に野菜を食べます。,I eat vegetables for my health.
すごい,wonderful-amazing,サーカスのアクロバットはすごい!,The circus acrobatics are amazing!
考える,think about-consider,自分の未来について考える。,I think about my future.
そこ,there-then,そこの看板には何と書いてありますか。,What is written on the signboard there?
分かる,understand,あなたの気持ちは分かる。,I understand your feelings.
ておる,be-ing-have been-ing,私は子供に柔道を教えております。,I am teaching judo to children.
について,about-concerning,日本の歴史について知りたいです。,I want to learn about Japanese history.
それで,and then-so,この町は子供が多い。それで児童館が作られました,"This town has many children. Because of that, they opened a children’s center."
入る,enter-come in,東の入り口からビルに入る。,Enter the building from the east entrance.
作る,make-create-produce,学校で宇宙基地の模型を作る。,We make a model of a space base at school.
てみる,try to do something,新しいレシピでカレーを作ってみる。,I am going to try making curry with a new recipe.
聴く,hear-listen,車でラジオを聴く。,I listen to the radio in the car.
聞く,hear-ask,駅で行き先を聞く。,I will ask for directions at the station.
そして,and-so-and then,私は留 学をしました。そして外交官になりました。,"I studied abroad, and then became a diplomat."
くれる,be given,このストーリータイムはぬり絵をくれる,You will be given a coloring sheet at this story time.
場合,case-situation,咳がでる場合はマスクをしてください。,"In case you have a cough, please wear a mask."
話,talk-story,彼からおもしろい話を聞いた。,I heard an interesting story from him.
ながら,while-during,車を運 転しながら携帯を見てはいけない。,You mustn’t use a cell phone while driving.
そんな,such-that,私 はそんなケースを聞いたことがない。,I have never heard of such a case.
使う,use-handle,今日は新しいカードを使う。,I am using a new card today.
日本,japan,日本は島 国です。,Japan is an island nation.
風,style-way-manner,これは関東風のうどんです。,This is Kanto style udon.
前,front-ago-before,家の前に車をとめる。,Park your car in front of the house.
多い,many-much,このタワーマンションは独身の人が多い,This apartment tower has many single people.
よく,nicely-well-frequently,このレポートはとてもよく書かれている。,This report is well written.
ひとつ,one,そのケーキを一つください。,Please give me one piece of cake.
子供,children,子供部屋のある家を探しています。,We are looking for a house with a children's room.
非常,emergency-extremely,非 常の時は119番してください。,Please call 119 in the event of an emergency.
気,mind-feeling,やる気になれば何でもできる。,You can do anything if you set your mind to it.
ても,even if-even though,いくら注 意しても、彼は同じ間違いをする。,He makes the same mistakes no matter how careful he tries to be.
取る,take-get,テストで満点を取る。,Get a perfect score on the test.
うち,inside,箱のうちがわに説明があります。,There is an explanation on the inside the box.
知る,know-be aware of,インターネットで地震についてのニュースを知った。,I became aware of news about an earthquake from the Internet.
より,than-from,私は猫より犬が好きだ。,I like dogs more than cats.
それから,and then,夕食を食べて、それから風呂に入りました。,"I had dinner, and then took a bath."
感じ,feeling-impression-atmosphere,あまり感じのいい店員ではなかった。,The store clerk did not leave a very good impression.
みたい,like-sort of-similar to,ビーチで子供みたいに遊ぶ。,Play like a kid when you’re at the beach.
でも,but-though,でも、ゲームに勝つことはできませんでした。,But we could not win the game.
ここ,here,ここにあった本がどこにあるか知りませんか。,Do you know what happened to the book that was here?
とっても,very-awfully-extremely,私はこのくまのキャラクターがとっても好きです。,I like this bear character very much.
とても,very-awfully-extremely,今日はとても大きな犬を連れている人に会った。,I met a man with an extremely big dog today.
いろいろ,various,この本屋はいろいろなジャンルの本を売っている。,This bookstore sells various genres of books.
一,one,一から順に数える。,Count in order from one.
一番,number one-first-most,一番高い携帯電話はどれですか。,Which is the most expensive cell phone?
二,two,ねこを二匹飼っています。,I have two cats.
同じ,same,この前と同じ場所で会いましょう。,See you at the same place as the last time.
まず,first of all,まず、あなたの親 切さに感謝したいと思います。,"First, I would like to thank you for your kindness."
必要,necessary-necessity,パスポートの更新に必要な書類を用意する。,Prepare the necessary documents for renewing your passport.
仕事,work-job-occupation,今日は仕事があります。,I have work to do today.
あまり,not very,反応はあまり良くありませんでした。,The response was not very favorable.
によって,by-depending on,台 風によって、イベントは中止になりました。,The event was canceled due to the typhoon.
かもしれない,may-perhaps,住 所を間違ったかもしれない。,You may have gotten the address wrong.
僕,i-me,僕のサッカーのシューズはどこ。,Where are my soccer shoes?
"皆, みんな",all-everyone,みんなの意見を聞いてプランを決めよう。,Listen to everyone's opinions and decide on a plan.
彼,he-him-boyfriend,彼は私の中学校の同級生だ。,He is my junior high school classmate.
食べる,eat,午前7時に朝食を食べる。,I eat breakfast at 7:00 AM.
ほど,extent-degree-max.amount,私の親ほど心配性のある人はいない。,No one worries as much as my parents do.
しかし,however-but,しかし、仲良しになったとはいえない。,"However, you couldn’t say that they have become friends."
書く,write,私は毎日日記を書く。,I write a diary every day.
入れる,put in-insert,食料品をかごに入れる。,Put your groceries in the basket.
次,next,次は東京駅です。,The next stop is Tokyo Station.
結構,nice-fine-quite,料理がとても結構なお味だった。,The food was quite delicious.
問題,problem-question,算数の問題が難しい。,The math question is difficult.
例えば,for example-such as,例えば生まれかわるなら何になりたいですか。,"For example, what would you like to be reborn as?"
目,eye-eyeball,赤ちゃんの目はかわいい。,Babies’ eyes are adorable.
眼,eye-eyeball,眼が悪くなったのでめがねがいる。,"My eyes are getting worse, so I will need glasses."
頃,time-around-about,四月頃にはさくらが咲くだろう。,The cherry blossoms will bloom around April.
上,above-up-over-top,これは上からの指示だ。,These instructions are from the top.
くださる,give-bestow,お隣の方はよくお菓子をくださる。,The neighbors often give me treats.
他,other-the rest,これの他にほしいものはない。,There is nothing that I want other than this.
いつ,when-how soon,お父さんはいつ帰ってくるの,When will my dad come home?
家,house-family,家の電話に連絡をください。,Please contact me at my home phone number.
日,day-days,今日はパーティに行く日だ。,Today is the day to go to the party.
付く,attached-sticaccompany,お子様セットにはおもちゃが付く。,The kid’s meal comes with a toy.
出す,take out-put out,火曜日はリサイクルのゴミを出す日だ。,Tuesday is the day to put out recycling garbage.
一人,one person,子供は一人しかいません。,There is only one child.
人間,human being,猿と人間の違いはなんだろう。,What is the difference between monkeys and humans?
どこ,where-what place,この迷子の親はどこだろう。,Where are this lost child's parents?
時間,time-hours,時間を忘れて暗くなるまで遊んでしまった。,I forgot about the time and played until it was dark.
ただ,ordinary-common,これはただのおもちゃの汽車です。,This is an ordinary toy train.
だから,"so, therefore",今日はデートがある。だから、早く帰りたいんだ。,"I have a date today. So, I want to go home early."
違う,differ-vary,僕らの意見はいつも違う。,Our opinions are always different.
受ける,receive-get-catch,サッカーのゴールキーパーがシュートを受ける。,"In soccer, the goalkeeper tries to catch the shot."
言葉,language-words,大事なことを伝えるには、言葉は選んだ方がいい。,You should choose your words carefully when you talk about matters of importance.
なんか,things like-something,彼女の誕生日プレゼントにこのネックレスなんかどうですか。,How about something like this necklace for her birthday present?
少し,small-a little,少し寒くなってきたようだ。,It seems to be getting a little cold.
まま,as it is,そのままにしておいてください。,Please leave it as it is.
買う,buy-purchase,コンビニでお弁 当を買う。,I buy lunch at a convenience store.
まだ,as yet-still,まだ夏休みの宿題がいっぱい残っている。,I still have a lot of summer homework.
手,hand-arm,手遊びのグーチョキパー知っている?,"Do you know about the hand game, Rock Paper Scissors?"
話す,talk-speak,赤ちゃんは何ヶ月から話すようになるのだろう。,I wonder at how many months the baby will start speaking.
好き,like-love,私は古い映画が好きです。,I like old movies.
返る,return-come back,落とし物が持ち主に返る。,Lost items may return to their owners.
てもらう,have someone do something,お父さんにこのおもちゃを買ってもらう 。,I will have my father buy this toy.
掛ける,hang,上着をハンガーに掛けてください。,"Hang your jacket on a hanger, please."
終わる,finish-end,もう少しでこのプロジェクトが終わる。,This project will be finished soon.
意味,meaning-sense,上 司の言っている言葉の意味がわからない。,I don't understand what my boss means.
のである,assertation,この公 園はオリンピックを記念してつくられたのである。,This park was built to commemorate the Olympics.
いろんな,various,この絵はいろんな色が使われているね。,This picture uses various colors.
付ける,put-attach-apply,虫刺されにかゆみ止めを付ける。,Apply anti-itch cream on insect bites.
形,form-shape-figure,まる、三 角、四角の他にどんな形があるだろう。,"What other shapes are there besides circles, triangles and squares?"
かなり,considerably-quite,今度の台風はかなり大きいらしい。,The next typhoon seems to be quite big.
三,three,一、二、三の合図で鬼ごっこしよう。,"Let’s play tag on the count of one, two, and three."
最初,first,最初は誰でもわからない事が多い。,There are many things that no one understands at first.
間,distance-period-between,この壁と壁の間に棚を作ります。,We will build a shelf between these walls.
感じる,feel,今朝の風は肌に寒く感じる。,This morning's wind feels cold on my skin.
しか,only-just-no more than,財布に百円しか入っていない。,I only have one-hundred yen in my wallet.
かかる,hang-take-cost,この家を改 築するにはかなりの費用がかかる。,It will cost a lot to renovate this house.
大きな,big-great,人 間の子供ぐらいの大きな犬がいた。,There was a big dog about the size of a human child.
住む,live,このアパートに住むことにしよう。,We will live in this apartment.
最近,recently-lately,最 近は高齢者による車の事故が増えている。,"Recently, car accidents caused by elderly people are increasing."
特に,especially-particularly,最 近は特にSTEMコースに人気がある。,STEM courses have been particularly popular latel
誰,whose-whom,ここに荷物を置いたのは誰ですか。,Who left their luggage here?
こんな,such-like that,こんなおいしいケーキは食べたことがない。,I have never eaten such a delicious cake.
友達,friend,友達は一 生の宝だ。,Friends are a lifetime treasure.
大きい,big-great-large,あそこに見える大きい家が祖父の家です,The large house over there is my grandfather's.
すぐ,soon,この書 類をすぐに届けてもらえますか。,Can you deliver this document soon?
一緒,together-with,友 達と一緒にディナーに行った。,I went out for dinner with a friend.
生活,life,新しい街での生 活はどうですか。,How’s life in the new city?
国,country,違う国から来た人と友 達になった。,I became friends with people who came from different countries.
あげる,raise-lift,質 問がある人は、手をあげてください。,"If you have any questions, please raise your hand."
あんた,you,あんたは最 近どうしてるの。,How have you been lately?
あなた,you,あなたの今日の予定は何ですか。,What is your plan for today?
現在,current-now,現 在の気温は二十六度です。,The current temperature is 26 degrees.
高い,high-tall-expensive,日本ではバターの値段が高いね,Butter is expensive in Japan.
なんて,how-what,なんて親 切な人だろう。,How kind he is!
悪い,bad,悪いのは僕だ。,It was my bad.
気持ち,feeling,彼 女の気持ちを傷つけたくない。,I don’t want to hurt her feelings.
乗る,ride-get on-take,ジェットコースターは一 番後ろに乗るのが好きだ。,I like riding at the back of rollercoasters.
において,at-in-on,音楽において、彼の才能は特別だ。,He is exceptionally talented in music.
見える,can see-be seen,ビルの高 層 階から見える眺めは最 高だ。,The view I can see from the high floors of the building is amazing.
変わる,change-transform,水は温度によって質が変わる。,Water’s state changes with its temperature.
べし,must-should,お寺では靴は脱ぐべしと注意書きがある,"At the temple, there is a notice saying that we should remove our shoes."
あるいは,or-perhaps,ランチ、あるいはお茶をしましょう,Let’s get together for lunch or tea.
大変,serious-terrible-difficult,大 変な問題がおきた。,A serious problem occurred.
による,due to-based on,性別による差別は禁止されている,Discrimination based on gender is prohibited.
