Script.Archi,Meaning.Archi,Script.Sushi,Meaning.Sushi,Script.Vision,Meaning.Vision,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
それは丹下健三という 日本が誇る大建築家の作品です,"That's the work of Kenzo Tange, one of Japan's greatest architects.",両親の返事は 想像もつかないものでした,"My parents' response was unexpected, however.",人間の目っていうのは 真ん中だけはっきり見えていて,human eyes can only see the center clearly,,,,,,,,,,,,,,,,,,
右下は安藤忠雄さん,The bottom right is Tadao Ando.,どんな返事だと思いますか？,What do you think they said?,周りは ぼやっとしか 見えていないんですね,and they see the peripheral areas blurred.,,,,,,,,,,,,,,,,,,
この近くに県立美術館があって,There's a prefectural art museum near here.,そんなことより 早くお風呂に入りなさい,Whatever. Hurry up and take a bath.,だからこの写真 ちょっとおかしいんですが,"So this photo does not reflect exactly what we see with our eyes,",,,,,,,,,,,,,,,,,,
これは内部の写真です,This is a picture of the interior.,ここに来ている方々に 僕から一つお願いがあります,I have a request to make of you here today.,それでももちろん,"So this photo does not reflect exactly what we see with our eyes, but of course,",,,,,,,,,,,,,,,,,,
建築家というと,When I think of architects...,あなたに子供ができたとき,"When you have children,",周りがぼやっとしてても 歩くのに支障はないですよね,"even with some blurs in the periphery, you can still walk without a problem.",,,,,,,,,,,,,,,,,,
かなり凄腕の自分自身が持っている,I think of an architect as a person who is very skilled,どうか子供の夢を お風呂で片付けないでください,"please, don't dismiss your child's dream by just sending him to take a bath.",ところが 世の中には この風景が,"However, there are some people",,,,,,,,,,,,,,,,,,
個性ある意匠をかたちにしている,He has his own unique design.,その時のことは 今も鮮明に残っていて,"I can still remember that moment vividly,",こういう風に見えている人がいるんです,"who would see the same scene, but like this.",,,,,,,,,,,,,,,,,,
そういうイメージが,That's the general image,だけで まさか その時は,"and back then,",網膜色素変性という病気なんですけども,"It's due to an illness called Retinitis Pigmentosa,",,,,,,,,,,,,,,,,,,
一般的じゃないでしょうか？,"I think that's the general image, don't you?",この場所で 話をすることになるとは 思ってもみませんでした,I never thought I would end up making a speech here.,眼球の奥にある網膜,the retina in the back of the eyes,,,,,,,,,,,,,,,,,,
そして僕も今紹介されたように,And as I have just been introduced,今 僕は34歳で,"I'm 34 years old now,",そこで最初に光を受け取る 視細胞っていうのが,has cells called visual cells that work as photoreceptors,,,,,,,,,,,,,,,,,,
結構若い時から建築をやっていまして,I have been working in architecture since I was quite young.,お寿司の仕事に携わって 17年目です,and I've been involved in making sushi for 17 years.,生まれたときはちゃんとあるんです,which we are born with.,,,,,,,,,,,,,,,,,,
俺はこんなん作りたいなぁ あんなん作りたいなぁ,"I've been doing architecture since I was quite young, and I've always wanted to make something like this or like that",ということは人生の半分 お寿司と共に過ごしている という計算になります,This means that I've spent half of my life with sushi.,若いときは普通に見えているんですけれども,"When young, the patient can see normally",,,,,,,,,,,,,,,,,,
ということで やってきました,I wanted to build something like that.,そこで 分かってきたことは お寿司には可能性が 沢山つまっているということです,What I've learned through the years is that sushi has so many possibilities.,だんだんその視細胞が無くなって,"but gradually photoreceptors are lost,",,,,,,,,,,,,,,,,,,
本当に若いときです,I was really young.,これは何をしているところか 分かりますか？,Do you know what is going on here?,視野が狭くなる病気です,causing them to have a tunnel vision.,,,,,,,,,,,,,,,,,,
自分の個性を出せば,I thought that if I put my personality out there,歌舞伎役者が 化粧をしているところです,This is a kabuki actor putting his make-up on.,でも真ん中は見えてますので,"However, the patient can still have the central vision",,,,,,,,,,,,,,,,,,
希望者の希望を受け止められる 両方できると思っていたが,I thought I could do both.,歌舞伎とお寿司,Kabuki and sushi…,字が読めるし スマホも使えるし,"However, the patient can still have the central vision so she can read, or use the cell phone",,,,,,,,,,,,,,,,,,
なかなかこれが上手いこと いかないんですね,"But it's hard to do both, isn't it?",僕は日本の伝統芸能と 食を組み合わせることにより,"By combining Japan's traditional arts and food, I hope to be able to share",だけど 人ごみでは歩きにくいので,but still would need to use the white cane,,,,,,,,,,,,,,,,,,
建築家の個性と依頼者の希望 の対立,The conflict between the architect's personality and the client's wishes.,日本の様々な素晴らしい文化を,I hope to be able to share the many wonderful aspects of Japanese culture with the world.,見えにくい人が持つ 白い杖をついたりしています,when she walks in the crowded place;,,,,,,,,,,,,,,,,,,
その対立というのは 当時の僕の大きな悩みでした,This conflict was a big problem for me at the time.,世界に伝えていきたいと思います,the many wonderful aspects of Japanese culture with the world.,で よく誤解されたりもするんですが,this often invites misunderstanding.,,,,,,,,,,,,,,,,,,
で これをなんとか解決しなかったら,And if I didn't manage to solve it,そこで お寿司に,I thought about the possibilities,この病気を 私は専門にしています,I specialize in this disease,,,,,,,,,,,,,,,,,,
建築家の仕事はやっていけないと 思いました,"I thought that if I didn't solve this problem somehow, I wouldn't be able to work as an architect.",日本文化を伝える 可能性はないかと考え,of sharing the Japanese culture through sushi:,今のところ全く治療法がないので,which currently does not have a cure.,,,,,,,,,,,,,,,,,,
私の追い求めた ,The ideal view of architecture that I was pursuing ,書家,"its calligraphy,",徐々に徐々に視野が狭くなって,It gradually narrows the visual field,,,,,,,,,,,,,,,,,,
理想の建築観,The Ideal View of Architecture,芸者,"geishas,",次第に見えなくなってしまう方も 多くいらっしゃいます,and many will have severe visual disability or blindness.,,,,,,,,,,,,,,,,,,
で 僕が考えた建築というのは,"So, my idea of architecture",三味線,"shamisen,",今まで歴史上で この病気の治療ができたことはないんです,There has been no effective treatment in history.,,,,,,,,,,,,,,,,,,
対立ではないところに結果を見出したい,I wanted to find a result that was not confrontational.,歌舞伎,"kabuki,",けれども科学の進歩は進んでいまして,"But as the science progresses,",,,,,,,,,,,,,,,,,,
結果は共同とか 共感ということだったんですね,The result is about collaboration and empathy.,和太鼓,"wadaiko,",最近では 人工網膜っていうのができてます,now we have retinal prosthesis,,,,,,,,,,,,,,,,,,
もともと建築って 目と手で出来ているんです,Architecture is originally made with the eyes and hands.,落語 狂言などと,"rakugo, and kyogen.",アメリカでは もう去年 FDAに認可されまして,"which has been approved by USFDA last year, and the implant surgeries are being performed weekly now.",,,,,,,,,,,,,,,,,,
この絵を見ていただくと,If you look at this picture...,お寿司のコラボレーションを 行ってきました,"I have collaborated with these aspects of Japanese culture,",いま毎週手術をしています,the implant surgeries are being performed weekly now.,,,,,,,,,,,,,,,,,,
建築の要素は,The elements of architecture are,芸術 食と別々の形で 日本の良さや,"and instead of sharing Japan's heritage or cultural aspects separately,",かっこいいサングラスについた CCDカメラから,Here is how it works; a CCD camera mounted on a pair of cool sunglasses,,,,,,,,,,,,,,,,,,
建築目的と,The purpose of architecture,素晴らしさを発信するのではなく,"Japan's heritage or cultural aspects separately,",網膜の裏側に移植されたチップに,sends signals to the chip,,,,,,,,,,,,,,,,,,
建築家が保有する建築手段を,and the architect's means of construction.,食と文化の融合という 新しい形で,I hope to be able to share the goodness of each through a brand new form,信号が送られるんです,"implanted behind the retina,",,,,,,,,,,,,,,,,,,
結びつけることなんですが,The architect's means of construction.,日本の良さを 伝えていきたいと考えています,that is a fusion of both food and culture.,そうすると視細胞はないんですけれども,"that will stimulate other cells in the retina,",,,,,,,,,,,,,,,,,,
ときどき 目で標的をとらえて,"Sometimes, there are those who see a target with their eyes",さて 人間は何かを 記憶に残すとき 食 を交えると,"It's believed that when 'food' is added when remembering something,",他の細胞は網膜の中で残っているので,although there is no remaining photoreceptor cells.,,,,,,,,,,,,,,,,,,
すぐ手を出す奴がおりますけど,"""with their eyes and their hands.",脳裏に鮮明かつ斬新に,it's possible to burn it into the back of your mind,それを刺激してその信号が 脳まで伝わるということです,which then send the signal to the brain.,,,,,,,,,,,,,,,,,,
これはちょっと早過ぎまして,It's a little too early.,記憶に残るのではと考えます,both clearly and uniquely.,まだまだ解像度が低いので 物の形ぐらいしか見えません,"Still the resolution is pretty low, only permitting to recognize the contour.",,,,,,,,,,,,,,,,,,
建築の場合は―,In the case of architecture...,そんな思いから 僕は常に そこにスポットを当てて挑戦してきました,I've always aimed to achieve this.,けれども初めて奥さんの顔の形が見えて,"Yet, there is a YouTube video of a man in tears with joy",,,,,,,,,,,,,,,,,,
まあ 男と女の場合やったらいいですよね,"In architecture, it's better to do it with a man and a woman.",職人はただ単に お客様の好むお寿司を握り それを出すというのではなく,Sushi chefs should not just make sushi based on the preferences of the customers.,泣いて喜んでいる YouTubeの動画なんかがあります,seeing his wife's face for the first time.,,,,,,,,,,,,,,,,,,
パッと見て全体が判断できるから,You can see the whole picture at a glance.,寿司は五感に訴えることができる,"I realized that sushi holds a wonderful possibility,",もういよいよ全く治らなかった病気が,We are finally in the era when we can expect some improvements,,,,,,,,,,,,,,,,,,
すぐ手を出してもいいんですけれども―,It's okay to start right away.,食の提供ができる 可能性を秘めている ということが分かったのです,that of appealing to all five senses that we as humans possess.,少しでも改善するような 時代になってきました,even for incurable diseases.,,,,,,,,,,,,,,,,,,
建築の場合はやはり,But in the case of architecture...,五感とはまず視覚,"So the five senses are: first, sight.",我々も頑張っています,We are working hard for that.,,,,,,,,,,,,,,,,,,
長いこと使わないと,You have to use it for a long time.,視覚で訴える寿司 それは正にアートです,Sushi that appeals to one's eye is art indeed.,iPS細胞です,These are iPS cells.,,,,,,,,,,,,,,,,,,
建築の良さがなかなか 分からないくらい,You have to use it for a long time to appreciate the beauty of architecture.,寿司の美しさを 私は視覚的に訴えたい,I want to express the beauty of sushi through sight.,我らが iPS細胞 —,Our iPS cell -,,,,,,,,,,,,,,,,,,
幅の広いもの[分野]なので すぐ手を出したらダメ,You can't just start right away.,そして 聴覚,Then hearing.,これは別の病気 —,These cells,,,,,,,,,,,,,,,,,,
目的を ―建築目的を― 高め合う,Purpose - to enhance the purpose of architecture.,エビを揚げる音,(Sound of frying shrimps),加齢黄斑変性っていう[病気の]方に 治療した細胞ですけども,are used for another disease called age-related macular degeneration.,,,,,,,,,,,,,,,,,,
画面の右にある建築目的とは ソフトなことなんですね,"The architectural purpose on the right side of the screen is a soft thing, isn't it?",音は聴覚を刺激します そして 食欲を沸き立てます,Sounds stimulate the sense of hearing and will stir the appetite.,患者さんの皮膚からiPS細胞を作って,"We made iPS cells (iPSCs) from the patient's skin,",,,,,,,,,,,,,,,,,,
モノでもカタチでもなくて 「こと」なんですね,"It's not a thing, it's not a form, it's a thing.",そろそろ お腹が 空いてきた頃でしょうか,Aren't you starting to feel hungry now?,そして網膜の一部である網膜色素上皮,"and generated retinal pigment epithelial cells, which normally reside in the retina",,,,,,,,,,,,,,,,,,
そのことをちゃんと 探し当ててから,You have to find out what it is.,そして 触覚,Next one is touch.,という細胞を作って 移植しました,"and generated retinal pigment epithelial cells, which normally reside in the retina and then transplanted them back.",,,,,,,,,,,,,,,,,,
手を出して ―手段を使って―,And then you start to work... - ...with the means...,寿司を持ったときの感覚,The feeling of holding sushi is like,皮膚から網膜の細胞を作る,Creating retinal cells from the skin -,,,,,,,,,,,,,,,,,,
建築デザインが完成する という形に持っていきたい,I want to complete the architectural design.,それは壊れそうなものを そっと手に取るような感覚で,carefully holding something that might fall apart in your hands.,10年前には とても 考えられなかったことですよね,"ten years ago, this was unthinkable,",,,,,,,,,,,,,,,,,,
90％は目に ポイントがあるわけです,90% of the point is in the eyes.,それを口に運ぶまでの間,"As you carry it to your mouth,",でもそんな時代になっています,and now we are in such an era.,,,,,,,,,,,,,,,,,,
この目を高めて行くのに,To improve this eye...,全神経が手や指に 集まるような感覚です,you focus all your attention on your hands and fingertips with anticipation.,網膜色素変性の方に必要な,We are creating photoreceptor cells,,,,,,,,,,,,,,,,,,
という作業が要るわけですね,That's what we need to do.,あなたはそんな経験がありますか？,Have you ever had that kind of experience?,視細胞っていうのも今我々作って,"indispensable for those with retinitis pigmentosa,",,,,,,,,,,,,,,,,,,
これが実は建築設計だったのです,This is what architectural design is all about.,そして 味覚,Then there is taste.,５年以内には治療第１例目を したいという風に思っています,and we are aiming at treating the first case within five years.,,,,,,,,,,,,,,,,,,
大衆が自らの想いを持って実現する建築,Architecture that is realized by the masses with their own ideas.,素材の甘味 酢飯の酸味,"The sweetness of ingredients, the sourness of vinegared rice,",この治療を 我々は 20年かかってやってきました,We have been developing this treatment for twenty years.,,,,,,,,,,,,,,,,,,
僕が気づいた このような建築づくりは,I've noticed that this kind of architecture,わさびの辛み,"the spiciness of wasabi,",20年の間 あらゆるリスクを考えて,We thought through every risk,,,,,,,,,,,,,,,,,,
僕は当たり前だと思っていますが,I think it's a matter of course.,お寿司を塩で食べ お茶の渋さを味わう,"eating sushi with salt, and then, tasting the bitterness of green tea.",リスクを無くしてありますので,"We thought through every risk and eliminated all of them,",,,,,,,,,,,,,,,,,,
まだまだ一般化していない 可能性もあります,But it's possible that it hasn't become common yet.,寿司は味覚の全てを 一度に堪能することができます,Sushi allows for one to use all tastes together.,ほとんど細胞については 心配してなかったんですけども,"so, I was not worried about the cell itself.",,,,,,,,,,,,,,,,,,
ただ[私は]40年前からこういう価値観で,"However, I've been working with this kind of value system for 40 years.",そして それが寿司の 醍醐味でもあります,And that is the real taste of sushi.,この手術の日,The day of the operation --,,,,,,,,,,,,,,,,,,
大衆自信が自らの想いを持って実現する建築を,I call it folk architecture.,その味覚の バランスの良さがあるからこそ,"Because there is a perfect balance in taste,",これは普通の眼科の手術なんですけども,Although this is a regular ophthalmic operation,,,,,,,,,,,,,,,,,,
フォークアーキテクチャーと呼んでいます,I call it folk architecture.,全く異なった分野の 食材や素材と,I think there is potential to fuse them,普通に毎週やってる手術ですけど,performed every week,,,,,,,,,,,,,,,,,,
僕たちのように巨匠と違って,Unlike maestros like us,融合できる可能性を 秘めているのかも知れません,with ingredients or materials from totally different areas.,やっぱり２〜３% 合併症のリスクがあります,"with only a small 2~3% chance of complication,",,,,,,,,,,,,,,,,,,
大衆が依頼者の建築の仕事は,I think this concept is very important in architecture where the public is the client.,最後に嗅覚,"And lastly, smell.",ですからこの日だけは ものすごく緊張しましたけれども,I was very nervous only on that day,,,,,,,,,,,,,,,,,,
この概念がとても大事だと 思っています,I think this concept is very important.,酢や魚 素材の匂い,The smell of ingredients such as vinegar or fish.,きれいに手術がうまくいって,"and by the evening after the operation went smoothly,",,,,,,,,,,,,,,,,,,
北摂で家を作りたい,I want to build a house in Hokusetsu.,嗅覚は想像力をかき立てます,Smell inspires the imagination,その夕方には１年後の成功を もう確信しましたので,"I was convinced of the successful outcome I will be seeing a year later,",,,,,,,,,,,,,,,,,,
電話がかかってきました,We got a call.,人の想像力は多岐に渡り,"and sends it in many directions,",すごく嬉しかったのを覚えています,and I remember feeling extremely happy.,,,,,,,,,,,,,,,,,,
伴さん 淡路にいい土地が見つかったと言われたとき,"Mr. Ban, when you told me you found a good piece of land in Awaji.",嗅覚は食への 満足感 期待感を高めます,increasing your anticipation to what you're about to eat.,で その１例目の方はもちろん,We saw exactly what we expected with the first patient.,,,,,,,,,,,,,,,,,,
僕はてっきり京都線の淡路だと 思いました,I thought for sure it was Awaji on the Kyoto Line.,そして それが本当に 美味しい寿司であったとき,"And when this turns out to be really delicious sushi,",本当に予想通りに 病気が悪くなるのが止まって,"His conditions stopped worsening,",,,,,,,,,,,,,,,,,,
北摂と 神戸が見える淡路島とは 全然違いますね,Hokusetsu is totally different from Awaji Island where you can see Kobe.,人々は満足感に溢れ とても幸せな気持ちになります,you are overcome with feelings of happiness and fulfillment.,注射の治療もいらなくなって,"not requiring injections any more,",,,,,,,,,,,,,,,,,,
僕が家造りをしたとき,When I was building my house.,食も文化も五感を 刺激するものであり,"Food and culture both stimulate the five senses,",明るくなったと言って すごく喜んでくれています,he was so happy that his vision was much brighter.,,,,,,,,,,,,,,,,,,
こういう地域に建てたいと思い,I wanted to build in this area.,出会うべくして 出会っているのです,and it's only natural they come together to meet.,それが我々の喜びでもあるわけです,"This is our joy, as well.",,,,,,,,,,,,,,,,,,
いい土地があって 全然違う土地を嫁に言うと,But when I told my wife I wanted to build in a different area... she wouldn't talk to me.,そして 共存と融合という 新しい形を経て,They then take a new form of co-existence and fusion,その20年の間に いろんな事を言われました,"During those twenty years, we heard many things said to us.",,,,,,,,,,,,,,,,,,
口も利いてくれない,She wouldn't even talk to me.,世界へと発信されていくのです,and are spread out into the world.,新しい治療なので みんな手探りです,"This is a new therapy, so we are blindfolded without any precedents.",,,,,,,,,,,,,,,,,,
当然 敷地見学なんて 絶対 一緒には行ってくれません,"Of course, she would never go with me on a site visit.",(ビデオ),(Video) (Music),毎週 私は外来で その網膜色素変性の方を診ていますので,I see patients with retinitis pigmentosa every week.,,,,,,,,,,,,,,,,,,
それが僕は夫婦だと思ってました,I thought that's what married couples do.,昔 あるお客様が言いました,"A long time ago, one customer asked:",毎週 「いつ治療ができるんですか？,"every week I hear ""When can you operate on me? Please help me.""",,,,,,,,,,,,,,,,,,
ですから 淡路島の現場に 車で初めて行くときに,So when we first drove to the site on Awaji Island.,お寿司に合う ワインは何ですか？,“What wine will go well with sushi?”,あたしの治療してください」と 毎週毎週聞かされている,"every week I hear ""When can you operate on me? Please help me."" Literally every week.",,,,,,,,,,,,,,,,,,
車の中でした,We were in the car.,そして職人はこう答えます,The sushi chef responded:,もちろん,"Of course,",,,,,,,,,,,,,,,,,,
僕は助手席に乗って,I was in the passenger seat.,お寿司に合う ワインなんてない,“There isn't any wine that goes well with sushi.”,初めてのiPSの治療を 「早く進めてあげよう」,"many people say ""let's try aggressive",,,,,,,,,,,,,,,,,,
後ろに奥さんが座っています,With his wife sitting in the back.,今となっては 少なくはなりましたが,"This may not be as common nowadays, but I believe",という人たちもいっぱいるんですけれども,"treatments with the iPS cells.""",,,,,,,,,,,,,,,,,,
対話を深めるためには 絶対これは ひとこと言わんといかんと思い,I knew I had to say something to deepen the dialogue.,いわゆる 昔ながらの職人は,"This may not be as common nowadays, but I believe the so-called traditional sushi chefs might reply this way even today.",一方で 「いやいや慎重に まだまだやってはいけない」,"Meanwhile, there are others saying ""No no, let's be careful - it's still premature.""",,,,,,,,,,,,,,,,,,
奥さんホンマにこんな淡路島に 家建てて大丈夫ですか？,"""Ma'am, are you sure you're okay building a house on Awaji Island like this?",実際にそう答える人が 多いと思います,the so-called traditional sushi chefs might reply this way even today.,という人もいっぱいいらっしゃって,"""No no, let's be careful - it's still premature.""",,,,,,,,,,,,,,,,,,
と言いました,I said.,お寿司に合うワインなんてない 果たして本当に そうなのでしょうか？,Is it really true that there isn't a wine that goes well with sushi?,正反対の意見をずっと聞くん ですね,I keep hearing both sides of opinions.,,,,,,,,,,,,,,,,,,
その奥さんは うちの嫁とは大違いで,She's nothing like my wife.,お寿司に合うワインを出す,I think there is a big difference,同意書なんかもですね,Take the Patient Agreement Form for example.,,,,,,,,,,,,,,,,,,
いいです 私も楽しみにしてます,"She said, ""That's fine. I'm looking forward to it.",ワインに合ったお寿司を出す,between 'serving wine that goes with sushi',最初は安全性試験なので,Trial starts with the safety test.,,,,,,,,,,,,,,,,,,
と言われましたけど なにか嘘じゃないかな？,"But there's something false about that, isn't there?",そこには大きな違いがあります,and 'serving sushi that goes well with wine.',効果のことは絶対書いてはいけない,Some say that,,,,,,,,,,,,,,,,,,
暗い感じがするなーと僕は助手席で思いました,I thought it was too gloomy.,それは 主役の違い,The first difference is the leading role.,効果があるとか 絶対 書いてはいけないっていう人もいれば,"""We should never describe about unsure benefit"",",,,,,,,,,,,,,,,,,,
旦那はもっとそう思って いましたね,I think my husband thought so more than me.,昔ながらの職人は お寿司だけを主役に考えます,"The traditional chef believes the sushi has the leading role,",「いや 効果もないことをやっては いけないでしょう」という人も[いて],"and others say ""What's the point of doing it if there is no benefit?""",,,,,,,,,,,,,,,,,,
はっきり言って,Let's be clear.,お寿司ありきの 飲み物という考え方です,and drinks a supporting one.,もう正反対[で]どちらの意見を 聞いていいか分からない状況 —,"You have these completely opposing views, and nobody knows the answer.",,,,,,,,,,,,,,,,,,
多分 いろいろその後に 結果が出てきます,"Maybe after that, we'll see what happens.",僕はまずワインを飲み 想像します,I first start by drinking the wine and imagining.,ずっとそういうのが 20年間続いてきたので,"Having done this for twenty years,",,,,,,,,,,,,,,,,,,
友ヶ島から明石大橋まで 180度の眺望が見えるところで,The house has a 180-degree view from Tomogashima to the Akashi Bridge.,喉を通り 体に入っていくワインに,"I let my imagination grow as the wine passes through my throat,",私自身は決めました,I have decided that,,,,,,,,,,,,,,,,,,
こんなところに家を作んだったら,If you build a house in a place like this...,イメージを膨らませ そのワインにあう 最高のお寿司を創ります,then go on to make the best sushi that matches that wine.,「他人の言うことは聞かない」と,"""I am not going to listen to anyone any more""",,,,,,,,,,,,,,,,,,
当然 眺望がいい家を作るのは 当たり前ですが,"Of course, it's a matter of course of building a house with a view.",これは単に お客様の好むお寿司を握り それを出すというのではなく,This is not only making sushi based on the preference of the customer.,自分の信念を持って走っていれば,I always thought if I kept running with my conviction,,,,,,,,,,,,,,,,,,
先ほどの奥さんの反応を見て,But when I saw your wife's reaction earlier.,口にする全てのものが 主役となるもの,"Everything that enters the mouth should play the leading role,",いつかゴールに辿り着くだろうと 思ってきました,I would reach the goal some day.,,,,,,,,,,,,,,,,,,
これはマズイと思ったのは 僕以上に旦那だったんですね,"I think it was the husband who thought this was a bad idea, more than me.",ワインを飲みながら お寿司を食べたいというお客様の気持ちを お寿司に込め,so I make sushi while thinking of what someone would want to eat with wine.,20年前 研究を始めたころは,"When I started my research twenty years ago,",,,,,,,,,,,,,,,,,,
これが 旦那は大阪に通い,He commutes to Osaka.,両方が主役となるものを創る,"Both wine and sushi turn out to have leading roles,",「網膜の再生って本当にできるかな」って,I used to wonder if retina can really regenerate.,,,,,,,,,,,,,,,,,,
日曜土曜は帰ってきて 魚釣三昧の 楽しい生活だらけ,"He goes to Osaka, comes home on Sundays and Saturdays, and enjoys fishing all the time.",そうして 初めて 最高のお寿司を 演出することができるのです,and only then is it possible to create the best sushi.,私自身もちょっと自信のないところも あったんです,"I was not exactly sure myself,",,,,,,,,,,,,,,,,,,
奥さんは毎日この島で だんなの帰りを待つ,The wife waits for him to come home every day.,様々な食材が手に入り 流通が非常によくなった この時代に,In these times where it's possible to get all kinds of ingredients,だけど 「再生医療を作る」って 宣言しました,"but I declared that ""I will make the regenerative medicine possible""",,,,,,,,,,,,,,,,,,
このような状態の,She waits for him to come home.,お寿司のネタをこれまでの形に,"due to the very convenient circulation of goods,",いろんなところで言ってしまいました,and I announced it everywhere.,,,,,,,,,,,,,,,,,,
キッチンのすごさを だんなが提案しました,He suggested this amazing kitchen.,囚われることなく 変えていくことが 重要であると考えます,it's important to break out of the convention of traditional ingredients.,大きな声で言うことによって すごく良いこともあって,There are some benefits of being vocal;,,,,,,,,,,,,,,,,,,
これは奥さん目線で 明石大橋の方を見ているんですが,"This is the wife's point of view, looking toward the Akashi Bridge.",お寿司のネタはこれからも どんどん変わっていくでしょう,The ingredients used in sushi will surely continue to change.,１つはですね 自分を追い込むということです,one is that you give yourself a drive.,,,,,,,,,,,,,,,,,,
居間の風景 ―テレビや人ごしに その上空を目線が抜けて,"The view from the living room, through the TV and other people.",それに 即座に対応出来る,"It's important to possess the skills and flexible mind,",実際 ９年前に 京大病院から理研に移るとき,"In fact, I moved from Kyoto University to RIKEN, normally, RIKEN (a research institute) is not a conventional career path",,,,,,,,,,,,,,,,,,
明石大橋がよく見えています,You can see Akashi Ohashi Bridge clearly.,技術と柔軟な頭,to be able to adapt to these changes.,普通はですね 眼科医のコースとしては,"normally, RIKEN (a research institute) is not a conventional career path",,,,,,,,,,,,,,,,,,
これは竣工写真で,This is a picture of the completion of the building.,そして 新しいものを 取り入れることに対する,"In addition, you must be adventurous",理研に行くっていうのはありえないんですね,for an clinical ophthalmologist.,,,,,,,,,,,,,,,,,,
生活が入る前なので 構成がよく分かりますが,You can see the structure of the house as it was built.,冒険心と経験が必要である と僕は考えます,and have the experience to incorporate these new things.,ですので 研究を辞めて 普通の眼科の診療を,"Alternatively, I could have chosen to quit my research",,,,,,,,,,,,,,,,,,
右側にあるキッチンは,The kitchen is on the right side.,例えば,"For example,",やっていくということも ありえた訳なんですけども,"and continue to be an eye doctor, and only treat patients.",,,,,,,,,,,,,,,,,,
真ん中にあるリビングよりも 高い位置にありますね,The kitchen on the right is higher than the living room in the middle.,エビと マスカルポーネチーズの握り,Nigiri sushi using shrimp and mascarpone cheese.,その時に思ったのは,Then I thought;,,,,,,,,,,,,,,,,,,
40センチか50センチ高い位置 ...もう10何年前で忘れましたが,"Forty, fifty centimeters higher than the... I don't remember how many years ago.",ワインビネガーで作られたシャリ,Topping flavored with wine vinegar.,「ああ もう 言っちゃったな」と,"""Well, now I said it""",,,,,,,,,,,,,,,,,,
