Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
ラーチ “もう話す気はない”と 伝えて,"Lurch, please remind my parents that I'm no longer speaking to them.",警察にも ご家族にも 何の連絡も届いていない,"State troopers have put out an alert, and I've contacted his family, but they haven't heard from him either.",,,,,,,,,,,,,,,,,,,,
ネヴァーモア学園が 必ず気に入るよ,"I promise you, my little viper, you will love Nevermore.",死人は連絡してこない,Dead people are notoriously bad at returning calls.,,,,,,,,,,,,,,,,,,,,
だろう？,"Won't she, Tish?",彼と森で何をしてた？,"What were you doing out in the woods with him, Ms. Addams?",,,,,,,,,,,,,,,,,,,,
娘にとって最高の学校よ,Of course. It's the perfect school for her.,妙な音を聞いて見に行くと 怪物が襲っていた,I heard a noise in the forest and went to go investigate. That's when I stumbled upon the attack.,,,,,,,,,,,,,,,,,,,,
ママの母校だから？ 同じ道をたどる気はない,Why? Because it was the perfect school for you? I have no interest in following in your footsteps.,それで？,Then what happened?,,,,,,,,,,,,,,,,,,,,
フェンシングで部長 闇のプロム女王 交霊会長,"Becoming captain of the fencing team, Queen of the Dark Prom, President of the Séance Society.",ビアンカがいて 助けを呼ぶよう頼んだ,"Then I ran into Bianca Barclay, and I told her to go for help.",,,,,,,,,,,,,,,,,,,,
理解してくれる同類と 出会えるって意味よ,I merely meant that finally you will be among peers who understand you.,気づくと私は寮に戻ってた,"Next thing I remember, I was awaking in my dorm.",,,,,,,,,,,,,,,,,,,,
友達ができちゃうかも,Maybe you'll even make some friends.,その怪物は野生動物では？,"And just to be clear, this monster wasn't a bear or some other wild animal?",,,,,,,,,,,,,,,,,,,,
他の寄宿学校とは違う,Nevermore is like no other boarding school.,熊と冬眠したこともある 違いは分かる,I've hibernated with grizzlies. I know the difference.,,,,,,,,,,,,,,,,,,,,
魅惑の地だ,It's a magical place.,保安官 もう十分でしょう,"Thank you, Sheriff. I think Miss Addams is done now.",,,,,,,,,,,,,,,,,,,,
私はモーティシアと出会い 恋に落ちた,It's where I met your mother. And we fell in love.,保安官と２人で話したい,"Actually, I would like to speak to Sheriff Galpin. Alone.",,,,,,,,,,,,,,,,,,,,
やめて 気味が悪い,You guys are making me nauseous.,許可しかねるわ,I'm not sure I can allow that.,,,,,,,,,,,,,,,,,,,,
悪い意味で,Not in a good way.,事務所に 連れて行くことはできる,I'm sure I could take her to the station and get a formal statement.,,,,,,,,,,,,,,,,,,,,
退学は私たちのせいじゃない,"Darling, we aren't the ones who got you expelled.",行くか,"Yeah, let's go. -Fine.",,,,,,,,,,,,,,,,,,,,
殺人未遂で 訴えられかけたからよ,That boy's family was going to file attempted murder charges.,５分だけ席を外します 記録は取らないで,"Yeah, let's go. -Fine. You have five minutes, and everything is off the record.",,,,,,,,,,,,,,,,,,,,
記録に残ったら困るわ,How would that have looked on your record?,でないと…,Play nice…,,,,,,,,,,,,,,,,,,,,
ええ,Terrible.,町長に連絡します,or I will call the mayor.,,,,,,,,,,,,,,,,,,,,
殺し損ねたなんて恥ね,Everyone would know I failed to get the job done.,痕跡がないのは 誰かが殺人を隠蔽してるから,Someone is trying to cover up Rowan's murder. That's the only reason to scrub the crime scene.,,,,,,,,,,,,,,,,,,,,
ネヴァーモア学園 次を左折 ここでいいよ,Just over here is fine.,殺人犯の娘としての見解か？,Is that your professional opinion as the daughter of a murderer?,,,,,,,,,,,,,,,,,,,,
どうも ここでいいの？,Thanks. -You sure you want to get out here?,父が殺人的なのは 歌の下手さくらいよ,"My father's twice the man you are, and the only thing he murders is the occasional opera in the shower.",,,,,,,,,,,,,,,,,,,,
ネヴァーモア学園を 通る道だよ,"The trail might look pretty, but it runs right past Nevermore.",おふざけは十分だ,It's been a long night. I'm tired of your games.,,,,,,,,,,,,,,,,,,,,
のけ者学園？,That school for outcasts?,ふざけてない,I'm not playing games.,,,,,,,,,,,,,,,,,,,,
よく言えばね,Huh. That's a polite way of putting it.,真実よ,I'm telling the truth.,,,,,,,,,,,,,,,,,,,,
のけ者は嫌いじゃない,I never had a problem with outcasts.,訴えを無視できないはず,You want to reject my claims but you can't.,,,,,,,,,,,,,,,,,,,,
キャンプリーダーは 人狼で善人だった,My counselor at summer camp was a werewolf. Great guy.,なぜだ？,Why is that?,,,,,,,,,,,,,,,,,,,,
普通の人たちだよ 血に飢えてるだけでね,"Yeah, they're just like you and me, until they rip your throat out.",あなたも怪物がいると 気づいてる,Because you and I both know there's a monster out there.,,,,,,,,,,,,,,,,,,,,
じゃあね,Thanks.,ローワンも被害者よ,And Rowan is his latest victim.,,,,,,,,,,,,,,,,,,,,
天気がよくなってきたわ,At least it's turning into a beautiful day.,保安官,Sheriff? -What?,,,,,,,,,,,,,,,,,,,,
ウィームス校長 個性的な お名前ね 個性的な お名前ね,Wednesday is certainly a unique name.,見てください,You're gonna want to see this.,,,,,,,,,,,,,,,,,,,,
誕生日は水曜？,I'm guessing it was the day you were born?,この学園の卒業生 エドガー･アラン･ポーは,"Edgar Allan Poe said, ""Believe nothing you hear and half of what you see.""",,,,,,,,,,,,,,,,,,,,
13日の金曜よ,I was born on Friday the 13th.,“見たことは半分 疑え”と 言った,Clearly Nevermore's most famous alumni picked that up here.,,,,,,,,,,,,,,,,,,,,
私の好きな童謡から取ったの,"Her name comes from a line from my favorite nursery rhyme,",この学園にいれば 当然の思考だ,No wonder he became a drug-addled madman.,,,,,,,,,,,,,,,,,,,,
水曜生まれの悲哀よ,Wednesday's child is full of woe.,注目を集めるため 殺人を目撃したと主張した？,Help me understand why you claim you witnessed a murder. Was it to gain attention?,,,,,,,,,,,,,,,,,,,,
独特な価値観を持ち続けてて ステキね,"You always had a unique perspective on the world, Morticia.",ウソだと決めつける人に 話す意味はない,Why should I bother telling you anything? You've already decided I'm lying.,,,,,,,,,,,,,,,,,,,,
私たちは ルームメイトだったの,Did your mother tell you we were roommates back in the day?,私は確かに見た,I know what I saw.,,,,,,,,,,,,,,,,,,,,
なのに正気を保てたの？ すごい,And you graduated with your sanity intact? Impressive.,慣れない環境で 混乱するのは当然よ,Your life's had a lot of upheaval recently. It's okay to be confused about things.,,,,,,,,,,,,,,,,,,,,
興味深い経歴の持ち主ね,You've certainly had a very interesting educational journey.,精神医学の型に はめないで,Don't try and lure me into one of your psychological traps.,,,,,,,,,,,,,,,,,,,,
５年で８校？,Eight schools in five years.,感情の整理を手伝ってるだけ,No one is trying to trap you. I'm here to help you process your emotions.,,,,,,,,,,,,,,,,,,,,
どの学校も脆弱(ぜいじゃく)すぎた,They haven't built one strong enough to hold me.,感情は入り口よ,Emotions are a gateway trait.,,,,,,,,,,,,,,,,,,,,
ここも同じでしょ,I bet this place won't be any different.,感情は涙の引き金になる 私は泣かない,"They lead to feelings, which trigger tears. I don't do tears.",,,,,,,,,,,,,,,,,,,,
“この学校に入れて うれしい”という意味です,What our daughter is trying to say is that she greatly appreciates the opportunity.,学校には なじめた？,Tell me how you're adjusting to school.,,,,,,,,,,,,,,,,,,,,
学期途中の編入は 認めてないけど,"Nevermore doesn't usually accept students mid-term,",私の初恋の人サルトルは “地獄とは他人だ”と言った,"Sartre said, ""Hell is other people."" He was my first crush.",,,,,,,,,,,,,,,,,,,,
優秀な成績と ご家族との 長い付き合いを考慮し,"but given Wednesday's perfect grades and your family's long history with the school,",仲間を作ってほしくて ご両親はあの学園を選んだの,"Wednesday, Part of the reason your parents sent you to Nevermore is so you could find your people. Become part of a larger community.",,,,,,,,,,,,,,,,,,,,
理事会を説得して 例外としたわ,I've spoken with the board and we've made an exception.,私はサメに囲まれた 孤島でいたい,I like being an island. A well-fortified one surrounded by sharks.,,,,,,,,,,,,,,,,,,,,
ラリッサ ウェンズデーのセラピーは？,"Larissa, what about Wednesday's, um… therapy sessions?",反社会的傾向は 拒絶への恐怖の表れ？,Have you considered your antisocial tendencies might be motivated by fear of rejection?,,,,,,,,,,,,,,,,,,,,
裁判所命令なの,The court ordered them.,ぜひ拒絶してみて,"If you were to reject me, I would not be upset.",,,,,,,,,,,,,,,,,,,,
ジェリコにいる臨床心理士に 週２で会えるわ,"Hmm. The school has a relationship with a therapist in Jericho. -She can meet twice a week. -Did you hear that, my little storm cloud?",その手には乗らない,You can't get rid of me that easily.,,,,,,,,,,,,,,,,,,,,
聞いたかい 私の嵐雲 これで安心だ,"-She can meet twice a week. -Did you hear that, my little storm cloud? You're in excellent hands.",逃げずに最後までいてくれた 私の勝ちね,"And look, you made it through an entire session without trying to escape. I'll take that as a win.",,,,,,,,,,,,,,,,,,,,
初回で死ぬかもね,We'll see if she survives the first session.,〝キンボット博士 臨床心理士〞 町に残ったんだね 君も このセラピーに？,"Guess you decided to stick around Jericho. Wait, you see Dr. Kinbott too?",,,,,,,,,,,,,,,,,,,,
お母様と同じ オフィーリア寮よ,I've assigned you to your mother's old dorm. Ophelia Hall.,法的義務で しかたなくね,You should know I'm legally required to be here.,,,,,,,,,,,,,,,,,,,,
オフィーリアって,Refresh my memory. Ophelia's the one who kills herself,俺も裁判所命令だ,"Uh, me too. Court ordered.",,,,,,,,,,,,,,,,,,,,
家族に苦しめられ 自殺した女でしょ？,"Ophelia's the one who kills herself after being driven mad by her family, correct?",不良２人組ってわけね,Look at us. A couple of teenage tearaways.,,,,,,,,,,,,,,,,,,,,
ルームメイトと対面ね,Should we go meet your new roommate?,昨日は なぜ逃げたのか 分からなかったけど,"Hey, when you ran off last night at the Harvest Festival, I wasn't sure what happened, and then I heard…",,,,,,,,,,,,,,,,,,,,
すごく色鮮やかだ,It's so… vivid.,聞いたよ,"I wasn't sure what happened, and then I heard…",,,,,,,,,,,,,,,,,,,,
お元気？,"Howdy, roomie.",驚いた,Kinda crazy.,,,,,,,,,,,,,,,,,,,,
イーニッド･シンクレアよ,"Wednesday, this is Enid Sinclair.",誰も信じてくれないけどね,"Everyone, including your father, believes I made it all up.",,,,,,,,,,,,,,,,,,,,
顔が青白いけど大丈夫？,Are you feeling okay? You look a little pale.,俺は…,"You know, I…",,,,,,,,,,,,,,,,,,,,
顔色は いつも悪い,Wednesday always looks half-dead.,内なる闇と向き合う時間だ,Time to get in touch with my inner rebel.,,,,,,,,,,,,,,,,,,,,
ようこそ！,Welcome to Ophelia Hall.,ちなみに 俺は…,"You know, for the record,",,,,,,,,,,,,,,,,,,,,
ハグ嫌いなのね,Not a hugger. Got it.,信じるよ,I believe you.,,,,,,,,,,,,,,,,,,,,
どうか娘を許して 色彩アレルギーなの,Please excuse Wednesday. She's allergic to color.,もっと歯に力を入れて 迫力を出して,"Ladies, come on! Let's work on those teeth. More scowl.",,,,,,,,,,,,,,,,,,,,
ウソでしょ どうなるの？,"Oh, wow. What happens to you?",容赦ない猫ちゃんよ,This kitty is taking no prisoners.,,,,,,,,,,,,,,,,,,,,
じんましんが出て 肉がそげ落ちる,I break out into hives and then the flesh peels off my bones.,今年もビアンカが優勝なら 私は自分の目をえぐる,"If Bianca Barclay wins again this year, I will literally scratch my own eyes out!",,,,,,,,,,,,,,,,,,,,
制服は特注したわ,"Luckily, we've special ordered you a uniform.",それは見ものね,I would pay money to see that.,,,,,,,,,,,,,,,,,,,,
彼女を教務課へ連れて行き 予定表をもらって,"Enid, please take Wednesday to the registrar's office to pick it up along with her schedule,",お元気？,"Howdy, roomie!",,,,,,,,,,,,,,,,,,,,
ついでに学校案内も,and give her a tour along the way.,今後も同室ね,I'm so glad you decided to stay.,,,,,,,,,,,,,,,,,,,,
私たちのような変人と怪物を 教育するための学校よ,"Nevermore was founded in 1791 to educate people like us. Outcasts, freaks, monsters,",１人部屋希望では？,I thought you wanted your single room back.,,,,,,,,,,,,,,,,,,,,
多様な のけ者集団がいる,fill in your favorite marginalized group here.,独りは寂しいし ハンドは肩もみ上手だし,"Full disclosure, I don't like living solo and Thing gives a killer neck massage.",,,,,,,,,,,,,,,,,,,,
学校の宣伝は不要よ,You can save the sanitized sales pitch.,悪くない,It's a win-win.,,,,,,,,,,,,,,,,,,,,
すぐ転校する なぜ？,I don't plan on staying here for long. -Why not?,なぜ気が変わったの？,So… why the change of heart?,,,,,,,,,,,,,,,,,,,,
あのニヤニヤしてる女に 無理やり入れられた,This was my parents' idea.,誰かのチェスの駒に されたくない,I refuse to play the role of a pawn in someone else's corrupt game.,,,,,,,,,,,,,,,,,,,,
あのニヤニヤしてる女に 無理やり入れられた 〝フェンシング部〞,"Oh look, there's my mother smirking at me.",彼の件？ 目の前で殺された,"You mean Rowan? -I witnessed his murder, Enid.",,,,,,,,,,,,,,,,,,,,
両親の長年の悲願だった,They've been looking for any excuse to send me here.,でも生きてるローワンを 今朝 見たよ,"It's just, we all saw him this morning. Very much, like, not dead.",,,,,,,,,,,,,,,,,,,,
邪悪かつ 見え透いた計画のために,"It's all a part of their nefarious, yet completely obvious plan.",どうやら私が 正気を失ってるみたい,I know. Which leads me to believe I've been losing my mind.,,,,,,,,,,,,,,,,,,,,
計画？,What plan?,思ったより愉快じゃない,It's not nearly as fun as I had anticipated.,,,,,,,,,,,,,,,,,,,,
私を両親の複製にする,To turn me into a version of themselves.,ローワンのゴシップは？,You're Nevermore's gossip queen. What's Rowan's story?,,,,,,,,,,,,,,,,,,,,
なら疑惑を晴らさないと,"In that case, perhaps you can clear something up.",不気味で孤立してて…,Other than being a weird loner… Uh…,,,,,,,,,,,,,,,,,,,,
生徒を１人 殺して 親が転校させたって噂(うわさ)よ,"Rumor's been swirling around that you killed a kid at your old school, and your parents pulled strings to get you off.",ごめん 何が？,No offense. -None taken.,,,,,,,,,,,,,,,,,,,,
どうでもいいけど２人よ,"Actually, it was two kids, but who's counting?",ゼイヴィアが同室だから 連絡して聞けばいい,"Xavier Thorpe's his roommate. If you had a cell phone, you could just text him and ask him.",,,,,,,,,,,,,,,,,,,,
ここが広場(スクエア),Welcome to the quad.,ヨーコ ポー･カップに 垂れたヒゲは禁物よ,Yoko. Come on! Flare those whiskers. The Poe Cup droops for no one.,,,,,,,,,,,,,,,,,,,,
四角(スクエア)じゃない,It's a pentagon.,ポー･カップ？,What is the Poe Cup anyway?,,,,,,,,,,,,,,,,,,,,
人間の学校と違って ここでは皮肉屋は通用しない,"The whole snarky Goth girl thing might have worked at normie school, but here things are different.",私の生きる理由,My entire reason for living right now.,,,,,,,,,,,,,,,,,,,,
当校の社会情勢を教える,Let me give you a wiki on Nevermore's social scene.,カヌーと陸上レースの混合,"Part canoe race, part foot chase, no rules.",,,,,,,,,,,,,,,,,,,,
くだらないお約束事には 興味ない,I'm not interested in participating in tribal adolescent clichés.,ポーの短編を選んで テーマにする,Each dorm has to pick an Edgar Allan Poe short story for inspiration.,,,,,,,,,,,,,,,,,,,,
ならバカにするために聞いて,"Well, then use it to fill your obviously bottomless pit of disdain.",さあ 筆を取って 人付き合いに挑戦しようよ,You could grab a brush. Ms. Thornhill's just ordered pizza. Want to take a stab at being social?,,,,,,,,,,,,,,,,,,,,
いろんな派閥があるけど,"There are many flavors of outcasts here,",人は突きたい,I do like stabbing.,,,,,,,,,,,,,,,,,,,,
４大派閥は 牙 毛皮 石 ウロコよ,"but the four main cliques are Fangs, Furs, Stoners and Scales.",付き合いは結構よ,"The social part, not so much.",,,,,,,,,,,,,,,,,,,,
アレが“牙” 吸血鬼の集団,"Those are the Fangs, AKA vampires.",執筆の妨げになるし,"Besides, it'll cut into my writing time.",,,,,,,,,,,,,,,,,,,,
何十年も在籍してる人もいる,Some of them have literally been here for decades.,いいの,No worries.,,,,,,,,,,,,,,,,,,,,
あのアホたちが“毛皮” つまり人狼,"That bunch of knuckleheads are Furs, AKA werewolves.",当日 岸で 応援してくれれば！,Just as long as you're lakeside cheering us to victory on race day.,,,,,,,,,,,,,,,,,,,,
私もね,Like me! ,ジロジロ見てるだけでもいい,Or you can just glare uncomfortably. Whatever works for you.,,,,,,,,,,,,,,,,,,,,
満月の夜は変身して うるさくなる,Full moons get pretty loud around here. That's when Furs wolf out.,“経験して書け” 私の嫌いな言葉だ,"I've always hated the expression ""write what you know.""",,,,,,,,,,,,,,,,,,,,
耳栓が必要かも,I suggest you pick up noise-cancelling headphones.,想像力の欠如の言い訳だから,It's a hall pass for the imagination-impaired.,,,,,,,,,,,,,,,,,,,,
“ウロコ”はセイレーン？,I'm assuming Scales are sirens?,でも人生が謎だらけになれば,But when your life becomes a twisted mystery…,,,,,,,,,,,,,,,,,,,,
そのとおり,You catch on quick.,経験も参考になるかも,maybe it's time to lean into it.,,,,,,,,,,,,,,,,,,,,
ビアンカ･バークレーは この学園の女王様,"And that girl, Bianca Barclay, is the closest thing Nevermore has to royalty.",ローワンと話したい,I need to speak with Rowan. I can't find him.,,,,,,,,,,,,,,,,,,,,
没落しかけてるけど,Although her crown's been slipping lately.,退学になったわ,"It won't be possible, I'm afraid. He's been expelled.",,,,,,,,,,,,,,,,,,,,
芸術家ゼイヴィアと 付き合ってた,"She used to date our resident tortured artist, Xavier Thorpe.",理由は？,For what?,,,,,,,,,,,,,,,,,,,,
でも学期初めに なぜか別れたみたい,But they broke up at the beginning of the semester. Reason unknown.,関係ない 午後の列車で出てく,Never you mind. He'll be on the first train out this afternoon.,,,,,,,,,,,,,,,,,,,,
面白い でしょ？,"Fascinating. -I know, right?",なぜ彼と森にいたの？,What were you doing out in the woods with him?,,,,,,,,,,,,,,,,,,,,
私のVlogは学園一の情報源よ,"My vlog is, like, the number one source for Nevermore gossip.",もう説明した 物音を聞いて見に行った,"I told you already. I heard a noise, and I went to investigate.",,,,,,,,,,,,,,,,,,,,
君のルームメイトの噂を 聞いた？,"Yo, Enid! You're not gonna believe the dirt I heard about your new roommate.",保安官と違って 私はだまされない,"That excuse might have placated the sheriff, but you can't fool me.",,,,,,,,,,,,,,,,,,,,
子供を殺して食うらしい 背後に気をつけろ,She eats human flesh. Chowed down on that kid she murdered. You better watch your back.,幻視能力でしょ,"You had a psychic vision, didn't you?",,,,,,,,,,,,,,,,,,,,
誤解よ,Quite the contrary.,事故現場での発言で 確信したわ,I realized you might be having them when we passed by the accident and you knew that poor farmer had broken his neck.,,,,,,,,,,,,,,,,,,,,
死体は三枚におろして ペットに食べさせてる,"I actually fillet the bodies of my victims, then feed them to my menagerie of pets.",お母様も同じ年で見え始めた,Your mother started having visions around your age.,,,,,,,,,,,,,,,,,,,,
エイジャックス 彼女がその人よ,"Ajax, this is my new roommate, Wednesday.",幻視能力は不安定で危険よ,They were notoriously unreliable and dangerous.,,,,,,,,,,,,,,,,,,,,
ヤバい,Whoa.,お母様も…,"I remember at first,",,,,,,,,,,,,,,,,,,,,
完全に白黒だ インスタのフィルターみたい,You're in black and white. -Like a living Instagram filter. -Ignore him.,正気を失いそうだった,she thought she might be losing her mind.,,,,,,,,,,,,,,,,,,,,
無視して ゴルゴンたちは 石みたいにおバカなの,"Like a living Instagram filter. -Ignore him. Gorgons spend way too much time getting stoned. He's cute, but clueless.",お母様に話した？,Have you spoken to her about them?,,,,,,,,,,,,,,,,,,,,
あなたのことが知りたい,It's a small school. There wasn't much online about you.,あなたこそ情報を隠してる,Clearly the person withholding information here is you.,,,,,,,,,,,,,,,,,,,,
インスタかTikTokは？,"You should really get on Insta, Snapchat and TikTok.",退室しても？,May I go now?,,,,,,,,,,,,,,,,,,,,
ＳＮＳは承認のための 空虚な手段よ,I find social media to be a soul-sucking void of meaningless affirmation.,課外活動を選んでからね,Not until you've picked your extracurricular activity.,,,,,,,,,,,,,,,,,,,,
おかえり 私の甘い死よ,"Look at you, my little deathtrap.",円熟した人になるために,We want our students to be well-rounded.,,,,,,,,,,,,,,,,,,,,
この制服を見ると 陰惨な学生時代を思い出すな,"Seeing you in this uniform brings back so many terrible memories. -Doesn't it, Tish? -Yes.",鋭利なままでいたい,I'd prefer to remain sharp-edged.,,,,,,,,,,,,,,,,,,,,
本当に,"Doesn't it, Tish? -Yes.",入部受け付け中の部活を リストにした,I took the liberty of putting together a list of clubs that have openings.,,,,,,,,,,,,,,,,,,,,
紳士方は先に車へ,Why don't you boys wait in the car?,ありがたい,How thoughtful.,,,,,,,,,,,,,,,,,,,,
２人で話すわ,Wednesday and I need a moment.,今日中に１つ選んで,You need to have picked one by the end of the day.,,,,,,,,,,,,,,,,,,,,
パグズリー,"Pugsley,",見守ってるから,I'll be keeping my eye on you.,,,,,,,,,,,,,,,,,,,,
弱いあんたを 独りにしておけない,"you're soft and weak. You'll never survive without me. I give you two months, tops.",好奇心がくすぐられるはず,No doubt you'll find something that tickles your fancy.,,,,,,,,,,,,,,,,,,,,
２か月以内に戻る,"You'll never survive without me. I give you two months, tops.",くすぐる奴(やつ)は指を切り落とす,The last person who tickled me lost a finger.,,,,,,,,,,,,,,,,,,,,
姉さんも元気で,"I'm gonna miss you, too, sis.",私は校長に目を付けられた ハンドがローワンを追って,Weems is clearly trying to keep tabs on me. Keep an eye on Rowan. Don't let your fingers out of his sight.,,,,,,,,,,,,,,,,,,,,
どんな脱走計画も 私には通用しない,Any plans you have of running away end right now.,ウロコも音階も スケール スケール,We got scales on scales on scales On scales on scales on scales ♪ ♪ On scales on scales on scales ♪,,,,,,,,,,,,,,,,,,,,
あらゆる知人に 見張りを頼んであるわ,I've alerted all family members to contact me the minute you darken their doorstep.,話は校長に聞いた,Weems said you'd be stopping by.,,,,,,,,,,,,,,,,,,,,
逃げ場はない,You have nowhere to go.,収穫祭での名演技を見るに 演劇部がいいと思うけど,"But to be honest, after your performance at the Harvest Festival, drama club might be more your speed.",,,,,,,,,,,,,,,,,,,,
また私を甘く見てるのね,"As usual, you underestimate me, Mother.",私の気絶中 誰に報告した？,"After I passed out, who did you tell? The sheriff?",,,,,,,,,,,,,,,,,,,,
私はあの牢獄(ろうごく)から抜け出し あなたには二度と会わない,"I will escape this educational penitentiary, and you will never hear from me again.",人間は信用できないから 校長だけに伝えた,You think I'd trust normie cops? I went straight to Weems and let her handle it.,,,,,,,,,,,,,,,,,,,,
あなたは賢い子だけど 損な生き方をしてるわ,"You are a brilliant girl, Wednesday, but sometimes you get in your own way.",さあ オーディションよ,"Anyway, let's get this audition over with.",,,,,,,,,,,,,,,,,,,,
ネヴァーモア学園が いずれ好きになる,"I'm sure you'll grow to love Nevermore,",アルトかソプラノか どこにも入れない？,"What are you? Alto, soprano or just loco?",,,,,,,,,,,,,,,,,,,,
人生が変わる経験が できるはず,and find it as life-changing as I did.,今のは？,What was that?,,,,,,,,,,,,,,,,,,,,
渡す物があるの,"Oh, I got you a little something.",犬なら聞こえる,A note only dogs can hear.,,,,,,,,,,,,,,,,,,,,
お互いのイニシャルが 黒曜石で表されてる,"Our initials. It's made of obsidian,",弓を射たことは？,Huh. You actually showed up. Ever shot a bow and arrow before?,,,,,,,,,,,,,,,,,,,,
アステカの神官が 幻視に使用してた,which Aztec priests used to conjure visions.,生きた標的になら,Only on live targets.,,,,,,,,,,,,,,,,,,,,
母娘の絆の象徴よ,It's a symbol of our connection.,そうか,Okay.,,,,,,,,,,,,,,,,,,,,
何に唆されて こんな悪趣味なガラクタを？,Which one of your spirits suggested this toe-curling tchotchke?,平行に構えて 矢をつがえ 黄色を外側 指は３本,"Square stance. Load the arrow like this, yellow side out. Three fingers.",,,,,,,,,,,,,,,,,,,,
私はママとは違う,"I'm not you, Mother.",引いて…,Pull back and…,,,,,,,,,,,,,,,,,,,,
恋もしない 母にもならない,"I will never fall in love, or be a housewife, or have a family.",飛ばす,let it fly.,,,,,,,,,,,,,,,,,,,,
思春期の娘の言葉で 心を痛めたりしないわ,"I'm told girls your age say hurtful things, and I shouldn't take it to heart.",質問は？,Any questions?,,,,,,,,,,,,,,,,,,,,
