Kanji,K.Meaning,Words.A,Words.B,Words.C,Words.D,W.Meaning.A,W.Meaning.B,W.Meaning.C,Level,S1,T1,S2,T2
迎,welcome,迎える。歓迎。出迎える,"迎撃。大歓迎。迎賓館
",,送迎。迎合。歓迎会,welcome。reception。meet,intercept。warm welcome。reception hall ,,3,彼は空港で妻と子供に出迎えられて涙を流した。,He shed tears when he was greeted by his wife and children at the airport.,迎賓館で開かれた歓迎会には多くの著名人が招待された。,Many celebrities were invited to the welcome party held at the state guesthouse.
耐,endure,耐える。忍耐。耐久性,耐性。耐久。耐火,耐熱。 耐水。耐圧,耐寒。耐え抜く。耐圧試験,bear。endurance。durability,resistance。endurance。fireproof,heat-resisting。water-resistant。pressure-resistant,1,耐火性のある素材で作られた建物は火災に強いです。,Buildings made of fire-resistant materials are strong against fire.,彼は試験に合格するために勉強に耐え抜いた。,He endured studying to pass the exam.
抗,resist,抵抗。反抗。抗議,対抗。抗争。抗体,抗生物質。抗原。抗菌,抗告。抗戦。抗酸化物質,resistance。opposition。protest,opposition。rivalry。antibody,antibiotics。antigen。antibacterial,1,彼は判決に不服だったので高等裁判所に抗告した。,He appealed to the high court because he was dissatisfied with the verdict.,抗体は抗原と呼ばれる異物に対抗するために免疫系が作り出す物質です。,Antibodies are substances that the immune system produces to counter foreign substances called antigens.
環,ring,環境。循環。環視,自然環境。悪循環,環境保護。作業環境,景気循環。環境汚染。循環器,environment。circulation。looking around,natural environment。vicious cycle,environmental protection。work environment,1,景気循環は経済の拡大と縮小を繰り返す現象です。,Business cycle is a phenomenon that repeats the expansion and contraction of the economy.,環境保護のために私たちは環境に優しい製品を選ぶべきです。,"For environmental protection, we should choose eco-friendly products."
境,boundary,国境。環境。境界,境遇。苦境。心境,辺境。逆境。境界線,住環境。境地。境内。越境。推奨環境,national border。environment。boundary,circumstance。difficult situation。mental state,remote region。adverse circumstance。boundary line,1,逆境にあっても彼は決してあきらめなかった。,"Even in adversity, he never gave up.",国境を越えることは多くの国では法律で禁止されています。,Crossing the border is prohibited by law in many countries.
激,violent,激しい。刺激。急激,感激。激励。激怒,過激。激突。劇的,激論。激戦。激化。激減。激痛,violent。stimulus。sudden,impression。encouragement。rage,extreme。crashing。dramatic,1,彼は激しい雨の中を走って彼女に刺激的なプロポーズをした。,He ran in the heavy rain and made an exciting proposal to her.,彼は激痛に耐えながら救急車を待った。,He endured the intense pain while waiting for the ambulance.
営,conduct,営む。営業。経営,運営。陣営。営利,"設営。経営者。営業時間
",経営管理。運営上。民営化,operate。business。management,management。camp。money-making,setting up。manager。business hours,2,営業時間は午前9時から午後5時までです。,The business hours are from 9 a.m. to 5 p.m.,国営企業の民営化は経済の効率化に寄与すると考えられている。 ,The privatization of state-owned enterprises is considered to contribute to the efficiency of the economy.
成,become,成る。成功。賛成,成長。成績。完成,構成。成人。成立,作成。成分。達成。成果。形成,become。success。approval,growth。results。completion,composition。adult。formation,3,彼女は成長するにつれて成績が良くなった。彼女は完成した作品に満足した。,She improved her grades as she grew up. She was satisfied with her finished work.,彼女は成立に必要な条件を満たして契約を結んだ。彼女は形成された関係に期待した。,She met the necessary conditions for the establishment and signed the contract. She looked forward to the formed relationship.
食,eat,食べる。食べ物。食事,食う。食欲。給食,定食。食卓。主食,食料品。昼食。食堂。食糧。衣食住,eat。food。meal,eat。appetite。lunch service,set meal。dining table。staple food,5,彼は定食屋に行った。彼は食卓に座って主食のご飯を食べた。,"He went to a set meal restaurant. He sat at the table and ate the staple food, rice.",彼は定食を注文したが主食を変えてもらった。彼はご飯よりもパンの方が好きだった。,He ordered a set meal but he changed the staple food. He liked bread more than rice.
行,go,行く。旅行。行動,銀行。飛行機。行列,行う。急行。実行,行政。発行。通行。行儀。行事,go。travel。action,bank。airplane。queue,perform。hurrying。execution,5,彼は旅行に行くことにした。彼は行動力があった。 ,He decided to go on a trip. He had a lot of initiative.,彼は行政の仕事に就いたが発行された規則に従わなかった。,"He took a job in the administration, but he did not follow the rules issued."
思,think,思う。思い出す。思考,片思い。思想。意思,思春期。思惑。思い直す,意思疎通。思い描く。思い込む,think。recall。thought,one-sided love。idea。intention,puberty。expectation。re-think,4,彼は思い出すのが苦手だった。彼は思考力を鍛えるためにパズルを解いた。,He was bad at remembering. He solved puzzles to train his thinking power.,彼女は思い描くのが上手だった。彼女は自分の夢を絵に描いて展示した。,She was good at imagining. She drew her dreams in pictures and exhibited them.
考,consider,考える。考慮。参考,選考。再考。考察,考え直す。考え出す。考え込む,熟考。備考。考査,consider。 consideration。 reference,selection。reconsideration。inquiry,reconsider。think out。ponder,4,彼女は選考に合格した。彼女は再考する必要がなくて考察する時間があった。,She passed the selection. She did not need to reconsider and had time to examine.,彼は考えるのが得意だった。彼は考慮することを忘れずに参考になる情報を集めた。,He was good at thinking. He did not forget to consider and collected useful information.
術,technique,芸術。技術。戦術,手術。美術。,"美術館。美術展。技術的
",芸術家。芸術的。技術革新,arts。technology。tactics,surgery。fine arts。learning,art museum。art exhibition。technical,3,彼は芸術に興味があった。彼は技術を学んで戦術を練った。,He was interested in art. He learned techniques and practiced tactics.,彼は芸術家になりたかった。彼は芸術的な感性を磨いて独自の作品を作った。,He wanted to become an artist. He polished his artistic sensibility and created his own works.
芸,craft,園芸。芸術。工芸,手芸。学芸。陶芸,芸能人。文芸。演芸,曲芸。芸人。多芸。芸術作品,gardening。arts。industrial arts,handicrafts。liberal arts。ceramics,entertainer。literature。entertainment,2,彼女は手芸が得意だった。彼女は学芸会で自分の作品を披露した。,She was good at handicrafts. She showed her works at the school festival.,彼女は手芸を教えていた。彼女は学芸の重要性を伝えて陶芸のワークショップを開催した。,She taught handicrafts. She conveyed the importance of culture and held a pottery workshop.
作,make,作る。作文。作家,作品。作業。作曲,作戦。作物。操作,発作。作法。作成。傑作。動作,make。writing。author,works。work。composition,tactics。crops。handling,4,彼女は作品を展示した。彼女は作業に時間をかけて作曲にも挑戦した。,She exhibited her works. She spent time on her work and also tried composing.,彼は作戦を実行した。彼は作物の生産性を高めるために操作を改善した。,He executed the plan. He improved the operation to increase the productivity of the crops.
使,use,使う。使用。使命,天使。大使。使者,駆使。行使。使い捨て,使い道。労使。使用者。公使,use。utilise。mission,angel。ambassador。messenger,making full use。exercise。single-use,5,,,,
造,create,製造。構造。改造,人造。創造。醸造,鋳造。造園。造船,建造。創造的。造成。酒造,manufacture。construction。remodeling,artificial。creation。brewing,casting。landscaping。shipbuilding,2,,,,
創,originate,創作。創立。創造,創刊。創造力。創設,"独創的。創出。創意
",独創。創立者。創業。創始,creation。establishment。creation,foundation。creative power。establishment,creative。generation。original idea,1,,,,
業,business,授業。産業。卒業,職業。企業。営業,作業。商業。工業,休業。事業。業者。業績。業務,class。industry。graduation,occupation。enterprise。business,operation。commerce。manufacturing industry,4,,,,
務,task,務める。義務。事務,公務。勤務。職務,任務。業務。責務,公務員。事務所。税務署,work for。duty。office work,official business。service。professional duties,duty。affairs。obligation,3,,,,
散,scatter,散る。散らす。散らかる,散歩。拡散。解散,発散。散会。閑散,散布。分散。退散。離散。散策,fall-scatter。scatter。scatter-around,walk。spreading。breaking up,emission。adjournment。deserted-inactive,3,,,,
能,ability,知能。本能。能力,才能。可能。有能,機能。性能。能率,万能。技能。放射能。堪能,intelligence。instinct。ability,talent。possible。able,function。performance。efficiency,3,,,,
距,distant,距てる。距たる。長距離,近距離。短距離。遠距離,,至近距離。測距儀。可聴距離,separate。distant。long distance,short distance。short range。long distance,,1,,,,
離,separate,離れる。離す。引き離す,離婚。距離。分離,離陸。隔離。離脱,肉離れ。離着陸。離党。離別,separated。separate。pull apart,divorce。distance。separation,takeoff。isolation。breakaway,1,,,,
査,investigate,調査。検査。巡査,捜査。審査。査定,国勢調査。血液検査,市場調査。会計監査,investigation。inspection。policeman,search。examination。assessment,census。blood test,2,,,,
監,oversee,監督。監視。監禁,映画監督。監督者。監察,監査役。 監理。総監,監修。技監。監察医。作監,supervision。monitoring。confinement,film director。supervisor。inspection,auditor。supervision。inspector general,1,,,,
域,region,地域。流域。区域,領域。水域。域外,聖域。全域。広域,芸域。職域。管理区域。禁煙区域,region。catchment basin。boundary,domain。waters。outside the area,sanctuary。whole area。wide area,2,,,,
雨,rain,雨天。雨具。雨季,雨水。雨降り。雨漏り,梅雨。雷雨。豪雨,小雨。長雨。降雨。暴風雨。雨林,rainy weather。rain gear。rainy season,rain water。rainfall。roof leak,rainy season。thunderstorm。torrential rain,5,,,,
霧,fog,朝霧。濃霧。霧雨,煙霧。霧状。迷霧,,霧消。海霧。山霧,morning fog。heavy fog。drizzle,haze。mist form。dense fog,,1,,,,
模,imitation,模様。模型。模倣,規模。模範。模擬,大規模。模索。小規模,模造。中規模。模擬試験。模擬店,pattern。model。imitation,scale。example。imitation,large-scale。searching。small scale,1,,,,
害,harm,公害。災害。迫害,被害。損害。障害,危害。妨害。有害,害虫。障害者。被害者。侵害,pollution。calamity。oppression,damage。damage。disability,injury。obstruction。harmful,3,,,,
侵,invade,侵す。侵入。侵略,侵食。侵害。侵犯,侵攻。侵出。侵奪,侵入者。人権侵害。侵略行為,invade。invasion。invasion,encroachment。infringement。violation,invasion。intrusion。usurpation,1,,,,
発,departure,発音。発見。発明,爆発。蒸発。反発,発展。出発。発表,発作。発達。発行。発揮。発射,pronunciation。discovery。invention,explosion。evaporation。opposition,development。departure。announcement,4,,,,
撃,attack,攻撃。撃つ。衝撃,打撃。襲撃。目撃,反撃。射撃。進撃,爆撃。砲撃。直撃。出撃。撃墜,attack。shoot。impact,blow。assault。witnessing,counterattack。firing。charge,1,,,,
山,mountain,火山。登山。山林,鉱山。山岳。高山,氷山。山脈。山道,山頂。野山。閉山。山地。登山家,volcano。mountain climbing。mountain forest,mine ore。mountain chain。high mountain,iceberg。mountain range。mountain road,5,,,,
足,leg・foot・sufficient,不足。満足。補足,足す。足る。足りる,発足。遠足。出足,裸足。足音。足踏み。足並み。足首,insufficiency。satisfaction。supplement,add。enough。sufficient,launch。excursion。turnout,5,,,,
場,location,市場。場所。工場,現場。入場。立場,場合。駐車場。職場,,market。place。factory,actual spot。entrance。position,"case。parking lot。place of work,",4,,,,
合,fit・suit・join,組合。合図。集合,試合。合う。場合,具合。都合。割合,合格。合計。連合。似合う。合流,association。sign。gathering,match。fit-match-unite。case,condition。circumstance。rate-ratio,3,,,,
索,cord・rope・search,索引。捜索。探索,検索。思索。模索,検索条件。捜索隊,家宅捜索。情報検索,index。search。search-explore,look up。speculation。groping for,search criteria​。search party,1,,,,
報,report・news・reward,情報。報道。報酬,報告。予報。報復,警報。通報。日報,報道陣。朗報。状況報告,information。report-news。remuneration,report。forecast。retaliation,alarm-warning。notification。daily report,3,,,,
幼,infancy・childhood,幼稚園。幼い。幼児,幼稚。幼少。乳幼児,幼女。幼年時代,幼稚園児。幼虫。幼魚。幼児語,kindergarten。very young。young child,infancy。infancy-childhood。infants,little girl。childhood,2,,,,
奇,strange・curiosity,奇妙。奇数。奇跡,奇抜。奇異。奇怪,好奇。奇行。奇声,好奇心。奇術師,strange。odd number。miracle,unusual。odd。weird,inquisitiveness。eccentricity。strange voice,1,彼は奇声をあげて周りの人たちを驚かせた。,He made a strange noise and surprised the people around him.,彼女は遺跡を訪れて古代の人々の生活に思いを馳せた。,She visited the ruins and imagined the lives of the ancient people.
跡,tracks・mark,足跡。遺跡。追跡,奇跡。筆跡。痕跡,傷跡。形跡。史跡,跡継ぎ。軌跡。焼け跡,footprints。ruins。chase,miracle。handwriting。trace,scar。traces。historic site,2,彼は犯人を追跡するために足跡をたどった。,He followed the footsteps to track down the criminal.,彼は筆跡鑑定の専門家だったので偽造された手紙を見破ることができた。,He was an expert in handwriting analysis so he could detect the forged letter.
充,allot・fill,拡充。充実。補充,充電。充足。充満,充当。充てる。充填,充電池。充溢。再充電,expansion。fullness-enhance。replenish,charging。sufficiency。being full of,allocation。assign。fill-up,1,彼は自分の知識を拡充するために毎日本を読んでいる。,He reads books every day to expand his knowledge.,このケーキはクリームで充填されていてとても美味しいです。,This cake is filled with cream and it is very delicious.
相,inter・mutual,首相。相続。相手,相談。相当。相互,相違。真相。様相,相場。相乗り。相槌。相応。相性,prime minister。succession。companion,discussion。correspond。mutual,difference。truth。aspect,3,この商品は相場よりも高く売られているので注意が必要だ。,This product is sold at a higher price than the market price so be careful.,首相は真相を隠蔽しようとしたがメディアの追及によって相違が明らかになった。,The prime minister tried to conceal the truth but the discrepancy was revealed by the media.
想 ,idea・thought・concept,想像。想定。想起,想察。回想。理想,空想。予想。思想,感想。発想。愛想。構想。妄想,imagination。hypothesis。recollect,speculation。recollection。ideals,fancy。expectation。thought,3,彼女は昔の恋人を想起したとき悲しい回想に浸ってしまった。,She was immersed in sad memories when she remembered her old lover.,この小説は彼の空想と現実の狭間で揺れ動く物語だ。,This novel is a story of his wavering between fantasy and reality.
宅,residence,帰宅。住宅。邸宅,在宅。自宅。社宅,宅地。居宅。宅配,住宅地。宅配便。住宅街。共同住宅,returning home。residence。mansion,at home。one's home。company housing,building lot。dwelling。home delivery,3,彼は帰宅するとすぐに宅配便の荷物を開けた。,He opened the package from the delivery service as soon as he got home.,彼は邸宅を建てるために広い宅地を購入した。,He bought a large plot of land to build a mansion.
宿,lodging,宿題。下宿。宿泊,宿命。民宿。合宿,宿屋。野宿。宿る,雨宿り。宿代。宿主。寄宿舎,homework。lodging。accommodation,fate。guest house。lodging together,inn。sleeping outdoors。dwell,3,彼は宿題を忘れてしまったので学校に行く前に下宿で急いでやった。,He forgot his homework so he hurried to do it at his boarding house before going to school.,彼は雨宿りをしていたとき偶然にも宿主の娘と出会った。彼は彼女に一目惚れした。,He met the landlord’s daughter by chance when he was taking shelter from the rain. He fell in love with her at first sight.
街,street・town,街道。街角。市街,街頭。街灯。街路,繁華街。商店街,市街地。町並み。住宅街,highway。street corner。urban areas,street。street light。road,business district。 shopping district,1,彼は街道を歩いて街角の喫茶店に入った。,He walked along the street and entered the coffee shop at the corner.,彼は市街地から離れた町並みに住んでいた。彼は静かな生活を望んでいた。,He lived in a town away from the urban area. He wanted a quiet life.
村,village,村人。村長。農村,村民。漁村。山村,市町村。町村。選手村,村議会。隣村。寒村,villager。village headman。farm village,villager。fishing village。mountain village,municipalities。towns and villages。athlete's village,2,彼は村人たちのリーダーとして村長に選ばれた。,He was elected as the village head as the leader of the villagers.,彼は村議会の議員だったが隣村の寒村で教師として働くことにした。,He was a village council member but he decided to work as a teacher in a poor village in the next village.
