Kanji,NR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4
殊,SHU,"particularly, especially",特殊,とくしゅ,"special, particular, peculiar",殊勲,しゅくん,distinguished services,殊勝,しゅしょう,admirable,殊功,しゅこう,distinguished service
未,MI,"still, not yet",未知,みち,unknown,未定,みてい,"undecided, indefinite",未来,みらい,future,未満,みまん,"less than, under"
味,MI,"flavor, taste ",中味,なかみ,contents,味覚,みかく,taste,調味料,ちょうみりょう,"seasoning, flavouring",趣味,しゅみ,hobby
魅,MI,charm,魅力,みりょく,charm,魅了,みりょう,fascinating,魅力的,みりょくてき,"charming, fascinating",魅惑,みわく,"attraction, fascination"
祖,SO,"ancestor, pioneer, founder",祖父,そふ,grandfather,先祖,せんぞ,"ancestor, forefather",祖母,そぼ,grandmother,祖国,そこく,motherland
租,SO,"tariff, crop tax, borrowing",租税,そぜい,"taxes, taxation",租界,そかい,"concession, settlement",年租,ねんそ,annual tax​,免租,めんそ,tax exemption
組,SO,"association, unite, assemble",組織,そしき,"organization, formation, structure, system",労組,ろうそ,labor union,改組,かいそ,"reorganization, reshuffle",組成,そせい,"composition, constitution"
粗,SO,"coarse, rough, rugged",粗末,そまつ,"crude, rough, plain, low-quality",粗品,そしな,"small present, trifling gift​",粗野,そや,"rustic, rude, vulgar, rough",粗大,そだい,"coarse, rough, bulky"
阻,SO,"prevent, obstruct, deter, impede",阻止,そし,"obstruction, hindrance, prevention",阻害,そがい,"obstruction, impediment, inhibition",阻却,そきゃく,rejection,阻隔,そかく,"separation, estrangement"
廷,TEI,"courts, government office",法廷,ほうてい,"court of law, courtroom",宮廷,きゅうてい,imperial court,出廷,しゅってい,appearance in court,開廷,かいてい,"court session, trial"
艇,TEI,"rowboat, small boat",競艇,きょうてい,boat race,艦艇,かんてい,"naval vessels, warships",舟艇,しゅうてい,"boat, watercraft",漕艇,そうてい,"rowing, boating"
庭,TEI,"courtyard, garden, yard",家庭,かてい,"home, household, family",校庭,こうてい,schoolyard,庭園,ていえん,"garden, park",庭球,ていきゅう,tennis
