Verbs,Reading,Meaning
申し上げる,もうしあげる,suggest
寄る,よる,come close to
味わう,あじわう,taste
叱る,しかる,scold
辞める,やめる,quit
整える,ととのえる,prepare
増す,ます,increase
震える,ふるえる,shake
代わる,かわる,replace
辿る,たどる,trace
試す,ためす,try
吹く,ふく,blow
好む,このむ,like
踊る,おどる,dance
巻く,まく,wind
積む,つむ,pile
増やす,ふやす,increase
痩せる,やせる,lose weight
飾る,かざる,decorate
飼う,かう,keep
揃う,そろう,have all of them
噛む,かむ,chew
堪る,たまる,endure
測る,はかる,measure
頼る,たよる,rely on
嫌う,きらう,dislike
治る,なおる,heal
探る,さぐる,explore
満ちる,みちる,fill
映る,うつる,reflect
踏む,ふむ,tread
突く,つく,poke
触る,さわる,touch
遭う,あう,encounter
溜まる,たまる,accumulate
泊まる,とまる,stay
交ぜる,まぜる,mix
飛び出す,とびだす,pop out
埋める,うめる,fill
褒める,ほめる,praise
収める,おさめる,accommodate
見上げる,みあげる,look up
晒す,さらす,expose
放つ,はなつ,release
勤める,つとめる,work
解く,とく,release
浴びる,あびる,bathe in
成り立つ,なりたつ,consist of
拭く,ふく,wipe
漂う,ただよう,drift
苦しむ,くるしむ,suffer
犯す,おかす,commit
築く,きずく,build
結び付く,むすびつく,join
交わす,かわす,intersect
反する,はんする,contradict
話し合う,はなしあう,discuss
担う,になう,bear
導く,みちびく,lead
無くす,なくす,lose
引き受ける,ひきうける,take over
次ぐ,つぐ,take over
壊れる,こわれる,break
放る,ほうる,release
敷く,しく,lay out
差し出す,さしだす,hold out
受け止める,うけとめる,catch
下す,くだす,put down
試みる,こころみる,try
載せる,のせる,put on
太る,ふとる,gain weight
効く,きく,be effective
唱える,となえる,chant
造る,つくる,build
伺う,うかがう,ask
揺れる,ゆれる,shake
預ける,あずける,deposit
捲る,めくる,roll
取り戻す,とりもどす,take back
引き上げる,ひきあげる,pull up
役立つ,やくだつ,help
話し掛ける,はなしかける,talk to someone
出でる,いでる,come out
燃える,もえる,burn
出来上がる,できあがる,be finished
飛び込む,とびこむ,dive
絞る,しぼる,squeeze
脱ぐ,ぬぐ,take off
離す,はなす,separate
生える,はえる,grow
濡れる,ぬれる,get wet
返る,かえる,return
持ち込む,もちこむ,bring in
取り入れる,とりいれる,take in
込む,こむ,be crowded or go into
曲がる,まがる,bend
祈る,いのる,pray
投げる,なげる,throw
稼ぐ,かせぐ,earn
押し付ける,おしつける,press
剥く,むく,peel
吊る,つる,hang
崩れる,くずれる,collapse
湧く,わく,spring out
外れる,はずれる,come off
こだわる,こだわる,stick to
構える,かまえる,set up
重なる,かさなる,pile up
汚れる,よごれる,get dirty
習う,ならう,learn
預かる,あずかる,take care of
引き起こす,ひきおこす,cause
控える,ひかえる,refrain from
追い掛ける,おいかける,chase
嘗める,なめる,lick
破る,やぶる,break
殴る,なぐる,strike
弾く,はじく,play
手伝う,てつだう,help
及ぼす,およぼす,influence
拾う,ひろう,pick up
騙す,だます,cheat
思い切る,おもいきる,make the most of
引き出す,ひきだす,draw out
差す,さす,imply
演ずる,えんずる,play
逃れる,のがれる,escape
煮る,にる,boil
揃える,そろえる,prepare
熟す,こなす,ripen
突き込む,つきこむ,thrust into
微笑む,ほほえむ,smile
欠ける,かける,chip
刺す,さす,pierce
思い込む,おもいこむ,think
届ける,とどける,deliver
際する,さいする,take the time to
減らす,へらす,reduce
背負う,せおう,carry on one's back
下りる,おりる,descend
擦る,する,scrape
潜る,もぐる,go under
譲る,ゆずる,give up
漏らす,もらす,give up
泳ぐ,およぐ,swim
間違える,まちがえる,make a mistake
ぶつかる,ぶつかる,bump into
浮く,うく,float
謝る,あやまる,apologize
思い付く,おもいつく,come up with
沈む,しずむ,sink
漏れる,もれる,leak
滑る,すべる,slip
割る,わる,break
入り込む,はいりこむ,get in
配る,くばる,distribute
鳴く,なく,sound
駆る,かる,drive
継ぐ,つぐ,join together
籠もる,こもる,shut oneself up
騒ぐ,さわぐ,make noise
刻む,きざむ,carve
留める,とどめる,stop
盗む,ぬすむ,steal
詰める,つめる,pack
膨らむ,ふくらむ,swell
辿り着く,たどりつく,arrive at
施す,ほどこす,apply
飲み込む,のみこむ,swallow
帯びる,おびる,take in
作り上げる,つくりあげる,build up
照らす,てらす,illuminate
名乗る,なのる,name
名付ける,なづける,name
磨く,みがく,polish
解する,かいする,interpret
添える,そえる,accompany
見守る,みまもる,watch over
努める,つとめる,try to
助かる,たすかる,be saved
恵まれる,めぐまれる,be blessed
見回す,みまわす,look around
引き摺る,ひきずる,drag
率いる,ひきいる,lead
改める,あらためる,change
怒鳴る,どなる,shout
鳴らす,ならす,make a sound
壊す,こわす,break
傷付ける,きずつける,hurt
巻き込む,まきこむ,involve
乗り込む,のりこむ,get into
潰す,つぶす,crush
振るう,ふるう,shake
囁く,ささやく,whisper
然り,しかり,so on and so forth
傾ける,かたむける,tilt
付け加える,つけくわえる,add
蘇る,よみがえる,revive
見張る,みはる,watch
指差す,ゆびさす,point to
遡る,さかのぼる,go back
乾く,かわく,dry
足る,たる,be enough
倒す,たおす,bring down
持ち出す,もちだす,take out
引き取る,ひきとる,take back
狂う,くるう,go mad
仕える,つかえる,serve
絡む,からむ,entangle
固める,かためる,harden
痛む,いたむ,hurt
踏まえる,ふまえる,catch yourself
振り向く,ふりむく,turn around
係る,かかる,pertain to
果てる,はてる,finish
炊く,たく,cook
覗き込む,のぞきこむ,look into
染みる,しみる,look into
欠かす,かかす,miss
謳う,うたう,celebrate
貫く,つらぬく,go through
飽きる,あきる,get tired of
酔う,よう,get drunk
さす,さす,make (a person)
読み取る,よみとる,read
取り込む,とりこむ,take in
閉める,しめる,close
蹴る,ける,kick
悟る,さとる,realize
贈る,おくる,give
雇う,やとう,hire
銜える,くわえる,hold in one's mouth
乗り出す,のりだす,embark
呼び掛ける,よびかける,call out
営む,いとなむ,run a business
傷付く,きずつく,scratch
溶ける,とける,melt
駆け付ける,かけつける,rush to
片付ける,かたづける,clean up
治まる,おさまる,subside
察する,さっする,sense
誤る,あやまる,make a mistake
睨む,にらむ,stare at
整う,ととのう,arrange
歩む,あゆむ,walk
植える,うえる,plant
這う,はう,crawl
争う,あらそう,fight
言い替える,いいかえる,rephrase
欠く,かく,lack
焦る,あせる,hurry
削る,けずる,cut down
茹でる,ゆでる,boil
据える,すえる,set
縛る,しばる,bind
結び付ける,むすびつける,tie
誇る,ほこる,boast of
捧げる,ささげる,dedicate
掘る,ほる,dig
祭る,まつる,celebrate
締める,しめる,fasten
裏切る,うらぎる,betray
取り付ける,とりつける,attach
立ち止まる,たちどまる,stop
遂げる,とげる,accomplish
逃げ出す,にげだす,escape
温める,あたためる,warm
聞かす,きかす,listen to
見下ろす,みおろす,look down on
間に合う,まにあう,get there in time
飛ばす,とばす,fly
乗り越える,のりこえる,get over
書き込む,かきこむ,write
怯える,おびえる,be frightened
苛める,いじめる,torment
見送る,みおくる,see off
似合う,にあう,suit
呆れる,あきれる,be amazed
焼ける,やける,burn
引っ掛かる,ひっかかる,catch
治す,なおす,heal
建つ,たつ,erect
冷める,さめる,cool down
流行る,はやる,go viral
落ち込む,おちこむ,fall
劣る,おとる,be inferior
取り除く,とりのぞく,remove
撫でる,なでる,caress
免れる,まぬがれる,be spared
嵌まる,はまる,fit
心掛ける,こころがける,set one's mind on
課する,かする,impose
崩す,くずす,break
ばれる,ばれる,be found out
明ける,あける,open
捕らえる,とらえる,catch
見直す,みなおす,review
面する,めんする,face
呼び出す,よびだす,call
目覚める,めざめる,wake up
取り扱う,とりあつかう,handle
上回る,うわまわる,surpass
写る,うつる,picture
干す,ほす,dry
切り替える,きりかえる,switch
捕らわれる,とらわれる,be caught
適する,てきする,fit
越す,こす,go over
纏まる,まとまる,get together
禁ずる,きんずる,forbid
委ねる,ゆだねる,entrust
採る,とる,take
染める,そめる,dye
引き継ぐ,ひきつぐ,take over
深める,ふかめる,deepen
覚める,さめる,awaken
延びる,のびる,extend
転がる,ころがる,roll
補う,おぎなう,compensate
潜める,ひそめる,hide
給う,たまう,supply
責める,せめる,chastise
折れる,おれる,break
称える,たたえる,praise
折る,おる,break
知り合う,しりあう,get to know each other
打ち込む,うちこむ,hammer in
持ち上げる,もちあげる,lift up
励ます,はげます,encourage
潜む,ひそむ,hide
摘む,つまむ,pluck
固まる,かたまる,solidify
思い浮かべる,おもいうかべる,contemplate
傾げる,かしげる,incline
盛り上がる,もりあがる,rise
転ずる,てんずる,turn
打ち明ける,うちあける,confide in
組み合わせる,くみあわせる,combine
盛る,もる,heap
撒く,まく,scatter
鍛える,きたえる,forge
富む,とむ,enrich
伏せる,ふせる,lie down
見当たる,みあたる,find
退ける,のける,retreat
馴染む,なじむ,get used to
攻める,せめる,attack
見逃す,みのがす,overlook
受け継ぐ,うけつぐ,inherit
冷やす,ひやす,cool down
振り込む,ふりこむ,shake in
晴れる,はれる,clear
訳す,やくす,translate
生き残る,いきのこる,survive
尖る,とがる,be sharp
叶う,かなう,fulfill
退く,しりぞく,retreat
臨む,のぞむ,face
浮かび上がる,うかびあがる,emerge
憎む,にくむ,hate
強める,つよめる,strengthen
甘える,あまえる,spoil
強いる,しいる,force
散る,ちる,scatter
曲げる,まげる,bend
浸かる,つかる,soak
仕掛ける,しかける,set up
引き返す,ひきかえす,turn back
横たわる,よこたわる,lie down
見渡す,みわたす,look out over
物語る,ものがたる,tell a story
腐る,くさる,rot
堪える,こらえる,endure
携わる,たずさわる,engage in
供える,そなえる,offer
尽きる,つきる,run out
向き合う,むきあう,face
養う,やしなう,nourish
嘆く,なげく,lament
拒む,こばむ,refuse
納める,おさめる,subdue
思い掛ける,おもいがける,contemplate
断つ,たつ,refuse
抱き締める,だきしめる,embrace
吸い込む,すいこむ,inhale
炒める,いためる,fry
潰れる,つぶれる,crush
追い付く,おいつく,catch up
差し込む,さしこむ,insert
躊躇う,ためらう,hesitate
吐き出す,はきだす,spit out
近付ける,ちかづける,approach
孵る,かえる,hatch
当て嵌まる,あてはまる,apply
直る,なおる,fix
傾く,かたむく,tilt
遮る,さえぎる,block
明く,あく,clear
儲ける,もうける,make profit
化する,かする,transform
割れる,われる,break
ぶつける,ぶつける,hit
乱れる,みだれる,disturb
捻る,ひねる,twist
赴く,おもむく,go to
託する,たくする,entrust
振る舞う,ふるまう,act
見抜く,みぬく,see through
混じる,まじる,mix
閉ざす,とざす,close
講ずる,こうずる,lecture
踏み込む,ふみこむ,step into
拭う,ぬぐう,wipe
題する,だいする,subject
追い込む,おいこむ,drive in
取り巻く,とりまく,surround
突き出す,つきだす,thrust out
脅す,おどす,threaten
着せる,きせる,dress someone up
くっ付く,くっつく,cling to
仰ぐ,あおぐ,look up to
誓う,ちかう,swear
脅かす,おびやかす,threaten
正す,ただす,correct
癒す,いやす,heal
言い聞かせる,いいきかせる,remind
汲む,くむ,fetch
打ち出す,うちだす,hammer out
組み込む,くみこむ,incorporate
感じ取る,かんじとる,sense
逸らす,そらす,divert
余る,あまる,have more than enough
俟つ,ます,anticipate
慰める,なぐさめる,comfort
引っ越す,ひっこす,move
枯れる,かれる,wither
極める,きわめる,finalize
歪む,ゆがむ,warp
冷える,ひえる,cool down
燃やす,もやす,burn
からかう,からかう,tease
広まる,ひろまる,spread
塞ぐ,ふさぐ,block
言い切る,いいきる,assert
担ぐ,かつぐ,carry
凝らす,こらす,elaborate
心得る,こころえる,understand
賭ける,かける,bet
ずれる,ずれる,shift
戸惑う,とまどう,be perplexed
弾む,はずむ,bounce
募る,つのる,solicit
握り締める,にぎりしめる,grasp
着ける,つける,put on
揚げる,あげる,lift
垂れる,たれる,droop
荒れる,あれる,rough
埋まる,うまる,bury
聞き取る,ききとる,listen
滲む,にじむ,soak
催す,もよおす,prompt
瞑る,つぶる,meditate
付する,ふする,attach
切り離す,きりはなす,detach
追い詰める,おいつめる,hunt down
帰す,きする,bring back
持ち帰る,もちかえる,bring back
写す,うつす,copy
秘める,ひめる,hide
湿る,しめる,wet
例える,たとえる,compare
替える,かえる,change
引き付ける,ひきつける,attract
纏う,まとう,clothe
昇る,のぼる,ascend
操る,あやつる,manipulate
竦める,すくめる,cower
揉む,もむ,squeeze
逆らう,さからう,defy
裂く,さく,tear
張り付ける,はりつける,stick
収まる,おさまる,settle
ごまかす,ごまかす,cheat
敵う,かなう,oppose
通り過ぎる,とおりすぎる,pass by
差し上げる,さしあげる,offer
染まる,そまる,be dyed
励む,はげむ,encourage
申し込む,もうしこむ,apply for
近寄る,ちかよる,approach
損なう,そこなう,damage
憧れる,あこがれる,admire
隔てる,へだてる,separate
親しむ,したしむ,befriend
儲かる,もうかる,profit
舞う,まう,dance
吠える,ほえる,howl
顰める,しかめる,frown
候う,そうろう,be pleased
妨げる,さまたげる,hinder
立ち寄る,たちよる,stop by
来たる,きたる,come
倣う,ならう,follow
破れる,やぶれる,break
切り出す,きりだす,cut out
恨む,うらむ,resent
唸る,うなる,roar
煽る,あおる,agitate
抜け出す,ぬけだす,break out
押し込む,おしこむ,push in
装う,よそおう,pretend
腰掛ける,こしかける,sit down
浸る,ひたる,immerse
引き寄せる,ひきよせる,draw in
問い合わせる,といあわせる,inquire
振り回す,ふりまわす,wield
覚ます,さます,awaken
澄む,すむ,clear
着替える,きかえる,change one's clothes
制する,せいする,control
見知る,みしる,recognize
介する,かいする,mediate
置き換える,おきかえる,replace
食らう,くらう,eat
閉じ込める,とじこめる,confine
掴まえる,つかまえる,seize
報ずる,ほうずる,report
足す,たす,add to
起き上がる,おきあがる,get up
惜しむ,おしむ,spare
取り掛かる,とりかかる,set about
暮れる,くれる,end
交える,まじえる,mingle
駆ける,かける,run
怠る,おこたる,neglect
嗅ぐ,かぐ,sniff
取り囲む,とりかこむ,surround
衰える,おとろえる,diminish
仕上げる,しあげる,finish
滅ぼす,ほろぼす,destroy
出向く,でむく,go out
寄越す,よこす,send
積み上げる,つみあげる,build up
敗れる,やぶれる,be defeated
滅びる,ほろびる,perish
蓄える,たくわえる,store
縫う,ぬう,sew
嵌める,はめる,fit
考え込む,かんがえこむ,consider
緩める,ゆるめる,loosen
追い出す,おいだす,expel
止す,よす,stop
見分ける,みわける,discern
踏み出す,ふみだす,take a step forward
問い掛ける,といかける,ask a question
送り出す,おくりだす,send out
先立つ,さきだつ,precede
立ち去る,たちさる,leave
奉る,たてまつる,dedicate
吹き出す,ふきだす,blow out
汚す,よごす,defile
解ける,とける,dissolve
取り消す,とりけす,cancel
引き続く,ひきつづく,continue
申し出る,もうしでる,offer
見極める,みきわめる,find out
見合わせる,みあわせる,inform
知らす,しらす,inform
啜る,すする,sip
睨み付ける,にらみつける,stare at
費やす,ついやす,spend
向かい合う,むかいあう,face each other
強まる,つよまる,intensify
歪める,ゆがめる,distort
呈する,ていする,show
挑む,いどむ,challenge
転ぶ,ころぶ,fall
教わる,おそわる,be taught
しがみ付く,しがみつく,cling to
投げ出す,なげだす,throw out
召す,めす,call
捩る,もじる,twist
取り付く,とりつく,cling to
遠ざかる,とおざかる,move away from
突き付ける,つきつける,thrust
跨がる,またがる,straddle
連なる,つらなる,stretch out
俯く,うつむく,lie face down
凍る,こおる,freeze
手渡す,てわたす,hand over
悲しむ,かなしむ,grieve
緩む,ゆるむ,loose
降ろす,おろす,unload
組み立てる,くみたてる,assemble
好く,よい,like
丸める,まるめる,roll up
立ち上る,たちのぼる,rise
練る,ねる,knead
見込む,みこむ,anticipate
薄れる,うすれる,fade
横切る,よこぎる,cross
掴まる,つかまる,hold on to
祝う,いわう,celebrate
受け付ける,うけつける,accept
際立つ,きわだつ,stand out
零す,こぼす,spill
被せる,かぶせる,cover
見受ける,みうける,receive
放す,はなす,release
見舞う,みまう,pay a visit to
供する,きょうする,offer
明かす,あかす,reveal
曇る,くもる,cloud
弄る,いじる,torment
苦しめる,くるしめる,torment
捕まえる,つかまえる,catch
送り込む,おくりこむ,send
暴れる,あばれる,riot
定まる,さだまる,settle
重んずる,おもんずる,respect
請う,こう,request
捕まる,つかまる,be caught
編む,あむ,weave
押し寄せる,おしよせる,push
取り替える,とりかえる,replace
垂らす,たらす,hang down
遣う,つかう,use
溶かす,とかす,dissolve
潜り込む,もぐりこむ,infiltrate
弱る,よわる,weaken
驚かす,おどろかす,surprise
凌ぐ,しのぐ,surpass
決め付ける,きめつける,determine
見失う,みうしなう,lose sight of
偲ぶ,しのぶ,remember
凝る,こる,elaborate
剃る,そる,shave
仕入れる,しいれる,procure
剥がす,はがす,strip
拵える,こしらえる,prepare
見開く,みひらく,open up
手掛ける,てがける,work with
彫る,ほる,carve
案ずる,あんずる,contemplate
繋げる,つなげる,connect
匂う,におう,smell
投げ掛ける,なげかける,throw
呻く,うめく,moan
途切れる,とぎれる,interrupt
澄ます,すます,clear
老いる,おいる,grow old
語り掛ける,かたりかける,speak to someone
思い当たる,おもいあたる,come to mind
深まる,ふかまる,deepen
溜める,ためる,accumulate
捜し出す,さがしだす,find out
夢見る,ゆめみる,dream
踏み切る,ふみきる,step through
躱す,かわす,dodge
投ずる,とうずる,throw
瞬く,しばたたく,blink
発つ,たつ,emit
混む,こむ,mix
吹き込む,ふきこむ,blow into
悩ます,なやます,afflict
恥じる,はじる,embarrass
纏わる,まつわる,clothe
聞き返す,ききかえす,listen to again
満つ,みつ,be full
縋る,すがる,cling to
差し掛かる,さしかかる,approach
吊るす,つるす,hang
来す,きたす,come
閉まる,しまる,close
ふざける,ふざける,joke around
立ち直る,たちなおる,recover
立ち会う,たちあう,attend
突き止める,つきとめる,find out
茂る,しげる,overgrow
座り込む,すわりこむ,sit down
授ける,さずける,give
育む,はぐくむ,nurture
勝る,まさる,prevail
襲い掛かる,おそいかかる,attack
栄える,さかえる,prosper
任ずる,にんずる,entrust
走り回る,はしりまわる,run around
照れる,てれる,shine
任す,まかす,let it
流れ込む,ながれこむ,flow into
住まう,すまう,live
成し遂げる,なしとげる,accomplish
待ち受ける,まちうける,wait for
喘ぐ,あえぐ,pant
手放す,てばなす,let go
撥ねる,はねる,repel
競う,きそう,compete
備わる,そなわる,be prepared
喚く,わめく,call out
裏付ける,うらづける,support
括る,くくる,summarize
真似る,まねる,imitate
賄う,まかなう,provide for
込み上げる,こみあげる,fill up
冷ます,さます,cool down
即する,そくする,promptly
見遣る,みやる,look after
付き纏う,つきまとう,follow
