Expression,Translation
もうすぐ台風が来るらしいですね。,I heard that a typhoon is coming soon.
今の時期、京都は暑いそうですね。,I hear it is hot in Kyoto this time of year.
うまくいきそうですか。,Do you think it will go well?
最近、急に寒くなりましたね。,It has suddenly become cold recently.
この建物は、約千年前に建てられたそうです,This building was built about a thousand years ago.
何時にお戻りですか。,What time do you return?
すみません、渋谷にはどう行けばいいですか。,"Excuse me, how do I get to Shibuya?"
バス停はどこですか。,Where is the bus stop?
すみません、駅はどっちですか。,"Excuse me, which is the train station?"
予約しているブラウンです。チェックイン,I have a reservation at Brown. Check-in
メニューを見せてもらえますか。,Can I see your menu?
私はこれにします。さくらさんは何にしますか。,"I'll take this one. What would you like, Sakura-san?"
これはいくらですか。,How much is this?
申し訳ありません。こちらに出ているだけとなっております。,I am sorry. It is only shown here.
すみません、オリーブオイルはどこですか。,"Excuse me, where is the olive oil?"
これとこれは、どこが違うんですか。,What is the difference between this and that?
この薬はいつ飲みますか。,When do I take this medicine?
今日は診察はしていますか。何時までですか。,Are you seeing a doctor today? Until what time?
この荷物を航空便でシドニーまで送りたいんですが。,I would like to send this package by air to Sydney.
今、１ドルいくらですか。,How much is a dollar now?
この授業は誰でも受けられますか。,Is this class open to everyone?
これから授業に出るんですか。,Are you going to class now?
お疲れさまです。,Thank you very much for your hard work.
ブラウンさんも会議に出るんですか。,"Are you going to a meeting too, Mr. Brown?"
こんにちは。おじゃまします。,"Hello, Mr. Brown. Hello, I'm sorry to bother you."
これからお世話になりますジョーンズです。よろしくお願いします。,"My name is Jones, and I will be taking care of you from now on. Nice to meet you."
この辺で、一人暮らしの部屋を探しているんですが。,I'm looking for a room to live alone around here.
201号室に引つ越してきました、リベラと申します。よろしくお願いします。,My name is Rivera and I'm moving into room 201. I am looking forward to living with you.
はい、リベラです,"Yes, I'm Rivera."
田中さんをお願いします。少々お待ちください。,"Tanaka-san, please. Please wait a moment."
田中はただ今外出しておりまして、3 時に戻る予定です。,Tanaka is out right now and will be back at 3:00.
注文をお願いします。,Please place your order.
チケットの予約をしたいのですが。,I would like to reserve tickets.
今度ABCのライブがあるんですが、よかつたら一緒に行きませんか。,There is a live concert of ABC coming up.
さっき、駅で財布をすられました!,I just had my wallet snatched at the station!
今度 、みんなでに行きませんか。,Would you like to go with me next time?
このツアーについて詳しく聞きたいんですが。,I would like to know more about this tour.
5時に予約していたミラーです。,I am Miller and I have a reservation for 5:00.
インターネットの募集広告を見て、お電話しました。,I saw your ad on the internet and called you.
どちらのチームが勝っていますか。,Which team is winning?
好きな映画はなんですか。,What is your favorite movie?
私たちは双子です。,We are twins.
私はシーフードアレルギーがあります。,I am allergic to seafood.
趣味は何ですか。,What are your hobbies?
週末はどうでしたか。,How was your weekend?
今日は晴れです。,It is sunny today.
あなたの好きな和食は何ですか。,What is your favorite Japanese food?
どんな本を読みますか。,What books do you read?
夏休み、一緒に旅行しましょうか。,Would you like to travel together during the summer vacation?
少々お待ちください。,Please wait a moment.
お待ちになりますか。,Would you like to wait?
何時ごろなら、ご自宅にいらっしゃいますか。,About what time w川 you be at home?
こんにちは。,Hello.
これをお願いします。 【注文する】,"I'd like to order this, please.  【place an order】"
けがをしました。,I have an injury.
お久しぶりです。ご無沙汰しております。,It has been a while. It has been a while.
オーストラリア出身です。,I am from Australia.
ありがとう!,Thank you!
ちよっと手伝っていただけませんか。,Can you help me a little?
今度行ってみませんか。,Would you like to visit us sometime?
はい、喜んで。,"Yes, I would be happy to."
ちよっと聞いてもいい?,Can I ask you something?
まずお昼を食べてからにしませんか。,Why don't we have lunch first?
何か冷たい飲み物を持ってきましょうか,Shall I bring you something cold to drink?
何かあったんですか。,What's wrong?
きっとうまくいきますよ。,It's going to be fine.
とても面白かったです。,It was very interesting.
嫌になります。,I hate it.
12月1日の羽田発、シンガポール行きでお願いします。,Please take the flight from Haneda to Singapore on December 1.
もう少しわかりやすく説明してもらえませんか。 ,Could you please explain it more clearly? 
こちらはスミスさんです。,This is Mr. Smith.
私は数学が大好き・大嫌いです。,I love/hate mathematics.
今日はすごく寒いですね。,It is very cold today.
たたみの部屋がありますか。,Do you have a tatami room?
早くお昼を食べたいです。,I can't wait to have lunch.
昨日買ったばかりのかさを失くしてしまいました。,I lost the umbrella I just bought yesterday.
ここにメールアドレスを養いていただけませんか。,Could you please feed me your e-mail address here?
荷物、重そうですね。持ちましょうか。,Your luggage looks heavy. Shall I carry it?
寒い日は、ストッキングをはいた上にスカートをはきます。,"On cold days, I wear a skirt over stockings."
今、さくらデパートでセールをしています。,There is a sale at Sakura Department Store right now.
シャワーを浴びてから出かけます。,I'm going out after taking a shower.
残すともったいないから、全部食べてしまいましよう。,"It would be a waste if I leave it, so let's eat it all."
使ったままにしないで、片づけてください。,"Don't leave it used, put it away."
寝ながら本を読むと、すぐ眠くなります。,"Read a book while you sleep, you will be sleepy soon."
ここでお昼を食べてもいいですか。いいですよ。,"Can I have lunch here? Yes, you may."
富士山に登ったことがありますか。,Have you ever climbed Mt.
チケットはどこで買えますか。,Where can I buy tickets?
福岡は、どんな街ですか。,What is Fukuoka like?
店はもう予約してあります。,I have already made a reservation at a restaurant.
学ぼうという気持ちが大切です。,It is important to be willing to learn.
3人なら入れるでしょう。,Three people will be able to get in.
昨日は疲れて、すぐ寝てしまいました。,I was tired yesterday and went to bed right away.
彼はなかなか連絡をくれません。,He doesn't contact me very often.
そこは安いのにおいしいんです。,"It's cheap there, but it's delicious."
えっ、今の人、社長(さん)だったの? 全然社長らしくない人だね。,"What, was that the president of the company? He doesn't seem like a president at all."
ミスさんは、明日休むって言ってました。,Miss said she would take tomorrow off.
蹇くて遼えそうでした。,"I was so lame, I thought I was going to be lame."
荷物が軽くなった!,My luggage is so light!
さっき電車の中で足を踏まれました。,I was stepped on in the train.
ご:i 意はどうなさいますか。,What are you going to do?
銀座線の渋谷行きに乗ってください。,Please take the Ginza line bound for Shibuya.
ふじ大学行きのバスは何番乗り場ですか。,What bus stop is the one for Fuji University?
この近くにコンビニはありませんか。,Is there a convenience store nearby?
夕食は何時からですか。,What time is dinner served?
すみません、注文をお願いします。,"Excuse me, can I have your order?"
おすすめはですか。,What do you recommend?
もうちよっと安いのはありませんか。,Is there anything cheaper?
お取—り寄せになりますが、いかがなさいますか。じゃ、お願いします。,"We can order it for you, but how would you like it? Then, please order it."
これはいつまで食べられますか。,How long can I eat this for?
少し古くてもいいので、安いほうがいいです。,"It may be a little old, but the cheaper the better."
この薬はいつ飲めばいいですか。,When should I take this medicine?
今、保険証を持っていないんですが、受診できますか。,I don't have my health insurance card.
これをEMSでシンガポールまで送りたいんですが。,I would like to send this to Singapore by EMS.
今、１ドル何円ですか。,What is the current exchange rate for one US dollar?
この講座を受けたいんですが。,I would like to take this course.
明日の2限は授業入って(い)ますか。,Do you have classes in the 2nd period tomorrow?
午後から外出します。,I will be out of town in the afternoon.
ミーティングは10時からでしたか。,Does the meeting start at 10:00 a.m.?
田中さんには、いつもお世話になっています。,"I am always grateful for your help, Mr. Tanaka."
皆さんはいつも何時に起きますか。,What time do you usually get up?
どんな部屋をお探しですか。,What kind of room are you looking for?
燃えるごみは何曜日に出すんですか。,What day of the week do you put out the burnable garbage?
もしもし、リベラさん?田中ですが。,"Hello, Mr. Rivera? This is Tanaka."
営業部の田中さんにお取り次ぎいただけますでしょうか。,Could you put me through to Mr. Tanaka in the sales department?
何時ごろにお戻りでしょっか。,What time will you be back?
これでは、お客様お名前とご住所をお願いします。,"This is a customer name and address, please."
ABCのライブですが、12貝仪目のチケットはまだ取れますか。,This is the ABC concert. Can I still get a ticket for the 12th shellfish?
OKの返事を受けてよかった。,Good to hear back from you OK.
すみません、スマホを落としたみたいなんです。,"Sorry, I seem to have dropped my phone."
近くでいいから海外にしませんか。,Would you be willing to go abroad if it is close by?
ご出発日はいつでしょうか。,When is your departure date?
カットをお願いします。,Please make the cut.
まだ募集をされていますか。,Are you still accepting applications?
6対1でタイガースがドラゴンズに勝ちました。,The Tigers beat the Dragons 6-1.
土曜日に映画を見に行きますか。,Are you going to a movie on Saturday?
あなたの家族はクリスマスを祝いますか。,Does your family celebrate Christmas?
私は血圧が低いです。,I have low blood pressure.
暇な時に(いつも)倒をしますか。,Do you (always) fall down in your spare time?
週末に何かおもしろいことをしましたか。,Did you do anything interesting over the weekend?
いいお天気ですね。,It's a beautiful day.
銭湯か温泉に行ったことはありますか。,Have you ever been to a public bath or hot spring?
私はSFを読むのが好きです。,I like to read science fiction.
喜んで。どこへ行きますか。,With pleasure. Where do you go?
こちらの番号札をお持ちください。,Please take this number tag.
おやめになりますか。,Would you like to stop?
こちらにいらっしゃったのは初めてですか。,Is this your first time here?
こんばんは。,Good evening.
お願いします!  【店員を呼ぶ】,Please!  【calls the waiter】
誰か来てください!,Someone please come!
お変わりありませんか。はい、おかげさまで,"Is there anything wrong? Yes, thanks to you."
今年、20歳になります。,"This year, I will turn 20 years old."
いろいろとお世話になり、ありがとうございました。,Thank you for everything you have done for me.
これを一緒に運んでほしいんですが。,I'd like you to carry this with you.
今から食事に行くけど、一緒にどうですか。,"I'm going out to dinner now, would you like to join me?"
ぜひ、ご一緒させてください。,Please let me join you.
なぜそう思ったのですか。どうしてそう思ったの?,What makes you think so? What made you think that?
天ぷらはどうですか。,How about tempura?
私が先生にメールしておきましょうか。,Shall I e-mail the doctor?
大丈夫ですか。,Are you okay?
自信を持ってください。,Be confident.
なかなかよかったですよ。,It was pretty good.
うんざりです。,I'm sick of it.
何時何分の便がありますか。,What time is your flight?
パスタが食べたいです。,I want pasta.
スミスさんは私の友達です。,Mr. Smith is my friend.
スポーツは得意ですが、勉強は苦手です。,"I am good at sports, but I am not good at studying."
昨日は、月がとてもきれいでした。,The moon was very beautiful yesterday.
この近くに、郵便局はありますか。,Is there a post office near here?
何が食べたいですか。,What would you like to eat?
昨日泊まったホテルはまあまあよかったです。,The hotel where we stayed yesterday was so-so.
次の交差点を右に曲がってください。,Please turn right at the next intersection.
そろそろ帰りましょうか。ええ、そうしましょう。,"Shall we go home soon? Yes, we should."
今日は日差しが強いから、帽子をかぶったほうかいいですよ。,"The sun is shining today, so you might want to wear a hat."
お風呂がわいているから、入ったら?,The bath is open. Why don't you go in?
受付をしてからお入りください。,Please come in after you check in.
じゃ、予約しちゃっていいですか。,"Then, can I make a reservation?"
よくわからないまま、参加しました。,I joined without understanding what was going on.
右に回しながら、引いてください。,Please pull it while turning it to the right.
遅れて行ってもいいですか。家、遅れたら、入れませんよ。,"May I come late? If you're late, you won't be allowed in."
はい、一度あります。,"Yes, once."
動物園まで歩いて行けますか。,Can I walk to the zoo?
お祭りは何日から何日までですか。,What are the days of the festival?
じゃ、彼女にも聞いておきますね。,I will ask my girlfriend about it.
来月、京都へ行こうと思っています。,I am planning to go to Kyoto next month.
混んでいたら、別の店にしますか。,"If it is crowded, would you prefer to go to another restaurant?"
混んで(い)て、中に入れませんでした。,It was so crowded that I couldn't get in.
田中さんはよく、私にお菓子をくれます。,Mr. Tanaka often gives me sweets.
今日は平日なのに込んでいますね。,It is crowded today even though it is a weekday.
風邪を引いたみたいです。のどが痛いです,I think I caught a cold. My throat hurts.
スミスさん、明日休むんだって。,"Mr. Smith, I heard you are taking tomorrow off."
今日は混んでそうですね。,It looks crowded today.
髪がだいぶ長くなりました。,My hair is much longer now.
ここを通らないように言われました。,I was told not to go through here.
ご案内します。どうぞ、こちらへ。,"Let me show you around. Please, this way."
この電車は秋葉原に止まりますか。,Does this train stop at Akihabara?
市役所に行くには、どこで降りればいいですか。,Where do I get off to go to City Hall?
本町2丁目3番はどの辺ですか。,Where is Honmachi 2-chome-3?
インターネットは使えますか。,Can I use the Internet?
コーヒーをお願いします。,"Can I have a cup of coffee, please?"
これは豚肉が入っていますか。,Does this contain pork?
ほかの色はありますか。,Do you have any other colors?
このズボンはきっすぎます。,Are these pants too tight?
開けてからどの/どれくらいもちますか。,How long do they last after opening?
 もう少し安くなりませんか。, Can I get a cheaper price?
朝・昼・晩、一日3回、食後に飲んでください。,"Please take it 3 times a day, breakfast, lunch, and dinner, after meals."
どうされましたか。,How did you do?
航空便だと何日くらいかかりますか。,How long does it take by air?
ATMの使い方を教えてください。,How do I use an ATM?
履修登録の受付はいつまでですか。,How long is the registration period open?
この孵はまだ幾できるみたいですよ。,It looks like you can still do some of this hatching.
何時に戻る予定ですか。,What time do you plan to return?
部長が打ち合わせを3時に変更してほしいそうです。,The director wants to reschedule the meeting for 3:00 p.m.
コーヒーか紅茶はいかがですか。,Would you like some coffee or tea?
晩ご飯はいつも何時頃ですか。,What time do you usually have dinner?
どんな部屋をご希望ですか。,What kind of room would you like?
燃えないごみは何曜日に出すんですか。,What day of the week do you put out your non-burnable trash?
失礼ですが、どちらの田中さんですか。,"Excuse me, which Tanaka-san are you?"
おつなぎしますので、このままでお待ちください。,Please wait while we connect you.
お戻りになったらお電話をいただきたいのですが。,I would like you to call me when you return.
では、ご注文を承ります。,"Then, I will take your order."
s席はまだ残っていますか。,Are there any seats left?
7月20日から22日の3日間のうち、どの日がいいですか。,"Which of the three days, July 20-22, would you prefer?"
どこで落としたかわかりませんが、電車に乗る時はありました。,"I don't know where I dropped it off, but it was there when I got on the train."
いいですね。そうしましょう,That would be nice. I will do so.
9具の占馬を祈しています。,I am praying for a 9 tool divining horse.
全体的に2センチくらい切ってもらえますか。,Could you please cut about 2 cm overall?
では、明日3時にお伺いします。よろしくお願いいたします。,Then I will visit you tomorrow at 3:00. Thank you very much.
ほぼ毎日ジムに行きます。,I go to the gym almost every day.
映画は3Dで見るのが好きです。,I like to watch movies in 3D.
お兄さんの仕事は何ですか。,What is your brother's job?
インフルエンザの予防接種はいっすればいいですか。,How can I get a flu shot?
ミステリーを読むのが大好きです。,I love to read mysteries.
天気が良かったので山にハイキングに行きました。,"The weather was nice, so I went hiking in the mountains."
暑いですね。,It is very hot.
相撲を見に行きませんか。,Why don't you go watch sumo wrestling?
あなたの好きな著者はだれですか。,Who is your favorite author?
和室と洋室、どっちに泊まりたいですか。,Would you rather stay in a Japanese-style room or a Western-style room?
こちらにおかけください。,Please sit here.
現金でお支払いになりますか。,Would you like to pay in cash?
デザートはお召し上がりになりますか。,Would you like to eat dessert?
おやすみなさい。,Good night.
すみません。 【遅れたとき】,I'm sorry.  【when late】
助けてください!,Please help me!
最近、調子はどうですか。まあまあです。,How are you doing lately? It's okay.
大学では心理学を専攻しています。,I am majoring in psychology at university.
遅くなってすみませんでした。,Sorry for the delay.
それのやり方を教えてくれませんか。,Can you teach me how to do that?
田中さんもご一緒にいかがですか。,"Would you like to join us, Mr. Tanaka?"
ご招待いただき、ありがとうございます。,Thank you for the invitation.
レポートのテーマはなんですか。,What is the theme of your report?
天ぷらとかどうですか。,How about tempura?
よかったら、お手伝いしますよ。,I can help you if you like.
顔色が良くないですね。,You don't look well.
大丈夫ですよ。,I'm fine.
まあまあでした。,It was so-so.
困りますね。,I'm in trouble.
その次は何時何分ですか。,What time is the next one?
なるべく近いお店がいいです。,I'd like to go to a restaurant as close as possible.
私は教師です。,I am a teacher.
人前で話すのは苦手です。,I am not good at public speaking.
私の国より東京のほうが人口が多いです。,Tokyo has a larger population than my country.
はい、あのコンビニのとなりにあります。,"Yes, it is next to that convenience store."
3年後に自分の会社を作りたいです。,I want to start my own company in 3 years.
今日行った店よりこの前行った店のほうがずっとよかったです。,The restaurant I went to the other day was much better than the one I went to today.
ここでちよつと待っていてください。,Please wait here for a while.
そろそろ帰りませんか。うーん、そうですねえ...。,"Why don't we go home soon? Well, yes..."
中に入る時、靴を脱ぎますか。いえ、はいたままで結構です,"Do you want to take off your shoes when you go in? No, you can leave them on."
友達に聞いて、知っています。,"I know, I asked a friend."
よく考えてから申し込んだほうがいいですよ。,You should think twice before you apply.
そんな仕事、やめてしまえば?,Why don't you quit that job?
彼は何も言わないまま、帰ってしまいました。,He left without saying anything.
スマホを見ながら歩くと危ないですよ。,It's dangerous to walk around with your phone on.
辞書、借りてもいい?　ちょっと待って。今使ってるから。,Can I borrow your dictionary?　Wait a minute. I'm using it right now.
いえ、まだ一度もありません。いつか登ってみたいと思います,"No, I haven't had one yet. I'd like to climb it someday."
英語が話せますか。,Do you speak English?
何が面白いですか。,What do you find interesting?
ビールは買ってありますか。,Do you buy beer?
夏に3週間ほど帰国しようと思っています。,I am planning to return home for 3 weeks in the summer.
少し待てば、空きますよ。,"If you wait a little, you will be free."
おなかが空いて、死にそうです。,I am dying of hunger.
今日中に返事をもらいたいんですが。,I would like to hear back from you by the end of the day.
彼女、知っているのに、教えてくれないんです。,"She knows, but she won't tell me."
彼女、怒っているみたいでしたよ。,She seemed angry.
彼、明日来ないんだって。,He won't be here tomorrow.
忘れそうだから、書いておきます。,"I'm going to forget, so I'm going to write it down."
ちよっとわからなくなりました。,I'm a little confused.
彼女に嫌われていないか、心配です,I'm worried that she doesn't like me.
メール拝見しました。,I read your email.
この電車は東京に行きますか。,Does this train go to Tokyo?
お金はいつ払いますか。乗るときですか、降りるときですか。,When do you pay? When you get on or when you get off?
タクシー乗り場はどこですか。,Where is the cab stand?
お湯が出ないんですが。,There is no hot water.
ホットとアイス、どちらになさいますか。 ,Do you want it hot or iced? 
生の魚は苦手なんです。,I don't like raw fish.
もう少し明るい色はありませんか。,Do you have any brighter colors?
わかりました。じゃ、これにします。,"Yes, I understand. I'll have this one then."
冷蔵庫で1週間は大丈夫です。,It will be fine in the refrigerator for a week.
7万円だったら買うんですが。,"I'll buy it if it costs 70,000 yen."
白いお薬が2錠、青いカプセルが1錠です。,Two white pills and one blue capsule.
昨日から寒気がするんです。,I've had a cold since yesterday.
90円切手を5枚ください。,Please give me five 90-yen stamps.
ATMで振り込みができますか。,Can I make a transfer by ATM?
レポートの提出期限はいつですか。,When is the deadline for submitting my report?
金日の「国際コミュニケーション」は休講です。,"International Communication"" is cancelled on Friday and Sunday."
これを5部ずつコピーしてもらえますか。わかりました。,"Can you make five copies of each of these? Okay, I will."
田中さんは社内にいますか。,Is Mr. Tanaka in the office?
じゃ、コーヒーをお願いします。,"Then, can I have a cup of coffee, please?"
何か家のルールがあったら教えてください。,What are your house rules?
明るくて、広い部屋がいいです。,I like a bright and spacious room.
びんや熊はどこに出したらいいですか。,Where should I put out the bottles and bears?
失礼ですが、番号をお間違えではないでしょうか。,"Excuse me, but I think you must have the wrong number."
申し訳ありません。田中はただ今ほかの電話に出ておりまが...。,I am sorry. Tanaka is on the other line right now.
すみません、お電話をいただいたそうで。,"I'm sorry, I heard you called."
マルゲリータのмサイズ1つとポテト、それと、サラダをお願いします。,"I'd like a м-size Margherita, fries, and a salad, please."
じゃ、A席を2枚お願いします。,"And two A seats, please."
待ち合わせはどこにしますか。,Where would you like to meet?
財布には、現金3万円とクレジットカード、銀行のカードが入っていました。,"In my wallet I had 30,000 yen in cash, credit cards, and a bank card."
例えば、どこですか。,"Where, for example?"
座席指定はできますか。,Do you have a seat assignment?
こんな感じにしてもらえますか。,Can you make it like this?
本日з時に面接のお約束をいただいておりますスミスと申します。,My name is Smith and I have an appointment for an interview today at з:00.
テレビで相撲を見ますか。,Do you watch sumo on TV?
硫黄島からの手紙を見たことがありますか。,Have you ever seen Letters from Iwo Jima?
妹は大学を卒業したばかりです。,My sister just graduated from college.
この辺にいい医者はいますか。薬がなくなりそうです。,Is there a good doctor around here? I am about to run out of medicine.
旅行がとても好きです。,I like traveling very much.
紅葉がとてもきれいでした。,The autumn leaves were very beautiful.
寒いですね。,It is cold.
近所の人とよく話しますか。,Do you often talk with your neighbors?
スティーヴン・キングの新しい小説は読みましたか。,Have you read the new Stephen King novel?
料金には食事代も入っていますか。,Does the fee include meals?
この中から一つお選びください。,Please choose one of these.
別のサイズをお試しになりますか。,Would you like to try another size?
すみません、何とおっしゃいましたか。,"I'm sorry, what did you say?"
元気ですか。ええ、元気ですよ。,"How are you? Yes, I'm fine."
すみません!  【レストランで店員を呼ぶ】,Excuse me!  【calls the waiter at the restaurant】
救急車を呼んでください!,Call an ambulance!
お疲れさまです。お疲れ。,You're tired. Tired.
趣味はサッカー観戦と旅行です。,My hobbies are watching soccer and traveling.
申し訳ありませんでした。,I am sorry.
もう少し待っていただけませんか。,Could you please wait a little longer?
今度、みんなでカラオケに行きましょう。,Let's go karaoke together sometime.
すみませんが、その日はちよっと...。,"I'm sorry, but that day is a little late..."
レポートの締め切りはいつですか。,When is the deadline for the report?
天ぷらなら、富士屋がおすすめです。,I recommend Fujiya for tempura.
ほかにもお手伝いできることがあったら、 言ってください。,"If there is anything else I can do for you, please let me know."
どこか具合が悪いんですか。,What is wrong with you?
元気出してください。,Cheer up.
ちょっと物足りなかったです。,It was not enough for me.
困ったなあ。,I'm in trouble.
予約をお願いしたいのですが...。,I'd like to make an appointment.
できれば一緒に行ってください。,Please go with me if you can.
お母さんはお元気ですか。,How is your mother?
料理は得意です。,She is good at cooking.
宮崎アニメの中で、どれが一番おもしろいですか。,Which of Miyazaki's animations is the most interesting?
来週、京都でお祭りがあります。,There is a festival in Kyoto next week.
将来は通訳になりたいと思っています。,I would like to become an interpreter in the future.
これは約800年前に建てられたお寺です。,This is a temple built about 800 years ago.
危ないから気をつけてください。,"Be careful, it is dangerous."
続きは明日にしましょうか。,Shall we continue tomorrow?
寒いから手袋やマフラーをしたほうがいいですよ。,You should wear gloves and a scarf because it is cold.
そこで何をしているんですか・そこで何をしてるの?,What are you doing in there/ What are you doing in there?
これは食事のあとに飲んでください。,Drink this after dinner.
すみません、うっかり忘れてしまったんです。,"Sorry, I accidentally forgot."
タイミングが合わず、結局、父とは会えないままでした。,"The timing didn't work out, and in the end I never got to meet my father."
会社を経営しながら、絵もかいているんです。,I run a company and paint as well.
これはきれいだから、洗わなくてもいいです。,"This is clean, you don't have to wash it."
着物を着たことがありますか。,Have you ever worn a kimono?
英語で書くことができますか。,Can you write in English?
困ったなあ。どうしましょう。,Oh no. What should I do?
飲み物を冷やしておきましょう。,Let's keep the drinks cold.
将来は田舎のほうに住もうと思っています。,I am thinking of living in the countryside in the future.
もうちょっと早く行けば、あの店に入れたのに!,"If I had gotten there a little earlier, I could have gotten into that restaurant!"
忙しいから行けないと思います。,I don't think I can go there because I'm busy.
ニフーさんは、山田さんの書類を英語に翻訳してあけたそつです。,Nifu translated Mr. Yamada's documents into English and opened them.
この前会ったのに、名前が思い出せないんです。,"I met him the other day, but I can't remember his name."
日本人みたいだってよく言われます。,People often say I look like a Japanese.
ビルさんは、シドニーの出身だそうですよ。,Bill-san says he is from Sydney.
どう? できそう?,How is he? Is it good?
お昼ご飯を食べたあとは、どうしても眠くなります。,I get sleepy after lunch.
ぜひ、私にやらせてください。,Please let me try.
かばんをお持ちします。,Let me get your bag.
どこで乗り換えますか。,Where do you want to change?
整理券を取って、降りる時に払ってください。,Take a numbered ticket and pay when you get off.
すみません、ここに行きたいんですが。,"Excuse me, I'd like to go here."
浴衣が小さいんですが。大きいサイズのはありますか。,My yukata is too small. Do you have one in a larger size?
ホットでお願いします。,"Hot, please."
お酒は飲めないんです。,I don't drink alcohol.
試着してもいいですか。,May I try one on?
ょっと考えます。,I will think about it for a while.
レジ袋にお入れしますか。いえ、結構です。,"Would you like to put it in a plastic bag? No, thank you."
保証期間はどのくらいですか。,How long is the warranty?
お腹が痛いんです。いい薬はありますか。,I have a stomachache. Do you have any good medicine?
頭痛がします。・頭が痛いです。,I have a headache. I have a headache.
これを速達でお願いします。,Please send this by express mail.
在留カードの更新をしたいのですが。,I would like to renew my residence card.
レポートを見ていただいてもよろしいでしょうか。,May I have a look at your report?
単位は取れそうですか。ううん、落とすかもしれません。,"Will I be able to earn credits? No, I might fail."
じゃ、お昼に行ってきます。,"Well, I'm going to lunch."
担当者の名刺を持っていますか。,Do you have the business card of the person in charge?
何を飲みますか。— じゃ、お茶をお願いします。,"What would you like to drink? - Tea, please."
この人は誰ですか。,Who is this person?
静かなところのほうがいいです。,I prefer a quiet place.
ペットボトルは資源ごみですか。,Are PET bottles recyclable?
リベラと申しますが、鈴木先生はご在宅でしょうか。,"My name is Rivera, is Dr. Suzuki at home?"
田中はただ今席をはずしておりますが、折り返しお電話させましょうか。,"Tanaka is not in the office at the moment, but I can have him call you back."
お調べしますので、少々お待ちください。,"I will check on it, please wait a moment."
何分ぐらいかかりますか。,How long will it take?
なるべく前の方の席がいいのですが。,I would like to sit in the front as much as possible.
時間は5時半でいいですか。,Is 5:30 a.m. OK?
SUZUKIの財布で、色は黒です,"I have a SUZUKI wallet, black in color."
南の島がいいです。バリとかサイパンとか。賛成。,I would like to go to the south island. Like Bali or Saipan. Agreed.
海の見える部屋がいいんですが。,I would like a room with a view of the ocean.
前髪はどうしますか。眉毛が隠れるくらいにしてください。,What about bangs? It should be enough to cover my eyebrows.
スミスと申します。本日はよろしくお願いします。,My name is Smith. I look forward to working with you today.
学校で何かスポーツをしましたか。,Did you play any sports at school?
どんな映画が好きですか。,What kind of movies do you like?
ご家族がいなくて、寂しいですか。,Do you miss your family?
歯が痛いです。いい歯医者を知りませんか。,Do you have a toothache? Do you know a good dentist?
私はレッドソックスのファンで、試合全部見に行きます。,I am a Red Sox fan and go to all their games.
スキーは楽しかったです。雪は柔らかい粉雪でした。,I enjoyed skiing. The snow was soft and powdery.
むし暑いですね。,It is very hot and humid.
漢字を正しい書き順で書くのは大事ですか。,Is it important to write Chinese characters in the correct stroke order?
今読んでいる本はなんですか。,What book are you currently reading?
