Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
影,EI,kage,shadow,影,かげ,"shadow, silhouette, figure",撮影,さつえい,photography,影響,えいきょう,"influence, effect, impact"
眼,GAN,"me, manako",eyeball,眼鏡,めがね,eyeglasses,近眼,きんがん,nearsightedness,肉眼,にくがん,naked eye
企,KI,"kuwada, takura","undertake, scheme, plan",企てる,くわだてる,"to plan, plot, propose, design",企む,たくらむ,"to scheme, plan, play a trick",企画,きかく,"planning, plan, project"
津,SHIN,tsu,"haven, port, harbour, inlet",津波,つなみ,tsunami,興味津々,きょうみしんしん,very interesting,津液,しんえき,"saliva, spit"
案,AN,.,"plan, proposal",案内,あんない,"guidance, leading",提案,ていあん,proposal,案外,あんがい,"unexpectedly, surprisingly"
策,SAKU,.,"scheme, plan, policy, means",政策,せいさく,"political measures, policy",対策,たいさく,countermeasure,失策,しっさく,"blunder, slip, error"
宗,"SHUU, SOU",.,"religion, sect",宗教,しゅうきょう,religion,宗派,しゅうは,"sect, denomination",宗門,しゅうもん,"denomination, sect"
提,TEI,sa,"submit, propose, take along",前提,ぜんてい,"condition, prerequisite, premise",提出,ていしゅつ,"presentation, submission",提供,ていきょう,"offer, tender, providing, donating"
昭,SHOU,.,"shining, bright",昭和,しょうわ,Shōwa era,昭昭,しょうしょう,"clear, bright, obvious",昭示,しょうじ, explicit statement
密,MITSU,.,secrecy,秘密,ひみつ,"secret, secrecy, confidentiality",密接,みっせつ,"close, intimate, near",厳密,げんみつ,"strict, close, precise"
司,SHI,tsukasado,administer,司会,しかい,leading a meeting,上司,じょうし,"superior, boss",司る,つかさどる,"to rule, govern, administer​"
検,KEN,.,"investigate, examination",探検,たんけん,"exploration, expedition",検査,けんさ,"inspection, test, check, scan",検閲,けんえつ,censorship
康,KOU,.,"ease, peace",健康,けんこう,health,健康保険,けんこうほけん,health insurance,健康的,けんこうてき,"hygienic, healthy"
沢,TAKU,sawa,"swamp, marsh, brilliance",光沢,こうたく,"brilliance, polish, glossy",贅沢,ぜいたく,"luxury, extravagance​",沢,さわ,"mountain stream, wetlands"
秀,SHUU,his,"excel, excellence",優秀,ゆうしゅう,"superior, excellent",秀でる,ひいでる,"to excel, surpass",秀作,しゅうさく,excellent work
興,"KOU, KYOU",oko,"entertain, interest",興味,きょうみ,interest,振興,しんこう,"promotion, encouragement",興す,おこす,"to vitalize, invigorate, energize"
率,"RITSU, SOTSU",hiki,"ratio, rate, proportion, lead",確率,かくりつ,probability,軽率,けいそつ,"rash, thoughtless, careless",率いる,ひきいる,"to lead, spearhead"
評,HYOU,.,"evaluate, criticism, comment",評価,ひょうか,"valuation, appraisal, evaluation",批評,ひひょう,"criticism, critique, review",評判,ひょうばん,"reputation, estimation, popularity"
監,KAN,.,oversee,監督,かんとく,"supervision, control",監視,かんし,"monitoring, watching, observation",監禁,かんきん,confinement
崎,.,saki,cape,崎,さき,"small peninsula, cape",長崎,ながさき,Nagasaki,宮崎県,みやざきけん,Miyazaki prefecture
鮮,ZEN,aza,"fresh, vivid, clear",新鮮,しんせん,fresh,鮮やか,あざやか,"vivid, bright, brilliant, clear",鮮烈,せんれつ,"vivid, striking"
激,GEKI,hage,"violent, get excited",激しい,はげ,"violent, furious, intense",刺激,しげき,"stimulus, stimulation, irritation",急激,きゅうげき,"sudden, abrupt, rapid, sharp"
徳,TOKU,.,"benevolence, virtue",道徳,どうとく,morals,悪徳,あくとく,"vice, immorality, corruption",美徳,びとく,virtue
挙,KYO,a,"raise, plan, actions",挙げる,あげる,to raise,選挙,せんきょ,election,挙句,あげく,"after a long process, at the end of"
志,SHI,kokoroza,"intention, plan",意志,意志,"will, volition, intention",志向,しこう,"intention, aim, preference for",志望,しぼう,"wish, desire, ambition"
敷,FU,shi,spread,敷く,しく,"to spread out, lay out​",敷設,ふせつ,"laying, construction",座敷,ざしき,tatami mat room
系,KEI,.,"lineage, system",体系,たいけい,"system, organization",系統,けいとう,"system, lineage, ancestry",生態系,せいたいけい,ecosystem
織,"SHOKU, SHIKI",o,"weave, fabric",織物,おりもの,"textile, fabric",織る,おる,to weave,組織的,そしきてき,"systematic, organized"
製,SEI,.,"produce, manufacture, made in",製品,せいひん,manufactured goods,製造,せいぞう,"manufacture, production​",精製,せいせい,"refining, purification"
端,TAN,"hashi, hata, ha","edge, origin, end, point",先端,せんたん,"pointed end, tip, point, forefront",極端,きょくたん,"extreme, extremity",端末,たんまつ,terminal
遺,"I, YUI",.,"bequeath, leave behind, reserve",遺跡,いせき,"remains, ruins, relics",遺言,ゆいごん,"will, testament​",遺伝,いでん,"heredity, inheritance"
房,BOU,fusa,"tassel, house, room",冷暖房,れいだんぼう,air conditioning and heating,文房具,ぶんぼうぐ,stationery,乳房,ちぶさ,breast
街,GAI,machi,"street, town",街道,かいどう,highway,市街,しがい,"urban areas, the streets, town",商店街,しょうてんがい,shopping district
尾,BI,o,"tail, end",尾,お,tail,尻尾,しっぽ,"tail, tail end, tip",最後尾,さいこうび,"tail end, rear, backmost part"
株,KABU,.,stocks,株式,かぶしき,"share, stock",株価,かぶか,stock prices,株主,かぶぬし,"shareholder, stockholder"
従,JUU,shitaga,"accompany, obey",従う,したがう,"to obey, abide",従業員,じゅうぎょういん,"employee, worker​",従える,したがえる,"to be accompanied by, be attended by"
敵,TEKI,kataki,"enemy, foe, opponent",素敵,すてき,"lovely, wonderful, nice",匹敵,ひってき,"to be a match for, to rival, to equal",敵意,てきい,"hostility, animosity, enmity"
展,TEN,.,"expand, unfold",発展,はってん,"development, growth, expansion",展覧会,てんらんかい,exhibition,展開,てんかい,"development, evolution, progression"
描,BYOU,"ega, ka","sketch, compose, write, draw",描く,えがく,"to draw, paint, sketch",描写,びょうしゃ,"depiction, description, portrayal",絵を描く,えをかく,to paint (draw) a picture
修,SHUU,osa,"discipline, conduct, master",修理,しゅうり,"repair, mending, fixing, servicing",修める,おさめる,"to study, complete, master",修正,しゅうせい,"amendment, correction, revision"
我,GA,"ware, wa","i, myself, ego",我慢,がまん,"endurance, patience",自我,じが,"self, the ego",我々,われわれ,we
載,SAI,no,"ride, board, get on",載る,のる,"to be placed on, be set on, be piled on",記載,きさい,"mention, record, entry",搭載,とうさい,"loading, equipping"
響,KYOU,hibi,"echo, sound, resound, vibrate",響き,ひびき,"echo, reverberation",反響,はんきょう,"echo, reverberation",影響,えいきょう,"influence, effect, impact"
秘,HI,hi,"secret, conceal",秘密,ひみつ,secret,秘める,ひめる,"to hide, keep to oneself",秘訣,ひけつ,"secret (method, trick), key"
攻,KOU,se,"aggression, attack",攻撃,こうげき,"attack, assault, raid",攻める,せめる,"to attack,  assault, assail​",専攻,せんこう,"major subject, special study"
健,KEN,suko,health,健康,けんこう,health,保健,ほけん,"preservation of health, hygiene, sanitation",健やか,すこやか,"vigorous, healthy, sound"
裁,SAI,"saba, ta","tailor, judge, decision",裁縫,さいほう,"sewing, needlework",裁判,さいばん,"trial, judgement, judgment​",制裁,せいさい,"sanctions, punishment"
隠,IN,kaku,"conceal, hide, cover",隠す,かくす,"to hide, conceal​",隠れる,かくれる,"to hide, be hidden",隠居,いんきょ,retirement
環,KAN,.,"ring, circle, link, wheel",環境,かんきょう,"environment, circumstance​",循環,じゅんかん,"circulation, rotation, cycle",一環,いっかん,"link, chain, part"
援,EN,.,"help, save, assistance",援助,えんじょ,"assistance, aid, support",応援,おうえん,"aid, assistance, help, support",救援,きゅうえん,"relief, rescue"
故,KO,"yup, furu",happenstance,事故,じこ,accident,故障,こしょう,"fault, trouble, breakdown, failure",故郷,ふるさと,"hometown, birthplace"
幕,"MAKU, BAKU",.,"curtain, bunting, act of play",幕,まく,"curtain, bunting, play",字幕,じまく,"subtitles, captioning",開幕,かいまく,"raising the curtain, start"
督,TOKU,.,"coach, command, urge, lead, supervise",監督,かんとく,"supervision, control",督促,とくそく,"urge, demand, importunity",総督,そうとく,governor-general
倉,SOU,kura,"warehouse, storehouse, cellar",倉庫,そうこ,"storehouse, warehouse",倉敷,くらしき,kurashiki city,穀倉,こくそう,granary
施,"SHI, SE",hoodoo,"give, bestow, perform",実施,じっし,"enforcement, implementation",施設,しせつ,"institution, establishment, facility​",施す,ほどこす,"to give, donate, do, perform, apply"
嫌,KEN,"kira, iyi","dislike, detest, hate",嫌い,きらい,"disliked, hated, disagreeable",嫌がる,いやがる,"to appear uncomfortable, seem to hate",機嫌,きげん,"humor, temper, mood"
継,KEI,tsu,"inherit, succeed, continue, patch",継ぐ,つぐ,"to succeed, inherit, take over, patch",継続,けいぞく,continuation,継承,けいしょう,"inheritance, succession, accession"
障,SHOU,sawa,"hinder, hurt, harm",故障,こしょう,"fault, trouble, breakdown, failure",障害,しょうがい,"obstacle, impediment, hindrance",障る,さわる,"to be harmful to, hinder, interfere with"
貴,KI,"tatto, touto","precious, value, prize",貴ぶ,とうとぶ,"to value, prize, esteem, respect",貴重品,きちょうひん,"valuable article, valuables",貴社,きしゃ,your company
整,SEI,totono,"organize, arranging, tune",整理,せいり,"sorting, arrangement",整える,ととのえる,"to put in order, arrange, tidy up",調整,ちょうせい,"adjustment, regulation, coordination"
衆,SHUU,.,"multitude, populace, masses",衆議院,しゅうぎいん,house of representatives ,公衆,こうしゅう,general public,観衆,かんしゅう,"spectators, onlookers"
及,KYUU,ooo,"reach out, exert, exercise, cause",及ぼす,およぼす,"to exert, exercise, cause, bring about",及ぶ,およぶ,"to reach, amount to, befall, happen to, extend, go on",普及,ふきゅう,"diffusion, spread, popularization"
盛,"SEI, JOU","saka, mo","boom, prosper, copulate",盛ん,さかん,"prosperous, popular, active",盛る,もる,"to serve, dish out, pile up, administer, put into",盛大,せいだい,"grand, magnificent, lavish, forceful"
玄,GEN,kuru,"mysterious, dark, black, deep",玄関,げんかん,entrance,玄人,くろうと,"expert, professional, master, geisha",玄米,げんまい,"unmilled rice, brown rice"
恵,"KEI, E",menu,"favor, blessing, grace, kindness",知恵,ちえ,"wisdom, wit, intelligence",恵む,めぐむ,"to bless, show mercy, give",恩恵,おんけい,"grace, favor, favour, blessing, benefit"
授,JU,sazu,"impart, instruct, grant, confer",授業,じゅぎょう,"lesson, class work, teaching",授賞式,じゅしょうしき,award ceremony,授ける,さずける,"to grant, give, award, teach, impart"
弾,DAN,"hi, tama, hazu","bullet, twang, flip, snap, bounce",弾く,ひく,to play piano or string instrument,爆弾,ばくだん,bomb,弾む,はずむ,"to spring, bounce, stimulated"
養,YOU,yashina,"foster, bring up, rear, develop, nurture",栄養,えいよう,"nutrition, nourishment",養う,やしなう,"to support, maintain, raise, adopt, cultivate",養成,ようせい,"training, education, development, cultivation"
驚,KYOU,odoro,"wonder, surprised, frightened, amazed",驚異,きょうい,"wonder, miracle, amazement",驚く,おどろく,"to be surprised, astonished",驚愕,きょうがく,"astonishment, amazement"
奈,NA.,.,"what, nara",奈良,なら,nara city,奈良県,ならけん,nara prefecture,神奈川県,かながわけん,kanagawa prefecture
推,SUI,o,"conjecture, infer, guess, suppose",推薦,すいせん,"recommendation, referral, endorsement​",推定,すいてい,"presumption, assumption",推す,おす,"to recommend, endorse, infer, think through"
樹,JUU,.,"timber, trees, wood, establish, set up",樹立,じゅりつ,"establishment, founding, setting",樹皮,じゅひ,bark,街路樹,がいろじゅ, roadside trees
為,I,"tame, na, su","do, change, make, benefit",為替,かわせ,"money order, draft, exchange",行為,こうい,"act, deed, conduct",所為,せい,"consequence, outcome, result"
雄,YUU,"osu, o","masculine, male, hero, leader, superiority",英雄,えいゆう,"hero, heroine, great person",雄弁,ゆうべん,"oratory, eloquence",雄大,ゆうだい,"grand, magnificent, majestic, great"
刀,TOU,katana,"sword, saber, knife",刀,かたな,sword,剃刀,かみそり,razor,刀匠,とうしょう,swordsmith
弁,BEN,.,"speech, dialect, valve, distinguish",弁解,べんかい,"explanation, excuse, justification",弁護,べんご,"defense, defence, pleading",弁償,べんしょう,"compensation, indemnification, reparation"
妙,MYOU,.,"exquisite, strange, excellent, charming",奇妙,きみょう,"strange, odd, peculiar, queer, curious",微妙,びみょう,"subtle, delicate, fine, complex, tricky, dicey",巧妙,こうみょう,"ingenious, skillful, clever"
模,"MO, BO",.,"imitation, copy, mock",模様,もよう,"pattern, figure, design, model, state, framework",模型,もけい,"model, dummy",模倣,もほう,"imitation, copying"
抗,KOU,.,"confront, resist, defy, oppose",抵抗,ていこう,"resistance, opposition, reluctance, drag",反抗,はんこう,"opposition, resistance, insubordination",抗体,こうたい,antibody
級,KYUU,.,"class, rank, grade",高級,こうきゅう,"high-class, high-grade, high-quality",上級,じょうきゅう,"upper level, upper grade, high rank",同級生,どうきゅうせい,classmate
瞬,SHUN,matata,"wink, blink, twinkle",瞬間,しゅんかん,"moment, second, instant",一瞬,いっしゅん,"instant, moment, for an instant",瞬く,またたく,"to twinkle, flicker, wink, blink"
称,SHOU,"tata, tona","name, title, admire",名称,めいしょう,"name, title",愛称,あいしょう,"pet name, nickname",称える,たたえる,"to praise, hail"
華,KA,hana,"splendor, flower, petal, shine",豪華,ごうか,"extravagant, lavish, luxurious",華やか,はなやか,"showy, brilliant, gorgeous",繁華街,はんかがい,"business district, shopping district"
傷,SHOU,"kizu, ita","wound, hurt, injure, impair",傷,きず,"wound, injury, cut",負傷,ふしょう,"injury, wound",傷つく,きずつく,"to be wounded, get injured"
闘,TOU,tataka,"fight, war",戦闘,せんとう,"battle, fight, combat",奮闘,ふんとう,"strenuous effort, hard struggle",乱闘,らんとう,"fray, fighting, brawling, scuffle"
筋,KIN,suji,"muscle, tendon, fiber",筋肉,きんにく,muscle,筋,すじ,"muscle, tendon",大筋,おおすじ,"outline, summary, gist, basic points"
訳,YAKU,wake,"translate, reason, circumstance, case",翻訳,ほんやく,translation,訳す,やくす,to translate,通訳,つうやく,interpretation
射,SHA,i,"shoot, shine into, onto",注射,ちゅうしゃ,injection,反射,はんしゃ,"reflection, reverberation​",放射,ほうしゃ,"radiation, emission"
善,ZEN,yo,"virtuous, good, goodness",改善,かいぜん,"betterment, improvement",最善,さいぜん,"the very best, utmost",善良,ぜんりょう,"goodness, excellence, virtue"
黙,MOKU,dama,"silence, become silent, leave as is",黙る,だまる,"to be silent, say nothing",沈黙,ちんもく,"silence, being silent",暗黙,あんもく,"tacit, unspoken, implicit​"
柄,HEI,gara,"design, pattern, build, nature",事柄,ことがら,"matter, thing, affair, circumstance",人柄,ひとがら,"personality, character",間柄,あいだがら,"relationship, relation, terms "
