Words,Meaning,Reading,Hint.1,Hint.2
期待,expectation/anticipation,きたい,期period/time,待wait
方法,method/way/manner,ほうほう,方direction/way,法method/rule
会場,assembly hall/venue,かいじょう,会meeting,場place
発見,discovery/detection,はっけん,発departure,見see
努力,effort/exertion,どりょく,努diligent,力power
市民,citizen,しみん,市market/city,民people/nation
関係,relation,かんけい,関connection,係person in charge
不足,insufficiency/dissatisfaction,ふそく,不negative/non-,足leg/be satisfied
以来,since/henceforth,いらい,以by means of/compared with,来come/next
理由,reason/pretext/motive​,りゆう,理logic,由reason
立場,position/situation​/viewpoint,たちば,立stand up/rise,場place
商品,commodity/commercial goods,しょうひん,商deal/sell,品goods
注目,notice/attention/observation,ちゅうもく,注pour,目eye/class/look
人物,person/character/figure,じんぶつ,人person,物thing/object
方向,direction/course,ほうこう,方direction/way,向facing/toward/beyond
将来,near future/prospects,しょうらい,将leader/soon,来come/next
作業,work/operation,さぎょう,作make,業business
原因,cause/origin,げんいん,原make,因business
空港,airport,くうこう,空sky,港harbor/port
使用,use/application,しよう,使use,用utilize
以前,ago/since/before/previous​,いぜん,以by means of/compared with,前before/in front
時期,time/period/stage,じき,時time/hour,期period/time
判断,judgment/decision,はんだん,判judgement/seal,断refuse/decision
教育,education/training,きょういく,教teach/faith,育bring up/grow up
試合,match/game,しあい,試test/try,合fit/suit
文章,writing/composition,ぶんしょう,文sentence/literature,章composition
土地,plot of land/locality,とち,土soil/earth,地ground/earth
行動,action/conduct,こうどう,行go/carry out,動move
分野,field/sphere/division,ぶんや,分part,野plains/field
相手,companion/partener,あいて,相inter-/mutual,手hand
経済,economics,けいざい,経pass/thru,済settle/finish
運転,operating/running,うんてん,運carry/luck,転revolve/turn around
開始,start/commence,かいし,開open/unfold,始commence/begin
出身,person's origin,しゅっしん,出exit/leave,身somebody
物語,story/tale,ものがたり,物thing/object,語language
記録,record/document,きろく,記scribe/account,録record
記事,article/news,きじ,記scribe/account,事matter/thing/fact
戦争,war/fighting,せんそう,戦war/battle,争dispute/argue
発表,announcement,はっぴょう,発departure/publish,表surface/table/chart
情報,news/information,じょうほう,情feelings/emotion,報report/news
文字,letter/character,もじ,文sentence/literature,字character/letter
複雑,complex/complicated,ふくざつ,複duplicate/double,雑miscellaneous
地震,earthquake,じしん,地ground/earth,震miscellaneous
自身,oneself,じしん,自oneself,身somebody
数字,numeral/figure,すうじ,数number/strength,字character/letter
可能,possible/potential,かのう,可can/passable/mustn’t,能ability/talent
位置,place/situation,いち,位rank/grade,置placement/put
確認,confirmation/verification,かくにん,確assurance/firm,認acknowledge/witness
種類,variety/kind,しゅるい,種species/kind,類sort/kind/variety
地域,area/region,ちいき,地ground/earth,域range/region
産業,industry,さんぎょう,産products/bear,業business
仕方,way/method,しかた,仕attend/serve,方direction/way
失敗,failure/mistake,しっぱい,失lose/error/fault,敗failure/defeat
代表,representative,だいひょう,代substitute/change,表surface/table/chart
折角,at great pains/long-awaited/generous/specially,せっかく,折fold/break,角angle/corner
訪日,visit to japan,ほうにち,訪call on/visit,日day/sun/Japan
流暢,fluent/flowing​,りゅうちょう,流current/a sink,暢stretch
欠伸,yawn,あくび,欠gap/yawn,伸expand/stretch
発展,development/growth/expansion,はってん,発departure/publish/start,展expand/unfold
発達,development/growth​,はったつ,発departure/publish/start,達accomplished/reach
展開,development/progression/unfolding/expansion,てんかい,展expand/unfold,開open/unfold
開発,development/exploitation​,かいはつ,開open/unfold,発departure/publish/start
現像,development of film/photographic processing,げんぞう,現present/existing,像statue/picture/image
成長,growth/development/growing up,せいちょう,成turn into/become,長long/leader
進展,progress/development,しんてん,進advance/proceed,展expand/unfold
発育,physical growth/development​,はついく,発departure/publish/start,育bring up/grow up/raise
進歩,progress/advance/improvement/development,しんぽ,進advance/proceed,歩walk
開拓,reclamation/cultivation/development​,かいたく,開open/unfold,拓clear(the land)/open
生育,birth and growth/development/breeding,せいいく,生life/genuine/birth,育bring up/grow up/raise
養成,training/education/development/cultivation​,ようせい,養foster/bring up,成turn into/become
造成,development of land/preparation/reclamation,ぞうせい,造create/make,成turn into/become
整備,maintenance/servicing​,せいび,整organize/arranging,備equip/provision/preparation
新緑,fresh verdure/new green leaves,しんりょく,新new,緑green
変化,change/variation/alteration,へんか,変unusual/change/strange,化change/transform
変更,change/modification/alteration/revision,へんこう,変unusual/change/strange,更grow late/renovate/further
両替,change/money exchange​,りょうがえ,両both,替exchange/spare/substitute
変動,change/fluctuation,へんどう,変unusual/change/strange,動move/motion/change
変革,change/transformation/innovation/reform,へんかく,変unusual/change/strange,革leather/skin/reform
変遷,change/transition/vicissitudes,へんせん,変unusual/change/strange,遷transition/move/change
交代,alternation/change/shift/substitution,こうたい,交mingle/mixing,代substitute/change/convert
換算,conversion/change/exchange,かんさん,換interchange/replace/change,算calculate
逆転,change/reversal/turn-around,ぎゃくてん,逆inverted/reverse/opposite,転revolve/turn around/change
変換,change/conversion/transformation,へんかん,変unusual/change/strange,換interchange/replace/change
改訂,revision/alteration/change​,かいてい,改reformation/change/modify,訂revise/correct/decide
訂正,correction/revision/amendment,ていせい,訂revise/correct/decide,正correct/justice
消滅,extinction/extinguishment/vanishing,しょうめつ,消extinguish/blow out,滅destroy/ruin/overthrow
全滅,annihilation/total destruction,ぜんめつ,全whole/entire/all,滅destroy/ruin/overthrow
絶滅,extinction/extermination,ぜつめつ,絶discontinue/sever/cut off,滅destroy/ruin/overthrow
高山,alpine/high mountain,こうざん,高tall,山mountain
火山,volcano,かざん,火fire,山mountain
山村,mountain village,さんそん,山mountain,村village
白人,caucasian,はくじん,白white,人person
村人,villager,むらびと,村village,人person
明白,obvious,めいはく,明bright,白white
白鳥,swan,はくちょう,白white,鳥bird
白米,polished rice,はくまい,白white,米rice
早口,rapid speaking,はやくち,早fast,口mouth
出口,exit,でぐち,出exit,口mouth
口先,lip service,くちさき,口mouth,先precede
不明,unclear,ふめい,不not,明bright
大木,large tree,たいぼく,大large,木tree
土木,civil engineering,どぼく,土earth,木tree
目玉,eyeball,めだま,目eye,玉jewel
注目,notice,ちゅうもく,注pour,目eye
女王,queen,じょおう,女woman,王king
少女,girl,しょうじょ,少few,女woman
雪女,snow fairy,ゆきおんあ,雪snow,女woman
男女,men and women,だんじょ,男men,女woman
中心,center,ちゅうしん,中middle,心heart
中米,central america,ちゅうべい,中middle,米rice/america
中国,china,ちゅうごく,中middle,国country
中立,neutrality,ちゅうりつ,中middle,立stand
中古,secondhand,ちゅうこ,中middle,古old
水中,underwater・in the water,すいちゅう,水water,中middle
終結,conclusion・end,しゅうけつ,終finish,結bind
終点,last stop・end of the line,しゅうてん,終finish,点point
失礼,discourtesy・rudeness,しつれい,失lose,礼courtesy
無礼,impoliteness・rudeness,むれい,無without,礼courtesy
礼服,formal dress,れいふく,礼courtesy,服dress
長期,long-term,ちょうき,長long,期period
社長,company president,しゃちょう,社company,長long/chief
暢気,carefree・optimistic・careless・reckless,のんき,暢stretch,気spirit/mind/mood
不潔,unclean・dirty・filthy・impure,ふけつ,不not,潔pure/clean
同一,identical・same・fair,どういつ,同same,一one
知的,intellectual,ちてき,知know,的target
窮屈,narrow・tight・cramped・stiff・constrained,きゅうくつ,窮destitute,屈yield
下品,vulgar・indecent・coarse・crude,げひん,下below,品goods
