Sentence,Meaning
あけまして、おめでとうございます。,Happy New Year!
メリークリスマス!,Merry Christmas!
どうぞよいお年を!,Have a Happy New Year!
どうぞよいお年をお迎えください。,Please have a happy New Year.
いらっしゃい!,Welcome!
いらっしゃいませ。,Welcome.
ちょっと待って。,Wait a minute.
ちょっと待ってください。,Wait a minute.
少々お待ちください。,Please wait a moment.
お疲れ様です。,Thanks for your time.
ご苦労様です。,Thank you for your efforts.
お疲れ!,Good work!
ご苦労さん!,Thanks for your efforts!
お疲れ様でした。,Thank you for your hard work.
ご苦労様でした。,Thank you for your efforts.
やあ、久しぶり!,"Hey, long time no see!"
お久しぶりですね。,It's been a while.
しばらくですね。,It's been a while.
元気だった?,How are you?
元気でしたか。,How have you been?
お変わりございませんか。,Is everything alright?
 何年ぶりですかね。 , How many years has it been? 
あれからもうどのくらいですか。,How long has it been since then?
月日が経つのは早いですね。,The months go by quickly.
久しぶりに会えて、うれしいです。 ,It's nice to see you after a long time. 
 元気そうですね。, You look well.
全然変わっていませんね。,It hasn't changed at all.
相変わらず、おきれいですね。,You are as beautiful as ever.
いつも若々しいですね。,You always look so young.
あれっ、髪型を変えたんですか。,"Oh, did you change your hairstyle?"
 前より少しやせましたね。,You are a little thinner than before.
以前よりちょっと太りましたか。,Have you gained a little more weight than before?
ご家族の皆さんもお元 気ですか。,I hope you and your family are doing well.
お子さんはもう大きくなりましたか。 ,Is your child grown now? 
ご主人もお変わりありませんか。 ,Is your husband also feeling better? 
奥さんもお変わりありませんか。,Is your wife also feeling better?
今何時ですか。,What time is it?
今1時です。,It is one o'clock.
今2 時半です。,It is now 2:30.
今もう 3 時ですよ。,It is already 3 o'clock.
まだ 4 時半ですよ。,It is still 4:30 a.m.
5 時10 分前です。,It is 10 minutes before 5:00.
6 時5 分過ぎです。,It is 5 minutes after 6:00.
午前7 時15 分です。,The time is 7:15 am.
午後8 時20 分です。,The time is 8:20 pm.
朝の 9 時です。 ,It is 9:00 in the morning. 
昼の 10 時です。,It is 10:00 pm.
夜の11 時です。,It is 11:00 at night.
夜中の12 時です。,It is 12 midnight.
深夜1 時です。,It is 1:00 am.
14 時です。,It is 2:00 pm.
正午です。,Noon.
早朝 4 時です。,It is early in the morning at 4:00 a.m.
夕方5 時です。,It is 5:00 pm.
6時からです。,From 6:00 pm.
7時までです。,Until 7:00 pm.
8時から9時までです。,It is from 8:00 to 9:00.
10 時に始まります。,The program starts at 10:00 a.m.
11 時に終わります。,It will end at 11:00.
ちょうど 0 時です。,It is exactly midnight.
毎朝何時に起きますか。,What time do you get up each morning?
毎晩何時に寝ますか。,What time do you go to bed each night?
今朝5時半に起きました。,I woke up at 5:30 this morning.
夕べ11 時頃寝ました。,I went to bed around 11:00 pm last night.
明日は何時に出発しますか。,What time do you want to leave tomorrow?
15 時25 分発です。 ,Departure time is 3:25 p.m. 
16 時 40 分着です。,Arrival time is 16:40.
大体何時頃着きますか。,Approximately what time will you arrive?
9 時頃到着する予定です。,We plan to arrive around 9:00 a.m.
8 時前には家を出ます。 ,Leave the house before 8:00 a.m.
7 時50 分頃のバスに乗ります。,Take the bus around 7:50 a.m.
8 時45 分の電車で行きます。,I will take the 8:45 a.m. train.
仕事は何時からですか。,What time do you start work?
授業は何時までですか。,What are the class hours?
昼休みは 12 時から1 時までです。,Lunch break is from 12:00 to 1:00.
6 時頃家へ帰ります。,I go home around 6:00.
8 時からおもしろいテレビがあります。 ,There will be an interesting TV show at 8:00.
7 時過ぎに晩ご飯を食べます。,We eat dinner after 7:00.
毎朝6 時頃起きています。,I wake up every morning around 6:00.
朝起きてから、すぐ朝ご飯を食べています。,I eat breakfast right after I wake up in the morning.
朝食の後で、トイレに入ります。 ,"After breakfast, go into the restroom. "
顔を洗って歯を磨きます。 ,Wash your face and brush your teeth. 
7 時に家を出て、バイクで会社へ行っています。,I leave home at 7:00 a.m. and ride my motorcycle to work.
会社の近くで昼ご飯を食べています。,I eat lunch near my office.
大抵昼食は定食やラーメンなどを食べています。 ,"Most of the time, lunch is a set meal or ramen noodles. "
仕事は5時までです。,Work is until 5:00.
でも、よく残業があります。,But there is often overtime work.
うちの会社は夜勤はありません。,Our company does not have night shifts.
家へ帰ってから犬をつれて散歩に出ます。,"After returning home, I take the dog for a walk."
夕食の前に運動をすることもあります。,Exercise may be done before dinner.
晩ご飯を食べてからいつもテレビを見ています。,I always watch TV after dinner.
お風呂に入った後で牛乳を飲んでいます。 ,I drink milk after taking a bath. 
寝る前には何も食べません。,I don't eat anything before bed.
時々夜食をとります。,"Occasionally, I take a night meal."
たまにお酒を飲んで寝ることがあります。,Sometimes I drink alcohol and go to bed.
歩いて学校へ行きます。,I walk to school.
オートバイで町まで行きます。,Motorcycle to town.
バスで通学しています。,I commute to school by bus.
電車で通勤しています。,I commute by train.
自転車で市場へ行きます。,Go to the market by bicycle.
新幹線で大阪へ向かいました。,I headed for Osaka on the Shinkansen.
家までタクシーで帰りました。 ,I took a cab home. 
駅まで車で送りました。,I drove him to the station.
フェリーで高松に渡りました。,We crossed to Takamatsu by ferry.
船で世界一周します。,Around the world by boat.
飛行機で東京へ行きます。 ,I will fly to Tokyo.
地下鉄で浅草まで出ます。,Take the subway out to Asakusa.
日本人は箸でご飯を食べます。,Japanese eat rice with chopsticks.
寿司は手で食べてもいいです。,Sushi can be eaten with hands.
台湾人はレンゲで味噌汁を飲みます。,Taiwanese people drink miso soup with a bamboo whisk.
西洋人はナイフとフォークで食事します。,Westerners eat with a knife and fork.
スプーンでプリンを食べます。,Eat the pudding with a spoon.
おたまで肉だけすくって食べます。,Scoop out only the meat with a ladle and eat.
ステーキをナイフで切ります。,Cut the steak with a knife.
ナイフで皮をむいたほうがいいです。,It is better to peel the skin with a knife.
この和風ハンバーグは醤油とからしで食べます。,This Japanese hamburger steak is served with soy sauce and mustard.
コップで水を飲みます。,Drink water from a cup.
湯呑み茶碗にお湯を注ぎます。,Pour hot water into a teacup.
コーヒーカップに紅茶を入れます。,Put tea in a coffee cup.
つまようじに刺して食べたほうが簡単です。,It is easier to stick them on a toothpick and eat them.
生ビールはやっぱりジョッキでしょう。 ,A mug of draft beer is the way to go. 
勉強する時間です。,A time to study.
もう起きる時間だよ。,It's time to get up.
動き出す時です。,It's time to get moving.
その古い仕組みを廃止する時です。,It is time to abolish that old system.
そろそろ仕事に戻る時間です。,It's time to get back to work.
何か新しいことを始めるにはいい時です。,It is a good time to start something new.
今は仕事を辞める時期じゃないですよ。,Now is not the time to quit your job.
家に帰る時間です。,Time to go home.
お別れの時間です。,It is time to say goodbye.
始めるにはいい時間ですね。,A good time to start.
もうとっくに寝る時間だよ。,It's already bedtime.
おしゃべりをやめる時間です。,It's time to stop talking.
近くに来ていただけますか。,Can you please come closer?
ちょっと待っていただけますか。,Could you please give us a moment?
メニューを見せていただけますか。,Can you show us your menu?
少しお待ちいただけますか。,Could you please wait a moment?
自己紹介していただけますか。,Could you introduce yourself?
値引きをしていただけますか。,Can you give us a discount?
もっと具体的に話していただけますか。,Can you be more specific?
その理由を説明していただけますか。,Can you explain the reason for this?
後で電話をかけ直していただけますか。,Could you please call me back later?
手伝っていただけますか。,Can you help us?
もっとゆっくり話していただけますか。,Could you speak more slowly?
正午までにオフィスにお越しいただけますか。,Could you please come to our office by noon?
いつですか。,When is that?
誕生日はいつですか。,When is your birthday?
結婚式はいつですか。,When is the wedding?
一番嬉しい時はいつですか。,When is your happiest time?
映画最後に見たのはいつですか。,When was the last time you saw a movie?
一番幸せな時はいつですか。,When is your happiest time?
引っ越しはいつですか。,When will you move in?
あなたの都合の良い時間はいつですか。,When is your convenient time?
好きな季節はいつですか。,When is your favorite season?
身長いくつですか。,How tall are you?
あなたはおいくつですか。,How old are you?
チョコレートはいくつ欲しいですか。,How many chocolates do you want?
いくつに見えますか。,How old does it look?
いくつかの理由があります。,There are several reasons.
千円でお菓子いくつ買えますか。,How many sweets can you buy for a thousand yen?
寂しいだった。,It was lonely.
昨日は雨だった。,Yesterday it rained.
海は静かだった。,The sea was calm.
私たちは心配だった。,We were worried.
私はすごく幸せだった。,I was very happy.
私はいい気分だった。,I was in a good mood.
彼らは楽しそうだった。,They seemed to be having fun.
その試験は簡単だった。,That test was easy.
彼女は嬉しそうだった。,She seemed happy.
本当に最高だった。,It was really great.
誤解だった。,It was a misunderstanding.
すごく大変だった。,It was very hard.
それはなんですか。,What is it?
好きなスポーツはなんですか。,What is your favorite sport?
趣味はなんですか。,What are your hobbies?
おすすめはなんですか。,What do you recommend?
一番人気のあるメニューはなんですか。,What is your most popular menu item?
好きな果物はなんですか。,What is your favorite fruit?
夢はなんですか。,What are your dreams?
これはお土産だよ。,This is a souvenir.
一番好きな食べ物はなんですか。,What is your favorite food?
これはいくらですか。,How much is this?
このズボンはいくらですか。,How much are these pants?
時給はいくらですか。,What is your hourly rate?
賞金はいくらですか。,How much is the prize money?
全部でいくらですか。,How much is the total?
いくら欲しいですか。,How much do you want?
それがいくらか知ってますか。,Do you know how much that is?
いくらもしません。,it doesn’t cost much.
いくら送ればいいんですか。,How much should I send?
あなたしかいない。,You're the only one.
そうとしか思えない。,I can only think of that.
彼は野菜しか食べない。,He only eats vegetables.
私は日帰り旅行しか行けない。,I can only go on day trips.
私は日本語が少ししか話せない。,I speak only a little Japanese.
私は4時間しか寝ていない。,I only slept for four hours.
この魚は日本でしか獲れない。,This fish can only be caught in Japan.
私は彼の名前しか知らないです。,I only know his name.
私はアクション映画しか見ないです。,I only watch action movies.
二日しか残ってないよ。,I only have two days left.
歩いて十分しかかからないよ。,It will only take you ten minutes to walk there.
その会社は来年の事業計画を発表した。,That company has announced its business plan for the coming year.
彼は今夜ワインを1本買って帰ると約束した。,He promised to buy a bottle of wine tonight and go home.
郵便局までの道を教えてもらえますか。,Can you tell me how to get to the post office?
かしこまりました。,Certainly.
ご案内します。,Could you follow me?
こちらです。,This way.
すぐにお持ちします。,I’ll get it right away.
確認いたします。,Let me check.
少々お待ちください。,"Just a minute, please."
お待たせしました。,Thank you for waiting.
お待たせして申し訳ございません。,Sorry to keep you waiting.
お釣りはご旅行のために取っておいてください。,Keep the change for your trip.
何とおっしゃいましたか。,I beg your pardon?
もう一度おっしゃってくださいますか。,Could you say that again?
もう少しゆっくり話していた。,Could you speak a little more slowly?
日本語で何と言いますか。,Do you know the Japanese word for it?
スペルをお願いできますか。,Could you spell that?
ここに書いてくださいますか。,Could you write that down here?
英語の話せる者を連れてまいります。,Let me call someone who speaks English.
あちらでお会計をお願いします。,Please pay over there.
こちらのカゴをお使いください。,Please use this basket.
空箱をレジにお持ちください。,Please take the empty package to the cashier.
実物はスタッフにお尋ねください。,Please ask the staff for the actual product.
列に並んでお待ちください。,Please wait in line.
こちらの列にお移りいただけますか。,Could you move to this line?”
列の最後尾にお並びください。,Please go to the end of the line.
お次にお待ちのお客様、こちらのレジへどうぞ。,"Next customer, please."
このフロアの商品は、こちらでご精算くださいませ。,Please pay here for products on this floor.
合計はこちらになります。,Here is the total.
"税込みで1,080円になります。","That’s 1,080 yen including tax."
こちらは税抜きの表示です。,Tax is not included here.
合計3点でよろしいですか。,"That’s a total of three items, ok?"
以上でよろしいですか。,Is this everything?
540円です。,That’s 540 yen.
"5点で1,000円です。","That’s 1,000 yen for five items."
レジ袋は1枚5円ですが、ご利用になりますか。,Plastic bags are 5 yen each. Would you like one?
サービス料10％が含まれております。,A 10 percent service charge is already included.
お会計はご一緒ですか。別々ですか。,Would you like to pay together or separately?
お会計は現金ですか。カードですか。,Would you like to pay by cash or credit card?
お支払い方法は現金のみとなっております。,We accept cash only.
円でお支払いになりますか。米ドルですか。,Would you like to pay in Japanese yen or U.S. dollars?
米ドルはお使いいただけません。日本円とクレジットカードのみ使えます。,We don’t accept U.S. dollars. We only accept Japanese yen or credit cards.
日本円、ドル、カードの併用払いができます。,"You can use a combination of Japanese yen, U.S. dollars and credit cards to pay."
お釣りは日本円になります。,The change is in Japanese yen.
電子マネーは扱っておりません。,We don’t accept electronic money.
"10,000円お預かりします。","Ten thousand yen, thank you."
"4,550円のお返しになります。","Your change is 4,550 yen."
お釣りです。,Here is your change.
ちょうど頂きます。,That’s exactly right.
100円多いです。,That’s 100 yen too much.
あと100円足りません。,"Another 100 yen, please."
細かいお金はございますか。,Do you have anything smaller?
小銭をお取りしましょうか。,Would you like me to use your small change?
お釣りが小銭ばかりですみません。,"Sorry, I can only give you small change."
すみません、今お釣りが切れています。,"Sorry, we don’t have any change right now."
ご一括払いでよろしいですか。,Is a one-time payment ok?
分割払いになさいますか。,Would you like to pay in installments?
こちらにカードを通してください。,Please swipe your card here.
こちらにカードを入れてください。,Please enter your card here.
暗証番号を入力してください。,Please enter your PIN.
こちらにサインをお願いします。,Please sign here.
こちらのカードは、期限切れで使用できません。,We cannot accept this card because it’s expired.
こちらのカードは、限度額オーバーで使用できません。,We cannot accept this card because it has maxed out.
他のカードはお持ちですか。,Do you have another credit card?
ポイントカードはお持ちですか。,Do you have our point card?
ポイントカードをお作りしましょうか。,Would you like to make a point card?
この用紙に必要事項をご記入いただけますか。,Could you fill out this form?
有効期限はありません。,It doesn’t expire.
年会費は無料です。,There is no annual fee.
カードのご提示で5%引きになります。,You get a 5 percent discount by showing your card.
レシートはご入り用ですか。,Do you need a receipt?
領収書はご入り用ですか。,Do you need a receipt?
お宛名はいかがなさいますか。,Who should it be addressed to?
カードとレシートのお返しです。,Here are your card and receipt.
お客様控えです。,Here is your customer copy.
担当者におつなぎいたします。,I’ll put you through to the person in charge.
担当者は不在にしております。,The person in charge isn’t available.
お名前とお電話番号をお伺いできますか。,May I have your name and phone number?
すみません、お電話が遠いようです。,"Sorry, I cannot hear you very well."
ペンとメモのご用意をお願いします。,Please have a pen and a piece of paper ready.
確認して、後でお電話いたします。,Let me confirm it and call you back later.
またのお越しをお待ちしております。,We hope to see you again.
お気を付けて。,Please take care.
出口までご案内します。,Let me show you the way out.
お忘れ物はございませんか。,Do you have everything?
こちらの傘はお客様のものではございませんか。,Isn’t this umbrella yours?
クシーをお呼びいたしましょうか。,Shall I call you a taxi?
楽しい1日をお過ごしください。,Have a great day.
今後ともよろしくお願いします。,We look forward to your next visit.
どこに置き忘れたか、覚えていらっしゃいますか。,Do you remember where you left it?
どのようなものですか。,What does it look like?
そういったものはこちらには届いておりません。,We haven’t received anything like that here.
お電話番号とご住所を教えていただけますか。,May I have your phone number and address?
見つかり次第ご連絡いたします。,We’ll contact you as soon as we find it.
お届けがあります。,Your item has been brought in.
こちらでしょうか。,Is this yours?
身分証をお見せいただけますか。,May I see some ID?
ご本人確認のため、お名前を教えていただけますか。,Could you tell me your name for verification?
営業時間は午前10時から午後8時30分です。,We are open from 10 a.m. to 8:30 p.m.
