V1,R1,M1,V2,R2,M2,V3,R3,M3,V4,R4,M4,V5,R5,M5
見える,みえる,see,触れる,ふれる,touch,終える,おえる,finish,申し上げる,もうしあげる,suggest,刺さる,ささる,stick
入れる,いれる,get in,払う,はらう,pay,外す,はずす,remove,寄る,よる,come close to,違える,ちがえる,make a difference
受ける,うける,receive,遊ぶ,あそぶ,play,呟く,つぶやく,mutter,味わう,あじわう,taste,寝転ぶ,ねころぶ,lie down
付く,つく,be attached,頼む,たのむ,ask,向く,むく,turn towards,叱る,しかる,scold,曲がりくねる,まがりくねる,turn and twist
違う,ちがう,different,頑張る,がんばる,hold on to,負ける,まける,lose,辞める,やめる,quit,翻る,ひるがえる,turn
始める,はじめる,begin,抱く,いだく,hold,要る,いる,need,整える,ととのえる,prepare,滅ぶ,ほろぶ,perish
呼ぶ,よぶ,call,楽しむ,たのしむ,enjoy,恐れる,おそれる,fear,増す,ます,increase,貸し出す,かしだす,rent out
上げる,あげる,raise,流れる,ながれる,flow,直す,なおす,fix,震える,ふるえる,shake,建ち並ぶ,たちならぶ,stand in a row
過ぎる,すぎる,pass,捨てる,すてる,throw away,設ける,もうける,set up,代わる,かわる,replace,類する,るいする,resemble
感ずる,かんずる,feel,着る,きる,wear,支払う,しはらう,pay,辿る,たどる,trace,捨て去る,すてさる,abandon
続ける,つづける,continue,迎える,むかえる,receive,迫る,せまる,press,試す,ためす,try,減ずる,げんずる,reduce
食べる,たべる,eat,取れる,とれる,"come off, able to get",経る,へる,go through,吹く,ふく,blow,飛び掛かる,とびかかる,jump on
掛かる,かかる,take,押す,おす,push,振り返る,ふりかえる,look back,好む,このむ,like,粘る,ねばる,persist
変わる,かわる,change,超える,こえる,exceed,断る,ことわる,refuse,踊る,おどる,dance,怠ける,なまける,neglect
読む,よむ,read,並ぶ,ならぶ,line up,誘う,さそう,invite someone to join you,巻く,まく,wind,踏ん張る,ふんばる,stand firm
買う,かう,buy,定める,さだめる,"define, determine",越える,こえる,go beyond,積む,つむ,pile,冷やかす,ひやかす,cool down
生きる,いきる,live,学ぶ,まなぶ,learn,取り出す,とりだす,take out,増やす,ふやす,increase,ふらつく,ふらつく,wobble
切る,きる,cut,頷く,うなずく,nod,急ぐ,いそぐ,hurry,痩せる,やせる,lose weight,窶れる,やつれる,be worn out
立つ,たつ,stand,通る,とおる,go through,慌てる,あわてる,hurry,飾る,かざる,decorate,立ち戻る,たちもどる,get back on one's feet
帰る,かえる,go home,運ぶ,はこぶ,carry,訴える,うったえる,appeal,飼う,かう,keep,申し付ける,もうしつける,make an offer
話す,はなす,talk,伴う,ともなう,accompany,命ずる,めいずる,command,揃う,そろう,have all of them,縋り付く,すがりつく,cling to
飲む,のむ,drink,広がる,ひろがる,spread,有する,ゆうする,have,噛む,かむ,chew,積み立てる,つみたてる,pile up
示す,しめす,show,付き合う,つきあう,accompany,別れる,わかれる,part,堪る,たまる,endure,突き立てる,つきたてる,thrust
関する,かんする,concerns,泣く,なく,cry,伝わる,つたわる,be transmitted,測る,はかる,measure,科する,かする,impose
与える,あたえる,give,進める,すすめる,advance,参る,まいる,go to,頼る,たよる,rely on,挿す,さす,insert
頂く,いただく,receive,繋がる,つながる,connect,尽くす,つくす,devote oneself to,嫌う,きらう,dislike,乗っかる,のっかる,get on top of
戻る,もどる,return,挙げる,あげる,raise,移る,うつる,move,治る,なおる,heal,蕩ける,とろける,prodigal
開く,ひらく,open,捉える,とらえる,catch,告げる,つげる,tell,探る,さぐる,explore,平らげる,たいらげる,flatten
死ぬ,しぬ,die,見詰める,みつめる,stare at,仰る,おっしゃる,tell,満ちる,みちる,fill,怒鳴り付ける,どなりつける,yell at someone
従う,したがう,obey,喜ぶ,よろこぶ,rejoice,詰まる,つまる,be at one's wits' end,映る,うつる,reflect,駆け回る,かけまわる,run around
止める,やめる,stop,避ける,さける,avoid,下ろす,おろす,bring down,踏む,ふむ,tread,目論む,もくろむ,plan
願う,ねがう,wish,応ずる,おうずる,respond,広げる,ひろげる,spread,突く,つく,poke,懸ける,かける,put a stake in someone's hand
歩く,あるく,walk,届く,とどく,reach,任せる,まかせる,leave to,触る,さわる,touch,押し遣る,おしやる,push someone around
待つ,まつ,wait,近付く,ちかづく,approach,掻く,かく,scratch,遭う,あう,encounter,乗り移る,のりうつる,get on top of
求める,もとめる,ask,集まる,あつまる,gather,戻す,もどす,bring back,溜まる,たまる,accumulate,ちぎれる,ちぎれる,tear off
認める,みとめる,admit,いらっしゃる,いらっしゃる,come,休む,やすむ,rest,泊まる,とまる,stay,抜け出る,ぬけでる,slip out
会う,あう,meet,出掛ける,でかける,go out,遅れる,おくれる,delay,交ぜる,まぜる,mix,窄める,すぼめる,narrow
続く,つづく,continue,眺める,ながめる,view,重ねる,かさねる,repeat,飛び出す,とびだす,pop out,目する,もくする,see
向かう,むかう,go to,張る,はる,put up,足りる,たりる,be enough,埋める,うめる,fill,譲り受ける,ゆずりうける,take over
生まれる,うまれる,be born,含める,ふくめる,include,見なす,みなす,overlook,褒める,ほめる,praise,抗する,こうする,resist
見せる,みせる,show,目指す,めざす,aim,間違う,まちがう,make a mistake,収める,おさめる,accommodate,掻き上げる,かきあげる,scrape up
当たる,あたる,hit,愛する,あいする,love,閉じる,とじる,close,見上げる,みあげる,look up,起つ,たつ,raise
終わる,おわる,end,隠す,かくす,hide,保つ,たもつ,keep,晒す,さらす,expose,盛り付ける,もりつける,heap up
乗る,のる,ride,集める,あつめる,collect,吸う,すう,suck,放つ,はなつ,release,寝付く,ねつく,fall asleep
残る,のこる,remain,食う,くう,eat,諦める,あきらめる,give up,勤める,つとめる,work,ぼやける,ぼやける,blur
述べる,のべる,state,飛ぶ,とぶ,fly,耐える,たえる,endure,解く,とく,release,捜し回る,さがしまわる,look around for something
御座る,ござる,be,齎す,もたらす,bring,訪ねる,たずねる,visit,浴びる,あびる,bathe in,萎む,しぼむ,fade
立てる,たてる,"stand, set",叫ぶ,さけぶ,shout,生かす,いかす,keep alive,成り立つ,なりたつ,consist of,押し切る,おしきる,push through
答える,こたえる,answer,逃げる,にげる,escape,下がる,さがる,step back,拭く,ふく,wipe,似通う,にかよう,resemble
働く,はたらく,work,抜く,ぬく,pull out,確かめる,たしかめる,make sure,漂う,ただよう,drift,叱り付ける,しかりつける,scold
送る,おくる,send,落とす,おとす,drop,鳴る,なる,sound,苦しむ,くるしむ,suffer,捲し立てる,まくしたてる,talk on and on
始まる,はじまる,begin,暮らす,くらす,live,目立つ,めだつ,stand out,犯す,おかす,commit,駆け下りる,かけおりる,run down
含む,ふくむ,include,降りる,おりる,get off,掲げる,かかげる,hold up,築く,きずく,build,書き付ける,かきつける,write down
起こる,おこる,happen,果たす,はたす,fulfill,移す,うつす,move,結び付く,むすびつく,join,息衝く,いきづく,gasp
関わる,かかわる,involve,記す,しるす,note,並べる,ならべる,arrange,交わす,かわす,intersect,突き飛ばす,つきとばす,push off
忘れる,わすれる,forget,生む,うむ,give birth,高める,たかめる,raise,反する,はんする,contradict,巻き起こす,まきおこす,create something new and exciting
済む,すむ,finish,問う,とう,ask questions,奪う,うばう,take away,話し合う,はなしあう,discuss,花開く,はなひらく,blossom
笑う,わらう,laugh,止まる,とまる,stop,被る,こうむる,suffer,担う,になう,bear,打ち立てる,うちたてる,set in motion
為さる,なさる,do,掴む,つかむ,seize,疑う,うたがう,doubt,導く,みちびく,lead,織り込む,おりこむ,weave
変える,かえる,change,返す,かえす,return,履く,はく,put on,無くす,なくす,lose,追い抜く,おいぬく,overtake
引く,ひく,subtract,過ごす,すごす,spend,生み出す,うみだす,produce,引き受ける,ひきうける,take over,蔑む,さげすむ,despise
売る,うる,sell,追う,おう,chase,迷う,まよう,go astray,次ぐ,つぐ,take over,乗り入れる,のりいれる,ride in
進む,すすむ,advance,扱う,あつかう,handle,襲う,おそう,attack,壊れる,こわれる,break,忘れ去る,わすれさる,forget
渡る,わたる,go across,眠る,ねむる,sleep,発する,はっする,emit,放る,ほうる,release,這い上がる,はいあがる,crawl up
選ぶ,えらぶ,choose,及ぶ,およぶ,reach,挟む,はさむ,pinch,敷く,しく,lay out,仄めかす,ほのめかす,imply
走る,はしる,run,怒る,おこる,be angry,登る,のぼる,climb,差し出す,さしだす,hold out,立て掛ける,たてかける,set up
現われる,あらわれる,show up,要する,ようする,take,属する,ぞくする,belong,受け止める,うけとめる,catch,語り継ぐ,かたりつぐ,tell a story
住む,すむ,live,結ぶ,むすぶ,connect,繋ぐ,つなぐ,connect,下す,くだす,put down,模する,もする,imitate
伝える,つたえる,communicate,図る,はかる,plan,降る,ふる,descend,試みる,こころみる,try,呼び込む,よびこむ,call in
動く,うごく,move,歌う,うたう,sing,組む,くむ,assemble,載せる,のせる,put on,咳き込む,せきこむ,cough
決める,きめる,decide,乗せる,のせる,get on board,取り組む,とりくむ,tackle,太る,ふとる,gain weight,屈み込む,かがみこむ,bend down
勧める,すすめる,recommend,申す,もうす,say,負う,おう,bear,効く,きく,be effective,資する,しする,contribute
気付く,きづく,notice,支える,ささえる,support,載る,のる,be on top of,唱える,となえる,chant,煮立つ,にたつ,boil
描く,えがく,draw,黙る,だまる,be silent,倒れる,たおれる,fall,造る,つくる,build,送り返す,おくりかえす,send back
覚える,おぼえる,remember,受け取る,うけとる,receive,撮る,とる,take,伺う,うかがう,ask,突っ張る,つっぱる,stick out
打つ,うつ,beat,抱える,かかえる,hold,響く,ひびく,echo,揺れる,ゆれる,shake,折り曲げる,おりまげる,bend
成す,なす,"build, accomplish",叩く,たたく,tap,応える,こたえる,respond,預ける,あずける,deposit,分け合う,わけあう,share
開ける,あける,open,渡す,わたす,give,留まる,とまる,stay,捲る,めくる,roll,憤る,いきどおる,resent
向ける,むける,turn,育てる,そだてる,bring up,指す,さす,point,取り戻す,とりもどす,take back,見回る,みまわる,look around
殺す,ころす,kill,借りる,かりる,borrow,接する,せっする,come in contact with,引き上げる,ひきあげる,pull up,ぶつかり合う,ぶつかりあう,clash
語る,かたる,tell,受け入れる,うけいれる,accept,狙う,ねらう,aim,役立つ,やくだつ,help,利する,りする,profit
信ずる,しんずる,believe,動かす,うごかす,move,救う,すくう,save,話し掛ける,はなしかける,talk to someone,刷る,する,print
合わせる,あわせる,match,分ける,わける,share,満たす,みたす,fill,出でる,いでる,come out,脱げる,ぬげる,take off
用いる,もちいる,use,立ち上がる,たちあがる,stand up,伸びる,のびる,extend,燃える,もえる,burn,盗る,とる,steal
連れる,つれる,bring along,訪れる,おとずれる,visit,説く,とく,preach,出来上がる,できあがる,be finished,縮まる,ちぢまる,shrink
異なる,ことなる,differ,当てる,あてる,hit,貸す,かす,lend,飛び込む,とびこむ,dive,切り替わる,きりかわる,switch
離れる,はなれる,leave,巡る,めぐる,go around,加わる,くわわる,join,絞る,しぼる,squeeze,噴く,ふく,blow
脱ぐ,ぬぐ,take off,振り向く,ふりむく,turn around,組み合わせる,くみあわせる,combine,付する,ふする,attach,捗る,はかどる,progress
離す,はなす,separate,係る,かかる,pertain to,盛る,もる,heap,切り離す,きりはなす,detach,抗う,あらがう,resist
生える,はえる,grow,果てる,はてる,finish,撒く,まく,scatter,追い詰める,おいつめる,hunt down,伏す,ふす,lie down
濡れる,ぬれる,get wet,炊く,たく,cook,鍛える,きたえる,forge,帰す,きする,bring back,舞い戻る,まいもどる,dance back
返る,かえる,return,覗き込む,のぞきこむ,look into,富む,とむ,enrich,持ち帰る,もちかえる,bring back,零れ落ちる,こぼれおちる,spill over
持ち込む,もちこむ,bring in,染みる,しみる,look into,伏せる,ふせる,lie down,写す,うつす,copy,竦む,すくむ,cower
取り入れる,とりいれる,take in,欠かす,かかす,miss,見当たる,みあたる,find,秘める,ひめる,hide,長ずる,ちょうずる,lengthen
込む,こむ,be crowded or go into,謳う,うたう,celebrate,退ける,のける,retreat,湿る,しめる,wet,狭める,せばめる,narrow
曲がる,まがる,bend,貫く,つらぬく,go through,馴染む,なじむ,get used to,例える,たとえる,compare,溶く,とく,melt
祈る,いのる,pray,飽きる,あきる,get tired of,攻める,せめる,attack,替える,かえる,change,拝する,はいする,worship
投げる,なげる,throw,酔う,よう,get drunk,見逃す,みのがす,overlook,引き付ける,ひきつける,attract,振りかぶる,ふりかぶる,wave a sword over your head
稼ぐ,かせぐ,earn,さす,さす,make (a person),受け継ぐ,うけつぐ,inherit,纏う,まとう,clothe,競る,せる,compete
押し付ける,おしつける,press,読み取る,よみとる,read,冷やす,ひやす,cool down,昇る,のぼる,ascend,漁る,あさる,scavenge
剥く,むく,peel,取り込む,とりこむ,take in,振り込む,ふりこむ,shake in,操る,あやつる,manipulate,強請る,ねだる,extort
吊る,つる,hang,閉める,しめる,close,晴れる,はれる,clear,竦める,すくめる,cower,安らぐ,やすらぐ,be at ease
崩れる,くずれる,collapse,蹴る,ける,kick,訳す,やくす,translate,揉む,もむ,squeeze,聞き入る,ききいる,listen to
湧く,わく,spring out,悟る,さとる,realize,生き残る,いきのこる,survive,逆らう,さからう,defy,蔓延る,はびこる,spread
外れる,はずれる,come off,贈る,おくる,give,尖る,とがる,be sharp,裂く,さく,tear,訝る,いぶかる,wonder
こだわる,こだわる,stick to,雇う,やとう,hire,叶う,かなう,fulfill,張り付ける,はりつける,stick,兼ね備える,かねそなえる,combine
構える,かまえる,set up,銜える,くわえる,hold in one's mouth,退く,しりぞく,retreat,収まる,おさまる,settle,刳り抜く,くりぬく,gouge out
重なる,かさなる,pile up,乗り出す,のりだす,embark,臨む,のぞむ,face,ごまかす,ごまかす,cheat,嬲る,なぶる,tamper
汚れる,よごれる,get dirty,呼び掛ける,よびかける,call out,浮かび上がる,うかびあがる,emerge,敵う,かなう,oppose,冠する,かんする,crown
習う,ならう,learn,営む,いとなむ,run a business,憎む,にくむ,hate,通り過ぎる,とおりすぎる,pass by,埋め立てる,うめたてる,reclaim
預かる,あずかる,take care of,傷付く,きずつく,scratch,強める,つよめる,strengthen,差し上げる,さしあげる,offer,見越す,みこす,anticipate
引き起こす,ひきおこす,cause,溶ける,とける,melt,甘える,あまえる,spoil,染まる,そまる,be dyed,刷り込む,すりこむ,imprint
控える,ひかえる,refrain from,駆け付ける,かけつける,rush to,強いる,しいる,force,励む,はげむ,encourage,吹き抜ける,ふきぬける,blow through
追い掛ける,おいかける,chase,片付ける,かたづける,clean up,散る,ちる,scatter,申し込む,もうしこむ,apply for,着込む,きこむ,land on
嘗める,なめる,lick,治まる,おさまる,subside,曲げる,まげる,bend,近寄る,ちかよる,approach,駆け上る,かけのぼる,run up
破る,やぶる,break,察する,さっする,sense,浸かる,つかる,soak,損なう,そこなう,damage,映える,はえる,reflect
殴る,なぐる,strike,誤る,あやまる,make a mistake,仕掛ける,しかける,set up,憧れる,あこがれる,admire,待ち合わせる,まちあわせる,wait for
弾く,はじく,play,睨む,にらむ,stare at,引き返す,ひきかえす,turn back,隔てる,へだてる,separate,持ち堪える,もちこたえる,hold out
手伝う,てつだう,help,整う,ととのう,arrange,横たわる,よこたわる,lie down,親しむ,したしむ,befriend,寄せ合う,よせあう,gather
及ぼす,およぼす,influence,歩む,あゆむ,walk,見渡す,みわたす,look out over,儲かる,もうかる,profit,忍び寄る,しのびよる,creep up on each other
拾う,ひろう,pick up,植える,うえる,plant,物語る,ものがたる,tell a story,舞う,まう,dance,へばり付く,へばりつく,cling to
騙す,だます,cheat,這う,はう,crawl,腐る,くさる,rot,吠える,ほえる,howl,待ち望む,まちのぞむ,wait and look forward to
思い切る,おもいきる,make the most of,争う,あらそう,fight,堪える,こらえる,endure,顰める,しかめる,frown,飛び起きる,とびおきる,jump up
引き出す,ひきだす,draw out,言い替える,いいかえる,rephrase,携わる,たずさわる,engage in,候う,そうろう,be pleased,吹き荒れる,ふきあれる,blow up in a storm
差す,さす,imply,欠く,かく,lack,供える,そなえる,offer,妨げる,さまたげる,hinder,育て上げる,そだてあげる,raise up
演ずる,えんずる,play,焦る,あせる,hurry,尽きる,つきる,run out,立ち寄る,たちよる,stop by,嘲笑う,あざわらう,ridicule
逃れる,のがれる,escape,削る,けずる,cut down,向き合う,むきあう,face,来たる,きたる,come,抱き寄せる,だきよせる,embrace
煮る,にる,boil,茹でる,ゆでる,boil,養う,やしなう,nourish,倣う,ならう,follow,濯ぐ,ゆすぐ,rinse
揃える,そろえる,prepare,据える,すえる,set,嘆く,なげく,lament,破れる,やぶれる,break,食む,はむ,eat
熟す,こなす,ripen,縛る,しばる,bind,拒む,こばむ,refuse,切り出す,きりだす,cut out,そぐう,そぐう,treat
突き込む,つきこむ,thrust into,結び付ける,むすびつける,tie,納める,おさめる,subdue,恨む,うらむ,resent,言い当てる,いいあてる,guess
微笑む,ほほえむ,smile,誇る,ほこる,boast of,思い掛ける,おもいがける,contemplate,唸る,うなる,roar,戦く,おののく,fight
欠ける,かける,chip,捧げる,ささげる,dedicate,断つ,たつ,refuse,煽る,あおる,agitate,悶える,もだえる,agonize
刺す,さす,pierce,掘る,ほる,dig,抱き締める,だきしめる,embrace,抜け出す,ぬけだす,break out,浮腫む,むくむ,float
思い込む,おもいこむ,think,祭る,まつる,celebrate,吸い込む,すいこむ,inhale,押し込む,おしこむ,push in,落ち合う,おちあう,fall on each other
届ける,とどける,deliver,締める,しめる,fasten,炒める,いためる,fry,装う,よそおう,pretend,隔たる,へだたる,separate
際する,さいする,take the time to,裏切る,うらぎる,betray,潰れる,つぶれる,crush,腰掛ける,こしかける,sit down,磨る,する,grind
減らす,へらす,reduce,取り付ける,とりつける,attach,追い付く,おいつく,catch up,浸る,ひたる,immerse,務まる,つとまる,serve
背負う,せおう,carry on one's back,立ち止まる,たちどまる,stop,差し込む,さしこむ,insert,引き寄せる,ひきよせる,draw in,焦がす,こがす,burn
下りる,おりる,descend,遂げる,とげる,accomplish,躊躇う,ためらう,hesitate,問い合わせる,といあわせる,inquire,焼き付ける,やきつける,burn
擦る,する,scrape,逃げ出す,にげだす,escape,吐き出す,はきだす,spit out,振り回す,ふりまわす,wield,禿げる,はげる,bald
潜る,もぐる,go under,温める,あたためる,warm,近付ける,ちかづける,approach,覚ます,さます,awaken,転ける,こける,roll
譲る,ゆずる,give up,聞かす,きかす,listen to,孵る,かえる,hatch,澄む,すむ,clear,速める,はやめる,quicken
漏らす,もらす,give up,見下ろす,みおろす,look down on,当て嵌まる,あてはまる,apply,着替える,きかえる,change one's clothes,打ち壊す,うちこわす,break down
泳ぐ,およぐ,swim,間に合う,まにあう,get there in time,直る,なおる,fix,制する,せいする,control,投げ入れる,なげいれる,throw in
間違える,まちがえる,make a mistake,飛ばす,とばす,fly,傾く,かたむく,tilt,見知る,みしる,recognize,煙る,けむる,smoke
ぶつかる,ぶつかる,bump into,乗り越える,のりこえる,get over,遮る,さえぎる,block,介する,かいする,mediate,選び出す,えらびだす,pick out
浮く,うく,float,書き込む,かきこむ,write,明く,あく,clear,置き換える,おきかえる,replace,討ち取る,うちとる,defeat
謝る,あやまる,apologize,怯える,おびえる,be frightened,儲ける,もうける,make profit,食らう,くらう,eat,食わす,くわす,feed
思い付く,おもいつく,come up with,苛める,いじめる,torment,化する,かする,transform,閉じ込める,とじこめる,confine,湧き出る,わきでる,gush out
沈む,しずむ,sink,見送る,みおくる,see off,割れる,われる,break,掴まえる,つかまえる,seize,思す,おぼす,contemplate
漏れる,もれる,leak,似合う,にあう,suit,ぶつける,ぶつける,hit,報ずる,ほうずる,report,まさぐる,まさぐる,perceive
滑る,すべる,slip,呆れる,あきれる,be amazed,乱れる,みだれる,disturb,足す,たす,add to,切り分ける,きりわける,carve out
割る,わる,break,焼ける,やける,burn,捻る,ひねる,twist,起き上がる,おきあがる,get up,扮する,ふんする,dress up
入り込む,はいりこむ,get in,引っ掛かる,ひっかかる,catch,赴く,おもむく,go to,惜しむ,おしむ,spare,炙る,あぶる,burn
配る,くばる,distribute,治す,なおす,heal,託する,たくする,entrust,取り掛かる,とりかかる,set about,遣らす,やらす,do something
鳴く,なく,sound,建つ,たつ,erect,振る舞う,ふるまう,act,暮れる,くれる,end,抜け落ちる,ぬけおちる,fall out
駆る,かる,drive,冷める,さめる,cool down,見抜く,みぬく,see through,交える,まじえる,mingle,孵す,かえす,hatch
継ぐ,つぐ,join together,流行る,はやる,go viral,混じる,まじる,mix,駆ける,かける,run,着飾る,きかざる,dress up
籠もる,こもる,shut oneself up,落ち込む,おちこむ,fall,閉ざす,とざす,close,怠る,おこたる,neglect,囚われる,とらわれる,be caught
騒ぐ,さわぐ,make noise,劣る,おとる,be inferior,講ずる,こうずる,lecture,嗅ぐ,かぐ,sniff,踏み躙る,ふみにじる,tread on
刻む,きざむ,carve,取り除く,とりのぞく,remove,踏み込む,ふみこむ,step into,取り囲む,とりかこむ,surround,差し当たる,さしあたる,confront
留める,とどめる,stop,撫でる,なでる,caress,拭う,ぬぐう,wipe,衰える,おとろえる,diminish,陰る,かげる,be overshadowed
盗む,ぬすむ,steal,免れる,まぬがれる,be spared,題する,だいする,subject,仕上げる,しあげる,finish,移ろう,うつろう,shift
詰める,つめる,pack,嵌まる,はまる,fit,追い込む,おいこむ,drive in,滅ぼす,ほろぼす,destroy,吹き上げる,ふきあげる,blow up
膨らむ,ふくらむ,swell,心掛ける,こころがける,set one's mind on,取り巻く,とりまく,surround,出向く,でむく,go out,食い違う,くいちがう,eat differently
辿り着く,たどりつく,arrive at,課する,かする,impose,突き出す,つきだす,thrust out,寄越す,よこす,send,扱く,しごく,handle
施す,ほどこす,apply,崩す,くずす,break,脅す,おどす,threaten,積み上げる,つみあげる,build up,払い除ける,はらいのける,brush away
飲み込む,のみこむ,swallow,ばれる,ばれる,be found out,着せる,きせる,dress someone up,敗れる,やぶれる,be defeated,帰する,きする,return
帯びる,おびる,take in,明ける,あける,open,くっ付く,くっつく,cling to,滅びる,ほろびる,perish,押し黙る,おしだまる,shut down
作り上げる,つくりあげる,build up,捕らえる,とらえる,catch,仰ぐ,あおぐ,look up to,蓄える,たくわえる,store,早まる,はやまる,hasten
照らす,てらす,illuminate,見直す,みなおす,review,誓う,ちかう,swear,縫う,ぬう,sew,薄らぐ,うすらぐ,fade away
名乗る,なのる,name,面する,めんする,face,脅かす,おびやかす,threaten,嵌める,はめる,fit,生き長らえる,いきながらえる,survive
名付ける,なづける,name,呼び出す,よびだす,call,正す,ただす,correct,考え込む,かんがえこむ,consider,引き入れる,ひきいれる,bring in
磨く,みがく,polish,目覚める,めざめる,wake up,癒す,いやす,heal,緩める,ゆるめる,loosen,縁取る,ふちどる,fringe
解する,かいする,interpret,取り扱う,とりあつかう,handle,言い聞かせる,いいきかせる,remind,追い出す,おいだす,expel,潤す,うるおす,enrich
添える,そえる,accompany,上回る,うわまわる,surpass,汲む,くむ,fetch,止す,よす,stop,帰り着く,かえりつく,return
見守る,みまもる,watch over,写る,うつる,picture,打ち出す,うちだす,hammer out,見分ける,みわける,discern,撫で下ろす,なでおろす,pat down
努める,つとめる,try to,干す,ほす,dry,組み込む,くみこむ,incorporate,踏み出す,ふみだす,take a step forward,戯ける,おどける,play with
助かる,たすかる,be saved,切り替える,きりかえる,switch,感じ取る,かんじとる,sense,問い掛ける,といかける,ask a question,締め出す,しめだす,shut out
