Words,Meaning,Sentence,Translation,Level
がする,"smell, hear, taste, doing, happening",焦げ臭い匂いがする。,There is a burning smell in the air.,4
はずがない ,cannot be,その噂が本当であるはずがない。,The rumor can't be true.,4
ひつよう,"need, necessary",私には治療がたしかに必要だ。,I certainly need medical attention.,4
ひつようがある,it is necessary to,あなたはこの眼鏡を調整する必要がある。,You need to adjust these glasses.,4
ほしい ,"to want something, to be in need of",寒くなったので、暖房が欲しい。,It has become cold and I need heating.,4
いらっしゃる,"to be, to come, to go",今日、社長は会社にいらっしゃいます。,The president is at the office today.,4
いらっしゃる,"to be, to come, to go",今日はお客様が職場にいらっしゃいます。,A customer is at work today.,4
いたす,to do,すぐにお席にご案内致します。,I will show you to your seat immediately.,4
いたします,to do,本日の会議はもう終了致しました。,Today's meeting has already ended.,4
じゃないか,isn't it,この話は彼に間違った印象を与えるんじゃないか。,I think this story gives him the wrong impression.,4
かい,turns into a yes or no question,学校の宿題は終えたかい。,Have you finished your homework for school?,4
かどうか,whether or not,この資料が信頼できるかどうか疑わしい。,I doubt if this material is reliable.,4
かどうか,whether or not,私はあの映画が面白いかどうか知りたい。,I want to know if the movie is interesting or not.,4
かもしれない,"might, maybe",やがて雨が降るかもしれない。,It may rain soon.,4
かな,I wonder,あなたの隣の席に座ってもいいかな。,May I sit next to you?,4
かた,"how to, way to do",新宿への行き方を教えて下さい。,Please tell me how to get to Shinjuku.,4
かしら,I wonder,部長はニューヨークへ引っ越すのかしら。,I wonder if the manager will move to New York.,4
こと,verb nominalizer,父は近所の公園を走ることが好きだ。,My father likes to run in the neighborhood park.,4
ことができる,"can, be able to",私は自転車に乗ることができる。,I can ride a bicycle.,4
までに,"by, by the time",私たちは明後日までに準備できる。,We can be ready by the day after tomorrow.,4
みたい,"like, similar to, resembling",あなたは猫みたいだ。,You are like a cat.,4
みたいに,"like, similar to",今日も蒸し風呂みたいに暑い。,It is hot like a steam bath today.,4
みたいな,"like, similar to",彼の車は桜の花みたいなピンク色だった。,His car was pink like a cherry blossom.,4
など,"such as, things like",パラセーリングなどのウォータースポーツも盛ん。,Water sports such as parasailing can also found on the beach.,4
ながら,"while, during, as",友達とコーヒーを飲みながら高校時代の話をした。,"Over coffee with a friend, we talked about our high school days.",4
ないで,"without doing, don’t",私は現在も飽きないでテニスをしている。,I am still playing tennis today without getting tired of it.,4
なければいけない,"must do, have to do",私は家賃を払わなければいけない。,I have to pay my rent.,4
なければならない,"must do, have to do",私は1時間で宿題を終えなければならない。,I have to finish my homework in one hour.,4
なくてはいけない,"must do, have to do",明日までに私はレポートを提出しなくてはいけない。,I have to submit my report by tomorrow.,4
なくてはならない,"must do, have to do",私たちは今度の試合に絶対に勝たなくてはならない。,We absolutely must win the upcoming game.,4
なくてもいい, don’t have to,彼は必ずしもその会議に出席しなくてもいい。,He does not necessarily have to attend the meeting.,4
なら,"if, in case, as for",大学院に進むなら、この本を読みなさい。,"If you are going to graduate school, read this book.",4
なさい,do,靴を脱ぎなさい。,Take off your shoes.,4
なさる,to do,お支払いはどのようになさいますか。,How would you like to pay?,4
に気がつく,"to notice, to realize",彼が酔っていることに気がついた。,He realized that he was drunk.,4
に気がつく,"to notice, to realize",ついに彼は自分の誤りに気がついた。,At last he realized his mistake.,4
にくい,"difficult to, hard to",この小説は理解しにくい。,This novel is difficult to understand.,4
にみえる,"to look, to seem, to appear",彼女は上品に見える。,She looks elegant.,4
てみえる,"to look, to seem, to appear",あなたは疲れて見える。,You look tired.,4
くみえる,"to look, to seem, to appear",彼女はお化粧のせいで若く見える。,She looks young because of her makeup.,4
ように見える,"to look, to seem, to appear",彼は少し腹を立てているように見えた。,He looked a little angry.,4
のように見える,"to look, to seem, to appear",素敵な場所のように見える。,It looks like a nice place.,4
のなかで,"in, among",これは電車の中で読むのによい本だ。,This is a good book to read on the train.,4
のに,in order to,彼女は料理を作るのに2時間かかる。,It takes her two hours to cook.,4
のに,in order to,私は新宿へ行くのに地下鉄に乗った。,I took the subway to Shinjuku.,4
のに,in order to,それを切るのに私はナイフが必要だ。,I need a knife to cut it.,4
のに,"although, in spite of, even though",私は明日引っ越しなのに準備がまだ終わっていない。,I'm moving tomorrow and I haven't finished the preparations yet.,4
のように,"like, similar to",猿のように彼は木登りする。,He climbs trees like a monkey.,4
のような,"like, similar to",今日は秋のような天気だ。,The weather today is like autumn.,4
お~ください,please do,私たちにお知らせください。,Please let us know.,4
お~になる,to do something,田中部長は受付でお待ちになります。,Director Tanaka will be waiting for you at the reception desk.,4
おきに,"repeated at intervals, every",私は六時間おきに体温を測った。,I took my temperature every six hours.,4
おきに,"repeated at intervals, every",その会議は二年おきに開かれる。,That meeting is held every two years.,4
おわる,"to finish, to end",彼女は午前中に3キロ泳ぎ終わった。,She finished swimming three kilometers in the morning.,4
られる,to be able to do something,弟は明日10時にここに来られる。,My brother will be here tomorrow at ten o'clock.,4
られる,passive voice,私は主任に彼の仕事を頼まれる。,I will be asked by the chief to do his job.,4
らしい,seems like,彼は道に迷ったらしい。,He seems to have lost his way.,4
さ,nominalizer for adjectives,今年の暑さは普通ではない。,The heat this year is unusual.,4
さ,nominalizer for adjectives,私は日本のお寺の美しさが好きだ。,I love the beauty of Japanese temples.,4
させる,to make or let somebody do something,わたしは息子を買い物に行かせる。,I sent my son shopping.,4
させる,to make or let somebody do something,先生が学生に宿題をたくさんさせた。,The teacher made the students do a lot of homework.,4
させられる,to be made to do something,私は毎日母に野菜を食べさせられる。,My mother makes me eat vegetables every day.,4
さすが,as one would expect,彼はさすがに驚きを隠せなかった。,He was indeed surprised.,4
し,list of multiple reasons,今日、私は少し熱があるし、頭が痛いので早退する。,"Today I have a slight fever and a headache, so I have to leave early.",4
しか~ない,"only, nothing but",私は4時間しか寝なかった。,I slept only four hours.,4
そんなに,"so, so much, like that",あなたはそんなに急いで行く必要はない。,You don't have to go so fast.,4
それでも,"but still, and yet, nevertheless",それでも興味深い発見ですよね。,"But still, it's an interesting discovery.",4
そうだ,"look like, appear, seem",この問題は、難しそうだ。,This problem looks difficult.,4
そうだ,"look like, appear, seem",彼は体調が悪そうだ。,He doesn't look well.,4
そうだ,"I heard that, it is said that",あの翻訳は原文に忠実だそうだ。,I heard that the translation is faithful to the original.,4
そうだ,"I heard that, it is said that",あの映画は面白いそうだ。,I heard that the film is interesting.,4
たばかり,"just did, something just happened",彼は、今朝ここに着いたばかりだ。,He just arrived here this morning.,4
たがる,to want to,彼はだれでも喜ばせたがる。,He likes to please everybody.,4
たら,"if, after, when",追加情報があったらいつでも私に連絡して。,"If you have any additional information, please feel free to contact me.",4
たらどう,why don’t you,通訳の仕事に応募したらどう。,You should apply for a job as an interpreter.,4
たり~たり,do such things like,週末、私は図書館で本を読んだり勉強したりする。,"On weekends, I read and study at the library.",4
たところ,"just finished doing, was just doing",彼女はアメリカから日本に戻ったところだ。,She has just returned to Japan from the States.,4
てあげる,to do something for someone,帰りは車で送ってあげるね。,I'll give you a ride home.,4
てある,something is or has been done,この手紙には外国の切手が貼ってある。,This letter has a foreign stamp on it.,4
てある,something is or has been done,この新しい町は美しく設計してある。,This new town is beautifully designed.,4
てほしい ,I need you to,私はあなたに英語を教えて欲しい。,I want you to teach me English.,4
ていく,"to go on, to start, to continue ",物語はゆっくりと展開していく。,The story unfolds slowly.,4
ているところ,in the process of doing,私は対策を考えているところだ。,I'm trying to think of a solution.,4
ていた,was doing something,私の手は震えていた。,My hands were trembling.,4
ていただけませんか,could you please,成田空港駅までいくらかかるか教えてもらえませんか。,Can you tell me how much it costs to get to Narita Airport Station?,4
てくれる,do something for me or somebody’s sake,父が私に授業料を送ってくれる。,My father will send me the tuition fee.,4
てくる,"to come to, to become, to continue",台風が近づいてきくる。,A typhoon is approaching.,4
てみる,to try to,彼女をデートに誘ってみる。,I will ask her out on a date.,4
ても,"even if, even though",弟は4時間しか眠らなくても、元気だ。,My brother is in good spirits even though he slept only four hours.,4
てもらう,to get somebody to do something,頭が痛かったので、私は医者に診断してもらった。,"My head hurts, so I go to the doctor for a checkup.",4
ておく,to prepare something for future,私が晩ご飯を作っておく。,I make dinner for him.,4
てしまう,"do something by accident, finish completely",私はいつも本を読んでいるうちに眠ってしまう。,I always fall asleep while reading.,4
てすみません,I’m sorry for,ご迷惑をかけてすみません。,I'm sorry to have bothered you.,4
てよかった,I’m glad that,あなたが怪我がなくてよかった。,I am glad you are not hurt.,4
と,"if, when, and",熱すると水は蒸気に変わる。,"When heated, water turns to vapor.",4
と~と、どちらが,which one,太陽と地球とではどちらが大きいですか。,"Which is bigger, the sun or the earth?",4
ということ,changes a sentence or phrase into a Noun,私たちの課題は人手不足であるということだ。,Our challenge is that we are short on manpower.,4
といってもいい,"you could say, you might say",彼は一流の作家であると言ってもいい。,It is safe to say that he is a first-rate writer.,4
といわれている,it is said that,魚は健康にいいと言われています。,Fish is said to be good for your health.,4
とか~とか,"among other things, such as",私は包丁とかなべとか台所用品を持参する。,I bring kitchen utensils like knives and pans.,4
とき,"when, at the time",私は勉強する時に眼鏡をかける。,I wear glasses when I study.,4
ときいた,I heard that,私はその会議が成功したと聞いた。,I heard the meeting was a success.,4
ところ,"about to, on the verge of",私はコートを脱いだところだ。,I have just taken off my coat.,4
とみえる,it seems that,夜遅く雨が降ったと見える。,It looks like it rained late at night.,4
とおもう,"I think, you think",改善が必要だと思う。,I think it needs improvement.,4
つづける,to continue,彼女は日本語を学ぶ努力し続ける。,She keeps trying to learn Japanese.,4
やすい,"easy to, likely to",ここでは天気は変わりやすい。,The weather is changeable here.,4
より,than,今朝は昨日の朝より寒い。,This morning is colder than yesterday morning.,4
よていだ ,"plan to, intend to",今年も私は北海道を旅する予定だ。,I am planning to travel in Hokkaido again this year.,4
ようだ,"it seems, appears, loos like that",顧客はとても満足しているようだ。,The customer seems to be very satisfied.,4
ように,"as, like, just like",私はあなたが娘であるように感じる。,I feel as if you were my daughter.,4
ような,"as, like, just like",彼女はまるで私の姉のような話し方をする。,She talks as if she were my sister.,4
ようになる,to reach the point that,毎日練習したので泳げるようになった。,I practiced every day so I could swim.,4
ようにする ,"to try to, to make sure that",私は健康のために野菜を食べるようにしている。,I try to eat vegetables for my health.,4
ようとおもう,I think I will,私は一生懸命その仕事をやろうと思う。,I will try my best to do the job.,4
ぜんぜん,not at all,彼女は政治については全然興味がない。,She is not interested in politics at all.,4
おう,volitional verb form,図書館に行こうと思ってる。,I'm thinking of going to the library.,4
聞こえる,to be able to hear,隣の部屋で電話がなっているのが私には聞こえる。,I can hear the telephone ringing in the next room.,4
聞く,to listen,電車で音楽を私は聞く。,I listen to music on the train.,4
見える,"is visible,to be able to see",私は部屋の窓から海が見える。,I can see the sea from the window of my room.,4
見られる,to be able to watch,その動物園では珍しい動物が見られる。,I can see rare animals in the zoo.,4
遅れる,to be late,私は仕事に遅れる。,I am late for work.,4
遅刻する,to be late,彼は会社に遅刻した。,He was late for work.,4
もらう,to receive,私は友達からハガキをもらった。,I received a postcard from my friend.,4
もらう,to have someone do something,私は兄に本棚をつくってもらった。,My brother built a bookshelf for me.,4
あげる,to give,兄が車をあなたに買ってあげるよ。,My brother will buy you a car.,4
くれる,to give,知らない人が私にリンゴをくれた。,The stranger gave me an apple.,4
召し上がる,"to eat, to drink",どうぞご自由に果物を召し上がってください。 ,Please feel free to enjoy the fruit. ,4
拝見する,"to see, to look",午後、売り上げに関する分析データを拝見します。,I will see the sales analysis this afternoon.,4
伺う,"to ask, to inquire, to call",退職すると伺いました。,I heard that you are retiring.,4
頂く,"to receive, to accept, to take",昨日、お客様にお土産をいただきました。,"Yesterday, I received a gift from a customer.",4
存じる,"to think, to feel",ご一緒したいと存じます。,We would like to join you.,4
せられる,to be made to do something (causative-passive),私たちは空港で長い間待たされた。,We had to wait for a long time at the airport.,4
られる,verb potential form,彼らはとても辛い料理が食べられる。,They can eat very spicy food.,4
あいだ,"while, during, all the time in that period",夏休みの間、ずっと実家にいるつもりです。,I intend to stay at my parents' house for the whole summer vacation.,4
あいだに,"while, during, in that period",休みの間に、日本語を復習するつもりです。,I intend to review my Japanese during the vacation.,4
から~まで,from~until,昼休みは１２時から1時までです。,My lunch break is from 12:00 to 1:00.,4
まま,"as it is, unchanged condition",コンタクトレンズをつけたまま寝てしまった。,I fell asleep with my contact lenses on.,4
ために,in order to,漢字を覚えるために、ノートに繰り返し書いています。,I write repeatedly in my notebook to memorize Kanji characters.,4
あまり,"too much, being in excess, a result occurs",激痛のあまり、私は思わず叫び声をあげた。,The pain was so intense that I yelped.,3
あまりに ,"so much... that, too much, excessively",最近あまりに暑すぎる。,It has been too hot lately.,3
ば〜ほど,the more... the more...,この本は読めば読むほど面白くなる。,"The more I read this book, the more interesting it becomes.",3
ばいい,"should, can, it’d be good if",もっと時間があればいい。,I wish I had more time.,3
ばかり,"only, nothing but",子供たちはテレビを見てばかりいる。,The children spend all their time watching TV.,3
ばかりだ,just continue to,私の体重は増えるばかりだ。,My weight is only increasing.,3
ばかりでなく,"not only... but also, as well as",このレストランは味が悪いばかりでなく、店員の態度もひどい。,"This restaurant is not only bad in taste, but also in attitude.",3
ばかりか,"not only... but also, as well as",今日は気温が高いばかりか湿度も高い。,It is not only hot but also humid today.,3
ばかりに,"because, on account of",寝過ごしたばかりに私は学校に遅刻した。,I am late for school because I overslept.,3
ばよかった,should have,あなたは外出する前に、火を消しておけばよかった。,You should have put out the fire before you went out.,3
べきだ,"must do, should do",この映画は絶対に観るべきだ。,You should definitely watch this movie.,3
べきではない,"must not do, should not do",彼女を軽視すべきではない。,You shouldn't disrespect her.,3
べつに~ない,not particularly,別にそれほど疲れていない。,I'm not that tired.,3
中,"during, throughout",面接中、彼は落ち着きがなかった。,He was restless during the interview.,3
だけ,"only, as much as",できるだけ早く、またあなたに会いに来る。,I will come back to see you as soon as possible.,3
だらけ,full of,この文書は間違いだらけだ。,This document is full of mistakes.,3
どころか,far from,雨はやむどころか、いよいよひどくなった。,"Instead of stopping, the rain got worse.",3
どんなに~ても,no matter how,どんなに眠くても、私はクラスへ行きます。,"No matter how sleepy I am, I am going to class.",3
ふりをする,"to pretend, to act as if",私は知らないふりをした。,I pretended not to know.,3
がち,"apt to do, tend to do",君はものを忘れがちです。,You tend to forget things.,3
がたい,"hard to, difficult to",その計画は成功したとは言いがたい。,I can hardly say that the plan was successful.,3
気味,"a touch of, a little, like, looking, be apt to",今朝、私は二日酔い気味だ。,I feel hungover this morning.,3
ほど,"to the extent that, so much... that, the more",昨日あなたがくれた忠告ほど重要なものはない。,Nothing is more important than the advice you gave me yesterday.,3
ほど~ない,is not as... as,私はあなたほど忙しくない。,I am not as busy as you.,3
いくら~ても,no matter how,出会いはいくら小さくても意味がある。,"Encounters, no matter how small, are meaningful.",3
 一方だ,"more and more, continue to",これから寒くなる一方だ。,"Encounters, no matter how small, are meaningful.",3
一方で,"but also ~at the same time, while",その時計は値段が安い一方で、品質がよくない。,It's only going to get colder.,3
かけ,"half-, not yet finished, in the middle of",この本はまだ読みかけだ。,"While that watch is inexpensive, it is not of good quality.",3
から言うと,"in terms of, from the point of view of",価格から言うと日本の方が高い。,This book is still in the process of being read.,3
代わりに,"instead of, in exchange for",私たちは運転する代わりに、歩いた。,"From a price point of view, Japan is more expensive.",3
っけ,what is... again?,この単語の意味は何だっけ。,We walked instead of driving.,3
決して~ない,"never, by no means, not in the least, in no way",彼は決して妥協しない。,I wonder what this word means.,3
切る,to do something completely to the end,私の娘はお小遣いをもう使い切った。,He never compromises.,3
切れない,not be able to finish doing completely,私はこんなにたくさんの料理を食べ切れない。,My daughter has already spent her allowance.,3
きり,"only, just, since, after",彼女には去年会ったきりだ。,I can't eat all this food.,3
こそ,"for sure, precisely, definitely 
",来週こそ私は日本語を勉強する,I haven't seen her since last year.,3
こと,must do,学校の規則を守ること。,Next week I will study Japanese.,3
ことだ,should do,健康のためには食べすぎないことだ。,Observe the school rules.,3
ことがある,there are times when,私は週末に夕食を作ることがある。,Don't eat too much for your health.,3
ことか,"how!, what!",彼女は何度失敗したことか。,I sometimes cook dinner on weekends.,3
ことから,from the fact that,働き過ぎたことから彼は病気になった。,How many times has she failed?,3
ことに ,"unusually, especially",嬉しいことに、彼女は入試に合格した。,He became ill from working too hard.,3
ことになる,it has been decided that,その友達はとうとう日本に帰ることになった。,"To my delight, she passed the entrance examination.",3
ことにする,"to decide on, to decide to",来月から私は日本語で日記を付けることにする。,The friend finally decided to go back to Japan.,3
ことはない,"there is no need to, never happens",彼は決して私を裏切ることはない。,"From next month, I will keep a diary in Japanese.",3
くらい,"to the extent that, so much... that, about",ここの気温は摂氏20度くらいだ。,He will never betray me.,3
くせに,"even though, and yet, in spite of, despite",彼は医者のくせに煙草を吸っている。,The temperature here is about 20 degrees Celsius.,3
まま,"as it is, unchanged",昨晩、私はテレビをつけたまま寝てしまった。,He smokes even though he is a doctor.,3
まるで,"as if, as though, just like",白衣を着ている彼らはまるで医者のようだ,They look like doctors in their white coats.,3
めったに~ない,"hardly, rarely, seldom",ここではめったに雪が降らない。,His Japanese sounds as natural as if he were speaking to a native speaker.,3
もの,"because, indicates reason, excuse, dissatisfaction",今日の試験、できたと思う。今週、たくさん勉強したもの。,It rarely snows here.,3
ものだ,"used to do something, should do something",学生時代にはずいぶん旅行したものだ。,I think I did well on today's exam. I studied a lot this week.,3
もしかしたら,"perhaps, maybe",もしかしたら明日雨が降るかもしれない。,I traveled a lot when I was a student.,3
向き,suitable for,その料理は夏向きだ。,Maybe it will rain tomorrow.,3
向け,"intended for, aimed at",海外の視聴者向けの番組がますます多くなってきた。,The food is suitable for summer.,3
ながらも,"but, although, despite",緊張しながらも、私は質問にはっきりと答えることができた。,There are more and more programs for foreign viewers.,3
ないことはない,"can, is not impossible",走れば間に合わないことはない。,"If you run, you will never make it in time.",3
なんか,"such as, things like",私はフランス語でスピーチなんかできない。,I can't give a speech in French.,3
なんて,"such as, things like",私はあなたと結婚するなんて夢にも思ったことはない。,I never dreamed of marrying you.,3
なぜなら ,"because, the reason is",彼は会議を欠席した。なぜなら彼は病気だったからだ。,He was absent from the meeting. Because he was sick.,3
んだって,I heard that,彼はまた彼女と暮らしてるんだって。,He is living with her again.,3
に違いない,"I’m sure, no doubt that, without a doubt",彼はそれを知っているに違いない。,He must know that.,3
にかけて,"over (a period), through, concerning",昼から夕方にかけて明日は雨だろう。,It will rain tomorrow from noon to evening.,3
に関する,"related to, in relation to, about",食事に関する本を読んだ。,I read a book about meals.,3
に関して,"related to, in relation to, about",私はこの件に関して彼らに賛成できない。,I don't agree with them on this matter.,3
にかわって," instead of, on behalf of",ロボットは人間にかわって危険な仕事をする。,Robots do dangerous work instead of people.,3
にかわり," instead of, on behalf of",あなたの代わりに私が彼に会いに行く。,I'll go see him instead of you.,3
に比べて,"compared to, in comparison to",それは市場価格に比べてかなり高価だ。,It is quite expensive compared to the market price.,3
において,"in, on, at (place), as for, regarding",選挙結果は新聞において発表される。,The election results will be announced in the newspaper.,3
における,"in, on, at (place), as for, regarding",人工知能における進歩は素晴らしい。,The progress in artificial intelligence is impressive.,3
にしては ,considering it’s (something or someone),このホテルはこの町にしては比較的高い。,This hotel is relatively expensive for this town.,3
にしても,"even, even if",たとえ彼女が行かないにしても私は行く。,"Even if she does not go, I will go.",3
に対して,"in contrast to, while, in regard to",私は政治に対して強い関心がある。,I have a strong interest in politics.,3
に対する,"in contrast to, while, in regard to",その経済学者の説に対する反論はなかった。,I had no objection to the economist's theory.,3
にとって,"to, for, concerning, from the standpoint of",これはわたしにとって難しすぎる問題だ。,This is too difficult a question for me.,3
について ,"concerning, regarding, about",私たちは趣味について話した。,We talked about hobbies.,3
につれて,"as... then, along with",時が経つにつれてあらゆるものが変化する。,Everything changes over time.,3
によると,according to,天気予報によると、明日は雪が降るそうだ。,"According to the weather forecast, it will snow tomorrow.",3
によれば,according to,テレビの速報によればさっきの地震は震度5だそうだ。,"According to the TV news, the earthquake that hit earlier was a magnitude 5 earthquake.",3
によって,"by means of, due to, owing to, because of",大雪によって、電車は1時間以上も遅れた。,The heavy snow delayed the train for more than an hour.,3
による,"by means of, due to, owing to, because of",その事故は彼の車の運転における不注意によるものであった。,The accident was caused by his carelessness in driving his car.,3
の間に,"while, during",夜の間に雨が降った。,It rained during the night.,3
をはじめ,"for example, starting with",子供をはじめ、誰でも参加可能です。,"Anyone can participate, including children.",3
をはじめとする,"for example, starting with",中国をはじめとする、アジアの国々がその会議に参加した。,China and other Asian countries participated in that conference.,3
おかげで,"thanks to, because of",両親のおかげで日本へ留学することができた。,"Thanks to her parents, she was able to study in Japan.",3
っぱなし,leaving (something) on or in use,隣の家の駐車場に、ライトをつけっぱなしの車が止まっている。,A car with its lights on is parked in the parking lot of the house next door.,3
っぽい ,"-ish, -like",姉はいつも子供っぽい服を着ている。,My sister always wears childish clothes.,3
さえ,"even, only, just",子供ばかりでなく大人さえも悲鳴をあげた。,Not only children but even adults screamed.,3
さえ ~ ば," if only ~ then, as long as, the only thing ~ need is",あなたは薬を飲みさえすれば治る。,All you have to do is take the medicine and you will be cured.,3
最中に,in the middle of,食事の最中に停電になった。,The power went out while we were eating.,3
せいで,because of,私たちは大雪のせいで遅刻した。,We were late because of the heavy snow.,3
その結果,as a result,彼女は毎日運動してきた。その結果、体重が減った。,"She has been exercising every day. As a result, he has lost weight.",3
次第,"as soon as, dependent upon",あなたの用意ができ次第出発しよう。,Let's leave as soon as you are ready.,3
しかない,have no choice but,終電がなくなったので、私は歩いて帰るしかない。,"The last train has run out, so I have no choice but to walk home.",3
そうもない,very unlikely to,この渋滞では約束の時間に間に合いそうもない。,"With this traffic jam, I am not going to make it to the appointed time.",3
たびに,"each time, everytime, whenever",彼女の猫に会うたびに私はとても幸せを感じる。,Every time I see her cat I feel so happy.,3
ために,"for, for the sake of, in order to, for the benefit of",明日の発表のために、私は今日たくさん練習した。,I practiced a lot today for my presentation tomorrow.,3
ために,"because of, as a result of",大雪のために、彼女は遅刻した。,She was late because of the heavy snow.,3
たらいい,"it would be nice if, I hope, should",あなたのように英語が話せたらいいです。,I wish I could speak English like you.,3
といい,"it would be nice if, I hope, should",また話せる機会があるといいですね。,I hope I will have a chance to speak again.,3
たとえ〜ても,even if... is the case,たとえ大雨になっても私は行きます。 ,"Even if it rains heavily, I will go. ",3
てごらん ,"please try to, please look",その言葉を辞書で調べてごらんなさい。,Look up that word in the dictionary.,3
たとたん,"just now, at the moment, as soon as",窓を開けたとたん強い風が入ってきました。,"As soon as I opened the window, a strong wind came in.",3
てはじめて,"not until, only after... did I",その本を読んで初めてそのことを知りました。,I learned about that for the first time when I read that book.,3
てもかまわない ,"it doesn’t matter if you do, i don’t mind if you do",体の調子が悪いなら、早めに帰ってもかまいませ ん。,"If you are not feeling well, you may leave early.",3
といっても ,"although I say, although one might say",私が韓国語が話せるといっても基礎を勉強しただけだ。,"Even though I can speak Korean, I only studied the basics.",3
という,"called, named, as much as",彼らがその服を買ったのはユニクロという店です。,They bought those clothes at a store called Uniqlo.,3
